"rownum","Mod","i32","i32","i32","i32","string","rid","[string]","bool"
60,6884,200,2000,1000,900,"Shakari-touched",61,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1
61,6885,200,2000,1000,900,"Innocence-touched",62,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1
62,6886,200,2000,1000,900,"Kitava-touched",63,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1
63,6890,50,350,180,150,"Bloodletter",15,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]",""
64,6891,75,700,360,300,"Heralds of the Obelisk","","[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]",""
65,6892,75,700,360,300,"Spirit Walkers","","[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
66,6893,75,700,360,300,"Union of Souls","","[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
67,6894,75,700,360,300,"Voidspawn of Abaxoth","","[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",""
68,6887,75,700,360,300,"Storm Herald",12,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]",""
69,6888,75,700,360,300,"Final Gasp","","[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
70,6895,50,350,180,150,"Arcane Buffer",9,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
71,6896,75,700,360,300,"Evocationist",45,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
72,6897,50,350,180,150,"Deadeye",5,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
73,6898,50,350,180,150,"Hasted",4,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
74,6899,50,350,180,150,"Bonebreaker",13,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
75,6889,50,350,180,150,"Splinterer","","[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]",""
76,6900,50,350,180,150,"Permafrost",3,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]",""
