"rownum","Id","BuffDefinitionsKey","[i32]","AuraRadius","[i32]","[i32]","BuffVisualsKey","f32","bool","StatsKey","i32","i32","bool","rid"
46,"AuguryOfPenitenceRoyale",563,"[10,-5]",30,[3],[],"",0,1,[],1,0,"",""
47,"NearbyEnemiesChilledRoyale",1478,[],20,[3],[1],"",0,1,[],1,0,"",""
48,"MonsterAuraPhysicalThorns1",81,[0],36,"[1,2]",[],"",0,1,[564],1,0,"",""
49,"MonsterAuraElementalThorns1",82,[0],36,"[1,2]",[],"",0,1,[565],1,0,"",""
50,"MonsterAuraMediumDamage1",85,[0],50,"[1,2]",[],"",0,1,[26],1,0,"",""
51,"MonsterAuraLargeDamage1",86,[0],50,"[1,2]",[],"",0,1,[26],1,0,"",""
52,"MonsterAuraLargeDamageUniqueMap",86,[0],50,[2],[],"",0,1,[26],1,0,"",""
53,"MonsterAuraSpeed1",87,"[0,0,0]",50,"[1,2]",[],"",0,1,"[70,216,177]",1,0,"",""
54,"StrIntMissionAuraSpeed1",87,"[0,0,0]",30,[2],[],"",0,1,"[70,216,177]",1,0,"",""
55,"MonsterAuraSpeedUniqueMap1",87,"[0,0,0]",50,[2],[],"",0,1,"[70,216,177]",1,0,"",""
56,"MonsterAuraLifeRegen1",88,[0],50,"[1,2]",[],"",0,1,[451],1,0,"",""
57,"MonsterAuraResists1",89,[0],50,"[1,2]",[],"",0,1,[141],1,0,"",""
58,"MonsterAuraEnergyShield1",90,[0],50,"[1,2]",[],"",0,1,[563],1,0,"",""
59,"StrIntMissionAuraEnergyShield1",90,[0],30,[2],[],"",0,1,[563],1,0,"",""
60,"MonsterAuraAccuracyAndCrits1",92,"[0,0]",50,"[1,2]",[],"",0,1,"[84,554]",1,0,"",""
61,"MonsterImplicitAuraAccuracyAndCrits",92,"[0,0]",50,"[1,2]",[],"",0,1,"[84,554]",1,0,"",""
62,"MonsterImplicitAuraAccuracyAndCritsSextant",92,"[0,0]",140,"[1,2]",[],"",0,1,"[84,554]",1,0,"",""
63,"MonsterAuraEnemyLifeDegen1",93,[0],50,[3],[],"",0,1,[452],1,0,"",""
64,"MonsterAuraEnemyLifeDegen2_",93,[0],50,[3],[],"",0,1,[452],1,0,"",""
65,"MonsterAuraEssenceEnemyLifeDegen1",98,[0],50,[3],[],"",0,1,[452],1,0,"",""
66,"MonsterAuraEnemyLifeDegenDexMission",93,[0],50,[3],[],"",0,1,[452],1,0,"",""
67,"MonsterAuraEnemyLifeDegenCold",582,[0],10,[3],[],"",0,1,[3867],1,0,"",""
68,"MonsterAuraEnemyLifeDegenFire",581,[0],10,[3],[],"",0,1,[2533],1,0,"",""
69,"MonsterAuraEnemyLifeDegenLightning",583,[0],10,[3],[],"",0,1,[3868],1,0,"",""
70,"MonsterAuraElementalDamage1",97,[0],50,"[1,2]",[],"",0,1,[486],1,0,"",""
71,"MonsterThornsPhysical1",981,[],0,[],[],781,0,1,[],1,0,"",""
72,"MonsterThornsElemental1",982,[],0,[],[],782,0,1,[],1,0,"",""
73,"MonsterThornsPhysical1Large",981,[],0,[],[],783,0,1,[],1,0,"",""
74,"MonsterThornsElemental1Large",982,[],0,[],[],784,0,1,[],1,0,"",""
75,"StrIntMissionAuraElementalDamage1",97,[0],30,[2],[],"",0,1,[486],1,0,"",""
76,"MonsterImplicitAuraSpeed1",87,"[0,0,0]",45,"[1,2]",[],"",0,1,"[70,216,177]",1,0,"",""
77,"MonsterImplicitAuraSpeedSextant_",87,"[0,0,0]",140,"[1,2]",[],"",0,1,"[70,216,177]",1,0,"",""
78,"MonsterImplicitAuraLifeRegen1",88,[0],50,"[1,2]",[],"",0,1,[451],1,0,"",""
79,"MonsterImplicitAuraLifeRegenBossStrIntMission",88,[0],75,"[1,2]",[],"",0,1,[451],1,0,"",""
80,"MonsterImplicitAuraLifeRegenSextant",88,[0],140,"[1,2]",[],"",0,1,[451],1,0,"",""
81,"MonsterImplicitAuraLargeDamage1",86,[0],50,"[1,2]",[],"",0,1,[26],1,0,"",""
82,"MonsterImplicitAuraResists1",89,[0],50,"[1,2]",[],"",0,1,[141],1,0,"",""
83,"MonsterImplicitAuraResistsSextant",89,[0],140,"[1,2]",[],"",0,1,[141],1,0,"",""
84,"MonsterImplicitAuraMediumDamage1",85,[0],50,"[1,2]",[],"",0,1,[26],1,0,"",""
85,"MonsterImplicitAuraEnergyShield1",90,[0],50,"[1,2]",[],"",0,1,[563],1,0,"",""
86,"MonsterImplicitAuraEnergyShieldBubble1",91,[0],50,"[1,2]",[],"",0,1,[563],1,0,"",""
87,"MonsterAuraCannotDie1",132,[0],50,[2],[],"",0,1,[398],1,0,"",""
88,"MonsterAuraSlow1",133,[0],40,[3],[],"",0,1,[177],1,0,"",""
89,"StrIntMissionAuraSlow1",133,[0],30,[3],[],"",0,1,[177],1,0,"",""
90,"MonsterAuraSlowUniqueMap1",133,[0],50,[3],[],"",0,1,[177],1,0,"",""
91,"MonsterImplicitAuraSlow1",133,[0],40,[3],[],"",0,1,[177],1,0,"",""
92,"MonsterImplicitAuraSlow2",133,[0],40,[3],[],"",0,1,[177],1,0,"",""
93,"MonsterImplicitAuraCannotDie1",132,[0],50,[2],[],"",0,1,[398],1,0,"",""
94,"MonsterImplicitAuraCannotDie2",132,[0],16,[2],[],"",0,1,[398],1,0,"",""
95,"MonsterImplicitDamageReductionAura",134,[0],40,[2],[],"",0,1,[477],1,0,"",""
96,"MonsterImplicitDamageReductionAura2",134,[0],40,[2],[],"",0,1,[477],1,0,"",""
97,"MonsterAuraAddedColdDamage",169,[0],50,"[1,2]",[],"",0,1,[448],1,0,"",""
98,"StrIntMissionAuraAddedColdDamage",169,[0],30,[2],[],"",0,1,[448],1,0,"",""
99,"MonsterAuraUniqueMapColdDamage",169,[0],60,[2],[],"",0,1,[448],1,0,"",""
100,"MonsterAuraAddedFireDamage",170,[0],50,"[1,2]",[],"",0,1,[447],1,0,"",""
101,"MonsterAmbrosiaAuraAddedFireDamage",172,[0],50,"[1,2]",[],"",0,1,[447],1,0,"",""
102,"StrIntMissionAuraAddedFireDamage",170,[0],30,[2],[],"",0,1,[447],1,0,"",""
103,"MonsterAuraUniqueMapFireDamage",170,[0],60,[2],[],"",0,1,[447],1,0,"",""
104,"MonsterAuraAddedFireDamageSkeletonArmy",170,[0],50,"[1,2]",[],"",0,1,[447],1,0,"",""
105,"MonsterAuraAddedLightningDamage",171,[0],50,"[1,2]",[],"",0,1,[449],1,0,"",""
106,"MonsterAmarissaAuraAddedLightningDamage",173,[0],50,"[1,2]",[],"",0,1,[449],1,0,"",""
107,"StrIntMissionAuraAddedLightningDamage",171,[0],30,[2],[],"",0,1,[449],1,0,"",""
108,"MonsterAuraUniqueMapLightningDamage",171,[0],60,[2],[],"",0,1,[449],1,0,"",""
109,"MonsterAuraAlwaysCrit1",175,[0],60,"[1,2]",[],"",0,1,[348],1,0,"",""
110,"StrIntMissionAuraAlwaysCrit1",175,[0],30,[2],[],"",0,1,[348],1,0,"",""
111,"MonsterAuraEvasion1",176,[0],50,"[1,2]",[],"",0,1,[119],1,0,"",""
112,"MonsterAuraUniqueMapEvasion",176,[0],60,[2],[],"",0,1,[119],1,0,"",""
113,"ChaosDegenerationAuraPlayersUniqueBodyStr3",213,[0],30,"[3,4]",[],"",0,1,[453],1,0,"",""
114,"ChaosDegenerationAuraNonPlayersUniqueBodyStr3",213,[0],30,"[3,5]",[],"",0,1,[453],1,0,"",""
115,"ChaosDegenerationAuraNonPlayersUnique__1",94,[0],30,"[3,5]",[],"",0,1,[453],1,0,"",""
116,"ChaosDegenerationAuraPlayersUnique__1",94,[0],30,"[3,4]",[],"",0,1,[453],1,0,"",""
117,"ChaosDegenerationAuraNonPlayersUnique__1Royale__",94,[0],30,"[3,5]",[],"",0,1,[453],1,0,"",""
118,"ChaosDegenerationAuraPlayersUnique__1Royale",94,[0],30,"[3,4]",[],"",0,1,[453],1,0,"",""
119,"DamageAuraUniqueHelmetDexInt2",216,[0],75,"[1,2,10]",[],"",0,1,[24],1,0,"",""
120,"DamageAuraSkeletonMonster",380,[0],60,[2],[],"",0,1,[24],1,0,"",""
121,"MonsterPhysicalThorns",81,[0],0,[],[],"",0,1,[564],1,0,"",""
122,"MonsterElementalThorns",82,[0],0,[],[],"",0,1,[565],1,0,"",""
123,"MonsterNemesisTransformed",262,"[0,0,0,0]",0,[],[],"",0,1,"[717,477,1905,177]",1,0,"",""
124,"MonsterNemesisSoulEater",265,"[0,0,0,0,0]",50,"[2,3]",[],"",0,1,"[1908,1909,1910,1911,3131]",1,0,"",""
125,"MonsterStrIntRelicSoulEater",265,"[0,0,0,0,0]",42,"[2,3]",[],265,0,1,"[1908,1909,1910,1911,3131]",1,0,"",""
126,"MonsterIntMinionSoulEater",265,"[0,0,0,0,0]",70,"[2,3]",[],"",0,1,"[1908,1909,1910,1911,3131]",1,0,"",""
127,"MonsterDexMissionSoulEater",265,"[0,0,0,0,0]",50,"[2,3]",[],"",0,1,"[1908,1909,1910,1911,3131]",1,0,"",""
128,"MonsterImplicitNemesisSoulEaterDescent2",265,"[0,0,0,0,0]",30,"[2,3]",[],"",0,1,"[1908,1909,1910,1911,3131]",1,0,"",""
129,"MonsterImplicitNemesisSoulEaterInvasion",265,"[0,0,0,0,0]",30,"[2,3]",[],"",0,1,"[1908,1909,1910,1911,3131]",1,0,"",""
130,"MonsterNemesisSoulEaterSideAreaBoss",265,"[0,0,0,0,0]",70,"[2,3]",[],"",0,1,"[1908,1909,1910,1911,3131]",1,0,"",""
131,"MonsterNemesisSoulEaterMapAlira_",265,"[0,0,0,0,0]",150,"[2,3]",[],"",0,1,"[1908,1909,1910,1911,3131]",1,0,"",""
132,"MonsterArchnemesisSoulEater",265,"[0,0,0,0,0]",70,"[2,3]",[],"",0,1,"[1908,1909,1910,1911,3131]",1,0,"",""
133,"MonsterBreachLightningSoulEater",800,"[0,0,0,0,0]",70,"[2,3]",[],"",0,1,"[1908,1909,1910,1911,3131]",1,0,"",""
134,"MonsterNemesisStealthMode",268,"[0,0]",0,[],[],"",0,1,"[1932,7395]",1,0,"",""
135,"MonsterNemesisVines",1025,[],0,[],[],"",0,1,[],1,0,"",""
136,"MonsterNemesisVinesLarge",1026,[],0,[],[],"",0,1,[],1,0,"",""
137,"MonsterNemesisPhysicalProjectiles_",1018,[],0,[],[],"",0,1,[],1,0,"",""
138,"MonsterNemesisFireProjectiles",1016,[],0,[],[],"",0,1,[],1,0,"",""
139,"MonsterNemesisLightningClone",1032,[],0,[],[],"",0,1,[],1,0,"",""
140,"MonsterNemesisLightningCloneLarge",1033,[],0,[],[],"",0,1,[],1,0,"",""
141,"MonsterNemesisColdBeam",1052,[],0,[],[],"",0,1,[],1,0,"",""
142,"UndyingBreathCurseAuraUniqueStaff5",278,[0],75,[3],[],"",0,1,[1278],1,0,"",""
143,"UndyingBreathDamageAuraUniqueStaff5",279,[0],75,"[2,10]",[],"",0,1,[24],1,0,"",""
144,"UniqueSpecialCorruptionNearbyEnemiesBlinded",1478,[],30,[3],[9],"",0,1,[],1,0,"",""
145,"UniqueSpecialCorruptionNearbyEnemiesMalediction",1478,[],30,[3],[12],"",0,1,[],1,0,"",""
146,"UniqueSpecialCorruptionNearbyEnemiesCrushed",1478,[],30,[3],"[11,-15]","",0,1,[],1,0,"",""
147,"StrDexMasterSlowAura",133,[0],30,[3],[],"",0,1,[177],1,0,"",""
148,"MonsterCannotBeDamaged",333,[0],0,[],[],"",0,1,[140],1,0,"",""
149,"MonsterCannotBeDamagedUniqueMap",333,[0],0,[],[],"",0,1,[140],1,0,"",""
150,"DexMissionCorruptedBeastEffect1",338,[],0,[],[],"",0,1,[],1,0,"",""
151,"IntMissionDamageBoostAura",280,[0],50,"[2,3,10]",[],"",0,1,[24],1,0,"",""
152,"StrIntMissionManaRegenRelic",335,[0],30,[],[],"",0,1,[129],1,0,"",""
153,"MonsterAddedFireDamageAndIgnite",344,"[0,0]",0,[],[],"",0,1,"[447,611]",1,0,"",""
154,"MonsterAddedColdDamageAndFreeze",345,"[0,0]",0,[],[],"",0,1,"[448,455]",1,0,"",""
155,"MonsterAddedLightningDamageAndShock",346,"[0,0]",0,[],[],"",0,1,"[449,659]",1,0,"",""
156,"MonsterAddedPhysicalDamageAndBleed",350,"[0,0]",0,[],[],"",0,1,"[26,2361]",1,0,"",""
157,"StrDexMissionAddedFireDamage",347,[0],0,[],[],"",0,1,[447],1,0,"",""
158,"StrDexMissionAddedColdDamage",348,[0],0,[],[],"",0,1,[448],1,0,"",""
159,"StrDexMissionAddedLightningDamage",349,[0],0,[],[],"",0,1,[449],1,0,"",""
160,"MonsterBloodlinesShrouded",356,"[0,0]",0,[],[],342,0,1,"[2619,2568]",1,0,"",""
161,"TormentSpiritExperimenter",365,[0],35,[3],[],"",0,1,[477],1,0,"",""
162,"TormentSpiritCharlatanRegenerationAura",88,[0],40,"[1,2]",[],"",0,1,[451],1,0,"",""
163,"TormentSpiritCharlatanDegenerationAura",95,[0],40,[3],[],"",0,1,[2566],1,0,"",""
164,"TormentSpiritCutthroat",86,[0],45,"[1,2]",[],"",0,1,[26],1,0,"",""
165,"TormentHauntedMonsterCutthroat",374,"[0,0]",45,"[1,2]",[],"",0,1,"[26,70]",1,0,"",""
166,"TormentSpiritEmbezzler",376,"[0,0,0]",40,[3],[],"",0,1,"[1011,1012,1013]",1,0,"",""
167,"TormentSpiritSmuggler",90,[0],45,"[1,2]",[],"",0,1,[563],1,0,"",""
168,"TormentHauntedSmuggler",90,[0],45,"[1,2]",[],"",0,1,[563],1,0,"",""
169,"TormentSpiritShavronne",698,"[0,0]",45,"[1,2]",[],"",0,1,"[563,1202]",1,0,"",""
170,"TormentHauntedMonsterShavronne",698,"[0,0]",45,"[1,2]",[],"",0,1,"[563,1202]",1,0,"",""
171,"MonsterBloodlinesThorns",103,"[0,0]",0,[],[],"",0,1,"[564,565]",1,0,"",""
172,"MonsterBloodlinesThornsLargeModel",104,"[0,0]",0,[],[],"",0,1,"[564,565]",1,0,"",""
173,"MonsterBloodlinesBurningAura",363,[0],30,[3],[],"",0,1,[2533],1,0,"",""
174,"MonsterBloodlinesBurningAura2",363,[0],30,[3],[],"",0,1,[2533],1,0,"",""
175,"MonsterBloodlinesBurningAura3",363,[0],30,[3],[],"",0,1,[2533],1,0,"",""
176,"MonsterBloodlinesBurningAura4",363,[0],30,[3],[],"",0,1,[2533],1,0,"",""
177,"MonsterBloodlinesBurningAura5",363,[0],30,[3],[],"",0,1,[2533],1,0,"",""
178,"MonsterBloodlinesBurningAura6",363,[0],30,[3],[],"",0,1,[2533],1,0,"",""
179,"MonsterBloodlinesBurningAura7",363,[0],30,[3],[],"",0,1,[2533],1,0,"",""
180,"MonsterBloodlinesChillingAura",364,[0],30,[3],[],"",0,1,[8413],1,0,"",""
181,"MonsterBloodlinesShockingAura",365,[0],30,[3],[],"",0,1,[477],1,0,"",""
182,"TormentTouchedEffect",371,[],0,[],[],"",0,1,[],1,0,"",""
183,"TormentPossessedEffect",372,[],0,[],[],"",0,1,[],1,0,"",""
184,"LifeRegenerationAuraUniqueAmulet21",386,"[0,0]",50,"[2,10]",[],"",0,1,"[451,130]",1,0,"",""
185,"NearbyAlliesHaveCullingStrikeUniqueTwoHandAxe9",401,[0],50,"[2,10]",[],"",0,1,[589],1,0,"",""
186,"NearbyAlliesHaveIncreasedItemRarityUniqueTwoHandAxe9",402,[0],50,"[2,10]",[],"",0,1,[153],1,0,"",""
187,"NearbyAlliesHaveCullingStrikeUnique__1",401,[0],30,"[2,10]",[],"",0,1,[589],1,0,"",""
188,"NearbyAlliesHaveIncreasedItemRarityUnique__1",402,[0],30,"[2,10]",[],"",0,1,[153],1,0,"",""
189,"NearbyAlliesHaveCriticalStrikeMultiplierUnique__1",1232,[0],30,"[2,10]",[],"",0,1,[95],1,0,"",""
190,"NearbyAlliesHaveFortifyUnique__1__",1436,[10],30,"[2,10]",[],"",0,1,[],1,0,"",""
191,"DoedreCurseZoneAuraVulnerability_",77,"[0,0,0,0]",52,"[3,10]",[],446,0,1,"[545,5229,12394,7257]",1,0,"",""
192,"DoedreCurseZoneAuraTemporalChains",67,"[0,0,0]",52,"[3,10]",[],445,0,1,"[3245,9139,532]",1,0,"",""
193,"DoedreCurseZoneAuraEnfeeble",74,"[0,0,0]",52,"[3,10]",[],444,0,1,"[84,648,9140]",1,0,"",""
194,"DoedreCurseZoneAuraVulnerability2",77,"[0,0,0,0]",52,"[3,10]",[],446,0,1,"[545,5229,12394,7257]",1,0,"",""
195,"DoedreCurseZoneAuraTemporalChains2",67,"[0,0,0]",52,"[3,10]",[],445,0,1,"[3245,9139,532]",1,0,"",""
196,"DoedreCurseZoneAuraEnfeeble2",74,"[0,0,0]",52,"[3,10]",[],444,0,1,"[84,648,9140]",1,0,"",""
197,"UniqueAnimateWeaponAura",458,"[0,0]",1,[9],[],"",0,1,"[3319,1750]",1,0,"",""
198,"TalismanT2SacrificalBlades",279,[0],30,"[2,10]",[],"",0,1,[24],1,0,"",""
199,"BlindAuraUnique__1",1478,[],25,[3],[9],177,0,1,[],1,0,"",""
200,"NearbyEnemiesAreHinderedUnique__1",1480,[0],35,[3],[],1226,0,1,[11499],1,0,"",""
201,"HearbyEnemiesAreHinderedHarbinger",1480,[0],50,[3],[],1226,0,1,[11499],1,0,"",""
202,"LightningDegenAuraUnique__1",457,[0],32,[3],[],"",0,1,[4096],1,0,"",""
203,"EssenceDaemonAlternatingBuffsSpeedDodge4",728,"[0,0,0,0]",0,[],[],"",0,1,"[177,216,70,7395]",1,0,"",""
204,"EssenceDaemonAlternatingBuffsSpeedDodge5",728,"[0,0,0,0]",0,[],[],"",0,1,"[177,216,70,7395]",1,0,"",""
205,"EssenceDaemonAlternatingBuffsSpeedDodge6",728,"[0,0,0,0]",0,[],[],"",0,1,"[177,216,70,7395]",1,0,"",""
206,"EssenceDaemonAlternatingBuffsSpeedDodge7",728,"[0,0,0,0]",0,[],[],"",0,1,"[177,216,70,7395]",1,0,"",""
207,"EssenceDaemonAlternatingBuffsDamage4",731,"[0,0]",0,[],[],"",0,1,"[634,477]",1,0,"",""
208,"EssenceDaemonAlternatingBuffsDamage5",731,"[0,0]",0,[],[],"",0,1,"[634,477]",1,0,"",""
209,"EssenceDaemonAlternatingBuffsDamage6",731,"[0,0]",0,[],[],"",0,1,"[634,477]",1,0,"",""
210,"EssenceDaemonAlternatingBuffsDamage7",731,"[0,0]",0,[],[],"",0,1,"[634,477]",1,0,"",""
211,"EssenceDaemonAlternatingBuffsCrit5",734,"[0,0]",0,[],[],"",0,1,"[2540,348]",1,0,"",""
212,"EssenceDaemonAlternatingBuffsCrit6",734,"[0,0]",0,[],[],"",0,1,"[2540,348]",1,0,"",""
213,"EssenceDaemonAlternatingBuffsCrit7_",734,"[0,0]",0,[],[],"",0,1,"[2540,348]",1,0,"",""
214,"EssenceHorrorCharges1",751,[],0,[],[],"",0,1,[],1,0,"",""
215,"ElementalDamageTakenWhileStationaryEssence1",724,[0],0,[],[],"",0,1,[4824],1,0,"",""
216,"BurningGroundWhileMovingEssence1",725,[],0,[],[],"",0,1,[],1,0,"",""
217,"MonsterGainFrenzyEnduranceChargeEvery5Seconds",745,[],0,[],[],"",0,1,[],1,0,"",""
218,"RemnantOfCorruptionMonsterAura",746,"[0,0,0]",30,[3],[],"",0,1,"[177,2566,3060]",1,0,"",""
219,"VaultTreasureDaemon",768,[0],12,[12],[],"",0,1,[5028],1,0,"",""
220,"DaemonAlternatingBuffsStatueMaker",762,"[0,0,0,0]",0,[],[],"",0,1,"[24,10,477,11]",1,0,"",""
221,"VaultBossTreasurePileDamageBuff",768,[0],25,[],[],"",0,1,[5028],1,0,"",""
222,"ShaperTouched1",373,[],0,[],[],637,0,1,[],1,0,"",""
223,"ShaperHealed1",373,[],0,[],[],637,0,1,[],1,0,"",""
224,"ShaperDaemon1",373,[],0,[],[],637,0,1,[],1,0,"",""
225,"ShaperDaemon2",373,[],0,[],[],637,0,1,[],1,0,"",""
226,"ShaperDaemon3_",373,[],0,[],[],637,0,1,[],1,0,"",""
227,"ShaperDaemon4",373,[],0,[],[],637,0,1,[],1,0,"",""
228,"NearbyEnemiesAreIntimidatedUnique__1",1478,[],25,[3],[7],"",0,1,[],1,0,"",""
229,"MonsterNearbyEnemiesAreIntimidated",890,[0],25,[3],[],"",0,1,[5686],1,0,"",""
230,"NearbyAlliesMovementVelocityUnique__1",832,[0],50,"[1,2,10]",[],"",0,1,[177],1,0,"",""
231,"PowerChargeOnManaSpentUnique__1",912,[],0,[],[],"",0,1,[],1,0,"",""
232,"EnemyPhysicalDamageTakenAuraUber1_",1158,[0],60,[3],[],"",0,1,[545],1,0,"",""
233,"EnemyElementalDamageTakenAuraUber1",1486,[0],60,[3],[],"",0,1,[3494],1,0,"",""
234,"PowerChargeOnManaSpentUber1",912,[],0,[],[],"",0,1,[],1,0,"",""
235,"GainCriticalStrikeChanceOnManaSpentUnique__1",951,[],0,[],[],"",0,1,[],1,0,"",""
236,"MaximumVoidArrowsUnique__1",1000,[],0,[],[],"",0,1,[],1,0,"",""
237,"BestiaryModAgileRhexAura1_",1069,"[0,0]",0,[],[],"",0,1,"[7395,177]",1,0,"",""
238,"BestiaryModUrsaeAura1",1072,"[0,0,0]",0,[],[],"",0,1,"[3388,701,24]",1,0,"",""
239,"BestiaryModLynxAura1",1075,"[0,0,0]",0,[],[],"",0,1,"[70,84,554]",1,0,"",""
240,"BestiaryModCrabAura1",1078,"[0,0]",50,"[1,2,24]",[],"",0,1,"[477,448]",1,0,"",""
241,"BestiaryModSquidAura1",1079,"[0,0]",50,"[1,2,24]",[],"",0,1,"[449,974]",1,0,"",""
242,"BestiaryModSpiderAura1",1080,"[0,0]",50,"[1,2,24]",[],"",0,1,"[2303,7127]",1,0,"",""
243,"BestiaryModTigerSpiritBossMinions",1081,"[0,0,0,0]",50,"[1,2]",[],"",0,1,"[70,84,554,95]",1,0,"",""
244,"UniqueNearbyAlliesAreLucky",1141,[0],50,"[2,10]",[],"",0,1,[8129],1,0,"",""
245,"NearbyEnemiesReducedStunRecoveryUnique__1",1164,[0],60,[3],[],"",0,1,[221],1,0,"",""
246,"NearbyEnemiesGrantIncreasedFlaskChargesUnique__1",1165,[0],60,[3],[],"",0,1,[459],1,0,"",""
247,"NearbyEnemiesHaveIncreasedChanceToBeCritUnique__1",1167,[0],60,[3],[],"",0,1,[9055],1,0,"",""
248,"NearbyEnemiesHaveIncreasedChanceToBeCritUnique__2",1166,[0],60,[3],[],"",0,1,[9051],1,0,"",""
249,"NearbyEnemiesHaveReducedAllResistancesUnique__1",1168,[0],60,[3],[],"",0,1,[7645],1,0,"",""
