"rownum","BaseItemTypesKey","ItemVisualEffectKey","ItemVisualIdentityKey1","ItemVisualIdentityKey2","Stats","ItemClasses","[rid]","bool","[i32]","[i32]","bool","[rid]","bool","[rid]","[rid]","rid"
131,491,"","","",[],[],[],"",[],[20],"",[],"",[],[],""
132,494,"","","",[],[],[],"",[],[20],"",[],"",[],[],""
133,495,"","","",[],[],[],"",[],[20],"",[],"",[],[],""
134,496,"","","",[],[],[],"",[],[20],"",[],"",[],[],""
135,497,"","","",[],[],[],"",[],[20],"",[],"",[],[],""
136,498,"","","",[],[],[],"",[],[20],"",[],"",[],[],""
137,503,"","","",[],[],[],"",[],[17],"",[],"",[],[],""
138,504,"","","",[],[],[],"",[],[17],"",[],"",[],[],""
139,505,"","","",[],[],[],"",[],[17],"",[],"",[],[],""
140,6596,"","",3801,[],[24],[],"",[],[10],"",[],"",[],[],""
141,509,"",3804,"",[],[24],[],"",[],[9],"",[],"",[],[],""
142,510,"",3805,"",[],[23],[],"",[],[12],"",[],"",[],[],""
143,511,"",3806,"",[],[22],[],"",[],[11],"",[],"",[],[],""
144,512,"",3807,"",[],[25],[],"",[],[7],"",[],"",[],[],""
145,513,"","",3808,[],[24],[],"",[],[10],"",[],"",[],[],""
146,514,"",3809,"",[],[24],[],"",[],[9],"",[],"",[],[],""
147,515,"",3810,"",[],[23],[],"",[],[12],"",[],"",[],[],""
148,517,"",3811,"",[],[22],[],"",[],[11],"",[],"",[],[],""
149,516,"",3812,"",[],[25],[],"",[],[7],"",[],"",[],[],""
150,518,"",3813,"",[],[24],[],"",[],[9],"",[],"",[],[],""
151,519,"",3814,"",[],[23],[],"",[],[12],"",[],"",[],[],""
152,520,"",3816,"",[],[25],[],"",[],[7],"",[],"",[],[],""
153,521,"",3815,"",[],[22],[],"",[],[11],"",[],"",[],[],""
154,522,"",3817,"",[],[24],[],"",[],[9],"",[],"",[],[],""
155,523,"",3818,"",[],[23],[],"",[],[12],"",[],"",[],[],""
156,524,"",3819,"",[],[22],[],"",[],[11],"",[],"",[],[],""
157,525,"",3820,"",[],[25],[],"",[],[7],"",[],"",[],[],""
158,526,"",3821,"",[],[24],[],"",[],[9],"",[],"",[],[],""
159,527,"",3822,"",[],[23],[],"",[],[12],"",[],"",[],[],""
160,528,"",3823,"",[],[22],[],"",[],[11],"",[],"",[],[],""
161,529,"",3824,"",[],[25],[],"",[],[7],"",[],"",[],[],""
162,530,"",3825,"",[],[24],[],"",[],[9],"",[],"",[],[],""
163,531,"",3826,"",[],[23],[],"",[],[12],"",[],"",[],[],""
164,532,"",3827,"",[],[22],[],"",[],[11],"",[],"",[],[],""
165,533,"",3828,"",[],[25],[],"",[],[7],"",[],"",[],[],""
166,534,"",3829,"",[],[24],[],"",[],[9],"",[],"",[],[],""
167,535,"",3830,"",[],[23],[],"",[],[12],"",[],"",[],[],""
168,536,"",3831,"",[],[22],[],"",[],[11],"",[],"",[],[],""
169,537,"",3832,"",[],[25],[],"",[],[7],"",[],"",[],[],""
170,538,"",3833,"",[],[24],[],"",[],[9],"",[],"",[],[],""
171,539,"",3834,"",[],[23],[],"",[],[12],"",[],"",[],[],""
172,540,"",3835,"",[],[22],[],"",[],[11],"",[],"",[],[],""
173,541,"",3836,"",[],[25],[],"",[],[7],"",[],"",[],[],""
174,542,"",3837,"",[],[24],[],"",[],[9],"",[],"",[],[],""
175,543,"",3838,"",[],[23],[],"",[],[12],"",[],"",[],[],""
176,544,"",3839,"",[],[22],[],"",[],[11],"",[],"",[],[],""
177,545,"",3840,"",[],[25],[],"",[],[7],"",[],"",[],[],""
178,546,"",3841,"",[],[24],[],"",[],[9],"",[],"",[],[],""
179,547,"",3842,"",[],[23],[],"",[],[12],"",[],"",[],[],""
180,548,"",3843,"",[],[22],[],"",[],[11],"",[],"",[],[],""
181,549,"",3844,"",[],[25],[],"",[],[7],"",[],"",[],[],""
182,552,"","",3847,[],[24],[],"",[],[10],"",[],"",[],[],""
183,553,"","",3848,[],[24],[],"",[],[10],"",[],"",[],[],""
184,564,"",3849,"",[],[25],[],"",[],[7],"",[],"",[],[],""
185,565,"","",3850,[],[25],[],"",[],"[8,21]","",[],"",[],[],""
186,477,"",3793,"",[],[25],[],"",[],[7],"",[],"",[],[],""
187,478,"",3794,"",[],[25],[],"",[],[7],"",[],"",[],[],""
188,479,"",3795,"",[],[25],[],"",[],[7],"",[],"",[],[],""
189,480,"",3796,"",[],[25],[],"",[],[7],"",[],"",[],[],""
190,481,"",3797,"",[],[25],[],"",[],[7],"",[],"",[],[],""
191,566,"","",3851,[],[24],[],"",[],[10],"",[],"",[],[],""
192,567,"","",3852,[],[24],[],"",[],[10],"",[],"",[],[],""
193,568,"","",3853,[],[24],[],"",[],[10],"",[],"",[],[],""
194,569,"","",3854,[],[24],[],"",[],[10],"",[],"",[],[],""
195,570,"",3855,"",[],[26],[],"",[],[4],"",[],"",[],[],""
196,571,"",3856,"",[],[26],[],"",[],[4],"",[],"",[],[],""
197,572,"",3857,"",[],[26],[],"",[],[4],"",[],"",[],[],""
198,573,"",3858,"",[],"[6,7,56]",[],"",[],"[1,4]","",[],"",[],[],""
199,574,"",3859,"",[],"[9,11,12,32,10]",[],"",[],"[1,4]","",[],"",[],[],""
200,575,"",3860,"",[],"[16,17,15]",[],"",[],[1],"",[],"",[],[],""
201,576,"",3861,"",[],"[16,17,15]",[],"",[],[1],"",[],"",[],[],""
202,577,"",3862,"",[],"[16,17,15]",[],"",[],[1],"",[],"",[],[],""
203,578,"",3863,"",[],[13],[],"",[],[1],"",[],"",[],[],""
204,579,"",3864,"",[],[13],[],"",[],[1],"",[],"",[],[],""
205,580,"",3865,"",[],[25],[],"",[],[7],"",[],"",[],[],""
206,581,"",3866,"",[],[24],[],"",[],[9],"",[],"",[],[],""
207,582,"",3867,"",[],[25],[],"",[],[7],"",[],"",[],[],""
208,583,"",3868,"",[],[23],[],"",[],[12],"",[],"",[],[],""
209,584,"",3869,"",[],[22],[],"",[],[11],"",[],"",[],[],""
210,585,"",3870,"",[],[24],[],"",[],[9],"",[],"",[],[],""
211,586,"",3871,"",[],[25],[],"",[],[7],"",[],"",[],[],""
212,587,"",3872,"",[],[23],[],"",[],[12],"",[],"",[],[],""
213,588,"",3873,"",[],[22],[],"",[],[11],"",[],"",[],[],""
214,589,"",3874,"",[],[24],[],"",[],[9],"",[],"",[],[],""
215,590,"",3875,"",[],[25],[],"",[],[7],"",[],"",[],[],""
216,591,"",3876,"",[],[23],[],"",[],[12],"",[],"",[],[],""
217,592,"",3877,"",[],[22],[],"",[],[11],"",[],"",[],[],""
218,593,"",3878,"",[],[24],[],"",[],[9],"",[],"",[],[],""
219,594,"",3879,"",[],[25],[],"",[],[7],"",[],"",[],[],""
220,595,"",3880,"",[],[23],[],"",[],[12],"",[],"",[],[],""
221,596,"",3881,"",[],[22],[],"",[],[11],"",[],"",[],[],""
222,597,"",3882,"",[],"[9,11,12,32,10]",[],"",[],"[1,4]","",[],"",[],[],""
223,598,"","",3883,[],[25],[],"",[],"[8,21]","",[],"",[],[],""
224,599,"","",3884,[],[25],[],"",[],"[8,21]","",[],"",[],[],""
225,600,"",3885,"",[],"[9,11,12,32,10]",[],"",[],"[1,4]","",[],"",[],[],""
226,601,"","",3886,[],[24],[],"",[],[10],"",[],"",[],[],""
227,602,"",3887,"",[],[25],[],"",[],[7],"",[],"",[],[],""
228,603,"","","",[347],[],[5459],"",[-2],[36],"",[],"",[],[],""
229,604,"","","",[347],[],"[5570,5632]","",[1],[36],"",[],"",[],[],""
230,605,"","","",[347],[],"[5594,5643]","",[2],[36],"",[],"",[],[],""
231,606,"",3888,"",[],[25],[],"",[],[7],"",[],"",[],[],""
232,607,"",3889,"",[],[25],[],"",[],[7],"",[],"",[],[],""
233,608,"",3890,"",[],[25],[],"",[],[7],"",[],"",[],[],""
234,609,"",3891,"",[],[25],[],"",[],[7],"",[],"",[],[],""
235,610,"",3892,"",[],[25],[],"",[],[7],"",[],"",[],[],""
236,611,"",3893,"",[],[26],[],"",[],[4],"",[],"",[],[],""
237,612,"",3894,"",[],[25],[],"",[],[7],"",[],"",[],[],""
238,613,"",3895,"",[],[25],[],"",[],[7],"",[],"",[],[],""
239,614,"",3896,"",[],[25],[],"",[],[7],"",[],"",[],[],""
240,615,"",3897,"",[],[25],[],"",[],[7],"",[],"",[],[],""
241,616,"",3898,"",[],[25],[],"",[],[7],"",[],"",[],[],""
242,617,"","","",[347],[],[5445],"",[2],[36],"",[],"",[],[],""
243,618,"",3899,"",[],[8],[],"",[],"[1,4]","",[],"",[],[],""
244,619,"",3900,"",[],[8],[],"",[],"[1,4]","",[],"",[],[],""
245,620,"",3901,"",[],[8],[],"",[],"[1,4]","",[],"",[],[],""
246,621,"","","",[347],[],[5456],"",[1],[36],"",[],"",[],[],""
247,622,"","","",[347],[],[5456],"",[2],[36],"",[],"",[],[],""
248,624,"",3902,"",[],[25],[],"",[],[7],"",[],"",[],[],""
249,625,"",3903,"",[],[23],[],"",[],[12],"",[],"",[],[],""
250,626,"",3904,"",[],[22],[],"",[],[11],"",[],"",[],[],""
251,627,"",3905,"",[],[24],[],"",[],[9],"",[],"",[],[],""
252,628,"",3906,"",[],[24],[],"",[],[9],"",[],"",[],[],""
253,629,"","",3907,[],[24],[],"",[],[10],"",[],"",[],[],""
254,630,"","","","[347,1302]",[],"[5660,5659]","","[1,1]",[36],"",[],"",[],[],""
255,631,"",3908,"",[],[13],[],"",[],[1],"",[],"",[],[],""
256,632,"",3909,"",[],[25],[],"",[],[7],"",[],"",[],[],""
257,633,"",3910,"",[],[25],[],"",[],[7],"",[],"",[],[],""
258,634,"",3911,"",[],[23],[],"",[],[12],"",[],"",[],[],""
259,635,"",3912,"",[],[22],[],"",[],[11],"",[],"",[],[],""
260,636,"",3913,"",[],[24],[],"",[],[9],"",[],"",[],[],""
261,637,"",3914,"",[],[26],[],"",[],[4],"",[],"",[],[],""
262,638,26,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],""
263,639,"",3915,"",[],[25],[],"",[],[7],"",[],"",[],[],""
264,640,"",3916,"",[],[23],[],"",[],[12],"",[],"",[],[],""
265,641,"",3917,"",[],[22],[],"",[],[11],"",[],"",[],[],""
266,642,"",3918,"",[],[24],[],"",[],[9],"",[],"",[],[],""
267,643,"",3919,"",[],[25],[],"",[],[7],"",[],"",[],[],""
268,644,"",3920,"",[],[23],[],"",[],[12],"",[],"",[],[],""
269,645,"",3921,"",[],[22],[],"",[],[11],"",[],"",[],[],""
270,646,"",3922,"",[],[24],[],"",[],[9],"",[],"",[],[],""
271,647,31,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],""
272,648,"","","",[319],[4],[],"",[1],[14],"",[],"",[],[],""
273,649,27,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],""
274,650,"","","",[319],[4],[],"",[4],[14],"",[],"",[],[],""
275,651,28,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],""
276,652,"","","",[319],[4],[],"",[2],[14],"",[],"",[],[],""
277,653,29,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],""
278,654,"","","",[319],[4],[],"",[3],[14],"",[],"",[],[],""
279,655,30,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],""
280,660,"","",3923,[],[24],[],"",[],[10],"",[],"",[],[],""
281,661,"","","",[347],[],"[5443,5640]","",[3],[36],"",[],"",[],[],""
282,662,"","","",[],[],[],"",[],[15],"",[],"",[],[],""
283,663,"","","",[],[],[],"",[],[15],"",[],"",[],[],""
284,664,"","","",[],[],[],"",[],[15],"",[],"",[],[],""
285,665,"","","",[],[],[],"",[],[15],"",[],"",[],[],""
286,666,"",3924,"",[],[25],[],"",[],[7],"",[],"",[],[],""
287,667,"","","","[347,1222,2678]",[],[5546],"","[5,-1,-5]",[36],"",[],"",[],[],""
288,668,"","","",[347],[],[5462],"",[1],[36],"",[],"",[],[],""
289,669,"","","",[1222],[],"[5532,5548,5534,5535,5541,5546,5542,5566,5688,5830,5826]","",[4],[36],"",[],"",[],[],""
290,670,"","","","[347,1302]",[],[5649],"","[1,1]",[36],"",[],"",[],[],""
291,671,"","","",[347],[],[5681],"",[1],[36],"",[],"",[],[],""
292,672,"","","",[1222],[],"[5532,5548,5534,5535,5541,5546,5542,5566,5688,5830,5826]","",[5],[36],"",[],"",[],[],""
293,673,"",3925,"",[],[25],[],"",[],[7],"",[],"",[],[],""
294,674,"",3926,"",[],[23],[],"",[],[12],"",[],"",[],[],""
295,675,"",3927,"",[],[22],[],"",[],[11],"",[],"",[],[],""
296,676,"",3928,"",[],[24],[],"",[],[9],"",[],"",[],[],""
297,677,"",3929,"",[],[25],[],"",[],[7],"",[],"",[],[],""
298,678,"",3930,"",[],[23],[],"",[],[12],"",[],"",[],[],""
299,679,"",3931,"",[],[22],[],"",[],[11],"",[],"",[],[],""
300,680,"",3932,"",[],[24],[],"",[],[9],"",[],"",[],[],""
301,693,"",3933,"",[],[25],[],"",[],[7],"",[],"",[],[],""
302,694,"",3934,"",[],[23],[],"",[],[12],"",[],"",[],[],""
303,695,"",3935,"",[],[22],[],"",[],[11],"",[],"",[],[],""
304,696,"",3936,"",[],[24],[],"",[],[9],"",[],"",[],[],""
305,697,"",3937,"",[],[25],[],"",[],[7],"",[],"",[],[],""
306,698,"",3938,"",[],[23],[],"",[],[12],"",[],"",[],[],""
307,699,"",3939,"",[],[22],[],"",[],[11],"",[],"",[],[],""
308,700,"",3940,"",[],[24],[],"",[],[9],"",[],"",[],[],""
309,689,32,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],""
