"rownum","Id","HASH16","Stats","Stat1Value","Stat2Value","Stat3Value"
102,"Dagger1",63223,[3615],100,0,0
103,"Dagger2",33315,[2041],1,0,0
104,"Dagger3",20515,[15318],8,0,0
105,"Dagger4",42559,[15320],8,0,0
106,"Dagger5",58309,[15319],15,0,0
107,"Dagger6",44869,[10342],40,0,0
108,"DamageOverTime1",2459,[13933],30,0,0
109,"DamageOverTime2",1251,[15187],10,0,0
110,"DamageOverTime3",34420,"[215,6076]",15,15,0
111,"DamageOverTime4",11521,[15321],-10,0,0
112,"DualWield1",14796,"[14946,2855]",1,15,0
113,"DualWield2",6090,[14947],100,0,0
114,"DualWield3",46493,[14948],60,0,0
115,"DualWield4",7972,[14971],20,0,0
116,"DualWield5",60440,[14973],15,0,0
117,"DualWield6",33959,"[14978,14979]",20,20,0
118,"Duration1",17852,[14981],10,0,0
119,"Duration2",21730,[14982],-10,0,0
120,"Duration3",24352,[6340],15,0,0
121,"Duration4",14881,[621],20,0,0
122,"Elemental1",48385,[14999],-18,0,0
123,"Elemental2",4119,[1669],-60,0,0
124,"Elemental3",59343,[1899],10,0,0
125,"Elemental4",17942,[6308],40,0,0
126,"Elemental5",30502,[141],15,0,0
127,"Elemental6",25681,[8827],100,0,0
128,"EnergyShield1",51424,"[1735,1211]",1,30,0
129,"EnergyShield2",30520,[14950],1,0,0
130,"EnergyShield3",571,[14974],50,0,0
131,"EnergyShield4",35810,[1410],120,0,0
132,"EnergyShield5",29586,[698],3,0,0
133,"EnergyShield6",31556,[15016],25,0,0
134,"Evasion1",25487,[7677],1,0,0
135,"Evasion2",37190,[4642],40,0,0
136,"Evasion3",6462,[6763],10,0,0
137,"Evasion4",61741,"[4435,5274,12065]",30,30,30
138,"Evasion5",57074,[15018],25,0,0
139,"Evasion6",28676,[15338],100,0,0
140,"EvasionEnergyShield1",11541,[15188],30,0,0
141,"EvasionEnergyShield2",46099,[15189],20,0,0
142,"EvasionEnergyShield3",47151,[15190],30,0,0
143,"EvasionEnergyShield4",38423,[15340],1,0,0
144,"Fire1",24180,[14951],-5,0,0
145,"Fire2",65020,[14968],2,0,0
146,"Fire3",37,[482],40,0,0
147,"Fire4",36313,[5239],20,0,0
148,"Fire5",55308,[5321],1,0,0
149,"Fire6",6216,"[10184,144]",20,-30,0
150,"Flask1",29214,[14952],10,0,0
151,"Flask2",59906,[14953],1,0,0
152,"Flask3",11869,"[10998,9999]",1,1,0
153,"Flask4",40906,[1745],10,0,0
154,"Flask5",20464,[9994],1,0,0
155,"Flask6",10815,[14969],1,0,0
156,"Fortify1",37925,"[2762,14851]",100,-3,0
157,"Fortify2",51153,[14851],3,0,0
158,"Fortify3",27173,[2954],100,0,0
159,"Fortify4",4710,[15119],-10,0,0
160,"Impale1",43295,[15038],100,0,0
161,"Impale2",56133,[10794],20,0,0
162,"Impale3",29209,"[12677,12675]",40,40,0
163,"Impale4",43308,"[13143,12676]",4,10,0
164,"Impale5",20273,[15191],20,0,0
165,"Leech1",62252,[9272],20,0,0
166,"Leech2",2249,[9273],30,0,0
167,"Leech3",5995,[9274],30,0,0
168,"Leech4",53627,[2866],30,0,0
169,"Leech5",57298,[11977],100,0,0
170,"Life1",64381,"[124,2809]",10,-10,0
171,"Life2",34242,[6780],120,0,0
172,"Life3",47642,[123],50,0,0
173,"Life4",31822,[13999],-15,0,0
174,"Life5",21468,[5849],50,0,0
175,"Life6",38454,[15035],100,0,0
176,"Link1",59815,[15170],1,0,0
177,"Link2",26985,[15174],20,0,0
178,"Link3",18365,[15172],-5,0,0
179,"Link4",46059,[15173],1,0,0
180,"Lightning1",53046,[484],40,0,0
181,"Lightning2",64241,[11455],1,0,0
182,"Lightning3",50993,[11430],1,0,0
183,"Lightning4",28569,[7775],80,0,0
184,"Lightning5",64063,[15192],1,0,0
185,"Lightning6",20364,[15372],1,0,0
186,"Mace1",37132,[14954],1,0,0
187,"Mace2",17821,[14955],20,0,0
188,"Mace3",12139,[14970],1,0,0
189,"Mace4",22542,[15001],12,0,0
190,"Mace5",40991,[341],50,0,0
191,"Mace6",16425,[2611],1,0,0
192,"Mana1",2902,[14980],300,0,0
193,"Mana2",55886,[12072],10,0,0
194,"Mana3",59064,[1074],10,0,0
195,"Mana4",12119,[213],10,0,0
196,"Mana5",64642,[3727],10,0,0
197,"Mana6",64875,[15014],100,0,0
198,"Mark1",2800,[13346],25,0,0
199,"Mark2",34031,[15194],1,0,0
200,"Mark3",48980,[15197],10,0,0
201,"Mark4",50841,[15342],1,0,0
202,"Mark5",52153,[15515],10,0,0
203,"Mine1",29161,[10051],2,0,0
204,"Mine2",47823,[10052],-2,0,0
205,"Mine3",18391,[10126],30,0,0
206,"Mine4",21313,[15198],100,0,0
207,"Mine5",533,[15199],1,0,0
208,"Mine6",6510,[15201],150,0,0
209,"MinionDefence1",61283,[10252],8,0,0
210,"MinionDefence2",20153,[14936],1,0,0
211,"MinionDefence3",15574,[3120],100,0,0
212,"MinionDefence4",58106,[4358],40,0,0
213,"MinionDefence5",43400,"[159,15148]",30,-15,0
214,"MinionDefence6",46636,[11462],5,0,0
215,"MinionOffence1",47429,[14975],20,0,0
216,"MinionOffence2",9876,[14976],8,0,0
217,"MinionOffence3",40073,[9982],25,0,0
218,"MinionOffence4",41544,[11757],100,0,0
219,"MinionOffence5",11723,[8121],250,0,0
220,"MinionOffence6",57179,[4416],20,0,0
221,"Physical1",62782,[15039],100,0,0
222,"Physical2",32255,[12997],20,0,0
223,"Physical3",20173,[1670],-60,0,0
224,"Physical4",39010,[10769],15,0,0
225,"Physical5",18859,[15202],40,0,0
226,"Physical6",59010,"[15343,10873]",20,10,0
227,"Poison1",34563,[11463],300,0,0
228,"Poison2",62897,[9090],20,0,0
229,"Poison3",45300,[11106],12,0,0
230,"Poison4",64264,[3367],20,0,0
231,"Poison5",16264,[5216],3,0,0
232,"Poison6",52120,[15344],20,0,0
233,"Projectile1",16644,[7131],20,0,0
234,"Projectile2",2198,[7902],20,0,0
235,"Projectile3",52404,[15205],1,0,0
236,"Projectile4",14813,[15204],1,0,0
237,"Projectile5",1167,[15206],15,0,0
238,"Projectile6",44240,[15207],-15,0,0
239,"Reservation1",28638,[15080],8,0,0
240,"Reservation2",34383,[14740],15,0,0
241,"Reservation3",23621,[14741],30,0,0
242,"Reservation4",56471,[845],30,0,0
243,"Reservation5",61097,[15087],15,0,0
244,"Reservation6",12046,[11645],50,0,0
245,"Resistance1",19422,[7906],1,0,0
246,"Resistance2",4319,"[5856,6405]",100,1,0
247,"Resistance3",9074,[12065],100,0,0
248,"Resistance4",46807,[6084],20,0,0
249,"Resistance5",53837,[1278],-20,0,0
250,"Resistance6",31331,"[141,150]",12,7,0
251,"Shield1",45263,[15107],50,0,0
252,"Shield2",30612,[15108],1,0,0
253,"Shield3",10059,[15109],1,0,0
254,"Shield4",50228,[9225],20,0,0
255,"Shield5",35302,[11413],2,0,0
256,"Shield6",45307,[11414],1,0,0
257,"Staff1",50863,"[15110,15111]",2,2,0
258,"Staff2",28589,[15112],30,0,0
259,"Staff3",47249,[15113],8,0,0
260,"Staff4",22149,[3830],20,0,0
261,"Staff5",9143,"[3234,5573]",100,0,0
262,"Staff6",65233,[6945],60,0,0
263,"Suppression1",58447,[14779],2,0,0
264,"Suppression2",7677,[15208],1,0,0
265,"Suppression3",42014,[15209],1,0,0
266,"Suppression4",2474,[15370],-50,0,0
267,"Suppression5",13757,[15341],10,0,0
268,"Sword1",47595,[9843],3,0,0
269,"Sword2",47299,[8422],20,0,0
270,"Sword3",8018,[12801],8,0,0
271,"Sword4",23247,[15213],1,0,0
272,"Sword5",50922,"[2383,615]",120,-20,0
273,"Sword6",54067,[223],50,0,0
274,"Totem1",60050,[10566],1,0,0
275,"Totem2",27718,[15083],30,0,0
276,"Totem3",12747,[15081],5,0,0
277,"Totem4",53005,[15114],1,0,0
278,"Totem5",32279,[3045],4000,0,0
279,"Totem6",16950,[11016],50,0,0
280,"Trap1",13257,[14090],5,0,0
281,"Trap2",8298,[15034],50,0,0
282,"Trap3",50265,[950],5,0,0
283,"Trap4",20694,[312],60,0,0
284,"Trap5",763,[4743],30,0,0
285,"Trap6",43061,[15200],1,0,0
286,"TwoHand1",35582,[12635],3,0,0
287,"TwoHand2",27095,[3407],40,0,0
288,"TwoHand3",31564,"[15323,15324]",10,10,0
289,"TwoHand4",31038,[15327],15,0,0
290,"TwoHand5",1626,"[11594,70]",60,-10,0
291,"Wand1",16545,[15115],10,0,0
292,"Wand2",26785,[15116],1,0,0
293,"Wand3",42540,[15117],1,0,0
294,"Wand4",61352,[11643],100,0,0
295,"Wand5",15133,"[2695,2696]",50,50,0
296,"Wand6",63280,[15322],1,0,0
297,"Warcry1",14206,"[12336,12082]",1,25,0
298,"Warcry2",23021,[12085],1,0,0
299,"Warcry3",60034,[12334],15,0,0
300,"Warcry4",12916,[12087],20,0,0
301,"Warcry5",63994,[12160],1,0,0
302,"Warcry6",14032,[10976],1,0,0
