"rownum","Id","ImplicitStats","ConstantStats","ConstantStatsValues","BaseEffectiveness","IncrementalEffectiveness"
97,"LeapSlamRoyale","[618,3581,9869]",[8566],[1200],0,0
98,"DarkExileLeapSlam","[618,1114]","[479,26]","[24,68]",0,0
99,"KaomLeapSlam","[618,1114]","[634,611,1101,1922,5759]","[50,100,100,-53,40]",0,0
100,"Sweep","[618,9616,110]",[],[],0.67,0.0233
101,"SweepRoyale","[618,9616,110]",[],[],0.67,0.023
102,"VaalSweep","[110,618,1114]","[220,2295,1922]","[10,60,50]",0,0
103,"ExileSweep","[618,1114]",[],[],0,0
104,"WbLightningEliteSweep","[618,1114]","[479,26,70,1103,5759]","[100,24,40,50,25]",0,0
105,"BanditSweep","[618,1114]","[2698,5759]","[-20,-16]",0,0
106,"SkeletonBossCrossroadsSweep","[618,1114]","[2698,1102,5759]","[-20,40,-16]",0,0
107,"ExileVaalGroundSlam","[197,110,618]","[26,634,402,1302]","[29,50,100,-1]",0,0
108,"GladiatorBossEliteVaalGroundSlam","[110,618,2663]","[26,634,402,1302,5759]","[-15,-20,200,-1,40]",0,0
109,"WbVaalGroundSlam","[197,110,618]","[634,402,1302]","[50,100,-1]",0,0
110,"DarkExileVaalGroundSlam","[197,110,618]","[26,634,402,1302,214,70]","[29,20,50,-1,1,80]",0,0
111,"BullBossVaalGroundSlam","[197,110,618]","[634,402,1922,341]","[36,300,-25,150]",0,0
112,"RockGolemSlam",[618],"[1922,3413,5759]","[-20,33,200]",0,0
113,"RockGolemMonsterSlam",[618],"[1922,3413,5759]","[-20,33,200]",0,0
114,"RockGolemSlamTriggered1",[618],"[1922,3413,5759]","[-20,33,60]",0,0
115,"RockGolemSlamTriggered2",[618],"[1922,3413,5759]","[-20,33,90]",0,0
116,"RockGolemSlamTriggered3",[618],"[1922,3413,5759]","[-20,33,120]",0,0
117,"RockGolemSlamTriggered4",[618],"[1922,3413,5759]","[-20,33,150]",0,0
118,"RockGolemSlamTriggered5",[618],"[1922,3413,5759]","[-20,33,180]",0,0
119,"RockGolemSlamTriggered6",[618],"[1922,3413,5759]","[-20,33,210]",0,0
120,"ScorpionBurrowSlam",[618],[634],[-80],0,0
121,"GoatmanMonsterSlam",[618],"[1922,5759]","[-20,200]",0,0
122,"RockGolemSlamMinotaur",[618],"[1922,5759]","[-20,200]",0,0
123,"CoralGolemSlam",[618],"[1922,5759]","[-20,200]",0,0
124,"DemonModularSlam",[618],"[1922,5759]","[-20,100]",0,0
125,"BestiaryBeastMonsterSlam",[618],"[1922,3413,5759]","[-20,33,200]",0,0
126,"SentinelHolySlam",[618],"[1922,5759]","[-33,80]",0,0
127,"SentinelHolySlamBloodGuard",[618],"[1922,5759]","[-33,80]",0,0
128,"SentinelHolySlamFaithGuard",[618],"[1922,5759]","[-33,80]",0,0
129,"SentinelHolySlamCelestial",[618],"[1922,5759]","[-33,80]",0,0
130,"SentinelHolySlamCelestialDominating",[618],"[1922,5759]","[-33,80]",0,0
131,"SentinelHolySlamDemonic",[618],"[1922,5759]","[-33,80]",0,0
132,"SentinelHolySlamEmpyrean",[618],"[1922,5759]","[-33,80]",0,0
133,"SentinelHolySlamPolarisWhite",[618],"[1922,5759]","[-33,80]",0,0
134,"SentinelHolySlamDragonHunter",[618],"[1922,5759]","[-33,80]",0,0
135,"BetrayalSentinelUnholySlam",[618],"[1922,5759]","[-33,80]",0,0
136,"DjinnSlam",[618],[5759],[200],0,0
137,"GroundSlamBrute","[197,618]","[70,634,2698]","[-33,80,-30]",0,0
138,"GroundSlamStatue",[618],"[108,634]","[35,50]",0,0
139,"GroundSlamStatueInvasion",[618],"[108,634]","[35,50]",0,0
140,"BloodlinesMudElementalGroundSlam",[618],"[634,1922,5759]","[20,-55,200]",0,0
141,"BloodlinesBloodElementalBloodGroundSlam","[618,2361]","[634,1922]","[-30,-55]",0,0
142,"ProphecyBloodGroundSlam",[618],"[634,1922]","[-30,-55]",0,0
143,"ExileGroundSlam",[],"[108,634,1252,1239,5759]","[15,-20,4,150,40]",0,0
144,"AxisBossGroundSlam",[618],[],[],0,0
145,"DropBearSummonedGroundSlam",[618],[],[],0,0
146,"ShieldCrabGroundSlam",[618],"[108,5759]","[15,-30]",0,0
147,"WbGroundSlam",[],"[108,634,5759]","[15,-20,40]",0,0
148,"WbGroundSlamFireElite",[],"[108,634,1252,1239,5759]","[15,-20,4,150,40]",0,0
149,"ProphecyZombieGroundSlam",[618],"[108,634,5759]","[15,-20,40]",0,0
150,"KaruiSpiritGroundSlam",[618],"[108,634,5759]","[15,-20,40]",0,0
151,"TalismanGroundSlam",[618],"[1922,5759]","[-55,150]",0,0
152,"DarkExileGroundSlam",[],"[108,634,1252,1239,5759]","[15,-20,4,100,20]",0,0
153,"BestiaryKiwethGroundSlam","[618,618]","[108,634]","[35,50]",0,0
154,"KaomWarriorGroundSlam",[618],"[108,634]","[10,20]",0,0
155,"KaomWarriorGroundSlamSynthesis",[618],"[108,634,1922]","[10,20,-35]",0,0
156,"HellionGreustGroundSlam","[618,195]","[3441,1101,1922,5759]","[-50,50,-35,20]",0,0
157,"GroundSlamBeast","[618,12561]","[108,7722,5759]","[25,20,10]",0,0
158,"GroundSlamFormosanBeastiary",[618],"[108,634,1922]","[10,15,-23]",0,0
159,"AbyssBoneHuskSpellNova",[618],[5759],[-50],2,0.03
160,"AbyssUndyingSpellNova",[618],[5759],[-50],1.5,0.033
161,"BestiaryChimeraSpiritSpellNova",[618],[5759],[-50],1.5,0.033
162,"AbyssLichBoss2SpellNova",[618],"[2698,5759]","[-30,-20]",1.25,0.04
163,"Cleave","[618,1118,9616]",[1906],[-40],0.67,0.0233
164,"CleaveRoyale","[618,1118,9616]",[1906],[-20],0.67,0.0233
165,"MonsterCleave","[618,1118]","[1906,26,2698]","[-40,31,-20]",0,0
166,"MonsterCleaveWithEffect","[618,1118]","[1906,26,2698]","[-40,31,-20]",0,0
167,"VaalSideAreaBossVendigoCleave","[618,1118]","[1906,26,2698]","[-40,31,-20]",0,0
168,"TaniwhaCleave",[618],[],[],0,0
169,"BreachBossCleavePhysical",[618],[],[],0,0
170,"WbCleave","[618,1118]",[1906],[-40],0,0
171,"WbChaosLeaderCleave","[618,1118]","[1906,1302]","[-40,1]",0,0
172,"BeastCleave","[618,1118]","[1906,26,70]","[-40,31,-30]",0,0
173,"ExileCleave","[618,1118]","[1906,1302]","[-40,1]",0,0
174,"ExileCleaveStun","[618,1118]","[1906,108]","[-40,30]",0,0
175,"KitavaDemonCleave","[618,1118]","[3631,6043,1922]","[100,-44,-25]",0,0
176,"VultureBossCleave","[618,1118,693,2649]","[1922,634,660,5759]","[-44,80,-35,120]",0,0
177,"BanditBearCleave","[618,1118]","[1906,26,2698]","[-40,35,-20]",0,0
178,"ArakaaliCleave",[],"[2698,5759]","[-25,100]",0,0
179,"UnholyTrioCleave","[618,2649]","[1922,660,2698,5759]","[-30,20,-30,20]",1,0
180,"AbyssLichCleave","[618,2649]","[1922,660,2698]","[-38,-10,-50]",1,0
181,"BestiaryLynxCleave","[618,1118]","[1906,26,2698]","[-40,35,-20]",0,0
182,"HeraldOfAgonyMinionCleave","[618,12433]",[5759],[30],1,0
183,"LegionEternalEmpireMeleeCleave","[618,3817]",[1922],[-44],1,0
184,"NewShieldCharge","[1849,618,9877,9886]","[4104,472]","[75,100]",1.78,0.0173
185,"NewShieldChargeRoyale","[1849,618,9877,9886]","[4104,472,5357,5358]","[75,100,5,7]",2,0.0178
186,"ShieldCharge","[1849,1997]","[470,634]","[200,-50]",0,0
187,"RhoaShieldCharge","[1849,693]","[470,463,464]","[50,30,41]",0,0
188,"RhoaTableChargeTaunt","[1849,693]","[470,472]","[50,50]",0,0
189,"RhoaShieldChargeTaunt","[1849,693]","[470,472,463,464]","[50,50,30,41]",0,0
190,"RhoaShieldChargeTauntHarvest","[1849,693]","[470,463,464]","[50,20,41]",0,0
191,"RhoaShieldChargeTauntUnique","[1849,693]","[470,472,463,464]","[100,100,20,62]",0,0
192,"HarvestBearBossChargeNear","[1849,2975,625,2648]","[177,472,463]","[30,50,50]",0,0
193,"HarvestBearBossChargeMediumNear","[1849,2975,625,2648]","[177,472,463]","[30,50,25]",0,0
194,"HarvestBearBossChargeFar","[1849,2975,625,2648]","[177,472]","[30,50]",0,0
195,"HarvestBeastCharge","[1849,2975,625,2648]","[177,472,463,402]","[215,50,20,50]",0,0
196,"BestiaryRhoaShieldCharge","[1849,693]","[470,472,463,464]","[90,70,30,41]",0,0
197,"SpectralSkullShieldCharge",[1849],"[470,177,472,634]","[200,500,300,-50]",0,0
198,"RhoaMapBossShieldCharge",[1849],"[470,472,463,464]","[90,30,30,41]",0,0
199,"AxisShieldCharge","[1849,693]","[177,4104,463,1231]","[120,50,-10,-10]",0,0
200,"DominatingBlowMinionCharge","[1849,693]","[4104,177,472,5759]","[25,400,30,-40]",0,0
201,"BetrayalElreonMinionCharge","[1849,693]","[4104,177,472,5759]","[25,400,30,-40]",0,0
202,"RhoaShieldChargeInvasion",[1849],"[470,472,463,464]","[90,70,30,41]",0,0
203,"RhoaShieldChargeUntainted","[1849,625]","[470,472,463,464]","[90,70,90,62]",0,0
204,"GuardianShieldCharge","[1184,1849]","[177,472,463]","[70,35,30]",0,0
205,"AnimatedBustShieldCharge",[1849],"[4104,177,472,70,463]","[50,100,20,10,10]",0,0
206,"ExileShieldCharge",[1849],"[4104,177,463]","[50,50,10]",0,0
207,"ExileShieldChargeWeak",[1849],"[177,472,70,463]","[50,25,10,10]",0,0
208,"ExileShieldChargeKitava",[1849],"[4104,177,472,70,447,463]","[50,50,65,20,15,10]",0,0
209,"VaganShieldCharge",[1849],"[4104,177,463]","[50,50,10]",0,0
210,"ProphecyRhoaShieldCharge",[1849],"[4104,177,449,463]","[50,100,15,41]",0,0
211,"SummonedRhoaShieldCharge",[1849],"[4104,177,472,70,449]","[50,100,10,20,15]",0,0
212,"BoarBanditShieldCharge",[1849],"[4104,177,463]","[50,100,10]",0,0
213,"AnimalPackShieldCharge",[1849],"[4104,177,472,70,463]","[50,100,50,25,15]",0,0
214,"TemplarShieldCharge",[1849],"[4104,177,472,70,463,2762]","[50,50,20,15,15,100]",0,0
215,"TemplarCultistShieldCharge",[1849],"[4104,177,472,70,463,5419]","[50,50,20,15,15,50]",0,0
216,"AnimatedShieldShieldCharge",[1849],"[4104,177,472,70,463]","[100,75,20,15,10]",0,0
217,"InvisibleDaemonShieldCharge","[1184,625]","[177,463,464]","[50,50,50]",0,0
218,"HeistMilitaryEliteShieldCharge","[1849,693]","[177,470,463]","[62,50,15]",0,0
219,"HeistMilitaryMinibossShieldCharge","[1849,693]","[177,470,463]","[-50,50,30]",0,0
220,"HeistRoboDogCharge","[1849,693]","[177,470,463]","[104,50,20]",0,0
221,"SpikerBullCharge","[1849,693,110,618]","[177,470,472,463,402,10668,634]","[87,50,50,100,500,300,-50]",0,0
222,"SpikerBullChargePast","[1849,693,110,618,625]","[177,470,472,463,402,10668,634]","[87,50,50,100,500,300,-50]",0,0
223,"ReaperWraithCharge","[1849,2975]",[177],[366],0,0
224,"EnduringCry","[2975,9535,12110]","[316,142,446,357]","[5,2,2,2000]",0,0
225,"EnduringCryRoyale","[2975,9535,12110]","[316,142,446,357]","[5,2,2,2000]",0,0
226,"ExileEnduringCry",[],"[12305,357,451]","[2,1000,600]",0,0
227,"MonsterEnduringCry",[],"[12305,357,451]","[2,1000,600]",0,0
228,"EnduringCryBanditMapBoss",[],"[316,357,125,214]","[300,1000,1000000,20]",0,0
229,"MonsterEnduringCryInvasion",[],"[12305,357,451]","[2,1000,600]",0,0
230,"WbEnduringCry",[],"[12305,357,451]","[2,1000,600]",0,0
231,"ProphecyEnduringCry",[],"[12305,357,451]","[2,1000,600]",0,0
232,"BeastEnduringCry",[],"[12305,357,451]","[2,1000,600]",0,0
233,"WestEnduringCry",[],"[12305,357,451,5759]","[2,1000,600,200]",0,0
234,"DoubleStrike",[],"[1116,3631]","[1,25]",1,0.0233
235,"MonsterDoubleStrike",[],[1116],[1],0,0
236,"AxisDoubleStrike",[],[634],[-40],0,0
237,"AxisDoubleStrikeTrigger",[],[1116],[1],0,0
238,"MonsterDoubleStrikeKitavaCleric",[],[1116],[1],0,0
239,"WbDoubleStrike",[],"[26,1116]","[-15,1]",0,0
240,"AbyssLich2DoubleStrike",[],"[1116,1922]","[1,-48]",0,0
241,"BestiaryTigerSpiritBossDoubleStrike",[],"[1116,1922]","[1,-75]",1,0
242,"ElementalHit","[850,851,7928,7929,8001]",[],[],2.8242,0.0314
243,"ElementalHitRoyale","[850,851,7928,7929,8001]",[5759],[30],3.5624,0.0314
244,"ElementalHitSkeletonKnight","[850,851,12561,4584,7088,618]",[1874],[50],1.1667,0.0428
245,"ElementalHitSkeletonKnightIncursion","[850,851,12561,4584,7088,618]",[1874],[25],1,0
246,"ElementalHitSkeletonKnightInvasion","[850,851,12561,4584,7088,618]",[1874],[25],1.1667,0.0428
247,"ExileElementalHit",[850],[],[],0.9333,0.0428
248,"ExileElementalHitLightning","[618,850,851,7922,7921]","[173,1874]","[2,25]",0.9333,0.0428
249,"CitystalkerElementalHit",[618],[1874],[25],0.9333,0.0428
250,"MachinariumElementalHitFire","[618,850,851,7922,7923,12561]",[1874],[25],1,0
251,"MachinariumElementalHitCold","[618,850,851,7921,7923,12561]",[1874],[25],1,0
252,"MachinariumElementalHitLightning","[618,850,851,7921,7922,12561]",[1874],[25],1,0
253,"ExileElementalHitBarrage","[850,10553]",[],[],0.723,0.0316
254,"ImmortalCall","[2975,9854,13216]","[9384,361,357]","[-1500,20,1000]",0,0
255,"ExileImmortalCallOnDamageTaken",[6542],"[357,703,1844]","[250,600,100]",0,0
256,"VaalImmortalCall","[2117,2975,8027,8722]",[357],[400],0,0
257,"ImmortalCallOak",[],[357],[1000],0,0
258,"ExileImmortalCall",[],[],[],0,0
259,"WbImmortalCall",[],[],[],0,0
260,"DualStrike",[1118],"[9769,9770]","[100,30]",0,0
261,"DualStrikeRoyale",[1118],"[9769,9770]","[100,30]",0,0
262,"BanditDualStrike",[1118],"[26,634]","[41,-10]",0,0
263,"ExileDualStrike",[1118],"[26,634]","[6,-10]",0,0
264,"WbDualStrike",[1118],[634],[-40],0,0
265,"PerandusDualStrike","[1118,3817]",[634],[-40],0,0
266,"MonsterDemonDualStrike",[1118],"[26,634]","[6,53]",0,0
267,"DemonDualStrikeSideAreaBoss",[1118],"[26,634]","[6,53]",0,0
268,"MonsterDualStrikePitbull",[1118],[634],[-10],0,0
269,"MonsterDualStrikePitbullBleed",[1118],"[3631,6043,1922]","[100,-44,-25]",0,0
270,"HarvestSpiderDualStrike","[1118,1114,12433]","[1231,1104]","[6,25]",0,0
271,"WhirlingBlades","[1849,1997]",[8566],[600],0,0
272,"WhirlingBladesRoyale","[1849,1997]",[8566],[1500],0,0
273,"ExileWhirlingBlades","[1849,1997]","[26,634]","[6,-30]",0,0
274,"WbWhirlingBlades","[1849,1114]",[634],[-30],0,0
275,"PerandusWhirlingBlades","[1849,1114]",[634],[-30],0,0
276,"VaganWhirlingBlades","[1849,1997]","[26,634]","[6,-50]",0,0
277,"PurgeHoundWhirlingBlades",[1849],[],[],0,0
278,"DarkExileWhirlingBlades","[1849,1997]","[26,634,1922]","[6,-30,100]",0,0
279,"UndyingWhirlingBlades","[1114,1849]","[634,872]","[-40,1]",0,0
280,"UndyingWhirlingBladesInvasion","[1114,1849]","[634,872]","[-40,1]",0,0
281,"FireMonsterWhirlingBlades","[1114,1849]","[357,70,872]","[6000,-50,1]",1.0889,0.0646
282,"FireMonsterWhirlingBladesInvasion","[1114,1849]","[357,70,872]","[6000,-50,1]",1.0889,0.0646
283,"MossMonsterWhirlingBlades","[1114,1849]","[1719,70,872]","[1,-50,1]",2.14,0.0475
284,"MossMonsterWhirlingBladesUnique","[1114,1849]","[1719,70,872]","[1,-50,1]",2.14,0.0475
285,"MossMonsterWhirlingBladesInvasion","[1114,1849]","[1719,70,872]","[1,-50,1]",2.14,0.0475
286,"RockGolemWhirlingBlades","[1114,1849]","[1719,1922,872]","[1,-50,1]",0,0
287,"RockGolemMinionWhirlingBlades","[1114,1849]","[1719,1922,872]","[1,-25,1]",0,0
288,"CorpseWheelWhirlingBlades","[1114,1849]","[1719,1922,872]","[1,-50,1]",0,0
289,"KitavaDemonWhirlingBlades","[1114,1849]","[357,872]","[6000,1]",2.6667,0.0625
290,"PlaguewingWhirlingBlades","[1114,1849]","[357,872,4593]","[6000,1,2]",1.7333,0.04
291,"AbyssMineBatWhirlingBlades","[1114,1849]","[357,872,4593]","[6000,1,2]",1.7333,0.04
292,"NessaCrabWhirlingBlades","[1849,1997,1114,2361]","[1719,872]","[1,2]",1,0
293,"ElderGuardianWhirlingBlades","[1849,1114]",[1922],[-35],0.98,0.0646
294,"ExpeditionWhirlingBlades","[1114,1849]","[872,1719,2603]","[1,3,20]",1,0
295,"VilentaDash","[1849,1114]",[1922],[50],0.98,0.0646
296,"VilentaDashMap","[1849,1114]","[1922,634]","[50,-30]",0.98,0.0646
297,"DelveProtoVaalDash","[1849,1114]","[1922,1102]","[-60,75]",0.98,0.0646
298,"ElderGuardianWhirlingBladesBarrage","[1849,1114,3817,2361]",[1922],[-72],0.98,0.0646
299,"BetrayalVoriciCloneDash","[1849,1114]",[],[],1,0
300,"BoneGolemWhirl","[1849,1114]",[660],[-40],1,0
301,"HeistRobotClockworkRoll","[1849,1114]",[],[],1,0
302,"HeistCultistUnarmedLeap","[1849,1114]",[1719],[2],1,0
303,"DrakelingWhirlingBlades","[1849,1114]",[660],[10],1,0
304,"Frenzy","[850,851]","[9774,9775]","[5,5]",0,0
305,"MonsterFrenzy","[850,851]","[365,364,636]","[20,5,20]",0,0
306,"BanditLeaderFrenzyMapBoss","[850,851]","[365,364,636]","[12,5,20]",0,0
307,"ExileFrenzy",[850],"[365,364,636]","[10,10,10]",0,0
308,"WbFrenzy",[850],"[365,364,636]","[10,10,10]",0,0
309,"WbFrenzyFortify",[850],"[365,364,636,2762,2954]","[10,10,10,100,25]",0,0
310,"DetonateDead",[618],[344],[6],4.03,0.0317
311,"DetonateDeadRoyale",[618],[344],[6],2.67,0.0317
312,"TormentSpiritVaalDetonateDead","[1636,2184,618]","[344,2698,5759]","[1,-25,-18]",1.5111,0.0143
313,"BeyondDemonVaalDetonateDead",[618],"[344,2698,5759]","[1,-25,-18]",0.8889,0.037
314,"MonsterVaalDetonateDeadInvasion","[618,7302,7303,7304]","[344,2698,5759]","[1,-25,-18]",1.1111,0.025
315,"BanditDetonateDead",[618],"[2698,5759]","[-25,-18]",1.5111,0.019
316,"BellyTotemDetonateDead",[618],"[344,2698,5759]","[6,-25,-18]",1.9444,0.019
317,"BanditBossDetonateDeadDescent",[618],"[344,2698,5759]","[6,-25,-18]",1.5111,0.019
318,"MonsterTotemDetonateDead","[1786,618]","[2698,5759]","[-25,-18]",1.5111,0.019
