"rownum","MapsKey","MapWorldsTier","BetrayalTier","SynthesisTier","LegionTier","BlightTier","MetamorphosisTier","DeliriumTier","HarvestTier","HeistTier","RitualTier","ExpeditionTier","ScourgeTier","ArchnemesisTier","SentinelTier"
128,454,13,12,11,9,6,3,3,3,3,4,2,14,8,4
129,455,13,15,11,15,12,15,15,4,2,5,7,0,11,8
130,456,13,13,15,12,14,11,11,11,11,14,3,3,0,8
131,457,14,13,13,12,14,12,12,14,4,14,14,3,3,0
132,458,14,13,12,15,13,15,15,15,9,14,3,13,10,2
133,459,14,14,15,14,15,14,14,4,10,7,11,11,6,11
134,460,14,13,13,11,13,14,14,11,11,4,5,14,16,4
135,461,14,10,14,13,12,4,4,6,5,3,2,2,13,2
136,462,14,13,11,11,12,11,11,5,3,12,10,6,12,0
137,463,14,14,11,15,11,15,15,15,15,5,4,12,1,15
138,464,15,15,15,12,14,15,15,15,15,15,14,14,0,16
139,465,15,14,11,14,13,5,5,5,5,3,3,13,2,3
140,466,15,14,12,13,11,14,14,3,14,2,4,12,0,13
141,467,15,13,12,13,11,5,5,16,4,3,15,2,0,3
142,468,15,14,12,12,13,16,16,14,14,5,6,3,13,3
143,469,0,0,0,0,0,0,0,0,0,9,15,1,12,0
144,470,0,0,0,0,0,0,0,0,0,14,11,0,8,6
145,471,0,0,0,0,0,0,0,0,0,6,12,4,7,0
146,472,16,16,16,16,16,16,16,16,16,16,16,16,16,16
147,473,16,16,16,16,16,16,16,16,16,16,16,16,16,16
148,474,16,16,16,16,16,16,16,16,16,16,16,16,16,16
149,475,16,16,16,16,16,16,16,16,16,16,16,16,16,16
150,476,17,17,17,17,17,17,17,17,17,17,17,17,17,17
151,477,16,16,16,16,16,16,16,16,16,16,16,16,16,16
152,478,5,5,5,5,5,5,5,5,5,5,5,5,5,5
153,479,10,10,10,10,10,10,10,10,10,10,10,10,10,10
154,480,15,15,15,15,15,15,15,15,15,15,15,15,15,15
155,481,0,0,0,0,0,0,0,16,16,16,16,16,16,16
