"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","MapsKey","FlavourTextKey","AtlasNodeKeys","Tier0","Tier1","Tier2","Tier3","Tier4","f32","f32","f32","f32","f32","DDSFile","bool","NotOnAtlas"
49,1229,6924,"",464,1967,"[6,46]",16,16,16,16,16,736.277,62.283,161,-17.911,18.865,"","",""
50,1148,6872,"",394,1888,"[48,34,83,112]",4,7,11,15,16,531.56,355.889,129,6.623,-3.249,"","",""
51,1088,6809,"",336,1828,"[74,41,40]",10,13,16,16,16,766.955,193.558,146,-23.396,9.976,"","",""
52,1129,6844,"",380,1869,"[30,97,14,109]",4,7,11,15,16,749.812,400.231,183,-18.639,8.914,"","",""
53,1082,6814,"",329,1822,"[69,113,80]",2,5,9,13,16,355.625,485.046,204,-17.227,-20.025,"","",""
54,1106,6808,"",352,1846,"[106,55,60]",9,12,16,16,16,197.271,220.144,167,40.771,14.831,"","",""
55,1168,6818,"",409,1907,"[43,54,56,63]",10,13,16,16,16,243.218,196.553,162,9.378,2.033,"","",""
56,1128,6838,"",379,1868,"[26,55]",11,14,16,16,16,197.392,181.784,79,23.161,-2.937,"","",""
57,1220,6804,"",455,1958,"[68,43,75,61]",8,11,15,16,16,398.907,249.782,196,-4.068,-2.525,"","",""
58,1217,6892,"",452,1955,"[74,2,41,84]",8,11,15,16,16,761.215,255.893,171,-5.978,0.036,"","",""
59,1183,6876,"",423,1922,"[93,8,81,44]",11,14,16,16,16,417.216,172.483,151,1.402,-3.652,"","",""
60,1221,6907,"",456,1959,"[111,54]",8,11,15,16,16,208.948,259.429,99,0.954,-2.977,"","",""
61,1137,6881,"",386,1877,"[93,8,98,57]",9,12,16,16,16,410.078,215.15,173,21.114,0.813,"","",""
62,1121,6850,"",372,1861,"[76,105]",15,16,16,16,16,177.415,97.409,79,23.86,-0.014,"","",""
63,1090,6932,"",338,1830,"[8,26,55,44]",11,14,16,16,16,305.639,178.534,188,-11.845,5.361,"","",""
64,1184,6848,"",424,1923,"[94,78,80]",2,5,9,13,16,420.516,427.324,147,4.949,4.79,"","",""
65,1202,6923,"",440,1940,"[33,111,108]",6,9,13,16,16,204.962,327.161,139,24.597,6.238,"","",""
66,1223,6813,"",458,1961,"[37,14,109]",2,5,9,13,16,677.004,491.297,208,9.064,-12.234,"","",""
67,1215,6933,"",450,1953,"[92,20,99]",15,16,16,16,16,461.303,84.504,235,-0.434,1.547,"","",""
68,1127,6836,"",378,1867,"[106,88,82,0,57]",7,10,14,16,16,381.273,278.962,271,1.532,5.635,"","",""
69,1230,6927,"",465,1968,"[4,53,89]",3,6,10,14,16,261.507,460.779,217,11.713,-22.733,"","",""
70,1080,6801,"",327,1820,"[102,38,77]",14,16,16,16,16,303.122,115.216,212,23.596,4.01,"","",""
71,1119,6885,"",370,1859,"[42,0,98,47]",7,10,14,16,16,573.868,273.983,152,-19.915,-3.286,"","",""
72,1249,6879,"",357,1975,"[10,37,109]",2,5,9,13,16,642.142,451.676,155,2.694,-1.663,"","",""
73,1189,6862,"",428,1928,"[93,87,98,47,101]",9,12,16,16,16,573.172,213.337,211,-13.629,-5.484,"","",""
74,1151,6910,"",397,1891,"[51,85,58,47,101]",9,12,16,16,16,687.964,228.348,221,1.355,-0.478,"","",""
75,1166,6950,"",407,1905,"[0,98,57]",7,10,14,16,16,471.732,263.98,168,-2.464,-2.626,"","",""
76,1123,6936,"",374,1863,"[79,62,77]",14,16,16,16,16,202.437,114.959,174,12.132,7.267,"","",""
77,1231,6922,"",466,1969,"[76,26,70,44]",13,16,16,16,16,286.951,138.182,198,-12.205,-3.881,"","",""
78,1194,6834,"",432,1933,"[64,36]",1,4,8,12,16,462.926,423.194,96,-8.13,-9.782,"",1,""
79,1149,6947,"",395,1889,"[76,26]",13,16,16,16,16,191.475,138.353,74,13.512,-1.181,"","",""
80,1255,6824,"",361,1980,"[53,64,12]",1,4,8,12,16,422.548,493.34,112,-28.905,-31.404,"",1,""
81,1254,6860,"",330,1979,"[102,91,59]",12,15,16,16,16,472.15,143.278,128,-18.912,8.18,"","",""
82,1252,6900,"",359,1977,"[68,83,96]",6,9,13,16,16,414.221,306.299,215,-3.028,5.822,"","",""
83,1098,6796,"",346,1838,"[42,82,107,0,50]",5,8,12,16,16,504.258,326.464,228,-6.351,-1.515,"","",""
84,1099,6943,"",347,1839,"[35,32,85,58]",7,10,14,16,16,736.396,287.888,168,3.213,0.847,"","",""
85,1192,6843,"",430,1931,"[74,84,114]",8,11,15,16,16,676.466,257.072,126,13.486,9.077,"","",""
86,1136,6925,"",385,1876,"[104,20,31,45]",13,16,16,16,16,582.018,120.508,275,2.917,8.168,"","",""
87,1124,6800,"",375,1864,"[91,73,110]",10,13,16,16,16,561.716,177.8,155,5.534,0.189,"","",""
88,1191,6889,"",429,1930,"[33,68,111,96]",6,9,13,16,16,296.692,308.55,198,9.63,3.938,"","",""
89,1219,6866,"",454,1957,"[33,69,113,108]",4,7,11,15,16,265.302,392.51,162,0.8,5.662,"","",""
90,1226,6893,"",461,1964,"[48,24,112]",2,5,9,13,16,535.415,393.191,132,3.883,-3.514,"","",""
91,1224,6909,"",459,1962,"[93,87,45,81]",11,14,16,16,16,504.985,158.212,122,10.101,5.041,"","",""
92,1096,6819,"",344,1836,"[67,46]",16,16,16,16,16,561.018,75.454,220,-3.389,5.999,"","",""
93,1110,6828,"",356,1850,"[91,59,73,61]",10,13,16,16,16,475.633,192.198,227,0.584,-1.922,"","",""
94,1232,6863,"",467,1970,"[107,64,12,16,36]",3,6,10,14,16,395.872,384.597,182,11.157,11.659,"","",""
95,1091,6903,"",339,1831,"[6,100,46]",14,16,16,16,16,729.141,106.571,168,-10.672,-0.573,"","",""
96,1161,6855,"",404,1901,"[88,82,107,16]",5,8,12,16,16,345.021,336.76,176,19.957,0.334,"","",""
97,1158,6845,"",402,1898,"[35,42,52,22]",5,8,12,16,16,679.632,351.005,213,-1.206,-1.159,"","",""
98,1085,6799,"",333,1825,"[73,75,71,61]",8,11,15,16,16,503.424,231.435,226,3.031,8.142,"","",""
99,1138,6886,"",387,1878,"[67,38]",16,16,16,16,16,339.113,68.86,204,14.459,10.391,"","",""
100,1197,6802,"",435,1936,"[104,95,31,28]",13,16,16,16,16,725.915,136.26,164,-16.016,-3.392,"","",""
101,1122,6930,"",373,1862,"[74,73,110,40]",10,13,16,16,16,650.098,190.546,192,3.375,2.41,"","",""
102,1182,6880,"",422,1921,"[20,70,81,44]",13,16,16,16,16,418.601,131.86,230,-15.173,-2.449,"","",""
103,1225,6949,"",460,1963,"[30,18,14]",4,7,11,15,16,812.191,422.487,180,-25.128,-13.945,"","",""
104,1095,6869,"",343,1835,"[86,110,40,100]",12,15,16,16,16,671.995,151.701,206,-4.783,-3.498,"","",""
105,1213,6905,"",448,1951,"[38,62]",16,16,16,16,16,223.973,79.817,155,9.222,9.807,"","",""
106,1146,6870,"",392,1886,"[68,43,111,54]",8,11,15,16,16,302.731,263.775,228,-19.338,-7.56,"","",""
107,1155,6865,"",400,1895,"[94,83,96,112]",4,7,11,15,16,438.146,354.779,209,-3.33,-1.102,"","",""
108,1114,6898,"",366,1854,"[4,89,65]",5,8,12,16,16,204.652,368.266,125,16.688,7.181,"","",""
109,1150,6941,"",396,1890,"[72,66,52,22]",3,6,10,14,16,708.788,449.405,172,-24.423,-16.194,"","",""
110,1251,6873,"",358,1976,"[104,87,45,101]",11,14,16,16,16,629.126,162.608,142,-14.35,2.878,"","",""
111,1079,6948,"",326,1819,"[106,88,65,60]",7,10,14,16,16,223.487,289.784,147,23.877,-0.044,"","",""
112,1233,6921,"",468,1971,"[107,50,36,90]",3,6,10,14,16,490.783,365.783,144,4.587,6.089,"","",""
113,1108,6904,"",354,1848,"[53,89,12,16]",3,6,10,14,16,313.911,420.919,166,14.396,2.999,"","",""
114,1156,6867,"",401,1896,"[35,42,85,47]",7,10,14,16,16,658.981,291.287,188,-9.527,-8.344,"","",""
115,1234,6911,"",472,1983,[],16,16,16,16,16,0,0,0,0,0,"","",1
116,1235,6912,"",473,1984,[],16,16,16,16,16,0,0,0,0,0,"","",1
117,1237,6913,"",474,1985,[],16,16,16,16,16,0,0,0,0,0,"","",1
118,1236,6914,"",475,1986,[],16,16,16,16,16,0,0,0,0,0,"","",1
119,1239,6916,"",477,1987,[],16,16,16,16,16,0,0,0,0,0,"","",1
120,1157,9080,"",401,1897,[],7,10,14,16,16,0,0,0,0,0,"","",1
121,1115,10967,"",366,1855,[],5,8,12,16,16,0,0,0,0,0,"","",1
