"rownum","Id","Name","rid","ItemClassCategory","RemovedIfLeavesArea","[rid]","[rid]","AllocateToMapOwner","AlwaysAllocate","CanHaveVeiledMods","i32","i32","AlwaysShow","CanBeCorrupted","CanHaveIncubators","CanHaveInfluence","CanBeDoubleCorrupted","CanHaveAspects","CanTransferSkin","ItemStance","CanScourge","bool","bool","bool","[i32]","Flags"
19,"Support Skill Gem","Support Skill Gems",27,16,"",[],[],"",1,"",2626,1211,"",1,"","","","","","","","","","","[1,1]",[]
20,"Quiver","Quivers",19,17,"",[],[],"","",1,2626,1211,"",1,1,1,1,1,1,9,1,1,1,1,"[2,3]",[3]
21,"Belt","Belts",23,18,"",[],[],"","",1,2626,1211,"",1,1,1,1,1,1,"",1,1,1,1,"[2,1]",[5]
22,"Gloves","Gloves",0,19,"",[],[],"","",1,2626,1211,"",1,1,1,1,1,1,"",1,1,1,1,"[2,2]",[5]
23,"Boots","Boots",1,20,"",[],[],"","",1,2626,1211,"",1,1,1,1,1,1,"",1,1,1,1,"[2,2]",[5]
24,"Body Armour","Body Armours",2,21,"",[],[],"","",1,2626,1211,"",1,1,1,1,1,1,"",1,1,1,1,"[2,3]",[5]
25,"Helmet","Helmets",3,22,"",[],[],"","",1,2626,1211,"",1,1,1,1,1,1,"",1,1,1,1,"[2,2]",[5]
26,"Shield","Shields",20,23,"",[],[],"","",1,2626,1211,"",1,1,1,1,1,1,10,1,1,1,1,"[2,4]","[3,5]"
27,"SmallRelic","Small Relics","","","",[],[],"","","",2626,1211,"","","","","","","","","","","",1,[],[]
28,"MediumRelic","Medium Relics","","","",[],[],"","","",2626,1211,"","","","","","","","","","","",1,[],[]
29,"LargeRelic","Large Relics","","","",[],[],"","","",2626,1211,"","","","","","","","","","","",1,[],[]
30,"StackableCurrency","Stackable Currency",38,5,"",[],[],"",1,"",2626,1211,"","","","","","","","","","","","","[1,1]",[7]
31,"QuestItem","Quest Items","",24,"",[],[],"","","",2626,1211,1,"","","","","","","","","","","",[],[]
32,"Sceptre","Sceptres",11,1,"",[],[],"","",1,2626,1211,"",1,1,1,1,1,1,3,1,1,1,1,"[2,3]","[1,2,0]"
33,"UtilityFlask","Utility Flasks",31,0,"",[],[],"","","",2626,1211,"","","","","","",1,"","","","",1,"[1,2]",[4]
34,"UtilityFlaskCritical","Critical Utility Flasks",31,0,"",[],[],"","","",2626,1211,"","","","","","",1,"","","","",1,"[1,2]",[4]
35,"Map","Maps",33,25,"",[],[],"",1,"",1783,1211,"",1,"","","","","","",1,"","",1,"[1,1]",[]
36,"Unarmed","","","","",[],[],"","","",2626,1211,"","","","","","",1,"","","","","",[],"[1,2]"
37,"FishingRod","Fishing Rods","",26,"",[],[],"","","",2626,1211,"",1,1,"",1,1,1,7,1,1,"",1,"[2,3]",[]
38,"MapFragment","Map Fragments",36,27,"",[],[],1,1,"",2626,1211,"","","","","","","","","","","","","[1,1]",[]
39,"HideoutDoodad","Hideout Doodads","","","",[],[],"","","",2626,1211,"","","","","","","","","","","","",[],[]
40,"Microtransaction","Microtransactions",51,"","",[],[],"","","",2626,1211,"","","","","","","","","","","","","[2,2]",[]
41,"Jewel","Jewels",34,28,"",[],[],"",1,"",1776,1211,"",1,"","",1,"","","","","","",1,"[1,1]",[]
42,"DivinationCard","Divination Cards",39,29,"",[],[],"",1,"",1777,1211,"","","","","","","","","","","","","[1,1]",[]
43,"LabyrinthItem","Labyrinth Items","",30,1,[],[],"","","",2626,1211,1,"","","","","","","","","","","",[],[]
44,"LabyrinthTrinket","Labyrinth Trinkets","",31,1,[],[],"","","",2626,1211,1,"","","","","","","","","","","",[],[]
45,"LabyrinthMapItem","Labyrinth Map Items","",27,"",[],[],1,1,"",2626,1211,"","","","","","","","","","","",1,[],[]
46,"MiscMapItem","Misc Map Items",37,32,"",[],[],"",1,"",2626,1211,"",1,"","","","","","","","","","","[1,1]",[]
47,"Leaguestone","Leaguestones",32,33,"",[],[],"",1,"",2626,1211,"","","","","","","","","","","",1,"[1,1]",[]
48,"PantheonSoul","Pantheon Souls","",34,"",[],[],"","","",2626,1211,1,"","","","","","","","","","","","[2,1]",[]
49,"UniqueFragment","Pieces",40,35,"",[],[],1,1,"",2626,1211,"","","","","","","","","","","",1,"[2,4]",[]
50,"AbyssJewel","Abyss Jewels",35,36,"",[],[],"",1,"",2626,1211,"",1,"","",1,"","","","","","",1,"[1,1]",[]
51,"IncursionItem","Incursion Items","",37,1,[],[],1,"","",2626,1211,1,"","","","","","","","","","","",[],[]
52,"DelveSocketableCurrency","Delve Socketable Currency",42,38,"",[],[],"",1,"",2626,1211,"","","","","","","","","","","","","[2,2]",[]
53,"Incubator","Incubators",44,39,"",[],[],"",1,"",2626,1211,"","","","","","","","","","","",1,"[1,1]",[]
54,"UniqueShard","Shards","","","",[],[],"","","",2626,1211,"","","","","","","","","","","",1,"[1,1]",[]
55,"UniqueShardBase","Shard Hearts","","","",[],[],"","","",2626,1211,"","","","","","","","","","","",1,"[2,1]",[]
56,"Rune Dagger","Rune Daggers",12,3,"",[],[],"","",1,2626,1211,"",1,1,1,1,1,1,1,1,1,1,1,"[1,3]","[1,2,0]"
57,"Warstaff","Warstaves",18,4,"",[],[],"","",1,2626,1211,"",1,1,1,1,1,1,6,1,1,1,1,"[2,4]","[2,0]"
58,"DelveStackableSocketableCurrency","Delve Stackable Socketable Currency",42,38,"",[],[],"",1,"",2626,1211,"","","","","","","","","","","","","[2,2]",[]
59,"AtlasUpgradeItem","Atlas Upgrade Items","",40,"",[],[],"","","",2626,607,"","","","","","","","","","","",1,"[1,1]",[]
60,"MetamorphosisDNA","Metamorph Samples",46,41,"",[],[],1,1,"",2626,1211,"","","","","","","","","","","",1,"[1,1]",[]
61,"HiddenItem","Hidden Items","","","",[],[],"","","",2626,1211,"","","","","","","","","","","","",[],[]
62,"DONOTUSE1","","","","",[],[],"","","",2626,1211,"","","","","","","","","","","","",[],[]
63,"DONOTUSE2","","","","",[],[],"","","",2626,1211,"","","","","","","","","","","","",[],[]
64,"DONOTUSE3","","","","",[],[],"","","",2626,1211,"","","","","","","","","","","","",[],[]
65,"HeistContract","Contracts",47,42,"",[],[],"",1,"",2626,1211,"",1,"","","","","","","","","",1,"[1,1]",[]
66,"HeistEquipmentWeapon","Heist Gear",47,43,"",[],[],"","","",2626,1211,"","","","","","",1,"","","","",1,"[2,2]",[]
67,"HeistEquipmentTool","Heist Tools",47,44,"",[],[],"","","",2626,1211,"","","","","","",1,"","","","",1,"[2,2]",[]
68,"HeistEquipmentUtility","Heist Cloaks",47,45,"",[],[],"","","",2626,1211,"","","","","","",1,"","","","",1,"[2,2]",[]
69,"HeistEquipmentReward","Heist Brooches",47,46,"",[],[],"","","",2626,1211,"","","","","","",1,"","","","",1,"[1,1]",[]
70,"HeistBlueprint","Blueprints",47,47,"",[],[],"",1,"",2626,1211,"",1,"","","","","","","","","",1,"[1,1]",[]
71,"Trinket","Trinkets",25,48,"",[],[],"","","",2626,1211,"",1,1,"","","","","","","","",1,"[1,1]",[]
72,"HeistObjective","Heist Targets","",49,"",[],[],"","","",2626,1211,1,"","","","","","","","","","","","[2,2]",[]
73,"ExpeditionLogbook","Expedition Logbooks",48,50,"",[],[],"","","",2626,1211,1,1,"","","","","","","","","",1,"[1,1]",[]
74,"IncubatorStackable","Incubators",44,39,"",[],[],"",1,"",2626,1211,"","","","","","","","","","","","","[1,1]",[]
75,"ArchnemesisMod","Archnemesis Mod","","","",[],[],"",1,"",2626,1211,1,"","","","","","","","","","","","[1,1]",[]
76,"DONOTUSE4","","","","",[],[],"","","",2626,1211,"","","","","","","","","","","","",[],[]
77,"DONOTUSE5","","","","",[],[],"","","",2626,1211,"","","","","","","","","","","","",[],[]
78,"DONOTUSE6","","","","",[],[],"","","",2626,1211,"","","","","","","","","","","","",[],[]
79,"DONOTUSE7","","","","",[],[],"","","",2626,1211,"","","","","","","","","","","","",[],[]
80,"InstanceLocalItem","Instance Local Item","",51,1,[],[],"","","",2626,1211,1,"","","","","","","","","","","",[],[]
81,"SentinelDrone","Sentinel",50,52,"",[],[],"","","",2626,1211,"",1,"","","","","","","","","","","[2,2]",[]
