"rownum","Id","Description","BestiaryRecipeComponentKeys","Notes","HintText","bool","AchievementItemsKeys","bool","i32","RedBeastsRequired"
46,"EinharMasterCraft37","to Craiceann's Cove",[34],"","Open a Portal","",[8667],1,1,1
47,"EinharMasterCraft38","Aspect of the Cat skill",[107],"","Craft an Aspect Skill onto an Item","",[8667],1,1,1
48,"EinharMasterCraft39","Aspect of the Avian skill",[108],"","Craft an Aspect Skill onto an Item","",[8667],1,1,1
49,"EinharMasterCraft40","Aspect of the Spider skill",[109],"","Craft an Aspect Skill onto an Item","",[8667],1,1,1
50,"EinharMasterCraft41","Aspect of the Crab skill",[110],"","Craft an Aspect Skill onto an Item","",[8667],"",1,1
51,"EinharMasterCraft42","Add a Mod to a Shaper Item","[23,35]","","Modify Mods on an Item","",[8667],"",0,2
52,"EinharMasterCraft43","Add a Mod to an Elder Item","[19,35]","","Modify Mods on an Item","",[8667],"",0,2
53,"EinharMasterCraft44","Add a Mod to a Redeemer Item","[21,35]","","Modify Mods on an Item","",[8667],"",0,2
54,"EinharMasterCraft45","Add a Mod to a Hunter Item","[30,35]","","Modify Mods on an Item","",[8667],"",0,2
55,"EinharMasterCraft46","Add a Mod to a Crusader Item","[13,35]","","Modify Mods on an Item","",[8667],"",0,2
56,"EinharMasterCraft47","Add a Mod to a Warlord Item","[22,35]","","Modify Mods on an Item","",[8667],"",0,2
57,"EinharMasterCraft48","Double Corrupt a Map","[28,27]","","Corrupt an Item","",[8667],"",0,2
58,"EinharMasterCraft49","Add a Mod to a Rare Map","[33,18]","Only works on rare maps","Modify Mods on an Item","",[8667],"",0,2
59,"EinharMasterCraft50","A Stack of 2 Orbs of Binding","[31,32]","","Create Currency Items","",[8667],"",0,2
60,"EinharMasterCraft51","A Stack of 3 Orbs of Horizons","[2,10]","","Create Currency Items","",[8667],"",0,2
