"rownum","BaseItemTypesKey","StrengthRequirementPercent","DexterityRequirementPercent","IntelligenceRequirementPercent","VaalVariant_BaseItemTypesKey","IsVaalVariant","MinionGlobalSkillLevelStat","IsSupport","bool","bool","bool","bool","bool","AwakenedVariant","RegularVariant","i32","ItemExperienceType","MtxSlotTypes","GemEffects"
44,6608,0,100,0,7302,"","","","","","",1,1,"","",2,0,[0],"[96,97,98]"
45,6623,0,0,100,"","","","","","","",1,1,"","",3,3,[0],[99]
46,6624,0,100,0,"","","","","","","",1,1,"","",2,5,[0],[100]
47,6626,0,0,100,"","","","","","","",1,1,"","",3,3,[0],[101]
48,6627,40,0,60,6829,"","","","","","",1,1,"","",3,5,[0],"[102,103,104]"
49,6829,40,0,60,"",1,"","","","","",1,1,"","",3,5,[0],"[105,106,107]"
50,6628,0,0,100,"","","","","","","",1,1,"","",3,3,[0],[108]
51,6629,0,0,100,"","","","","","","",1,1,"","",3,8,[0],"[109,110,111]"
52,6630,33,33,34,"","","","","","","",1,1,"","",4,12,[0],[112]
53,6830,33,33,34,"",1,"","","","","",1,1,"","",4,12,[0],[113]
54,6631,60,0,40,"","","",1,"","","",1,1,"","",1,9,[0],[114]
55,6632,0,0,100,"","","",1,"","","",1,1,"","",3,2,[0],[115]
56,6633,0,0,100,"","","",1,"","","",1,1,"","",3,6,[0],[116]
57,6634,100,0,0,"","","",1,"","","",1,1,"","",1,2,[0],[117]
58,6635,100,0,0,"","","",1,"","","",1,1,"","",1,9,[0],[118]
59,6636,0,100,0,"","","",1,"","","",1,1,"","",2,9,[0],[119]
60,6637,0,0,100,"","","",1,"","","",1,1,458,"",3,9,[0],[120]
61,6639,0,60,40,"","","","","","","",1,1,"","",2,0,[0],[121]
62,6640,0,100,0,7297,"","","","","","",1,1,"","",2,3,[0],"[122,123,124]"
63,7297,0,100,0,"",1,"","","","","",1,1,"","",2,3,[0],"[125,126,127]"
64,6641,0,0,100,6800,"","","","","","",1,1,"","",3,0,[0],"[128,129,130]"
65,6800,0,0,100,"",1,"","","","","",1,1,"","",3,0,[0],"[131,132,133]"
66,6713,0,0,0,"","","",1,"","","",1,1,"","",4,12,[0],[134]
67,6642,100,0,0,"","","",1,"","","",1,1,"","",1,2,[0],[135]
68,6643,0,0,100,"","","","","","","",1,1,"","",3,4,[0],"[136,137,138]"
69,6644,0,100,0,"","","",1,"","","",1,1,"","",2,1,[0],[139]
70,6645,0,60,40,"","","",1,"","","",1,1,"","",2,2,[0],[140]
71,6646,0,0,100,"","",10205,"","","","",1,1,"","",3,8,[0],"[141,142,143]"
72,6647,100,0,0,"","","","","","","",1,1,"","",1,4,[0],"[144,145,146]"
73,6648,100,0,0,6817,"","","","","","",1,1,"","",1,0,[0],"[147,148,149]"
74,6817,100,0,0,"",1,"","","","","",1,1,"","",1,0,[0],"[150,151,152]"
75,6649,0,0,100,"","","","","","","",1,1,"","",3,1,[0],"[153,154,155]"
76,6650,0,0,100,"","","","","","","",1,1,"","",3,0,[0],"[156,157,158]"
77,6651,0,0,100,"","","","","","","",1,1,"","",3,8,[0],"[159,160,161]"
78,6652,0,0,100,"","","","","","","",1,1,"","",3,8,[0],[162]
79,6653,0,100,0,"","","","","","","",1,1,"","",2,0,[0],"[163,164,165]"
80,6654,0,100,0,"","","","","","","",1,1,"","",2,8,[0],[166]
81,6655,0,100,0,"","","","","","","",1,1,"","",2,10,[0],[166]
82,6656,100,0,0,"","","",1,"","","",1,1,444,"",1,6,[0],[167]
83,6657,100,0,0,"","","",1,"","","",1,1,"","",1,7,[0],[168]
84,6658,0,0,100,"","","",1,"","","",1,1,"","",3,9,[0],[169]
85,6659,0,0,100,"","","",1,"","","",1,1,"","",3,6,[0],[170]
86,6660,0,100,0,"","","","","","","",1,1,"","",2,8,[0],"[171,172,173]"
87,6661,0,60,40,"","","","","","","",1,1,"","",2,7,[0],[174]
88,6662,0,0,100,"","","","","","","",1,1,"","",3,7,[0],[175]
89,6663,60,40,0,"","","","","","","",1,1,"","",1,5,[0],[176]
90,6664,60,0,40,"","","","","","","",1,1,"","",1,7,[0],[177]
91,6665,60,0,40,"","","","","","","",1,1,"","",1,7,[0],[178]
92,6666,0,0,100,"","","","","","","",1,1,"","",3,7,[0],[179]
93,6667,0,40,60,"","","","","","","",1,1,"","",3,5,[0],[180]
94,6668,0,100,0,"","","","","","","",1,1,"","",2,1,[0],[181]
95,6669,0,40,60,"","","","","","","",1,1,"","",3,7,[0],[182]
96,6670,0,0,100,"","","","","","","",1,1,"","",3,3,[0],"[183,184,185]"
97,6803,0,0,100,"",1,"","","","","",1,1,"","",3,3,[0],[186]
98,6671,0,0,100,6818,"",10207,"","","","",1,1,"","",3,3,[0],"[187,188,189]"
99,6818,0,0,100,"",1,10207,"","","","",1,1,"","",3,3,[0],"[190,191,192]"
100,6679,100,0,0,"","","","","","","",1,1,"","",1,0,[0],"[193,194,195]"
101,6815,100,0,0,"",1,"","","","","",1,1,"","",1,0,[0],[196]
102,6680,60,0,40,7310,"","","","","","",1,1,"","",1,8,[0],"[197,198,199]"
103,6681,0,100,0,6811,"","","","","","",1,1,"","",2,4,[0],"[200,201,202]"
104,6811,0,100,0,"",1,"","","","","",1,1,"","",2,4,[0],"[203,204,205]"
105,6682,0,0,100,"","","",1,"","","",1,1,"","",3,6,[0],[206]
106,6683,0,0,100,"","","",1,"","","",1,1,467,"",3,2,[0],[207]
107,6684,100,0,0,"","","",1,"","","",1,1,"","",1,9,[0],[208]
108,6685,60,0,40,"","","",1,"","","",1,1,"","",1,6,[0],[209]
109,6686,40,0,60,"","","",1,"","","",1,1,"","",3,2,[0],[210]
110,6687,0,0,100,"","","",1,"","","",1,1,"","",3,6,[0],[211]
111,6688,0,0,100,"","","",1,"","","",1,1,"","",3,6,[0],[212]
112,6689,60,0,40,"","","",1,"","","",1,1,441,"",1,6,[0],[213]
113,6690,100,0,0,"","","",1,"","","",1,1,"","",1,6,[0],[214]
114,6691,100,0,0,"","","",1,"","","",1,1,"","",1,2,[0],[215]
115,6692,0,0,100,7312,"","","","","","",1,1,"","",3,8,[0],"[216,217,218]"
116,6693,0,60,40,6814,"","","","","","",1,1,"","",2,4,[0],"[219,220,221]"
117,6814,0,60,40,"",1,"","","","","",1,1,"","",2,4,[0],"[222,223,224]"
118,6694,40,0,60,"","","","","","","",1,1,"","",3,5,[0],[225]
119,6695,100,0,0,6802,"","","","","","",1,1,"","",1,5,[0],[226]
120,6802,100,0,0,"",1,"","","","","",1,1,"","",1,5,[0],[227]
121,6696,0,0,100,6805,"","","","","","",1,1,"","",3,4,[0],"[228,229,230]"
122,6805,0,0,100,"",1,"","","","","",1,1,"","",3,4,[0],"[231,232,233]"
123,6697,0,60,40,"","","","","","","",1,1,"","",2,1,[0],"[234,235,236]"
124,6698,0,100,0,7308,"","","","","","",1,1,"","",2,4,[0],"[237,238,239]"
125,6700,0,100,0,6826,"","","","","","",1,1,"","",2,7,[0],[240]
126,6826,0,100,0,"",1,"","","","","",1,1,"","",2,7,[0],[241]
127,6701,40,0,60,"","","","","","","",1,1,"","",3,7,[0],[242]
128,6702,75,0,0,"","","","","","","",1,1,"","",1,3,[0],[243]
129,6703,0,0,100,6825,"","","","","","",1,1,"","",3,7,[0],[244]
130,6825,0,0,100,"",1,"","","","","",1,1,"","",3,7,[0],[245]
131,6704,0,100,0,6824,"","","","","","",1,1,"","",2,7,[0],[246]
132,6824,0,100,0,"",1,"","","","","",1,1,"","",2,7,[0],[247]
133,6705,100,0,0,"","","","","","","",1,1,"","",1,7,[0],[248]
134,6706,60,0,40,"","","","","","","",1,1,"","",1,7,[0],[249]
135,6707,0,60,40,"","","","","","","",1,1,"","",2,7,[0],[250]
136,6708,0,0,100,"","","","","","","",1,1,"","",3,7,[0],[251]
137,6709,0,100,0,6801,"","","","","","",1,1,"","",2,0,[0],"[252,253,254]"
138,6801,0,100,0,"",1,"","","","","",1,1,"","",2,0,[0],"[255,256,257]"
139,6710,0,0,100,"","","",1,"","","",1,1,"","",3,0,[0],[258]
140,6711,100,0,0,"","","",1,"","","",1,1,"","",1,9,[0],[259]
141,6712,0,0,75,6823,"","","","","","",1,1,"","",3,3,[0],[260]
142,6823,0,0,75,"",1,"","","","","",1,1,"","",3,3,[0],[261]
143,6714,0,100,0,"","","",1,"","","",1,1,"","",2,6,[0],[262]
144,6715,0,100,0,"","","",1,"","","",1,1,"","",2,6,[0],[263]
145,6716,100,0,0,"","","",1,"","","",1,1,"","",1,6,[0],[264]
146,6717,100,0,0,"","","",1,"","","",1,1,"","",1,6,[0],[265]
147,6718,100,0,0,"","","",1,"","","",1,1,"","",1,6,[0],[266]
148,6719,60,0,40,"","","",1,"","","",1,1,"","",1,2,[1],[267]
149,6720,0,40,60,"","","",1,"","","",1,1,"","",3,2,[0],[268]
150,6861,33,33,34,"","","","","","","",1,1,"","",4,12,[0],[269]
151,6721,100,0,0,"","","","","","","",1,1,"","",1,8,[1],"[270,271,272]"
152,6722,100,0,0,7313,"","","","","","",1,1,"","",1,1,[1],[273]
153,6723,0,40,60,"","","","","","","",1,1,"","",3,4,[0],"[274,275,276]"
154,6724,0,40,60,"","","","","","","",1,1,"","",3,1,[0],[277]
155,6725,0,100,0,"","","","","","","",1,1,"","",2,1,[0],"[278,279,280]"
156,6726,0,60,40,"","","",1,"","","",1,1,"","",2,2,[0],[281]
157,6727,0,60,40,"","","","","","","",1,1,"","",2,4,[0],"[282,283,284]"
158,6827,0,60,40,"",1,"","","","","",1,1,"","",2,0,[0],[285]
159,6728,100,0,0,"","","","","","","",1,1,"","",1,1,[1],[286]
160,6729,100,0,0,"","","","","","","",1,1,"","",1,1,[1],[287]
161,6730,0,60,40,"","","","","","","",1,1,"","",2,0,[0],"[288,289,290]"
162,6735,0,100,0,"","","",1,"","","",1,1,"","",2,2,[0],[291]
163,6610,0,100,0,7311,"","","","","","",1,1,"","",2,0,[0],"[292,293,294]"
164,6609,0,40,60,"","","","","","","",1,1,"","",3,4,[0],"[295,296,297]"
165,6699,0,0,100,6799,"","","","","","",1,1,"","",3,4,[0],"[298,299,300]"
166,6799,0,0,100,"",1,"","","","","",1,1,"","",3,4,[0],"[301,302,303]"
167,6731,0,60,40,"","","","","","","",1,1,"","",2,5,[0],[304]
168,6732,0,60,40,6733,"","","","","","",1,1,"","",2,5,[0],[304]
169,6733,0,60,40,"",1,"","","","","",1,1,"","",2,5,[0],[305]
170,6734,60,0,40,"","","","","","","",1,1,"","",1,1,[1],"[306,307,308]"
171,6736,60,40,0,"","","",1,"","","",1,1,"","",1,2,[1],[309]
172,6737,100,0,0,"","","",1,"","","",1,1,442,"",1,9,[0],[310]
173,6738,0,100,0,"","","",1,"","","",1,1,451,"",2,9,[0],[311]
174,6739,0,0,100,"","","",1,"","","",1,1,466,"",3,9,[0],[312]
175,6740,0,0,100,"","","",1,"","","",1,1,"","",3,9,[0],[313]
176,6741,0,100,0,"","","",1,"","","",1,1,450,"",2,11,[0],[314]
177,6742,0,100,0,"","","",1,"","","",1,1,"","",2,7,[0],[315]
178,6743,0,100,0,"","","",1,"","","",1,1,453,"",2,9,[0],[316]
179,6744,0,100,0,"","","",1,"","","",1,1,"","",2,11,[0],[317]
180,6745,40,0,60,"","","","","","","",1,1,"","",3,7,[0],[318]
181,6746,0,40,60,"","","","","","","",1,1,"","",3,7,[0],[319]
182,6747,0,0,100,"","","","","","","",1,1,"","",3,7,[0],[320]
183,6924,40,0,60,"","","","","","","",1,1,"","",3,4,[0],"[321,322,323]"
184,6748,0,0,100,"","","","","","","",1,1,"","",3,4,[0],"[324,325,326]"
185,6749,40,60,0,6806,"","","","","","",1,1,"","",2,8,[0],"[327,328,329]"
186,6806,40,60,0,"",1,"","","","","",1,1,"","",2,8,[0],"[330,331,332]"
187,6750,60,40,0,"","","",1,"","","",1,1,446,"",1,11,[0],[333]
188,6751,0,0,100,"","","",1,"","","",1,1,469,"",3,11,[0],[334]
189,6752,100,0,0,"","","",1,"","","",1,1,445,"",1,2,[0],[335]
190,6753,0,0,100,"","","",1,"","","",1,1,"","",3,6,[0],[336]
191,6754,60,0,40,"","","","","","","",1,1,"","",1,4,"[0,1]","[337,338,339]"
192,6755,60,0,40,"","","",1,"","","",1,1,440,"",1,9,[0],[340]
193,6756,40,0,60,"","","",1,"","","",1,1,"","",3,9,[0],[341]
194,6757,0,0,100,"","","",1,"","","",1,1,463,"",3,11,[0],[342]
195,6758,0,60,40,6821,"","","","","","",1,1,"","",2,4,[0],"[343,344,345]"
196,6821,0,60,40,"",1,"","","","","",1,1,"","",2,4,[0],"[346,347,348]"
197,6759,0,60,40,"","","",1,"","","",1,1,449,"",2,11,[0],[349]
198,6760,60,0,40,"","","",1,"","","",1,1,"","",1,11,[0],[350]
199,6761,0,60,40,"","","",1,"","","",1,1,"","",2,2,[0],[351]
200,6762,100,0,0,"","","",1,"","","",1,1,472,"",1,13,[0],[352]
201,6763,0,40,60,6835,"","","","","","",1,1,"","",3,4,[0],"[353,354,355]"
202,6835,0,40,60,"",1,"","","","","",1,1,"","",3,4,[0],"[356,357,358]"
203,6764,0,60,40,"","","","","","","",1,1,"","",2,3,[0],[359]
204,6765,100,0,0,"","","",1,"","","",1,1,"","",1,6,[0],[360]
205,6766,60,0,40,"","","","","","","",1,1,"","",1,8,[0],"[361,362,363]"
206,6584,40,60,0,"","","","","","","",1,1,"","",2,8,[0],"[364,365,366]"
207,6767,40,60,0,6813,"","","","","","",1,1,"","",2,0,[0],"[367,368,369]"
208,6813,40,60,0,"",1,"","","","","",1,1,"","",2,0,[0],"[370,371,372]"
209,6768,0,100,0,"","","",1,"","","",1,1,"","",2,9,[0],[373]
210,6769,100,0,0,"","","",1,"","","",1,1,"","",1,9,[0],[374]
211,6770,0,60,40,"","","",1,"","","",1,1,"","",2,11,[0],[375]
212,6771,60,0,40,"","","",1,"","","",1,1,"","",1,11,[0],[376]
213,6772,0,40,60,"","","",1,"","","",1,1,"","",3,11,[0],[377]
214,6773,0,60,40,7307,"","","","","","",1,1,"","",2,1,[0],"[378,379,380]"
215,6774,0,100,0,"","","",1,"","","",1,1,474,"",2,13,[0],[381]
216,6775,60,0,40,6776,"","","","","","",1,1,"","",1,7,[0],[382]
217,6776,60,0,40,"",1,"","","","","",1,1,"","",1,7,[0],[383]
218,6777,0,60,40,6778,"","","","","","",1,1,"","",2,7,[0],[384]
219,6778,0,60,40,"",1,"","","","","",1,1,"","",2,7,[0],[385]
220,6779,0,0,100,6780,"","","","","","",1,1,"","",3,7,[0],[386]
221,6780,0,0,100,"",1,"","","","","",1,1,"","",3,7,[0],[387]
222,6781,0,0,100,6819,"","","","","","",1,1,"","",3,4,[0],"[388,389,390]"
223,6819,0,0,100,"",1,"","","","","",1,1,"","",3,4,[0],"[391,392,393]"
224,6782,0,0,100,6832,"","","","","","",1,1,"","",3,8,[0],"[394,395,396]"
225,6832,0,0,100,"",1,"","","","","",1,1,"","",3,8,[0],"[397,398,399]"
226,6783,0,100,0,"","","","","","","",1,1,"","",2,4,[0],"[400,401,402]"
227,6784,0,0,100,"","","","","","","",1,1,"","",3,8,[0],"[403,404,405]"
228,6785,0,60,40,"","","","","","","",1,1,"","",2,0,[0],[406]
229,6786,0,0,100,"","","","","","","",1,1,"","",3,1,[0],[407]
230,6787,0,100,0,"","","",1,"","","",1,1,457,"",2,6,[0],[408]
231,6788,0,0,100,"","","","","","","",1,1,"","",3,1,[0],"[409,410,411]"
232,6789,0,0,100,"","","","","","","",1,1,"","",3,4,[0],"[412,413,414]"
233,6790,0,0,100,"","","",1,"","","",1,1,473,"",3,13,[0],[415]
234,6791,0,60,40,"","","","","","","",1,1,"","",2,5,[0],[416]
235,6792,0,0,100,"","","","","","","",1,1,"","",3,4,[0],[417]
236,6793,0,0,100,"","","","","","","",1,1,"","",3,4,[0],[418]
237,6794,0,0,100,"","","","","","","",1,1,"","",3,4,[0],[419]
238,6795,0,0,100,"","","","","","","",1,1,"","",3,8,[0],"[420,421,422]"
239,6820,0,60,40,"","","",1,"","","",1,1,"","",2,6,[0],[423]
240,6822,100,0,0,7298,"","","","","","",1,1,"","",1,0,[0],"[424,425,426]"
241,6796,0,0,100,"","","","","","","",1,1,"","",3,7,[0],[427]
242,6797,0,0,100,"","","","","","","",1,1,"","",3,12,[0],[428]
243,6831,60,40,0,"","","","","","","",1,1,"","",1,0,[0],[429]
244,6833,0,40,60,"","","","","","","",1,1,"","",3,8,[0],"[430,431,432]"
245,6834,0,100,0,"","","","","","","",1,1,"","",2,8,[0],"[433,434,435]"
246,6836,60,0,40,"","","",1,"","","",1,1,443,"",1,9,[0],[436]
247,6837,60,0,40,"","","","","","","",1,1,"","",1,5,[0],[437]
248,6838,0,60,40,"","","","","","","",1,1,"","",2,5,[0],[438]
249,6839,0,0,100,"","","","","","","",1,1,"","",3,5,[0],[439]
250,6840,0,100,0,"","","","","","","",1,1,"","",2,5,[0],[440]
251,6841,60,0,40,"","","","","","","",1,1,"","",1,5,[0],[441]
252,6842,0,100,0,"","","","","","","",1,1,"","",2,5,[0],[442]
253,6843,0,0,100,"","","","","","","",1,1,"","",3,0,[0],"[443,444,445]"
254,6844,0,0,100,"","","","","","","",1,1,"","",3,12,[0],[443]
255,6845,0,0,100,"","","","","","","",1,1,"","",3,0,[0],[446]
256,6846,0,0,100,"","","","","","","",1,1,"","",3,0,[0],[447]
257,6849,0,0,100,"","","","","","","",1,1,"","",3,8,[0],"[448,449,450]"
258,6850,100,0,0,"","","","","","","",1,1,"","",1,9,[0],[451]
259,6848,0,100,0,"","","","","","","",1,1,"","",2,3,[0],"[452,453,454]"
260,6847,0,100,0,"","","","","","","",1,1,"","",2,3,[0],"[455,456,457]"
261,6673,40,60,0,"","","","","","","",1,1,"","",2,5,[0],[460]
262,6675,60,40,0,"","","","","","","",1,1,"","",1,5,[0],[458]
263,6676,60,40,0,"","","","","","","",1,1,"","",1,5,[0],[459]
264,6611,60,0,40,"","","","","","","",1,1,"","",1,4,[0],"[461,462,463]"
265,6851,40,0,60,"","","",1,"","","",1,1,"","",3,6,[0],[464]
266,6674,100,0,0,"","","","","","","",1,1,"","",1,1,[0],[465]
267,6677,40,0,60,"","","","","","","",1,1,"","",3,5,[0],[466]
268,6678,100,0,0,"","","","","","","",1,1,"","",1,7,[0],[467]
269,6852,0,0,100,"","","","","","","",1,1,"","",3,10,[0],"[468,469,470]"
270,6853,0,60,40,"","","","","","","",1,1,"","",2,10,[0],"[471,472,473]"
271,6854,60,0,40,"","","","","","","",1,1,"","",1,10,[0],"[474,475,476]"
272,6855,0,40,60,"","","","","","","",1,1,"","",3,10,[0],"[477,478,479]"
273,6856,0,0,100,"","","",1,"","","",1,1,460,"",3,9,[0],[480]
274,6857,60,0,40,"","","","","","","",1,1,"","",1,8,[0],"[481,482,483]"
275,6858,60,40,0,"","","","","","","",1,1,"","",1,7,[0],[484]
276,6859,100,0,0,"","","","","","","",1,1,"","",1,10,[0],[485]
277,6862,0,0,100,"","","","","","","",1,1,"","",3,3,[0],"[486,487,488]"
278,6864,60,0,40,"","","","","","","",1,1,"","",1,1,[0],"[489,490,491]"
279,6865,100,0,0,"","","",1,"","","",1,1,"","",1,9,[0],[492]
280,6863,0,100,0,"","","","","","","",1,1,"","",2,0,[0],"[493,494,495]"
281,6866,0,100,0,"","","",1,"","","",1,1,"","",2,9,[0],[496]
282,6867,0,100,0,"","","",1,"","","",1,1,"","",2,9,[0],[497]
283,6868,0,0,100,"","","",1,"","","",1,1,"","",3,9,[0],[498]
284,6869,0,0,100,"","","","","","","",1,1,"","",3,0,[0],"[499,500,501]"
285,6870,0,60,40,"","","",1,"","","",1,1,"","",2,6,[0],[502]
286,6872,40,60,0,"","","","","","","",1,1,"","",2,8,[0],"[503,504,505]"
287,6871,0,60,40,"","","","","","","",1,1,"","",2,8,[0],"[506,507,508]"
288,6874,0,100,0,"","","","","","","",1,1,"","",2,8,[0],"[509,510,511]"
289,6873,0,100,0,"","","","","","","",1,1,"","",2,0,[0],"[512,513,514]"
290,6877,0,0,40,"","","","","","","",1,1,"","",3,0,[0],[515]
291,6875,0,100,0,"","","","","","","",1,1,"","",2,8,[0],"[516,517,518]"
292,6878,0,100,0,6880,"","","","","","",1,1,"","",2,4,[0],"[519,520,521]"
293,6880,0,100,0,"",1,"","","","","",1,1,"","",2,4,[0],"[522,523,524]"
294,6879,0,100,0,"","","","","","","",1,1,"","",2,12,[0],[525]
295,6881,0,0,100,"","","","","","","",1,1,"","",3,1,[0],"[526,527,528]"
296,6876,0,100,0,"","","","","","","",1,1,"","",2,4,[1],"[529,530,531]"
297,6882,0,0,100,"","","","","","","",1,1,"","",3,1,[0],"[532,533,534]"
298,6883,60,40,0,"","","","","","","",1,1,"","",1,10,[0],"[535,536,537]"
299,6884,0,0,100,"","","","","","","",1,1,"","",3,5,[0],[538]
300,6886,100,0,0,6944,"","","","","","",1,1,"","",1,8,[0],"[539,540,541]"
301,6885,0,100,0,"","","",1,"","","",1,1,"","",2,9,[0],[542]
302,6887,0,40,60,"","","","","","","",1,1,"","",3,1,[0],"[543,544,545]"
303,6888,0,0,100,"","","","","","","",1,1,"","",3,3,[0],[546]
304,6889,0,0,100,6945,"","","","","","",1,1,"","",3,0,[0],"[547,548,549]"
305,6890,0,40,60,"","","","","","","",1,1,"","",3,4,[0],"[550,551,552]"
306,6894,0,100,0,"","","","","","","",1,1,"","",2,0,[0],[553]
307,6891,0,60,40,"","","",1,"","","",1,1,456,"",2,2,[0],[554]
308,6892,0,0,100,"","","",1,"","","",1,1,462,"",3,6,[0],[555]
309,6893,0,100,0,"","","",1,"","","",1,1,455,"",2,9,[0],[556]
310,6895,0,60,40,"","","",1,"","","",1,1,"","",2,11,[0],[557]
311,6899,100,0,0,"","","","","","","",1,1,"","",1,1,[1],"[558,559,560]"
312,6900,100,0,0,"","","","","","","",1,1,"","",1,4,[1],[561]
313,6901,100,0,0,6948,"","","","","","",1,1,"","",1,8,[0],"[562,563,564]"
314,6896,100,0,0,"","","","","","","",1,1,"","",1,4,[0],"[565,566,567]"
315,6897,0,0,100,"","","","","","","",1,1,"","",3,0,[0],"[568,569,570]"
316,6898,0,0,100,"","","","","","","",1,1,"","",3,8,[0],"[571,572,573]"
317,6902,0,0,100,"","","",1,"","","",1,1,464,"",3,6,[0],[574]
318,6903,0,40,60,"","","",1,"","","",1,1,"","",3,11,[0],[575]
319,6904,0,100,0,"","","",1,"","","",1,1,"","",2,9,[0],[576]
320,7065,0,0,100,"","","","","","","",1,1,"","",3,12,[0],[578]
321,6923,0,0,100,"","","","","","","",1,1,"","",3,8,[0],"[579,580,581]"
322,6905,0,0,100,"","","","","","","",1,1,"","",3,4,[0],"[582,583,584]"
323,6906,0,40,60,"","","",1,"","","",1,1,461,"",3,11,[0],[585]
324,6907,33,33,33,"","","",1,"","","",1,1,"","",4,11,[0],[586]
325,6672,0,0,100,"","",10207,"","","","",1,1,"","",3,3,[0],[587]
326,6908,40,0,60,"","","",1,"","","",1,1,"","",3,11,[0],[588]
327,6909,100,0,0,"","","",1,"","","",1,1,"","",1,0,[0],[589]
328,6910,0,100,0,"","","",1,"","","",1,1,"","",2,0,[0],[590]
329,6911,0,60,40,"","","",1,"","","",1,1,452,"",2,6,[0],[591]
330,6912,60,40,0,"","","",1,"","","",1,1,"","",1,0,[0],[592]
331,6913,0,40,60,"","","",1,"","","",1,1,"","",3,11,[0],[593]
332,6914,0,0,100,"","","",1,"","","",1,1,"","",3,2,[0],[594]
333,6915,0,100,0,"","","",1,"","","",1,1,"","",2,11,[0],[595]
334,6916,100,0,0,"","","",1,"","","",1,1,"","",1,2,[0],[596]
335,6917,40,0,60,"","","",1,"","","",1,1,"","",3,11,[0],[597]
