"rownum","Id","MonsterType","MovementSpeed","ObjectSize","MinimumAttackDistance","MaximumAttackDistance","ACTFiles","AOFiles","BaseMonsterTypeIndex","Mods","i32","string","string","ModelSizeMultiplier","i32","i32","rid","i32","i32","Tags","ExperienceMultiplier","[i32]","MinAgroRange","MaxAgroRange","SpotlightColour1","SpotlightColour2","SpotlightColour3","GrantedEffects","AISFile","Mods2","Stance","rid","Name","DamageMultiplier","LifeMultiplier","AttackSpeed","Weapon1_ItemVisualIdentity","Weapon2_ItemVisualIdentity","Back_ItemVisualIdentity","MainHand_ItemClass","OffHand_ItemClass","Helmet_ItemVisualIdentity","i32","KillSpecificMonsterCount_AchievementItems","Special_Mods","KillRare_AchievementItems","bool","i32","i32","i32","i32","i32","i32","HASH16","bool","string","KillWhileOnslaughtIsActive_AchievementItem","MonsterSegment","MonsterArmour","KillWhileTalismanIsActive_AchievementItem","Part1_Mods","Part2_Mods","Endgame_Mods","rid","i32","i32","[rid]","MultiPartAchievements","i32","SinkAnimation_AOFile","bool","[rid]","bool","bool","bool","i32","i32","f32","AilmentThreshold","SinkEffect","i32","MonsterConditionalEffectPack","bool","bool","i32","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","BossHealthBar","rid","i32","bool","i32","i32","i32","i32","bool","i32","rid","i32","i32","i32","bool","i32","i32","i32","rid","i32","i32","i32","rid","bool","i32","bool"
10,"Metadata/Monsters/Spiker/Spiker3SanctumTrial__",14,32,3,6,9,"[""Metadata/Monsters/Spiker/SpikerSanctum.act""]","[""Metadata/Monsters/Spiker/Spiker_Variant.ao""]","Metadata/Monsters/Spiker/SpikerSanctum",[],1,"","",100,3,6,4,1,0,"[723,72,1024,49,754,713,1090,714,118,708,1015]",140,[],105,105,700,500,0,"[580,1494,4099]","Metadata/Monsters/Spiker/SpikerSanctum.ais",[],"",0,"Porcupine Goliath",140,140,1050,[],[],"","","","",0,[],[],[723],"",1,6,135,0,0,135,60816,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-8,8,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,1,0,6698,0,-10,5,"","",7,1,0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,6706,0,283,6,120,1028443341,0,1,0,""
11,"Metadata/Monsters/Totems/StrengthTotem",23,0,3,6,6,"[""Metadata/Monsters/Totems/generic_totem/totem_strength.act""]","[""Metadata/Monsters/Totems/generic_totem/red.ao""]","Metadata/Monsters/Totems/Totem",[],1,"","",100,2,1,5,6,0,"[74,163,742,120,781,30,31,745,762,1025]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",39,"Totem",100,100,1000,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,38406,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,7308,0,0,0,"","",7,"",0,0,0,0,"",0,"",1065353216,1065353216,0,"",0,7308,0,"",4,100,1028443341,0,1,0,""
12,"Metadata/Monsters/Totems/IntelligenceTotem",23,0,3,6,6,"[""Metadata/Monsters/Totems/generic_totem/totem_intelligence.act""]","[""Metadata/Monsters/Totems/generic_totem/blue.ao""]","Metadata/Monsters/Totems/Totem",[],1,"","",100,2,1,5,6,0,"[74,163,742,120,781,30,31,745,762,1025]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",39,"Totem",100,100,1000,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,30100,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,7794,0,0,0,"","",7,"",0,0,0,0,"",0,"",1065353216,1065353216,0,"",0,7794,0,"",4,100,1028443341,0,1,0,""
13,"Metadata/Monsters/Totems/DexterityTotem",23,0,3,6,6,"[""Metadata/Monsters/Totems/generic_totem/totem_dexterity.act""]","[""Metadata/Monsters/Totems/generic_totem/green.ao""]","Metadata/Monsters/Totems/Totem",[],1,"","",100,2,1,5,6,0,"[74,163,742,120,781,30,31,745,762,1025]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",39,"Totem",100,100,1000,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,62466,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,8270,0,0,0,"","",7,"",0,0,0,0,"",0,"",1065353216,1065353216,0,"",0,8270,0,"",4,100,1028443341,0,1,0,""
14,"Metadata/Monsters/Totems/SnipeTotem",23,0,3,6,6,"[""Metadata/Monsters/Totems/crossbow_totem/totem_crossbow.act""]","[""Metadata/Monsters/Totems/crossbow_totem/crossbow.ao""]","Metadata/Monsters/Totems/Totem",[],1,"","",100,2,1,5,6,0,"[74,163,742,781,30,31,745,762,1025]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",3,"Totem",100,100,1000,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,13300,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,8730,0,0,0,"","",7,"",0,0,0,0,"",0,"",1065353216,1065353216,0,"",0,8730,0,"",4,100,1028443341,0,1,0,""
15,"Metadata/Monsters/Totems/ForwardBallista",24,0,3,6,6,"[""Metadata/Monsters/Totems/Ballistas/ForwardBallista.act""]","[""Metadata/Monsters/Totems/Ballistas/ForwardBallista.ao""]","Metadata/Monsters/Totems/Ballistas/ForwardBallista",[],1,"","",80,2,6,5,6,0,"[74,163,742,781,30,31,745,762,1025]",100,[],105,105,700,500,0,[],"Metadata/Monsters/Totems/RipwireBallista.ais",[],"",3,"Totem",100,100,1000,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,5361,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,9392,0,0,0,"","",7,"",0,0,0,0,"",0,"",1065353216,1065353216,0,"",0,9392,0,"",4,100,1028443341,0,1,0,""
16,"Metadata/Monsters/Totems/UpwardBallista",24,0,3,6,6,"[""Metadata/Monsters/Totems/Ballistas/UpwardBallista.act""]","[""Metadata/Monsters/Totems/Ballistas/UpwardBallista.ao""]","Metadata/Monsters/Totems/Ballistas/UpwardBallista",[],1,"","",80,2,6,5,12,0,"[74,163,742,781,30,31,745,762,1025]",100,[],105,105,700,500,0,[],"Metadata/Monsters/Totems/ArtilleryBallista.ais",[],"",3,"Totem",100,100,1000,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,11933,"","","","","","",[],[],[],"",200,0,[],[],0,"","",[],"","",1,0,0,0,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,10050,0,0,0,"","",7,"",0,0,0,0,"",0,"",1065353216,1065353216,0,"",0,10050,0,"",4,100,1028443341,0,1,0,""
17,"Metadata/Monsters/Totems/SlamTotem",25,0,3,6,6,"[""Metadata/Monsters/Totems/ancestor_totem/karuiAncestorTotem/karui_ancestor_totem.act""]","[""Metadata/Monsters/Totems/ancestor_totem/karuiAncestorTotem/karuiAncestorTotemBody.ao""]","Metadata/Monsters/Totems/ancestor_totem/SlamTotem",[],1,"","",100,2,18,5,6,0,"[74,163,742,120,781,30,31,745,762,1025]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",39,"Totem",100,120,1000,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,10828,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,10742,0,0,0,"","",7,"",0,0,0,0,"",0,"",1065353216,1065353216,0,"",0,10742,0,"",4,110,1028443341,0,"",0,""
18,"Metadata/Monsters/DarkExiles/DarkExileTemplar1",30,30,2,6,6,"[""Metadata/Monsters/Exiles/Characters/StrInt.act""]","[""Metadata/Characters/StrInt/StrIntRogueExile.ao""]","Metadata/Monsters/Exiles/DarkExiles/DarkExileTemplar1","[6205,6192,6179,10408]",0,"","",100,3,6,7,2,100,"[34,716,1027,702,715,734,71,48,758,717,747,754,30,32,118,779]",220,[],105,200,700,500,0,[],"Metadata/Monsters/Exiles/DarkExiles/DarkExileTemplar1.ais",[],"WandShield",0,"Shade of a Templar",143,1650,1245,[9214],[9215],"",8,26,"",0,[],[],[],"",1,6,135,0,0,135,20318,"","","","",105,"",[],[],[],3,200,0,[],[],10,"","",[],"","",1,0,0,0,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,11690,0,0,0,"","",7,"",0,0,0,0,"",0,"",1065353216,1065353216,0,"",0,11690,0,"",0,875,1028443341,0,1,0,""
19,"Metadata/Monsters/DarkExiles/DarkExileDuelist1",35,31,2,6,6,"[""Metadata/Monsters/Exiles/Characters/StrDex.act""]","[""Metadata/Characters/StrDex/StrDexRogueExile.ao""]","Metadata/Monsters/Exiles/DarkExiles/DarkExileDuelist1",[3866],0,"","",100,3,6,1,2,100,"[1021,719,716,702,726,728,725,71,48,758,717,747,754,31,714,118,779,771]",220,[],105,200,700,500,0,[],"Metadata/Monsters/Exiles/DarkExiles/DarkExileDuelist1.ais",[],"OneHandSwordOneHandSword",0,"Shade of a Duelist",62,1650,1560,[9226],[9226],"",9,9,"",0,[],[],[],"",1,6,135,0,0,135,2098,"","","","",104,"",[],[],[],3,200,0,[],[],10,"","",[],"","",1,0,0,0,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,12650,0,0,0,"","",7,"",0,0,0,0,"",0,"",1065353216,1065353216,0,"",0,12650,0,"",0,875,1028443341,0,"",0,""
20,"Metadata/Monsters/DarkExiles/DarkExileMarauder1",32,26,2,6,6,"[""Metadata/Monsters/Exiles/Characters/Str.act""]","[""Metadata/Characters/Str/StrRogueExile.ao""]","Metadata/Monsters/Exiles/DarkExiles/DarkExileMarauder1",[],0,"","",100,3,6,2,2,100,"[1022,772,702,732,727,71,48,758,747,30,31,714,118,779,753,721]",220,[],105,200,700,500,0,[],"Metadata/Monsters/Exiles/DarkExiles/DarkExileMarauder1.ais",[],"TwoHandMace",0,"Shade of a Marauder",143,1650,1305,[9235],[],"",17,"","",0,[],[],[],"",1,6,135,0,0,135,18671,"","","","",101,"",[],[],[],3,200,0,[],[],10,"","",[],"","",1,0,0,0,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,13510,0,0,0,"","",7,"",0,0,0,0,"",0,"",1065353216,1065353216,0,"",0,13510,0,"",0,875,1028443341,0,1,0,""
21,"Metadata/Monsters/DarkExiles/DarkExileShadow1",31,34,2,6,6,"[""Metadata/Monsters/Exiles/Characters/DexInt.act""]","[""Metadata/Characters/DexInt/DexIntRogueExile.ao""]","Metadata/Monsters/Exiles/DarkExiles/DarkExileShadow1","[6150,6472,9048]",0,"","",100,3,6,1,2,100,"[1021,34,716,702,715,738,726,725,71,48,758,717,747,754,29,118,779,771]",220,[],105,200,700,500,0,[],"Metadata/Monsters/Exiles/DarkExiles/DarkExileShadow1.ais",[],"DaggerDagger",0,"Shade of a Shadow",143,1650,855,[9253],[9253],"",7,7,"",0,[],[],[],"",1,6,135,0,0,135,46209,"","","","",106,"",[],[],[],3,200,0,[],[],10,"","",[],"","",1,0,0,0,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,14470,0,0,0,"","",7,"",0,0,0,0,"",0,"",1065353216,1065353216,0,"",0,14470,0,"",0,875,1028443341,0,1,0,""
22,"Metadata/Monsters/DarkExiles/DarkExileWitch1",34,30,2,6,6,"[""Metadata/Monsters/Exiles/Characters/Int.act""]","[""Metadata/Characters/Int/IntRogueExile.ao""]","Metadata/Monsters/Exiles/DarkExiles/DarkExileWitch1","[6672,3936,10402]",0,"","",100,3,6,7,2,100,"[34,720,1027,702,715,734,71,48,758,717,747,754,30,29,32,118,779]",220,[],105,200,700,500,0,[],"Metadata/Monsters/Exiles/DarkExiles/DarkExileWitch1.ais",[],"WandShield",0,"Shade of a Witch",143,1650,1245,[9214],[9081],"",8,26,"",0,[],[],[],"",1,6,135,0,0,135,14615,"","","","",103,"",[],[],[],3,200,0,[],[],10,"","",[],"","",1,0,0,0,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,15360,0,0,0,"","",7,"",0,0,0,0,"",0,"",1065353216,1065353216,0,"",0,15360,0,"",0,875,1028443341,0,1,0,""
23,"Metadata/Monsters/DarkExiles/DarkExileRanger1",33,30,2,6,80,"[""Metadata/Monsters/Exiles/Characters/Dex.act""]","[""Metadata/Characters/Dex/DexRogueExile.ao""]","Metadata/Monsters/Exiles/DarkExiles/DarkExileRanger1",[3867],0,"","",100,3,6,3,2,100,"[716,702,715,737,71,48,758,747,754,31,29,714,773,32,118,779,1023]",220,[],105,200,700,500,0,[],"Metadata/Monsters/Exiles/DarkExiles/DarkExileRanger1.ais",[],"Bow",0,"Shade of a Ranger",143,1650,1245,[7922],[9222],7279,13,"","",0,[],[],[],"",1,6,135,0,0,135,50816,"","","","",102,"",[],[],[],3,200,0,[],[],10,"","",[],"","",1,0,0,0,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,16236,0,0,0,"","",7,"",0,0,0,0,"",0,"",1065353216,1065353216,0,"",0,16236,0,"",0,875,1028443341,0,1,0,""
24,"Metadata/Monsters/RootSpiders/RootSpider",16,16,3,6,23,"[""Metadata/Monsters/RootSpiders/RootSpider/RootSpider.act""]","[""Metadata/Monsters/RootSpiders/RootSpider/RootSpider.ao""]","Metadata/Monsters/RootSpiders/RootSpider/RootSpider",[3867],0,"","",100,3,6,0,3,100,"[1020,72,175,770,127,759,126,163,75,742,141,747,713,714,32,118,752]",200,[],105,200,700,500,0,[],"Metadata/Monsters/RootSpiders/RootSpider/RootSpider.ais",[],"Bow",0,"Devourer",240,200,1500,[7922],[9222],7279,13,"","",0,[],"[6174,12413]",[745],"",1,5,43,1,0,135,6999,"","","","",102,"",[],[],[],3,200,0,[],[],10,"","",[],"",1,1,-10,10,0,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,17170,0,0,0,"","",7,"",0,0,0,0,"",0,"",1065353216,1065353216,0,"",0,17170,0,"",4,150,1028443341,0,1,0,""
25,"Metadata/Monsters/MudBurrower/BrambleBurrower",17,32,5,7,30,"[""Metadata/Monsters/MudBurrower/BrambleBurrower.act""]","[""Metadata/Monsters/MudBurrower/BrambleHead.ao""]","Metadata/Monsters/MudBurrower/BrambleBurrower",[],1,"","",70,3,6,14,3,0,"[723,1034,175,127,126,163,754,713,30,31,714,32,118,76]",250,[],105,105,700,500,0,"[580,956,958,1257,2391]","Metadata/Monsters/MudBurrower/BrambleBurrower.ais",[],"",0,"Bramble Burrower",250,250,1500,[],[],"","","","",0,[],"[6174,12413]",[],"",1,6,135,0,0,135,37005,"","","","","","",[],[],[],"",300,0,[],[],10,"","",[],"",1,"",-5,5,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,17948,0,-5,5,"","",7,"",0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,17948,0,"",6,175,1028443341,0,1,0,""
26,"Metadata/Monsters/MudBurrower/TropicalBurrowerTEMP",17,32,5,7,30,"[""Metadata/Monsters/MudBurrower/BrambleBurrower.act""]","[""Metadata/Monsters/MudBurrower/BrambleHead.ao""]","Metadata/Monsters/MudBurrower/BrambleBurrower",[],1,"","",70,3,6,14,3,0,"[1034,175,770,127,759,126,163,742,754,30,31,714,32,118,76]",250,[],105,105,700,500,0,"[580,956,958,1257,2391]","Metadata/Monsters/MudBurrower/BrambleBurrower.ais",[],"",0,"Bramble Burrower",250,250,1500,[],[],"","","","",0,[],"[6174,12413]",[],"",1,6,135,0,0,135,46543,"","","","","","",[],[],[],"",300,0,[],[],10,"","",[],"",1,"",-5,5,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,18420,0,-5,5,"","",7,"",0,0,-5,5,"",0,"",1065353216,1065353216,0,"",0,18420,0,"",6,175,1028443341,0,1,0,""
27,"Metadata/Monsters/MudBurrower/SpiresBurrower",19,43,18,5,45,"[""Metadata/Monsters/MudBurrower/SpiresBurrower/SpiresBurrower.act""]","[""Metadata/Monsters/MudBurrower/SpiresBurrower/DevourerBonePile.ao""]","Metadata/Monsters/MudBurrower/SpiresBurrower/SpiresBurrower",[],1,"","",95,3,6,14,3,0,"[723,724,1034,175,770,127,755,759,126,163,742,713,30,31,714,32,118,76]",325,[],58,60,700,500,0,"[580,956,958,1259,2393]","Metadata/Monsters/MudBurrower/SpiresBurrower/SpiresBurrower.ais",[],"stance2",0,"Spire Burrower",293,325,1500,[],[],"","","","",0,[],"[6174,12413]",[],"",1,6,135,0,0,135,10448,"","","","","","",[],[],[],"",300,0,[],[],10,"","",[],"",1,1,0,0,0,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,19492,0,0,0,"","",7,"",0,0,0,0,"",0,"",1065353216,1065353216,0,"",0,19492,0,"",6,213,1028443341,0,1,0,""
