"rownum","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","rid","i32","i32","i32","bool","row","i32","bool","bool","i32","bool","i32"
16,1017,2,50,90,15,180,114,0,-45,8,0,0,0,0,0,0,"","",0,0,0,2,1,8,2,1,1,0,"",0
17,1018,3,50,90,15,180,114,0,-45,8,0,0,0,0,0,0,"","",0,0,0,2,"",8,2,1,1,0,"",0
18,1019,4,50,90,15,180,114,0,-45,8,0,0,0,0,0,0,"","",0,0,0,2,"",8,2,1,1,0,"",0
19,1020,5,50,90,15,180,114,0,-45,8,0,0,0,0,0,0,"","",0,0,0,2,"",8,2,1,1,0,"",0
20,1021,6,50,90,15,180,114,0,-45,8,0,0,0,0,0,0,"","",0,0,0,2,"",8,2,1,1,0,"",0
21,1022,7,50,90,15,180,114,0,-45,8,0,0,0,0,0,0,"","",0,0,0,2,"",8,2,1,1,0,"",0
22,1023,8,50,90,15,180,114,0,-45,8,0,0,0,0,0,0,"","",0,0,0,2,"",8,2,1,1,0,"",0
23,1024,9,50,90,15,180,114,0,-45,8,0,0,0,0,0,0,"","",0,0,0,2,"",8,2,1,1,0,"",0
24,1025,1,50,90,-15,0,114,0,45,-8,0,0,0,0,0,0,"","",0,0,0,2,"",8,2,1,1,0,"",0
25,1026,2,50,90,-15,0,114,0,45,-8,0,0,0,0,0,0,"","",0,0,0,2,"",8,2,1,1,0,"",0
26,1027,3,50,90,-15,0,114,0,45,-8,0,0,0,0,0,0,"","",0,0,0,2,"",8,2,1,1,0,"",0
27,1028,4,50,90,-15,0,114,0,45,-8,0,0,0,0,0,0,"","",0,0,0,2,"",8,2,1,1,0,"",0
28,1029,5,50,90,-15,0,114,0,45,-8,0,0,0,0,0,0,"","",0,0,0,2,"",8,2,1,1,0,"",0
29,1030,6,50,90,-15,0,114,0,45,-8,0,0,0,0,0,0,"","",0,0,0,2,"",8,2,1,1,0,"",0
30,1031,7,50,90,-15,0,114,0,45,-8,0,0,0,0,0,0,"","",0,0,0,2,"",8,2,1,1,0,"",0
31,1032,8,50,90,-15,0,114,0,45,-8,0,0,0,0,0,0,"","",0,0,0,2,"",8,2,1,1,0,"",0
32,1033,9,50,90,-15,0,114,0,45,-8,0,0,0,0,0,0,"","",0,0,0,2,"",8,2,1,1,0,"",0
33,1034,1,25,75,0,0,103,0,0,0,0,-110,0,0,0,0,"","",0,0,0,2,1,8,4,1,"",0,1,1028443341
34,1035,1,15,200,0,0,115,0,0,0,0,0,0,0,0,0,"","",1036831949,0,0,0,1,8,3,1,1,0,"",0
35,1036,1,12,300,0,0,116,0,0,0,0,0,0,0,0,0,"","",1036831949,0,0,1,1,8,3,1,1,0,1,1014350479
36,1037,1,80,80,0,0,119,0,0,0,0,0,0,0,0,0,"","",1036831949,0,0,0,1,8,2,1,"",0,"",0
37,1038,1,43,100,0,0,120,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,"",8,4,1,1,0,"",0
38,1039,1,18,500,0,0,118,0,0,0,0,0,120,0,0,0,"","",1036831949,0,0,0,1,8,3,1,1,0,1,1008981770
39,1040,1,4,900,15,0,121,0,0,0,0,0,18500,0,0,0,"","",0,0,0,2,"",8,4,1,"",0,"",0
40,1041,1,35,800,-25,0,122,0,0,0,0,0,933,0,0,0,"","",0,0,0,1,"",8,12,1,"",0,"",0
41,1042,1,35,800,8,0,122,0,0,0,0,0,933,0,0,0,"","",0,0,0,1,"",8,12,1,"",0,"",0
42,1043,1,40,45,0,0,196,0,20,0,0,0,150,0,0,0,"","",0,0,0,0,1,8,4,1,"",0,1,1028443341
43,1044,1,25,75,0,0,103,0,0,0,0,110,0,0,0,0,"","",0,0,0,2,1,8,4,1,"",0,1,1028443341
44,1045,1,20,60,0,0,123,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,"",8,12,1,"",0,1,1028443341
45,1046,1,35,800,-8,0,122,0,0,0,0,0,933,0,0,0,"","",0,0,0,1,"",8,12,1,"",0,"",0
46,1047,1,35,800,25,0,122,0,0,0,0,0,933,0,0,0,"","",0,0,0,1,"",8,12,1,"",0,"",0
47,1048,1,25,100,0,0,125,0,0,0,0,0,150,0,0,0,"",1,0,0,0,0,"",8,2,1,"",0,"",0
48,1049,1,7,160,0,0,115,0,0,0,0,0,0,0,0,0,"","",1036831949,0,0,0,1,8,3,1,1,0,1,1014350479
49,1050,1,40,300,0,0,1742,0,0,0,0,0,933,0,0,0,"","",0,0,0,2,"",8,12,1,"",0,"",0
