"rownum","RewardOffer","i32","bool","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","bool","[rid]","rid","i32","i32","i32","rid","i32","[rid]","i32","bool"
23,18,2,"",0,0,201326592,0,1342177280,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
24,19,0,"",0,0,201326592,0,2063597568,687865856,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,1
25,20,0,"",0,0,201326592,0,3204448256,637534208,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4119,12,0,0,"",0,[],0,""
26,20,1,"",0,0,201326592,0,3221225472,637534208,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4119,12,0,0,"",0,[],0,""
27,20,2,"",0,0,201326592,0,3238002688,637534208,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4119,12,0,0,"",0,[],0,""
28,20,3,"",0,0,201326592,0,3254779904,637534208,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4119,12,0,0,"",0,[],0,""
29,20,4,"",0,0,201326592,0,3271557120,637534208,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4119,12,0,0,"",0,[],0,""
30,21,0,"",0,0,201326592,0,67108864,1090519040,16777216,0,0,0,0,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,1
31,0,0,1,0,0,201326592,0,2063597568,754974720,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,1
32,1,0,1,0,0,201326592,0,3472883712,754974720,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,1
33,2,0,1,0,0,201326592,0,603979776,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
34,3,0,1,0,0,201326592,0,822083584,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
35,4,0,1,0,0,201326592,0,2097152000,788529152,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,1
36,5,0,1,0,0,201326592,0,3204448256,822083584,0,0,0,0,0,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
37,5,1,1,0,0,201326592,0,3254779904,822083584,0,0,0,0,0,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
38,5,2,1,0,0,201326592,0,3271557120,822083584,0,0,0,0,0,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
39,6,0,1,0,0,201326592,0,2063597568,838860800,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,1
40,7,0,1,0,0,201326592,0,2097152000,855638016,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,1
41,11,0,1,0,0,201326592,0,2063597568,889192448,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,1
42,16,0,1,0,0,201326592,0,922746880,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
43,8,0,1,0,0,201326592,0,1191182336,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
44,9,0,1,0,0,201326592,0,1677721600,973078528,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4119,12,0,0,"",0,[],0,""
45,13,0,1,0,0,201326592,0,2063597568,922746880,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,1
46,14,0,1,0,0,201326592,0,2097152000,922746880,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,1
47,15,0,1,0,0,201326592,0,3472883712,922746880,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,1
48,17,0,1,0,0,201326592,0,2818572288,973078528,33554432,0,0,0,0,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
49,17,1,1,0,0,201326592,0,2835349504,973078528,33554432,0,0,0,0,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
50,18,0,1,0,0,201326592,0,1358954496,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
51,18,1,1,0,0,201326592,0,1375731712,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
52,18,2,1,0,0,201326592,0,1392508928,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
53,19,0,1,0,0,201326592,0,2063597568,1073741824,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,1
54,20,0,1,0,0,201326592,0,3204448256,1023410176,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4119,12,0,0,"",0,[],0,""
55,20,1,1,0,0,201326592,0,3221225472,1023410176,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4119,12,0,0,"",0,[],0,""
56,20,2,1,0,0,201326592,0,3238002688,1023410176,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4119,12,0,0,"",0,[],0,""
57,20,3,1,0,0,201326592,0,3254779904,1023410176,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4119,12,0,0,"",0,[],0,""
58,20,4,1,0,0,201326592,0,3271557120,1023410176,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4119,12,0,0,"",0,[],0,""
59,21,0,1,0,0,201326592,0,67108864,1090519040,16777216,0,0,0,0,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,1
60,22,0,"",0,0,201326592,0,1124073472,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
61,23,0,"",0,0,201326592,0,1140850688,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
62,24,0,"",0,0,201326592,0,1157627904,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
63,25,0,"",0,0,201326592,0,1174405120,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
64,26,0,"",0,0,201326592,0,1191182336,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
65,27,0,"",0,0,201326592,0,1207959552,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
66,28,0,"",0,0,201326592,0,1224736768,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
67,29,0,"",0,0,201326592,0,1241513984,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
68,30,0,"",0,0,201326592,0,1258291200,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
69,31,0,"",0,0,201326592,0,1275068416,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
70,32,0,"",0,0,201326592,0,1291845632,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
71,33,0,"",0,0,201326592,0,1308622848,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
72,34,0,"",0,0,201326592,0,1325400064,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
73,35,0,"",0,0,201326592,0,1342177280,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
74,36,0,"",0,0,201326592,0,1358954496,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
75,37,0,"",0,0,201326592,0,1711276032,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4119,12,0,0,"",0,[],0,""
