"rownum","Id","DDSFile","AOFile","InventorySoundEffect","HASH16","AOFile2","MarauderSMFiles","RangerSMFiles","WitchSMFiles","DuelistDexSMFiles","TemplarSMFiles","ShadowSMFiles","ScionSMFiles","MarauderShape","RangerShape","WitchShape","DuelistShape","TemplarShape","ShadowShape","ScionShape","rid","i32","Pickup_AchievementItemsKeys","SMFiles","Identify_AchievementItemsKeys","EPKFile","Corrupt_AchievementItemsKeys","IsAlternateArt","bool","CreateCorruptedJewelAchievementItemsKey","AnimationLocation","string","string","string","string","string","string","string","string","string","string","string","string","IsAtlasOfWorldsMapIcon","IsTier16Icon","[i32]","bool","[rid]","[string]","[string]","[string]","[string]","[string]","[string]","[string]","string","string","string","string","string","string","string","string","string","Composition","rid","rid","rid","rid","[string]","[string]","[string]","[string]","[string]","[string]","rid","string","string","string","string","string","string","string"
3109,"MicrotransactionJingweiApparitionEffect","Art/2DItems/Effects/Character/JingweiApparition.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,20265,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3110,"MicrotransactionJingweiPortalEffect","Art/2DItems/Effects/Portals/JingweiPortal.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-3284,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3111,"MicrotransactionJingweiCharacterEffect","Art/2DItems/Effects/Character/JingweiCharacterEffect.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,13246,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3112,"MicrotransactionJingweiFootprintsEffect___","Art/2DItems/Effects/Footprints/JingweiFootprints.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-27532,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3113,"MicrotransactionJingweiPortraitFrame_","Art/2DItems/Effects/Frames/JingWei.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-12721,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3114,"MicrotransactionVaalOrbHelmet","Art/2DItems/Effects/Hats/VaalOrbHelmet.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,15510,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3115,"MicrotransactionVaalOrbBoots____","Art/2DItems/Effects/shoes/VaalOrbBoots.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-31065,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3116,"MicrotransactionVaalOrbGloves","Art/2DItems/Effects/gloves/VaalOrbGloves.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,22328,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3117,"MicrotransactionVaalOrbBodyArmour","Art/2DItems/Effects/BodyArmour/VaalOrbBody.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-22130,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3118,"MicrotransactionVaalOrbCloak__","Art/2DItems/Effects/Wings/VaalOrbCloak.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,29414,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3119,"MicrotransactionVaalOrbShield","Art/2DItems/Effects/Shields/VaalOrbShieldSkin.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-4309,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3120,"MicrotransactionVaalOrbWeapon","Art/2DItems/Effects/Weapon/VaalOrbWeaponSkin.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-9594,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3121,"MicrotransactionVaalOrbCharacterEffect","Art/2DItems/Effects/Character/VaalOrbCharacterEffect.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-30253,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3122,"MicrotransactionVaalOrbVoidSphereEffect_","Art/2DItems/Effects/VaalOrbSphereEffect.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,5817,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3123,"MicrotransactionVaalOrbIceShotEffect","Art/2DItems/Effects/VaalOrbIceShotEffect.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,6607,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3124,"MicrotransactionVaalOrbCremationEffect","Art/2DItems/Effects/VaalOrbCremationEffect.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-25658,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3125,"MicrotransactionMerchantHelmet","Art/2DItems/Effects/Hats/MerchantHelmet.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,1044,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3126,"MicrotransactionMerchantBoots","Art/2DItems/Effects/shoes/MerchantBoots.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,17507,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3127,"MicrotransactionMerchantGloves_____","Art/2DItems/Effects/gloves/MerchantGloves.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,19355,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3128,"MicrotransactionMerchantBodyArmour","Art/2DItems/Effects/BodyArmour/MerchantBody.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,6774,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3129,"MicrotransactionMerchantBackAttachment","Art/2DItems/Effects/Wings/MerchantBackAttachment.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-20263,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3130,"MicrotransactionMerchantWeapon","Art/2DItems/Effects/Weapon/MerchantWeaponSkin.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-29886,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3131,"MicrotransactionMerchantBlinkandMirrorArrowEffect","Art/2DItems/Effects/MerchantBlinkAndMirrorArrowEffect.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,8271,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3132,"MicrotransactionMerchantAuraEffect","Art/2DItems/Effects/Auras/MerchantAuraEffect.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-24352,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3133,"MicrotransactionSunprismContagionEffect","Art/2DItems/Effects/SunprismContagionEffect.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,24890,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3134,"MicrotransactionSunprismWitherEffect","Art/2DItems/Effects/SunprismWitherEffect.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,28679,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3135,"MicrotransactionSunprismBlightEffect","Art/2DItems/Effects/SunprismBlightEffect.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-25629,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3136,"MicrotransactionSunprismEssenceDrainEffect","Art/2DItems/Effects/SunprismEssenceDrainEffect.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,24514,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3137,"MicrotransactionStygianWaveofConvictionEffect","Art/2DItems/Effects/StygianWaveofConviction.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-13499,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3138,"MicrotransactionStygianPunctureEffect","Art/2DItems/Effects/StygianPunctureEffect.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,80,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3139,"MicrotransactionColdsnapShield","Art/2DItems/Effects/Shields/ColdsnapShield.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-28966,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3140,"MicrotransactionSlitherWings","Art/2DItems/Effects/Wings/SlitherWings.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,9942,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3141,"MicrotransactionDemonicEnsnaringArrowEffect","Art/2DItems/Effects/DemonicEnsnaringArrow.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,26081,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3142,"MicrotransactionInfernalSteamPoweredPortalEffect","Art/2DItems/Effects/Portals/AbyssPortal.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-10984,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3143,"MicrotransactionStygianSteelskinEffect","Art/2DItems/Effects/StygianSteelskinEffect.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-24031,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3144,"MicrotransactionDivineSigilofPowerEffect","Art/2DItems/Effects/DivineSigilOfPowerEffect.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-8029,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3145,"MicrotransactionNecroticCharacterEffect","Art/2DItems/Effects/Character/NecroticCharacterEffect.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,12326,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3146,"MicrotransactionCelestialWaveofConvictionEffect","Art/2DItems/Effects/CelestialWaveofConviction.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,7212,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3147,"MicrotransactionCelestialDivineIreEffect","Art/2DItems/Effects/CelestialDivineIreEffect.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,27792,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3148,"MicrotransactionCelestialOfferingEffect","Art/2DItems/Effects/CelestialOfferingEffect.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-23591,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3149,"MicrotransactionArcaneCloak","Art/2DItems/Effects/Wings/ArcaneCloak.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-30841,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3150,"MicrotransactionArcaneFrenzyEffect","Art/2DItems/Effects/ArcaneFrenzyEffect.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-15946,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3151,"MicrotransactionDemonicWitheringStepEffect","Art/2DItems/Effects/DemonicWitheringStep.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,18292,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3152,"MicrotransactionCursorAlternate__","Art/2DItems/Effects/Cursors/HighContrastCursor.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-20928,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3153,"MicrotransactionCursorMaraketh","Art/2DItems/Effects/Cursors/MarakethCursor.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,9703,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3154,"MicrotransactionCursorVaal","Art/2DItems/Effects/Cursors/VaalCursor.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-29698,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3155,"MicrotransactionCursorEternal","Art/2DItems/Effects/Cursors/EternalsCursor.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,18469,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3156,"MicrotransactionCursorKarui","Art/2DItems/Effects/Cursors/KaruiCursor.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-31977,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3157,"MicrotransactionCursorEzomyte","Art/2DItems/Effects/Cursors/EzomyteCursor.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-20442,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3158,"MicrotransactionSoulkeeperWeaponEffect","Art/2DItems/Effects/Weapon/weapon_soulkeeper.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,9618,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3159,"MicrotransactionSoulkeeperPortraitFrame","Art/2DItems/Effects/Frames/Soulkeeper.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,3556,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3160,"MicrotransactionSoulkeeperVizierHelmet","Art/2DItems/Effects/Hats/SoulkeeperVizierHelmet.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,6709,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3161,"MicrotransactionSoulkeeperVizierBoots","Art/2DItems/Effects/shoes/SoulkeeperVizierBoots.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,17692,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3162,"MicrotransactionSoulkeeperVizierGloves","Art/2DItems/Effects/gloves/SoulkeeperVizierGloves.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-16451,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3163,"MicrotransactionSoulkeeperVizierBodyArmour","Art/2DItems/Effects/BodyArmour/SoulkeeperVizierBody.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,25196,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3164,"MicrotransactionSoulkeeperVizierPortraitFrame","Art/2DItems/Effects/Frames/SoulkeeperVizier.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-27488,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3165,"MicrotransactionSoulkeeperDemigodApparitionPortalEffect","Art/2DItems/Effects/Portals/SoulkeeperDemigodApparitionPortalEffect.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-17709,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3166,"MicrotransactionSoulkeeperDemigodWeapon","Art/2DItems/Effects/Weapon/SoulkeeperDemigod.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,27983,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3167,"MicrotransactionSoulkeeperDemigodPortraitFrame","Art/2DItems/Effects/Frames/SoulkeeperDemigod.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-1561,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3168,"MicrotransactionAesirWeaponEffect","Art/2DItems/Effects/Weapon/weapon_aesir.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-9063,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3169,"MicrotransactionAesirPortraitFrame___","Art/2DItems/Effects/Frames/Aesir.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-23481,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3170,"MicrotransactionAesirWarriorHelmet__","Art/2DItems/Effects/Hats/AesirWarriorHelmet.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-31662,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3171,"MicrotransactionAesirWarriorBoots","Art/2DItems/Effects/shoes/AesirWarriorBoots.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,3133,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3172,"MicrotransactionAesirWarriorGloves","Art/2DItems/Effects/gloves/AesirWarriorGloves.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-12092,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3173,"MicrotransactionAesirWarriorBodyArmour__","Art/2DItems/Effects/BodyArmour/AesirWarriorBody.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,19646,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3174,"MicrotransactionAesirWarriorWings","Art/2DItems/Effects/Wings/AesirWarriorWings.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,-973,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3175,"MicrotransactionAesirWarriorPortraitFrame","Art/2DItems/Effects/Frames/AesirWarrior.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,8190,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
3176,"MicrotransactionAesirDemigodApparitionPortalEffect","Art/2DItems/Effects/Portals/AesirDemigodApparitionPortalEffect.dds","Metadata/Items/Currency/CurrencyOrb.ao",63,32080,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","",""
