"rownum","Id","Text","TextXBox","bool","rid","i32","i32","i32","u16","bool"
31,"ProxyKey36","Repeatedly damaging enemies can cause them to be <b>{Stunned}.","",1,1677721600,0,-67108864,31,0,""
32,"ProxyKey37","Culling strike will instantly kill <b>{Normal}, <b>{Magic}, <b>{Rare} and <b>{Unique} enemies below 30%, 20%, 10% and 5% Maximum Life respectively.","",1,1677721600,0,1040187392,33,0,""
33,"ProxyKey38","Vendors will have new items when you gain a level, be sure to check them.","",1,1677721600,0,-335544320,33,0,""
34,"ProxyKey39","Many Unique bosses can grant permanent buffs for defeating them.","",1,1677721600,0,-2013265920,34,0,""
35,"ProxyKey40","Larger enemies can push you around if you get in their way.","",1,1677721600,0,436207616,35,0,""
36,"ProxyKey42","Many melee attacks will gap-close to nearby enemies if you're not quite close enough.","",1,1677721600,0,-536870912,35,0,""
37,"ProxyKey43","Energy Shield will begin recharging after 4 seconds without taking damage.","",1,1677721600,0,-1879048192,36,0,""
38,"ProxyKey45","Herald skills are a kind of Spirit reservation that grant various bonuses to Attack skills.","",1,1677721600,0,1644167168,37,0,""
39,"ProxyKey46","<b>{Right-click} a <gemitem>{Skill Gem} to open the Skill Gems panel.","Press <<xbox_button_view>> to access the <b>{Character menu} and use <<xbox_button_lb>> or <<xbox_button_rb>> to cycle between tabs.",1,1677721600,0,335544320,39,0,""
40,"ProxyKey47","<gemitem>{Uncut Skill Gems} can be used to either upgrade existing socketed <gemitem>{Skill Gems} or create new ones.","",1,1677721600,0,436207616,40,0,""
41,"ProxyKey51","You can customise key bindings via the <b>{Input} tab in the <b>{options menu}.","Press and hold <<xbox_button_view>> to open a radial menu for direct access to the <b>{rebind menu} and <b>{Character menu} tabs.",1,1677721600,0,-637534208,41,0,""
42,"ProxyKey52","Gold is useful in shops and also to respec your character.","",1,1677721600,0,1778384896,42,0,""
43,"ProxyKey53","<b>{Right-click} an Uncut Skill Gem to craft it in a Skill Gems panel.","Press <<xbox_button_x>> on an Uncut Gem in your inventory to craft it via the <b>{Skill Gem Crafting} panel.",1,1677721600,0,-301989888,43,0,""
44,"ProxyKey54","Spend your skill points in the Passive Skill Tree to improve your character's chance of survival.","Press and hold <<xbox_button_view>> to access the <b>{Passives} and <b>{Skills} tabs directly via the radial menu.",1,1677721600,0,-1275068416,45,0,""
45,"ProxyKey55","You can allocate Spirit reserves via the <b>{Skills} menu to activate Auras and spawn Minions.","You can allocate Spirit reserves via the <b>{Bind Screen} to activate Auras and spawn Minions.",1,1677721600,0,1275068416,47,0,""
46,"ProxyKey56","Spirit reserves can be allocated per weapon set via the <b>{Advanced Info} panel for an equipped skillgem.","Spirit reserves can be allocated per weapon set via the Bind Screen reservation panel.",1,1677721600,0,-335544320,48,0,""
