"rownum","DisplayLevel","Damage","Evasion","Accuracy","Life","Experience","AllyLife","i32","Difficulty","Damage2","i32","f32","f32","i32","i32","Armour","i32","i32"
52,"53",143.64,314,653,3627,10300,5834,1396,2,688.71,628,0,0,0,8581,17,0,6453
53,"54",148.58,323,677,3808,10997,6108,1486,2,738.22,647,0,0,0,8634,17,0,6586
54,"55",153.66,333,701,3998,11751,6394,1581,2,791.05,666,0,0,0,8687,17,0,6718
55,"56",158.87,343,726,4198,12546,6690,1682,2,847.4,686,0,0,0,8739,17,0,6848
56,"57",164.21,353,752,4408,13393,6998,1788,2,907.5,706,0,0,0,8789,17,0,6973
57,"58",169.7,363,778,4629,14302,7318,1901,2,971.59,727,0,0,0,8839,17,0,7097
58,"59",175.34,373,806,4860,15267,7650,2020,2,1039.92,747,0,0,0,8887,17,0,7218
59,"60",181.12,384,834,5103,16300,7996,2146,2,1112.77,769,0,0,0,8935,17,0,7336
60,"61",187.05,395,863,5358,17402,8354,2279,2,1190.42,790,0,0,0,8981,17,0,7453
61,"62",193.14,406,892,5626,18576,8727,2420,2,1273.1801,812,0,0,0,9026,17,0,7565
62,"63",199.38,417,923,5907,19825,9114,2569,2,1361.36,835,0,0,0,9070,17,0,7674
63,"64",205.79,429,955,6203,21161,9515,2726,2,1455.3199,858,0,0,0,9112,17,0,7781
64,"65",212.36,440,987,6513,21507,9932,2893,2,1555.4,881,0,0,0,9153,17,0,7884
65,"66",219.11,452,1020,6904,23667,10365,3068,2,1662.02,905,0,0,0,9201,20,7,8003
66,"67",226.03,464,1055,7318,26020,10814,3254,2,1775.5601,929,0,0,0,9247,40,14,8119
67,"68",233.12,477,1090,7757,28634,11280,3451,3,1896.47,954,0,0,0,9291,60,20,8227
68,"69",240.4,489,1126,8222,31491,11764,3658,3,2025.21,979,0,0,0,9333,80,27,8332
69,"70",247.86,502,1164,8716,34639,12266,3877,3,2162.27,1004,0,0,0,9373,100,34,8432
70,"71",255.52,515,1202,9239,38100,12787,4108,3,2308.1599,1030,0,0,0,9411,120,40,8528
71,"72",263.37,528,1242,9793,41931,13328,4353,3,2463.45,1057,0,0,0,9448,140,47,8619
72,"73",271.42,542,1283,10381,46103,13889,4611,3,2628.72,1084,0,0,0,9483,160,54,8706
73,"74",279.68,556,1324,11003,50688,14471,4883,3,2804.5801,1112,0,0,0,9516,180,61,8789
74,"75",288.14,570,1368,11664,55765,15074,5171,3,2991.7,1140,0,0,0,9547,200,67,8867
75,"76",296.82,584,1412,12363,61373,15700,5475,3,3190.78,1168,0,0,0,9577,220,74,8942
76,"77",305.72,598,1457,13105,67522,16349,5795,3,3402.5601,1197,0,0,0,9605,240,81,9013
77,"78",314.84,613,1504,13892,74226,17023,6133,3,3627.8201,1227,0,0,0,9632,260,87,9080
78,"79",324.19,628,1552,14725,81664,17721,6490,3,3867.3999,1257,0,0,0,9657,280,94,9144
79,"80",333.78,644,1602,15609,100000,18445,6867,3,4122.1899,1288,0,0,0,9681,300,100,9204
80,"81",343.6,659,1653,16545,100000,19195,7264,3,4393.1201,1319,0,0,0,9705,300,100,9262
81,"82",353.67,675,1705,17538,100000,19973,7684,3,4681.1899,1351,0,0,0,9726,300,100,9316
82,"83",364,691,1759,18590,100000,20780,8126,3,4987.4502,1383,0,0,0,9747,300,100,9367
83,"84",374.58,708,1814,19705,100000,21616,8593,3,5313.0298,1416,0,0,0,9766,300,100,9415
84,"85",385.42,724,1871,20888,100000,22483,9085,3,5659.1201,1449,0,0,0,9784,300,100,9460
85,"86",396.53,742,1930,22141,100000,23381,9604,3,6026.96,1484,0,0,0,9801,300,100,9502
86,"87",407.92,759,1990,23469,100000,24312,10151,3,6417.8999,1518,0,0,0,9817,300,100,9542
87,"88",419.58,777,2052,24878,100000,25277,10728,3,6833.3398,1554,0,0,0,9831,300,100,9579
88,"89",431.54,795,2115,26370,100000,26277,11336,3,7274.7998,1590,0,0,0,9845,300,100,9613
89,"90",443.79,813,2180,27953,100000,27313,11978,3,7743.8599,1626,0,0,0,9858,300,100,9645
90,"91",456.34,832,2247,29630,100000,28386,12654,3,8242.2002,1664,0,0,0,9870,300,100,9675
91,"92",469.2,850,2316,31407,100000,29498,13367,3,8771.6104,1701,0,0,0,9881,300,100,9703
92,"93",482.38,870,2387,33292,100000,30650,14119,3,9333.9902,1740,0,0,0,9891,300,100,9729
93,"94",495.87,889,2460,35289,100000,31843,14911,3,9931.3398,1779,0,0,0,9901,300,100,9752
94,"95",509.7,909,2535,37407,100000,33079,15745,3,10565.79,1819,0,0,0,9910,300,100,9775
95,"96",523.86,930,2612,39651,100000,34360,16625,3,11239.5996,1860,0,0,0,9918,300,100,9795
96,"97",538.37,951,2690,42030,100000,35686,17552,3,11955.1504,1902,0,0,0,9925,300,100,9814
97,"98",553.23,972,2772,44552,100000,37060,18528,3,12714.9697,1944,0,0,0,9932,300,100,9831
98,"99",568.46,993,2855,47225,100000,38482,19557,3,13521.7598,1987,0,0,0,9939,300,100,9847
99,"100",584.05,1015,2941,50059,0,39955,20641,3,14378.3496,2030,0,0,0,9945,300,100,9861
