"rownum","BaseItemTypesKey","StrengthRequirementPercent","DexterityRequirementPercent","IntelligenceRequirementPercent","VaalVariant_BaseItemTypesKey","IsVaalVariant","MinionGlobalSkillLevelStat","GemType","bool","bool","rid","i32","i32","ItemExperienceType","CraftingTypes","[rid]","bool","GemEffects","bool","TutorialVideo","UI_Image","i32","CraftingLevel","bool","i32","bool","string"
60,411,25,0,75,"","","",0,1,1,"",3,1,0,[],[0],"",[62],"","","",0,0,"",2,"",""
61,412,25,0,75,"","","",0,1,1,"",3,1,0,[],[0],"",[63],"","","",0,0,"",2,"",""
62,413,0,0,100,"","","",0,1,1,"",3,53,0,[7],[0],"",[64],"","Art/Videos/SkillTutorials/Flameblast.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageFlameblast.dds",0,13,"",2,"",""
63,414,0,100,0,"","","",0,1,1,"",2,15,0,[2],[0],"",[65],"","Art/Videos/SkillTutorials/Barrage.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageBarrage.dds",0,5,"",2,"",""
64,415,0,0,100,"","","",0,1,1,"",3,42,0,[7],[0],"",[66],"","Art/Videos/SkillTutorials/BallLightning.bk2","",2,11,"",2,"",""
65,416,0,0,100,"","","",0,1,1,"",3,42,0,[1],[0],"",[67],"","Art/Videos/SkillTutorials/BoneOffering.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageBoneOffering.dds",1,11,"",2,"",""
66,417,100,0,0,"","","",0,1,1,"",1,11,0,"[6,9]",[0],"",[68],"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageHeraldOfAsh.dds",0,4,"",2,"",""
67,418,0,50,50,"","","",0,1,1,"",4,11,0,[10],[0],"",[69],"","","",0,4,"",2,"",""
68,419,0,100,0,"","","",0,1,1,"",2,11,0,"[10,2,9]",[0],"",[70],"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageHeraldOfThunder.dds",0,4,"",2,"",""
69,420,0,0,100,"","","",2,1,1,"",3,27,0,[1],[0],"",[71],"","","",2,8,"",2,"",""
70,421,100,0,0,"","","",0,1,1,"",1,7,0,[6],[0],"",[72],"","Art/Videos/SkillTutorials/InfernalCry.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageInfernalCry.dds",0,3,"",2,"",""
71,2984,0,0,100,"","","",1,1,1,"",3,1,17,[7],[0],"",[73],"","","",0,1,"",0,"","Intelligence"
72,2940,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[74],"","","",0,1,"",0,"","Intelligence"
73,2888,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[75],"","","",0,1,"",0,"","Dexterity"
74,423,0,0,100,"","","",0,1,1,"",3,1,0,[],[0],"",[76],"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageRollingMagma.dds",0,0,"",2,"",""
75,424,0,0,100,"","","",0,1,1,"",3,1,0,[7],[0],"",[77],"","Art/Videos/SkillTutorials/FrostBomb.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageFrostBomb.dds",2,1,"",2,"",""
76,425,0,0,100,"","","",0,1,1,"",3,7,0,[7],[0],"",[78],"","Art/Videos/SkillTutorials/OrbofStorms.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageOrbOfStorms.dds",2,3,"",2,"",""
77,426,100,0,0,"","","",0,1,1,"",1,1,0,[6],[0],"",[79],"","Art/Videos/SkillTutorials/Earthquake.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageEarthquake.dds",0,1,"",2,"",""
78,427,0,0,100,"","","",0,1,1,"",3,1,0,[1],[0],"",[80],"","Art/Videos/SkillTutorials/Contagion.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageContagion.dds",3,1,"",2,"",""
79,428,0,0,100,"","","",0,1,1,"",3,1,0,[],[0],"",[81],"","","",0,0,"",2,"",""
80,429,0,0,100,"","","",0,1,1,"",3,7,0,[1],[0],"",[82],"","Art/Videos/SkillTutorials/EssenceDrain.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageEssenceDrain.dds",3,3,"",2,"",""
81,2981,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[83],"","","",0,1,"",0,"","Intelligence"
82,430,100,0,0,"","","",0,1,1,"",1,32,0,[6],[0],"",[84],"","Art/Videos/SkillTutorials/Sunder.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSunder.dds",0,9,"",2,"",""
83,431,0,0,100,"","","",0,1,1,"",3,7,0,[7],[0],"",[85],"","Art/Videos/SkillTutorials/Frostbolt.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageFrostbolt.dds",1,3,"",2,"",""
84,2966,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[86],"","","",0,3,"",0,"","Intelligence"
85,432,0,0,100,"","","",0,1,1,"",3,1,0,[],[0],"",[87],"","","",0,0,"",2,"",""
86,388,0,0,100,"","",9633,0,1,1,"",3,1,0,[1],[0],"",[88],"","Art/Videos/SkillTutorials/SkeletalWarrior.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSkeletalWarrior.dds",0,1,"",2,"",""
87,389,0,0,100,"","",9633,0,1,1,"",3,32,0,[1],[0],"",[89],"","Art/Videos/SkillTutorials/SkeletalReaver.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSkeletalReaver.dds",0,9,"",2,"",""
88,390,0,0,100,"","",9633,0,1,1,"",3,53,0,[1],[0],"",[90],"","Art/Videos/SkillTutorials/SkeletalBrute.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSkeletalBrute.dds",0,13,"",2,"",""
89,391,0,0,100,"","",9633,0,1,1,"",3,1,0,[1],[0],"",[91],"","Art/Videos/SkillTutorials/SkeletalSniper.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSkeletalSniper.dds",0,1,"",2,"",""
90,392,0,0,100,"","",9633,0,1,1,"",3,15,0,[1],[0],"",[92],"","Art/Videos/SkillTutorials/SkeletalFrostMage.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSkeletalFrostMage.dds",0,5,"",2,"",""
91,393,0,0,100,"","",9633,0,1,1,"",3,42,0,[1],[0],"",[93],"","Art/Videos/SkillTutorials/SkeletalStormMage.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSkeletalStormMage.dds",0,11,"",2,"",""
92,394,0,0,100,"","",9633,0,1,1,"",3,7,0,[1],[0],"",[94],"","Art/Videos/SkillTutorials/SkeletalArsonist.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSkeletalArsonist.dds",0,3,"",2,"",""
93,395,0,0,100,"","",9633,0,1,1,"",3,53,0,[1],[0],"",[95],"","Art/Videos/SkillTutorials/SkeletalCleric.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSkeletalCleric.dds",0,13,"",2,"",""
94,2942,0,0,100,"","","",1,1,1,"",3,1,0,[6],[0],"",[96],"","","",0,2,"",0,"","Intelligence"
95,2843,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[97],"","","",0,1,"",0,"","Strength"
96,2892,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[98],"","","",0,1,"",0,"","Dexterity"
97,2893,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[99],"","","",0,2,"",0,"","Dexterity"
98,2871,100,0,0,"","","",1,1,1,"",1,1,17,[6],[0],"",[100],"","","",0,3,"",0,"","Strength"
99,2916,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[101],"","","",0,1,"",0,"","Dexterity"
100,2863,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[102],"","","",0,1,"",0,"","Strength"
101,2926,0,100,0,"","","",1,1,1,"",2,5,17,[2],[0],"",[103],"","","",0,2,"",0,"","Dexterity"
102,2971,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[104],"","","",0,1,"",0,"","Intelligence"
103,433,0,0,100,"","","",0,1,1,"",3,23,0,[1],[0],"",[105],"","Art/Videos/SkillTutorials/Vulnerability.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageVulnerability.dds",0,7,"",2,"",""
104,2951,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[106],"","","",0,1,"",0,"","Intelligence"
105,434,0,0,100,"","","",0,1,1,"",3,1,0,[],[0],"",[107],"","","",0,0,"",2,"",""
106,2948,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[108],"","","",0,1,"",0,"","Intelligence"
107,435,0,100,0,"","","",1,1,1,"",2,18,0,[6],[0],"",[109],"","","",0,2,"",0,"","Dexterity"
108,2848,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[110],"","","",0,1,"",0,"","Strength"
109,436,0,100,0,"","","",0,1,1,"",2,11,0,[2],[0],"",[111],"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImagePlagueBearer.dds",0,4,"",2,"",""
110,2970,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[112],"","","",0,2,"",0,"","Intelligence"
111,2865,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[113],"","","",0,1,"",0,"","Strength"
112,2868,100,0,0,"","","",1,1,1,"",1,1,17,[6],[0],"",[114],"","","",0,2,"",0,"","Strength"
113,437,50,50,0,"","","",0,1,1,"",4,32,0,[9],"[0,1]","",[115],"","Art/Videos/SkillTutorials/ArtilleryBallista.bk2","",0,9,"",2,"",""
114,2906,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[116],"","","",0,1,"",0,"","Dexterity"
115,422,100,0,0,"","","",0,1,1,"",1,42,0,[6],[0],"",[117],"","Art/Videos/SkillTutorials/SeismicCry.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSeismicCry.dds",0,11,"",2,"",""
116,438,100,0,0,"","","",0,1,1,"",1,23,0,[6],[0],"",[118],"","Art/Videos/SkillTutorials/Earthshatter.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageEarthshatter.dds",0,7,"",2,"",""
117,439,0,0,100,"","","",0,1,1,"",3,1,0,[],[0],"",[119],"","","",0,0,"",2,"",""
118,440,0,0,100,"","","",0,1,1,"",3,1,0,[7],[0],"",[120],"","Art/Videos/SkillTutorials/FlameWall.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageFlameWall.dds",0,1,"",2,"",""
119,2982,0,0,100,"","","",1,"",1,"",3,1,17,[7],[0],"",[121],"","","",0,1,"",0,"","Intelligence"
120,441,0,0,100,"","","",0,1,1,"",3,42,0,[1],[0],"",[122],"","Art/Videos/SkillTutorials/Hexblast.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageHexblast.dds",2,11,"",2,"",""
121,442,50,0,50,"","","",0,1,1,"",4,1,0,[],[0],"",[123],"","","",0,0,"",2,"",""
122,443,50,0,50,"","","",0,1,1,"",4,1,0,[],[0],"",[124],"","","",0,0,"",2,"",""
123,2849,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[125],"","","",0,1,"",0,"","Strength"
124,2852,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[126],"","","",0,3,"",0,"","Strength"
125,2850,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[127],"","","",0,1,"",0,"","Strength"
126,444,100,0,0,"","","",0,1,1,"",1,1,0,[6],[0],"",[128],"","Art/Videos/SkillTutorials/Boneshatter.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageBoneshatter.dds",0,1,"",2,"",""
127,445,0,0,100,"","","",0,1,1,"",3,53,0,[7],[0],"",[129],"","Art/Videos/SkillTutorials/EyeOfWinter.bk2","",0,13,"",2,"",""
128,446,50,0,50,"","","",0,1,1,"",4,1,0,[],[0],"",[130],"","","",0,0,"",2,"",""
129,2900,0,100,0,"","","",1,1,1,"",2,1,0,[2],[0],"",[131],"","","",0,3,"",0,"","Dexterity"
130,447,0,0,100,"","","",0,1,1,"",3,53,0,[7],[0],"",[132],"","Art/Videos/SkillTutorials/LightningConduit.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageLightningConduit.dds",0,13,"",2,"",""
131,448,0,0,100,"","","",0,1,1,"",3,1,0,[],[0],"",[133],"","","",0,0,"",2,"",""
132,449,100,0,0,"","","",0,1,1,"",1,32,0,[6],[0],"",[134],"","Art/Videos/SkillTutorials/VolcanicFissure.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageVolcanicFissure.dds",0,9,"",2,"",""
133,450,0,100,0,"","","",0,1,1,"",2,15,0,[],[0],"",[135],"","","",0,0,"",2,"",""
134,451,0,100,0,"","","",0,1,1,"",2,7,0,[],[0],"",[136],"","","",0,0,"",2,"",""
135,452,0,100,0,"","","",0,1,1,"",2,7,0,[],[0],"",[137],"","","",0,0,"",2,"",""
136,453,0,100,0,"","","",0,1,1,"",2,1,0,[],[0],"",[138],"","","",0,0,"",2,"",""
137,454,0,100,0,"","","",0,1,1,"",2,53,0,[],[0],"",[139],"","","",0,0,"",2,"",""
138,455,0,0,100,"","","",2,1,1,"",3,51,0,[],[0],"",[140],1,"","",0,0,"",2,"",""
139,456,0,100,0,"","","",0,1,1,"",2,1,0,[],[0],"",[141],"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageStormSpear.dds",0,0,"",2,"",""
140,457,0,100,0,"","","",0,1,1,"",2,53,0,[],[0],"",[142],"","","",0,0,"",2,"",""
141,458,100,0,0,"","","",0,1,1,"",1,1,17,[],[0],"",[143],"","","",0,0,"",2,"",""
142,459,100,0,0,"","","",0,1,1,"",1,1,17,[],[0],"",[144],"","","",0,0,"",2,"",""
143,460,0,50,50,"","","",0,1,1,"",4,42,0,[10],[0],"",[145],"","Art/Videos/SkillTutorials/WhirlingAssault.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageWhirlingAssault.dds",0,11,"",2,"",""
144,461,100,0,0,"","","",0,1,1,"",1,1,0,[6],[0],"",[146],"","Art/Videos/SkillTutorials/RollingSlam.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageDoubleSlam.dds",0,1,"",2,"",""
145,462,0,100,0,"","","",0,1,1,"",2,1,0,[2],[0],"",[147],"","Art/Videos/SkillTutorials/EscapeShot.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageEscapeShot.dds",2,1,"",2,"",""
146,463,100,0,0,"","","",0,1,1,"",1,42,0,[6],[0],"",[148],"","Art/Videos/SkillTutorials/SuperchargedSlam.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSuperchargedSlam.dds",0,11,"",2,"",""
147,464,0,100,0,"","","",0,1,1,"",2,1,17,[],[0],"",[149],"","","",0,0,"",2,"",""
148,465,0,50,50,"","","",0,1,1,"",4,15,0,[10],[0],"",[150],"","Art/Videos/SkillTutorials/WindBlast.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageWindBlast.dds",0,5,"",2,"",""
149,466,50,50,0,"","","",0,1,1,"",4,1,0,[],[0],"",[151],"","","",0,0,"",2,"",""
150,467,0,100,0,"","","",0,1,1,"",2,1,0,[],[0],"",[152],"","","",0,0,"",2,"",""
151,468,50,0,50,"","","",0,1,1,"",4,1,0,[],[0],"",[153],"","","",0,0,"",2,"",""
152,469,100,0,0,"","","",0,1,1,"",1,1,17,[],[0],"",[154],"","","",0,0,"",2,"",""
153,470,100,0,0,"","","",0,1,1,"",1,1,17,[],[0],"",[155],"","","",0,0,"",2,"",""
154,471,100,0,0,"","","",0,1,1,"",1,1,17,[],[0],"",[156],"","","",0,0,"",2,"",""
