"rownum","string","[rid]","f32","i32","i32","i32","rid","[i16]","string","i32","i32","rid","[rid]","string","i32","i32","rid"
10,"攀琀愀搀愀琀愀⼀吀攀爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䄀挀琀㈀⼀㈀开琀漀眀渀⼀洀愀猀琀攀爀开㈀开椀渀琀爀漀⸀琀猀椀",[],-6,1000,750,5000,"","[0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,50,95,105,110,116,114,111,46,116,115,105,0,0,104,0,0,0,0,0,0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,51,95,105,110,116,114,111]","ro.tsi",0,0,"",[],"爀开椀渀琀爀漀⸀琀猀椀",0,0,""
11,"⼀㈀开琀漀眀渀⼀洀愀猀琀攀爀开㈀开椀渀琀爀漀⸀琀猀椀",[],-3,1000,750,5000,"","[0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,50,95,105,110,116,114,111,46,116,115,105,0,0,104,0,0,0,0,0,0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,51,95,105,110,116,114,111]","Metadata/Terrain/Gallows/Act2/2_town/master_Sandstorm.tsi",0,0,"",[],"攀琀愀搀愀琀愀⼀吀攀爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䄀挀琀㈀⼀㈀开琀漀眀渀⼀洀愀猀琀攀爀开匀愀渀搀猀琀漀爀洀⸀琀猀椀",0,0,""
12,"/2_town/master_2_intro.tsi",[],3,1000,750,5000,"","[0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,50,95,105,110,116,114,111,46,116,115,105,0,0,104,0,0,0,0,0,0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,51,95,105,110,116,114,111]","adata/Terrain/Gallows/Act2/2_town/master_Sandstorm.tsi",0,0,"",[181],"etadata/Terrain/Gallows/Act2/2_town/master_Sandstorm.tsi",0,0,""
13,"2_town/master_2_intro.tsi",[],0,1000,750,5000,"","[0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,50,95,105,110,116,114,111,46,116,115,105,0,0,104,0,0,0,0,0,0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,51,95,105,110,116,114,111]","愀搀愀琀愀⼀吀攀爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䄀挀琀㈀⼀㈀开琀漀眀渀⼀洀愀猀琀攀爀开匀愀渀搀猀琀漀爀洀⸀琀猀椀",0,0,"",[],"etadata/Terrain/Gallows/Act2/2_town/master_Sandstorm.tsi",0,0,""
14,"开琀漀眀渀⼀洀愀猀琀攀爀开㈀开椀渀琀爀漀⸀琀猀椀",[],0,1000,750,5000,4566,"[0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,50,95,105,110,116,114,111,46,116,115,105,0,0,104,0,0,0,0,0,0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,51,95,105,110,116,114,111,46,116,115,105,0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,83,97,110,100,115,116,111,114,109,46,116,115,105,0,0,103,108,111,98,97,108,115,46,99,108,101,97,114,115,97,110,100,115,116,111,114,109,46,67,97,108,108,79,110,67,108,105,101,110,116,40,32,67,108,101,97,114,84,104,101,83,97,110,100,32,41,59,0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,52,95,105,110,116,114,111,46,116,115,105,0,0,108,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,53,95,105,110,116,114,111,46,116,115,105,0,0,111,0,0,0,0,0,0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,54,95,105,110,116,114,111,46,116,115,105,0,0,113,0,0,0,0,0,0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95]","adata/Terrain/Gallows/Act2/2_town/master_Sandstorm.tsi",0,0,"",[],"etadata/Terrain/Gallows/Act2/2_town/master_Sandstorm.tsi",0,0,""
15,"_town/master_2_intro.tsi",[],-3,1000,750,5000,"","[0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,50,95,105,110,116,114,111,46,116,115,105,0,0,104,0,0,0,0,0,0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,51,95,105,110,116,114,111]","data/Terrain/Gallows/Act2/2_town/master_Sandstorm.tsi",0,0,"","[185,186]","etadata/Terrain/Gallows/Act2/2_town/master_Sandstorm.tsi",0,0,""
16,"漀眀渀⼀洀愀猀琀攀爀开㈀开椀渀琀爀漀⸀琀猀椀",[],-6,1000,750,5000,"","[0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,50,95,105,110,116,114,111,46,116,115,105,0,0,104,0,0,0,0,0,0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,51,95,105,110,116,114,111]","愀琀愀⼀吀攀爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䄀挀琀㈀⼀㈀开琀漀眀渀⼀洀愀猀琀攀爀开匀愀渀搀猀琀漀爀洀⸀琀猀椀",0,0,"",[188],"etadata/Terrain/Gallows/Act2/2_town/master_Sandstorm.tsi",0,0,""
17,"眀渀⼀洀愀猀琀攀爀开㈀开椀渀琀爀漀⸀琀猀椀",[],-9,1000,750,5000,"","[0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,50,95,105,110,116,114,111,46,116,115,105,0,0,104,0,0,0,0,0,0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,51,95,105,110,116,114,111]","ata/Terrain/Gallows/Act2/2_town/master_Sandstorm.tsi",0,0,"",[190],"etadata/Terrain/Gallows/Act2/2_town/master_Sandstorm.tsi",0,0,""
18,"渀⼀洀愀猀琀攀爀开㈀开椀渀琀爀漀⸀琀猀椀",[],-9,1000,750,5000,"","[0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,50,95,105,110,116,114,111,46,116,115,105,0,0,104,0,0,0,0,0,0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,51,95,105,110,116,114,111]","琀愀⼀吀攀爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䄀挀琀㈀⼀㈀开琀漀眀渀⼀洀愀猀琀攀爀开匀愀渀搀猀琀漀爀洀⸀琀猀椀",0,0,"","[192,193]","琀愀搀愀琀愀⼀吀攀爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䄀挀琀㈀⼀㈀开琀漀眀渀⼀洀愀猀琀攀爀开匀愀渀搀猀琀漀爀洀⸀琀猀椀",0,0,""
19,"/master_2_intro.tsi",[],-9,1000,750,5000,4567,"[0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,50,95,105,110,116,114,111,46,116,115,105,0,0,104,0,0,0,0,0,0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,51,95,105,110,116,114,111]","tadata/Terrain/Gallows/Act2/2_town/master_Sandstorm.tsi",0,0,"",[195],"攀琀愀搀愀琀愀⼀吀攀爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䄀挀琀㈀⼀㈀开琀漀眀渀⼀洀愀猀琀攀爀开匀愀渀搀猀琀漀爀洀⸀琀猀椀",0,0,""
20,"master_2_intro.tsi",[],-3,1000,750,5000,"","[0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,50,95,105,110,116,114,111,46,116,115,105,0,0,104,0,0,0,0,0,0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,51,95,105,110,116,114,111]","搀愀琀愀⼀吀攀爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䄀挀琀㈀⼀㈀开琀漀眀渀⼀洀愀猀琀攀爀开匀愀渀搀猀琀漀爀洀⸀琀猀椀",0,0,"",[],"攀琀愀搀愀琀愀⼀吀攀爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䄀挀琀㈀⼀㈀开琀漀眀渀⼀洀愀猀琀攀爀开匀愀渀搀猀琀漀爀洀⸀琀猀椀",0,0,""
21,"愀猀琀攀爀开㈀开椀渀琀爀漀⸀琀猀椀",[],0,1000,750,5000,"","[0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,50,95,105,110,116,114,111,46,116,115,105,0,0,104,0,0,0,0,0,0,0,77,101,116,97,100,97,116,97,47,84,101,114,114,97,105,110,47,71,97,108,108,111,119,115,47,65,99,116,50,47,50,95,116,111,119,110,47,109,97,115,116,101,114,95,51,95,105,110,116,114,111]","ta/Terrain/Gallows/Act2/2_town/master_Sandstorm.tsi",0,0,"",[198],"琀愀搀愀琀愀⼀吀攀爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䄀挀琀㈀⼀㈀开琀漀眀渀⼀洀愀猀琀攀爀开匀愀渀搀猀琀漀爀洀⸀琀猀椀",0,0,""
