"rownum","Id","Name","GrantedEffect","SupportText","SupportName","GemTags","Consumed_ModsKey","ItemColor","[rid]","AdditionalGrantedEffects","bool","bool","[i32]","i32"
72,"InfernallCry","",69,"","","[25,27,14,26,0,15]","",3,[],[70],"","",[],-1
73,"IceBiteSupport","",398,"Supports [Attack|Attacks] you use yourself. [Freeze|Freezing] an enemy with supported skills infuses all of your [Attack|Attacks] with [Cold] damage for a short time.","","[16,13,1,15]","",3,[],[],"","",[],-1
74,"GlaciationSupport","",399,"Supports any skill that [HitDamage|Hits] enemies, making it more effective at [Freeze|Freezing] enemies.","","[16,1]","",3,[],[],"","",[],-1
75,"ChanceToShockSupport","",400,"Supports any skill that [HitDamage|Hits] enemies, making it more likely to [Shock].","","[16,2]","",3,[],[],"","",[],-1
76,"RollingMagma","",72,"","","[25,4,14,5,0]","",3,[],[],"","",[],-1
77,"FrostBomb","",73,"","","[25,4,14,1,15,44]","",3,[],[],"","",[],-1
78,"OrbOfStorms","",74,"","","[25,4,14,61,2,15,18,44]","",3,[],[],"","",[],-1
79,"Earthquake","",75,"","","[25,13,14,7,40,15]","",3,[],[],"","",[],-1
80,"Contagion","",76,"","","[25,4,14,3,15]","",3,[],[],"","",[],-1
81,"Wither","",77,"","","[25,4,14,3,15,30]","",3,[],[],"","",[],-1
82,"EssenceDrain","",78,"","","[25,4,5,3,15]","",3,[],[],"","",[],-1
83,"ControlledDestructionSupport","",401,"Supports [Spell|Spells] that [HitDamage|Hit] enemies, boosting their damage but preventing them from dealing [Critical|Critical Hits].","","[16,4,47]","",3,[],[],"","",[],-1
84,"Sunder","",99,"","","[25,13,14,7,40,62]","",3,[],[],"","",[],-1
85,"FrostBolt","",5220,"","","[25,4,14,5,1,15]","",3,[],[],"","",[],-1
86,"ElementalFocusSupport","",402,"Supports any skill that [HitDamage|Hits] enemies, causing it to deal more [ElementalDamage|Elemental Damage] but be unable to inflict [ElementalAilments|Elemental Ailments].","",[16],"",3,[],[],"","",[],-1
87,"DarkPact","",79,"","","[25,4,8,14,3,38]","",3,[],[],"","",[],-1
88,"SkeletalWarrior","",80,"","","[25,8,59,33]","",3,[],[],"","",[],-1
89,"SkeletalReaver","",81,"","","[25,8,59,33]","",3,[],[269],"","",[],-1
90,"SkeletalBrute","",82,"","","[25,8,59,33]","",3,[],[],"","",[],-1
91,"SkeletalSniper","",83,"","","[25,8,59,33,0,3]","",3,[],[270],"","",[],-1
92,"SkeletalFrostMage","",84,"","","[25,8,59,1]","",3,[],[271],"","",[],-1
93,"SkeletalStormMage","",85,"","","[25,8,59,2]","",3,[],[272],"","",[],-1
94,"SkeletalArsonist","",86,"","","[25,8,59,0,57]","",3,[],[273],"","",[],-1
95,"SkeletalCleric","",87,"","","[25,8,59]","",3,[],[],"","",[],-1
96,"WildfireSupport","",403,"Supports any skill that [HitDamage|Hits] enemies, [AilmentSpread|Spreading] [Ignite|Ignites] it inflicts to nearby enemies after a delay.","","[16,14,0]","",3,[],[],"","",[],-1
97,"ChanceToBleedSupport","",404,"Supports any skill that [HitDamage|Hits] enemies, giving it a chance to inflict [Bleeding].","","[16,33]","",3,[],[],"","",[],-1
98,"ChanceToPoisonSupport","",405,"Supports any skill that [HitDamage|Hits] enemies, giving it a chance to [Poison|Poison] enemies.","","[16,3]","",3,[],[],"","",[],-1
99,"MaimSupport","",406,"Supports [Attack|Attacks], causing them to [Maim|Maim] enemies.","","[16,13]","",3,[],[],"","",[],-1
100,"ImmolateSupport","",407,"Supports [Attack|Attacks], granting them extra [Fire] damage against [Ignite|Ignited] enemies but making them unable to [Ignite] enemies themselves.","","[16,0,62]","",3,[],[],"","",[],-1
101,"LastingShockSupport","",408,"Supports any skill that [HitDamage|Hits] enemies or inflicts [Shock], causing its [Shock|Shocks] to be inflicted less often but last longer.","","[16,2]","",3,[],[],"","",[],-1
102,"BrutalitySupport","",409,"Supports any skill that deals damage, boosting its [Physical] damage at the expense of all other [DamageTypes|Damage Types].","","[16,33]","",3,[],[],"","",[],-1
103,"MomentumSupport","",446,"Supports any damaging skill that you use yourself, causing it to deal more damage if you move a sufficient distance while using the skill. Teleportation does not count towards the distance travelled.","",[16],"",3,[],[],"","",[],-1
104,"ArcaneSurgeSupport","",411,"Supports [Spell|Spells] you cast yourself, tracking the mana you spend to cast them. Spending enough mana grants a burst of Mana Regeneration and Cast Speed.","","[16,4,15]","",3,[],[],"","",[],-1
105,"Vulnerability","",42,"","","[25,4,14,33,15,17]","",3,[],[],"","",[],-1
106,"WitheringTouchSupport","",412,"Supports any skill that [HitDamage|Hits] enemies, giving it a chance to [Withered|Wither] enemies on [HitDamage|Hit].","","[16,3,15]","",3,[],[],"","",[],-1
107,"Soulrend","",92,"","","[25,4,5,3,15]","",3,[],[],"","",[],-1
108,"UnleashSupport","",413,"Supports [Spell|Spells] you cast yourself, making their effect reoccur when cast. Cannot support [Channelling] Skills or Skills with a Cooldown.","","[16,4]","",3,[],[],"","",[],-1
109,"CloseCombatSupport","",414,"Supports [Attack|Attacks], causing them to deal more damage to enemies based on how close they are to you.","","[16,13]","",3,[],[],"","",[],-1
110,"RageSupport","",415,"Supports [Melee|Melee] [Attack|Attacks], causing them to grant [Rage|Rage] on [HitDamage|Hit].","","[16,13,7]","",3,[],[],"","",[],-1
111,"PlagueBearer","",93,"","","[25,58,59,14,33,3,38]","",3,[],[293],1,"",[],-1
112,"FeedingFrenzySupport","",416,"Supports skills which create [Minion|Minions], making them deal and take more damage.","","[16,8]","",3,[],[],"","",[],-1
113,"MeatShieldSupport","",417,"Supports skills which create [Minion|Minions], granting them more life but making them deal less damage.","","[16,8]","",3,[],[],"","",[],-1
114,"InfernalLegionSupport","",418,"Supports skills which create [Minion|Minions], causing them and enemies near them to [Burning|Burn]. Damage dealt by the [Burning] is based off the Life of the supported [Minion].","","[16,8,14,0]","",3,[],[],"","",[],-1
115,"ArtilleryBallista","",94,"","","[25,13,19,14,5,0,15]","",3,[],[95],"","",[],-1
116,"SecondWindSupport","",419,"Supports skills with cooldowns, giving them extra uses of that cooldown.\nCannot support instant or triggered skills.","",[16],"",3,[],[],"","",[],-1
117,"SeismicCry","",97,"","","[25,27,14,33,15]","",3,[],[],"","",[],-1
118,"Earthshatter","",98,"","","[25,13,14,7,40,15]","",3,[],[],"","",[],-1
119,"SigilOfPower","",100,"","","[25,4,14,15]","",3,[],[],"","",[],-1
120,"FlameWall","",101,"","","[25,4,14,0,15]","",3,[],[],"","",[],-1
121,"ImpendingDoomSupport","",421,"Supports [Curse] skills you cast yourself, causing them to trigger Doom Blast on [Curse|Cursed] enemies when the [Curse] expires.","","[16,25,4,14,26,3]","",3,[],[102],"","",[],-1
122,"Hexblast","",103,"","","[25,4,14,3,62]","",3,[],[],"","",[],-1
123,"Exsanguinate","",113,"","","[25,4,33,15,18]","",3,[],[],"","",[],-1
124,"Reap","",114,"","","[25,4,14,33,15,47]","",3,[],[],"","",[],-1
125,"BloodMagicSupport","",422,"Supports any Skill, turning a portion of its Mana cost into a Life cost. Does not support Skills which reserve [Spirit].","",[16],"",3,[],[],"","",[],-1
126,"BeheadSupport","",423,"Supports [Strike] skills, causing them to steal [MonsterModifiers|Modifiers] from [Rarity|Rare] monsters they kill.","","[16,13,7,36]","",3,[],[],"","",[],-1
127,"ExecuteSupport","",424,"Supports any skill that [HitDamage|Hits] enemies, causing it to deal more damage against enemies on [LowLife|Low Life].","",[16],"",3,[],[],"","",[],-1
128,"Boneshatter","",115,"","","[25,13,14,7,36]","",3,[],[],"","",[],-1
129,"EyeOfWinter","",116,"","","[25,4,5,1]","",3,[],[],"","",[],-1
130,"Tornado","",119,"","","[25,4,14,33,15,44]","",3,[],[],"","",[],-1
131,"OverchargeSupport","",425,"Supports any skill that [HitDamage|Hits] enemies, making its [Shock|Shocks] more effective but last for a shorter duration.","","[16,2]","",3,[],[],"","",[],-1
132,"LightningConduit","",120,"","","[25,4,14,2,62]","",3,[],[],"","",[],-1
133,"GalvanicField","",121,"","","[25,4,58,14,2,15,18,44]","",3,[],[],"","",[],-1
134,"VolcanicFissure","",167,"","","[25,13,14,7,40,61,0,15]","",3,[],[],"","",[],-1
135,"RapidAssault","",110,"","","[25,13,14,7,36]","",3,[],[],"","",[],-1
136,"SpearImpale","",112,"","","[22,25,13,14,7,36,35]","",3,[],[],"","",[],-1
137,"SpearPuncture","",111,"","","[22,25,13,14,7,36,33,35]","",3,[],[],"","",[],-1
138,"WhirlingSlash","",117,"","","[25,13,14,7,36]","",3,[],[],"","",[],-1
139,"Spearfield","",118,"","","[25,13,14,7,61,33]","",3,[],[],"","",[],-1
140,"DemonMagus","",129,"","","[25,4,8,59,52]","",3,[],[426],"","",[],-1
141,"StormSpear","",130,"","","[25,13,14,5,2]","",3,[],[],"","",[],-1
142,"BlazingLance","",131,"","","[25,13,5,0]","",3,[],[],"","",[],-1
143,"AxeChop","",155,"","","[25,13,7,36]","",3,[],[],"","",[],-1
144,"AxeSlash","",156,"","","[25,13,7,36]","",3,[],[],"","",[],-1
145,"WhirlingAssault","",158,"","","[25,13,14,7,36]","",3,[],[],"","",[],-1
146,"RollingSlam","",157,"","","[25,13,14,7,40]","",3,[],[],"","",[],-1
147,"EscapeShot","",160,"","","[25,13,14,5,1]","",3,[],[],"","",[],-1
148,"SuperchargedSlam","",161,"","","[25,13,14,7,40,30]","",3,[],[],"","",[],-1
149,"EvasiveStrike","",162,"","","[25,13,7,36,40]","",3,[],[],"","",[],-1
150,"WindBlast","",163,"","","[25,13,14,7]","",3,[],[],"","",[],-1
151,"BladeDance","",164,"","","[25,13,7,36,40]","",3,[],[],"","",[],-1
152,"ClawRake","",165,"","","[25,13,7,36,40]","",3,[],[],"","",[],-1
153,"SpinningFlail","",166,"","","[25,13,7,36,30]","",3,[],[],"","",[],-1
154,"AxeExecute","",168,"","","[25,13,7,36]","",3,[],[],"","",[],-1
155,"AxeLeapingChop","",169,"","","[25,13,7,36]","",3,[],[],"","",[],-1
156,"AxeWhirlingSlash","",170,"","","[25,13,7,36]","",3,[],[],"","",[],-1
157,"AxeRaisedChop","",171,"","","[25,13,7,36,40]","",3,[],[],"","",[],-1
158,"AxeHeavyCleave","",172,"","","[25,13,7,36]","",3,[],[],"","",[],-1
159,"KnifeFlip","",52,"","","[25,4,5,33,15]","",3,[],[],"","",[],-1
160,"WaveOfFrost","",177,"","","[22,25,13,14,7,1]","",3,[],[],"","",[],-1
161,"SwordLunge","",178,"","","[25,13,7,36]","",3,[],[],"","",[],-1
162,"SwordLeapSlash","",187,"","","[25,13,7,36]","",3,[],[],"","",[],-1
163,"IceStrike","",188,"","","[25,13,14,7,36,1]","",3,[],[],"","",[],-1
164,"JaggedGroundSupport","",427,"Supports [Slam|Slam] skills, granting them a chance to create patches of [JaggedGround|Jagged Ground].","","[16,13,14,7,40,15]","",3,[],[],"","",[],-1
165,"InevitableCriticalsSupport","",428,"Supports any skill you use yourself that [HitDamage|Hits] enemies, causing it to accumulate [Critical|Critical Hit] chance over time. ","","[16,47]","",3,[],[],"","",[],-1
166,"RuthlessSupport","",410,"Supports [Attack|Attacks], causing repeated uses to be more effective at [Stun|Stunning] enemies.","",[16],"",3,[],[],"","",[],-1
167,"LessDurationSupport","",395,"Supports any skill that has a duration, making that duration shorter.","","[16,15]","",3,[],[],"","",[],-1
168,"FistOfWarSupport","",420,"Supports [Slam|Slams] you use yourself, providing a powerful [AncestralBoost|Ancestral Boost] every few seconds.","","[16,13,7,40]","",3,[],[],"","",[],-1
169,"UnbreakableSupport","",429,"Supports any skill that you can use, making you harder to [Stun] while using it.","",[16],"",3,[],[],"","",[],-1
170,"MoreDurationSupport","",430,"Supports any skill that has a duration, making that duration longer.","","[16,15]","",3,[],[],"","",[],-1
171,"ImpactShockwaveSupport","",431,"Supports [Melee|Melee] [Strike|Strike] skills, causing them to create an [Aftershock] that damages enemies around the target when they [HeavyStun|Heavy Stun] an enemy.","","[16,13,7,36]","",3,[],[],"","",[],-1
172,"HexBloomSupport","",432,"Supports [Curse|Curses], spreading their effects when a [Curse|Cursed] enemy dies.","","[16,14,17]","",3,[],[],"","",[],-1
173,"GlacialCascade","",173,"","","[25,13,14,7,1,62]","",3,[],[],"","",[],-1
174,"Comet","",189,"","","[25,4,14,1]","",3,[],[],"","",[],-1
175,"BladeNova","",190,"","","[25,4,5,33,15]","",3,[],[],"","",[],-1
176,"FlameSlice","",191,"","","[25,13,7,36]","",3,[],[],"","",[],-1
177,"RingOfBlades","",192,"","","[25,4,5]","",3,[],[],"","",[],-1
178,"ComboKnifeThrow","",193,"","","[25,4,5,33,15]","",3,[],[],"","",[],-1
179,"TripleSlash","",194,"","","[25,13,7,36]","",3,[],[],"","",[],-1
180,"HyperSlash","",195,"","","[25,13,7,36]","",3,[],[],"","",[],-1
181,"ShadowDash","",196,"","","[25,13,7,36]","",3,[],[],"","",[],-1
182,"ShadowAmbush","",197,"","","[25,13,7,36]","",3,[],[],"","",[],-1
183,"StaffConsecrate","",174,"","","[25,4,14,15,38]","",3,[],[],"","",[],-1
184,"RipwireBallista","",198,"","","[25,13,19,5,15]","",3,[],[290],"","",[],-1
185,"ManaTempest","",199,"","","[25,4,58,2]","",3,[],[],"","",[],-1
186,"KillingPalm","",200,"","","[25,13,14,7,36,33]","",3,[],[],"","",[],-1
187,"ShatteringPalm","",201,"","","[25,13,14,7,36,1,38]","",3,[],[332],"","",[],-1
188,"Volcano","",202,"","","[25,4,14,5,0,15,30]","",3,[],[],"","",[],-1
189,"SummonWolfCompanion","",203,"","","[25,4,8]","",3,[],[],"","",[],-1
190,"ChillingIceSupport","",433,"Supports any skill that [HitDamage|Hits] enemies, causing it to create patches of [ChilledGround|Chilled Ground] around [Frozen|Frozen] enemies.","","[16,14,1]","",3,[],[],"","",[],-1
191,"FrozenVortexSupport","",434,"Supports any skill that [HitDamage|Hits] enemies, causing it to create a chilling vortex on [Shatter|Shattering] an enemy.","","[16,14,1,15]","",3,[],[],"","",[],-1
192,"SpinningThrow","",204,"","","[25,13,5]","",3,[],[],"","",[],-1
193,"SpiralVolley","",205,"","","[25,13,5,61]","",3,[],[],"","",[],-1
194,"BearMaul","",206,"","","[25,13,7,36]","",3,[],[],"","",[],-1
195,"DodgeRoll","",23,"","",[25],"",3,[],[],"","",[],-1
196,"ShadowThiefSlash","",207,"","","[25,13,7]","",3,[],[],"","",[],-1
197,"LeapingAxeCatch","",208,"","","[25,13,7,36]","",3,[],[],"","",[],-1
198,"StormBlade","",209,"","","[25,13,14,7,1]","",3,[],[],"","",[],-1
199,"PlungingBlade","",210,"","","[25,13,7]","",3,[],[],"","",[],-1
200,"WolfHowl","",211,"","","[25,4]","",3,[],[],"","",[],-1
201,"SpiralThrow","",212,"","","[25,13,5]","",3,[],[],"","",[],-1
202,"WolfLeapAttack","",213,"","","[25,13,7,36]","",3,[],[],"","",[],-1
203,"LightningBolt","",214,"","","[25,4,14,2]","",3,[],[],"","",[],-1
204,"BearRampage","",216,"","","[25,13,14,7,40,15,30,35]","",3,[],[],"","",[],-1
205,"ShockManaRegenerationSupport","",435,"Supports any skill that [HitDamage|Hits] enemies, causing you to regenerate mana on [Shock|shocking] an enemy. Cannot support skills which create [Minion|Minions], or skills used by [Totem|Totems] or [Trap|Traps].","",[16],"",3,[],[],"","",[],-1
206,"EnergyShieldOnShockKillSupport","",436,"Supports any skill that [HitDamage|Hits] enemies, causing you to recover [EnergyShield|Energy Shield] when it kills a [Shock|Shocked] enemy.","","[16,2]","",3,[],[],"","",[],-1
207,"StaffUnleash","",176,"","","[25,4,58,15]","",3,[],[],"","",[],-1
208,"CoursingCurrentSupport","",437,"Supports any skill that [HitDamage|Hits] enemies, giving it a chance to also [Shock|Shock] nearby enemies when you [Shock|Shock] an enemy.","","[16,14,2]","",3,[],[],"","",[],-1
209,"LastingFrostSupport","",438,"Supports any skill that [HitDamage|Hits] enemies, causing [Freeze] it inflicts to last longer.","","[16,1]","",3,[],[],"","",[],-1
210,"LightningStorm","",217,"","","[25,4,14,2,15]","",3,[],[],"","",[],-1
211,"ChanceToFreezeSupport","",439,"","",[16],"",3,[],[],"","",[],-1
212,"ChanceToIgniteSupport","",440,"Supports any skill that [HitDamage|Hits] enemies, making it more likely to [Ignite].","","[16,0]","",3,[],[],"","",[],-1
213,"DeadlyIgnitesSupport","",441,"Supports any skill that [HitDamage|Hits] enemies, causing inflicted [Ignite|Ignites] to deal more damage but its [HitDamage|Hits] to deal less damage.","","[16,0]","",3,[],[],"","",[],-1
214,"IgniteDurationSupport","",442,"Supports any skill that [HitDamage|Hits] enemies, causing its [Ignite|Ignites] to be inflicted less often but last longer.","","[16,0]","",3,[],[],"","",[],-1
215,"MinionHarvestSupport","",443,"","","[16,8]","",3,[],[],"","",[],-1
216,"FuriousSlam","",218,"","","[25,13,14,7,40]","",3,[],[],"","",[],-1
217,"FerociousRoarSupport","",219,"","","[25,27,14,52]","",3,[],[220],"",1,[],-1
218,"CastOnShock","",221,"","","[25,58,59,26,2,52]","",3,[],[231],1,1,[],-1
219,"InvocationSupport","",444,"Supports [Spell] skills, causing them to reduce the cast time of other skills when used. Cannot support [Totem] skills, [Channelling] skills, [Trigger|Triggering] skills, instant skills, or skills with a [Reservation].","","[16,4,26]","",3,[],[],"","",[],-1
220,"CastOnFreeze","",222,"","","[25,58,59,26,1,52]","",3,[],[232],1,1,[],-1
221,"CastOnIgnite","",223,"","","[25,58,59,26,0,52]","",3,[],[233],1,1,[],-1
222,"CastOnMeleeKill","",224,"","","[25,58,59,26,52]","",3,[],[234],1,1,[],-1
223,"CastOnDeath","",225,"","","[25,58,59,26,52]","",3,[],[235],1,1,[],-1
224,"CastOnCriticalStrike","",226,"","","[25,58,59,26,52]","",3,[],[236],1,1,[],-1
225,"CastWhenStunned","",228,"","","[25,58,59,26,52]","",3,[],[238],1,1,[],-1
226,"CastWhenDamageTaken","",227,"","","[25,58,59,26,52]","",3,[],[237],1,1,[],-1
227,"ExploitWeaknessSupport","",229,"Supports any skill that [HitDamage|Hits] enemies, causing them to deal more Damage against enemies with [ArmourBreak|Broken Armour] but preventing them from [ArmourBreak|Breaking Armour] themselves. Cannot support skills that [Consume|Consume] [ArmourBreak|Broken Armour].","","[16,62]","",3,[],[],"","",[],-1
228,"DevastateSupport","",230,"Supports any skill that [HitDamage|Hits] enemies, causing them to apply [ArmourBreak|Broken Armour] to enemies when causing a [HeavyStun|Heavy Stun] to enemies.","",[16],"",3,[],[],"","",[],-1
229,"Unknown1","",4516,"","",[25],"",3,[],[],"","",[],-1
230,"Unknown2","",4516,"","",[25],"",3,[],[],"","",[],-1
231,"Unknown3","",4516,"","",[25],"",3,[],[],"","",[],-1
232,"Unknown4","",4516,"","",[25],"",3,[],[],"","",[],-1
233,"Unknown5","",4516,"","",[25],"",3,[],[],"","",[],-1
