"rownum","Id","HASH16","ModType","Level","Stat1","Stat2","Stat3","Stat4","Domain","Name","GenerationType","Families","Stat1Value","Stat2Value","Stat3Value","Stat4Value","i32","i32","rid","rid","row","[rid]","[rid]","[rid]","string","[rid]","[rid]","i32","i32","rid","[rid]","[rid]","[rid]","[rid]","[string]","bool","i32","i32","rid","i32","bool","[rid]","string","i32","[rid]","i32","i32","rid","rid","i32","i32","i32","[rid]","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","[string]","bool","i32","i32","i32","i32","i32","i16","bool"
24,"Intelligence7",33120,433,66,564,"","","",1,"of the Savant",2,[133],28,30,0,0,0,0,0,2170,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1677845857,[],"",0,0,-1979711488,8,50331648,0,""
25,"Intelligence8",5358,433,74,564,"","","",1,"of the Virtuoso",2,[133],31,33,0,0,0,0,0,2266,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-1800175523,[],"",0,0,-369098752,8,50331648,0,""
26,"Intelligence9",19875,433,81,564,"","","",1,"of the Genius",2,[133],34,36,0,0,0,0,0,2358,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-215957885,[],"",0,0,1174405120,9,50331648,0,""
27,"AllAttributes1",57975,435,1,590,"","","",1,"of the Clouds",2,[134],2,4,0,0,0,0,0,2452,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1887408648,[],"",0,0,-1543503872,9,50331648,0,""
28,"AllAttributes2",37560,435,11,590,"","","",1,"of the Sky",2,[134],5,7,0,0,0,0,0,2540,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-1685714626,[],"",0,0,-67108864,9,50331648,0,""
29,"AllAttributes3",54439,435,22,590,"","","",1,"of the Meteor",2,[134],8,10,0,0,0,0,0,2634,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,249944642,[],"",0,0,1509949440,10,50331648,0,""
30,"AllAttributes4",37112,435,33,590,"","","",1,"of the Comet",2,[134],11,13,0,0,0,0,0,2726,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1518652028,[],"",0,0,-1241513984,10,50331648,0,""
31,"AllAttributes5",54222,435,44,590,"","","",1,"of the Heavens",2,[134],14,16,0,0,0,0,0,2822,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1639035519,[],"",0,0,369098752,11,50331648,0,""
32,"AllAttributes6",27858,435,55,590,"","","",1,"of the Galaxy",2,[134],17,18,0,0,0,0,0,2916,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-454719433,[],"",0,0,1946157056,11,50331648,0,""
33,"AllAttributes7",30580,435,66,590,"","","",1,"of the Universe",2,[134],19,20,0,0,0,0,0,3014,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1318205926,[],"",0,0,-704643072,11,50331648,0,""
34,"AllAttributes8",13220,435,75,590,"","","",1,"of the Multiverse",2,[134],21,22,0,0,0,0,0,3116,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-995887353,[],"",0,0,1006632960,12,50331648,0,""
35,"AllAttributes9_",16419,435,82,590,"","","",1,"of the Infinite",2,[134],23,24,0,0,0,0,0,3216,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1869229897,[],"",0,0,-1610612736,12,50331648,0,""
36,"FireResist1",17800,134,1,138,"","","",1,"of the Whelpling",2,[45],6,10,0,0,0,0,0,3310,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,309,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,647783188,[],"",0,0,503316480,13,50331648,0,""
37,"FireResist2",26400,134,12,138,"","","",1,"of the Salamander",2,[45],11,15,0,0,0,0,0,3438,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,309,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,2013470499,[],"",0,0,-1644167168,13,50331648,0,""
38,"FireResist3",58582,134,24,138,"","","",1,"of the Drake",2,[45],16,20,0,0,0,0,0,3556,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,309,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-507050735,[],"",0,0,335544320,14,50331648,0,""
39,"FireResist4",32622,134,36,138,"","","",1,"of the Kiln",2,[45],21,25,0,0,0,0,0,3672,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,309,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1114193159,[],"",0,0,-2013265920,14,50331648,0,""
40,"FireResist5",50533,134,48,138,"","","",1,"of the Furnace",2,[45],26,30,0,0,0,0,0,3794,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,309,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-953810365,[],"",0,0,33554432,15,50331648,0,""
41,"FireResist6",58674,134,60,138,"","","",1,"of the Volcano",2,[45],31,35,0,0,0,0,0,3916,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,309,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,2106759328,[],"",0,0,2080374784,15,50331648,0,""
42,"FireResist7",56312,134,71,138,"","","",1,"of Magma",2,[45],36,40,0,0,0,0,0,4026,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,309,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1434226308,[],"",0,0,-369098752,15,50331648,0,""
43,"FireResist8",19475,134,82,138,"","","",1,"of Tzteosh",2,[45],41,45,0,0,0,0,0,4140,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,309,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-1105399281,[],"",0,0,1543503872,16,50331648,0,""
44,"ColdResist1",23717,135,1,140,"","","",1,"of the Seal",2,[46],6,10,0,0,0,0,0,4256,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,310,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1561395636,[],"",0,0,-805306368,16,50331648,0,""
45,"ColdResist2",39188,135,14,140,"","","",1,"of the Penguin",2,[46],11,15,0,0,0,0,0,4378,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,310,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,2010771149,[],"",0,0,1241513984,17,50331648,0,""
46,"ColdResist3",23366,135,26,140,"","","",1,"of the Narwhal",2,[46],16,20,0,0,0,0,0,4500,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,310,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-1161895432,[],"",0,0,-1006632960,17,50331648,0,""
47,"ColdResist4",41534,135,38,140,"","","",1,"of the Yeti",2,[46],21,25,0,0,0,0,0,4616,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,310,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-1804519857,[],"",0,0,939524096,18,50331648,0,""
48,"ColdResist5",19708,135,50,140,"","","",1,"of the Walrus",2,[46],26,30,0,0,0,0,0,4736,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,310,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1229325754,[],"",0,0,-1342177280,18,50331648,0,""
49,"ColdResist6",57784,135,60,140,"","","",1,"of the Polar Bear",2,[46],31,35,0,0,0,0,0,4864,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,310,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-233040988,[],"",0,0,805306368,19,50331648,0,""
50,"ColdResist7",39738,135,71,140,"","","",1,"of the Ice",2,[46],36,40,0,0,0,0,0,4978,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,310,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-1493877297,[],"",0,0,-1577058304,19,50331648,0,""
51,"ColdResist8",3521,135,82,140,"","","",1,"of Haast",2,[46],41,45,0,0,0,0,0,5088,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,310,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-1384406854,[],"",0,0,268435456,20,50331648,0,""
52,"LightningResist1",15734,136,1,142,"","","",1,"of the Cloud",2,[47],6,10,0,0,0,0,0,5216,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,311,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1063125544,[],"",0,0,-1879048192,20,50331648,0,""
53,"LightningResist2",34301,136,13,142,"","","",1,"of the Squall",2,[47],11,15,0,0,0,0,0,5346,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,311,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,27493470,[],"",0,0,301989888,21,50331648,0,""
54,"LightningResist3",24502,136,25,142,"","","",1,"of the Storm",2,[47],16,20,0,0,0,0,0,5474,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,311,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1521550599,[],"",0,0,-1845493760,21,50331648,0,""
55,"LightningResist4",1059,136,37,142,"","","",1,"of the Thunderhead",2,[47],21,25,0,0,0,0,0,5614,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,311,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-1755868300,[],"",0,0,503316480,22,50331648,0,""
56,"LightningResist5",4001,136,49,142,"","","",1,"of the Tempest",2,[47],26,30,0,0,0,0,0,5746,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,311,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-2031515320,[],"",0,0,-1577058304,22,50331648,0,""
57,"LightningResist6",6954,136,60,142,"","","",1,"of the Maelstrom",2,[47],31,35,0,0,0,0,0,5882,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,311,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-633356011,[],"",0,0,704643072,23,50331648,0,""
58,"LightningResist7",57757,136,71,142,"","","",1,"of the Lightning",2,[47],36,40,0,0,0,0,0,6018,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,311,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-939120229,[],"",0,0,-1308622848,23,50331648,0,""
59,"LightningResist8",50880,136,82,142,"","","",1,"of Ephij",2,[47],41,45,0,0,0,0,0,6138,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,311,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-204655347,[],"",0,0,704643072,24,50331648,0,""
60,"AllResistances1",6128,137,12,135,"","","",1,"of the Crystal",2,[56],3,5,0,0,0,0,0,6268,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,309,310,311,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1808825376,[],"",0,0,-872415232,24,50331648,0,""
61,"AllResistances2",62857,137,26,135,"","","",1,"of the Prism",2,[56],6,8,0,0,0,0,0,6426,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,309,310,311,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,751819078,[],"",0,0,1778384896,25,50331648,0,""
62,"AllResistances3",20446,137,40,135,"","","",1,"of the Kaleidoscope",2,[56],9,11,0,0,0,0,0,6598,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,309,310,311,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-1387994470,[],"",0,0,369098752,26,50331648,0,""
63,"AllResistances4",63218,137,54,135,"","","",1,"of Variegation",2,[56],12,14,0,0,0,0,0,6760,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,309,310,311,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-427290502,[],"",0,0,-1207959552,26,50331648,0,""
64,"AllResistances5",8369,137,68,135,"","","",1,"of the Rainbow",2,[56],15,16,0,0,0,0,0,6922,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,309,310,311,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-686884929,[],"",0,0,1509949440,27,50331648,0,""
65,"AllResistances6",40636,137,80,135,"","","",1,"of the Span",2,[56],17,18,0,0,0,0,0,7078,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,309,310,311,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-1606599039,[],"",0,0,-167772160,27,50331648,0,""
66,"NearbyAlliesAllResistances1",2652,10760,12,18254,"","","",1,"of Adjustment",2,[56],3,5,0,0,0,0,0,7262,74,[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,"[318,580]","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1362141433,[],"",0,0,2113929216,28,50331648,0,""
