"rownum","string","string","[string]","i32","i32","i32","i32","i32","i32","bool"
17,"MapCrypt","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Crypt01.ao",[],0,0,0,0,0,360,""
18,"MapSteamingSprings","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/SteamingSprings01.ao",[],0,0,0,0,0,360,""
19,"MapSeepage","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Seepage01.ao",[],0,0,0,0,0,360,""
20,"MapSteppe","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Steppe01.ao",[],0,0,0,0,0,360,""
21,"MapSlick","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Slick01.ao",[],0,0,0,0,0,360,""
22,"MapSpiderWoods","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/SpiderForest01.ao",[],0,0,0,0,0,360,""
23,"MapAbyss","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Abyss01.ao",[],0,0,0,0,0,360,""
24,"MapVaalCity","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/VaalCity01.ao",[],0,0,0,0,0,360,""
25,"MapBloodwood","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Bloodwood01.ao",[],0,0,0,0,0,360,""
26,"MapCenotes","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Cenotes01.ao",[],0,0,0,0,0,360,""
27,"MapHiddenGrotto","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/HiddenGrotto01.ao",[],0,0,0,0,0,360,""
28,"MapRavine","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Ravine01.ao",[],0,0,0,0,0,360,""
29,"MapUberBoss_IronCitadel","Metadata/Terrain/WorldMaps/Maps/Doodads/Cities/EzomyteBigCity01.ao",[],0,0,0,0,0,360,""
30,"MapUberBoss_StoneCitadel","Metadata/Terrain/WorldMaps/Maps/Doodads/Cities/VaalBigCity01.ao",[],0,0,0,0,0,360,""
31,"MapUberBoss_CopperCitadel","Metadata/Terrain/WorldMaps/Maps/Doodads/Cities/FaridunBigCity01.ao",[],0,0,0,0,0,360,""
32,"MapAlpineRidge","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/AlpineRidge01.ao",[],0,0,0,0,0,360,""
33,"MapAugury","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Augury01.ao",[],0,0,0,0,0,360,""
34,"MapBastille","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Bastille01.ao",[],0,0,0,0,0,360,""
35,"MapCreek","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Creek01.ao",[],0,0,0,0,0,360,""
36,"MapCrimsonShores","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/CrimsonShores01.ao",[],0,0,0,0,0,360,""
37,"MapDecay","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Decay01.ao",[],0,0,0,0,0,360,""
38,"MapDerelictMansion","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/DerelictMansion01.ao",[],0,0,0,0,0,360,""
39,"MapDeserted","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Deserted01.ao",[],0,0,0,0,0,360,""
40,"MapGothicCity","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/GothicCity01.ao",[],0,0,0,0,0,360,""
41,"MapHideout_Generic","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/GenericHideout01.ao",[],0,0,0,0,0,360,""
42,"MapHive","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Hive01.ao",[],0,0,0,0,0,360,""
43,"MapInferno","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Inferno01.ao",[],0,0,0,0,0,360,""
44,"MapMineshaft","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Mineshaft01.ao",[],0,0,0,0,0,360,""
45,"MapOasis","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Oasis01.ao",[],0,0,0,0,0,360,""
46,"MapOutlands","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Outlands01.ao",[],0,0,0,0,0,360,""
47,"MapRiverside","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Riverside01.ao",[],0,0,0,0,0,360,""
48,"MapRockpools","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Rockpools01.ao",[],0,0,0,0,0,360,""
49,"MapSump","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Sump01.ao",[],0,0,0,0,0,360,""
50,"MapUniqueCastaway","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Castaway01.ao",[],0,0,0,0,0,360,""
51,"MapUniqueUntaintedParadise","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/UntaintedParadise01.ao",[],0,0,0,0,0,360,""
52,"MapUniqueVault","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/VaalVault01.aoc",[],0,0,0,0,0,360,""
53,"MapUniqueMerchant01","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/MerchantCamp01.ao",[],0,0,0,0,0,360,""
54,"MapUniqueMerchant02","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/MerchantCamp01.ao",[],0,0,0,0,0,360,""
55,"MapUniqueMerchant03","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/MerchantCamp01.ao",[],0,0,0,0,0,360,""
56,"MapVaalVillage","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/VaalVillage01.ao",[],0,0,0,0,0,360,""
57,"MapVoidReliquary","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/VoidReliquary01.ao",[],0,0,0,0,0,360,""
