"rownum","SkillGemsKey","Supports"
47,468,"[564,374,125,496,557,491,84,51,271]"
48,533,"[12,339,561,333,565,163,556,270,566]"
49,63,"[114,304,268,497,267,269,270,378,353]"
50,310,"[11,376,305,519,491,490,458,492,513]"
51,31,"[168,377,114,497,267,268,353,270,271]"
52,314,"[327,305,11,225,410,496,19,458,84]"
53,317,"[168,6,12,519,44,97,302,271,456]"
54,35,"[36,564,100,97,565,490,488,492,360]"
55,307,"[210,7,23,94,340,47,84,566,455]"
56,504,"[73,12,168,206,565,163,464,15,566]"
57,541,"[377,482,266,267,269,270]"
58,322,"[481,265,266,267,484,270]"
59,334,"[5,264,110,47,98,455,263,266,270]"
60,384,"[481,264,483,484,270,497]"
61,309,"[210,23,81,266,267,268,269,270,271]"
62,324,"[72,50,188,266,267,268,269,270,271]"
63,201,"[73,81,36,206,56,204,353,129,271]"
64,389,"[332,165,81,163,563,557,558,462,84]"
65,117,"[168,266,268,269,270,271,11,264,497]"
66,205,"[378,379,265,497,267,268,269,270,271]"
67,532,"[481,264,266,267,464,271]"
68,21,"[23,73,102,204,557,333,84,338,353]"
69,0,"[72,335,106,56,48,44,457,559,337]"
70,393,"[165,14,81,552,557,546,553,462,51]"
71,118,"[339,329,28,473,267,268,474,462,271]"
72,316,"[7,210,106,340,47,268,269,84,51]"
73,76,"[50,332,168,350,552,206,302,338,456]"
74,83,"[7,58,479,48,44,552,84,337,553]"
75,315,"[36,332,81,340,47,566,84,331,563]"
76,45,"[50,106,81,206,350,49,338,84,464]"
77,74,"[210,7,50,94,340,56,269,270,271]"
78,33,"[106,204,371,372,264,267,269,270,49]"
79,75,"[165,11,114,56,550,48,84,15,337]"
80,62,"[335,212,28,340,94,559,84,353,163]"
81,183,"[14,378,123,266,267,268,464,270,271]"
82,52,"[168,11,119,367,267,268,495,270,520]"
83,54,"[168,11,119,367,267,268,495,270,520]"
84,53,"[564,168,364,367,368,268,495,170,271]"
85,29,"[11,366,364,368,367,268,520,495,271]"
86,318,"[339,106,163,48,56,15,84,558,81]"
87,25,"[329,11,207,497,555,512,84,338,457]"
88,172,"[339,561,163,56,48,15,84,337,489]"
89,38,"[168,332,339,47,552,16,455,84,360]"
90,64,"[11,58,106,552,565,163,553,464,456]"
91,127,"[81,23,48,552,84,457,463,8,546]"
92,130,"[125,339,81,163,49,333,15,84,302]"
93,55,"[212,11,81,550,211,353,462,268,267]"
94,46,"[72,481,16,483,484,271]"
95,509,"[165,168,483,267,462,463]"
96,413,"[9,352,6,18,560,107,15,124,271]"
97,278,"[165,480,266,483,269,270]"
98,518,"[480,482,266,267,484,271]"
99,67,"[480,9,97,44,84,484]"
100,39,"[12,163,206,304,496,374,562,84,411]"
101,296,"[332,164,11,44,27,563,15,488,513]"
102,298,"[72,11,207,48,496,554,84,457,337]"
103,184,"[377,371,374,204,107,101,372,124,360]"
104,293,"[7,100,226,488,8,546,490,492,466]"
105,161,"[188,71,454,48,560,496,457,124,84]"
106,295,"[12,377,478,163,107,101,84,124,15]"
107,171,"[36,163,478,266,267,544,270,271,9]"
108,292,"[73,206,454,107,271,6,560,129,124]"
109,505,"[6,564,167,568,97,268,465,19,488]"
110,148,"[169,354,44,6,568,97,556,270,271]"
111,158,"[188,207,163,71,271,563,565,566,488]"
112,471,"[378,379,168,266,267,268,269,270,271]"
113,470,"[16,491,544,353,11,6,73,557,84]"
114,294,"[168,304,14,97,333,496,360,359,84]"
115,143,"[36,9,164,563,44,101,411,124,488]"
116,185,"[207,71,564,563,44,557,488,463,457]"
117,543,"[12,11,461,101,204,107,456,359,271]"
118,20,"[6,478,304,107,27,492,124,565,556]"
119,503,"[9,11,168,44,48,84,15,337,565]"
120,469,"[352,166,100,101,519,226,492,556,574]"
121,297,"[23,50,104,546,44,268,558,553,271]"
122,373,"[481,264,483,267,270,271]"
123,383,"[165,11,354,490,44,56,556,558,271]"
124,382,"[479,265,266,267,268,269,270,28,353]"
125,40,"[28,265,266,267,268,269,270,271,377]"
126,4,"[271,81,11,489,365,56,552,84,455]"
127,131,"[265,266,267,268,269,270,271,168,81]"
128,30,"[364,119,366,367,368,268,170,495,271]"
129,328,"[168,305,327,410,365,268,462,458,271]"
130,306,"[168,369,110,350,365,492,556,15,100]"
131,358,"[8,28,104,551,547,512,558,465,271]"
132,361,"[111,362,370,112,97,27,492,488,556]"
133,86,"[111,362,370,112,97,27,492,488,556]"
134,89,"[305,376,11,97,110,462,458,51,573]"
135,92,"[11,7,210,110,47,467,455,211,573]"
136,78,"[168,11,472,473,476,268,474,475,271]"
137,291,"[168,335,57,266,267,268,569,513,570]"
138,357,"[168,335,57,512,511,268,467,569,570]"
139,300,"[351,335,95,56,490,225,492,558,487]"
140,80,"[168,472,369,473,476,268,474,475,465]"
141,299,"[335,369,100,163,490,15,556,487,546]"
142,3,"[339,11,210,552,56,365,84,455,211]"
143,13,"[304,111,362,365,110,112,492,98,467]"
144,356,"[11,377,28,365,476,473,474,520,271]"
145,32,"[364,119,366,367,368,170,520,268,271]"
146,103,"[168,119,366,367,368,268,170,495,353]"
147,65,"[11,111,28,511,512,268,569,467,570]"
148,120,"[11,339,369,163,563,268,15,270,558]"
149,87,"[362,370,100,97,110,492,467,124,27]"
150,90,"[11,111,479,110,552,457,463,51,573]"
151,91,"[11,73,81,333,49,110,84,456,302]"
152,88,"[169,100,110,112,226,492,556,124,6]"
153,93,"[111,28,370,497,267,268,467,270,271]"
154,540,"[168,481,266,267,465,271]"
155,69,"[11,482,266,267,270,271]"
156,531,"[481,264,266,483,270,467]"
157,42,"[482,481,483,267,484,270]"
158,386,"[482,483,267,484,270,168]"
159,59,"[482,481,483,267,484,270]"
160,60,"[482,481,483,267,484,270]"
161,61,"[482,481,483,267,484,270]"
162,277,"[168,377,266,267,269,270]"
163,430,"[12,96,354,17,526,44,488,492,19]"
164,394,"[524,352,7,163,546,491,459,556,271]"
165,395,"[100,561,522,523,97,226,488,492,51]"
166,396,"[564,524,5,225,496,557,98,566,271]"
167,397,"[100,50,164,17,452,410,353,51,269]"
168,398,"[11,7,210,163,94,496,330,98,525]"
169,399,"[5,522,212,47,340,94,211,330,525]"
170,400,"[5,7,6,526,340,546,269,51,98]"
171,401,"[9,329,71,555,496,491,84,457,525]"
172,402,"[23,188,9,48,44,107,84,525,51]"
173,403,"[561,6,9,496,107,48,84,457,525]"
174,404,"[207,7,479,526,107,496,84,51,488]"
175,405,"[12,524,7,496,206,523,525,456,84]"
176,406,"[12,522,6,107,496,333,84,302,456]"
177,407,"[11,524,7,496,557,107,84,456,302]"
178,408,"[12,524,6,496,526,97,84,525,302]"
179,286,"[36,7,114,496,497,225,549,98,455]"
180,287,"[36,352,114,97,497,269,549,492,17]"
181,288,"[11,479,114,340,550,497,488,492,548]"
182,289,"[327,305,11,452,410,225,84,458,548]"
183,290,"[12,114,58,496,497,268,549,302,548]"
184,515,"[5,11,165,496,497,557,549,84,271]"
185,510,"[378,168,497,266,270,271]"
186,182,"[100,479,351,547,107,551,488,556,513]"
187,113,"[332,5,339,547,496,47,488,98,513]"
188,521,"[480,482,483,266,463,462]"
189,508,"[480,264,266,267,484,271]"
190,500,"[11,168,482,266,267,483,484,270,271]"
191,502,"[11,168,482,266,267,483,484,270,271]"
192,501,"[11,168,482,266,267,483,484,270,271]"
193,434,"[482,481,483,267,484,270]"
194,435,"[5,36,7,496,107,550,84,211,98]"
195,436,"[12,36,7,496,107,550,84,129,331]"
196,437,"[9,36,7,496,107,550,84,337,359]"
197,438,"[96,376,7,107,225,97,458,19,359]"
198,439,"[95,100,7,107,225,490,459,487,492]"
199,440,"[335,167,497,267,268,269,270,271,336]"
200,441,"[81,11,168,497,225,44,84,338,360]"
201,442,"[264,265,266,267,268,463,462,464,168]"
202,443,"[111,57,362,97,94,110,488,492,467]"
203,444,"[482,481,497,483,484,270]"
204,445,"[114,11,168,497,267,268,269,270,271]"
205,446,"[114,167,336,497,267,268,269,270,271]"
206,447,"[168,165,265,266,267,268,269,270,271]"
207,448,"[482,481,263,497,483,268,484,270,271]"
208,449,"[263,264,263,266,267,268,462,463,464]"
209,450,"[482,481,483,267,268,484,270,271,263]"
210,498,"[81,352,125,497,225,44,84,338,337]"
211,451,"[57,111,100,110,112,27,488,492,487]"
212,216,"[263,264,572,267,269,567]"
213,218,"[263,264,572,267,269,567]"
214,219,"[263,264,572,267,269,567]"
215,220,"[263,264,572,267,269,567]"
216,221,"[263,264,572,267,269,567]"
217,222,"[263,264,572,267,269,567]"
218,273,"[263,264,572,267,269,567]"
219,275,"[263,264,572,267,269,567]"
220,375,"[263,264,572,267,269,567]"
221,542,"[263,264,572,267,269,567]"
222,217,"[263,264,572,267,571,567]"
223,272,"[263,264,572,267,571,567]"
224,507,"[263,264,572,267,571,567]"
225,530,"[263,264,572,267,571,567]"
