"rownum","BetrayalJobsKey","BetrayalTargetsKey","Rank","Description","ServerCommand","[rid]","string","string"
51,1,5,4,"","",[],"Reforge the number of sockets on an item 40 times, using the outcome with the greatest number of sockets","modify_sockets_N_times 40 sockets"
52,4,1,1,"","",[],"Modify an Armour Piece's quality to 22%","set_quality armour 22"
53,4,1,2,"","",[],"Modify an Armour Piece's quality to 24%","set_quality armour 24"
54,4,1,3,"","",[],"Modify an Armour Piece's quality to 26%","set_quality armour 26"
55,4,1,4,"","",[],"Modify an Armour Piece's quality to 28%","set_quality armour 28"
56,4,4,1,"","",[],"Modify a Weapon's quality to 22%","set_quality weapon 22"
57,4,4,2,"","",[],"Modify a Weapon's quality to 24%","set_quality weapon 24"
58,4,4,3,"","",[],"Modify a Weapon's quality to 26%","set_quality weapon 26"
59,4,4,4,"","",[],"Modify a Weapon's quality to 28%","set_quality weapon 28"
60,4,14,1,"","",[],"Modify a Map's quality to 22%","set_quality map 22"
61,4,14,2,"","",[],"Modify a Map's quality to 24%","set_quality map 24"
62,4,14,3,"","",[],"Modify a Map's quality to 26%","set_quality map 26"
63,4,14,4,"","",[],"Modify a Map's quality to 28%","set_quality map 28"
