"rownum","Id","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32"
14,"1_1_5",0,0,0,4,0,320,0,15,0,0,0,0,0,13,0,0,0,0,0,0,0,100,100,0,0,0,0
15,"1_1_6",0,0,0,4,0,320,0,20,0,0,0,0,0,13,0,0,0,0,0,0,0,100,100,0,0,0,0
16,"1_1_7_1",0,0,0,4,0,320,0,20,0,0,0,0,0,13,0,0,0,0,0,0,0,100,100,0,20,0,0
17,"1_1_7_2",0,0,0,4,0,320,0,20,0,0,0,0,0,13,0,0,0,0,0,0,0,100,100,0,51,18,0
18,"1_1_8",0,0,0,4,0,320,0,20,0,0,0,0,0,13,10,0,0,0,0,0,0,100,100,12,36,12,0
19,"1_1_9",5,0,0,4,0,320,0,20,0,0,0,0,0,13,10,0,0,0,0,0,0,100,100,16,36,12,0
20,"1_1_9a",5,0,0,4,0,320,0,20,0,0,0,0,0,6,0,0,0,0,0,0,0,100,100,0,36,12,0
21,"1_1_11_1",5,0,0,4,0,320,0,20,0,0,0,0,0,13,10,0,0,0,0,0,0,100,100,12,36,12,0
22,"1_1_11_2",5,0,0,4,0,320,0,20,0,0,0,0,0,13,10,0,0,0,0,0,0,100,100,12,36,12,0
23,"1_2_1",5,0,0,4,0,516,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,100,100,0,0,0,0
24,"Act2Default",5,30,12,4,0,516,0,20,10,0,0,0,0,13,10,0,0,0,0,0,0,100,100,12,51,18,0
25,"1_2_11",5,30,12,4,0,94,0,20,10,0,0,0,0,13,10,0,0,0,0,0,0,100,100,12,51,18,0
26,"1_2_12",5,30,12,4,0,94,0,20,10,0,0,0,0,13,10,0,0,0,0,0,0,100,100,15,51,18,0
27,"1_2_13",5,30,12,4,0,94,0,20,0,0,0,0,0,13,10,0,0,0,0,0,0,100,100,15,51,18,0
28,"1_2_14_2",5,30,12,4,0,94,0,10,0,0,0,0,0,13,10,0,0,0,0,0,0,100,100,10,30,0,0
29,"1_2_14_3",5,30,12,4,0,94,0,7,0,0,0,0,0,13,10,0,0,0,0,0,0,100,100,10,30,0,0
30,"1_2_15",5,30,12,4,0,94,0,20,10,0,0,0,0,13,10,0,0,0,0,0,0,100,0,15,51,18,0
31,"1_3_1",5,14,0,4,0,94,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,100,100,0,51,18,0
32,"Act3Default",5,30,12,4,0,94,0,20,10,0,0,0,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0
33,"1_3_18_1",5,30,12,4,0,94,0,7,0,0,0,0,0,13,10,0,0,0,0,0,0,100,100,12,20,0,0
34,"1_3_18_2",5,30,12,4,0,94,0,7,0,0,0,0,0,13,10,0,0,0,0,0,0,100,100,12,20,0,0
35,"1_4_1",5,14,0,4,0,94,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,100,100,18,20,0,0
36,"Act4Default",5,30,12,4,0,94,0,20,10,0,0,0,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0
37,"Act4Dreams",5,30,12,4,0,94,0,20,10,0,0,0,0,13,10,0,0,0,0,0,0,100,100,8,51,18,0
38,"Act4Belly",5,30,12,4,0,94,0,20,10,0,0,0,0,13,10,0,0,0,0,0,0,100,100,0,51,18,0
39,"1_5_1",5,30,12,4,0,94,0,20,10,0,0,0,0,13,10,0,0,0,0,0,0,100,100,0,51,18,0
40,"Act5FirstHalfDefault",5,30,12,4,0,94,0,20,10,0,0,0,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0
41,"Act5SecondHalfDefault",5,30,12,4,0,94,0,20,10,0,0,10,0,13,10,0,0,0,0,0,0,100,100,18,51,18,0
42,"2_6_1",5,30,12,4,0,94,0,20,10,0,0,10,0,13,10,0,10,0,15,0,15,100,100,0,51,18,0
43,"Act6EarlyDefault",5,30,12,4,0,94,0,20,10,0,0,10,0,13,10,0,10,0,15,0,15,100,100,12,51,18,0
44,"Act6Default",5,30,12,4,0,94,0,20,10,0,0,10,0,13,10,0,10,0,12,0,15,100,100,18,51,18,0
45,"Act7Default",5,30,12,4,0,94,0,20,10,0,0,9,0,13,10,0,10,0,12,0,14,100,100,18,51,18,0
46,"2_7_5_map",5,30,12,4,0,94,0,20,10,0,0,9,0,13,10,0,10,0,12,0,14,100,100,0,51,18,0
47,"2_7_3",5,30,12,4,0,94,0,20,10,0,0,10,0,13,10,0,10,0,15,0,15,100,0,0,51,18,0
48,"Act8Default",5,30,12,4,0,94,0,20,10,0,0,9,0,13,10,0,10,0,12,0,13,100,100,18,51,18,0
49,"Act9Default",5,30,12,4,0,94,0,20,10,0,0,8,0,13,10,0,10,0,11,0,12,100,100,18,51,18,0
50,"Act10Default",5,30,12,4,0,94,0,20,10,0,0,8,0,13,10,0,10,0,11,0,12,100,100,18,51,18,0
51,"2_10_9",5,30,12,4,0,94,0,20,10,0,0,0,0,13,10,0,10,0,11,0,12,100,100,18,51,18,0
52,"Incursion",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,"Delve_Hub",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,"Delve_Endless",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"Delve_Main",0,0,0,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"Delve_Empty",0,0,0,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,"Delve1",5,10,10,4,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,"Delve2",5,15,15,4,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,"Delve3",5,20,20,4,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,"Delve4",5,25,20,4,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,"Delve5",5,30,20,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,"DelveCity1",5,10,10,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,"DelveCity2",5,15,15,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,"DelveCity3",5,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,"DelveCity4",5,25,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,"DelveCity5",5,30,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,"BetrayalStoryVault",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,"BetrayalLaboratory",5,30,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,"BetrayalSafeHouse",5,30,20,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,18,0
70,"BetrayalMastermindFight",0,30,20,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,"Synthesis_Main2",5,15,10,4,0,94,0,20,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,20,0,0
72,"Synthesis_Main3",5,30,20,4,0,94,0,20,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,30,0,0
73,"Synthesis_Main4",5,30,20,4,0,94,0,20,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,51,18,0
74,"Synthesis_Main5",5,30,20,4,0,94,0,20,0,0,0,0,0,13,0,10,0,0,0,0,0,0,0,0,51,18,0
75,"Synthesis_Single2",0,15,10,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,"Synthesis_Single3",0,30,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,"SynthesisBoss",0,0,0,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,"MapAtziri",5,24,16,4,0,94,0,0,0,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,66,36,0
79,"MapTierLess",5,24,16,4,0,94,0,6,0,8,0,0,8,10,8,8,8,8,8,8,8,100,100,8,24,0,10
80,"OldAtlasDefault",5,24,16,4,0,94,0,16,8,8,0,0,8,10,8,8,8,8,8,8,8,100,100,8,43,12,10
81,"UniqueMapCowardsTrial",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,"MapTier1_7Unique",5,0,0,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,"UniqueMapMaelstromOfChaos",5,24,16,4,0,94,0,16,8,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0
84,"MapTier3_3Unique",5,24,16,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"UniqueMapMaoKun",5,24,16,4,0,94,0,16,8,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0
86,"MapTier4_1Unique",5,24,16,4,0,94,0,16,8,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0
87,"UniqueMapActonsNightmare",5,24,16,4,0,94,0,16,8,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0
88,"UniqueMapPoorjoysAsylum",5,24,16,4,0,94,0,16,8,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0
89,"UniqueMapWhakawairuaTuahu",5,24,16,4,0,94,0,0,0,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0
90,"UniqueMapBlackguardSalute",5,24,16,4,0,94,0,0,0,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0
91,"UniqueMapObasCursedTrove",5,24,16,4,0,2486,0,0,0,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,0,0,0
92,"UniqueMapOlmecsSanctum",5,24,16,4,0,94,0,4,0,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0
93,"UniqueMapDeathAndTaxes",5,24,16,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"UniqueMapWraeclastPantheon",5,24,16,4,0,94,0,0,0,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0
95,"Map2TierLess",5,24,16,4,0,94,0,6,0,8,0,0,8,10,8,8,8,8,8,8,8,100,100,8,24,0,10
96,"UniqueMapUntaintedParadise",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,"UniqueMapVaultsOfAtziri",5,24,16,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,"UniqueMapCaerBlaidd",5,24,16,4,0,94,0,16,8,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0
99,"UniqueMapPerandusManor",5,24,16,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,"UniqueMapVinktarSquare",5,24,16,4,0,94,0,16,8,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0
101,"UniqueMapHallowedGround",5,0,0,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,"MapAtlasVaalPyramid",5,24,16,4,0,94,0,6,0,8,0,0,8,10,8,8,8,8,8,8,8,100,100,8,24,0,10
103,"UniqueMapPutridCloister",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,"MapAtlasPitUnique",5,24,16,4,0,94,0,16,8,8,0,0,8,10,8,8,8,0,0,0,0,0,0,0,43,12,10
105,"MapAtlasScriptorium",5,50,33,4,0,94,0,16,8,8,0,0,8,10,8,8,8,8,8,8,8,100,100,8,43,12,10
106,"ShapersRealm",5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,"BreachBoss",5,30,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,"MapHarbinger",5,24,16,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,"MapWorldsDefault",5,24,16,4,0,94,0,16,8,8,8,8,8,10,8,8,8,8,8,8,8,100,100,8,43,12,10
110,"MapWorldsMazeUnique",5,24,16,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,"MapWorldsDunesUnique",5,24,16,4,0,94,0,16,8,0,0,0,0,10,8,8,0,0,0,0,0,0,0,0,43,12,0
112,"MapWorldsMoonTempleUnique",5,24,16,4,0,94,0,16,8,0,0,0,0,10,8,8,8,0,0,0,0,0,0,0,43,12,0
113,"MapWorldsPitUnique",5,24,16,4,0,94,0,16,8,8,8,8,8,10,8,8,8,0,0,0,0,0,0,0,43,12,10
114,"Master_TH_Shipgraveyard",0,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,"Master_SP_Volcano",0,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,"MapWorldsDefaultHardMode",3,5,3,4,0,3584,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,7,3,5
117,"EarlyAct1HardMode",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
118,"MidAct1HardMode",0,0,0,0,0,20,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
119,"Act2HardMode",0,5,3,0,0,20,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
120,"Act3HardMode",0,5,3,4,0,3584,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,7,3,0
121,"CampaignDefaultHardMode",3,5,3,4,0,3584,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,7,3,0
122,"Sanctum",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
