"rownum","MonsterVarietiesKey","LegionFactionsKey","LegionRanksKey","i32","MiscAnimatedKey","i32","i32","[i32]","[i32]","[i32]","[i32]","[i32]","[i32]","i32","i32","[rid]","MonsterVarietiesKey2"
58,7242,3,57,0,[],0,1,[],[],[],[],[],[],150,110,[],""
59,7254,4,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
60,7255,4,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
61,7256,4,57,0,[],0,3,[],[],[],[],[],[],150,60,[],""
62,7262,4,57,2,[],0,1,[],[],[],[],[],[],150,50,[],""
63,7263,4,57,2,[],0,1,[],[],[],[],[],[],150,50,[],""
64,7275,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
65,7276,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
66,7277,1,57,1,[],0,1,[],[],[],[],[],[],150,50,[],""
67,7282,1,57,2,[],0,3,[],[],[],[],[],[],150,50,[],""
68,7285,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
69,7290,1,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
70,7291,1,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
