"rownum","Mod","Name","Visual","TextStyles","bool","bool"
94,31313,"Cold, Chill and Freeze Resistant",2,[],"",""
95,31314,"Lightning and Shock Resistant",11,[],"",""
96,31315,"Chaos and Wither Resistant",1,[],"",""
97,31316,"Evasive","",[],"",""
98,31317,"Fast Energy Shield Recharge","",[],"",""
99,31318,"Extra Life","",[],"",""
100,31319,"Accurate","",[],"",""
101,31320,"Extra Crits","",[],"",""
102,31321,"Life Regen","",[],"",""
103,31322,"Ignites",8,[],"",""
104,31323,"Shocks",12,[],"",""
105,31324,"Poisons",0,[],"",""
106,31325,"Bleeds",14,[],"",""
107,31326,"Chance to Freeze",3,[],"",""
108,31327,"Stuns",13,[],"",""
109,31328,"Increased Area of Effect",17,[],"",""
110,31329,"Hasted",4,[],"",""
111,31330,"Triple Actions",10,[],"",""
112,31331,"Extra Projectiles","",[],"",""
113,31332,"Leeches Life",21,[],"",""
114,31333,"Life Cannot Be Leeched",21,[],"",""
115,31334,"Gains Random Charges",22,[],"",""
116,31335,"Endurance Charge when Hit","",[],"",""
117,31336,"Frenzy Charge on Hit","",[],"",""
118,31337,"Power Charge on Cast","",[],"",""
119,31338,"Cannot be Slowed",20,[],"",""
120,31339,"Cannot be Stunned",20,[],"",""
121,31340,"Periodically Enrages",27,[],"",""
122,31341,"Always Crits","",[],"",""
123,31342,"Blinds","",[],"",""
124,31343,"Crit Resistant","",[],"",""
125,31344,"Hexproof","",[],"",""
126,31345,"Chaining",5,[],"",""
127,31346,"Far Shot",5,[],"",""
128,31347,"Extra Damage to Injured Foes",34,[],"",""
129,31348,"Charge Removal","",[],"",""
130,31349,"Inflicts Corrupted Blood",50,[],"",""
131,31350,"Spell Resistant","",[],"",""
132,31351,"Blocks Attacks","",[],"",""
133,31352,"Reflects Certain Ailments","",[],"",""
134,31353,"Reflects Hexes","",[],"",""
135,31354,"Haste Aura","",[],"",""
136,31355,"Energy Shield Aura","",[],"",""
137,31356,"Applies Random Mark","",[],"",""
138,31357,"Precision Aura","",[],"",""
139,31358,"Minions Fire Explode on Death","",[],"",""
140,31359,"Minions Cold Explode on Death","",[],"",""
141,31360,"Minions Lightning Explode on Death","",[],"",""
142,31361,"Life Shared with Treant Minions",39,[],"",""
143,31362,"Inflicts Grasping Vines",37,[],"",""
144,31363,"Hinder Aura",25,[],"",""
145,31364,"Extra Physical Damage Aura","",[],"",""
146,31365,"Revives Nearby Allies on Death",23,[],"",""
147,31366,"Powerful Minions",39,[],"",""
148,31367,"Summons Undead","",[],"",""
149,31368,"Heals Allies and Suppresses Foe Recovery",33,[],"",""
150,31369,"Prevents Recovery above 50%",34,[],"",""
151,31370,"Temporal Proximity Shield",38,[],"",""
152,31371,"Soul Eater",23,[],"",""
153,31372,"Siphons Mana and Deals Lightning Damage",49,[],"",""
154,31373,"Invulnerability Aura",51,[],"",""
155,31374,"Siphons Flask Charges",36,[],"",""
156,31375,"Gain a Mod on Minion Death","",[],"",""
157,31376,"Shocked Ground on Death",12,[],"",""
158,31377,"Burning Ground on Death",8,[],"",""
159,31378,"Chilled Ground on Death",3,[],"",""
160,31379,"Consecrated Ground",26,[],"",""
161,31380,"Trail of Fire",43,[],"",""
162,31381,"Trail of Cold",40,[],"",""
163,31382,"Trail of Lightning",48,[],"",""
164,31383,"Energy Shield Explodes",9,[],"",""
165,31384,"Inferno Bolt when Hit",43,[],"",""
166,31385,"Snow Bolt when Hit",40,[],"",""
167,31386,"Lightning Mirage when Hit",48,[],"",""
168,31387,"Ice Prison",41,[],"",""
169,31388,"Caustic Orb on Death",0,[],"",""
170,31389,"Ambushes",30,[],"",""
171,31390,"Curses",35,[],"",""
172,31391,"Mirror Images",47,[],"",""
173,31392,"Fires Mortars",6,[],"",""
174,31393,"Explodes Corpses",44,[],"",""
175,31394,"Molten Shell",46,[],"",""
176,31395,"Exploding Orbs",46,[],"",""
177,31396,"Lightning Storm",12,[],"",""
178,31397,"Exploding Crystals when Hit",52,[],"",""
179,31398,"Lightning Totem Minions",28,[],"",""
180,31399,"Temporarily Revives","",[],"",""
181,31400,"Enrages as Life Lost",18,[],"",""
182,31401,"Cycling Damage Reduction",53,[],"",""
183,31402,"Creates Voodoo Doll",54,[],"",""
184,31403,"Creates Frost Walls and Flees",31,[],"",""
185,31404,"Lunaris-touched",55,[],"",""
186,31405,"Solaris-touched",56,[],"",""
187,31406,"Arakaali-touched",57,[],"",""
188,31407,"Brine King-touched",58,[],"",""
189,31408,"Tukohama-touched",59,[],"",""
190,31409,"Abberath-touched",60,[],"",""
191,31410,"Shakari-touched",61,[],"",""
192,31411,"Innocence-touched",62,[],"",""
193,31412,"Kitava-touched",63,[],"",""
194,31413,"Spirit Walkers","",[],"",""
195,31414,"Empowers Allies",29,[],"",""
