"rownum","Id","bool","IsLocal","IsWeaponLocal","Semantics","bool","string","bool","bool","i32","i32","i32","i32","bool","i32","[string]","rid","bool","bool","bool","[rid]"
42,"fire_damage_+%",1,"","",1,"","Fire Damage +%","","",-16843010,-16843010,-16843010,-16843010,1,191057191,[],1,"","",1,[]
43,"global_minimum_added_fire_damage","","","",3,"","Minimum Added Fire Damage","","",-16843010,-16843010,-16843010,-16843010,"",2034740550,[],"","","",1,[]
44,"global_maximum_added_fire_damage","","","",3,"","Maximum Added Fire Damage","","",-16843010,-16843010,-16843010,-16843010,"",-902547218,[],"","","",1,[]
45,"attack_minimum_added_fire_damage",1,"","",3,"","Attack Minimum Added Fire Damage","","",-16843010,-16843010,-16843010,-16843010,1,-1181478971,[],"","","",1,[]
46,"attack_maximum_added_fire_damage",1,"","",3,"","Attack Maximum Added Fire Damage","","",-16843010,-16843010,-16843010,-16843010,1,501099642,[],"","","",1,[]
47,"local_minimum_added_fire_damage","",1,1,3,"","Local Minimum Added Fire Damage","","",793,0,815,0,"",318629524,[],"","","",1,[]
48,"local_maximum_added_fire_damage","",1,1,3,"","Local Maximum Added Fire Damage","","",794,0,816,0,"",928714545,[],"","","",1,[]
49,"cold_damage_+%",1,"","",1,"","Cold Damage +%","","",-16843010,-16843010,-16843010,-16843010,1,78179886,[],1,"","",1,[]
50,"global_minimum_added_cold_damage","","","",3,"","Minimum Added Cold Damage","","",-16843010,-16843010,-16843010,-16843010,1,-619139700,[],"","","",1,[]
51,"global_maximum_added_cold_damage","","","",3,"","Maximum Added Cold Damage","","",-16843010,-16843010,-16843010,-16843010,1,-271567038,[],"","","",1,[]
52,"attack_minimum_added_cold_damage",1,"","",3,"","Attack Minimum Added Cold Damage","","",-16843010,-16843010,-16843010,-16843010,1,171791935,[],"","","",1,[]
53,"attack_maximum_added_cold_damage",1,"","",3,"","Attack Maximum Added Cold Damage","","",-16843010,-16843010,-16843010,-16843010,1,-939811086,[],"","","",1,[]
54,"local_minimum_added_cold_damage","",1,1,3,"","Local Minimum Added Cold Damage","","",795,0,817,0,"",-255408318,[],"","","",1,[]
55,"local_maximum_added_cold_damage","",1,1,3,"","Local Maximum Added Cold Damage","","",796,0,818,0,"",472353268,[],"","","",1,[]
56,"lightning_damage_+%",1,"","",1,"","Lightning Damage +%","","",-16843010,-16843010,-16843010,-16843010,1,-1639944867,[],1,"","",1,[]
57,"global_minimum_added_lightning_damage","","","",3,"","Minimum Added Lightning Damage","","",-16843010,-16843010,-16843010,-16843010,1,-1577166020,[],"","","",1,[]
58,"global_maximum_added_lightning_damage","","","",3,"","Maximum Added Lightning Damage","","",-16843010,-16843010,-16843010,-16843010,1,-1369359538,[],"","","",1,[]
59,"attack_minimum_added_lightning_damage",1,"","",3,"","Attack Minimum Added Lightning Damage","","",-16843010,-16843010,-16843010,-16843010,1,365867665,[],"","","",1,[]
60,"attack_maximum_added_lightning_damage",1,"","",3,"","Attack Maximum Added Lightning Damage","","",-16843010,-16843010,-16843010,-16843010,1,513324754,[],"","","",1,[]
61,"local_minimum_added_lightning_damage","",1,1,3,"","Local Minimum Added Lightning Damage","","",797,0,819,0,"",-1727629303,[],"","","",1,[]
62,"local_maximum_added_lightning_damage","",1,1,3,"","Local Maximum Added Lightning Damage","","",798,0,820,0,"",2119574765,[],"","","",1,[]
63,"chaos_damage_+%",1,"","",1,"","Chaos Damage +%","","",-16843010,-16843010,-16843010,-16843010,1,-1059988617,[],1,"","",1,[]
64,"global_minimum_added_chaos_damage","","","",3,"","Minimum Added Chaos Damage","","",-16843010,-16843010,-16843010,-16843010,1,2045769627,[],"","","",1,[]
65,"global_maximum_added_chaos_damage","","","",3,"","Maximum Added Chaos Damage","","",-16843010,-16843010,-16843010,-16843010,1,237208908,[],"","","",1,[]
66,"attack_minimum_added_chaos_damage",1,"","",3,"","Minimum Added Chaos Damage","","",-16843010,-16843010,-16843010,-16843010,1,-1824954379,[],"","","",1,[]
67,"attack_maximum_added_chaos_damage",1,"","",3,"","Maximum Added Chaos Damage","","",-16843010,-16843010,-16843010,-16843010,1,813475924,[],"","","",1,[]
68,"local_minimum_added_chaos_damage","",1,1,3,"","Local Minimum Added Chaos Damage","","",799,0,821,0,"",-1616765083,[],"","","",1,[]
69,"local_maximum_added_chaos_damage","",1,1,3,"","Local Maximum Added Chaos Damage","","",800,0,822,0,"",1788772063,[],"","","",1,[]
70,"attack_speed_+%",1,"","",1,"","Attack Speed +%","","",-16843010,-16843010,-16843010,-16843010,1,1067510423,[],3,"","",1,[]
71,"local_attack_speed_+%","",1,1,1,"","Local Attack Speed +%","","",801,0,823,0,"",-475973045,[],"","","",1,[]
72,"melee_attack_speed_+%","","","",1,"","Melee Attack Speed","","",-16843010,-16843010,-16843010,-16843010,"",392499720,[],3,"","",1,[]
73,"attack_speed_while_dual_wielding_+%","","","",1,"","Attack Speed while Dual Wielding","","",-16843010,-16843010,-16843010,-16843010,"",-355434507,[],3,"","",1,[]
74,"axe_attack_speed_+%","","","",1,"","Attack Speed with Axes","","",-16843010,-16843010,-16843010,-16843010,"",-179890266,[],3,"","",1,[]
75,"staff_attack_speed_+%","","","",1,"","Attack Speed with Staves","","",-16843010,-16843010,-16843010,-16843010,"",-519117186,[],3,"","",1,[]
76,"claw_attack_speed_+%","","","",1,"","Attack Speed with Claws","","",-16843010,-16843010,-16843010,-16843010,"",10516126,[],3,"","",1,[]
77,"dagger_attack_speed_+%","","","",1,"","Attack Speed with Daggers","","",-16843010,-16843010,-16843010,-16843010,"",-56067023,[],3,"","",1,[]
78,"mace_attack_speed_+%","","","",1,"","Attack Speed with Maces","","",-16843010,-16843010,-16843010,-16843010,"",1792355518,[],3,"","",1,[]
79,"bow_attack_speed_+%","","","",1,"","Attack Speed with Bows","","",-16843010,-16843010,-16843010,-16843010,"",910131726,[],3,"","",1,[]
80,"sword_attack_speed_+%","","","",1,"","Attack Speed with Swords","","",-16843010,-16843010,-16843010,-16843010,"",1781295952,[],3,"","",1,[]
81,"wand_attack_speed_+%","","","",1,"","Attack Speed with Wands","","",-16843010,-16843010,-16843010,-16843010,"",-1558902215,[],3,"","",1,[]
82,"shield_attack_speed_+%","","","",1,"","Attack Speed with Shields","","",-16843010,-16843010,-16843010,-16843010,"",1314749611,[],"","","",1,[]
83,"accuracy_rating","","","",3,"","Accuracy Rating","","",-16843010,-16843010,-16843010,-16843010,1,552754587,[],5,"","",1,[]
84,"accuracy_rating_+%",1,"","",1,"","Accuracy Rating +%","","",-16843010,-16843010,-16843010,-16843010,1,-253919695,[],5,"","",1,[]
85,"accuracy_rating_while_dual_wielding_+%","","","",1,"","Accuracy Rating while Dual Wielding +%","","",-16843010,-16843010,-16843010,-16843010,"",1669799203,[],5,"","",1,[]
86,"axe_accuracy_rating_+%","","","",1,"","Accuracy Rating with Axes","","",-16843010,-16843010,-16843010,-16843010,"",-2030619774,[],5,"","",1,[]
87,"staff_accuracy_rating_+%","","","",1,"","Accuracy Rating with Staves","","",-16843010,-16843010,-16843010,-16843010,"",1527831504,[],5,"","",1,[]
88,"claw_accuracy_rating_+%","","","",1,"","Accuracy Rating with Claws","","",-16843010,-16843010,-16843010,-16843010,"",-258291915,[],5,"","",1,[]
89,"dagger_accuracy_rating_+%","","","",1,"","Accuracy Rating with Daggers","","",-16843010,-16843010,-16843010,-16843010,"",176779968,[],5,"","",1,[]
90,"mace_accuracy_rating_+%","","","",1,"","Accuracy Rating with Maces","","",-16843010,-16843010,-16843010,-16843010,"",1593823747,[],5,"","",1,[]
91,"bow_accuracy_rating_+%","","","",1,"","Accuracy Rating with Bows","","",-16843010,-16843010,-16843010,-16843010,"",-224481941,[],5,"","",1,[]
92,"sword_accuracy_rating_+%","","","",1,"","Accuracy Rating with Swords","","",-16843010,-16843010,-16843010,-16843010,"",814552329,[],5,"","",1,[]
93,"wand_accuracy_rating_+%","","","",1,"","Accuracy Rating with Wands","","",-16843010,-16843010,-16843010,-16843010,"",362619878,[],5,"","",1,[]
94,"poison_on_critical_strike_with_dagger","","","",4,"","Poisons on Critical Strike with Dagger","","",-16843010,-16843010,-16843010,-16843010,"",-2101553279,[],"","","","",[]
95,"base_critical_strike_multiplier_+",1,"","",3,"","Base Critical Strike Multiplier +%","","",-16843010,-16843010,-16843010,-16843010,1,-1317475609,[],4,"","",1,[]
96,"critical_strike_multiplier_with_dagger_+","","","",3,"","Critical Strike Multiplier","","",-16843010,-16843010,-16843010,-16843010,"",1100330652,[],4,"","",1,[]
97,"base_self_critical_strike_multiplier_-%",1,"","",3,"","Critical Strike Multiplier","","",-16843010,-16843010,-16843010,-16843010,1,-805995854,[],4,"","",1,[]
98,"self_critical_strike_multiplier_-%_per_endurance_charge",1,"","",3,"","Enemy Critical Strike Damage Multiplier reduction per Endurance Charge","","",-16843010,-16843010,-16843010,-16843010,1,921275512,[],"","","",1,[]
99,"old_do_not_use_local_life_leech_from_physical_damage_%","",1,1,1,"","","","",802,0,824,0,"",1356529756,[],"","","",1,[]
100,"old_do_not_use_local_mana_leech_from_physical_damage_%","",1,1,1,"","","","",803,0,825,0,"",-1508612598,[],"","","",1,[]
101,"old_do_not_use_life_leech_from_physical_damage_%",1,"","",1,"","Life Leech From Physical Damage %","","",-16843010,-16843010,-16843010,-16843010,1,-658495328,[],"","","",1,[]
102,"old_do_not_use_mana_leech_from_physical_damage_%","","","",1,"","Mana Leech From Physical Damage %","","",-16843010,-16843010,-16843010,-16843010,"",-1511982752,[],"","","",1,[]
103,"old_do_not_use_life_leech_from_physical_damage_with_claw_%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-531704569,[],"","","",1,[]
104,"base_life_gained_on_enemy_death",1,"","",3,"","Base Life Gained On Enemy Death","","",-16843010,-16843010,-16843010,-16843010,"",1419928513,[],18,"","",1,[]
105,"life_leech_from_any_damage_permyriad",1,"","",1,"","Life Leech from any Damage","","",-16843010,-16843010,-16843010,-16843010,1,1404752895,[],"","","",1,[]
106,"mana_leech_from_any_damage_permyriad",1,"","",1,"","Mana Leech from any Damage","","",-16843010,-16843010,-16843010,-16843010,1,1884462265,[],"","","",1,[]
107,"base_mana_gained_on_enemy_death",1,"","",3,"","Base Mana Gained On Enemy Death","","",-16843010,-16843010,-16843010,-16843010,"",1022478200,[],18,"","",1,[]
108,"base_stun_threshold_reduction_+%",1,"","",1,"","Base Stun Threshold Reduction +%","","",-16843010,-16843010,-16843010,-16843010,1,-1258661407,[],6,"","",1,[]
109,"while_using_mace_stun_threshold_reduction_+%","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1181384114,[],6,"","",1,[]
110,"global_knockback",1,"","",4,"","Knockback","","",-16843010,-16843010,-16843010,-16843010,1,-2022599767,[],"","","","",[]
111,"knockback_with_bow","","","",4,"","Knockback with Bows","","",-16843010,-16843010,-16843010,-16843010,"",-2117692951,[],"","","","",[]
112,"knockback_with_staff","","","",4,"","Knockback with Staves","","",-16843010,-16843010,-16843010,-16843010,"",-238813423,[],"","","","",[]
113,"knockback_with_wand","","","",4,"","Knockback with Wands","","",-16843010,-16843010,-16843010,-16843010,"",1429571840,[],"","","","",[]
114,"local_knockback","",1,1,4,"","Knockback","","",804,0,826,0,"",-357369588,[],"","","","",[]
115,"maximum_physical_damage_reduction_%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1587306982,[],"","","",1,[]
116,"base_physical_damage_reduction_rating",1,"","",3,"","Base Physical Damage Reduction Rating","","",-16843010,-16843010,-16843010,-16843010,1,1686922486,[],9,"","",1,[]
117,"physical_damage_reduction_rating_+%",1,"","",1,"","Physical Damage Reduction Rating +%","","",-16843010,-16843010,-16843010,-16843010,1,-1026676306,[],9,"","",1,[]
118,"local_physical_damage_reduction_rating_+%",1,1,"",1,"","Local Physical Damage Reduction Rating +%","","",-16843010,-16843010,-16843010,-16843010,"",-1603633950,[],"","","",1,[]
119,"base_evasion_rating",1,"","",3,"","Base Evasion Rating","","",-16843010,-16843010,-16843010,-16843010,1,1457140832,[],9,"","",1,[]
120,"evasion_rating_+%",1,"","",1,"","Global Evasion Rating +%","","",-16843010,-16843010,-16843010,-16843010,"",-413400759,[],9,"","",1,[]
121,"local_evasion_rating_+%",1,1,"",1,"","Local Evasion Rating +%","","",-16843010,-16843010,-16843010,-16843010,"",-1035225865,[],"","","",1,[]
122,"evasion_rating_+%_per_frenzy_charge",1,"","",1,"","Evasion Rating increase per Frenzy Charge","","",-16843010,-16843010,-16843010,-16843010,1,222133344,[],9,"","",1,[]
123,"base_maximum_life","","","",3,"","Base Maximum Life","","",-16843010,-16843010,-16843010,-16843010,"",-412812923,[],7,"","",1,[]
124,"maximum_life_+%",1,"","",1,"","Maximum Life +%","","",-16843010,-16843010,-16843010,-16843010,"",-1447371539,[],7,"","",1,[]
125,"base_life_regeneration_rate_per_minute",1,"","",3,"","Life Regeneration Rate per Minute","","",-16843010,-16843010,-16843010,-16843010,1,-82636098,[],7,"","",1,[]
126,"life_regeneration_rate_per_minute_%_per_endurance_charge",1,"","",3,"","Life Regeneration Rate per Endurance Charge","","",-16843010,-16843010,-16843010,-16843010,1,724137496,[],7,"","",1,[]
127,"base_maximum_mana","","","",3,"","Base Maximum Mana","","",-16843010,-16843010,-16843010,-16843010,"",33179562,[],8,"","",1,[]
128,"maximum_mana_+%","","","",1,"","Maximum Mana +%","","",-16843010,-16843010,-16843010,-16843010,"",-2079668835,[],8,"","",1,[]
129,"mana_regeneration_rate_per_minute_%","","","",1,"","Mana Regeneration Rate per Minute","","",-16843010,-16843010,-16843010,-16843010,"",2009634733,[],8,"","",1,[]
130,"mana_regeneration_rate_+%","","","",1,"","Mana Regeneration Rate +%","","",-16843010,-16843010,-16843010,-16843010,"",915714296,[],8,"","",1,[]
131,"base_mana_regeneration_rate_per_minute",1,"","",3,"","Mana Regeneration Rate per Minute","","",-16843010,-16843010,-16843010,-16843010,1,2136732448,[],8,"","",1,[]
132,"mana_regeneration_rate_per_minute_%_per_power_charge",1,"","",1,"","Mana Regeneration Rate per Power Charge","","",-16843010,-16843010,-16843010,-16843010,1,9809668,[],"","","",1,[]
133,"base_maximum_energy_shield",1,"","",3,"","Base Maximum Energy Shield","","",-16843010,-16843010,-16843010,-16843010,1,168289692,[],9,"","",1,[]
134,"maximum_energy_shield_+%",1,"","",1,"","Global Maximum Energy Shield +%","","",-16843010,-16843010,-16843010,-16843010,"",-1070560918,[],9,"","",1,[]
135,"local_energy_shield",1,1,"",3,"","Local Energy Shield","","",-16843010,-16843010,-16843010,-16843010,"",-1349965577,[],"","","",1,[]
136,"local_energy_shield_+%",1,1,"",1,"","Local Energy Shield +%","","",-16843010,-16843010,-16843010,-16843010,"",-1850804368,[],"","","",1,[]
137,"energy_shield_recharge_rate_per_minute_%","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",2065299120,[],9,"","",1,[]
138,"energy_shield_recharge_rate_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,1,1767848875,[],9,"","",1,[]
139,"energy_shield_delay_-%","","","",1,"","Energy Shield Delay Recovery Increase",1,"",-16843010,-16843010,-16843010,-16843010,1,-1660464583,[],9,"","",1,[]
140,"cannot_be_damaged",1,"","",4,"","Cannot be Damaged",1,"",-16843010,-16843010,-16843010,-16843010,1,1015988110,[],"","","","",[]
141,"base_resist_all_elements_%",1,"","",1,"","Resist all Elements","","",-16843010,-16843010,-16843010,-16843010,1,-1468713837,[],10,"","",1,[]
142,"resist_all_elements_%_per_endurance_charge",1,"","",1,"","Additional Elemental Resistance per Endurance Charge","","",-16843010,-16843010,-16843010,-16843010,1,282544527,[],"","","",1,[]
143,"maximum_fire_damage_resistance_%",1,"","",5,"","","",1,-16843010,-16843010,-16843010,-16843010,1,-2026582005,[],"","","",1,[0]
144,"base_fire_damage_resistance_%",1,"","",1,"","Base Fire Damage Resistance %","","",-16843010,-16843010,-16843010,-16843010,1,2039518076,[],10,"","",1,[]
145,"maximum_cold_damage_resistance_%",1,"","",5,"","","",1,-16843010,-16843010,-16843010,-16843010,1,-1821887250,[],"","","",1,[0]
146,"base_cold_damage_resistance_%",1,"","",1,"","Base Cold Damage Resistance %","","",-16843010,-16843010,-16843010,-16843010,1,1746311514,[],10,"","",1,[]
147,"maximum_lightning_damage_resistance_%",1,"","",5,"","","",1,-16843010,-16843010,-16843010,-16843010,1,1048775403,[],"","","",1,[0]
148,"base_lightning_damage_resistance_%",1,"","",1,"","Base Lightning Damage Resistance %","","",-16843010,-16843010,-16843010,-16843010,1,1417405558,[],10,"","",1,[]
149,"maximum_chaos_damage_resistance_%",1,"","",5,"","","",1,-16843010,-16843010,-16843010,-16843010,"",1091960713,[],"","","",1,[0]
150,"base_chaos_damage_resistance_%",1,"","",1,"","Base Chaos Damage Resistance %","","",-16843010,-16843010,-16843010,-16843010,1,1674290768,[],10,"","",1,[]
151,"base_item_found_quantity_+%","","","",1,"","Increased Item Quantity %","","",-16843010,-16843010,-16843010,-16843010,"",1682723695,[],"","","",1,[]
152,"chest_item_quantity_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-509838990,[],"","","",1,[]
153,"base_item_found_rarity_+%","","","",1,"","Base Item Found Rarity +%","","",-16843010,-16843010,-16843010,-16843010,"",812113821,[],18,"","",1,[]
154,"chest_item_rarity_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1234110117,[],"","","",1,[]
155,"item_found_quality_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-335246044,[],"","","",1,[]
156,"item_found_relevancy_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",987729910,[],"","","",1,[]
157,"experience_gain_+%",1,"","",1,"","Experience Gain increase","","",-16843010,-16843010,-16843010,-16843010,1,-713730371,[],18,"","",1,[]
158,"experience_loss_on_death_-%",1,"","",1,"","Experience Loss on Death","","",-16843010,-16843010,-16843010,-16843010,"",-1657161374,[],"","","",1,[]
159,"minion_maximum_life_+%",1,"","",1,"","Minion Life Increase","","",-16843010,-16843010,-16843010,-16843010,1,-1990946027,[],12,"","",1,[]
160,"base_spectre_maximum_life_+%","","","",1,"","Spectre Life Increase","","",-16843010,-16843010,-16843010,-16843010,"",317122428,[],"","","",1,[]
161,"base_zombie_maximum_life_+%","","","",1,"","Zombie Life Increase","","",-16843010,-16843010,-16843010,-16843010,"",-695246821,[],"","","",1,[]
162,"base_fire_elemental_maximum_life_+%","","","",1,"","Fire Elemental Life Increase","","",-16843010,-16843010,-16843010,-16843010,"",917421567,[],"","","",1,[]
163,"base_raven_maximum_life_+%","","","",1,"","Raven Life Increase","","",-16843010,-16843010,-16843010,-16843010,"",1146914457,[],"","","",1,[]
164,"base_number_of_spectres_allowed","","","",2,"","Spectre Quantity","","",-16843010,-16843010,-16843010,-16843010,"",-2103232596,[],12,"","",1,[]
165,"base_number_of_zombies_allowed","","","",2,"","Zombie Quantity","","",-16843010,-16843010,-16843010,-16843010,"",-1247798718,[],12,"","",1,[]
166,"totem_life_+%",1,"","",1,"","Totem Life increase","","",-16843010,-16843010,-16843010,-16843010,1,1320174630,[],13,"","",1,[]
167,"totem_range_+%",1,"","",1,"","Totem Range increase","","",-16843010,-16843010,-16843010,-16843010,1,-1584494303,[],"","","",1,[]
168,"buff_duration_+%",1,"","",1,"","Buff Duration Increase","","",-16843010,-16843010,-16843010,-16843010,1,-1601108139,[],"","","",1,[]
169,"buff_affects_party",1,"","",4,"","Buff Affects Party","","",-16843010,-16843010,-16843010,-16843010,"",261439218,[],"","","","",[]
170,"buff_party_effect_radius_+%",1,"","",1,"","Buff Affects Party Radius","","",-16843010,-16843010,-16843010,-16843010,"",-112215984,[],"","","",1,[]
171,"do_not_chain",1,"","",4,"","Projectiles do not Chain","","",-16843010,-16843010,-16843010,-16843010,"",757681231,[],"","","","",[]
172,"number_of_chains",1,"","",3,"","Additional Chains",1,"",-16843010,-16843010,-16843010,-16843010,1,860057348,[],18,"","",1,[]
173,"number_of_additional_projectiles",1,"","",3,"","Additional Projectiles",1,"",-16843010,-16843010,-16843010,-16843010,1,-1876694605,[],6,"","",1,[]
174,"base_number_of_additional_arrows","","","",3,"","Additional Arrows","","",-16843010,-16843010,-16843010,-16843010,"",-1552084208,[],"","","",1,[]
175,"base_projectile_speed_+%","","","",1,"","Base Projectile Speed +%","","",-16843010,-16843010,-16843010,-16843010,1,-1247267744,[],6,"","",1,[]
176,"base_arrow_speed_+%","","","",1,"","Arrow speed increase","","",-16843010,-16843010,-16843010,-16843010,1,719481108,[],6,"","",1,[]
177,"base_movement_velocity_+%",1,"","",1,"","Base Movement Velocity +%","","",-16843010,-16843010,-16843010,-16843010,1,-449644146,[],18,"","",1,[]
178,"movement_velocity_+%_per_frenzy_charge",1,"","",1,"","Movement Speed increase per Frenzy Charge","","",-16843010,-16843010,-16843010,-16843010,1,1389368142,[],18,"","",1,[]
179,"max_endurance_charges","","","",2,"","Maximum Endurance Charges","","",-16843010,-16843010,-16843010,-16843010,1,-1413492862,[],16,"","",1,[]
180,"max_frenzy_charges","","","",2,"","Maximum Frenzy Charges","","",-16843010,-16843010,-16843010,-16843010,1,-676115558,[],16,"","",1,[]
181,"max_power_charges","","","",2,"","Maximum Power Charges","","",-16843010,-16843010,-16843010,-16843010,1,84542420,[],16,"","",1,[]
