"rownum","EPKFile1","EPKFile2","i32","i32","i32","bool","AOFile","bool"
39,"Metadata/Effects/Spells/heavy_strike_02/heavy_strike_staffmain.epk","",135,13,135,"","Metadata/Effects/Spells/melee_trails/heavy_strike/heavy_strike_2H.ao",""
40,"Metadata/Effects/Spells/heavy_strike_02/heavy_strike_staffoff.epk","",135,13,135,"","Metadata/Effects/Spells/melee_trails/heavy_strike/heavy_strike_2H_off.ao",""
41,"Metadata/Effects/Spells/heavy_strike_02/heavy_strike_twohand.epk","",135,13,135,"","Metadata/Effects/Spells/melee_trails/heavy_strike/heavy_strike_2H.ao",""
42,"Metadata/Effects/Spells/default_attack/monster_unarmed_R.epk","Metadata/Effects/Spells/default_attack/monster_unarmed_R.epk",65,11,65,"","",""
43,"Metadata/Effects/Spells/default_attack/monster_unarmed_L.epk","Metadata/Effects/Spells/default_attack/monster_unarmed_L.epk",65,11,65,"","",""
44,"monster unarmed green R","Metadata/Effects/Spells/default_attack/monster_unarmed_green_R.epk",65,11,65,"","",""
45,"monster unarmed green L","Metadata/Effects/Spells/default_attack/monster_unarmed_green_L.epk",65,11,65,"","",""
46,"Metadata/Effects/Spells/slice_n_dice/slice_R.epk","Metadata/Effects/Spells/slice_n_dice/slice_R.epk",120,10,120,"","",""
47,"Metadata/Effects/Spells/slice_n_dice/slice_L.epk","Metadata/Effects/Spells/slice_n_dice/slice_L.epk",120,10,120,"","",""
48,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_unarmed_L.epk","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_unarmed_L.epk",65,11,65,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_cl_unarm.ao",""
49,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_unarmed_R.epk","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_unarmed_R.epk",65,11,65,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_cl_unarm.ao",""
50,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_one_hand_L.epk","",120,11,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_oneh.ao",""
51,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_one_hand_R.epk","",120,11,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_oneh.ao",""
52,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_two_hand_R.epk","",120,13,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_twoh.ao",""
53,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_staff_main.epk","",150,13,150,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_staff_main.ao",""
54,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_staff_off.epk","",150,13,150,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_staff_off.ao",""
55,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_unarmed_L.epk Fixed Length","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_unarmed_L.epk",65,0,65,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_cl_unarm.ao",""
56,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_unarmed_R.epk Fixed Length","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_unarmed_R.epk",65,0,65,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_cl_unarm.ao",""
57,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_one_hand_L.epk Fixed Length","",120,0,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_oneh.ao",""
58,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_one_hand_R.epk Fixed Length","",120,0,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_oneh.ao",""
59,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_two_hand_R.epk Fixed Length","",120,0,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_twoh.ao",""
60,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_staff_main.epk Fixed Length","",150,0,150,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_staff_main.ao",""
61,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_staff_off.epk Fixed Length","",150,0,150,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_weapon_staff_off.ao",""
62,"Metadata/Effects/Spells/fortify/surge/fortify_unarmed_L.epk","Metadata/Effects/Spells/fortify/surge/fortify_unarmed_L.epk",65,11,65,"","",""
63,"Metadata/Effects/Spells/fortify/surge/fortify_unarmed_R.epk","Metadata/Effects/Spells/fortify/surge/fortify_unarmed_R.epk",65,11,65,"","",""
64,"Metadata/Effects/Spells/fortify/surge/fortify_one_hand_L.epk","Metadata/Effects/Spells/fortify/surge/fortify_one_hand_L.epk",120,11,120,"","",""
65,"Metadata/Effects/Spells/fortify/surge/fortify_one_hand_R.epk","Metadata/Effects/Spells/fortify/surge/fortify_one_hand_R.epk",120,11,120,"","",""
66,"Metadata/Effects/Spells/fortify/surge/fortify_staff_main.epk","Metadata/Effects/Spells/fortify/surge/fortify_staff_main.epk",150,13,150,"","",""
67,"Metadata/Effects/Spells/fortify/surge/fortify_staff_off.epk","Metadata/Effects/Spells/fortify/surge/fortify_staff_off.epk",150,13,150,"","",""
68,"Metadata/Effects/Spells/fortify/surge/fortify_two_hand_L.epk","Metadata/Effects/Spells/fortify/surge/fortify_two_hand_L.epk",150,13,150,"","",""
69,"Metadata/Effects/Spells/fortify/surge/fortify_two_hand_R.epk","Metadata/Effects/Spells/fortify/surge/fortify_two_hand_R.epk",150,13,150,"","",""
70,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_one_hand_L.epk","",65,11,65,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_oneh.ao",""
71,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_one_hand_R.epk","",65,11,65,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_oneh.ao",""
72,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_staff_main.epk","",150,13,150,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_staff_main.ao",""
73,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_staff_off.epk","",150,13,150,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_staff_off.ao",""
74,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_two_hand_L.epk","",120,13,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_twoh.ao",""
75,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_two_hand_R.epk","",120,13,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_twoh.ao",""
76,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_unarmed_L.epk","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_unarmed_L.epk",120,11,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_cl_unarm.ao",""
77,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_unarmed_R.epk","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_unarmed_R.epk",120,11,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_cl_unarm.ao",""
78,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_one_hand_L.epk Fixed Length","",65,0,65,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_oneh.ao",""
79,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_one_hand_R.epk Fixed Length","",65,0,65,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_oneh.ao",""
80,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_staff_main.epk Fixed Length","",150,0,150,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_staff_main.ao",""
81,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_staff_off.epk Fixed Length","",150,0,150,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_staff_off.ao",""
82,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_two_hand_L.epk Fixed Length","",120,0,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_twoh.ao",""
83,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_two_hand_R.epk Fixed Length","",120,0,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_twoh.ao",""
84,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_unarmed_L.epk Fixed Length","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_unarmed_L.epk",120,0,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_cl_unarm.ao",""
85,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_unarmed_R.epk Fixed Length","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_unarmed_R.epk",120,0,120,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_weapon_cl_unarm.ao",""
86,"Holy Claw Unarmed L","Metadata/Effects/Spells/smite/weaponfx/smite_clawunarmed_L.epk",65,11,65,"","",""
87,"Holy Claw Unarmed R","Metadata/Effects/Spells/smite/weaponfx/smite_clawunarmed_R.epk",65,11,65,"","",""
88,"Holy One Hand L","Metadata/Effects/Spells/smite/weaponfx/smite_onehanded_L.epk",120,11,120,"","",""
89,"Holy One Hand R","Metadata/Effects/Spells/smite/weaponfx/smite_onehanded_R.epk",120,11,120,"","",""
90,"Holy Staff L","Metadata/Effects/Spells/smite/weaponfx/smite_staffoff.epk",150,13,150,"","",""
91,"Holy Staff R","Metadata/Effects/Spells/smite/weaponfx/smite_staffmain.epk",150,13,150,"","",""
92,"Holy Two Hand","Metadata/Effects/Spells/smite/weaponfx/smite_twohanded_R.epk",150,13,150,"","",""
93,"Metadata/Effects/Spells/cobra_lash/cobralash_claw_L.epk","",0,0,0,"","Metadata/Effects/Spells/cobra_lash/cobracast.ao",""
94,"Metadata/Effects/Spells/cobra_lash/cobralash_claw_R.epk","",0,0,0,"","Metadata/Effects/Spells/cobra_lash/cobracast.ao",""
95,"Metadata/Effects/Spells/cobra_lash/cobralash_onehanded_L.epk","",0,0,0,"","Metadata/Effects/Spells/cobra_lash/cobracast_dagger.ao",""
96,"Metadata/Effects/Spells/cobra_lash/cobralash_onehanded_R.epk","",0,0,0,"","Metadata/Effects/Spells/cobra_lash/cobracast_dagger.ao",""
97,"dualstrike_claw","",80,9,80,"","Metadata/Effects/Spells/melee_trails/dual_strike/dual_strike_CLAW.ao",""
98,"dualstrike_onehanded","",80,9,80,"","Metadata/Effects/Spells/melee_trails/dual_strike/dual_strike_1H.ao",""
99,"leapslam_claw_carneval","",0,0,0,"","Metadata/Effects/Microtransactions/Weapons/TwoHandedWeapons/Maul/HarlequinHammer.ao",""
100,"leapslam_onehanded_carneval","",0,0,0,"","Metadata/Effects/Microtransactions/Weapons/TwoHandedWeapons/Maul/HarlequinHammer.ao",""
101,"leapslam_twohanded_carneval","",0,0,0,"","Metadata/Effects/Microtransactions/Weapons/TwoHandedWeapons/Maul/HarlequinHammer.ao",""
102,"leapslam_staff_carneval","",0,0,0,"","Metadata/Effects/Microtransactions/Weapons/TwoHandedWeapons/Maul/HarlequinHammer.ao",""
103,"viper_strike_claw","",80,9,80,"","Metadata/Effects/Spells/melee_trails/viper_strike/viper_strike_CLAW.ao",""
104,"viper_strike_one_handed","",80,9,80,"","Metadata/Effects/Spells/melee_trails/viper_strike/viper_strike_1H.ao",""
105,"viper_strike_two_handed","",120,11,120,"","Metadata/Effects/Spells/melee_trails/viper_strike/viper_strike_2H.ao",""
106,"mamba_strike_claw","",80,9,80,"","Metadata/Effects/Spells/mamba_strike/mamba_Claw.ao",""
107,"mamba_strike_one_handed","",80,9,80,"","Metadata/Effects/Spells/mamba_strike/mamba_1H.ao",""
108,"trail_test_1","",80,11,80,"","Metadata/Effects/Spells/melee_trails/test_case/test_CLAW.ao",""
109,"trail_test_2","",150,11,150,"","Metadata/Effects/Spells/melee_trails/test_case/test_1H.ao",""
110,"trail_test_3","",150,13,150,"","Metadata/Effects/Spells/melee_trails/test_case/test_2H.ao",""
111,"trail_test_4","",150,13,150,"","Metadata/Effects/Spells/melee_trails/test_case/test_2H_off.ao",""
112,"trail_test_5","",150,13,150,"","Metadata/Effects/Spells/melee_trails/test_case/test_1H_subdivided.ao",""
113,"Metadata/Effects/Spells/monsters_effects/AtlasExiles/CrusaderMonsters/actfiles/weapontrail_l.epk","",120,9,120,"","Metadata/Effects/Spells/monsters_effects/AtlasExiles/CrusaderMonsters/actfiles/trl_1h.ao",""
114,"Metadata/Effects/Spells/monsters_effects/AtlasExiles/CrusaderMonsters/actfiles/weapontrail_r.epk","",120,9,120,"","Metadata/Effects/Spells/monsters_effects/AtlasExiles/CrusaderMonsters/actfiles/trl_1h.ao",""
115,"IceCrashAutomatonOneHandL","Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_one_hand_L.epk",0,0,0,"","",""
116,"IceCrashAutomatonOneHandR","Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_one_hand_R.epk",0,0,0,"","",""
117,"IceCrashAutomatonStaffMain","Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_staff_main.epk",0,0,0,"","",""
118,"IceCrashAutomatonStaffOff","Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_staff_off.epk",0,0,0,"","",""
119,"IceCrashAutomatonTwoHandL","Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_two_hand_L.epk",0,0,0,"","",""
120,"IceCrashAutomatonTwoHandR","Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_two_hand_R.epk",0,0,0,"","",""
121,"IceCrashAutomatonUnarmedL","Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_unarmed_L.epk",0,0,0,"","",""
122,"IceCrashAutomatonUnarmedR","Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_unarmed_R.epk",0,0,0,"","",""
123,"HeistMilitary1hSword","",74,10,74,"","Metadata/Effects/Spells/monsters_effects/League_Heist/military/melee/1hMeleeBlackGuardSword.ao",""
124,"HeistMilitary2hAxe","",127,18,127,"","Metadata/Effects/Spells/monsters_effects/League_Heist/military/melee/2hMeleeTemplarAxe.ao",""
125,"HeistSkeleton","",80,11,80,"","Metadata/Effects/Spells/monsters_effects/League_Heist/cultist/actfx/1hMelee.ao",""
126,"HeistHuck","",210,15,150,"","Metadata/Effects/Spells/melee_trails/double_strike/double_strike_2H.ao",""
127,"HeistTibbs","",135,15,135,"","Metadata/Effects/Spells/monsters_effects/League_Heist/Tibbs/weapon_trail.ao",""
128,"HeistVinderi","",135,11,135,"","Metadata/Effects/Spells/monsters_effects/League_Heist/Vinderi/weapon_trail.ao",""
129,"CelestialDominatingBlowUnarmed","",65,9,65,"","Metadata/Effects/Microtransactions/Spells/dominating_blow/celestial/trails/weapon_cl_unarm.ao",""
130,"CelestialDominatingBlowOneHand","",120,11,120,"","Metadata/Effects/Microtransactions/Spells/dominating_blow/celestial/trails/weapon_oneh.ao",""
131,"CelestialDominatingBlowStaffMain","",150,13,150,"","Metadata/Effects/Microtransactions/Spells/dominating_blow/celestial/trails/weapon_staff_main.ao",""
132,"CelestialDominatingBlowStaffOff","",150,13,150,"","Metadata/Effects/Microtransactions/Spells/dominating_blow/celestial/trails/weapon_staff_off.ao",""
133,"CelestialDominatingBlowTwoHand","",150,13,150,"","Metadata/Effects/Microtransactions/Spells/dominating_blow/celestial/trails/weapon_twoh.ao",""
134,"StygianConsecratedPathStaff","Metadata/Effects/Spells/smite_stygian/weaponfx/smite_staffmain.epk",65,11,65,"","",""
135,"StygianConsecratedPathStaffOff","Metadata/Effects/Spells/smite_stygian/weaponfx/smite_staffoff.epk",65,11,65,"","",""
136,"StygianConsecratedPathOneHandL","Metadata/Effects/Spells/smite_stygian/weaponfx/smite_onehanded_L.epk",120,11,120,"","",""
137,"StygianConsecratedPathOneHandR","Metadata/Effects/Spells/smite_stygian/weaponfx/smite_onehanded_R.epk",120,11,120,"","",""
138,"StygianConsecratedPathClawL","Metadata/Effects/Spells/smite_stygian/weaponfx/smite_clawunarmed_L.epk",150,13,150,"","",""
139,"StygianConsecratedPathClawR","Metadata/Effects/Spells/smite_stygian/weaponfx/smite_clawunarmed_R.epk",150,13,150,"","",""
140,"StygianConsecratedPathTwoHand","Metadata/Effects/Spells/smite_stygian/weaponfx/smite_twohanded_R.epk",150,13,150,"","",""
141,"ArcaneFrenzyClawL","Metadata/Effects/Microtransactions/Spells/frenzy_02/Arcane/melee/frenzy_clawunarmed_L.epk",65,11,65,"","",""
142,"ArcaneFrenzyClawR","Metadata/Effects/Microtransactions/Spells/frenzy_02/Arcane/melee/frenzy_clawunarmed_R.epk",65,11,65,"","",""
143,"ArcaneFrenzyOneHandL","Metadata/Effects/Microtransactions/Spells/frenzy_02/Arcane/melee/frenzy_onehanded_L.epk",120,11,120,"","",""
144,"ArcaneFrenzyOneHandR","Metadata/Effects/Microtransactions/Spells/frenzy_02/Arcane/melee/frenzy_onehanded_R.epk",120,11,120,"","",""
145,"ArcaneFrenzyStaff","Metadata/Effects/Microtransactions/Spells/frenzy_02/Arcane/melee/frenzy_staffmain.epk",150,13,150,"","",""
146,"ArcaneFrenzyStaffOff","Metadata/Effects/Microtransactions/Spells/frenzy_02/Arcane/melee/frenzy_staffoff.epk",150,13,150,"","",""
147,"ArcaneFrenzyTwoHand","Metadata/Effects/Microtransactions/Spells/frenzy_02/Arcane/melee/frenzy_twohanded_R.epk",150,13,150,"","",""
148,"StygianInfernalBlowStaff","Metadata/Effects/Spells/smite_stygian/weaponfx/smite_staffmain.epk",65,11,65,"","",""
149,"StygianInfernalBlowStaffOff","Metadata/Effects/Spells/smite_stygian/weaponfx/smite_staffoff.epk",65,11,65,"","",""
150,"StygianInfernalBlowOneHandL","Metadata/Effects/Spells/smite_stygian/weaponfx/smite_onehanded_L.epk",120,11,120,"","",""
151,"StygianInfernalBlowOneHandR","Metadata/Effects/Spells/smite_stygian/weaponfx/smite_onehanded_R.epk",120,11,120,"","",""
152,"StygianInfernalBlowClawL","Metadata/Effects/Spells/smite_stygian/weaponfx/smite_clawunarmed_L.epk",150,13,150,"","",""
153,"StygianInfernalBlowClawR","Metadata/Effects/Spells/smite_stygian/weaponfx/smite_clawunarmed_R.epk",150,13,150,"","",""
154,"StygianInfernalBlowTwoHand","Metadata/Effects/Spells/smite_stygian/weaponfx/smite_twohanded_R.epk",150,13,150,"","",""
155,"dualstrike_claw_nightfall","",80,9,80,"","Metadata/Effects/Microtransactions/Spells/nightfall_dualstrike/dual_strike_CLAW.ao",""
156,"dualstrike_onehanded_nightfall","",80,9,80,"","Metadata/Effects/Microtransactions/Spells/nightfall_dualstrike/dual_strike_1H.ao",""
157,"TraumaStrike1Hand","",110,11,110,"","Metadata/Effects/Spells/melee_trails/trauma_strike/trauma_strike_1H.ao",""
158,"TraumaStrike2Hand","",135,13,135,"","Metadata/Effects/Spells/melee_trails/trauma_strike/trauma_strike_2H.ao",""
159,"TraumaStrike2HandOff","",135,13,135,"","Metadata/Effects/Spells/melee_trails/trauma_strike/trauma_strike_2H_off.ao",""
160,"TraumaStrikeClaw","",60,11,60,"","Metadata/Effects/Spells/melee_trails/trauma_strike/trauma_strike_1H.ao",""
161,"AncestralProtector1Hand","Metadata/Effects/Spells/totems/karui_totem/ancestral_totem_1h.epk",110,11,110,"","",""
162,"AncestralProtector2Hand","Metadata/Effects/Spells/totems/karui_totem/ancestral_totem_2h.epk",135,13,135,"","",""
163,"AncestralProtector2HandOff","Metadata/Effects/Spells/totems/karui_totem/ancestral_totem_2h.epk",135,13,135,"","",""
164,"AncestralProtectorClaw","Metadata/Effects/Spells/totems/karui_totem/ancestral_totem_1h_left.epk",90,11,90,"","",""
165,"IllusionistCobraLashClawL","",0,0,0,"","Metadata/Effects/Microtransactions/Spells/cobra_lash/illusionist/cobracast.ao",""
166,"IllusionistCobraLashClawR","",0,0,0,"","Metadata/Effects/Microtransactions/Spells/cobra_lash/illusionist/cobracast.ao",""
