"rownum","Id","[rid]","[i32]","[i32]","[i32]","Variants","[rid]","[i32]","[rid]","rid","[i32]","[rid]","[i32]"
10,"divine_cry",[56],[0],"[6,0]",[],"[""Default"",""UNUSED"",""Celestial"",""Wolf""]",[387],"[18079,64124,27572,45252]",[],347,[],[1333],[]
11,"absolution_blast","[59,61,63,65]",[],[],[],"[""Default"",""DefaultMinion""]",[],"[18079,43854]",[],347,[0],[1334],[]
12,"ignite",[],[],[],[],"[""Default"",""White"",""Ghostfire"",""Blue"",""Stygian"",""Corsair"",""Blackflame"",""Holy"",""Empyrean"",""PolarisWhite"",""PolarisBlack"",""Glimmerwood"",""Demonic"",""Nightfall"",""BlackflameUnique"",""StygianHoly"",""Celestial"",""CelestialConsecratedPath"",""VoidEmperor"",""Mystic"",""MeteorShower"",""Oblivion"",""LegacyOfFury"",""Demonic""]",[89],"[18079,15971,49596,52194,39541,51220,37683,27667,17735,41774,36530,61967,61278,57192,20329,739,27572,56350,48015,45462,64137,116,35014,61278]",[],13413,[],[],[]
13,"scorch",[],[],[],[],"[""Default"",""Demonic""]",[118],"[18079,61278]",[],17030,[],[],[]
14,"shock",[],[],[],[],"[""Default"",""Purple"",""Divine"",""Red"",""Empyrean"",""Green"",""Stygian"",""Celestial"",""CelestialTempest"",""Void"",""Divine"",""VoidAlternate"",""VoidEmperor"",""AutomatonLightningTendrils"",""VoidForge"",""StarForge""]",[120],"[18079,19343,29263,16806,17735,15240,39541,27572,247,9203,29263,22003,48015,27259,17279,65211]",[],16452,[],[],[]
15,"sap",[],[],[],[],"[""Default"",""Void""]",[136],"[18079,9203]",[],17032,[],[],[]
16,"chill",[],[],[],[],"[""Default"",""Myrmidon"",""HyrrisIre"",""VoidEmperor"",""Crystalline""]",[138],"[18079,27566,54248,48015,45820]",[],16581,[],[],[]
17,"freeze",[],[],[],[],"[""Default"",""Myrmidon"",""VoidEmperor"",""Crystalline""]",[143],"[18079,27566,48015,45820]",[],16582,[],[],[]
18,"brittle",[],[],[],[],"[""Default"",""Crystalline""]",[147],"[18079,45820]",[],17031,[],[],[]
19,"poison",[],[],[],[],"[""Default"",""Demonic"",""BlackTar"",""Illusionist"",""Oblivion""]",[149],"[18079,61278,21233,54759,116]",[],16583,[],[],[]
20,"bleed",[],[],[],[],"[""Default"",""Purple"",""Stygian"",""Voodoo""]","[155,159]","[18079,19343,39541,37825]",[],16584,[],[],[]
21,"exposure",[],[],[],[],"[""Default"",""Stygian"",""Celestial""]","[164,163,165]","[18079,39541,27572]",[],14227,[],[],[]
22,"soulfeast","[67,68]",[],[27],[],"[""Default""]",[],[18079],"[44,45,46,47]",347,[],[1337],[]
23,"mana_void","[71,72,73,74,75,76,77,78,79,80,81]",[],[],[],"[""Default""]",[],[18079],[],347,[],[1338],[]
24,"storm_rain","[82,83,84]",[3],[],[0],"[""Default""]",[],[18079],[],347,[],[1339],[]
25,"igniting_flask","[85,86,88,89,91]",[],"[20,0]",[],"[""Default""]",[418],[18079],[52],347,[],[1346],[]
26,"igniting_flask_wall","[85,87,88,90,91]",[],[],[],"[""Default""]",[],[18079],[],347,[],[1346],[]
27,"igniting_flask_lite","[85,92,94,95,97]",[],[],[],"[""Default""]",[],[18079],[],347,[],[1346],[]
28,"igniting_flask_wall_lite","[85,93,94,96,97]",[],[],[],"[""Default""]",[],[18079],[],347,[],[1346],[]
29,"infernal_blow","[98,99]",[],[],[],"[""Default"",""Stygian""]","[172,174,176]","[18079,39541]",[],347,[],[79],[]
30,"smoke_mine",[102],[],[],[],"[""Default"",""Stygian""]",[],"[18079,39541]",[],347,[],[240],[]
31,"chain_hook","[105,107,109,111]",[4],"[12,0]",[],"[""Default"",""Stygian""]",[],"[18079,39541]",[],347,[],[1193],[]
32,"arcane_cloak",[113],[],"[16,0]",[],"[""Default"",""VoidEmperor""]",[178],"[18079,48015]",[],347,[],[1245],[]
33,"orb_of_storms","[115,118,121]",[6],[],[],"[""Default"",""Celestial"",""Demonic""]",[],"[18079,27572,61278]",[],347,[],[512],[]
34,"spark",[],[],[],[],"[""Default"",""SkeletonSpark"",""SpiderSpark"",""AvariusSpark"",""FireSpider"",""Sand"",""LightningElder"",""BestiaryCocoon"",""VaalIncursion"",""IncursionPipe"",""VaalIncursionEpic"",""DelveDweller"",""BetrayalCatarinaSpark"",""LegionMarakethSpark"",""LegionMarakethTornadoSpark"",""AtlasEyrie"",""HarvestHellion"",""Automaton"",""Celestial"",""Void""]",[],"[18079,63244,63286,26477,55029,25598,37016,62017,45534,10364,56855,15938,15102,32275,4271,13264,58149,3488,27572,9203]","[53,77]",347,[],"[74,1040,75]",[]
35,"spark_monster",[],[],[],[],"[""BookTornado"",""FireTornado"",""AfflicationFlamenado""]",[],"[42246,34282,41848]",[73],783,[],"[74,1040,75]",[]
36,"dual_strike","[124,126,129,130]",[],[],[],"[""Default"",""NoImpact"",""Nightfall""]",[],"[18079,32633,57192]",[],347,[],[26],[]
37,"weapon_trap","[131,132,133,134]",[],[22],[],"[""Default""]",[],[18079],[],347,[],[1336],[]
38,"shield_waves","[135,136]",[],[],[],"[""Default""]",[],[18079],[],347,[],[1340],[]
39,"exsanguinate",[],"[9,0]",[],[],"[""Default"",""Celestial"",""Mercurial""]",[180],"[18079,27572,25270]",[],347,[],[1319],[]
40,"void_burst","[137,138,139]",[],[],[],"[""Default""]",[183],[18079],[],347,[],[1331],[]
41,"bladefall","[140,146,152]",[],[],[],"[""Default"",""Gold"",""Demonic"",""Acid"",""Chrome"",""Sawblade"",""Illusionist"",""VoidEmperor""]",[],"[18079,38699,61278,16802,55413,28838,54759,48015]",[],347,[],"[502,503]",[]
42,"blade_blast","[160,164]",[],[],[],"[""Default"",""Illusionist"",""Sawblade""]",[],"[18079,54759,28838]",[],347,[],[1250],[]
43,"rage_slash","[168,170]",[],[25],[],"[""Default"",""Starfall""]",[],"[18079,3450]",[],347,[],[1332],[]
44,"ambush",[204],[],"[23,0]",[],"[""Default""]",[184],[18079],[],347,[],[1335],[]
45,"shock_nova","[172,178]",[],[],[],"[""Default"",""Riftworm"",""Kuduku"",""Blight"",""StormCultist"",""MonsterShock""]",[],"[18079,9609,36942,7333,64637,62796]",[],347,[],[438],[]
46,"boneshatter",[184],[],[180],[],"[""Default"",""Celestial""]",[],"[18079,27572]",[],347,[],[1344],[]
47,"flame_golem_monster",[],[],[],[],"[""Warband""]",[],[51089],[],883,[7],[426],[]
48,"flame_golem",[],[],[],[],"[""Darkshard"",""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[35955,55723,15198,56503,18079,6258]",[],347,[5],[426],[]
49,"lightning_golem",[],[],[],[],"[""Darkshard"",""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[35955,55723,15198,56503,18079,6258]",[],347,[12],[638],[]
50,"ice_golem_monster",[],[],[],[],"[""Warband""]",[],[51089],[],883,[14],[425],[]
51,"ice_golem",[],[],[],[],"[""Darkshard"",""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[35955,55723,15198,56503,18079,6258]",[],347,[19],[425],[]
52,"chaos_golem_monster",[],[],[],[],"[""Warband""]",[],[51089],[],883,[26],[424],[]
53,"chaos_golem",[],[],[],[],"[""Darkshard"",""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[35955,55723,15198,56503,18079,6258]",[],347,[31],[424],[]
54,"stone_golem",[],[],[],[],"[""Darkshard"",""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[35955,55723,15198,56503,18079,6258]",[],347,[25],[531],[]
55,"bone_golem",[],[],[],[],"[""Default"",""Celestial"",""Darkwood"",""Stygian""]",[],"[18079,27572,12926,39541]",[],347,[32],[1211],[]
56,"cold_snap","[186,191,192,197]",[],[],[],"[""Default"",""BigHands"",""Azurite"",""ProtoVaal"",""Overseer""]",[185],"[18079,37316,62276,18886,5427]",[],347,[],"[44,45]",[]
57,"blood_rage",[202],[],[],[],"[""Default"",""Scavenger""]",[186],"[18079,46158]",[],347,[],[40],[]
58,"lightning_strike","[205,210,215,220]",[],"[29,0]",[],"[""Default"",""Alternate"",""Myrmidon"",""Vulcan"",""VoidEmperor""]",[188],"[18079,25075,27566,15703,48015]","[82,83]",347,[],"[131,132]",[]
59,"vortex",[225],[],[],[],"[""Default"",""Blackhole"",""UltimatumCold"",""UltimatumLightning"",""UltimatumRuin"",""Myrmidon""]",[],"[18079,59527,47438,14591,29755,27566]",[],347,[],[614],[]
60,"burning_arrow","[228,229]",[],[39],[],"[""Default"",""Mystic""]",[346],"[18079,45462]","[92,93]",347,[],"[163,164]",[]
61,"dash","[232,237,238,239,235,236]",[],"[41,0,0]",[],"[""Default"",""Wild"",""MonsterRunUnarmed"",""MonsterRun"",""Constrictor"",""Myrmidon"",""Divergence""]",[],"[18079,28806,44071,55600,8701,27566,58468]",[],347,[],"[1186,1226]",[]
62,"cyclone","[257,274,294,287,288,300]",[],[],[],"[""Default"",""White"",""Blue"",""Saw"",""Illusionist"",""Celestial"",""Reserved1"",""Reserved2"",""Dark"",""Ghostflame"",""Automaton"",""BrutalPirateLord"",""UltimatumSabreSpider"",""UltimatumSabreSpiderRuin"",""UltimatumTrialmaster"",""Currency"",""Sharknado"",""Auspicious""]",[],"[18079,15971,52194,37218,54759,27572,3658,3657,5676,894,3488,28691,33116,19253,49128,53000,37940,45563]",[],347,[],"[215,214]",[]
63,"herald_of_ash",[317],[],[],[],"[""Default"",""GhostFlame"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]","[194,195]","[18079,24397,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],347,[],[346],[]
64,"herald_of_ice",[359],[],[],[],"[""Default"",""UNUSED"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]",[259],"[18079,64124,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],347,[],[347],[]
65,"herald_of_thunder",[338],[],[],[],"[""Default"",""Tribal"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]","[237,281]","[18079,24417,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],347,[],[348],[]
66,"herald_of_agony",[],[],[],[],"[""Default"",""UNUSED"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]",[303],"[18079,64124,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],347,[36],[349],[]
67,"herald_of_purity","[380,391]",[],[],[],"[""Default"",""GhostFlame"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]",[325],"[18079,24397,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],347,[57],[350],[]
68,"eye_of_winter","[405,408]",[],[],[],"[""Default"",""Celestial""]",[],"[18079,27572]","[96,99]",347,[],[1347],[]
69,"spectral_helix","[411,413,415]",[],[55],[],"[""Default"",""Nightfall""]",[],"[18079,57192]",[102],347,[],"[248,1341]",[]
70,"earthquake","[417,429,443,457,471]",[],[],[],"[""Default"",""Vinktar"",""Blood"",""Bear"",""Bone"",""Gemling"",""GemlingUpgraded"",""Machinarium"",""SmallBlood"",""Crystal"",""RedCrystal"",""DoryaniCold"",""OshabiHammer"",""Harmonious""]",[],"[18079,40319,50511,45183,26857,25069,719,22740,49410,25591,50949,57401,58129,57521]",[],347,[],"[543,546,544,545]",[]
71,"earthquake_ancestral","[483,488,493,498,503]",[],[],[],"[""Default"",""Vinktar"",""Blood"",""Bear"",""Bone"",""Gemling"",""GemlingUpgraded"",""Machinarium"",""SmallBlood"",""Crystal"",""RedCrystal"",""DoryaniCold"",""OshabiHammer""]",[],"[18079,40319,50511,45183,26857,25069,719,22740,49410,25591,50949,57401,58129]",[],347,[],"[543,546]",[]
72,"earthquake_lite","[508,509,510,511,512]",[],[],[],[],[],[],[],347,[],"[543,546,544,545]",[]
73,"earthshatter","[518,522,525,528,521,531]",[15],[],[1],"[""Default"",""Verdant"",""Lava""]",[],"[18079,22421,43749]",[],347,[],[1271],[]
74,"earthshatter_ancestral","[532,535,538,541,521,531]",[16],[],[4],"[""Default"",""Verdant"",""Lava""]",[],"[18079,22421,43749]",[],347,[],[1271],[]
75,"ground_slam","[544,553,554]",[],[],[],"[""Default"",""Blood"",""Molten"",""Bones"",""BrutusLightning"",""BrineShieldCrab"",""DefaultSpikes"",""Celestial"",""DwellerDeep"",""Oblivion"",""OnyxOblivion""]",[],"[18079,50511,19877,5799,30086,20384,21898,27572,51406,116,38576]",[],347,[],[4],[]
76,"ground_slam_ancestral","[564,568]",[],[],[],"[""Default"",""Blood"",""Molten"",""Bones"",""BrutusLightning"",""BrineShieldCrab"",""DefaultSpikes"",""Celestial"",""DwellerDeep"",""Oblivion"",""OnyxOblivion""]",[],"[18079,50511,19877,5799,30086,20384,21898,27572,51406,116,38576]",[],347,[],[4],[]
77,"ice_crash","[572,574,576]",[],[],[],"[""Default"",""Automaton""]",[],"[18079,3488]",[],347,[],[432],[]
78,"ice_crash_lite","[578,580,582]",[],[],[],"[""Default"",""Automaton""]",[],"[18079,3488]",[],347,[],[432],[]
79,"ice_crash_ancestral","[584,586,588]",[],[],[],"[""Default"",""Automaton""]",[],"[18079,3488]",[],347,[],[432],[]
80,"leap_slam","[590,601]",[],"[56,0,0]",[],"[""Default"",""Goat"",""Kaom"",""MysteryVariation"",""ChurchStatue"",""LabyrinthBoss"",""Electric"",""SuperGoat"",""SuperQuietGoat"",""Kitava"",""ShadowTrail"",""BestiaryRaptor"",""KitavaSnowflake"",""IncursionConstruct"",""DelveLightning"",""BetrayalElreon"",""BetrayalDash"",""NoEffects"",""SynthesisGolem"",""NewLeapSlam"",""LegionKaruiLeapSlam"",""CultistLeapSlam"",""Celestial"",""Carneval"",""BoneGolem"",""Harlequin"",""AfflictionPhysDemon"",""AfflictionPhysBoss"",""AfflictionMinion"",""StygianBoneGolem"",""HarvestHulk"",""HarvestBirddog"",""HarvestTaco"",""HarvestRhex"",""HarvestGoatman"",""DarkwoodBoneGolem"",""CelestialBoneGolem"",""HellscapeSkyStab"",""Heritage""]",[],"[18079,47520,44737,21597,21271,4209,27110,47937,30725,5816,37479,15535,33811,31491,37899,24316,24762,50559,41690,15998,37850,18949,27572,59670,11022,15800,9387,3764,33406,56396,55190,53526,41112,43302,31939,14504,56150,46444,8972]",[],347,[],"[16,18,462,17]",[]
81,"leap_slam_ancestral","[642,649,656,663]",[],"[56,0,0]",[],"[""Default"",""Goat"",""Kaom"",""MysteryVariation"",""ChurchStatue"",""LabyrinthBoss"",""Electric"",""SuperGoat"",""SuperQuietGoat"",""Kitava"",""ShadowTrail"",""BestiaryRaptor"",""KitavaSnowflake"",""IncursionConstruct"",""DelveLightning"",""BetrayalElreon"",""BetrayalDash"",""NoEffects"",""SynthesisGolem"",""NewLeapSlam"",""LegionKaruiLeapSlam"",""CultistLeapSlam"",""Celestial"",""Carneval"",""BoneGolem"",""Harlequin"",""AfflictionPhysDemon"",""AfflictionPhysBoss"",""AfflictionMinion"",""StygianBoneGolem"",""HarvestHulk"",""HarvestBirddog"",""HarvestTaco"",""HarvestRhex"",""HarvestGoatman"",""DarkwoodBoneGolem"",""CelestialBoneGolem"",""HellscapeSkyStab"",""Heritage""]",[],"[18079,47520,44737,21597,21271,4209,27110,47937,30725,5816,37479,15535,33811,31491,37899,24316,24762,50559,41690,15998,37850,18949,27572,59670,11022,15800,9387,3764,33406,56396,55190,53526,41112,43302,31939,14504,56150,46444,8972]",[],347,[],"[16,18,462,17]",[]
82,"perforate","[668,669,670,671,672]",[],[],[],"[""Default""]",[],[18079],[],347,[],[1192],[]
83,"perforate_ancestral","[673,674,675,676,677]",[],[],[],"[""Default""]",[],[18079],[],347,[],[1192],[]
84,"sunder","[678,682,686]",[],[],[],"[""Default"",""Blood"",""UNUSED"",""UNUSED"",""UNUSED"",""DefaultPlayer"",""Glimmerwood""]",[],"[18079,50511,64124,64124,64124,11395,61967]",[],347,[],[602],[]
85,"sunder_ancestral","[690,694,698]",[],[],[],"[""Default"",""Blood"",""UNUSED"",""UNUSED"",""UNUSED"",""DefaultPlayer"",""Glimmerwood""]",[],"[18079,50511,64124,64124,64124,11395,61967]",[],347,[],[602],[]
86,"tectonic_slam","[702,706,710,714]",[],[],[],"[""Default"",""CrabBoss"",""HarvestHellion"",""Celestial""]",[],"[18079,48347,58149,27572]",[],347,[],[986],[]
87,"tectonic_slam_ancestral","[718,720,722,714]",[],[],[],"[""Default"",""CrabBoss"",""HarvestHellion"",""Celestial""]",[],"[18079,48347,58149,27572]",[],347,[],[986],[]
88,"tectonic_slam_lite","[724,726,728]",[],[],[],"[""Default"",""CrabBoss"",""HarvestHellion"",""Celestial""]",[],"[18079,48347,58149,27572]",[],347,[],[986],[]
89,"cleave","[730,734,736,739]",[],[],[],"[""Default"",""DemonCleave"",""BreachCleave"",""NoEffect"",""BreachSmallCleave"",""LegionEternalEmpire"",""BeastCleave""]",[],"[18079,34274,56897,47632,34009,21981,4403]",[],347,[],[6],[]
90,"blade_flurry_sound",[752],[],[],[],"[""Default"",""MossMonster"",""NoSound"",""Urchin""]",[],"[18079,52232,48877,39658]",[],1718,[],"[27,28]",[]
91,"piety_reverse_cleave_sound",[755],[],[],[],"[""Default"",""Beast""]",[],"[18079,4395]",[],1718,[],[501],[]
92,"purge_hound_whirling_blades_sound",[757],[],[],[],"[""Default"",""MossMonster""]",[],"[18079,52232]",[],1718,[],[823],[]
93,"whirling_leap_sound",[759],[],[],[],"[""Default"",""MossMonster""]",[],"[18079,52232]",[],1718,[],[536],[]
94,"maligaro_blade_flurry_sound",[761],[],[],[],"[""Default"",""MossMonster""]",[],"[18079,52232]",[],1718,[],[793],[]
95,"mortar_barrage_mine","[763,766]",[],[],[],"[""Default"",""CorruptedEmperor"",""Stygian""]",[348],"[18079,7859,39541]",[104],347,[],[1220],[]
96,"mine_lightning_explosion",[769],[],[],[],"[""Default"",""CorruptedEmperor"",""Stygian""]",[350],"[18079,7859,39541]",[],347,[],[1221],[]
97,"cold_projectile_mine",[772],[],[],[],"[""Default"",""CorruptedEmperor"",""Stygian""]",[352],"[18079,7859,39541]",[107],347,[],[1222],[]
98,"poisonous_concoction","[783,775,785]",[],"[111,0]",[],"[""Default"",""Demonic"",""Alchemist""]",[419],"[18079,61278,31801]",[110],347,[],[1351],[]
99,"poisonous_concoction_wall","[783,776]",[],[],[],"[""Default"",""Demonic"",""Alchemist""]",[],"[18079,61278,31801]",[],347,[],[1351],[]
100,"poisonous_concoction_lite","[783,777]",[],[],[],"[""Default"",""Demonic"",""Alchemist""]",[],"[18079,61278,31801]",[],347,[],[1351],[]
101,"poisonous_concoction_wall_lite","[783,778]",[],[],[],"[""Default"",""Demonic"",""Alchemist""]",[],"[18079,61278,31801]",[],347,[],[1351],[]
102,"glacial_cascade","[793,797]",[],[],[],"[""Default"",""Gore"",""Arctic"",""Illusionist""]",[],"[18079,63064,59603,54759]",[],347,[],[1294],[]
103,"glacial_cascade_lite","[801,802]",[],[],[],"[""Default"",""Gore"",""Arctic"",""Illusionist""]",[],"[18079,63064,59603,54759]",[],347,[],[1294],[]
104,"glacial_cascade_old",[803],[],[],[],"[""Default"",""Dark"",""Miner"",""Chaos"",""Molten"",""Ornaments"",""Seawitch"",""Wave"",""Gemling"",""GemlingUpgraded"",""Lightning"",""AbyssBatVomit"",""Arctic"",""Illusionist"",""Stranglecharm""]",[],"[18079,5676,52447,38322,19877,35565,49065,24110,25069,719,41050,34205,59603,54759,21597]",[],347,[],"[289,290,291]",[]
105,"arc","[818,830,832]",[17],"[64,0]",[],"[""Default"",""Guardian"",""Piety"",""BreachLightning"",""PurpleMTX"",""Clockwork"",""Automaton"",""Sulphite"",""Celestial"",""BlightLightning"",""WithCurve"",""BreachLightningNew"",""HellscapeFleshFodder"",""AtlasInvadersConsumeFodder2""]",[354],"[18079,57229,56950,58664,43085,56503,3488,48680,27572,11101,57028,2612,44603,7272]",[],347,[],"[51,52,1365]",[]
106,"chronomancer","[843,844,845]",[],"[68,0,0]",[],"[""Default""]",[],[18079],[],347,[],[1353],[]
107,"flame_wall","[846,850]",[],[],[7],"[""Default"",""Stygian"",""Oblivion"",""Transcendence""]",[357],"[18079,39541,116,28088]",[],347,[],[1285],[]
108,"plague_bearer","[854,857,860,863]",[],[],[],"[""Default"",""Stygian""]","[362,366,370,374]","[18079,39541]",[],347,[],[1215],[]
109,"storm_brand","[866,869,872,875,878]","[31,0]",[],[],"[""Default"",""Automaton"",""Celestial""]",[],"[18079,3488,27572]",[],347,[],[1127],[]
110,"armageddon_brand","[881,883,885,887,889,891]",[37],[],[],"[""Default"",""UNUSED"",""Celestial""]",[],"[18079,64124,27572]",[],347,[],[1139],[]
111,"arcanist_brand","[893,895,897,899]",[39],[],[],"[""Default"",""UNUSED"",""Celestial""]",[],"[18079,64124,27572]",[],347,[],[1261],[]
112,"penance_brand","[901,903,905,907,909,911]","[41,0]",[],[],"[""Default"",""UNUSED"",""Celestial""]","[377,379]","[18079,64124,27572]",[],347,[],[1269],[]
113,"winter_brand","[913,915,917,919,921]","[45,0]",[],[],"[""Default"",""UNUSED"",""Celestial""]","[381,383,385]","[18079,64124,27572]",[],347,[],[1270],[]
114,"shield_charge","[923,928,933,938,943,948,952,957]",[],"[117,0,0,0,120]",[],"[""Default"",""UNUSED"",""Kitava"",""Tibbs"",""Misery"",""Deepwater""]",[],"[18079,64124,5816,63659,32478,57983]",[],347,[],"[10,1293,11]",[]
115,"tornado","[1116,1128,1130,1132,1134,1136,1138,1140,1142,1144,1146]",[],[],[],"[""Default"",""Shark""]",[],"[18079,39872]",[],347,[78],[1355],[]
116,"barrage_bow","[959,967,975]",[],[],[],"[""Default"",""Snipe"",""Celestial"",""Blood"",""NonStick""]",[],"[18079,61594,27572,50511,13004]",[113],347,[],[276],[]
117,"barrage_wand","[963,971,975]",[],[],[],"[""Default"",""Snipe"",""Celestial"",""Blood"",""NonStick""]",[],"[18079,61594,27572,50511,13004]",[118],347,[],[276],[]
118,"flame_dash","[977,991]",[],[140],[],"[""Default"",""Cold"",""Harbinger"",""FireIceMicro"",""Blue"",""Wasteland"",""Corsair"",""Stygian"",""Black"",""Scientist"",""Demonic"",""Nightfall"",""Siren"",""Auspicious""]",[],"[18079,13381,41619,11119,52194,53281,51220,39541,25619,64816,61278,57192,42935,45563]",[],347,[],[439],[]
119,"virulent_arrow","[992,996,1000,1004,1008,1012,1016,1020,1024]",[],[141],[],"[""Default"",""BlackLotus"",""Celestial""]",[],"[18079,33766,27572]","[122,126,130]",347,[],[1092],[]
120,"blight_channel","[1028,1033,1034,1038,1042,1047]",[],[],[],"[""Default"",""Celestial"",""Sunprism"",""Scientist"",""Project""]","[390,395]","[18079,27572,52008,64816,55295]",[],347,[],"[615,616]",[]
121,"tempest_shield","[1052,1054,1056,1058]",[49],[145],[],"[""Default"",""Celestial""]",[],"[18079,27572]",[],347,[],[134],[]
122,"wither_channelled","[1060,1067]",[],[],[],"[""Default"",""Arcane"",""Celestial"",""Sunprism"",""Scientist"",""Demonic"",""Project""]","[397,403]","[18079,47901,27572,52008,64816,61278,55295]",[],347,[],[550],[]
123,"soul_link","[1074,1075]",[51],[151],[],"[""Default""]","[405,406]",[18079],[],347,[],[1357],[]
124,"storm_blade","[1076,1078]",[],[],[],"[""Default"",""Celestial""]",[407],"[18079,27572]",[],347,[],[1356],[]
