"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","MapsKey","FlavourTextKey","AtlasNodeKeys","Tier0","Tier1","Tier2","Tier3","Tier4","f32","f32","f32","f32","f32","DDSFile","bool","NotOnAtlas"
58,1228,7285,"",454,2043,"[84,41,74,14]",8,11,15,16,16,761.215,255.893,171,-5.978,0.036,"","",""
59,1207,7241,"",436,2023,"[81,93,26,44]",11,14,16,16,16,417.216,172.483,151,1.402,-3.652,"","",""
60,1091,7233,"",329,1908,"[111,54]",8,11,15,16,16,208.948,259.429,99,0.954,-2.977,"","",""
61,1233,7328,"",459,2048,"[98,93,26,57]",9,12,16,16,16,410.078,215.15,173,21.114,0.813,"","",""
62,1138,7263,"",380,1955,"[76,105]",15,16,16,16,16,177.415,97.409,79,23.86,-0.014,"","",""
63,1159,7360,"",396,1976,"[26,44,55,6]",11,14,16,16,16,305.639,178.534,188,-11.845,5.361,"","",""
64,1099,7351,"",338,1916,"[80,78,94]",2,5,9,13,16,420.516,427.324,147,4.949,4.79,"","",""
65,1122,7348,"",365,1939,"[111,108,33]",6,9,13,16,16,204.962,327.161,139,24.597,6.238,"","",""
66,1262,7314,"",360,2064,"[37,2,109]",2,5,9,13,16,677.004,491.297,208,9.064,-12.234,"","",""
67,1115,7227,"",352,1932,"[92,24,99]",15,16,16,16,16,461.303,84.504,235,-0.434,1.547,"","",""
68,1192,7295,"",423,2008,"[82,106,88,16,57]",7,10,14,16,16,381.273,278.962,271,1.532,5.635,"","",""
69,1104,7288,"",343,1921,"[53,28,89]",3,6,10,14,16,261.507,460.779,217,11.713,-22.733,"","",""
70,1119,7247,"",356,1936,"[102,38,77]",14,16,16,16,16,303.122,115.216,212,23.596,4.01,"","",""
71,1172,7318,"",405,1988,"[98,42,47,16]",7,10,14,16,16,573.868,273.983,152,-19.915,-3.286,"","",""
72,1203,7253,"",432,2019,"[37,109,12]",2,5,9,13,16,642.142,451.676,155,2.694,-1.663,"","",""
73,1231,7325,"",457,2046,"[98,93,101,87,47]",9,12,16,16,16,573.172,213.337,211,-13.629,-5.484,"","",""
74,1107,7215,"",346,1924,"[51,101,85,47,58]",9,12,16,16,16,687.964,228.348,221,1.355,-0.478,"","",""
75,1206,7221,"",435,2022,"[98,16,57]",7,10,14,16,16,471.732,263.98,168,-2.464,-2.626,"","",""
76,1240,7341,"",466,2055,"[62,79,77]",14,16,16,16,16,202.437,114.959,174,12.132,7.267,"","",""
77,1200,7308,"",429,2016,"[70,76,44,6]",13,16,16,16,16,286.951,138.182,198,-12.205,-3.881,"","",""
78,1238,7343,"",464,2053,"[36,64]",1,4,8,12,16,462.926,423.194,96,-8.13,-9.782,"",1,""
79,1197,7278,"",427,2013,"[76,6]",13,16,16,16,16,191.475,138.353,74,13.512,-1.181,"","",""
80,1226,7311,"",452,2041,"[53,10,64]",1,4,8,12,16,422.548,493.34,112,-28.905,-31.404,"",1,""
81,1201,7262,"",430,2017,"[102,59,91]",12,15,16,16,16,472.15,143.278,128,-18.912,8.18,"","",""
82,1098,7365,"",337,1915,"[83,68,96]",6,9,13,16,16,414.221,306.299,215,-3.028,5.822,"","",""
83,1158,7366,"",395,1975,"[82,50,107,42,16]",5,8,12,16,16,504.258,326.464,228,-6.351,-1.515,"","",""
84,1105,7238,"",344,1922,"[35,85,58,32]",7,10,14,16,16,736.396,287.888,168,3.213,0.847,"","",""
85,1135,7231,"",377,1952,"[84,74,114]",8,11,15,16,16,676.466,257.072,126,13.486,9.077,"","",""
86,1227,7321,"",453,2042,"[31,104,24,45]",13,16,16,16,16,582.018,120.508,275,2.917,8.168,"","",""
87,1260,7292,"",358,2062,"[110,73,91]",10,13,16,16,16,561.716,177.8,155,5.534,0.189,"","",""
88,1117,7323,"",354,1934,"[111,33,68,96]",6,9,13,16,16,296.692,308.55,198,9.63,3.938,"","",""
89,1129,7245,"",371,1946,"[113,108,33,69]",4,7,11,15,16,265.302,392.51,162,0.8,5.662,"","",""
90,1092,7357,"",331,1909,"[20,48,112]",2,5,9,13,16,535.415,393.191,132,3.883,-3.514,"","",""
91,1254,7216,"",438,2058,"[81,93,87,45]",11,14,16,16,16,504.985,158.212,122,10.101,5.041,"","",""
92,1126,7229,"",368,1943,"[46,67]",16,16,16,16,16,561.018,75.454,220,-3.389,5.999,"","",""
93,1210,7347,"",439,2025,"[61,59,73,91]",10,13,16,16,16,475.633,192.198,227,0.584,-1.922,"","",""
94,1204,7275,"",433,2020,"[0,107,10,36,64]",3,6,10,14,16,395.872,384.597,182,11.157,11.659,"","",""
95,1242,7340,"",468,2057,"[46,8,100]",14,16,16,16,16,729.141,106.571,168,-10.672,-0.573,"","",""
96,1193,7267,"",424,2009,"[82,0,107,88]",5,8,12,16,16,345.021,336.76,176,19.957,0.334,"","",""
97,1266,7327,"",471,2068,"[52,18,35,42]",5,8,12,16,16,679.632,351.005,213,-1.206,-1.159,"","",""
98,1261,7319,"",359,2063,"[71,61,75,73]",8,11,15,16,16,503.424,231.435,226,3.031,8.142,"","",""
99,1090,7234,"",328,1907,"[67,38]",16,16,16,16,16,339.113,68.86,204,14.459,10.391,"","",""
100,1235,7312,"",461,2050,"[31,95,104,4]",13,16,16,16,16,725.915,136.26,164,-16.016,-3.392,"","",""
101,1088,7367,"",326,1905,"[110,74,73,40]",10,13,16,16,16,650.098,190.546,192,3.375,2.41,"","",""
102,1125,7226,"",367,1942,"[70,81,24,44]",13,16,16,16,16,418.601,131.86,230,-15.173,-2.449,"","",""
103,1136,7255,"",378,1953,"[2,22,30]",4,7,11,15,16,812.191,422.487,180,-25.128,-13.945,"","",""
104,1188,7306,"",419,2004,"[110,86,100,40]",12,15,16,16,16,671.995,151.701,206,-4.783,-3.498,"","",""
105,1223,7222,"",449,2038,"[62,38]",16,16,16,16,16,223.973,79.817,155,9.222,9.807,"","",""
106,1102,7315,"",341,1919,"[111,54,68,43]",8,11,15,16,16,302.731,263.775,228,-19.338,-7.56,"","",""
107,1156,7265,"",393,1973,"[83,96,94,112]",4,7,11,15,16,438.146,354.779,209,-3.33,-1.102,"","",""
108,1194,7272,"",425,2010,"[28,65,89]",5,8,12,16,16,204.652,368.266,125,16.688,7.181,"","",""
109,1222,7324,"",448,2037,"[72,52,18,66]",3,6,10,14,16,708.788,449.405,172,-24.423,-16.194,"","",""
110,1216,7236,"",444,2031,"[104,101,87,45]",11,14,16,16,16,629.126,162.608,142,-14.35,2.878,"","",""
111,1144,7350,"",384,1961,"[106,88,65,60]",7,10,14,16,16,223.487,289.784,147,23.877,-0.044,"","",""
112,1175,7369,"",407,1991,"[50,107,36,90]",3,6,10,14,16,490.783,365.783,144,4.587,6.089,"","",""
113,1178,7303,"",410,1994,"[53,0,10,89]",3,6,10,14,16,313.911,420.919,166,14.396,2.999,"","",""
114,1258,7298,"",357,2061,"[35,85,42,47]",7,10,14,16,16,658.981,291.287,188,-9.527,-8.344,"","",""
115,1243,7330,"",472,2069,[],16,16,16,16,16,0,0,0,0,0,"","",1
116,1244,7331,"",473,2070,[],16,16,16,16,16,0,0,0,0,0,"","",1
117,1246,7332,"",474,2071,[],16,16,16,16,16,0,0,0,0,0,"","",1
118,1245,7333,"",475,2072,[],16,16,16,16,16,0,0,0,0,0,"","",1
119,1248,7335,"",477,2073,[],16,16,16,16,16,0,0,0,0,0,"","",1
120,1166,9588,"",401,1983,[],5,8,12,16,16,0,0,0,0,0,"","",1
121,1124,11508,"",366,1941,[],14,16,16,16,16,0,0,0,0,0,"","",1
