"rownum","Id","MonsterVarietiesKey","Buff_BuffDefinitionsKey","Buff_StatValues","OTFile","[i32]"
90,"GargoylesNormal_Lightning",4733,629,[12],"",[]
91,"GargoylesNormal_Fire2",4738,634,"[-20,500,667]","","[-20,500,0]"
92,"GargoylesNormal_Cold2",4737,632,"[20,20,500,667]","","[20,20,500,0]"
93,"GargoylesNormal_Lightning2",4736,630,"[12,500,667]","","[12,500,0]"
94,"GargoylesCruel_Fire",4735,633,[-20],"",[]
95,"GargoylesCruel_Cold",4734,631,"[20,20]","",[]
96,"GargoylesCruel_Lightning",4733,629,[20],"",[]
97,"GargoylesCruel_Fire2",4738,634,"[-20,500,667]","","[-20,500,0]"
98,"GargoylesCruel_Cold2",4737,632,"[20,20,500,667]","","[20,20,500,0]"
99,"GargoylesCruel_Lightning2",4736,630,"[20,500,667]","","[20,500,0]"
100,"GargoylesMerciless_Fire",4735,633,[-20],"",[]
101,"GargoylesMerciless_Cold",4734,631,"[20,20]","",[]
102,"GargoylesMerciless_Lightning",4733,629,[20],"",[]
103,"GargoylesMerciless_Fire2",4738,634,"[-20,500,667]","","[-20,500,0]"
104,"GargoylesMerciless_Cold2",4737,632,"[20,20,500,667]","","[20,20,500,0]"
105,"GargoylesMerciless_LIghtning2",4736,630,"[20,500,667]","","[20,500,0]"
106,"GargoylesEndgame_Fire",4735,633,[-25],"",[]
107,"GargoylesEndgame_Cold",4734,631,"[30,30]","",[]
108,"GargoylesEndgame_Lightning",4733,629,[20],"",[]
109,"GargoylesEndgame_Fire2",4738,634,"[-25,500,667]","","[-25,500,0]"
110,"GargoylesEndgame_Cold2",4737,632,"[30,30,500,667]","","[30,30,500,0]"
111,"GargoylesEndgame_Lightning2",4736,630,"[20,500,667]","","[20,500,0]"
112,"ChronoStatues1_1",4749,"",[],"",[]
113,"ChronoStatues1_2",4750,"",[],"",[]
114,"ChronoStatues1_3",4751,"",[],"",[]
115,"ChronoStatues2_1",4752,650,"[500,667]","","[500,0]"
116,"ChronoStatues2_2",4753,650,"[500,667]","","[500,0]"
117,"ChronoStatues2_3",4754,650,"[500,667]","","[500,0]"
118,"Pedestals1_1",4755,639,[10],"",[]
119,"Pedestals1_2",4756,637,[25],"",[]
120,"Pedestals1_3",4757,635,[10],"",[]
121,"Pedestals2_1","",640,"[20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot","[20,500,0]"
122,"Pedestals2_2","",638,"[20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot","[20,500,0]"
123,"Pedestals2_3","",636,"[20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot","[20,500,0]"
