"rownum","Id","ImplicitStats","ConstantStats","ConstantStatsValues","BaseEffectiveness","IncrementalEffectiveness"
32,"MonsterSplitFireballSpectre","[1114,499]",[660],[-50],0.9556,0.0394
33,"MonsterLesserMultiFireball",[499],"[660,173]","[-50,1]",0.8889,0.0394
34,"MonsterLesserMultiFireballSpectre",[499],"[660,173]","[-50,1]",0.8889,0.0394
35,"MonsterFireballGoatmanBoss","[499,7084,4581,5829]",[1789],[30],1.0222,0.0339
36,"MonsterFireballVaalSummonedSkeleton",[499],[660],[-50],0.9749,0.0475
37,"PyroFireball",[499],[660],[-50],1.1889,0.0394
38,"PyroFireballInvasion",[],[660],[-50],1.1889,0.0394
39,"BloodlinesYellowElementalPyroFireball",[499],"[660,2120,2121,2122,2471]","[-50,8,800,30,-15]",0.4467,0.034
40,"PyroFireballBossSideArea",[499],"[660,216]","[-50,120]",1.0222,0.0394
41,"PyroChaosFireball",[499],[660],[-50],1.3556,0.0285
42,"WbAnimatedItemChaosFireball","[499,2472,12428]","[1486,2120,2121,2122,1211]","[35,3,700,20,-60]",1.3556,0.0285
43,"GladiatorBossFireball",[499],"[660,173]","[-50,2]",0.9444,0.048
44,"ExileFireball",[499],[660],[-50],0.9444,0.048
45,"GemlingFireball",[499],"[660,611,173]","[-50,100,2]",0.7778,0.04
46,"ProphecyDragonFireball",[499],"[660,175,173,5755]","[-50,-50,2,75]",1.7778,0.0414
47,"FrostfireMageDragonFireball",[499],"[660,175,173,5755]","[-50,-50,2,75]",1.7778,0.0414
48,"WestFireball","[499,4581,7084,5829]","[173,1211,175]","[2,150,-70]",3,0.0414
49,"KitavaClericFireball",[499],"[660,175,611,5755]","[-50,20,25,50]",1.7778,0.041
50,"MetamorphKitavaClericFireballVaal",[499],"[2120,2121,2122,1789,5755]","[32,2000,-720,40,50]",1.7778,0.041
51,"MonsterFireballRepeat",[499],[660],[-50],1.1889,0.0394
52,"ReliquaryMonsterFireball","[499,195]","[2120,2121,2122,2471,1789,209,5755]","[3,65,30,-15,80,167,-40]",3.8889,0.04
53,"FireballIncusionFire",[499],[660],[-40],0.9722,0.05
54,"FireballIncusionLightning",[499],[660],[-40],1.0938,0.05
55,"FireballIncursionChaos",[499],[660],[-40],2,0.025
56,"FireballTaowuDash","[499,4581,195]","[7808,5755]","[150,300]",6.2,0.04
57,"FireballTaowuCombo","[499,4581]",[],[],2.33,0.038
58,"IceNova",[618],"[8402,8478]","[2,-20]",1.6555,0.0436
59,"IceNovaRoyale",[618],"[8402,8478]","[2,-20]",1.76,0.0364
60,"BloodNovaStrIntBoss",[618],"[2696,5755]","[-25,15]",1.7727,0.042
61,"IceNovaOnDamageTakenInvasion","[618,6538]","[1843,1844,2696]","[100,35,-25]",1.7727,0.042
62,"IceNovaOnHitCannibalMaleMapBoss",[618],"[2390,5755]","[100,73]",1.7727,0.042
63,"IceNovaOnDeathWaterElemental","[618,1827,1947,9880]","[1781,2696,5755]","[100,-25,15]",1.7727,0.042
64,"IceNovaOnDeathStrMission","[618,1827,1947]","[1781,2696,5755]","[100,-25,15]",2.7273,0.03
65,"DarkSeawitchIceNova",[618],"[2696,5755]","[-25,246]",1.7727,0.042
66,"ProphecyBloodNova",[618],"[2696,5755]","[-25,27]",1.95,0.042
67,"VaalIceNova","[618,9531]","[2124,2125]","[5,-20]",1.7987,0.0364
68,"TormentSpiritVaalIceNova","[618,9880]","[2124,2125,2696,5755]","[5,-20,-25,15]",1.5,0.042
69,"StrMissionIceNovaTotem","[618,1929,9880]","[214,216,2696,5755]","[4,100,-25,73]",1.2727,0.0455
70,"WbIceNova","[618,9880]","[2696,5755]","[-25,73]",1.2727,0.0455
71,"GhostIceNova",[618],"[216,2696,5755]","[-40,-25,56]",2.7273,0.035
72,"EssenceDaemonIceNovaRepeat",[618],"[2696,5755]","[-25,73]",1.2727,0.0455
73,"ProphecyIceNovaTotems","[618,1785,855]","[861,863,1221]","[8000,50,5]",0.9727,0.0333
74,"TotemMapBossIceNovaTotems","[618,1785,855]","[861,863,2225]","[8000,50,6]",0.9727,0.0333
75,"IceNovaTrapSideAreaBoss","[1783,618,330,7935,5854,2559]","[868,1211,1179,2696]","[6000,-40,9,-25]",1.8182,0.034
76,"IceNovaWaterElementalMap",[618],"[2696,8402,5755]","[-25,1,15]",1.0873,0.034
77,"IceNovaWaterElemental","[12555,618]","[2696,5755]","[-25,15]",0.8364,0.0304
78,"IceNovaWaterElementalHellscape","[12555,618]",[5755],[15],0.8364,0.0304
79,"IceNovaWaterElementalMetamorphosis",[618],"[2696,5755]","[-25,15]",0.8364,0.0304
80,"IceNovaWaterElementalInvasion",[618],"[2696,5755]","[-25,15]",0.8364,0.0304
81,"MonsterTotemIceNova","[9880,618]","[2696,5755]","[-25,15]",0.9727,0.0333
82,"PopUpTotemIceNova","[9880,618]","[2696,216,5755]","[-25,30,15]",1.4545,0.052
83,"WbIceNovaSupport",[618],"[2696,5755]","[-25,15]",0.9727,0.0333
84,"WbIceNovaSupport2","[618,1846]","[357,2696,5755]","[4000,-25,15]",0.9727,0.0333
85,"TotemBossTeamAAtollIceNovaChilledGround","[618,1846]","[357,2696,4808,8402,5755]","[4000,-25,100,1,62]",2.9455,0.06
86,"IzaroDaemonIceNova",[618],"[2696,5755]","[-25,15]",1.3636,0.035
87,"TempestDaemonIceNova",[618],"[2696,5755]","[-25,15]",4.5,0.06
88,"ShrineIceNova","[618,1846,9880]","[357,2696,5755]","[4000,-25,15]",0.9727,0.0333
89,"ShrineIceNovaPlayer","[618,1846,9880]","[357,2696,5755]","[4000,-25,15]",0.9727,0.0333
90,"EssenceDaemonIceNova","[618,1846,855,1785]","[357,2696,861,882,5755]","[4000,-25,10000,20,15]",0.9727,0.0333
91,"WestIceNovaDaemon","[618,1326,1929]","[357,5755]","[1500,15]",1.5,0.038
92,"WestIceNovaAttachedDaemon","[618,1326,1929]","[357,5755]","[1500,50]",2.5,0.04
93,"WestIceNovaTriggered","[618,1929,110]","[594,5755]","[10,125]",0.9313,0.05
94,"ChestIceNova","[618,1846]","[357,2696]","[6000,-25]",3.1818,0.062
95,"VaalIncursionIceNova",[618],[5755],[73],3.1818,0.062
96,"LeapSlam","[618,3578,9865]",[8562],[550],0,0
97,"LeapSlamHardMode","[618,3578,9865]",[8562],[550],0,0
98,"LeapSlamRoyale","[618,3578,9865]",[8562],[1200],0,0
99,"DarkExileLeapSlam","[618,1113]","[479,26]","[24,68]",0,0
100,"KaomLeapSlam","[618,1113]","[634,611,1100,1921,5755]","[50,100,100,-53,40]",0,0
101,"Sweep","[618,9612,110]",[],[],0.67,0.0233
102,"SweepRoyale","[618,9612,110]",[],[],0.67,0.023
103,"VaalSweep","[110,618,1113]","[220,2294,1921]","[10,60,50]",0,0
104,"ExileSweep","[618,1113]",[],[],0,0
105,"WbLightningEliteSweep","[618,1113]","[479,26,70,1102,5755]","[100,24,40,50,25]",0,0
106,"BanditSweep","[618,1113]","[2696,5755]","[-20,-16]",0,0
107,"SkeletonBossCrossroadsSweep","[618,1113]","[2696,1101,5755]","[-20,40,-16]",0,0
108,"ExileVaalGroundSlam","[197,110,618]","[26,634,402,1301]","[29,50,100,-1]",0,0
109,"GladiatorBossEliteVaalGroundSlam","[110,618,2661]","[26,634,402,1301,5755]","[-15,-20,200,-1,40]",0,0
110,"WbVaalGroundSlam","[197,110,618]","[634,402,1301]","[50,100,-1]",0,0
111,"DarkExileVaalGroundSlam","[197,110,618]","[26,634,402,1301,214,70]","[29,20,50,-1,1,80]",0,0
112,"BullBossVaalGroundSlam","[197,110,618]","[634,402,1921,341]","[36,300,-25,150]",0,0
113,"RockGolemSlam",[618],"[1921,3410,5755]","[-20,33,200]",0,0
114,"RockGolemMonsterSlam",[618],"[1921,3410,5755]","[-20,33,200]",0,0
115,"RockGolemSlamTriggered1",[618],"[1921,3410,5755]","[-20,33,60]",0,0
116,"RockGolemSlamTriggered2",[618],"[1921,3410,5755]","[-20,33,90]",0,0
117,"RockGolemSlamTriggered3",[618],"[1921,3410,5755]","[-20,33,120]",0,0
118,"RockGolemSlamTriggered4",[618],"[1921,3410,5755]","[-20,33,150]",0,0
119,"RockGolemSlamTriggered5",[618],"[1921,3410,5755]","[-20,33,180]",0,0
120,"RockGolemSlamTriggered6",[618],"[1921,3410,5755]","[-20,33,210]",0,0
121,"ScorpionBurrowSlam",[618],[634],[-80],0,0
122,"GoatmanMonsterSlam",[618],"[1921,5755]","[-20,200]",0,0
123,"RockGolemSlamMinotaur",[618],"[1921,5755]","[-20,200]",0,0
124,"CoralGolemSlam",[618],"[1921,5755]","[-20,200]",0,0
125,"DemonModularSlam",[618],"[1921,5755]","[-20,100]",0,0
126,"BestiaryBeastMonsterSlam",[618],"[1921,3410,5755]","[-20,33,200]",0,0
127,"SentinelHolySlam",[618],"[1921,5755]","[-33,100]",0,0
128,"SentinelHolySlamBloodGuard",[618],"[1921,5755]","[-33,100]",0,0
129,"SentinelHolySlamFaithGuard",[618],"[1921,5755]","[-33,100]",0,0
130,"SentinelHolySlamCelestial",[618],"[1921,5755]","[-33,100]",0,0
131,"SentinelHolySlamCelestialDominating",[618],"[1921,5755]","[-33,100]",0,0
132,"SentinelHolySlamDemonic",[618],"[1921,5755]","[-33,100]",0,0
133,"SentinelHolySlamEmpyrean",[618],"[1921,5755]","[-33,100]",0,0
134,"SentinelHolySlamPolarisWhite",[618],"[1921,5755]","[-33,100]",0,0
135,"SentinelHolySlamDragonHunter",[618],"[1921,5755]","[-33,100]",0,0
136,"BetrayalSentinelUnholySlam",[618],"[1921,5755]","[-33,80]",0,0
137,"DjinnSlam",[618],[5755],[200],0,0
138,"GroundSlamBrute","[197,618]","[70,634,2696]","[-33,80,-30]",0,0
139,"GroundSlamStatue",[618],"[108,634]","[35,50]",0,0
140,"GroundSlamStatueInvasion",[618],"[108,634]","[35,50]",0,0
141,"BloodlinesMudElementalGroundSlam",[618],"[634,1921,5755]","[20,-55,200]",0,0
142,"BloodlinesBloodElementalBloodGroundSlam","[618,2360]","[634,1921]","[-30,-55]",0,0
143,"ProphecyBloodGroundSlam",[618],"[634,1921]","[-30,-55]",0,0
144,"ExileGroundSlam",[],"[108,634,1251,1238,5755]","[15,-20,4,150,40]",0,0
145,"AxisBossGroundSlam",[618],[],[],0,0
146,"DropBearSummonedGroundSlam",[618],[],[],0,0
147,"ShieldCrabGroundSlam",[618],"[108,5755]","[15,-30]",0,0
148,"WbGroundSlam",[],"[108,634,5755]","[15,-20,40]",0,0
149,"WbGroundSlamFireElite",[],"[108,634,1251,1238,5755]","[15,-20,4,150,40]",0,0
150,"ProphecyZombieGroundSlam",[618],"[108,634,5755]","[15,-20,40]",0,0
151,"KaruiSpiritGroundSlam",[618],"[108,634,5755]","[15,-20,40]",0,0
152,"TalismanGroundSlam",[618],"[1921,5755]","[-55,150]",0,0
153,"DarkExileGroundSlam",[],"[108,634,1251,1238,5755]","[15,-20,4,100,20]",0,0
154,"BestiaryKiwethGroundSlam","[618,618]","[108,634]","[35,50]",0,0
155,"KaomWarriorGroundSlam",[618],"[108,634]","[10,20]",0,0
156,"KaomWarriorGroundSlamSynthesis",[618],"[108,634,1921]","[10,20,-35]",0,0
157,"HellionGreustGroundSlam","[618,195]","[3438,1100,1921,5755]","[-50,50,-35,20]",0,0
158,"GroundSlamBeast","[618,12555]","[108,7718,5755]","[25,20,10]",0,0
159,"GroundSlamFormosanBeastiary",[618],"[108,634,1921]","[10,15,-23]",0,0
160,"AbyssBoneHuskSpellNova",[618],[5755],[-50],2,0.03
161,"AbyssUndyingSpellNova",[618],[5755],[-50],1.5,0.033
162,"BestiaryChimeraSpiritSpellNova",[618],[5755],[-50],1.5,0.033
163,"AbyssLichBoss2SpellNova",[618],"[2696,5755]","[-30,-20]",1.25,0.04
164,"Cleave","[618,1117,9612]",[1905],[-40],0.67,0.0233
165,"CleaveRoyale","[618,1117,9612]",[1905],[-20],0.67,0.0233
166,"MonsterCleave","[618,1117]","[1905,26,2696]","[-40,31,-20]",0,0
167,"MonsterCleaveWithEffect","[618,1117]","[1905,26,2696]","[-40,31,-20]",0,0
168,"VaalSideAreaBossVendigoCleave","[618,1117]","[1905,26,2696]","[-40,31,-20]",0,0
169,"TaniwhaCleave",[618],[],[],0,0
170,"BreachBossCleavePhysical",[618],[],[],0,0
171,"WbCleave","[618,1117]",[1905],[-40],0,0
172,"WbChaosLeaderCleave","[618,1117]","[1905,1301]","[-40,1]",0,0
173,"BeastCleave","[618,1117]","[1905,26,70]","[-40,31,-30]",0,0
174,"ExileCleave","[618,1117]","[1905,1301]","[-40,1]",0,0
175,"ExileCleaveStun","[618,1117]","[1905,108]","[-40,30]",0,0
176,"KitavaDemonCleave","[618,1117]","[3628,6039,1921]","[100,-44,-25]",0,0
177,"VultureBossCleave","[618,1117,693,2647]","[1921,634,660,5755]","[-44,80,-35,120]",0,0
178,"BanditBearCleave","[618,1117]","[1905,26,2696]","[-40,35,-20]",0,0
179,"ArakaaliCleave",[],"[2696,5755]","[-25,100]",0,0
180,"UnholyTrioCleave","[618,2647]","[1921,660,2696,5755]","[-30,20,-30,20]",1,0
181,"AbyssLichCleave","[618,2647]","[1921,660,2696]","[-38,-10,-50]",1,0
182,"BestiaryLynxCleave","[618,1117]","[1905,26,2696]","[-40,35,-20]",0,0
183,"HeraldOfAgonyMinionCleave","[618,12428]",[5755],[30],1,0
184,"LegionEternalEmpireMeleeCleave","[618,3814]",[1921],[-44],1,0
185,"NewShieldCharge","[1848,618,9873,9882]","[4101,472]","[75,100]",1.78,0.0173
186,"NewShieldChargeHardMode","[1848,618,9873,9882]","[4101,472]","[75,100]",1.78,0.0173
187,"NewShieldChargeRoyale","[1848,618,9873,9882]","[4101,472,5354,5355]","[75,100,5,7]",2,0.0178
188,"ShieldCharge","[1848,1996]","[470,634]","[200,-50]",0,0
189,"RhoaShieldCharge","[1848,693]","[470,463,464]","[50,30,41]",0,0
190,"RhoaTableChargeTaunt","[1848,693]","[470,472]","[50,50]",0,0
191,"RhoaShieldChargeTaunt","[1848,693]","[470,472,463,464]","[50,50,30,41]",0,0
192,"RhoaShieldChargeTauntHarvest","[1848,693]","[470,463,464]","[50,20,41]",0,0
193,"RhoaShieldChargeTauntUnique","[1848,693]","[470,472,463,464]","[100,100,20,62]",0,0
194,"HarvestBearBossChargeNear","[1848,2972,625,2646]","[177,472,463]","[30,50,50]",0,0
195,"HarvestBearBossChargeMediumNear","[1848,2972,625,2646]","[177,472,463]","[30,50,25]",0,0
196,"HarvestBearBossChargeFar","[1848,2972,625,2646]","[177,472]","[30,50]",0,0
197,"HarvestBeastCharge","[1848,2972,625,2646]","[177,472,463,402]","[215,50,20,50]",0,0
198,"BestiaryRhoaShieldCharge","[1848,693]","[470,472,463,464]","[90,70,30,41]",0,0
199,"SpectralSkullShieldCharge",[1848],"[470,177,472,634]","[200,500,300,-50]",0,0
200,"RhoaMapBossShieldCharge",[1848],"[470,472,463,464]","[90,30,30,41]",0,0
201,"AxisShieldCharge","[1848,693]","[177,4101,463,1230]","[120,50,-10,-10]",0,0
202,"DominatingBlowMinionCharge","[1848,693]","[4101,177,472,5755]","[25,400,30,-40]",0,0
203,"BetrayalElreonMinionCharge","[1848,693]","[4101,177,472,5755]","[25,400,30,-40]",0,0
204,"RhoaShieldChargeInvasion",[1848],"[470,472,463,464]","[90,70,30,41]",0,0
205,"RhoaShieldChargeUntainted","[1848,625]","[470,472,463,464]","[90,70,90,62]",0,0
206,"GuardianShieldCharge","[1183,1848]","[177,472,463]","[70,35,30]",0,0
207,"AnimatedBustShieldCharge",[1848],"[4101,177,472,70,463]","[50,100,20,10,10]",0,0
208,"ExileShieldCharge",[1848],"[4101,177,463]","[50,50,10]",0,0
209,"ExileShieldChargeWeak",[1848],"[177,472,70,463]","[50,25,10,10]",0,0
210,"ExileShieldChargeKitava",[1848],"[4101,177,472,70,447,463]","[50,50,65,20,15,10]",0,0
211,"VaganShieldCharge",[1848],"[4101,177,463]","[50,50,10]",0,0
212,"ProphecyRhoaShieldCharge",[1848],"[4101,177,449,463]","[50,100,15,41]",0,0
213,"SummonedRhoaShieldCharge",[1848],"[4101,177,472,70,449]","[50,100,10,20,15]",0,0
214,"BoarBanditShieldCharge",[1848],"[4101,177,463]","[50,100,10]",0,0
215,"AnimalPackShieldCharge",[1848],"[4101,177,472,70,463]","[50,100,50,25,15]",0,0
216,"TemplarShieldCharge",[1848],"[4101,177,472,70,463,2760]","[50,50,20,15,15,100]",0,0
217,"TemplarCultistShieldCharge",[1848],"[4101,177,472,70,463,5416]","[50,50,20,15,15,50]",0,0
218,"AnimatedShieldShieldCharge",[1848],"[4101,177,472,70,463]","[100,75,20,15,10]",0,0
219,"InvisibleDaemonShieldCharge","[1183,625]","[177,463,464]","[50,50,50]",0,0
220,"HeistMilitaryEliteShieldCharge","[1848,693]","[177,470,463]","[62,50,15]",0,0
221,"HeistMilitaryMinibossShieldCharge","[1848,693]","[177,470,463]","[-50,50,30]",0,0
222,"SanctumMilitaryShieldCharge","[1848,693]","[177,470,463,16991]","[-50,50,30,30]",1,0
223,"HeistRoboDogCharge","[1848,693]","[177,470,463]","[104,50,20]",0,0
224,"SpikerBullCharge","[1848,693,110,618]","[177,470,472,463,402,10664,634]","[87,50,50,100,500,300,-50]",0,0
225,"SpikerBullChargePast","[1848,693,110,618,625]","[177,470,472,463,402,10664,634]","[87,50,50,100,500,300,-50]",0,0
226,"ReaperWraithCharge","[1848,2972]",[177],[366],0,0
227,"EnduringCry","[2972,9531,12105]","[316,142,446,357]","[5,2,2,2000]",0,0
228,"EnduringCryRoyale","[2972,9531,12105]","[316,142,446,357]","[5,2,2,2000]",0,0
229,"ExileEnduringCry",[],"[12300,357,451]","[2,1000,600]",0,0
230,"MonsterEnduringCry",[],"[12300,357,451]","[2,1000,600]",0,0
231,"EnduringCryBanditMapBoss",[],"[316,357,125,214]","[300,1000,1000000,20]",0,0
232,"MonsterEnduringCryInvasion",[],"[12300,357,451]","[2,1000,600]",0,0
233,"WbEnduringCry",[],"[12300,357,451]","[2,1000,600]",0,0
234,"ProphecyEnduringCry",[],"[12300,357,451]","[2,1000,600]",0,0
235,"BeastEnduringCry",[],"[12300,357,451]","[2,1000,600]",0,0
236,"WestEnduringCry",[],"[12300,357,451,5755]","[2,1000,600,200]",0,0
237,"DoubleStrike",[],"[1115,3628]","[1,25]",1,0.0233
238,"MonsterDoubleStrike",[],[1115],[1],0,0
239,"AxisDoubleStrike",[],[634],[-40],0,0
240,"AxisDoubleStrikeTrigger",[],[1115],[1],0,0
241,"MonsterDoubleStrikeKitavaCleric",[],[1115],[1],0,0
242,"WbDoubleStrike",[],"[26,1115]","[-15,1]",0,0
243,"AbyssLich2DoubleStrike",[],"[1115,1921]","[1,-48]",0,0
244,"BestiaryTigerSpiritBossDoubleStrike",[],"[1115,1921]","[1,-75]",1,0
245,"ElementalHit","[849,850,7924,7925,7997]",[],[],2.8242,0.0314
246,"ElementalHitRoyale","[849,850,7924,7925,7997]",[5755],[30],3.5624,0.0314
247,"ElementalHitSkeletonKnight","[849,850,12555,4581,7084,618]",[1873],[50],1.1667,0.0428
248,"ElementalHitSkeletonKnightIncursion","[849,850,12555,4581,7084,618]",[1873],[25],1,0
249,"ElementalHitSkeletonKnightInvasion","[849,850,12555,4581,7084,618]",[1873],[25],1.1667,0.0428
250,"ExileElementalHit",[849],[],[],0.9333,0.0428
251,"ExileElementalHitLightning","[618,849,850,7918,7917]","[173,1873]","[2,25]",0.9333,0.0428
252,"CitystalkerElementalHit",[618],[1873],[25],0.9333,0.0428
253,"MachinariumElementalHitFire","[618,849,850,7918,7919,12555]",[1873],[25],1,0
254,"MachinariumElementalHitCold","[618,849,850,7917,7919,12555]",[1873],[25],1,0
255,"MachinariumElementalHitLightning","[618,849,850,7917,7918,12555]",[1873],[25],1,0
256,"ExileElementalHitBarrage","[849,10549]",[],[],0.723,0.0316
257,"ImmortalCall","[2972,9850,13206]","[9380,361,357]","[-1500,20,1000]",0,0
258,"ExileImmortalCallOnDamageTaken",[6538],"[357,703,1843]","[250,600,100]",0,0
259,"VaalImmortalCall","[2116,2972,8023,8718]",[357],[400],0,0
260,"ImmortalCallOak",[],[357],[1000],0,0
261,"ExileImmortalCall",[],[],[],0,0
262,"WbImmortalCall",[],[],[],0,0
263,"DualStrike",[1117],"[9765,9766]","[100,30]",0,0
264,"DualStrikeRoyale",[1117],"[9765,9766]","[100,30]",0,0
265,"BanditDualStrike",[1117],"[26,634]","[41,-10]",0,0
266,"ExileDualStrike",[1117],"[26,634]","[6,-10]",0,0
267,"WbDualStrike",[1117],[634],[-40],0,0
268,"PerandusDualStrike","[1117,3814]",[634],[-40],0,0
269,"MonsterDemonDualStrike",[1117],"[26,634]","[6,53]",0,0
270,"DemonDualStrikeSideAreaBoss",[1117],"[26,634]","[6,53]",0,0
271,"MonsterDualStrikePitbull",[1117],[634],[-10],0,0
272,"MonsterDualStrikePitbullBleed",[1117],"[3628,6039,1921]","[100,-44,-25]",0,0
273,"HarvestSpiderDualStrike","[1117,1113,12428]","[1230,1103]","[6,25]",0,0
274,"WhirlingBlades","[1848,1996]","[8562,1301]","[600,-1]",0,0
275,"WhirlingBladesHardMode","[1848,1996,3814]","[8562,1301]","[600,-1]",0,0
276,"WhirlingBladesRoyale","[1848,1996]","[8562,1301]","[1500,-1]",0,0
277,"ExileWhirlingBlades","[1848,1996]","[26,634]","[6,-30]",0,0
278,"WbWhirlingBlades","[1848,1113]",[634],[-30],0,0
279,"PerandusWhirlingBlades","[1848,1113]",[634],[-30],0,0
280,"VaganWhirlingBlades","[1848,1996]","[26,634]","[6,-50]",0,0
281,"PurgeHoundWhirlingBlades",[1848],[],[],0,0
282,"DarkExileWhirlingBlades","[1848,1996]","[26,634,1921]","[6,-30,100]",0,0
283,"UndyingWhirlingBlades","[1113,1848]","[634,871]","[-40,1]",0,0
284,"UndyingWhirlingBladesInvasion","[1113,1848]","[634,871]","[-40,1]",0,0
285,"FireMonsterWhirlingBlades","[1113,1848]","[357,70,871]","[6000,-50,1]",1.0889,0.0646
286,"FireMonsterWhirlingBladesInvasion","[1113,1848]","[357,70,871]","[6000,-50,1]",1.0889,0.0646
287,"MossMonsterWhirlingBlades","[1113,1848]","[1718,70,871]","[1,-50,1]",2.14,0.0475
288,"MossMonsterWhirlingBladesUnique","[1113,1848]","[1718,70,871]","[1,-50,1]",2.14,0.0475
289,"MossMonsterWhirlingBladesInvasion","[1113,1848]","[1718,70,871]","[1,-50,1]",2.14,0.0475
290,"RockGolemWhirlingBlades","[1113,1848]","[1718,1921,871]","[1,-50,1]",0,0
291,"RockGolemMinionWhirlingBlades","[1113,1848]","[1718,1921,871]","[1,-25,1]",0,0
292,"CorpseWheelWhirlingBlades","[1113,1848]","[1718,1921,871]","[1,-50,1]",0,0
293,"KitavaDemonWhirlingBlades","[1113,1848]","[357,871]","[6000,1]",2.6667,0.0625
294,"PlaguewingWhirlingBlades","[1113,1848]","[357,871,4590]","[6000,1,2]",1.7333,0.04
295,"AbyssMineBatWhirlingBlades","[1113,1848]","[357,871,4590]","[6000,1,2]",1.7333,0.04
296,"NessaCrabWhirlingBlades","[1848,1996,1113,2360]","[1718,871]","[1,2]",1,0
297,"ElderGuardianWhirlingBlades","[1848,1113]",[1921],[-35],0.98,0.0646
298,"ExpeditionWhirlingBlades","[1113,1848]","[871,1718,2601]","[1,3,20]",1,0
299,"VilentaDash","[1848,1113]",[1921],[50],0.98,0.0646
300,"VilentaDashMap","[1848,1113]","[1921,634]","[50,-30]",0.98,0.0646
301,"DelveProtoVaalDash","[1848,1113]","[1921,1101]","[-60,75]",0.98,0.0646
302,"ElderGuardianWhirlingBladesBarrage","[1848,1113,3814,2360]",[1921],[-72],0.98,0.0646
303,"BetrayalVoriciCloneDash","[1848,1113]",[],[],1,0
304,"BoneGolemWhirl","[1848,1113]",[660],[-40],1,0
305,"HeistRobotClockworkRoll","[1848,1113]",[],[],1,0
306,"HeistCultistUnarmedLeap","[1848,1113]",[1718],[2],1,0
307,"DrakelingWhirlingBlades","[1848,1113]",[660],[10],1,0
308,"Frenzy","[849,850]","[9770,9771]","[5,5]",0,0
309,"MonsterFrenzy","[849,850]","[365,364,636]","[20,5,20]",0,0
310,"BanditLeaderFrenzyMapBoss","[849,850]","[365,364,636]","[12,5,20]",0,0
311,"ExileFrenzy",[849],"[365,364,636]","[10,10,10]",0,0
312,"WbFrenzy",[849],"[365,364,636]","[10,10,10]",0,0
313,"WbFrenzyFortify",[849],"[365,364,636,2760,2952]","[10,10,10,100,25]",0,0
314,"DetonateDead",[618],[],[],4.03,0.0317
315,"DetonateDeadRoyale",[618],[16462],[60],2.67,0.0317
316,"TormentSpiritVaalDetonateDead","[1635,2183,618]","[344,2696,5755]","[1,-25,-18]",1.5111,0.0143
317,"BeyondDemonVaalDetonateDead",[618],"[344,2696,5755]","[1,-25,-18]",0.8889,0.037
318,"MonsterVaalDetonateDeadInvasion","[618,7298,7299,7300]","[344,2696,5755]","[1,-25,-18]",1.1111,0.025
