"rownum","string","[string]","i32"
128,"shield_charge_shield","[""""]",2
129,"shield_charge_shield","[""""]",3
130,"shield_charge_shield","[""""]",4
131,"shield_charge_shield","[""""]",5
132,"shield_charge_shield_fadein","[""""]",0
133,"shield_charge_shield_fadein","[""""]",2
134,"shield_charge_shield_fadein","[""""]",3
135,"shield_charge_shield_fadein","[""""]",4
136,"shield_charge_shield_fadein","[""""]",5
137,"shield_charge_shield_fadeout","[""""]",0
138,"shield_charge_shield_fadeout","[""""]",2
139,"shield_charge_shield_fadeout","[""""]",3
140,"shield_charge_shield_fadeout","[""""]",4
141,"shield_charge_shield_fadeout","[""""]",5
142,"flame_dash_epk","[""""]",11
143,"virulent_arrow_epk","[""椀渀开猀琀爀椀欀攀开搀愀猀栀""]",0
144,"virulent_arrow_epk","[""in_strike_dash""]",1
145,"virulent_arrow_epk","[""n_strike_dash""]",2
146,"virulent_arrow_epk","[""਀""]",3
147,"tempest_shield_shield","[""渀开猀琀爀椀欀攀开搀愀猀栀""]",0
148,"tempest_shield_shield","[""\u0000\n""]",1
149,"tornado_shot_epk","[""开猀琀爀椀欀攀开搀愀猀栀""]",0
150,"tornado_shot_epk","[""开猀琀爀椀欀攀开搀愀猀栀""]",2
151,"tornado_shot_epk","[""ke_dash""]",3
152,"tornado_shot_epk","[""开猀琀爀椀欀攀开栀椀琀""]",4
153,"soul_link","[""trike_dash""]",0
154,"flame_link","[""爀椀欀攀开搀愀猀栀""]",0
155,"remora_link","[""rike_dash""]",0
156,"bulwark_link","[""椀欀攀开搀愀猀栀""]",0
157,"trigger_link","[""ike_dash""]",0
158,"critical_link","[""欀攀开搀愀猀栀""]",0
159,"expanding_fire_cone_epk","[""攀开搀愀猀栀""]",1
160,"crackling_lance_sparkle_boi_first_stage_epk","[""pon_left""]",0
161,"crackling_lance_sparkle_boi_first_stage_epk","[""\u0000ŭ""]",1
162,"crackling_lance_sparkle_boi_first_stage_epk","[""_dash""]",2
163,"crackling_lance_sparkle_boi_second_stage_epk","[""漀渀开氀攀昀琀""]",0
164,"crackling_lance_sparkle_boi_second_stage_epk","[""洀\u0001""]",1
165,"crackling_lance_sparkle_boi_second_stage_epk","[""搀愀猀栀""]",2
166,"crackling_lance_sparkle_boi_third_stage_epk","[""on_left""]",0
167,"crackling_lance_sparkle_boi_third_stage_epk","[""ŭ""]",1
168,"crackling_lance_sparkle_boi_third_stage_epk","[""dash""]",2
169,"crackling_lance_sparkle_boi_fourth_stage_epk","[""渀开氀攀昀琀""]",0
170,"crackling_lance_sparkle_boi_fourth_stage_epk","[""\u0001""]",1
171,"crackling_lance_sparkle_boi_fourth_stage_epk","[""愀猀栀""]",2
172,"crackling_lance_on_hit_epk","[""挀爀礀开眀攀愀瀀漀渀开氀攀昀琀""]",0
173,"crackling_lance_on_hit_epk","[""""]",1
174,"crackling_lance_on_hit_epk","[""开搀愀猀栀""]",2
175,"molten_shell_shell_epk","[""""]",4
176,"bubble_shield_hit","[""琀爀椀欀攀开栀椀琀""]",0
177,"hydrosphere_revert_epk","[""""]",0
178,"hydrosphere_revert_epk","[""开栀椀琀""]",1
179,"slither_wither","[""ጀ""]",0
180,"slither_wither","[""e_cry_weapon_right""]",1
181,"laser_spears_spear_glow","[""strike_hit""]",0
182,"boneshatter_target_hit","[""""]",1
183,"cobra_lash_crit","[""""]",0
184,"cobra_lash_crit","[""\u0000愀爀挀愀渀攀开挀氀漀愀欀开戀氀漀挀欀""]",1
185,"venom_gyre_whirling_blades","[""""]",0
186,"venom_gyre_whirling_blades","[""\u0000arcane_cloak_block""]",1
187,"whirling_blades_fade_out","[""愀爀挀愀渀攀开挀氀漀愀欀开戀氀漀挀欀""]",7
188,"whirling_blades_fade_in","[""arcane_cloak_block""]",7
189,"kinetic_blast_wand_effect","[""""]",0
190,"kinetic_blast_wand_effect","[""""]",1
191,"kinetic_blast_wand_effect","[""ane_cloak_block""]",2
192,"ring_of_ice_statue_shatter","[""漀挀欀""]",0
193,"ring_of_ice_weapon_shatter","[""ock""]",0
194,"vaal_flicker_cut_wound","[""挀欀""]",0
195,"vaal_flicker_cut_wound","[""""]",1
196,"vaal_flicker_cut_wound","[""""]",2
197,"vaal_flicker_cut_wound","[""""]",4
198,"vaal_flicker_cut_wound2","[""ck""]",0
199,"vaal_flicker_cut_wound2","[""""]",1
200,"vaal_flicker_cut_wound2","[""""]",2
201,"vaal_flicker_cut_wound2","[""""]",4
202,"vaal_flicker_cut_wound3","[""欀""]",0
203,"vaal_flicker_cut_wound3","[""""]",1
204,"vaal_flicker_cut_wound3","[""""]",2
205,"vaal_flicker_cut_wound3","[""""]",4
206,"vaal_flicker_cut_wound","[""_fade_out""]",8
207,"vaal_flicker_cut_wound2","[""昀愀搀攀开漀甀琀""]",8
208,"vaal_flicker_cut_wound3","[""fade_out""]",8
209,"smite_weapon_effect","[""\u0000P""]",0
210,"smite_weapon_effect","[""""]",1
211,"smite_weapon_effect","[""搀攀开漀甀琀""]",3
212,"frigid_bond","[""攀开漀甀琀""]",0
213,"mtx_spray_paint_channel","[""\u0000伀""]",0
214,"mtx_spray_paint_channel","[""\u0000O""]",1
215,"mtx_spray_paint_channel","[""伀""]",2
