101,"KillVeritaniaConditionally","[7750,7751]",[],"",[],[],[],"[16,15]"
102,"KillAlHezminConditionally","[7772,7773]",[],"",[],[],[],[17]
103,"KillDroxConditionally","[7800,7801]",[],"",[],[],[],[18]
104,"KillDeliriumMonstersNormal","[7943,7944,7945,7946,7947,7948]",[],"",[],[0],[],[]
105,"KillDeliriumMonstersMagic","[7943,7944,7945,7946,7947,7948]",[],"",[],[1],[],[]
106,"KillDeliriumMonstersRare","[7943,7944,7945,7946,7947,7948]",[],"",[],[2],[],[]
107,"KillIncursionArchitectWhileInDeliriumMist","[6444,6445,6446,6447,6448,6449,6450,6451,6452,6453,6454,6455,6456,6457,6458,6459,6460,6461,6462,6463,6464,6465,6466,6467,6468]",[],"",[],[35],[],[]
108,"KillBlightBossWhileInDeliriumMist","[7448,7456,7458,7464,7468,7478,7490,7511,7520,7529,7535,7546,7551,7564,7571,7577,7583,7590,7599,7608,7614,7626,7636,7648]",[],"",[],[35],[],[]
109,"KillMetamorphBossWhileInDeliriumMist",[7718],[],"",[],[35],[],[]
110,"KillPossessedExile","[2535,2536,2539,2540,2543,2545,2547,2548,2551,2553,2554,2557,2558,2559,2562,2563,2564,2565,2566,2567,2570,2572,2573,2574,2577,2579,2580,2582,2584,2585,2586,2587,2588,2591,2593,2594,2596,2597,2599,2600,2602,2603,2604,2605,2606,2607,2608,2609,2556,2578]",[],"",[],[13],[],[]
111,"KillPossessedExileAilentiaRac",[2545],[8724],"",[],[13],[],[]
112,"KillPossessedExileAinsleyVarich",[2556],[8756],"",[],[13],[],[]
113,"KillPossessedExileAntaliaNapora",[2543],[8725],"",[],[13],[],[]
114,"KillPossessedExileArmiosBell",[2551],[8726],"",[],[13],[],[]
115,"KillPossessedExileAshLessard",[2591],[8727],"",[],[13],[],[]
116,"KillPossessedExileAugustinaSolaris","[2599,2600]",[8728],"",[],[13],[],[]
117,"KillPossessedExileAurelioVoidsinger",[2585],[8729],"",[],[13],[],[]
118,"KillPossessedExileBaracusPhraxis",[2586],[8730],"",[],[13],[],[]
119,"KillPossessedExileBoltBrownfur","[2573,2574]",[8731],"",[],[13],[],[]
120,"KillPossessedExileDamoiTui","[2566,2567]",[8732],"",[],[13],[],[]
121,"KillPossessedExileDenaLorenni",[2562],[8733],"",[],[13],[],[]
122,"KillPossessedExileEoinGreyfur","[2579,2580,2608]",[8734],"",[],[13],[],[]
123,"KillPossessedExileIgnaPhoenix","[2558,2559]",[8735],"",[],[13],[],[]
124,"KillPossessedExileIonDarkshroud","[2587,2607,2588]",[8736],"",[],[13],[],[]
125,"KillPossessedExileJonahUnchained","[2565,2605]",[8737],"",[],[13],[],[]
126,"KillPossessedExileKirmesOlli",[2564],[8738],"",[],[13],[],[]
127,"KillPossessedExileLaelFuria",[2602],[8739],"",[],[13],[],[]
128,"KillPossessedExileMagnusStonethorn",[2584],[8740],"",[],[13],[],[]
129,"KillPossessedExileMinaraAnemina","[2557,2609]",[8741],"",[],[13],[],[]
130,"KillPossessedExileOhneTrix",[2577],[8742],"",[],[13],[],[]
131,"KillPossessedExileOrraGreengate","[2535,2536,2606]",[8743],"",[],[13],[],[]
132,"KillPossessedExileOyraOna",[2554],[8744],"",[],[13],[],[]
133,"KillPossessedExileSevetTetherein",[2578],[8757],"",[],[13],[],[]
134,"KillPossessedExileThenaMoga","[2539,2540]",[8745],"",[],[13],[],[]
135,"KillPossessedExileThomImperial",[2597],[8746],"",[],[13],[],[]
136,"KillPossessedExileTinevinHighdove",[2582],[8747],"",[],[13],[],[]
137,"KillPossessedExileTorrOlgosso","[2547,2548,2604]",[8748],"",[],[13],[],[]
138,"KillPossessedExileUltimaThule",[2563],[8749],"",[],[13],[],[]
139,"KillPossessedExileUlyssesMorvant",[2596],[8750],"",[],[13],[],[]
140,"KillPossessedExileVanthAgiel",[2603],[8751],"",[],[13],[],[]
141,"KillPossessedExileVickasGiantbone",[2572],[8752],"",[],[13],[],[]
142,"KillPossessedExileWilorinDemontamer","[2593,2594]",[8753],"",[],[13],[],[]
143,"KillPossessedExileXandoBlooddrinker",[2570],[8754],"",[],[13],[],[]
144,"KillPossessedExileZacharieDesmarais",[2553],[8755],"",[],[13],[],[]
145,"KillMapBossWhileInDeliriumMist",[0],[8780],"",[],"[7,35]",[],[]
146,"KillKitavaInBelfryMapWithoutBeingAffectedByDevouringDarkness",[5406],[],"",[],[],[],[19]
147,"DefeatBrittleEmperorInWastelandMapWhileInHisConsecratedGround",[3858],[],"",[29],[],[],[]
148,"DefeatNightmareOmenInPrimordialPoolWithoutDamageFromBloodProjectilesAfter2Submerges",[4155],[],"",[],[],[],"[20,21]"
149,"KillShaperGuardianMaxDelirium","[4887,4878,4883,4890]",[],"",[],[],[],[]
150,"KillVarheshInTerraceWithoutBecomingFearful",[5691],[],"",[],[],[],[22]
151,"KillLadyStormflayInGhettoWhileVulnerable",[2468],[],"",[23],[],[],[]
152,"DefeatPietyTheEmpyreanInShrineWhileAffectedByPietysRage",[2481],[],"",[9],[],[],[]
153,"Rampage300InSimulacrum",[0],[],"",[30],[],[],[]
154,"KillRogueExile","[2547,2551,2553,2565,2566,2570,2572,2535,2539,2543,2599,2602,2603,2587,2591,2593,2579,2582,2584,2557,2558,2562,2545,2554,2573,2596,2585,2563,2577,2564,2586,2597,2556,2578,2604,2605,2606,2607,2608,2609]",[9324],"",[],[],[],[]
155,"KillTormentedSpriit","[3629,3630,3631,3632,3633,3634,3635,3636,3637,3638,3639,3640,3641,3642,3643,3644,3645,3646,3647,3648,3649,3650,3651,3652,3654,3655,3656,3657,3658,3659,3660,3661]",[6971],"",[],[],[],[]
156,"KillTormentedSpiritInMonster",[0],[7955],"",[],[13],[],[]
157,"KillPossessedDeliriumBoss","[7935,7936,7937,7938]",[7158],"",[],[13],[],[]
158,"KillBestiaryBoss","[6133,6088,6168,6141,6134,6089,6170,6142]","[9106,9215]","",[],[],[],[]
159,"KillUberAtziri",[3389],[8221],"",[],[],[],[]
160,"KillChayulaInDomain",[5117],[8216],"",[],[],[],[]
161,"KillPreethiEyePeckerWhileYouAndHerAreBleeding",[5747],[7016],"",[31],[],[],[]
162,"KillFallenQueenAfterBrokenPrinceAndHollowLady",[1433],[7017],"",[],[],[],[25]
163,"KillStalkerOfEndlessDunesWithoutBeingAffectedBySandstorm",[5729],[7018],"",[],[],[],[23]
164,"KillSallazzangWithoutSuppressingFire",[1479],[7019],"",[],[],[],[24]
165,"KillIzaroLabOfFortune","[4528,4529,4530]","[9700,9027]","",[],[],[],[]
166,"KillIzaroLabOfOpportunity","[4528,4529,4530]","[9700,9028]","",[],[],[],[]
167,"KillIzaroLabOfPotential","[4528,4529,4530]","[9700,9029]","",[],[],[],[]
168,"KillPortentiaTheFoulAfter3TransformsAndWithoutBeingAffectedByEffluents",[5205],[7137],"",[],[],[],"[26,27]"
169,"KillTerrorOfInfiniteDriftsWith10StacksQuicksand",[5888],[7138],"",[32],[],[],[]
170,"KillChimeraAfterSearching25Clouds",[4890],[7139],"",[],[],[],[28]
171,"KillShaperWithoutDamageFromNonMelee",[4970],[9708],"",[],[],[],[29]
172,"KillOshabiWithoutBeingAffectedBySacredSuffering",[8147],[7191],"",[],[],[],[30]
173,"KillOshabiWithoutBeingHitByOrbOfThorns",[8147],[7192],"",[],[],[],[31]
174,"KillOshabiWithoutBeingHitByVineHammer",[8147],[7193],"",[],[],[],[32]
175,"KillOshabiWithoutBeingHitByVolatileOrchard",[8147],[7194],"",[],[],[],[33]
176,"KillIncursionOmnitect",[6290],"[8090,4204]","",[],[],[],[]
177,"KillPossessedUniqueMonster",[0],[9326],"",[],"[13,3]",[],[]
178,"KillHallowedHuskAfter3BloodRainsAndWithoutStandingInProximityShield",[1598],[7418],"",[],[],[],"[34,35]"
179,"KillVaalTempleBossesInReverse",[3214],[7419],"",[],[],[],[36]
180,"KillAulenGreychainWhileHimAndYouHaveImmortalCall",[2412],[7420],"",[33],[37],[],[]
181,"KillChayulaWithoutBeingHitByChaosCycloneProjectilesAndAfter3Cyclones",[5117],[9112],"",[],[],[],[37]
182,"KillMerveilWithSapphireRingEquipped",[151],[7201],"",[34],[],[],[]
183,"KillVaalOversoulWithTopazRingEquipped",[148],[7202],"",[35],[],[],[]
184,"KillPietyWithSapphireRingAndTopazRingEquipped",[1345],[7203],"",[36],[],[],[]
185,"KillLeifTheSwiftHandedWhileBlinded",[2384],[7272],"",[37],[],[],[]
186,"KillHighTemplarWithoutBeingAffectedByColdBeam",[1588],[7273],"",[],[],[],[39]
187,"KillOakTheMightyWhileTaunted",[2409],[7274],"",[38],[],[],[]
188,"KillJorusWhileHeIsChannellingScorchingRay",[5345],[7275],"",[],[38],[],[]
189,"KillAdmiralDarnawWithoutBeingHitByOceansWave",[8270],[7423],"",[],[],[],[40]
190,"KillUnbreakableMk1WithoutBeingAffectedByMagneticStorm",[8260],[7424],"",[],[],[],[41]
191,"KillNashtaTheUsurperWithoutDetonatingVolatileEmberstormsAndWhileAffectedByEmberstorm",[8263],[7425],"",[39],[],[],[42]
192,"KillVoxTwinsWithoutBecomingImmobilised","[8273,8274]",[7426],"",[],[],[],"[43,44]"
193,"KillVoxTwinsWithoutTwinsSwappingPositions","[8273,8274]",[7427],"",[],[],[],"[45,44]"
194,"KillVoxTwinsByKillingVixVoxFirst",[8274],[7428],"",[],[],[],[44]
195,"KillVoxTwinsByKillingVinnyVoxFirst",[8273],[7429],"",[],[],[],[44]
196,"KillWarband","[4295,4298,4300,4323,4326,4329,4349,4352,4354,4356,4362,4365,4374,4376,4379,4381,4383,4385]",[7542],"",[],[],[],[]
197,"KillBeyondBoss",[0],[7547],"",[],[15],[],[]
198,"KillHeistBossNoTwins","[8270,8260,8263,8265]",[7561],"",[],[],[],[]
199,"KillHeistBossTwins83","[8273,8274]",[9703],"",[],[],[],[44]
200,"KillMavenBuffedBoss",[0],"[9464,9528,9677]","",[],"[7,39]",[],[]
201,"KillAbaxoth",[3435],[7665],"",[],[],[],[]
202,"KillShaper",[4970],[8351],"",[],[],[],[]
203,"KillSirusAwakeningLevel8",[7860],[8223],"",[],[],[],[]
204,"KillOshabi",[8147],[9704],"",[],[],[],[]
205,"KillTheMaven",[8467],"[8222,7630]","",[],[],[],[]
206,"KillCaptainClayborneWithoutDefeatingDrownedCrew",[8233],[7491],"",[],[],[],[46]
207,"KillOrmudFiendOfTheFloodWithoutBeingHitByWaterVortexOrCollapsingOrb",[8436],[7492],"",[],[],[],[47]
208,"KillLyciusMidnightsHowlWhileHeIsUsingWolfBarrage",[4623],[7493],"",[],[40],[],[]
209,"KillBramblefallBossesWithoutBeingHitBySlamScreechSpikes","[8170,8173,8176]",[7632],"",[],[],[],"[48,49]"
210,"KillBurtokConjurerOfBonesWhileAffectedByBoneRoilAndWhileHeIsBleeding",[3384],[7633],"",[40],[36],[],[]
211,"KillDoedreTheDefilerWhileYouHave5StacksOfDoedresSufferingTormentWithering","[5784,5788]",[7634],"","[41,42,43]",[],[],[]
212,"KillFoundryMapBossesWithinThreeSecondsOfOneAnotherAndWithoutBeingHitByCorpseRain","[8459,8225]",[7631],"",[],[],[],"[50,51]"
213,"DefeatTheMavenWithoutMoreThan16VolatilesEver",[8467],[7660],"",[],[],[],[52]
214,"DefeatTheMavenWithoutFailingMemoryGame",[8467],"[7662,9723]","",[],[],[],[53]
215,"DefeatTheMavenWithoutBeingHitByElasticBeams",[8467],[7663],"",[],[],[],[54]
216,"KillLegionGeneral","[7228,7242,7267,7289,7315]",[7730],"",[],[],[],[]
217,"KillBaranTheCrusaderWith80QuantityInArea","[7725,7726]","[8016,8580]","",[],[],[],[]
218,"KillVeritaniaTheRedeemerWith80QuantityInArea","[7750,7751]","[8017,8581]","",[],[],[],[]
219,"KillAlHezminTheHunterWith80QuantityInArea","[7772,7773]","[8018,8582]","",[],[],[],[]
220,"KillDroxTheWarlordWith80QuantityInArea","[7800,7801]","[8019,8583]","",[],[],[],[]
221,"KillTrialmaster",[8498],"[7906,9699]","",[],[],[],[]
222,"KillSanguineSirenWhileAffectedByTemporalChains",[5656],[7744],"",[46],[],[],[]
223,"KillPromenadeBossRanged",[2451],[],"",[],[],[],[]
224,"KillPromenadeBossMelee",[2448],[],"",[],[],[],[]
225,"KillPromenadeBossesWhileAffectedByConductivity","[2448,2451]",[7745],"",[47],[],[],[55]
226,"KillOlofSonOfTheHeadsmansWhileBothHeAndAllPlayersAreTaunted",[4061],[7902],"",[38],[41],[],[]
227,"KillTyrantWhileBotheAndAllPlayersAreAffectedByMoltenShell",[2475],[7903],"",[48],[42],[],[]
228,"KillThePrimalOneWhileHeIsChannellingSunderAndWithoutBeingHitBySunder",[2430],[7904],"",[],[43],[],[58]
229,"KillUulNetolLevel81OrHigherAfterActivatingAll4Portals",[5114],[7905],"",[],[],[],[59]
230,"KillTrialmasterWithoutBeingHitByBloodOrb",[8498],[7921],"",[],[],[],[60]
231,"KillTrialmasterWithoutBeingHitBySpearPulse",[8498],[7922],"",[],[],[],[61]
232,"KillTrialmasterAfterCollectingAllCurrencyFromShrines",[8498],[9449],"",[],[],[],[62]
233,"KillTrialmasterWhileAffectedByTetherAndWithoutBeingHitByHeart",[8498],[7924],"",[49],[],[],[63]
234,"KillTheReaverWhileAffectedByBearTrap",[2445],[8006],"",[50],[],[],[]
235,"KillStonebeakAfterGnarAndWithoutDamagingGnarBeforeStonebeakDeath",[4046],[8007],"",[],[],[],"[64,65]"
236,"KillStoneOfTheCurrentsWhileVolatileSurgeIsActiveAnd15FloodOrbsAreAlive",[4230],[8008],"",[],[44],[],[79]
237,"KillMurgethBogsongWhileAffectedByToxicSwamp",[8195],[8194],"",[51],[],[],[]
238,"DefeatMerveilUndergroundSeaMapWhileAffectedByFourStacksOfScreech",[2374],[8195],"",[52],[],[],[]
239,"DefeatTrioCrystalOreMapWhileAffectedByRighteousFire","[3917,3938,3959]",[8197],"",[53],[],[],[66]
240,"KillUhtredWithoutBeingAffectedByGlimpseOfInfinityOrIndifferenceOfTheCosmos",[8655],[8206],"",[],[],[],[67]
241,"KillUthredWhileAffectedByGlimpseOfInfinity",[8655],[8207],"",[54],[],[],[]
242,"KillUhtredWhileAffectedByIndifferenceOfTheCosmos",[8655],[8208],"",[55],[],[],[]
243,"KillUhtredWithoutTriggeringSeekingStar",[8655],[8209],"",[],[],[],[68]
244,"KillMedvedWhilePoisoned",[8704],[8198],"",[56],[],[],[]
245,"KillMedvedAfterFiveArachnidFamiliarSummons",[8704],[8199],"",[],[],[],[69]
246,"KillMedvedAfterKilling3CultistsWithin5Seconds",[8704],[8200],"",[],[],[],[70]
247,"KillMedvedWithoutKillingAnyCultists",[8704],[8201],"",[],[],[],[71]
248,"KillVoranaWhileAffectedByTheBlackReaping",[8656],[8202],"",[57],[],[],[]
249,"KillVoranaWithoutCausingAnyOrbitingStarsToCollapse",[8656],[8203],"",[],[],[],[72]
250,"KillVoranaAfterCausingAtLeast25OrbitingStarsToCollapse",[8656],[8204],"",[],[],[],[73]
251,"KillVoranaWithoutBeingHitByCollapsingOrbitingStarsOrTheirProjectiles",[8656],[8205],"",[],[],[],[74]
252,"KillOlrothWhileBothRunicGatewaysAreActive",[8709],[8210],"",[],[],[],[75]
253,"KillOlrothWhileBothCrystalStarsAreActive",[8709],[8211],"",[],[],[],[76]
254,"KillOlrothWithoutBeingHitByCageOfLightOrAffectedByExterminatingFlames",[8709],[8212],"",[],[],[],"[77,78]"
255,"KillOlrothWhileAffectedByEnervation",[8709],[8213],"",[58],[],[],[]
256,"KillAul",[6636],"[4205,8842]","",[],[],[],[]
257,"KillFarrul","[6133,6134]",[4206],"",[],[],[],[]
258,"FlawlessBreachstoneBreachlord","[5114,5117,5105,5108,5111]",[9577],"",[],[],[],[]
259,"KillAulWithoutBeingHitByAbyssSlam81plus",[6636],[9109],"",[],[],[],[80]
260,"KillUberElderWithoutBeingHitByBeamOrTentacles",[5968],[8404],"",[],[],[],[81]
261,"KillUberAtziriWithoutBeingHitByStormCall",[3389],[9450],"",[],[],[],[82]
262,"KillSirus8WithoutBeingHitByEndlessFire",[7860],[8406],"",[],[],[],[83]
263,"KillMavenWithoutBeingHitByCascade",[8468],[8407],"",[],[],[],[84]
264,"KillCrusaderWithoutBeingHitBySlam","[7725,7726]",[8343],"",[],[],[],[85]
265,"KillHunterWithoutBeingHitByStabSlam","[7772,7773]",[8344],"",[],[],[],[86]
266,"KillRedeemerWithoutBeingHitByTornadoes","[7750,7751]",[8345],"",[],[],[],[87]
267,"KillWarlordWithoutBeingHitByBanners","[7800,7801]",[8346],"",[],[],[],[88]
268,"KillTheBlackStar",[8963],"[8422,8518]","",[],[],[],[]
269,"KillTheInfiniteHunger",[8972],"[8423,8519]","",[],[],[],[]
270,"KillTheSearingExarch",[8966],"[8424,8568]","",[],[],[],[]
271,"KillTheEaterOfWorlds",[8967],"[8425,8567]","",[],[],[],[]
272,"KillOlroth83OrHigher",[8709],[9702],"",[],[],[],[]
273,"KillKurgal81OrHigher",[5955],[8573],"",[],[],[],[]
274,"KillUulNetol81OrHigher",[5114],[8572],"",[],[],[],[]
275,"DefeatAmanamu81OrHigher",[5954],[8571],"",[],[],[],[]
276,"DefeatMastermind83OrHigher",[6913],"[9110,9227]","",[],[],[],[]
277,"KillBlackStarWithoutBeingHitByMeteors",[8963],[8629],"",[],[],[],[89]
278,"KillBlackStarWithMonsterFleet",[8963],[8630],"",[],[],[],[]
279,"KillInfiniteHungerWithoutBeingTeleported",[8972],[8631],"",[],[],[],[90]
280,"KillInfiniteHungerWithMonsterLife",[8972],[8632],"",[],[],[],[]
281,"KillEaterOfWorldsWithoutDrowning",[8967],[8633],"",[],[],[],[91]
282,"KillEaterOfWorldsWithChilledGround",[8967],[8634],"",[],[],[],[]
283,"KillSearingExarchWithoutBeingHitByRollingMeteors",[8966],[8635],"",[],[],[],[92]
284,"KillSearingExarchWithPhysicalAsFire",[8966],[8636],"",[],[],[],[]
285,"KillMapBossWhileAffectedByCovetousShrine",[0],[8766],"",[45],[7],[],[]
286,"KillEssenceBossWhileAffectedByCovetousShrine",[0],[8768],"",[45],[21],[],[]
287,"KillMetamorphWhileAffectedByCovetousShrine",[7718],[8769],"",[45],[],[],[]
288,"KillDeliriumBossWhileAffectedByCovetousShrine","[7935,7937]",[8770],"",[45],[],[],[]
289,"KillShaperOrElderGuardianWhileAffectedByCovetousShrine","[4887,4878,4883,4890,5956,5958,5960,5963]",[8771],"",[45],[],[],[]
290,"KillHarvestBoss","[8126,8143,8145]",[9372],"",[],[],[],[]
291,"DefeatRareMonsterTaggedBySentinel",[0],[8653],"",[],"[2,45]",[],[]
292,"DefeatRogueExileTaggedBySentinel","[2547,2551,2553,2565,2566,2570,2572,2535,2539,2543,2599,2602,2603,2587,2591,2593,2579,2582,2584,2557,2558,2562,2545,2554,2573,2596,2585,2563,2577,2564,2586,2597,2556,2578,2604,2605,2606,2607,2608,2609]",[8654],"",[],[45],[],[]
293,"DefeatActBossTaggedBySentinel","[151,148,1596,4151,5402,5165,5396,5304,5328,5812,5409]",[8655],"",[],[45],[],[]
294,"KillMapBossInRareMapAfterActivating6SearingExarchAltarsWithWrathOfTheCosmosAllocated",[0],[8790],"",[59],[7],[],[]
295,"KillUberShaper",[4970],"[9460,9465,9535]","",[],[],[],[]
296,"KillUberSirus",[7860],"[9454,9465,9529]","",[],[],[],[]
297,"KillUberUberElder",[5968],"[9455,9465,9530]","",[],[],[],[]
298,"KillUberMaven",[8467],"[9456,9465,9531]","",[],[],[],[]
