"rownum","QuestKey","i32","QuestStates","[i32]","Text","bool","Message","MapPinsKeys1","i32","MapPinsTexts","MapPinsKeys2","[rid]","bool","[i32]","[i32]","i32","SoundEffect"
86,16,3,"[19,0]",[],"Quest Abandoned - You have slain Kraityn.","","",[],0,[],[],[],1,[],[],10,""
87,16,4,"[19,0]",[],"Quest Abandoned - You have slain Kraityn.","","You have slain Kraityn, and can no longer ally with him",[],0,[],[],[],1,[],[],10,""
88,16,5,"[19,0,0]",[],"You have obtained the amulets of Kraityn's rivals. He can be found at the Broken Bridge, east of town. Kraityn will reward you with {0}.","","You have the amulets. Talk to Kraityn for your reward",[24],0,"[""Talk to Kraityn for your reward""]",[24],[],"",[],[],0,""
89,16,6,"[19,0]",[],"Kraityn wants you to bring him the amulets of his rivals - Alira and Oak. Alira can be found in the Western Forest. You have slain Oak and have his amulet. Kraityn will reward you with {0}.","","Acquire the amulet of Kraityn's rival - Alira",[27],0,"[""Acquire Alira's amulet""]",[27],[],"",[],[],0,""
90,16,7,"[19,0]",[],"Kraityn wants you to bring him the amulets of his rivals - Alira and Oak. Oak can be found in the Wetlands, west of town. You have slain Alira and have her amulet. Kraityn will reward you with {0}.","","Acquire the amulet of Kraityn's rival - Oak",[30],0,"[""Acquire Oak's amulet""]",[30],[],"",[],[],0,""
91,16,8,[19],[],"Kraityn wants you to bring him the amulets of his rivals - Alira and Oak. Alira can be found in the Western Forest. Oak can be found in the Wetlands, west of town. Kraityn will reward you with {0}.","","Acquire the amulets of Kraityn's rivals - Alira and Oak","[27,30]",0,"[""Acquire Alira's amulet"",""Acquire Oak's amulet""]","[27,30]",[],"",[],[],0,""
92,16,9,"[120,0]",[16],"Kraityn wants you to bring him the amulets of his rivals - Alira and Oak. Kraityn will reward you with {0}.","","",[24],0,"[""Talk to Kraityn and decide if you want to help him""]",[],[30],"",[],[],0,""
93,17,0,"[56,0]",[],"Quest Complete - You have slain Oak and Kraityn. Alira has rewarded you with {0}.",1,"",[],0,[],[],[],"",[],[],0,""
94,17,1,"[56,0]",[],"Quest Complete - You have slain Oak and Kraityn. Alira has rewarded you with {0}.",1,"",[],0,[],[],[],"",[],[],0,""
95,17,2,[56],[],"Quest Complete - You have slain Oak and Kraityn. Talk to Alira to get the Apex. She has rewarded you with {0}.",1,"",[27],0,"[""Talk to Alira""]",[27],[],"",[],[],0,""
96,17,3,"[20,0]",[],"Quest Abandoned - You have slain Alira.","","",[],0,[],[],[],1,[],[],10,""
97,17,4,"[20,0]",[],"Quest Abandoned - You have slain Alira.","","You have slain Alira, and can no longer ally with her",[],0,[],[],[],1,[],[],10,""
98,17,5,"[20,0,0]",[],"You have obtained the amulets of Alira's rivals. She can be found in the Western Forest, and will reward you with {0}.","","You have the amulets. Talk to Alira for your reward",[27],0,"[""Talk to Alira for your reward""]",[27],[],"",[],[],0,""
99,17,6,"[20,0]",[],"Alira wants you to bring her the amulets of her rivals - Kraityn and Oak. Kraityn can be found at the Broken Bridge, east of town. You have slain Oak and have his amulet. Alira will reward you with {0}.","","Acquire the amulet of Alira's rival - Kraityn",[24],0,"[""Acquire Kraityn's amulet""]",[24],[],"",[],[],0,""
100,17,7,"[20,0]",[],"Alira wants you to bring her the amulets of her rivals - Kraityn and Oak. Oak can be found in the Wetlands, west of town. You have slain Kraityn and have his amulet. Alira will reward you with {0}.","","Acquire the amulet of Alira's rival - Oak",[30],0,"[""Acquire Oak's amulet""]",[30],[],"",[],[],0,""
101,17,8,[20],[],"Alira wants you to bring her the amulets of her rivals - Kraityn and Oak. Kraityn can be found at the Broken Bridge, east of town. Oak can be found in the Wetlands, west of town. Alira will reward you with {0}.","","Acquire the amulets of Alira's rivals - Kraityn and Oak","[24,30]",0,"[""Acquire Kraityn's amulet"",""Acquire Oak's amulet""]","[24,30]",[],"",[],[],0,""
102,17,9,"[120,0]",[17],"Alira wants you to bring her the amulets of her rivals - Kraityn and Oak. Alira will reward you with {0}.","","",[27],0,"[""Talk to Alira and decide if you want to help her""]",[],[33],"",[],[],0,""
103,18,0,"[89,0]",[],"Quest Complete - You have slain Alira and Kraityn. Oak has rewarded you with {0}.",1,"",[],0,[],[],[],"",[],[],0,""
104,18,1,"[89,0]",[],"Quest Complete - You have slain Alira and Kraityn. Oak has rewarded you with {0}.",1,"",[],0,[],[],[],"",[],[],0,""
105,18,2,[89],[],"Quest Complete - You have slain Alira and Kraityn. Talk to Oak to get the Apex. He has rewarded you with {0}.",1,"",[30],0,"[""Talk to Oak""]",[30],[],"",[],[],0,""
106,18,3,"[21,0]",[],"Quest Abandoned - You have slain Oak.","","",[],0,[],[],[],1,[],[],10,""
107,18,4,"[21,0]",[],"Quest Abandoned - You have slain Oak.","","You have slain Oak, and can no longer ally with him",[],0,[],[],[],1,[],[],10,""
108,18,5,"[21,0,0]",[],"You have obtained the amulets of Oak's rivals. He can be found in the Wetlands, west of town. Oak will reward you with {0}.","","You have the amulets. Talk to Oak for your reward",[30],0,"[""Talk to Oak for your reward""]",[30],[],"",[],[],0,""
109,18,6,"[21,0]",[],"Oak wants you to bring him the amulets of his rivals - Alira and Kraityn. Alira can be found in the Western Forest. You have slain Kraityn and have his amulet. Oak will reward you with {0}.","","Acquire the amulet of Oak's rival - Alira",[27],0,"[""Acquire Alira's amulet""]",[27],[],"",[],[],0,""
110,18,7,"[21,0]",[],"Oak wants you to bring him the amulets of his rivals - Alira and Kraityn. Kraityn can be found at the Broken Bridge, east of town. You have slain Alira and have her amulet. Oak will reward you with {0}.","","Acquire the amulet of Oak's rival - Kraityn",[24],0,"[""Acquire Kraityn's amulet""]",[24],[],"",[],[],0,""
111,18,8,[21],[],"Oak wants you to bring him the amulets of his rivals - Alira and Kraityn. Alira can be found in the Western Forest. Kraityn can be found at the Broken Bridge, east of town. Oak will reward you with {0}.","","Acquire the amulets of Oak's rivals - Kraityn and Alira","[24,27]",0,"[""Acquire Kraityn's amulet"",""Acquire Alira's amulet""]","[24,27]",[],"",[],[],0,""
112,18,9,"[120,0]",[18],"Oak wants you to bring him the amulets of his rivals - Alira and Kraityn. Oak will reward you with {0}.","","",[30],0,"[""Talk to Oak and decide if you want to help him""]",[],[36],"",[],[],0,""
113,15,0,[122],[],"Quest Complete - You have slain the Bandit Lords. Eramir has rewarded you with {0}.",1,"Quest Complete",[],0,[],[],[],"",[],[],0,""
114,15,1,[83],[],"Quest Abandoned - You have aided a Bandit Lord.","","",[],0,[],[],[],1,[],[],10,""
115,15,2,"[77,0,0,0]",[],"You have killed all the Bandit Lords and obtained their amulets. Bring them to Eramir for {0}.","","Take the amulets back to Eramir",[17],0,"[""Talk to Eramir for your reward""]",[17],[],"",[],[],0,""
116,15,3,"[79,0,0]",[],"You have killed Kraityn and Alira, but Oak continues to harass the Forest Encampment. If you kill him, Eramir will reward you with {0}.","","",[30],0,"[""Eramir wants you to kill Oak""]",[30],[],"",[],[],0,""
117,15,4,"[79,0,0]",[],"You have killed Kraityn and Oak, but Alira continues to harass the Forest Encampment. If you kill her, Eramir will reward you with {0}.","","",[27],0,"[""Eramir wants you to kill Alira""]",[27],[],"",[],[],0,""
118,15,5,"[77,0,0]",[],"You have killed Alira and Oak, but Kraityn continues to harrass the Forest Encampment. If you kill him, Eramir will reward you with {0}.","","",[24],0,"[""Eramir wants you to kill Kraityn""]",[24],[],"",[],[],0,""
119,15,6,"[77,0]",[],"You have killed Alira, but Kraityn and Oak continue to harass the Forest Encampment. If you kill them, Eramir will reward you with {0}.","","","[24,30]",0,"[""Eramir wants you to kill Kraityn"",""Eramir wants you to kill Oak""]","[24,30]",[],"",[],[],0,""
120,15,7,"[78,0]",[],"You have killed Oak, but Kraityn and Alira continue to harass the Forest Encampment. If you kill them, Eramir will reward you with {0}.","","","[24,27]",0,"[""Eramir wants you to kill Kraityn"",""Eramir wants you to kill Alira""]","[24,27]",[],"",[],[],0,""
121,15,8,"[79,0]",[],"You have killed Kraityn, but Alira and Oak continue to harass the Forest Encampment. If you kill them, Eramir will reward you with {0}.","","","[27,30]",0,"[""Eramir wants you to kill Alira"",""Eramir wants you to kill Oak""]","[27,30]",[],"",[],[],0,""
122,15,9,[53],[],"The Forest Encampment is under constant attack by three bandit factions led by Kraityn, Alira and Oak. If you find a way to prevent these attacks, Eramir will reward you with {0}.","","Stop the bandit lords from attacking","[24,27,30]",0,"[""Eramir wants you to kill Kraityn"",""Eramir wants you to kill Alira"",""Eramir wants you to kill Oak""]","[24,27,30]",[],"",[],[],0,""
123,15,10,[77],[],"Talk to Eramir in the Forest Encampment about the bandits.","","Talk to Eramir",[17],0,"[""Talk to Eramir""]",[17],[],"",[],[],10,""
124,15,11,[78],[],"Talk to Eramir in the Forest Encampment about the bandits.","","Talk to Eramir",[17],0,"[""Talk to Eramir""]",[17],[],"",[],[],10,""
125,15,12,[79],[],"Talk to Eramir in the Forest Encampment about the bandits.","","Talk to Eramir",[17],0,"[""Talk to Eramir""]",[17],[],"",[],[],10,""
126,19,0,[150],[],"Quest Complete - You have vanquished the Vaal Oversoul. You are now able to travel to Act 3.",1,"",[],0,[],[],[],"",[],[],10,""
127,19,1,[149],[],"Quest Complete - You have vanquished the Vaal Oversoul. You are now able to travel to Act 3.",1,"Find the Sarn encampment",[34],0,"[""Find the Sarn encampment""]",[],[],"",[],[],10,""
128,19,2,[473],[],"You have killed the Vaal Oversoul and banished the darkness. The exit at the top of the Ancient Pyramid is now open.","","The pyramid's exit is now open",[32],20000,"[""Find the exit to Act 3""]",[32],[],"",[],[],10,""
129,19,3,"[85,0]",[],"You have killed the Vaal Oversoul and banished the darkness. The exit at the top of the Ancient Pyramid is now open.","","The pyramid's exit is now open",[32],20000,"[""Find the exit to Act 3""]",[32],[],"",[],[],10,""
130,19,4,"[85,0]",[],"You have killed the Vaal Oversoul and banished the darkness. The exit at the top of the Ancient Pyramid is now open.","","The pyramid's exit is now open",[32],20000,"[""Find the exit to Act 3""]",[32],[],"",[],[],10,""
131,19,5,[76],[],"Kill the Vaal Oversoul atop the Ancient Pyramid to banish the darkness.","","Kill the Vaal Oversoul",[32],25000,"[""Kill the Vaal Oversoul""]",[32],[],"",[],[],10,""
132,19,6,"[69,0]",[84],"Get the Apex from Kraityn at the Broken Bridge.","","Get the Apex from Kraityn",[24],0,"[""Talk to Kraityn""]",[24],[],"",[],[],10,""
133,19,7,"[69,0]",[84],"Get the Apex from Alira in the Western Forest.","","Get the Apex from Alira",[27],0,"[""Talk to Alira""]",[27],[],"",[],[],10,""
134,19,8,"[69,0]",[84],"Get the Apex from Oak in the Wetlands.","","Get the Apex from Oak",[30],0,"[""Talk to Oak""]",[30],[],"",[],[],10,""
135,19,9,"[69,0]",[84],"Get the Apex from Eramir in the Forest Encampment.","","Get the Apex from Eramir",[17],0,"[""Talk to Eramir""]",[17],[],"",[],[],10,""
