0,"EmptyNode","Tower Foundation","A powered base for one of Cassia's towers.","Art/2DArt/UIImages/InGame/Placeholder/temp_league_prototype_placeholder","[1,6,11,16,21,26]","","",0,"","",[],[]
11,"BuffTower1","Empowering Tower Mk I","Improves the effectiveness of other Towers
Does not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuff",[12],1,"I",35,"",10447,"[10446,10448,10449,10450,12170,17543]","[4526,216,10449,10450,12175,17542]"
12,"BuffTower2","Empowering Tower Mk II","Improves the effectiveness of other Towers
Does not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuff",[13],1,"II",45,"",10447,"[10446,10448,10449,10450,12170,17543]","[4526,216,10449,10450,12175,17542]"
13,"BuffTower3","Empowering Tower Mk III","Improves the effectiveness of other Towers
Does not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuff","[14,15]",1,"III",55,"",10447,"[10446,10448,10449,10450,12170,17543]","[4526,216,10449,10450,12175,17542]"
14,"BuffPlayersTower","Imbuing Tower","Improves the effectiveness of Players in range.
Does not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuffPlayer",[],1,"IV",55,"",10452,"[10451,10453,10454,12163,12170,17541]","[4526,10453,10454,12163,12175,17542]"
15,"WeakenEnemiesTower","Smothering Tower","Weakens Enemies in range
Does not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconWeakining",[],1,"IV",55,"",10456,"[10455,10457,10458,12164,12170,17543]","[4526,10457,10458,12164,12175,17542]"
16,"StunningTower1","Seismic Tower Mk I","Damage: Low
Repeats 3 times
Always Stuns
Damages and Stuns nearby Enemies

Ineffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPhysical",[17],"","I",45,"",10460,"[10459,10461,10462,10463,12170,17543]","[24,341,7740,10504,12175,17542]"
17,"StunningTower2","Seismic Tower Mk II","Repeats 5 times","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPhysical",[18],"","II",45,"",10460,"[10459,10461,10462,10463,12170,17543]","[24,341,7740,10504,12175,17542]"
18,"StunningTower3","Seismic Tower Mk III","Repeats 7 times","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPhysical","[19,20]","","III",45,"",10460,"[10459,10461,10462,10463,12170,17543]","[24,341,7740,10504,12175,17542]"
19,"TemporalTower","Temporal Tower","Persistently Slows Monsters 
Does not Damage Enemies

Ineffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconTemporal",[],1,"IV",45,"",10465,"[10464,10466,10467,12165,12170,17543]","[4526,10501,10502,12165,17542]"
20,"PetrificationTower","Stone Gaze Tower","Periodically Petrifies Monsters
Does not Damage Enemies

Ineffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPetrification",[],"","IV",45,"",10469,"[10468,10470,10471,12174,12170,17543]","[215,3336,10500,12176,12175,17542]"
21,"MinionTower1","Summoning Tower Mk I","Summons 3 Minions
Minion Damage: Low
Minion Life: Low
Can only summon Minions when previous Minions are dead

Ineffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconMinion",[22],"","I",30,"",10473,"[10472,10474,10475,10476,10473,12170,17543]","[488,617,159,10499,11654,12175,17542]"
22,"MinionTower2","Summoning Tower Mk II","Summons 5 Minions","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconMinion",[23],"","II",30,"",10473,"[10472,10474,10475,10476,10473,12170,17543]","[488,617,159,10499,11654,12175,17542]"
23,"MinionTower3","Summoning Tower Mk III","Summons 7 Minions","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconMinion","[24,25]","","III",30,"",10473,"[10472,10474,10475,10476,10473,12170,17543]","[488,617,159,10499,11654,12175,17542]"
24,"FlyingMinionTower","Scout Tower","Summons 10 Flying Minions
Minion Damage: High
Minion Life: Low
Can only summon Minions when previous Minions are dead

Ineffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFlyingMinion",[],"","IV",75,"",10478,"[10477,10479,10480,10478,12166,12170,13217,17543]","[488,617,159,11654,12172,12175,10499,17542]"
25,"TankyMinionTower","Sentinel Tower","Summons 1 Durable Minion
Minion Damage: Low
Minion Life: High
Can only summon Minions when previous Minions are dead

Ineffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconTankyMinion",[],"","IV",45,"",10482,"[10481,10483,10484,10482,12167,12170,17543]","[488,617,159,11654,3115,12175,17542]"
26,"FlameTower1","Fireball Tower Mk I","Damage: Medium
Casts a Fireball

Ineffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFire",[27],"","I",45,"",10486,"[10485,10487,10488,10489,12170,17543]","[24,216,173,1777,12175,17542]"
27,"FlameTower2","Fireball Tower Mk II","Casts 3 Fireballs","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFire",[28],"","II",60,"",10486,"[10485,10487,10488,10489,12170,17543]","[24,216,173,1777,12175,17542]"
28,"FlameTower3","Fireball Tower Mk III","Casts 5 Fireballs","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFire","[29,30]","","III",75,"",10486,"[10485,10487,10488,10489,12170,17543]","[24,216,173,1777,12175,17542]"
29,"FlamethrowerTower","Flamethrower Tower","Damage: High
Casts a stream of Fire

Ineffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFlamethrower",[],1,"IV",45,"",10491,"[10490,10492,10493,12168,12170,17543]","[24,10492,216,8663,12175,17542]"
30,"MeteorTower","Meteor Tower","Damage: Very High
Rains Meteors from the sky

Ineffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconMeteor",[],"","IV",100,"",10495,"[10494,10496,10497,12169,12170,17543]","[24,197,10503,1819,12175,17542]"
