"rownum","rid","i32","bool","i32","i32","Id","[string]","i32","string","string","i32","i32","bool","string","rid","bool","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool"
25,2,18,"",1509949440,0,"BattlePassThreeFarrulsFur","[""洀漀渀礀䈀漀砀""]",0,"","",1265,1269,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
26,2,20,"",1677721600,0,"BattlePassThreeMarakethTimelessJewel","[""渀礀䈀漀砀""]",0,"","",1266,1270,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
27,2,22,"",1929379840,0,"BattlePassThreeCosprisMalice","[""漀渀礀䈀漀砀""]",0,"","",1267,1271,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
28,3,0,"",0,0,"BattlePassFourTheGull","[""甀爀 䴀吀堀 猀琀愀猀栀Ⰰ 眀愀椀琀椀渀最 琀漀 戀攀 甀渀眀爀愀瀀瀀攀搀⸀""]",0,"","",375,399,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
29,3,1,"",167772160,0,"MysteryPackSinAndInnocenceBox","[""pass""]",0,"Receive a random prize with a Sin or Innocence theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",376,400,1,"","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
30,3,2,"",251658240,0,"BattlePassFourShavronnesWrappings","[""ur MTX stash, waiting to be unwrapped.""]",0,"","",377,401,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
31,3,3,"",335544320,0,"MysteryPackPolarisBox","[""眀椀氀椀最栀琀 䴀礀猀琀攀爀礀 䈀漀砀""]",0,"Receive a random prize with a Polaris theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",378,402,1,"","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
32,3,4,"",503316480,0,"BattlePassFourOlrothsResolve","[""漀甀爀 䴀吀堀 猀琀愀猀栀Ⰰ 眀愀椀琀椀渀最 琀漀 戀攀 甀渀眀爀愀瀀瀀攀搀⸀""]",0,"","",379,403,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
33,3,5,"",671088640,0,"MysteryPackTwilightBox","[""ght Mystery Box""]",0,"Receive a random prize with a Twilight theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",380,404,1,"","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
34,3,6,"",754974720,0,"BattlePassFourNebulis","[""our MTX stash, waiting to be unwrapped.""]",0,"","",381,405,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
35,3,8,"",1006632960,0,"BattlePassFourVentorsGamble","[""爀 䴀吀堀 猀琀愀猀栀Ⰰ 眀愀椀琀椀渀最 琀漀 戀攀 甀渀眀爀愀瀀瀀攀搀⸀""]",0,"","",382,406,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
36,3,9,"",1174405120,0,"MysteryPackWarlordBox","[""琀 䴀礀猀琀攀爀礀 䈀漀砀""]",0,"Receive a random prize with a Warlord theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",1264,1268,1,"","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
37,3,10,"",1258291200,0,"BattlePassFourMeldingoftheFlesh","[""your MTX stash, waiting to be unwrapped.""]",0,"","",1265,1269,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
38,3,12,"",1509949440,0,"BattlePassFourHateforge","[""r MTX stash, waiting to be unwrapped.""]",0,"","",1266,1270,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
39,3,13,"",1677721600,0,"MysteryPackHarmonyBox","[""攀爀礀 䈀漀砀""]",0,"Receive a random prize with a Harmony theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",1267,1271,1,"","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
40,3,14,"",1761607680,0,"BattlePassFourStarforge","["" MTX stash, waiting to be unwrapped.""]",0,"","",1276,1278,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
41,3,16,"",1929379840,0,"BattlePassFourVoidforge","["" 䴀吀堀 猀琀愀猀栀Ⰰ 眀愀椀琀椀渀最 琀漀 戀攀 甀渀眀爀愀瀀瀀攀搀⸀""]",0,"","",1277,1279,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
42,4,0,"",16777216,0,"MysteryPackApocalypseBox","[""猀猀""]",0,"Receive a random prize with an Apocalypse theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",375,1294,"","Apocalypse Mystery Box","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
43,4,0,1,16777216,0,"",[],0,"Contains 3 Orbs of Horizons","",375,399,""," Orb of Horizons",5,"",0,0,0,-855638016,0,0,0,50331648,"","",""
44,4,1,"",134217728,0,"IgneousEmperorBoots","[""愀琀琀氀攀倀愀猀猀䘀漀甀爀嘀漀椀搀昀漀爀最攀""]",0,"","",376,1295,"","Igneous Emperor Boots","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
45,4,1,1,134217728,0,"",[],0,"Contains 3 Explorer's Scouting Reports","",376,400,"","Explorer's Scouting Report",5,"",0,0,0,520093696,40,0,0,50331648,"","",""
46,4,2,"",285212672,0,"MysteryPackGlimmerwoodBox","[""⑒""]",0,"Receive a random prize with a Glimmerwood theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",377,1296,"","Glimmerwood Mystery Box","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
47,4,2,1,285212672,0,"",[],0,"Contains 3 Orbs of Unmaking","",377,401,"","Orb of Unmaking",5,"",0,0,0,150994944,0,0,0,50331648,"","",""
48,4,3,"",452984832,0,"IgneousEmperorGloves","[""attlePassFourVoidforge""]",0,"","",378,1297,"","Igneous Emperor Gloves","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
49,4,3,1,452984832,0,"",[],0,"Contains a Random Unique Map up to Tier 5","Art/2DItems/Maps/VaultPassRandomMap.dds",378,402,"","Unique Map",3,"",0,0,0,-33554432,-16843010,-16843010,-16843010,33488638,"","",""
50,4,4,"",671088640,0,"MysteryPackThaumaturgyBox","[""ilight Mystery Box""]",0,"Receive a random prize with a Thaumaturgy theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",379,1298,"","Thaumaturgy Mystery Box","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
51,4,4,1,671088640,0,"",[],0,"Contains 3 Random Polished Scarabs","Art/2DItems/Currency/Scarabs/NormalScarabVaultPassRandom.dds",379,403,"","Polished Scarabs",0,"",0,0,0,-33554432,-16843010,-16843010,-16843010,67043070,"","",""
52,4,5,"",956301312,0,"IgneousEmperorBodyArmour","[""琀琀氀攀倀愀猀猀䘀漀甀爀嘀漀椀搀昀漀爀最攀""]",0,"","",380,1299,"","Igneous Emperor Body Armour","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
53,4,5,1,956301312,0,"",[],0,"Contains 3 Influenced Scouting Reports","",380,404,"","Influenced Scouting Report",5,"",0,0,0,503316480,40,0,0,50331648,"","",""
54,4,6,"",1342177280,0,"MysteryPackMidnightPactBox","[""礀猀琀攀爀礀 䈀漀砀""]",0,"Receive a random prize with a Midnight theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",381,1300,"","Midnight Pact Mystery Box","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
55,4,6,1,1342177280,0,"",[],0,"Contains 5 Awakened Sextants","",381,405,"","Awakened Sextant",5,"",0,0,0,-1258291200,0,0,0,83886080,"","",""
56,4,7,"",1929379840,0,"IgneousEmperorHelmet","[""BattlePassFourVoidforge""]",0,"","",382,1301,"","Igneous Emperor Helmet","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
57,4,7,1,1929379840,0,"",[],0,"Contains a Xoph, Esh or Tul Breachstone","Art/2DItems/Currency/Breach/VaultPassRandomBreach.dds",382,406,"","Breachstone",0,"",0,0,0,-33554432,-16843010,-16843010,-16843010,33488638,"","",""
58,5,0,"",16777216,0,"MysteryPackAngelsAndDemonsBox","[""椀最栀琀 䴀礀猀琀攀爀礀 䈀漀砀""]",0,"Receive a random prize with an Angels and Demons theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",375,1294,"","Angels and Demons Mystery Box","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
59,5,0,1,16777216,0,"",[],0,"Contains 10 Cartographer's Chisels","",375,399,"","Cartographer's Chisels",5,"",0,0,0,419430400,0,0,0,167772160,"","",""
60,5,1,"",134217728,0,"AtlasPassOracleBoots","[""ryPackApocalypseBox""]",0,"","",376,1295,"","Oracle Boots","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
61,5,1,1,134217728,0,"",[],0,"Contains 3 Random Rusted Scarabs","Art/2DItems/Currency/Scarabs/NormalScarabVaultPassRandom.dds",376,400,"","Rusted Scarabs",5,"",0,0,0,-33554432,-16843010,-16843010,-16843010,67043070,"","",""
62,5,2,"",285212672,0,"MysteryPackApollyonBox","["" Mystery Box""]",0,"Receive a random prize with an Apollyon theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",377,1296,"","Apollyon Mystery Box","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
63,5,2,1,285212672,0,"",[],0,"Contains 3 Orbs of Unmaking","",377,401,"","Orb of Unmaking",5,"",0,0,0,150994944,0,0,0,50331648,"","",""
64,5,3,"",452984832,0,"AtlasPassOracleGloves","[""礀倀愀挀欀䄀瀀漀挀愀氀礀瀀猀攀䈀漀砀""]",0,"","",378,1297,"","Oracle Gloves","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
65,5,3,1,452984832,0,"",[],0,"Contains 3 Singular Scouting Reports","",378,402,"","Singular Scouting Report",0,"",0,0,0,385875968,40,0,0,50331648,"","",""
66,5,4,"",671088640,0,"MysteryPackOriathanBox","[""s""]",0,"Receive a random prize with an Oriath theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",379,1298,"","Oriath Mystery Box","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
67,5,4,1,671088640,0,"",[],0,"Contains a Blighted Map","Art/2DItems/Maps/BattlePassBlightedMap.dds",379,403,"","Blighted Map",0,"",0,0,0,-33554432,-16843010,-16843010,-16843010,33488638,"","",""
68,5,5,"",956301312,0,"AtlasPassOracleBodyArmour","[""yPackApocalypseBox""]",0,"","",380,1299,"","Oracle Body Armour","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
69,5,5,1,956301312,0,"",[],0,"Contains Niko's Charged Compass","",380,404,"","Niko's Charged Compass",0,"",0,0,0,754974720,0,0,0,16777216,"","",""
70,5,6,"",1342177280,0,"MysteryPackTwilightBox","[""ght Mystery Box""]",0,"Receive a random prize with a Twilight theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",381,1300,"","Twilight Mystery Box","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
71,5,6,1,1342177280,0,"",[],0,"Contains a Random Shaper Guardian Map","Art/2DItems/Maps/BattlePassGuardianMap.dds",381,405,"","Shaper Guardian Map",2,"",0,0,0,-33554432,-16843010,-16843010,-16843010,33488638,"","",""
72,5,7,"",1929379840,0,"AtlasPassOracleHelmet","[""爀礀倀愀挀欀䄀瀀漀挀愀氀礀瀀猀攀䈀漀砀""]",0,"","",382,1301,"","Oracle Helmet","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
73,5,7,1,1929379840,0,"",[],0,"Contains a Random Master's Memory","Art/2DItems/Currency/MemoryLine/BattlePassMemoryLine.dds",382,406,"","Random Memory",1,"",0,0,0,-33554432,-16843010,-16843010,-16843010,33488638,"","",""
