39,"Metadata/NPC/Info/Karui/Stone1","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
40,"Metadata/NPC/Info/Karui/Stone2","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
41,"Metadata/NPC/Info/Karui/Stone3","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
42,"Metadata/NPC/Info/Karui/Stone4","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
43,"Metadata/NPC/Info/Karui/Stone5","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
44,"Metadata/NPC/Info/Karui/Stone6","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
45,"Metadata/NPC/Info/Karui/Stone7","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
46,"Metadata/NPC/Info/Victario/GraffitiIntro","Ancient Graffiti","Metadata/NPC/Info/VictarioGraffitiLarger","","","",[],[],"","",""
47,"Metadata/NPC/Info/Victario/GraffitiSlum","Ancient Graffiti","Metadata/NPC/Info/VictarioGraffitiLarger","","","",[],[],"","",""
48,"Metadata/NPC/Info/Victario/GraffitiWarehouse","Ancient Graffiti","Metadata/NPC/Info/VictarioGraffitiLarger","","","",[],[],"","",""
49,"Metadata/NPC/Info/Victario/GraffitiBattlefront","Ancient Graffiti","Metadata/NPC/Info/VictarioGraffitiLarger","","","",[],[],"","",""
50,"Metadata/NPC/Info/Victario/GraffitiDocks","Ancient Graffiti","Metadata/NPC/Info/VictarioGraffiti","","","",[],[],"","",""
51,"Metadata/NPC/Info/Victario/GraffitiChurch","Ancient Graffiti","Metadata/NPC/Info/VictarioGraffiti","","","",[],[],"","",""
52,"Metadata/NPC/Info/Victario/Notebook","Ancient Notebook","Metadata/NPC/Info/VictarioGraffiti","","","",[],[],"","",""
53,"Metadata/NPC/Info/MerveilSkin","Sailor's Skin","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
54,"Metadata/NPC/Info/MerveilDiary","Damp Diary","Metadata/NPC/Info/MerveilDiary","","","",[],[],"","",""
55,"Metadata/NPC/Act3/Scion","Scion","Metadata/NPC/NPC","","","",[],[],"","","F"
56,"Metadata/NPC/Info/MapDevice","Reverie Device","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
57,"Metadata/NPC/Info/MapDeviceOld","Ancient Reverie Device","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
58,"Metadata/NPC/Info/GemCart","Transmutia Device","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
59,"Metadata/NPC/Info/LibraryGaribaldi1","The Purity Chronicles","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
60,"Metadata/NPC/Info/LibraryGaribaldi2","The Purity Chronicles","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
61,"Metadata/NPC/Info/LibraryGaribaldi3","The Purity Chronicles","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
62,"Metadata/NPC/Info/LibraryGaribaldi4","The Purity Chronicles","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
63,"Metadata/NPC/Info/LibraryGaribaldi5","The Purity Chronicles","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
64,"Metadata/NPC/Info/LibraryGaribaldi6","The Purity Chronicles","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
65,"Metadata/NPC/Info/LibraryVictario1","Victario's Writings","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
66,"Metadata/NPC/Info/LibraryVictario2","Victario's Writings","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
67,"Metadata/NPC/Info/LibraryVictario3","Victario's Writings","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
68,"Metadata/NPC/Info/LibraryVictario4","Victario's Writings","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
69,"Metadata/NPC/Info/LibraryMilitary1","The Ancients","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
70,"Metadata/NPC/Info/LibraryMilitary2","The Ancients","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
71,"Metadata/NPC/Info/LibraryMilitary3","The Ancients","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
72,"Metadata/NPC/Info/LibraryMilitary4","The Ancients","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
73,"Metadata/NPC/Info/LibraryMilitary5","The Ancients","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
74,"Metadata/NPC/Info/LibraryMilitary6","The Ancients","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
75,"Metadata/NPC/Info/LibraryMilitary7","The Ancients","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
76,"Metadata/NPC/Info/MalachaiStatue","Plaque","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
77,"Metadata/NPC/Info/CrossroadsLoreChapel","Etchings on Wood IV","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
78,"Metadata/NPC/Info/CrossroadsLoreWindmill","Etchings on Wood III","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
79,"Metadata/NPC/Info/CrossroadsLoreVilla","Etchings on Wood I","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
80,"Metadata/NPC/Info/CrossroadsLoreVilla2","Etchings on Wood II","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
81,"Metadata/NPC/Info/HighgateNote","Note","Metadata/NPC/Info/HighgateNote","","","",[],[],"","",""
82,"Metadata/NPC/Info/GeofriPlaque","Plaque","Metadata/NPC/Info/GeofriPlaque","","","",[],[],"","",""
83,"Metadata/NPC/Info/TallStones","Proclamation","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
84,"Metadata/NPC/Info/DaressoStatue1","Plaque","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
85,"Metadata/NPC/Info/DaressoStatue2","Plaque","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
86,"Metadata/NPC/Info/DaressoStatue3","Plaque","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
87,"Metadata/NPC/Info/KaomCarving1","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
88,"Metadata/NPC/Info/KaomCarving2","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
89,"Metadata/NPC/Info/KaomCarving3","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
90,"Metadata/NPC/Info/KaomCarving4","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
91,"Metadata/Chests/DescentChests/DescentChestNPC1","Chest 1","Metadata/Chests/DescentChests/DescentChestNPC1","","","",[],[],"","",""
92,"Metadata/Chests/DescentChests/DescentChestNPC2","Chest 2","Metadata/Chests/DescentChests/DescentChestNPC2","","","",[],[],"","",""
93,"Metadata/NPC/Info/LioneyesStandard","Lioneye's Standard","Metadata/NPC/Info/LioneyesStandard","","","",[],[],"","",""
94,"Metadata/NPC/Info/ResonatorInstructions","Resonator Instructions","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
95,"Metadata/NPC/Info/VollBookStand","Voll's Confession","Metadata/NPC/Info/VollBookStand","","","",[],[],"","",""
96,"Metadata/NPC/Info/MalachaiNotebook","Malachai's Notebook","Metadata/NPC/Info/MalachaiNotebook","","","",[],[],"","",""
97,"Metadata/NPC/Info/MalachaiSkinscrawl","Malachai's Dedication","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
98,"Metadata/NPC/Act4/Kira","Kira","Metadata/NPC/NPC",3,"","",[29],[30],"","","F"
99,"Metadata/NPC/Act4/Oyun","Oyun","Metadata/NPC/NPC","","","",[31],[32],"","","F"
100,"Metadata/NPC/Act4/PetarusVanja","Petarus and Vanja","Metadata/NPC/NPC",14,"","",[33],[34],"","","MP"
101,"Metadata/NPC/Act4/DiallaAqueduct","Lady Dialla","Metadata/NPC/NPC","","","Dialla",[35],[36],"","","F"
102,"Metadata/NPC/Act4/DiallaTown","Lady Dialla","Metadata/NPC/NPC","","","Dialla",[35],[36],"","","F"
103,"Metadata/NPC/Act4/DiallaRapture","Lady Dialla","Metadata/NPC/NPC","","","Dialla",[37],[38],"","","F"
104,"Metadata/NPC/Act4/DiallaTownWithered","Dialla","Metadata/NPC/NPC","","","Dialla",[39],[40],"","","F"
105,"Metadata/NPC/Act4/PietyHarvest","Piety","Metadata/NPC/NPC","","","Piety",[],[],"","","F"
106,"Metadata/NPC/Act4/PietyBelly","Piety","Metadata/NPC/NPC","","","Piety",[],[],"","","F"
107,"Metadata/NPC/Act4/Tasuni","Tasuni","Metadata/NPC/NPC",36,"","",[41],[42],"","","M"
108,"Metadata/NPC/Missions/Dex","Tora, Master of the Hunt","Metadata/NPC/NPC","","","Tora",[43],[],"","","F"
109,"Metadata/NPC/Missions/Int","Catarina, Master of the Dead","Metadata/NPC/NPC","","","Catarina",[44],[],"","","F"
110,"Metadata/NPC/Missions/Str","Haku, Armourmaster","Metadata/NPC/NPC","","","Haku",[45],[],"","","M"
111,"Metadata/NPC/Missions/DexInt","Vorici, Master Assassin","Metadata/NPC/NPC","","","Vorici",[46],[],"","","M"
112,"Metadata/NPC/Missions/StrDex","Vagan, Weaponmaster","Metadata/NPC/NPC","","","Vagan",[47],[],"","","M"
113,"Metadata/NPC/Missions/StrInt","Elreon, Loremaster","Metadata/NPC/NPC","","","Elreon",[48],[],"","","M"
114,"Metadata/NPC/Missions/StrDexInt","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",[49],[50],"","","F"
115,"Metadata/NPC/Missions/PvP","Leo, Master of the Arena","Metadata/NPC/NPC","","","Leo",[53],[54],"","","M"
116,"Metadata/NPC/Missions/Wild/Dex","Tora, Master of the Hunt","Metadata/NPC/NPC","","","Tora",[],[],"","","F"
117,"Metadata/NPC/Missions/Wild/Int","Catarina, Master of the Dead","Metadata/NPC/NPC","","","Catarina",[],[],"","","F"
118,"Metadata/NPC/Missions/Wild/Str","Haku, Armourmaster","Metadata/NPC/NPC","","","Haku",[],[],"","","M"
119,"Metadata/NPC/Missions/Wild/DexInt","Vorici, Master Assassin","Metadata/NPC/NPC","","","Vorici",[],[],"","","M"
120,"Metadata/NPC/Missions/Wild/StrDex","Vagan, Weaponmaster","Metadata/NPC/NPC","","","Vagan",[],[],"","","M"
121,"Metadata/NPC/Missions/Wild/StrInt","Elreon, Loremaster","Metadata/NPC/NPC","","","Elreon",[],[],"","","M"
122,"Metadata/NPC/Missions/Wild/StrDexInt","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",[49],[50],"","","F"
123,"Metadata/NPC/Missions/Wild/Fish","Krillson, Master Fisherman","Metadata/NPC/NPC","","","Krillson",[],[],"","","M"
124,"Metadata/NPC/Missions/Hideout/Dex","Tora, Master of the Hunt","Metadata/NPC/NPC","","","Tora",[43],[],"","","F"
125,"Metadata/NPC/Missions/Hideout/Int","Catarina, Master of the Dead","Metadata/NPC/NPC","","","Catarina",[44],[],"","","F"
126,"Metadata/NPC/Missions/Hideout/Str","Haku, Armourmaster","Metadata/NPC/NPC","","","Haku",[45],[],"","","M"
127,"Metadata/NPC/Missions/Hideout/DexInt","Vorici, Master Assassin","Metadata/NPC/NPC","","","Vorici",[46],[],"","","M"
128,"Metadata/NPC/Missions/Hideout/StrDex","Vagan, Weaponmaster","Metadata/NPC/NPC","","","Vagan",[47],[],"","","M"
129,"Metadata/NPC/Missions/Hideout/StrInt","Elreon, Loremaster","Metadata/NPC/NPC","","","Elreon",[48],[],"","","M"
130,"Metadata/NPC/Missions/Hideout/StrDexInt","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",[49],[50],"","","F"
131,"Metadata/NPC/Missions/Hideout/StrDexIntDemo","Zana, Master Cartographer","Metadata/NPC/Missions/Hideout/StrDexInt","",6,"Zana",[],[],"","","F"
132,"Metadata/NPC/Missions/Hideout/PvP","Leo, Master of the Arena","Metadata/NPC/NPC","","","Leo",[53],[54],"","","M"
133,"Metadata/NPC/Labyrinth/LabyrinthTrialGlyphPrison","Bronze Monograph","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
134,"Metadata/NPC/Labyrinth/LabyrinthTrialGlyphSins","Bronze Monograph","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
135,"Metadata/NPC/Labyrinth/LabyrinthTrialGlyphChurch","Bronze Monograph","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
136,"Metadata/NPC/Labyrinth/LabyrinthTrialGlyphCrematorium","Bronze Monograph","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
137,"Metadata/NPC/Labyrinth/LabyrinthTrialGlyphHedge","Bronze Monograph","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
138,"Metadata/NPC/Labyrinth/LabyrinthTrialGlyphCatacombs","Bronze Monograph","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
139,"Metadata/NPC/Labyrinth/LabyrinthGlyph0","Bronze Plaque","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
140,"Metadata/NPC/Labyrinth/LabyrinthGlyph1","Bronze Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
141,"Metadata/NPC/Labyrinth/LabyrinthGlyph2","Bronze Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
142,"Metadata/NPC/Labyrinth/LabyrinthGlyph3","Bronze Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
143,"Metadata/NPC/Labyrinth/LabyrinthGlyph4","Bronze Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
144,"Metadata/NPC/Izaro","Izaro","Metadata/NPC/NPC","","","",[],[],"","","M"
145,"Metadata/NPC/Labyrinth/WeylinGlyph1","Poem","Metadata/NPC/Info/StoryGlyphSmall","","","",[],[],"","",""
146,"Metadata/NPC/Labyrinth/WeylinGlyph2","Poem","Metadata/NPC/Info/StoryGlyphSmall","","","",[],[],"","",""
147,"Metadata/NPC/Labyrinth/WeylinGlyph3","Poem","Metadata/NPC/Info/StoryGlyphSmall","","","",[],[],"","",""
148,"Metadata/NPC/Labyrinth/WeylinGlyph4","Poem","Metadata/NPC/Info/StoryGlyphSmall","","","",[],[],"","",""
149,"Metadata/NPC/Labyrinth/WeylinGlyph5","Poem","Metadata/NPC/Info/StoryGlyphSmall","","","",[],[],"","",""
150,"Metadata/NPC/Info/MalachaiGlyphPrison","Letter of Instruction","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
151,"Metadata/NPC/Info/MalachaiScrollGrainGate","Official Orders","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
152,"Metadata/NPC/Info/MalachaiNoteDialla","Journal Entry","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
153,"Metadata/NPC/Info/MalachaiJournalLab","Malachai's Journal","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
154,"Metadata/NPC/Info/MalachaiLetterSceptre","Letter to Chitus","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
155,"Metadata/NPC/Rigwald","Rigwald","Metadata/NPC/NPC","","","",[],[],"","","M"
156,"Metadata/NPC/Info/RigwaldGlyph1","Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
157,"Metadata/NPC/Info/RigwaldGlyph2","Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
158,"Metadata/NPC/Info/RigwaldGlyph3","Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
159,"Metadata/NPC/Info/RigwaldGlyph4","Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
160,"Metadata/NPC/Info/RigwaldGlyph5","Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
161,"Metadata/NPC/Info/RigwaldGlyph6","Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
162,"Metadata/NPC/League/Perandus/Cadiro","Cadiro Perandus","Metadata/NPC/NPC",22,"","Cadiro",[55],[56],"","","M"
163,"Metadata/NPC/League/Prophecy/Navali","Navali","Metadata/NPC/NPC","","","",[57],[58],"","","F"
164,"Metadata/NPC/League/Prophecy/ProphecyDarkTome","Dark Tome","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
165,"Metadata/NPC/RigwaldMap","The Cursed King","Metadata/NPC/NPC","","","",[],[],"","","M"
166,"Metadata/NPC/RigwaldMapSimplified","Lycius, Midnight's Howl","Metadata/NPC/NPC","","","",[],[],"","","M"
167,"Metadata/NPC/League/Prophecy/NavaliWild","Navali","Metadata/NPC/NPC","","","",[57],[58],"","","F"
168,"Metadata/NPC/League/Prophecy/NavaliHideout","Navali","Metadata/NPC/NPC","","","",[57],[58],"","","F"
169,"Metadata/NPC/League/Bestiary/EinharHideout","Einhar, Beastmaster","Metadata/NPC/NPC",23,1,"Einhar",[75],[76],"",1,"M"
170,"Metadata/Monsters/Masters/Einhar","Einhar, Beastmaster","Metadata/NPC/NPC","",1,"Einhar",[],[],"","","M"
171,"Metadata/NPC/League/Bestiary/Einhar","Einhar, Beastmaster","Metadata/NPC/NPC",23,1,"Einhar",[75],[76],"",1,"M"
172,"Metadata/NPC/League/Bestiary/EinharWild","Einhar, Beastmaster","Metadata/NPC/NPC",23,1,"Einhar",[75],[76],"","","M"
173,"Metadata/NPC/League/Bestiary/EinharMenagerie","Einhar, Beastmaster","Metadata/NPC/NPC",23,1,"Einhar",[75],[76],"","","M"
174,"Metadata/NPC/Epilogue/ZanaElderMid","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",[],[],"","","F"
175,"Metadata/NPC/Epilogue/ZanaElder","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",[],[],"","","F"
176,"Metadata/NPC/Epilogue/ZanaSecret","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",[],[],"","","F"
177,"Metadata/NPC/Epilogue/ZanaShaper","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",[],[],"","","F"
178,"Metadata/NPC/Shaper","The Shaper","Metadata/NPC/NPC","","","",[],[],"","","M"
179,"Metadata/NPC/Act5/Lani","Lani","Metadata/NPC/NPC",15,"","",[68],[69],"","","F"
180,"Metadata/NPC/Act5/Vilenta","Vilenta","Metadata/NPC/NPC",37,"","",[64],[65],"","","F"
181,"Metadata/NPC/Act5/Utula","Utula","Metadata/NPC/NPC",4,"","",[66],[67],"","","M"
182,"Metadata/NPC/Act5/BannonTown","Bannon","Metadata/NPC/NPC",4,"","",[62],[63],"","","M"
183,"Metadata/NPC/Act5/BannonInnocence","Bannon","Metadata/NPC/NPC","","","",[],[],"","","M"
184,"Metadata/NPC/Act5/SinInnocence","Sin","Metadata/NPC/NPC","","","",[],[],"","","M"
185,"Metadata/NPC/Act5/SinKitava","Sin","Metadata/NPC/NPC","","","",[],[],"","","M"
186,"Metadata/NPC/Act5/Lilly","Lilly Roth","Metadata/NPC/NPC","","","Lilly",[153],[154],"","","F"
187,"Metadata/NPC/Act6/Tarkleigh","Tarkleigh","Metadata/NPC/Act1/Tarkleigh",5,"","",[0],[1],"","","M"
188,"Metadata/NPC/Act6/Bestel","Bestel","Metadata/NPC/Act1/Bestel",16,"","",[4],[],"","","M"
189,"Metadata/NPC/Act6/Lilly","Lilly Roth","Metadata/NPC/NPC",44,"","Lilly",[153],[154],"","","F"
190,"Metadata/NPC/Act6/WeylamBeacon","Weylam Roth","Metadata/NPC/NPC","","","Weylam",[],[],"","","M"
191,"Metadata/NPC/Act6/WeylamReef1","Weylam Roth","Metadata/NPC/NPC","","","Weylam",[],[],"","","M"
192,"Metadata/NPC/Act6/WeylamReef2","Weylam Roth","Metadata/NPC/NPC","","","Weylam",[],[],"","","M"
193,"Metadata/NPC/Act6/SinTown","Sin","Metadata/NPC/NPC","","","",[72],[73],"","","M"
194,"Metadata/NPC/Act6/SinTukohama","Sin","Metadata/NPC/NPC","","","",[72],[73],"","","M"
195,"Metadata/NPC/Act6/SinAbberath","Sin","Metadata/NPC/NPC","","","",[72],[73],"","","M"
196,"Metadata/NPC/Act6/SinShavronne","Sin","Metadata/NPC/NPC","","","",[72],[73],"","","M"
197,"Metadata/NPC/Act6/SinRyslatha","Sin","Metadata/NPC/NPC","","","",[72],[73],"","","M"
198,"Metadata/NPC/Act6/SinBrineKing","Sin","Metadata/NPC/NPC","","","",[72],[73],"","","M"
199,"Metadata/NPC/Act6/NessaMudFlats","Nessa","Metadata/NPC/NPC","","","",[],[],"","","F"
200,"Metadata/NPC/Act6/NessaPrisonersGate","Nessa","Metadata/NPC/NPC","","","",[],[],"","","F"
201,"Metadata/NPC/Act6/NessaMerveilsCaverns","Nessa","Metadata/NPC/NPC","","","",[],[],"","","F"
202,"Metadata/NPC/Act6/NessaBrineKing","Nessa","Metadata/NPC/NPC","","","",[],[],"","","F"
203,"Metadata/NPC/League/Prophecy/NavaliMonkey","Yama the White","Metadata/NPC/NPC","","","",[],[],"","",""
204,"Metadata/NPC/Act6/Tukohama","Tukohama","Metadata/NPC/NPC","","","",[],[],"","","M"
205,"Metadata/NPC/Info/VaalLetters/VaalLetter_01","Vaal Letter","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
206,"Metadata/NPC/Info/VaalLetters/VaalLetter_02","Vaal Letter","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
207,"Metadata/NPC/Info/VaalLetters/VaalLetter_03","Vaal Letter","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
208,"Metadata/NPC/Info/VaalLetters/VaalLetter_04","Vaal Letter","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
209,"Metadata/NPC/Info/VaalLetters/VaalLetter_05","Vaal Letter","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
210,"Metadata/NPC/Info/VaalLetters/VaalLetter_06","Vaal Letter","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
211,"Metadata/NPC/Info/VaalLetters/VaalLetter_07","Vaal Letter","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
212,"Metadata/NPC/Info/VaalLetters/VaalLetter_08","Vaal Letter","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
213,"Metadata/NPC/Info/VaalLetters/VaalLetter_09","Vaal Letter","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
214,"Metadata/NPC/Info/VaalLetters/VaalLetter_10","Vaal Letter","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
215,"Metadata/NPC/Info/VaalLetters/VaalLetter_11","Vaal Letter","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
