"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","MapsKey","FlavourTextKey","AtlasNodeKeys","Tier0","Tier1","Tier2","Tier3","Tier4","f32","f32","f32","f32","f32","DDSFile","bool","NotOnAtlas"
46,1136,7709,"",376,1984,"[31,95,92,49]",15,16,16,16,16,650.565,84.4,237,14.16,4.269,"","",""
47,1106,7762,"",343,1954,"[71,74,114,73]",8,11,15,16,16,593.215,241.805,173,24.225,7.947,"","",""
48,1267,7717,"",361,2099,"[39,50,90,4]",3,6,10,14,16,575.391,376.274,158,3.092,8.312,"","",""
49,1127,7700,"",367,1975,"[46,26]",16,16,16,16,16,736.277,62.283,161,-17.911,18.865,"","",""
50,1205,7718,"",431,2051,"[83,48,112,34]",4,7,11,15,16,531.56,355.889,129,6.623,-3.249,"","",""
51,1200,7752,"",427,2046,"[41,74,40]",10,13,16,16,16,766.955,193.558,146,-23.396,9.976,"","",""
52,1228,7761,"",451,2073,"[109,97,30,20]",4,7,11,15,16,749.812,400.231,183,-18.639,8.914,"","",""
53,1181,7775,"",411,2028,"[113,80,69]",2,5,9,13,16,355.625,485.046,204,-17.227,-20.025,"","",""
54,1214,7816,"",440,2059,"[106,55,60]",9,12,16,16,16,197.271,220.144,167,40.771,14.831,"","",""
55,1242,7820,"",465,2087,"[63,54,56,43]",10,13,16,16,16,243.218,196.553,162,9.378,2.033,"","",""
56,1204,7736,"",430,2050,"[55,14]",11,14,16,16,16,197.392,181.784,79,23.161,-2.937,"","",""
57,1217,7733,"",442,2062,"[68,61,75,43]",8,11,15,16,16,398.907,249.782,196,-4.068,-2.525,"","",""
58,1209,7695,"",435,2055,"[84,41,74,6]",8,11,15,16,16,761.215,255.893,171,-5.978,0.036,"","",""
59,1093,7707,"",329,1941,"[81,93,44,24]",11,14,16,16,16,417.216,172.483,151,1.402,-3.652,"","",""
60,1115,7767,"",351,1963,"[111,54]",8,11,15,16,16,208.948,259.429,99,0.954,-2.977,"","",""
61,1158,7739,"",393,2006,"[98,93,57,24]",9,12,16,16,16,410.078,215.15,173,21.114,0.813,"","",""
62,1189,7827,"",417,2036,"[76,105]",15,16,16,16,16,177.415,97.409,79,23.86,-0.014,"","",""
63,1165,7723,"",399,2013,"[44,55,24,14]",11,14,16,16,16,305.639,178.534,188,-11.845,5.361,"","",""
64,1263,7766,"",358,2095,"[80,78,94]",2,5,9,13,16,420.516,427.324,147,4.949,4.79,"","",""
65,1236,7802,"",459,2081,"[111,108,33]",6,9,13,16,16,204.962,327.161,139,24.597,6.238,"","",""
66,1091,7694,"",327,1939,"[37,109,20]",2,5,9,13,16,677.004,491.297,208,9.064,-12.234,"","",""
67,1206,7727,"",432,2052,"[92,99,22]",15,16,16,16,16,461.303,84.504,235,-0.434,1.547,"","",""
68,1211,7716,"",437,2057,"[82,106,88,57,18]",7,10,14,16,16,381.273,278.962,271,1.532,5.635,"","",""
69,1090,7841,"",326,1938,"[53,89,10]",3,6,10,14,16,261.507,460.779,217,11.713,-22.733,"","",""
70,1139,7731,"",379,1987,"[102,38,77]",14,16,16,16,16,303.122,115.216,212,23.596,4.01,"","",""
71,1195,7769,"",423,2041,"[98,42,47,18]",7,10,14,16,16,573.868,273.983,152,-19.915,-3.286,"","",""
72,1194,7773,"",422,2040,"[37,109,16]",2,5,9,13,16,642.142,451.676,155,2.694,-1.663,"","",""
73,1245,7814,"",468,2090,"[98,93,101,87,47]",9,12,16,16,16,573.172,213.337,211,-13.629,-5.484,"","",""
74,1098,7699,"",335,1946,"[51,101,85,47,58]",9,12,16,16,16,687.964,228.348,221,1.355,-0.478,"","",""
75,1095,7833,"",332,1943,"[98,57,18]",7,10,14,16,16,471.732,263.98,168,-2.464,-2.626,"","",""
76,1244,7756,"",467,2089,"[62,79,77]",14,16,16,16,16,202.437,114.959,174,12.132,7.267,"","",""
77,1225,7798,"",448,2070,"[70,76,44,14]",13,16,16,16,16,286.951,138.182,198,-12.205,-3.881,"","",""
78,1132,7743,"",372,1980,"[36,64]",1,4,8,12,16,462.926,423.194,96,-8.13,-9.782,"",1,""
79,1241,7817,"",464,2086,"[76,14]",13,16,16,16,16,191.475,138.353,74,13.512,-1.181,"","",""
80,1180,7777,"",410,2027,"[53,64,8]",1,4,8,12,16,422.548,493.34,112,-28.905,-31.404,"",1,""
81,1240,7794,"",463,2085,"[102,59,91]",12,15,16,16,16,472.15,143.278,128,-18.912,8.18,"","",""
82,1193,7732,"",421,2039,"[83,68,96]",6,9,13,16,16,414.221,306.299,215,-3.028,5.822,"","",""
83,1108,7735,"",345,1956,"[82,50,107,42,18]",5,8,12,16,16,504.258,326.464,228,-6.351,-1.515,"","",""
84,1197,7746,"",425,2043,"[35,85,58,32]",7,10,14,16,16,736.396,287.888,168,3.213,0.847,"","",""
85,1109,7689,"",346,1957,"[84,74,114]",8,11,15,16,16,676.466,257.072,126,13.486,9.077,"","",""
86,1234,7799,"",457,2079,"[31,104,45,22]",13,16,16,16,16,582.018,120.508,275,2.917,8.168,"","",""
87,1237,7842,"",460,2082,"[110,73,91]",10,13,16,16,16,561.716,177.8,155,5.534,0.189,"","",""
88,1137,7705,"",377,1985,"[111,33,68,96]",6,9,13,16,16,296.692,308.55,198,9.63,3.938,"","",""
89,1100,7839,"",337,1948,"[113,108,33,69]",4,7,11,15,16,265.302,392.51,162,0.8,5.662,"","",""
90,1174,7792,"",405,2021,"[48,112,2]",2,5,9,13,16,535.415,393.191,132,3.883,-3.514,"","",""
91,1103,7768,"",340,1951,"[81,93,87,45]",11,14,16,16,16,504.985,158.212,122,10.101,5.041,"","",""
92,1161,7834,"",396,2009,"[46,67]",16,16,16,16,16,561.018,75.454,220,-3.389,5.999,"","",""
93,1178,7720,"",408,2025,"[61,59,73,91]",10,13,16,16,16,475.633,192.198,227,0.584,-1.922,"","",""
94,1149,7779,"",387,1997,"[107,36,64,8,28]",3,6,10,14,16,395.872,384.597,182,11.157,11.659,"","",""
95,1102,7796,"",339,1950,"[46,100,26]",14,16,16,16,16,729.141,106.571,168,-10.672,-0.573,"","",""
96,1172,7748,"",404,2020,"[82,107,88,28]",5,8,12,16,16,345.021,336.76,176,19.957,0.334,"","",""
97,1104,7789,"",341,1952,"[52,35,42,4]",5,8,12,16,16,679.632,351.005,213,-1.206,-1.159,"","",""
98,1208,7790,"",434,2054,"[71,61,75,73]",8,11,15,16,16,503.424,231.435,226,3.031,8.142,"","",""
99,1269,7801,"",471,2101,"[67,38]",16,16,16,16,16,339.113,68.86,204,14.459,10.391,"","",""
100,1243,7815,"",466,2088,"[31,95,104,12]",13,16,16,16,16,725.915,136.26,164,-16.016,-3.392,"","",""
101,1182,7781,"",412,2029,"[110,74,73,40]",10,13,16,16,16,650.098,190.546,192,3.375,2.41,"","",""
102,1118,7784,"",353,1966,"[70,81,44,22]",13,16,16,16,16,418.601,131.86,230,-15.173,-2.449,"","",""
103,1092,7708,"",328,1940,"[30,20,0]",4,7,11,15,16,812.191,422.487,180,-25.128,-13.945,"","",""
104,1123,7830,"",364,1971,"[110,86,100,40]",12,15,16,16,16,671.995,151.701,206,-4.783,-3.498,"","",""
105,1130,7778,"",370,1978,"[62,38]",16,16,16,16,16,223.973,79.817,155,9.222,9.807,"","",""
106,1229,7785,"",452,2074,"[111,54,68,43]",8,11,15,16,16,302.731,263.775,228,-19.338,-7.56,"","",""
107,1101,7825,"",338,1949,"[83,96,94,112]",4,7,11,15,16,438.146,354.779,209,-3.33,-1.102,"","",""
108,1094,7831,"",331,1942,"[65,89,10]",5,8,12,16,16,204.652,368.266,125,16.688,7.181,"","",""
109,1196,7741,"",424,2042,"[72,52,66,4]",3,6,10,14,16,708.788,449.405,172,-24.423,-16.194,"","",""
110,1110,7836,"",347,1958,"[104,101,87,45]",11,14,16,16,16,629.126,162.608,142,-14.35,2.878,"","",""
111,1148,7774,"",386,1996,"[106,88,65,60]",7,10,14,16,16,223.487,289.784,147,23.877,-0.044,"","",""
112,1265,7788,"",360,2097,"[50,107,36,90]",3,6,10,14,16,490.783,365.783,144,4.587,6.089,"","",""
113,1210,7715,"",436,2056,"[53,89,8,28]",3,6,10,14,16,313.911,420.919,166,14.396,2.999,"","",""
114,1261,7772,"",357,2094,"[35,85,42,47]",7,10,14,16,16,658.981,291.287,188,-9.527,-8.344,"","",""
115,1246,7804,"",472,2102,[],16,16,16,16,16,0,0,0,0,0,"","",1
116,1247,7805,"",473,2103,[],16,16,16,16,16,0,0,0,0,0,"","",1
117,1249,7806,"",474,2104,[],16,16,16,16,16,0,0,0,0,0,"","",1
118,1248,7807,"",475,2105,[],16,16,16,16,16,0,0,0,0,0,"","",1
119,1251,7809,"",477,2106,[],16,16,16,16,16,0,0,0,0,0,"","",1
120,1168,10123,"",401,2016,[],5,8,12,16,16,0,0,0,0,0,"","",1
121,1126,12067,"",366,1974,[],14,16,16,16,16,0,0,0,0,0,"","",1
