14,"FavouriteMapSlotUnlock4","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",0,"Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
15,"FavouriteMapSlotUnlock5","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",0,"Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
16,"FavouriteMapSlotUnlock6","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",0,"Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
17,"FavouriteMapSlotUnlock7","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",0,"Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
18,"FavouriteMapSlotUnlock8","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",0,"Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
19,"FavouriteMapSlotUnlock9","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",0,"Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
20,"FavouriteMapSlotUnlock10","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",0,"Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
21,"FavouriteMapSlotUnlock11","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",0,"Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
22,"FavouriteMapSlotUnlock12","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",0,"Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
23,"ArchnemesisModPanelUnlocked","Archnemesis Inventory now available","Art/2DArt/UIImages/InGame/GenericRewardBackground",0,"Art/2DArt/UIImages/InGame/ArchnemesisStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
24,"AtlasMissionGeneric","Craft Received","Art/2DArt/UIImages/InGame/AtlasMissionNotification",-44,"","Audio/Sound Effects/UI/Atlas/Receive.ogg"
25,"SentinelStashUnlocked","Sentinel Locker decoration now available in your Hideout","Art/2DArt/UIImages/InGame/GenericRewardBackground",0,"Art/2DArt/UIImages/InGame/SentinelStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
26,"LakeQuestMetaOption1","Mirrored Tablet can now Reroll a set of Choices","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",0,"Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsReroll","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
27,"LakeQuestMetaOption2","Mirrored Tablet can now Reroll a set of Choices","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",0,"Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsReroll","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
28,"LakeQuestMetaOption3","Mirrored Tablet can now Reroll a set of Choices","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",0,"Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsReroll","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
29,"LakeQuestMetaOption4","Mirrored Tablet can now Skip a Choice","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",0,"Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsSkip","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
30,"LakeQuestMetaOption5","Mirrored Tablet can now Skip a Choice","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",0,"Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsSkip","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
31,"LakeQuestMetaOption6","Mirrored Tablet can now Skip a Choice","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",0,"Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsSkip","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
32,"LakeQuestMetaOption7","Mirrored Tablet can now Exile a Reflection","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",0,"Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsBanish","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
33,"LakeQuestMetaOption8","Mirrored Tablet can now Exile a Reflection","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",0,"Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsBanish","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
34,"LakeQuestMetaOption9","Mirrored Tablet can now Exile a Reflection","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",0,"Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsBanish","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
35,"SanctumRelicSlotUnlock1","Relic Altar Slots Unlocked","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",0,"Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
36,"SanctumRelicSlotUnlock3","Relic Altar Slots Unlocked","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",0,"Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
37,"SanctumRelicSlotUnlock5","Relic Altar Slots Unlocked","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",0,"Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
38,"SanctumRelicSlotUnlock7","Relic Altar Slots Unlocked","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",0,"Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
39,"SanctumRelicSlotUnlock9","Relic Altar Slot Unlocked","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",0,"Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
40,"SanctumRelicSlotUnlock10","Relic Altar Slot Unlocked","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",0,"Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
41,"SanctumRelicSlotUnlock11","Relic Altar Slot Unlocked","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",0,"Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
42,"SanctumRelicSlotUnlock12","Relic Altar Slot Unlocked","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",0,"Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
43,"SanctumSpecialRelicSlotUnlocked","Sanctified Relic Altar Slot Unlocked","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",0,"Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
44,"SanctumRelicLockerUnlocked","Relic Locker decoration now available in your Hideout","Art/2DArt/UIImages/InGame/GenericRewardBackground",0,"Art/2DArt/UIImages/InGame/SanctumStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
45,"SanctumMerchantUnlocked","Divinia can appear within the Sanctum as a Merchant","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",0,"Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsMerchant","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
46,"SanctumPactsUnlocked","Accursed Pacts can appear within the Sanctum","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",0,"Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsPact","Audio/Sound Effects/UI/Atlas/Citadel.ogg"
