"rownum","Id","PositionX","PositionY","Waypoint_WorldAreasKey","WorldAreasKeys","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","FlavourText (English)","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","[i32]","Act","string","[i32]","i32","i32","i32","i32","rid"
28,"2_10",248,334,"",[34],"The Weaver's Chambers","L'Antre de la Tisseuse","Die Gewölbe der Weberin","編む者の巣穴","거미의 방","Aposentos da Weaver","Покои Ткачихи","El Aposento de la Tejedora","ห้องของผู้ชักใย","織網者巢穴","Shrouded in mourning silks.","Drapée de soies funèbres.","Umgeben von einem Trauerflor.","喪服の絹に包まれて。","거미줄이 죽은 자를 감싸고 있습니다.","Envolto em mortalhas.","Окутаны в траурные шелка.","Cubierta en sedas de luto.","ปกคลุม​ด้วย​ผืน​ไหม​อัน​เศร้าโศก","被哀愁蛛絲所籠罩。","[95,0]",2,"2_10",[142],-16843010,-16843010,-16843010,-16843010,""
29,"2_11",318,220,"",[35],"The Vaal Ruins","Les Ruines vaal","Die Vaal-Ruinen","ヴァールの遺跡","바알 유적","Ruínas Vaal","Руины ваал","Las Ruinas Vaal","ซากปรักหักพังวาล์","瓦爾廢墟","Shades scratching at imprisoning stone.","Des ombres raclent de leurs griffes la pierre qui les emprisonne.","Schatten kratzen an einpferchenden Steinen.","監禁された石を陰が引っ掻く。","주변을 에워싼 돌벽. 그늘이 깊게 져 있습니다.","Sombras arranhando a pedra aprisionadora.","Тени скребут стены каменной тюрьмы.","Las sombras rasguñan la piedra que las aprisiona.","เงาทั้งหลาย​ต่าง​​ข่วน​ศิลา​ที่​จองจำ","陰影在囚石上留下抓痕。",[144],2,"2_11",[143],-16843010,-16843010,-16843010,-16843010,""
30,"2_12",355,270,36,[36],"The Wetlands","Les Paluns","Die Feuchtlande","湿地","습지대","Terras Inundadas","Топь","Los Humedales","แดนน้ำขัง","濕地","Corrupted waters, pouring from the Mantle above.","Des eaux corrompues qui se déversent depuis le Manteau surplombant.","Verderbtes Wasser, das aus dem Erdmantel rinnt.","汚染された水が、上の外套から注がれている。","오수가 위쪽 외벽에서 쏟아져 내립니다.","Águas corrompidas, jorrando do Manto acima.","Зараженные хляби питает вода, стекающая с Обрыва.","Aguas corruptas, que se vierten desde la Sima.","น้ำ​​เต็ม​ไป​ด้วย​มลทิน\r\nไหล​ริน​จาก​เปลือก​โลก​เบื้อง​บน","腐化之水，從地幔之上緩緩下滲。","[53,0,0,0]",2,"2_12",[144],-16843010,-16843010,-16843010,-16843010,""
31,"2_13",196,215,"",[37],"The Dread Thicket","Le Fourré de l'effroi","Das Dickicht des Grauens","恐怖の密林","공포의 잡목림","Matagal Horrendo","Чащоба","El Matorral Pavoroso","ป่าชัฏสยดสยอง","驚魂樹洞","Unfettered nature. Unchained ferocity.","Une nature exubérante. Une férocité déchaînée.","Freie Natur. Entfesselte Grausamkeit.","規制なき自然。束縛なき獰猛性。","야생의 자연. 만연하는 끝없는 잔혹함.","Natureza irrestrita. Ferocidade livre.","Дикая природа. Несдерживаемая свирепость.","Naturaleza sin restricciones. Ferocidad sin cadenas.","ธรรมชาติ​ที่​ไร้​ขอบเขต\r\nความ​ป่าเถื่อน​ที่​ไร้​พันธนาการ","不受束縛的大自然，被釋放出來的兇殘。",[140],2,"2_13",[145],-16843010,-16843010,-16843010,-16843010,""
32,"2_14",144,91,38,"[38,39]","The Caverns","Les Cavernes","Die Kavernen","大洞窟","암굴","As Cavernas","Пещеры","Las Cavernas","โพรงถ้ำ","瀑布洞穴","Two thousand years of regret.","Deux mille ans de regrets.","Zweitausend Jahre der Reue.","後悔の二千年","회한의 2천 년.","Dois mil anos de arrependimento.","Две тысячи лет раскаяния.","Dos mil años de arrepentimiento.","ความ​สำนึก​เสียใจ​ยาวนาน​สอง​พันปี","兩千多年的悔恨。","[140,0]",2,"2_14",[146],-16843010,-16843010,-16843010,-16843010,""
33,"2_15",680,265,"",[40],"The Fellshrine Ruins","Les Ruines du sacrilège","Die Kriegsschrein-Ruinen","フェルシュラインの遺跡","몰락한 성소 유적","Ruínas do Santuário Caído","Руины осквернённой святыни","Las Ruinas del Santuario caído","ซากปรักหักพังเฟลไชร์น","墮道遺跡","The ground aches with desecration. The rain tastes of blight.","Le sol souffre des profanations. La pluie a un goût de calamité.","Der entweihte Boden ächzt. Der Regen schmeckt nach Zerstörung.","地は冒涜で痛む。雨は破滅の味。","대지는 모독에 할퀴어지고, 빗물에서는 황폐의 내음이 스며 나옵니다.","O chão sofre com a profanação.  A chuva tem sabor de ferrugem.","Земля искалечена святотатством. Во вкусе дождя - увядание.","El suelo sufre con profanación. La lluvia sabe a desgracia.","พื้นดิน​ปวดร้าว​จาก​ความ​เสื่อม​ศรัทรา\r\nสาย​ฝน​อาบ​รส​โรค​ร้าย","大地被褻瀆而哀號著，雨水嘗起來有破滅的味道。","[96,0]",2,"2_15",[147],-16843010,-16843010,-16843010,-16843010,""
34,"3_town",461,369,41,[41],"The Sarn Encampment","Le Campement de Sarn","Das Lager von Sarn","サーンの野営地","사안 야영지","Acampamento de Sarn","Лагерь Сарна","El Campamento de Sarn","ค่ายซาร์น","薩恩營地","The forging ground of heroes, past and present.","Le sol qui forgea les héros du passé et du présent.","Hier werden Helden geboren, in der Vergangenheit wie auch heute.","今も昔も、英雄達の鍛造場。","예나 지금이나 영웅이 탄생하는 곳입니다.","O chão que forjou heróis do passado e do presente.","Земля рождения героев, былых и нынешних.","La forja de héroes, pasados y presentes.","แผ่นดิน​ที่​หล่อ​หลอม​ผู้​กล้า\r\nทั้ง​อดีต​และ​ปัจจุบัน","英雄誕生之處，不論過去或未來。",[149],3,"3_town",[150],-16843010,-16843010,-16843010,-16843010,""
35,"3_1",662,381,42,[42],"The City of Sarn","La Ville de Sarn","Die Stadt Sarn","サーン市街","사안 시내","Cidade de Sarn","Сарн","La Ciudad de Sarn","นครซาร์น","薩恩城廢墟","A harsh light on harsh sights.","Une lumière crue sur des visions crues.","Harsches Licht offenbart eine harsche Umgebung.","耐え難い光景の耐え難い光。","척박한 풍경을 비추어 오는 강렬한 빛이여.","Uma luz severa em uma paisagem severa.","Жестокое солнце смотрит на истерзанную землю.","Una luz dura sobre miradas penetrantes.","แสง​อันโหดร้าย\r\nสาด​ส่อง​ทัศนียภาพ​อัน​โหดร้าย","一道刺眼的光線在嚴酷的地點。",[],3,"3_1",[149],-16843010,-16843010,-16843010,-16843010,""
36,"3_2",652,309,"",[43],"The Slums","Les Bas-quartiers","Das Armenviertel","スラム","빈민가","Favelas","Трущобы","Las Barriadas","แดนสลัม","貧民窟","Only the wind whistles and whines here now.","Il n'y a désormais plus que le vent qui gémisse et qui siffle ici.","Jetzt flüstert und heult hier nur der Wind.","ここでは今、風だけが吹き、すすり泣いている。","이제 애처로운 바람 소리만 들릴 뿐입니다.","Agora apenas o vento sussurra e geme aqui.","Теперь здесь слышен только вой и плач ветра.","Aquí ahora solo silba y gime el viento.","มี​เพียง​สายลม​เท่านั้น\r\nที่​ยัง​หวีด​ร้อง​ครวญคราง​ใน​ที่​แห่ง​นี้","除了風聲低語與哀怨牢騷之外什麼都\r\n 不剩。",[150],3,"3_2",[151],-16843010,-16843010,-16843010,-16843010,""
37,"3_3",714,309,44,[44],"The Crematorium","Le Crématorium","Das Krematorium","火葬場","화장터","Crematório","Крематорий","El Crematorio","ฌาปนสถาน","火葬場","Choked with ash and cinder.","Engorgé par les cendres et autres résidus.","Von Asche und Schlacke erstickt.","灰と燃え滓で息が詰まる。","유골과 잿더미로 가득합니다.","Engasgado com cinzas e brasas.","В воздухе удушающая смесь пепла и золы.","Sofocado con ceniza y carbonilla.","อัด​แน่น​ไป​ด้วย​อัฐิ​และ​เถ้าถ่าน","滿滿的灰燼與煤渣。","[151,0]",3,"3_3",[152],-16843010,-16843010,-16843010,-16843010,""
38,"3_5",589,185,45,[45],"The Marketplace","La Place du marché","Der Marktplatz","市場","장터","Mercado","Рынок","El Mercado","ตลาดค้าขาย","市集地帶","All the money in the world can't stop a world from ending.","Tout l'or du monde ne pourra l'empêcher de s'éteindre.","Alles Geld dieser Welt kann sie nicht vor dem Untergang bewahren.","世界中のどんなお金でも、世界の終焉を止められない。","세상이 무너져도 돈은 망하지 않습니다.","Todo o dinheiro no mundo não pode impedir que o mundo acabe.","Все деньги мира не отдалят его конец.","Ni todo el dinero del mundo puede detener a un mundo que llega a su fin.","เท​เงิน​ทั้งหมด​ใน​โลก​นี้​หมด​หน้า​ตัก\r\nก็​ไม่​สามารถ​หยุดยั้ง​จุดจบ​ของ​โลก​ได้","再有錢，也無法停止世界邁向終結。","[159,0,0,0]",3,"3_5",[154],-16843010,-16843010,-16843010,-16843010,""
39,"3_6",652,168,"",[46],"The Catacombs","Les Catacombes","Die Katakomben","地下墓地","지하 묘지","Catacumbas","Катакомбы","Las Catacumbas","สุสานใต้ดิน","黑石陵墓","Coughing up the dust of dead devotion.","Étouffées par la poussière d'une dévotion défunte.","Der Staub einer toten Leidenschaft.","死んだ献身の埃で咳き込む。","정성이 사라진 자리에는 독한 먼지만이 자욱합니다.","Tossindo a poeira da devoção sem vida.","Вдохни прогорклый прах былой преданности.","Escupiendo el polvo de muerta devoción.","อบอวล​ไป​ด้วย​ฝุ่น​ของ​ผู้เสียสละ​ที่​ล่วงลับ","咳出的，只有帶來死亡的灰塵。",[154],3,"3_6",[155],-16843010,-16843010,-16843010,-16843010,""
40,"3_7",478,140,47,[47],"The Battlefront","Le Front","Die Kriegsfront","戦場","전쟁터","Frente de Batalha","Передовая","El Frente de la Batalla","แนวหน้าสมรภูมิ","激戰廣場","Charred flesh and spilled bowels. Sweet and sour.","Chair carbonisée et entrailles déversées ; un parfum doux-amer.","Verkohltes Fleisch und blutige Eingeweide. Süß und sauer.","焦げた肉とこぼれた腸。甘酸っぱい。","까맣게 탄 살점, 모둠 내장. 달콤하고 신맛이 나는군요.","Carne carbonizada e entranhas espalhadas. Agridoce.","Кисло-сладкий запах обугленной плоти и выпавших внутренностей.","Carne carbonizada y entrañas desparramadas. Dulce y agrio.","เนื้อหนัง​ที่​ไหม้​เกรียม​และ​ลำไส้​ที่​ทะลัก​ออก​มา\r\nช่าง​หวาน​และ​เปรี้ยว","燒焦的鮮肉和內臟灑落，酸酸甜甜的。","[154,0,0,0]",3,"3_7",[156],-16843010,-16843010,-16843010,-16843010,""
41,"3_8_1",556,97,48,[48],"The Solaris Temple Level 1","Le Temple de Solaris, niv. 1","Der Solaristempel - Ebene 1","ソラリス寺院 -第一層-","솔라리스 사원 1층","Templo Solaris Nível 1","Храм Солярис — уровень 1","El Templo de Solaris Nivel 1","วิหารโซลาริส ชั้นที่ 1","日耀神殿：第一層","An empire at its height, reflected in polished gold.","Un empire à son apogée, reflété dans de l'or poli.","Ein Kaiserreich auf seinem Höhepunkt, reflektiert in poliertem Gold.","磨かれた黄金に映し出される、絶頂期の帝国。","정점에 오른 제국의 면모는 이 윤기 나는 황금에서도 엿볼 수 있습니다.","Um império em seu apogeu, refletido em ouro polido.","Величие Империи, покрытое сусальным золотом.","Un imperio en su punto cúlmine, reflejado en oro pulido.","จักรวรรดิ​ยาม​รุ่งเรือง\r\nสะท้อน​​จาก​ทอง​อัน​แวววาว","一個帝國的強度，反應在黃金疊起來的高度。","[156,0]",3,"3_8",[157],-16843010,-16843010,-16843010,-16843010,""
42,"3_8_2",503,61,49,[49],"The Solaris Temple Level 2","Le Temple de Solaris, niv. 2","Der Solaristempel - Ebene 2","ソラリス寺院 -第二層-","솔라리스 사원 2층","Templo Solaris Nível 2","Храм Солярис — уровень 2","El Templo de Solaris Nivel 2","วิหารโซลาริส ชั้นที่ 2","日耀神殿：第二層","An empire at its height, reflected in polished gold.","Un empire à son apogée, reflété dans de l'or poli.","Ein Kaiserreich auf seinem Höhepunkt, reflektiert in poliertem Gold.","磨かれた黄金に映し出される、絶頂期の帝国。","정점에 오른 제국의 면모는 이 윤기 나는 황금에서도 엿볼 수 있습니다.","Um império em seu apogeu, refletido em ouro polido.","Величие Империи, покрытое сусальным золотом.","Un imperio en su punto cúlmine, reflejado en oro pulido.","จักรวรรดิ​ยาม​รุ่งเรือง\r\nสะท้อน​​จาก​ทอง​อัน​แวววาว","一個帝國的強度，反應在黃金疊起來的高度。","[157,0]",3,"3_8",[374],-16843010,-16843010,-16843010,-16843010,""
43,"3_9",394,118,50,[50],"The Docks","Les Docks","Die Docks","船着場","항구","Docas","Доки","Las Dársenas","ท่าเรือ","不朽海港","Life pales in the wake of progress.","La vie est éclipsée dans le sillage du progrès.","An der Seite des Fortschritts verblasst das Leben.","進歩の結果、人生は淡白になる。","날이 갈수록 예전의 활력은 느껴지지 않습니다.","A vida empalidece no despertar do progresso.","Прогресс наступает и теснит жизнь.","La vida palidece en la estela del progreso.","ชีวิต​ต้อง​หม่นหมอง\r\nท่ามกลาง​ความ​ก้าวหน้า","在那件事之後，生命漸漸變得黯淡...","[156,0]",3,"3_9",[158],-16843010,-16843010,-16843010,-16843010,""
44,"3_10",616,252,51,[51],"The Sewers","Les Égouts","Die Kanalisation","下水道","하수도","Os Esgotos","Канализации","Las Alcantarillas","ท่อน้ำทิ้ง","下水道迷宮","What horrors lurk in the bowels of the city?","Quelles sortes d'abominations se tapissent dans les entrailles de la ville ?","Welche Schrecken lauern in den Eingeweiden der Stadt?","街の底にはどんな恐怖が潜んでいるのか？","도시의 심부에는 어떤 공포가 도사리고 있을까요?","Quais horrores se escondem nas entranhas da cidade?","Какие ужасы таят в себе недра города?","¿Qué horrores acechan en las entrañas de la ciudad?","ภัยสยอง​อะไร​รอ​คอย​อยู่​ใต้​เมือง​เล่า?","在崎嶇的城市中有什麼可怕的潛伏者?",[151],3,"3_10",[159],-16843010,-16843010,-16843010,-16843010,""
45,"3_13",295,178,52,[52],"The Ebony Barracks","Les Casernes d'ébène","Die Ebenholzkaserne","黒檀の兵舎","칠흑의 군단 주둔지","Quartel de Ébano","Лагерь Эбенового легиона","El Barracón de Ébano","โรงทหารไม้มะเกลือ","烏旗守衛兵營","Polished surfaces reflect brutal efficiency.","Les surfaces polies réfléchissent une efficacité brutale.","Polierte Oberflächen reflektieren brutale Effizienz.","磨かれた表面は、残酷な効率性を映し出した。","매끈한 바닥은 오히려 참혹함을 드러냅니다.","Superfícies polidas refletem a eficiência brutal.","Сверкающее железо и жестокая сноровка.","Las superficies pulidas reflejan eficiencia brutal.","พื้น​ผิว​มันเงา\r\nสะท้อน​ประสิทธิภาพ​อัน​โหดเหี้ยม","光亮的表面反應著殘酷屠殺的效率。","[156,0,0,0]",3,"3_13",[162],-16843010,-16843010,-16843010,-16843010,""
46,"3_14",188,169,53,"[53,54]","The Lunaris Temple","Le Temple de Lunaris","Der Lunaristempel","ルナリス寺院","루나리스 사원","Templo Lunaris","Храм Лунарис","El Templo de Lunaris","วิหารลูนาริส","月影神殿","Depravity is boundless.","La dépravation est sans limite.","Verderbtheit ist grenzenlos.","堕落は果てしない。","악행은 장소를 가리지 않는 법이죠.","A depravação não tem limites.","Развращенность безгранична.","La depravación no tiene límites.","ความ​สามานย์​ไร้​ซึ่ง​ขอบเขต","只有更墮落，沒有最墮落。","[162,0]",3,"3_14","[163,0]",-16843010,-16843010,-16843010,-16843010,""
47,"3_15",262,129,55,[55],"The Imperial Gardens","Les Jardins impériaux","Die kaiserlichen Gärten","帝国の庭園","황실 정원","Jardins Imperiais","Имперские сады","Los Jardines Imperiales","สวนจักรพรรดิ","皇家花園","Nature outgrows the designs of Man.","La nature surpasse les œuvres de l'Homme.","Die Natur entwächst den Entwürfen der Menschheit.","自然は人間のデザインから脱却する。","자연은 인간의 예상을 뛰어넘어 자라납니다.","A natureza sobrepuja os desígnios do Homem.","Природа поглощает замыслы человека.","La Naturaleza sobrepasa los designios del Hombre.","ธรรมชาติ​เติบโต​ได้​ไว\r\nกว่า​การ​ออกแบบ​ของ​มนุษย์","自然的演化總是超越人類的設計。","[162,0]",3,"3_15",[164],-16843010,-16843010,-16843010,-16843010,""
48,"3_17",217,98,56,"[56,57]","The Library","La Bibliothèque","Die Bibliothek","図書館","도서관","Biblioteca","Библиотека","La Biblioteca","ห้องสมุด","圖書館","All the knowledge in the Empire could not save them.","Tout le savoir de l'Empire n'a pas suffit à le préserver.","Alles Wissen des Kaiserreichs vermochte es nicht zu retten.","全ての知識をもってしても帝国を救うことが出来ない。","온갖 지식도 제국을 구할 수는 없었던 모양입니다.","Todo o conhecimento no Império não pôde salvá-los.","Все знания Империи не смогли спасти вечных.","Ni todo el conocimiento en el Imperio pudo salvarlos.","แม้​ความรู้​ทั้งหมด​ใน​จักรวรรดิ\r\nก็​ไม่​อาจ​ช่วย​พวก​เขา​ได้","傾全帝國的知識也無法拯救他們。",[164],3,"3_17",[166],-16843010,-16843010,-16843010,-16843010,""
49,"3_18",285,76,58,"[58,59]","The Sceptre of God","Le Sceptre divin","Das Zepter Gottes","神の杖","신의 셉터","Cetro de Deus","Перст Господень","El Cetro de Dios","พระคทาแห่งพระเจ้า","神權之塔","The pinnacle of power. The height of hubris.","L'apogée du pouvoir. Le summum de l'orgueil.","Der Höhepunkt der Macht. Der Gipfel der Überheblichkeit.","権力の頂点。傲慢の極み。","권력의 꼭대기, 오만의 정점.","O pináculo do poder. O tamanho da arrogância.","Пик власти. Вершина гордыни.","El pináculo del poder. La cumbre de la arrogancia","อำนาจ​อัน​ยิ่งใหญ่\r\nความ​อหังการ​อัน​สูงส่ง","權力的巔峰。傲慢的優越。","[164,0]",3,"3_18",[167],-16843010,-16843010,-16843010,-16843010,""
50,"4_town",610,370,60,[60],"Highgate","Hautevoie","Hohenpforte","ハイゲート","하이게이트","Highgate","Македы","Atalaya","ไฮเกท","統治者之殿","A frail scab of hope holds Nightmare at bay.","Un brin d'espoir qui maintient le Cauchemar à distance.","Eine schwache Schrunde der Hoffnung hält den Albtraum in Schach.","弱々しい希望のかさぶたが、悪夢を抑え込んでいる。","티끌만 한 희망. 악몽의 끝자락을 붙잡다.","Uma frágil sarna de esperança protege contra o Pesadelo.","Последний оплот, что сдерживает Кошмар.","Una frágil costra de esperanza mantiene la Pesadilla a raya.","สะเก็ด​ความหวัง​อัน​น้อยนิด\r\nกำราบ​มิ​ให้​ฝันร้าย​เป็น​ไท","將夢魘封印住的薄弱希望。",[673],4,"4_town",[672],-16843010,-16843010,-16843010,-16843010,""
51,"4_1",749,477,61,[61],"The Aqueduct","L'Aqueduc","Das Aquädukt","水道橋","수로","Aqueduto","Акведук","El Acueducto","สะพานส่งน้ำ","水道遺跡","The rushing lifeblood of a long-dead Empire.","Le déferlement du sang qui irrigue un Empire mort depuis longtemps.","Der pulsierende Lebensnerv eines längt vergangenen Kaiserreichs.","滅んで久しい帝国の、流れる生命線。","멸망한 지 오래인 제국에 흐르는 활력소.","A força vital de um Império há muito morto.","Кровеносная система давно умершей империи.","La turbulenta fuerza vital de un Imperio muerto hace tiempo.","สายโลหิต​อัน​เชี่ยวกราก\r\nของ​จักรวรรดิ​ที่​ล่มสลาย​มา​เนิ่น​นาน","川流著古代帝國的生命之血。",[],4,"4_1",[673],-16843010,-16843010,-16843010,-16843010,""
52,"4_2",315,518,"",[62],"The Dried Lake","Le Lac asséché","Der verschwundene See","干上がった湖","말라붙은 호수","Lago Seco","Высохшее озеро","El Lago Seco","ทะเลสาบเหือดแห้ง","乾涸湖岸","Bones of betrayal, ashes of purity.","Les ossements de la trahison ; les cendres de la pureté.","Knochen des Verrats, Asche der Reinheit.","背信の骨、浄化の灰。","배신의 말로, 순수함의 자취.","Ossos da traição, cinzas da purificação.","Кости предательства и пепел чистоты.","Huesos de traición, cenizas de pureza.","โครงกระดูก​แห่ง​การ​หักหลัง\r\nขี้เถ้า​แห่ง​ความ​บริสุทธิ์","背叛之骨，純潔之絮。",[672],4,"4_2",[674],-16843010,-16843010,-16843010,-16843010,""
53,"4_3_1",555,275,"","[63,64]","The Mines","Les Mines","Die Minen","鉱山","광산","As Minas","Шахты Макед — уровень 1","Las Minas","เหมือง","漆黑礦坑","Disease in the darkness.","Un mal dans les ténèbres.","Krankheit in der Finsternis.","闇の中の病。","어둠 속에 도사리는 질병.","Doença na escuridão.","Зараза во тьме.","Enfermedad en la oscuridad.","โรค​ร้าย​ใน​ความมืด","黑暗中的疾病",[672],4,"4_3_2","[675,0]",-16843010,-16843010,-16843010,-16843010,""
54,"4_3_3",474,236,65,[65],"The Crystal Veins","Les Veines de cristal","Die Kristalladern","水晶鉱脈","수정 광맥","Veias de Cristal","Кристальная жила","Las Venas de Cristal","สายแร่คริสตัล","水晶礦脈","Gifts of the Beast, awaiting plunder.","Les présents de la Bête, à portée de pillage.","Geschenke der Bestie, die der Plünderung harren.","魔獣の贈り物、略奪を待ち望む。","모두가 탐내는 야수의 선물.","Presentes Bestiais, esperando serem levados.","Дары Зверя, жаждущие сбора.","Obsequios de la Bestia, a la espera del saqueo.","ของขวัญ​จาก​บีสต์\r\nรอ​คน​มา​ปล้น​มัน​ไป","巨獸之禮，等待著掠奪者。","[675,0]",4,"4_3_3",[677],-16843010,-16843010,-16843010,-16843010,""
55,"4_4_1",292,344,"",[66],"Kaom's Dream","Le Rêve de Kaom","Kaoms Traum","カオムの夢","카옴의 꿈","Sonho de Kaom","Сон Каома","El Sueño de Kaom","ความฝันของคอมม์","岡姆的幻境","Fury and flame come to life.","La fureur et le feu prennent vie.","Zorn und Feuer erwachen zum Leben.","怒りと炎が命となる。","광분과 화염이 실체화되다.","Fúria e chama avivadas.","Ожившие ярость и пламя.","La furia y la llama cobran vida.","โทสะ​และ​เปลวเพลิง​พลัน​มี​ชีวิต","憤怒及烈焰的化身",[677],4,"4_4_1",[678],-16843010,-16843010,-16843010,-16843010,""
56,"4_4_3",196,289,67,[67],"Kaom's Stronghold","Le Bastion de Kaom","Kaoms Feste","カオムの要塞","카옴의 요새","Fortaleza de Kaom","Крепость Каома","La Fortaleza de Kaom","ป้อมปราการของคอมม์","岡姆的堡壘","A holdfast built of hubris.","Un refuge barricadé d'orgueil.","Eine Feste errichtet aus Überheblichkeit.","傲慢に作られた留め金。","교만함으로 지어진 잠금쇠.","Um suporte feito de soberba.","Тиски тщеславия.","Una fortaleza construída de arrogancia.","ฐาน​ที่​มั่น\r\nสร้าง​จาก​ความอหังการ","用驕傲做成的壁壘","[678,0]",4,"4_4_3",[680],-16843010,-16843010,-16843010,-16843010,""
57,"4_5_1",534,144,"",[68],"Daresso's Dream","Le Rêve de Daresso","Daressos Traum","ダレッソの夢","다레소의 꿈","Sonho de Daresso","Сон Дарессо","El Sueño de Daresso","ความฝันของดาเรสโซ่","德瑞索的幻境","No matter how far you climb, you never escape the Pits.","Qu'importe votre acharnement à les gravir : on ne réchappe pas des Fosses.","Wie hoch Ihr auch klettern mögt, den Gruben entkommt Ihr nicht.","どれだけ登っても、この溝からは逃れられない。","아무리 달아나도 구덩이를 빠져나갈 수는 없습니다.","Não importa quão alto escalar, você nunca escapará do Fosso.","Не имеет значения, как высоко ты карабкаешься, ты никогда не покинешь ям.","No importa lo alto que trepes, nunca escapas de los Fosos.","จะ​ปีน​ไป​เท่าไร\r\nก็​ไม่มี​วัน​พ้น​จาก​หลุมประลอง","無論你爬的再高，也無法逃離的深淵。",[677],4,"4_5_1",[681],-16843010,-16843010,-16843010,-16843010,""
58,"4_5_2",464,90,69,[69],"The Grand Arena","La Grande Arène","Die große Arena","大闘技場","대 투기장","Grande Arena","Великая Арена","La Gran Arena","มหาลานประลอง","大競技場","Dripping blood and weeping flowers.","Du sang ruisselant et des fleurs en pleurs.","Tropfendes Blut und weinende Blumen.","滴る血と枝垂れ咲く花。","떨어지는 핏방울. 흐느끼는 꽃.","Sangue escorrendo e flores chorando.","Арена, полная цветов и крови.","Sangre que gotea y flores que lloran.","เลือด​หยด บุปผา​ร่ำไห้","滴下鮮血，揮灑花朵。","[681,0]",4,"4_5_3",[682],-16843010,-16843010,-16843010,-16843010,""
59,"4_6_1",372,194,"","[70,71]","The Belly of the Beast","Le Ventre de la Bête","Der Wanst der Bestie","魔獣の内部","짐승의 소굴","O Ventre da Besta","Брюхо Зверя","La Barriga de la Bestia","ช่องท้องของบีสต์","巨獸之腹","Enter the Nightmare.","Entrez dans le Cauchemar.","Begebt Euch in den Albtraum.","悪夢の入口。","악몽으로 들어가다.","Entre no Pesadelo.","Вход в Кошмар.","Entra a la Pesadilla.","เชิญ​พบ​กับ​ฝันร้าย","進入夢魘。",[677],4,"4_6_1","[683,0]",-16843010,-16843010,-16843010,-16843010,""
60,"4_6_3",280,144,72,[72],"The Harvest","La Moisson","Der Fleischacker","摘出","수확소","A Colheita","Жатва","La Cosecha","สถานเก็บเกี่ยว","育靈之室","Where dreams come to die.","Là où les rêves se retirent pour mourir.","Wohin die Träume sich zum Sterben zurückziehen.","夢の死ぬ場所。","꿈을 좇은 자들이 주검으로 나오는 곳.","Onde os sonhos vêm morrer.","Здесь умирают мечты.","Donde los sueños vienen a morir.","ถิ่น​ที่​ความฝัน​มา​ตาย","夢想碎滅。",[683],4,"4_6_3",[685],-16843010,-16843010,-16843010,-16843010,""
61,"4_7",729,154,"",[73],"The Ascent","L'Ascension","Der Aufstieg","頂への道","오르막길","A Ascensão","Подъём","La Cuesta","ทางขึ้นสูง","岩岸陡坡","The greater the rise, the greater the fall.","Plus haute est la montagne, plus terrible en est la chute.","Je höher der Aufstieg, desto höher der Fall.","上昇が大きければ、下降も大きい。","높이 올라갈수록 추락하는 거리도 늘어나는 법이죠.","Quanto maior a altura, maior a queda.","Чем выше взлетишь, тем больнее падать.","Cuanto más grande el ascenso, más grande la caída.","ยิ่ง​ขึ้น​ไป​สูง ยิ่ง​ตกลง​มา​สูง","王者崛起、亡者殞落。",[664],4,"4_7",[313],-16843010,-16843010,-16843010,-16843010,""
62,"5_town",164,285,75,[75],"Overseer's Tower","La Tour du Superviseur","Der Turm des Aufsehers","監督官の塔","감시탑","Torre do Capataz","Башня надзирателя","La Torre del Capataz","หอคอยผู้คุมขัง","監守高塔","Vengeance is the slave's ultimate reward.","La vengeance est l'ultime récompense de l'esclave.","Vergeltung ist des Sklaven höchste Belohnung.","復讐、奴隷とっての究極の報酬。","복수, 노예가 품고 있는 최후의 몸부림일까요.","Vingança é a recompensa final do escravo.","Награда порабощенных - месть.","La venganza es la última recompensa del esclavo.","รางวัล​สูงสุด​ของ​ทาส​คือ​การ​ล้างแค้น","復仇是奴隸最甜美的果實。",[317],5,"5_town",[1040],-16843010,-16843010,-16843010,-16843010,""
63,"5_1",75,298,74,[74],"The Slave Pens","Les Enclos aux esclaves","Die Sklavenpferche","奴隷収容所","노예 감호소","Abrigo Escravo","Узилище","Las Jaulas de los Esclavos","คอกทาส","奴役監牢","In Oriath's darkest corner, the spark of rebellion ignites.","Dans les coins les plus sombres d'Oriath, le feu de la rébellion s'attise.","Dort, in der dunkelsten Nische Oriaths, entzündet sich der Funke der Rebellion.","オリアスの最も暗い角で、反乱の火花が散る。","오리아스의 깊숙한 변두리에서 반란의 불씨가 피어납니다.","No canto mais escuro de Oriath, uma faísca de rebelião acende.","Жизнь раба и надзирателя одинаково грешна.","En el rincón más oscuro de Oriath se prende la chispa de la rebelión.","ที่​มุมมืด​ของ​โอริอาท\r\nไฟ​แห่​ง​การ​ปฎิวัติ​กำลัง​ปะทุ","在奧瑞亞陰暗的街角，反叛軍點燃進攻號角。",[],5,"5_1",[317],-16843010,-16843010,-16843010,-16843010,""
