"rownum","Id","HASH16","RewardText (English)","RewardText (French)","RewardText (German)","RewardText (Japanese)","RewardText (Korean)","RewardText (Portuguese)","RewardText (Russian)","RewardText (Spanish)","RewardText (Thai)","RewardText (Traditional Chinese)","ItemVisualIdentityKey","RewardType","SacrificeItem","SacrificeAmount","SacrificeText (English)","SacrificeText (French)","SacrificeText (German)","SacrificeText (Japanese)","SacrificeText (Korean)","SacrificeText (Portuguese)","SacrificeText (Russian)","SacrificeText (Spanish)","SacrificeText (Thai)","SacrificeText (Traditional Chinese)","bool","TrialMods"
17,"CurrencyChaos10",32977,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,2,10,"","","","","","","","","","",1,"[24870,24875]"
18,"CurrencyBlessed10",33537,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,23,10,"","","","","","","","","","",1,"[24869,24874]"
19,"CurrencyBlessed20",12316,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,23,20,"","","","","","","","","","",1,"[24870,24875]"
20,"CurrencyScouring15",44257,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,12,15,"","","","","","","","","","",1,"[24869,24874]"
21,"CurrencyScouring30",34349,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,12,30,"","","","","","","","","","",1,"[24870,24875]"
22,"CurrencyFusing10",64174,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,20,10,"","","","","","","","","","",1,"[24869,24874]"
23,"CurrencyFusing20",59104,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,20,20,"","","","","","","","","","",1,"[24870,24875]"
24,"CurrencyRegret20",62668,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,8,20,"","","","","","","","","","",1,"[24869,24874]"
25,"CurrencyRegret40",19592,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,8,40,"","","","","","","","","","",1,"[24870,24875]"
26,"CurrencyGemcutters5",33199,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,18,5,"","","","","","","","","","",1,"[24869,24874]"
27,"CurrencyGemcutters10",60325,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,18,10,"","","","","","","","","","",1,"[24870,24875]"
28,"CurrencyVaal5",9165,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,33,5,"","","","","","","","","","",1,"[24869,24874]"
29,"CurrencyVaal10",9804,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,33,10,"","","","","","","","","","",1,"[24870,24875]"
30,"CurrencyRegal5",34962,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,14,5,"","","","","","","","","","",1,"[24869,24874]"
31,"CurrencyRegal10",29237,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,14,10,"","","","","","","","","","",1,"[24870,24875]"
32,"CurrencyAwakenedSextant5",4287,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,181,5,"","","","","","","","","","",1,"[24869,24874]"
33,"CurrencyAwakenedSextant10",54692,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,181,10,"","","","","","","","","","",1,"[24870,24875]"
34,"CurrencyStackedDeck5",18117,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,8864,5,"","","","","","","","","","",1,"[24869,24874]"
35,"CurrencyStackedDeck10",43188,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,8864,10,"","","","","","","","","","",1,"[24870,24875]"
36,"CurrencyDivine1",59332,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,22,1,"","","","","","","","","","",1,"[24870,24875]"
37,"CurrencyDivine4",53728,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,22,4,"","","","","","","","","","",1,"[24871,24876]"
38,"CurrencyDivine8",15262,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,22,8,"","","","","","","","","","",1,"[24872,24877]"
39,"CurrencyAncient1",55631,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,209,1,"","","","","","","","","","",1,"[24870,24875]"
40,"CurrencyAncient2",14932,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,209,2,"","","","","","","","","","",1,"[24871,24876]"
41,"CurrencyAncient4",43751,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,209,4,"","","","","","","","","","",1,"[24872,24877]"
42,"CurrencyAnnulment1",62284,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,203,1,"","","","","","","","","","",1,"[24870,24875]"
43,"CurrencyAnnulment4",50518,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,203,4,"","","","","","","","","","",1,"[24871,24876]"
44,"CurrencyAnnulment8",33670,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,203,8,"","","","","","","","","","",1,"[24872,24877]"
45,"CurrencyExalted1",48788,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,13,1,"","","","","","","","","","",1,"[24870,24875]"
46,"CurrencyExalted4",63287,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,13,4,"","","","","","","","","","",1,"[24871,24876]"
47,"CurrencyExalted8",35965,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,13,8,"","","","","","","","","","",1,"[24872,24877]"
48,"CurrencyUnmaking3",56656,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,9,3,"","","","","","","","","","",1,"[24870,24875]"
49,"CurrencyHarbinger3",26435,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,206,3,"","","","","","","","","","",1,"[24870,24875]"
50,"CurrencyHorizon10",1387,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,205,10,"","","","","","","","","","",1,"[24869,24874]"
51,"CurrencyVeiledChaos3",44803,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,3,3,"","","","","","","","","","",1,"[24871,24876]"
52,"CurrencyChisel10",11387,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,25,10,"","","","","","","","","","",1,"[24869,24874]"
