"rownum","Id","i32","[i32]","UnlockType (English)","UnlockType (French)","UnlockType (German)","UnlockType (Japanese)","UnlockType (Korean)","UnlockType (Portuguese)","UnlockType (Russian)","UnlockType (Spanish)","UnlockType (Thai)","UnlockType (Traditional Chinese)","CraftingItemClassCategories","ObtainingDescription (English)","ObtainingDescription (French)","ObtainingDescription (German)","ObtainingDescription (Japanese)","ObtainingDescription (Korean)","ObtainingDescription (Portuguese)","ObtainingDescription (Russian)","ObtainingDescription (Spanish)","ObtainingDescription (Thai)","ObtainingDescription (Traditional Chinese)"
10,"JunAvoidElementalDamageChancePercentDuringSoulGainPrevention",1,"[1,1]","Avoid Elemental Damage during Soul Gain Prevention - Rank","Immunité aux Dégâts élémentaires pendant l'Empêchement de gain d'Âmes - Rang","Vermeidet während der 'Kein Seelenerhalt'-Dauer Elementarschaden - Rang","ソウル獲得不能中の元素ダメージ無効化 - ランク","영혼 획득 방지 중 원소 피해 긴급회피 - 단계","Imunidade à Dano Elemental durante a Anulação do Ganho de Almas - Rank","Избегание урона от стихий во время действия предотвращения получения душ - уровень","Evita el daño elemental durante la Prevención de obtención de almas - Nivel","หลีกเลี่ยงความเสียหาย ธาตุ ขณะที่มีสถานะ ห้ามเก็บวิญญาณ - อันดับ","停止獲得靈魂期間內避免元素傷害－階級","[6,5]","Unveiling body armour or helmets","Décryptez des armures ou des casques","Enthüllen: Körperrüstungen oder Helme","アンヴェール: 鎧または兜","갑옷, 투구 장막 해제","Revelando peitorais ou elmos","Нераскрытое свойство нательных доспехов и шлемов","Desencriptando armaduras o cascos","เปิดผนึก เสื้อเกราะหรือหมวก","揭露身體護甲或頭盔"
11,"JunAvoidFreeze",1,"[1,1]","Avoid Freeze - Rank","Immunité au Gel - Rang","Einfrieren vermeiden - Rang","凍結無効化 - ランク","동결 긴급회피 - 단계","Imunidade a Congelamento - Rank","Избегание заморозки - уровень","Evita el congelamiento - Nivel","หลีกเลี่ยงสถานะ แช่แข็ง - อันดับ","避免冰凍－階級",[8],"Unveiling certain boots from Rin Yuushu","Décryptez certaines bottes de Rin Yuushu","Enthüllen: bestimmte Stiefel von Rin Yuushu","アンヴェール: リン・ユウシュから得られる特定の靴","린 유슈의 특정 장화 장막 해제","Revelando certas botas da Rin Yuushu","Нераскрытое свойство отдельных сапог Рин Юушу","Desencriptando ciertas botas de Rin Yuushu","เปิดผนึก รองเท้า ที่ได้จาก ริน ยูชู ที่กำหนด","揭露琳．依休特定鞋子"
12,"JunBaseLifeAndMana",1,"[1,1,1]","Life and Mana - Rank","Vie et Mana - Rang","Leben und Mana - Rang","ライフおよびマナ - ランク","생명력 및 마나 - 단계","Vida e Mana - Rank","Здоровье и мана - уровень","Vida y maná - Nivel","พลังชีวิตและมานา - อันดับ","生命和魔力－階級","[5,7,8,9,10,11,13]","Unveiling helmets, gloves, boots, rings, amulets, belts or quivers","Décryptez des casques, des gants, des bottes, des bagues, des anneaux, des amulettes, des ceintures ou des carquois","Enthüllen: Helme, Handschuhe, Stiefel, Ringe, Amulette, Gürtel oder Köcher","アンヴェール: 兜、手袋、靴、指輪、アミュレット、ベルトまたは矢筒","투구, 장갑, 장화, 반지, 목걸이, 허리띠, 화살통 장막 해제","Revelando elmos, luvas, botas, anéis, amuletos, cintos ou aljavas","Нераскрытое свойство шлемов, перчаток, сапог, колец, амулетов, поясов и колчанов","Desencriptando cascos, guanes, botas, anillos, amuletos, cinturones o carcajes","เปิดผนึก หมวก, ถุงมือ, รองเท้า, แหวน, สร้อย, เข็มขัด หรือ ซองธนู","揭露頭盔、手套、鞋子、戒指、項鍊、腰帶或箭袋"
13,"JunBleedOnHitGained",1,"[1,1]","Added Physical Damage and Bleeding on Hit - Rank","Dégâts physiques supplémentaires et Saignement au Toucher - Rang","Hinzugefügter physischer Schaden und bei Treffer verursachtes Bluten - Rang","追加の物理ダメージおよびヒット時出血 - ランク","물리 피해 증가 및 명중 시 출혈 - 단계","Dano Físico adicional e Sangramento ao Acertar - Rank","Добавленный физический урон и кровотечение при нанесении удара - уровень","Daño físico agregado y sangrado con cada golpe - Nivel","เสริมความเสียหาย กายภาพ และ โอกาสสร้างสถานะ เลือดไหล - อันดับ","附加物理傷害和擊中造成流血－階級","[0,1,2,3]","Unveiling certain weapons from Tora","Décryptez certaines armes de Tora","Enthüllen: bestimmte Waffen von Tora","アンヴェール: トーラから得られる特定の武器","토라의 특정 무기 장막 해제","Revelando certas armas da Tora","Нераскрытое свойство отдельных видов оружия Торы","Desencriptando ciertas armas de Tora","เปิดผนึก อาวุธ ที่ได้จาก ทอร่า ที่กำหนด","揭露托菈特定武器"
14,"JunChanceToDealDoubleDamageWhileFocused",1,"[1,1,1]","Chance to Deal Double Damage while Focused - Rank","Chances d'infliger des Dégâts doublés pendant la Focalisation - Rang","Chance, doppelten Schaden zu verursachen, während Ihr fokussiert seid - Rang","フォーカス中ダブルダメージ確率 - ランク","집중하는 동안 2배의 피해를 줄 확률 - 단계","Chance de Causar Dano Dobrado enquanto Concentrado - Rank","Шанс нанести двойной урон, пока вы сфокусированы - уровень","Probabilidad de infligir daño doble mientras estás concentrado - Nivel","โอกาสสร้างความเสียหายสองเท่า ขณะที่มีสถานะ ตั้งสมาธิ - อันดับ","專注時機造成 2 倍傷害機率－階級","[0,1,2,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
15,"JunChanceToNotConsumeFlaskCharges",1,"[1,1]","Chance for Flasks to not Consume Charges - Rank","Chances que les Flacons ne consomment pas de Charges - Rang","Chance, bei Fläschchennutzung keine Füllung zu verbrauchen - Rang","フラスコがチャージを消費しない確率 - ランク","플라스크가 충전을 소모하지 않을 확률 - 단계","Chance de Frascos Não Consumirem Cargas - Rank","Шанс, что флаконы не будут расходовать заряды - уровень","Probabilidad de que los frascos no consuman cargas - Nivel","โอกาสที่ขวดยาจะไม่ใช้ชาร์จ - อันดับ","機率使用藥劑不消耗充能－階級",[11],"Unveiling belts","Décryptez des ceintures","Enthüllen: Gürtel","アンヴェール: ベルト","허리띠 장막 해제","Revelando cintos","Нераскрытое свойство поясов","Desencriptando cinturones","เปิดผนึก เข็มขัด","揭露腰帶"
16,"JunChaosDamageAndChaosSkillDuration",1,"[1,1,1]","Chaos Damage and Chaos Skill Effect Duration - Rank","Dégâts de chaos et Durée des Aptitudes de chaos - Rang","Chaosschaden und Chaos-Fertigkeitseffektdauer - Rang","混沌ダメージおよび混沌スキル効果時間 - ランク","카오스 피해 및 카오스 스킬 효과 지속시간 - 단계","Dano de Caos e Duração do Efeito de Habilidades de Caos - Rank","Урон хаосом и длительность эффектов умений хаоса - уровень","Daño de caos y duración del efecto de las habilidades de caos - Nivel","ความเสียหาย เคออส และระยะเวลาส่งผลสกิล เคออส - อันดับ","混沌傷害和混沌技能效果持續時間－階級","[0,1,2,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
17,"JunChaosNonAilmentDamageOverTimeMultiplier",1,"[1,1,1]","Physical and Chaos Damage over Time Multiplier - Rank","Multiplicateur de Dégâts physiques et de chaos sur la durée - Rang","Multiplikator für Physischen und Chaosschaden über Zeit - Rang","物理および混沌継続ダメージ倍率 - ランク","지속 물리 및 카오스 피해 배율 - 단계","Multiplicador de Dano Físico e de Caos Degenerativo - Rank","Множитель постепенного урона хаосом - уровень","Multiplicador de daño degenerativo de caos - Nivel","ตัวคูณความเสียหาย กายภาพและเคออส ต่อเนื่อง - อันดับ","物理和混沌持續傷害加成－階級","[0,1,2,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
18,"JunChaosPenetrationWithAttacks",1,"[1,1,1]","Weapon Chaos Resistance Penetration - Rank","Pénétration de la Résistance au chaos pour les armes - Rang","Chaoswiderstand-Durchdringung mit Waffen - Rang","武器混沌耐性突破 - ランク","무기 카오스 저항 관통 - 단계","Penetração da Resistência a Caos de Arma - Rank","Пробивание сопротивления хаосу оружием - уровень","Penetración a la resistencia al caos para el arma - Nivel","เจาะต้านทาน เคออส ในอาวุธ - อันดับ","武器混沌抗性穿透－階級","[0,1,2,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
19,"JunColdDamageAndBaseChanceToFreeze",1,"[1,1,1]","Cold Damage and Chance to Freeze - Rank","Dégâts de froid et chances de Geler - Rang","Kälteschaden und Chance auf Einfrieren - Rang","冷気ダメージおよび凍結確率 - ランク","냉기 피해 및 동결 확률 - 단계","Dano de Gelo e Chance de Congelar - Rank","Урон от холода и шанс заморозить - уровень","Daño de hielo y probabilidad de congelar - Nivel","ความเสียหาย น้ำแข็ง และ โอกาสสร้างสถานะ แช่แข็ง - อันดับ","冰冷傷害和冰凍機率－階級","[0,1,2,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
20,"JunColdDamageOnCritAndCritChance",1,"[1,1]","Critical Strike Chance and Critical Multiplier on Shatter - Rank","Chances de coup critique et Multiplicateur de critique en cas de Fracassement - Rang","Kritische Trefferchance und Multiplikator für kritische Treffer beim Zerschmettern - Rang","クリティカル率および粉砕時クリティカルダメージ倍率 - ランク","산산조각 시 치명타 확률 및 배율 - 단계","Chance de Acerto Crítico e Multiplicador Crítico ao Espatifar - Rank","Шанс критического удара и множитель критического удара при разбивании - уровень","Probabilidad de golpe crítico y multiplicador de golpe crítico al hacer añicos - Nivel","โอกาสและตัวคูณคริติคอล เมื่อแตกสลาย - อันดับ","粉碎暴擊率和暴擊加成－階級",[9],"Unveiling certain rings from Cameria the Coldblooded","Décryptez certaines bagues ou anneaux de Caméria, le Sans-pitié","Enthüllen: bestimmte Ringe von Cameria der Kaltblütige","アンヴェール: 冷血のカミリアから得られる特定の指輪","냉혈한 카메리아의 특정 반지 장막 해제","Revelando certos anéis do Cameria, o Sangue Frio","Нераскрытое свойство отдельных колец Камериа Хладнокровного","Desencriptando ciertos anillos de Cameria el Sangrefría","เปิดผนึก แหวน ที่ได้จาก คามีเรียผู้เลือดเย็น ที่กำหนด","揭露冷血卡麥歷亞特定戒指"
21,"JunColdDamageOverTimeMultiplier",1,"[1,1,1]","Fire and Cold Damage over Time Multiplier - Rank","Multiplicateur des Dégâts de feu et de froid sur la durée - Rang","Multiplikator für Kälte- und Feuerschaden über Zeit - Rang","火および冷気継続ダメージ倍率 - ランク","지속 화염 및 냉기 피해 배율 - 단계","Multiplicador de Dano Degenerativo de Fogo e Gelo - Rank","Множитель постепенного урона от огня и холода - уровень","Multiplicador de daño degenerativo de hielo y fuego - Nivel","ตัวคูณความเสียหาย ไฟและน้ำแข็ง ต่อเนื่อง - อันดับ","火焰和冰冷持續傷害加成－階級","[0,1,2,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
22,"JunCriticalChanceAndAddedChaosDamageIfHaveCritRecently",1,"[1,1,1]","Critical Chance and Added Chaos Damage on Critical Strike - Rank","Chances de critique et Dégâts de chaos supplémentaires en cas de Coup critique - Rang","Kritische Trefferchance und hinzugefügter Chaosschaden bei kritischem Treffer - Rang","クリティカル率およびクリティカル時追加の混沌ダメージ - ランク","치명타 확률 및 치명타 시 카오스 피해 증가 - 단계","Chance de Crítico e Dano de Caos Adicional no Acerto Crítico - Rank","Шанс критического удара и добавленный урон хаосом при нанесении критического удара - уровень","Probabilidad de golpe crítico y daño de caos agregado con cada golpe crítico - Nivel","โอกาสคริติคอล และเสริมความเสียหาย เคออส เมื่อคริติคอล - อันดับ","暴擊率和暴擊時附加混沌傷害－階級","[7,13]","Unveiling gloves or quivers","Décryptez des gants ou des carquois","Enthüllen: Handschuhe oder Köcher","アンヴェール: 手袋または矢筒","장갑, 화살통 장막 해제","Revelando luvas ou aljavas","Нераскрытое свойство перчаток и колчанов","Desencriptando guantes o carcajes","เปิดผนึก ถุงมือหรือซองธนู","揭露手套或箭袋"
23,"JunCriticalChanceAndElementalDamagePercentIfHaveCritRecently",1,"[1,1,1]","Critical Chance and Elemental Damage on Critical Strike - Rank","Chances de critique et Dégâts élémentaires supplémentaires en cas de Coup critique - Rang","Kritische Trefferchance und Elementarschaden bei kritischem Treffer - Rang","クリティカル率およびクリティカル時元素ダメージ - ランク","치명타 확률 및 치명타 시 원소 피해 증가 - 단계","Chance de Crítico e Dano Elemental no Acerto Crítico - Rank","Шанс критического удара и урон от стихий при нанесении критического удара - уровень","Probabilidad de golpe crítico y daño elemental con cada golpe crítico - Nivel","โอกาสคริติคอล และเพิ่มความเสียหาย ธาตุ เมื่อคริติคอล - อันดับ","暴擊率和暴擊時部分元素傷害－階級","[7,13]","Unveiling gloves or quivers","Décryptez des gants ou des carquois","Enthüllen: Handschuhe oder Köcher","アンヴェール: 手袋または矢筒","장갑, 화살통 장막 해제","Revelando luvas ou aljavas","Нераскрытое свойство перчаток и колчанов","Desencriptando guantes o carcajes","เปิดผนึก ถุงมือหรือซองธนู","揭露手套或箭袋"
24,"JunCriticalChanceAndGainFrenzyChargeOnCriticalStrikePercent",1,"[1,1,1]","Critical Chance and Gain Frenzy Charge on Critical Strike - Rank","Chances de critique et Gain de Charge de frénésie en cas de Coup critique - Rang","Kritische Trefferchance und Erhalt einer Raserei-Ladung bei kritischem Treffer - Rang","クリティカル率およびクリティカル時フレンジーチャージ獲得 - ランク","치명타 확률 및 치명타 시 격분 충전 획득 - 단계","Chance de Crítico e Ganho de Carga de Frenesi no Acerto Crítico - Rank","Шанс критического удара и получение заряда ярости при нанесении критического удара - уровень","Probabilidad de golpe crítico y gana una carga de frenesí con cada golpe crítico - Nivel","โอกาสคริติคอล และได้รับ Frenzy Charge เมื่อคริติคอล - อันดับ","暴擊率和暴擊時獲得狂怒球－階級",[13],"Unveiling quivers","Décryptez des carquois","Enthüllen: Köcher","アンヴェール: 矢筒","화살통 장막 해제","Revelando aljavas","Нераскрытое свойство колчанов","Desencriptando carcajes","เปิดผนึก ซองธนู","揭露箭袋"
25,"JunCriticalStrikeMultiplierIfRareOrUniqueEnemyNearby",1,"[1,1,1]","Critical Strike Multiplier while a Rare or Unique Enemy is Nearby - Rank","Multiplicateur de coup critique à proximité d'un Ennemi Rare ou Unique - Rang","Multiplikator für kritischen Treffer, während ein seltener oder einzigartiger Gegner im Umkreis ist - Rang","レアまたはユニークの敵の周囲でのクリティカルダメージ倍率 - ランク","주변에 희귀 또는 고유 적이 있으면 치명타 피해 배율 - 단계","Multiplicador de Acerto Crítico enquanto próximo de Inimigos Raros ou Únicos - Rank","Множитель критического удара рядом с редким или уникальным врагом  - уровень","Multiplicador de golpe crítico si hay un enemigo raro o único cerca - Nivel","ตัวคูณคริติคอล ขณะมี ศัตรูแรร์หรือยูนิค อยู่ใกล้ - อันดับ","當附近有稀有或傳奇敵人暴擊加成－階級","[0,1,2,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
26,"JunCurseEffect",1,"[1,1]","Curse Effect - Rank","Effet des Malédictions - Rang","Fluchwirkung - Rang","呪い効果 - ランク","저주 효과 - 단계","Efeito de Maldições - Rank","Эффект проклятия - уровень","Efecto de maldiciones - Nivel","ผลคำสาป - อันดับ","詛咒效果－階級",[4],"Unveiling shields","Décryptez des boucliers","Enthüllen: Schilde","アンヴェール: 盾","방패 장막 해제","Revelando escudos","Нераскрытое свойство щитов","Desencriptando escudos","เปิดผนึก โล่","揭露盾牌、戒指或箭袋"
27,"JunDamageDuringFlaskEffect",1,"[1,1]","Damage during Flask Effect - Rank","Dégâts pendant l'Effet d'un Flacon - Rang","Schaden während Fläschchenwirkung - Rang","フラスコ効果中ダメージ - ランク","플라스크 효과를 받는 동안 피해 - 단계","Dano durante o Efeito de Frascos - Rank","Урон во время действия эффекта флакона - уровень","Daño durante el efecto del frasco - Nivel","ความเสียหาย ขณะที่มีผลจากขวดยา - อันดับ","藥劑效果持續時間傷害－階級",[7],"Unveiling certain gloves from Guff Grenn","Décryptez certains gants de Guff Grenn, « le Gringalet »","Enthüllen: bestimmte Handschuhe von Guff Grenn","アンヴェール: ガフ・グレンから得られる特定の手袋","거프 그렌의 특정 장갑 장막 해제","Revelando certas luvas do Guff Grenn","Нераскрытое свойство отдельных перчаток Гаффа Гренна","Desencriptando ciertos guantes de Guff Grenn","เปิดผนึก ถุงมือ ที่ได้จาก กัฟ เกรนน์ ที่กำหนด","揭露哥夫格林特定手套"
28,"JunDamagePerEnduranceCharge",1,[1],"Damage per Endurance Charge","Dégâts par Charge d'endurance - Rang","Schaden pro Widerstands-Ladung","エンデュランスチャージごとにダメージ","인내 충전 하나당 피해 - 순위","Dano por Carga de Tolerância","Урон за заряд выносливости","Daño por cada carga de aguante","ความเสียหาย ตามจำนวน Endurance Charge","每顆耐力球傷害","[0,1,2,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
29,"JunDamagePerFrenzyCharge",1,[1],"Damage per Frenzy Charge","Dégâts par Charge de frénésie - Rang","Schaden pro Raserei-Ladung","フレンジーチャージごとにダメージ","격분 충전 하나당 피해 - 순위","Dano por Carga de Frenesi","Урон за заряд ярости","Daño por cada carga de frenesí","ความเสียหาย ตามจำนวน Frenzy Charge","每顆狂怒球傷害","[0,1,2,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
