"rownum","GrantedEffect","Stats","StatsValuesPermille","AddTypes","AddMinionTypes","[i32]"
77,44,[19395],[1000],[],[],[]
78,50,[18743],[-27500],[],[],[]
79,69,"[17990,17991]","[500,2500]",[],[],[]
80,295,[9613],[1000],[],[],[]
81,5286,[10158],[1500],[],[],[]
82,5293,[11188],[25],[],[],[]
83,28,[20018],[1000],[],[],[]
84,98,[11594],[150],[],[],[]
85,297,[19395],[1000],[],[],[]
86,99,[20070],[-2500],[],[],[]
87,167,[349],[200000],[],[],[]
88,5292,[20512],[100],[],[],[]
89,97,[3349],[2000],[],[],[]
90,161,[17993],[100],[],[],[]
91,5291,[18940],[1500],[],[],[]
92,104,[828],[20000],[],[],[]
93,5289,[3219],[1000],[],[],[]
94,263,[3219],[1000],[],[],[]
95,145,[621],[1000],[],[],[]
96,181,[19395],[1500],[],[],[]
97,149,[18426],[100],[],[],[]
98,264,[3219],[1000],[],[],[]
99,290,[18176],[2500],[],[],[]
100,143,[20071],[1000],[],[],[]
101,141,[9613],[1000],[],[],[]
102,179,[17546],[100],[],[],[]
103,183,[18540],[10000],[],[],[1]
104,148,[18446],[100],[],[],[]
105,139,[7380],[1500],[],[],[]
106,94,[70],[1000],[],[],[]
107,266,[3219],[500],[],[],[]
108,136,[18446],[250],[],[],[]
109,151,[14424],[1500],[],[],[]
110,133,[18439],[2000],[],[],[]
111,280,[18463],[2000],[],[],[]
112,173,[70],[500],[],[],[]
113,201,[555],[10000],[],[],[]
114,332,[555],[10000],[],[],[]
115,323,[17753],[500],[],[],[]
116,322,[18940],[1000],[],[],[]
117,330,"[1348,12632]","[500,500]",[],[],[]
118,324,[18898],[-100],[],[],[]
119,5334,[19917],[1000],[],[],[]
120,84,[13319],[-500],[],[],[]
121,5295,[20289],[100],[],[],[]
122,116,[169],[1500],[],[],[]
123,90,[9613],[1000],[],[],[]
124,5333,[630],[1000],[],[],[]
125,205,[18426],[200],[],[],[]
126,343,[20287],[750],[],[],[]
127,113,[13177],[50],[],[],[]
128,47,[19111],[500],[],[],[]
129,5283,[19136],[1500],[],[],[]
130,159,[169],[2000],[],[],[]
131,5284,[17750],[200],[],[],[]
132,88,[19020],[500],[],[],[]
133,121,[15847],[-500],[],[],[]
134,5226,"[349,3070]","[50000,50000]",[],[],[]
135,174,[210],[500],[],[],[]
136,100,[17750],[400],[],[],[]
137,26,[18695],[1000],[],[],[]
138,79,[4416],[125],[],[],[]
139,214,[18694],[2000],[],[],[]
140,5225,[18426],[50],[],[],[]
141,5290,[349],[-25000],[],[],[]
142,114,[349],[25000],[],[],[]
143,92,[349],[5000],[],[],[]
144,176,[3219],[500],[],[],[]
145,38,[1697],[500],[],[],[]
146,49,[132],[1000],[],[],[]
147,5287,[349],[50000],[],[],[]
148,59,[21104],[400],[],[],[]
149,60,[21105],[400],[],[],[]
150,61,[21106],[400],[],[],[]
151,68,[18164],[100],[],[],[0]
152,93,[9409],[100],[],[],[]
153,310,[18920],[50],[],[],[]
154,67,[17750],[200],[],[],[1]
155,257,[19111],[1000],[],[],[]
156,5224,[18676],[1500],[],[],[]
157,54,[17597],[50],[],[],[]
158,302,[2055],[50],[],[],[]
159,344,[3219],[500],[],[],[]
160,221,[19470],[750],[],[],[]
161,239,[19470],[750],[],[],[]
162,5278,[13319],[-500],[],[],[]
163,5277,[19074],[1000],[],[],[]
164,5279,[19470],[1000],[],[],[]
165,66,[17981],[100],[],[],[]
166,298,[18780],[10000],[],[],[]
167,5282,[19129],[100],[],[],[]
168,222,[19470],[750],[],[],[]
169,223,[19470],[750],[],[],[]
170,338,[20200],[500],[],[],[]
171,326,[19901],[100],[],[],[]
172,328,[19901],[100],[],[],[]
173,327,[18264],[500],[],[],[]
174,241,[18209],[5000],[],[],[]
175,226,[13319],[-500],[],[],[]
176,243,[13319],[-500],[],[],[]
177,364,[20518],[250],[],[],[]
178,154,[18446],[100],[],[],[]
179,5194,[20022],[500],[],[],[]
180,265,"[18445,18440]","[3000,500]",[],[],[1]
181,267,[3219],[500],[],[],[]
182,186,[18446],[350],[],[],[]
183,339,[3219],[500],[],[],[]
184,258,[8451],[100],[],[],[]
185,283,[16720],[1000],[],[],[1]
186,336,[20142],[2000],[],[],[]
187,346,[20351],[40000],[],[],[]
188,350,[19470],[1000],[],[],[]
189,356,[20487],[-10000],[],[],[]
190,347,[13319],[-250],[],[],[]
191,359,[19585],[500],[],[],[]
192,349,[20695],[100],[],[],[]
193,363,[19111],[1000],[],[],[]
194,362,[349],[50000],[],[],[]
195,352,[20361],[250],[],[],[]
196,360,[20485],[1000],[],[],[]
197,337,[20160],[-250],[],[],[]
198,348,"[20354,20356]","[-250,-250]",[],[],[]
199,353,[20369],[100],[],[],[]
200,137,[582],[1000],[],[],[]
201,355,[760],[1000],[],[],[]
202,29,[3219],[500],[],[],[]
203,5347,[20566],[-15000],[],[],[]
204,5324,[20572],[750],[],[],[]
205,5338,[349],[50000],[],[],[]
206,5331,[3219],[1000],[],[],[0]
207,5326,[19761],[1000],[],[],[]
208,5327,[19759],[1000],[],[],[]
209,5328,[19760],[1000],[],[],[]
210,5329,[8601],[1000],[],[],[]
211,5330,[8602],[1000],[],[],[]
212,132,[634],[1000],[],[],[]
213,5317,[20872],[500],[],[],[]
214,5340,[3219],[500],[],[],[]
215,5341,[3219],[500],[],[],[]
216,5339,[3219],[500],[],[],[]
217,325,[3219],[500],[],[],[]
218,5300,[19243],[500],[],[],[]
219,5345,[20136],[3500],[],[],[]
220,5346,[634],[1000],[],[],[]
221,5336,[19919],[750],[],[],[]
222,366,[20815],[100],[],[],[2]
223,340,[349],[-20000],[],[],[]
224,341,[349],[-20000],[],[],[]
