"rownum","rid","rid","[i32]","string","bool","[rid]"
128,27,10,[17727],"WinAnimation","",[]
129,27,11,[17969],"WinAnimation","",[]
130,31,9,[17457],"WinAnimation","",[]
131,31,10,[17727],"WinAnimation","",[]
132,31,11,[17969],"WinAnimation","",[]
133,2,9,[17468],"LoseAnimation","",[]
134,2,10,[17735],"LoseAnimation","",[]
135,2,11,[17979],"LoseAnimation","",[]
136,44,9,[17484],"WinAnimation","",[]
137,44,10,[17746],"ImpressedAnimation","",[]
138,44,11,[17992],"ImpressedAnimation","",[]
139,45,10,[17755],"LoseAnimation","",[]
140,46,9,[17504],"LoseAnimation","",[]
141,46,10,[17757],"ImpressedAnimation","",[]
142,46,11,[18007],"ImpressedAnimation","",[]
143,47,11,[18017],"ImpressedAnimation","",[18017]
144,48,11,[18024],"ImpressedAnimation","",[18024]
145,49,9,[17515],"ImpressedAnimation","",[17515]
146,49,10,[17768],"ImpressedAnimation","",[17768]
147,49,11,[18026],"ImpressedAnimation","",[18026]
148,50,9,[17525],"","",[17525]
149,50,10,[17779],"","",[17779]
150,50,11,[18031],"","",[18031]
151,51,9,[17530],"","",[]
152,51,10,[17787],"","",[]
153,51,11,[18039],"","",[]
154,52,9,[17546],"WinAnimation","",[]
155,52,10,[17795],"WinAnimation","",[]
156,52,11,[18047],"WinAnimation","",[]
157,53,9,[17553],"WinAnimation","",[]
158,54,9,[17555],"WinAnimation","",[]
159,54,11,[18054],"WinAnimation","",[]
160,55,9,[17559],"","",[]
161,55,10,[17805],"","",[]
162,55,11,[18056],"","",[]
163,56,9,[19851],"","",[]
164,56,10,[19853],"","",[]
165,56,11,[18069],"","",[]
166,57,9,[17570],"","",[]
167,57,10,[17816],"","",[]
168,57,11,[18071],"","",[]
169,58,9,[17572],"","",[]
170,58,10,[17818],"","",[]
171,58,11,[18074],"","",[]
172,59,9,[17575],"","",[]
173,59,10,[17821],"","",[]
174,59,11,[18077],"","",[]
175,60,9,[17577],"","",[]
176,60,10,[17822],"","",[]
177,60,11,[18080],"","",[]
178,61,9,[17579],"","",[]
179,61,10,[17824],"","",[]
180,61,11,[18082],"","",[]
181,62,9,[17582],"","",[]
182,62,10,[17826],"","",[]
183,62,11,[18083],"","",[]
184,63,9,[17584],"","",[]
185,63,10,[17827],"","",[]
186,63,11,[18086],"","",[]
187,64,9,[17587],"","",[]
188,64,10,[17829],"","",[]
189,64,11,[18088],"","",[]
190,65,9,[17589],"","",[]
191,65,10,[17831],"","",[]
192,65,11,[18091],"","",[]
193,66,9,[17590],"","",[]
194,67,9,[],"","",[17599]
195,67,10,[],"","",[17833]
196,67,11,[],"","",[18094]
197,68,9,[],"","",[17607]
198,68,10,[],"","",[17843]
199,68,11,[],"","",[18104]
200,6,9,[17534],"","",[17618]
201,6,10,[17851],"","",[17851]
202,6,11,[18117],"","",[18117]
203,69,9,[],"","",[17628]
204,69,10,[],"","",[17858]
205,69,11,[],"","",[18129]
206,35,9,[19772],"WinAnimation","",[]
207,35,10,[19794],"WinAnimation","",[]
208,35,11,[19812],"WinAnimation","",[]
209,71,9,[17534],"","",[17618]
210,71,10,[17851],"","",[17851]
211,71,11,[18117],"","",[18117]
212,70,9,[19829],"","",[]
213,70,10,[19837],"","",[]
214,70,11,[19843],"","",[]
215,0,9,[17322],"","",[17322]
216,0,10,[17635],"","",[17635]
217,0,11,[17868],"","",[17868]
218,72,9,[17377],"","",[]
219,72,10,[17669],"","",[]
220,72,11,[17910],"","",[]
