"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","MapsKey","FlavourTextKey","AtlasNodeKeys","Tier0","Tier1","Tier2","Tier3","Tier4","f32","f32","f32","f32","f32","DDSFile","bool","NotOnAtlas","i32","i32","i32","i32","DivCards"
58,1195,8332,"",421,2097,"[84,41,74,6]",8,11,15,16,16,761.215,255.893,171,-5.978,0.036,"","","",10,12,13,14,"[3022,3181,3264,3353]"
59,1266,8393,"",359,2154,"[81,93,44,24]",11,14,16,16,16,417.216,172.483,151,1.402,-3.652,"","","",12,13,14,15,"[2986,3190,3203,3253]"
60,1269,8317,"",361,2157,"[111,54]",8,11,15,16,16,208.948,259.429,99,0.954,-2.977,"","","",10,12,13,14,"[3120,3136,3169,3256]"
61,1130,8303,"",368,2034,"[98,93,57,24]",9,12,16,16,16,410.078,215.15,173,21.114,0.813,"","","",11,12,13,14,"[2958,3060,3069,5030]"
62,1231,8385,"",452,2132,"[76,105]",15,16,16,16,16,177.415,97.409,79,23.86,-0.014,"","","",16,16,16,16,"[3091,3226,3238,3307]"
63,1268,8353,"",330,2156,"[44,55,24,14]",11,14,16,16,16,305.639,178.534,188,-11.845,5.361,"","","",12,13,14,15,"[2937,2994,3313,3323]"
64,1247,8414,"",468,2148,"[80,78,94]",2,5,9,13,16,420.516,427.324,147,4.949,4.79,"","","",4,6,8,10,"[2939,3117,3159,3315]"
65,1219,8333,"",442,2120,"[111,108,33]",6,9,13,16,16,204.962,327.161,139,24.597,6.238,"","","",8,10,12,13,"[2959,3002,3068,3101]"
66,1238,8402,"",459,2139,"[37,109,20]",2,5,9,13,16,677.004,491.297,208,9.064,-12.234,"","","",4,6,8,10,"[3030,3053,3090,3221]"
67,1096,8431,"",331,2000,"[92,99,22]",15,16,16,16,16,461.303,84.504,235,-0.434,1.547,"","","",16,16,16,16,"[2988,3007,3161,3266]"
68,1129,8300,"",367,2033,"[82,106,88,57,18]",7,10,14,16,16,381.273,278.962,271,1.532,5.635,"","","",9,11,12,13,"[3008,3089,3295,3326]"
69,1104,8396,"",339,2008,"[53,89,10]",3,6,10,14,16,261.507,460.779,217,11.713,-22.733,"","","",5,7,9,11,"[3046,3185,3295,3340]"
70,1093,8294,"",327,1997,"[102,38,77]",14,16,16,16,16,303.122,115.216,212,23.596,4.01,"","","",15,16,16,16,"[2954,2985,3166,3342]"
71,1262,8344,"",470,2151,"[98,42,47,18]",7,10,14,16,16,573.868,273.983,152,-19.915,-3.286,"","","",9,11,12,13,"[2977,3243,3275,3350]"
72,1095,8307,"",329,1999,"[37,109,16]",2,5,9,13,16,642.142,451.676,155,2.694,-1.663,"","","",4,6,8,10,"[2969,3082,3165,3283]"
73,1149,8418,"",385,2053,"[98,93,101,87,47]",9,12,16,16,16,573.172,213.337,211,-13.629,-5.484,"","","",11,12,13,14,"[3057,3191,3274,3317]"
74,1244,8420,"",465,2145,"[51,101,85,47,58]",9,12,16,16,16,687.964,228.348,221,1.355,-0.478,"","","",11,12,13,14,"[2943,3040,3103,3267]"
75,1208,8327,"",432,2110,"[98,57,18]",7,10,14,16,16,471.732,263.98,168,-2.464,-2.626,"","","",9,11,12,13,"[2926,2979,3127,4619]"
76,1151,8379,"",387,2055,"[62,79,77]",14,16,16,16,16,202.437,114.959,174,12.132,7.267,"","","",15,16,16,16,"[3010,3042,3079,4741]"
77,1227,8398,"",448,2128,"[70,76,44,14]",13,16,16,16,16,286.951,138.182,198,-12.205,-3.881,"","","",14,15,16,16,"[2930,3045,3164,3332]"
78,1159,8363,"",392,2063,"[36,64]",1,4,8,12,16,462.926,423.194,96,-8.13,-9.782,"",1,"",3,5,7,9,"[2955,2980,3066,3307]"
79,1111,8289,"",346,2015,"[76,14]",13,16,16,16,16,191.475,138.353,74,13.512,-1.181,"","","",14,15,16,16,"[2989,3068,3271,3274]"
80,1190,8387,"",416,2093,"[53,64,8]",1,4,8,12,16,422.548,493.34,112,-28.905,-31.404,"",1,"",3,5,7,9,"[3016,3128,3247,3346]"
81,1114,8437,"",349,2018,"[102,59,91]",12,15,16,16,16,472.15,143.278,128,-18.912,8.18,"","","",13,14,15,16,"[2932,3088,3133,3182]"
82,1194,8419,"",420,2096,"[83,68,96]",6,9,13,16,16,414.221,306.299,215,-3.028,5.822,"","","",8,10,12,13,"[2986,3011,3017,3149]"
83,1206,8336,"",430,2108,"[82,50,107,42,18]",5,8,12,16,16,504.258,326.464,228,-6.351,-1.515,"","","",7,9,11,12,"[2973,3058,3092,3339]"
84,1117,8367,"",351,2021,"[35,85,58,32]",7,10,14,16,16,736.396,287.888,168,3.213,0.847,"","","",9,11,12,13,"[3089,3267,3268,3330]"
85,1098,8292,"",333,2002,"[84,74,114]",8,11,15,16,16,676.466,257.072,126,13.486,9.077,"","","",10,12,13,14,"[3178,3230,3232,3233]"
86,1120,8384,"",353,2024,"[31,104,45,22]",13,16,16,16,16,582.018,120.508,275,2.917,8.168,"","","",14,15,16,16,"[3094,3095,3256,4620]"
87,1241,8438,"",462,2142,"[110,73,91]",10,13,16,16,16,561.716,177.8,155,5.534,0.189,"","","",12,13,14,15,"[3023,3081,3294,3310]"
88,1183,8375,"",411,2086,"[111,33,68,96]",6,9,13,16,16,296.692,308.55,198,9.63,3.938,"","","",8,10,12,13,"[2928,3163,3332,5029]"
89,1135,8423,"",373,2039,"[113,108,33,69]",4,7,11,15,16,265.302,392.51,162,0.8,5.662,"","","",6,8,10,12,"[3032,3099,3201,3291]"
90,1100,8299,"",335,2004,"[48,112,2]",2,5,9,13,16,535.415,393.191,132,3.883,-3.514,"","","",4,6,8,10,"[2998,3038,3145,3296]"
91,1148,8424,"",384,2052,"[81,93,87,45]",11,14,16,16,16,504.985,158.212,122,10.101,5.041,"","","",12,13,14,15,"[3005,3045,3065,3098]"
92,1220,8291,"",443,2121,"[46,67]",16,16,16,16,16,561.018,75.454,220,-3.389,5.999,"","","",16,16,16,16,"[3081,3129,3219,3285]"
93,1106,8389,"",341,2010,"[61,59,73,91]",10,13,16,16,16,475.633,192.198,227,0.584,-1.922,"","","",12,13,14,15,"[2933,3019,3021,3083]"
94,1168,8358,"",400,2072,"[107,36,64,8,28]",3,6,10,14,16,395.872,384.597,182,11.157,11.659,"","","",5,7,9,11,"[2925,3027,3047,3193]"
95,1209,8349,"",433,2111,"[46,100,26]",14,16,16,16,16,729.141,106.571,168,-10.672,-0.573,"","","",15,16,16,16,"[2951,3009,3145,3168]"
96,1131,8330,"",369,2035,"[82,107,88,28]",5,8,12,16,16,345.021,336.76,176,19.957,0.334,"","","",7,9,11,12,"[2975,2976,2978,3245]"
97,1182,8377,"",410,2085,"[52,35,42,4]",5,8,12,16,16,679.632,351.005,213,-1.206,-1.159,"","","",7,9,11,12,"[3057,3074,3102,3186]"
98,1137,8293,"",375,2041,"[71,61,75,73]",8,11,15,16,16,503.424,231.435,226,3.031,8.142,"","","",10,12,13,14,"[2965,2982,3350,3353]"
99,1179,8443,"",407,2082,"[67,38]",16,16,16,16,16,339.113,68.86,204,14.459,10.391,"","","",16,16,16,16,"[2926,2961,3156,3273]"
100,1234,8297,"",455,2135,"[31,95,104,12]",13,16,16,16,16,725.915,136.26,164,-16.016,-3.392,"","","",14,15,16,16,"[2983,3052,3209,3255]"
101,1109,8312,"",344,2013,"[110,74,73,40]",10,13,16,16,16,650.098,190.546,192,3.375,2.41,"","","",12,13,14,15,"[3015,3252,3324,4617]"
102,1142,8337,"",380,2046,"[70,81,44,22]",13,16,16,16,16,418.601,131.86,230,-15.173,-2.449,"","","",14,15,16,16,"[3002,3019,3021,3179]"
103,1184,8381,"",412,2087,"[30,20,0]",4,7,11,15,16,812.191,422.487,180,-25.128,-13.945,"","","",6,8,10,12,"[2950,2964,3107,3246]"
104,1092,8441,"",326,1996,"[110,86,100,40]",12,15,16,16,16,671.995,151.701,206,-4.783,-3.498,"","","",13,14,15,16,"[3031,3108,3114,3253]"
105,1122,8383,"",355,2026,"[62,38]",16,16,16,16,16,223.973,79.817,155,9.222,9.807,"","","",16,16,16,16,"[3020,3088,3217,3341]"
106,1271,8401,"",471,2159,"[111,54,68,43]",8,11,15,16,16,302.731,263.775,228,-19.338,-7.56,"","","",10,12,13,14,"[3093,3254,3323,4872]"
107,1113,8432,"",348,2017,"[83,96,94,112]",4,7,11,15,16,438.146,354.779,209,-3.33,-1.102,"","","",6,8,10,12,"[3026,3107,3176,5028]"
108,1094,8308,"",328,1998,"[65,89,10]",5,8,12,16,16,204.652,368.266,125,16.688,7.181,"","","",7,9,11,12,"[2974,3092,3108,3249]"
109,1103,8425,"",338,2007,"[72,52,66,4]",3,6,10,14,16,708.788,449.405,172,-24.423,-16.194,"","","",5,7,9,11,"[2969,3082,3239,3331]"
110,1119,8301,"",352,2023,"[104,101,87,45]",11,14,16,16,16,629.126,162.608,142,-14.35,2.878,"","","",12,13,14,15,"[3180,3225,3285,3289]"
111,1270,8325,"",362,2158,"[106,88,65,60]",7,10,14,16,16,223.487,289.784,147,23.877,-0.044,"","","",9,11,12,13,"[3041,3090,3104,3304]"
112,1259,8290,"",438,2149,"[50,107,36,90]",3,6,10,14,16,490.783,365.783,144,4.587,6.089,"","","",5,7,9,11,"[3171,3209,3344,4740]"
113,1198,8341,"",424,2100,"[53,89,8,28]",3,6,10,14,16,313.911,420.919,166,14.396,2.999,"","","",5,7,9,11,"[3038,3043,3124,3130]"
114,1226,8324,"",447,2127,"[35,85,42,47]",7,10,14,16,16,658.981,291.287,188,-9.527,-8.344,"","","",9,11,12,13,"[2931,2987,3054,3146]"
115,1248,8404,"",472,2160,[],16,16,16,16,16,0,0,0,0,0,"","",1,16,16,16,16,"[2931,2983,2987,3054,3056,3124,3135,3154,3240,3250,4742]"
116,1249,8405,"",473,2161,[],16,16,16,16,16,0,0,0,0,0,"","",1,16,16,16,16,"[2958,3060,4742]"
117,1251,8406,"",474,2162,[],16,16,16,16,16,0,0,0,0,0,"","",1,16,16,16,16,"[3051,3225,4742]"
118,1250,8407,"",475,2163,[],16,16,16,16,16,0,0,0,0,0,"","",1,16,16,16,16,"[3098,3179,3313,4742,4872]"
119,1253,8409,"",477,2164,[],16,16,16,16,16,0,0,0,0,0,"","",1,16,16,16,16,"[2971,2992,3024,3041,3050,3134,3146,3152,3205,3245]"
120,1170,10795,"",401,2074,[],5,8,12,16,16,0,0,0,0,0,"","",1,7,9,11,12,[3119]
121,1128,12792,"",366,2032,[],14,16,16,16,16,0,0,0,0,0,"","",1,15,16,16,16,"[3328,3335]"
122,1273,8450,"",483,2164,[],17,17,17,17,17,0,0,400,0,0,"","",1,17,17,17,17,"[2962,3017,3026,3040,3067,3107,3149,3176,3190,3210,3291]"
123,1274,8449,"",484,2164,[],17,17,17,17,17,0,0,400,0,0,"","",1,17,17,17,17,"[2968,2991,3000,3067,3099,3129,3285,3298,3337]"
124,1275,8451,"",485,2164,[],17,17,17,17,17,0,0,400,0,0,"","",1,17,17,17,17,"[2995,3067,3098,3179,3224,3313,4872]"
125,1276,8447,"",486,2164,[],17,17,17,17,17,0,0,400,0,0,"","",1,17,17,17,17,"[2942,2970,2999,3003,3016,3032,3044,3067,3117,3128,3140,3159,3198,3300]"
126,1277,8448,"",487,2164,[],17,17,17,17,17,0,0,400,0,0,"","",1,17,17,17,17,"[2962,2968,3000,3067,3078,3099,3106,3111,3129,3141,3285,3298]"
