"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","IsCategory","Category","bool_25","string_26","bool_34","i32_35","i32_39","string_43"
41,"PoE2GuildStashTabs","Guild Stash Tabs","Onglets de Réserve de Guilde","Gilden\ntruhenfächer","ギルドスタッシュタブ","Guild Stash Tabs","Abas de Baú (Guilda)","Секции хранилища гильдии","Pestañas de alijo para hermandad","แท็บเก็บของกิลด์","公會倉庫頁","","","","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/GuildSub/SubFlagGuildStashes",1,-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Guild/GuildStashes"
42,"PoE2GuildHideouts","Hideout Areas","Zones de Repaires","Vesteckgebiete","隠れ家エリア","Hideout Areas","Áreas de Refúgio","Области убежища","Áreas de guarida","ด่านที่ซ่อน","藏身處區域","","","","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/GuildSub/SubFlagGuildHideouts",1,-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Guild/GuildHideouts"
43,"PoE2GuildUtilitySkins","Utility Skins","Apparences utilitaires","Allgemeine Skins","ユーティリティスキン","Utility Skins","Visuais Utilitários","Прочие декорации для убежища гильдии","Aspectos de utilidad","สกินช่วยเหลือ","功能外觀","","","","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/GuildSub/SubFlagGuildltems",1,-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Guild/Guildltems"
44,"PoE2GuildHideoutDecorations","Hideout Decorations","Décorations de Repaire","Versteck-\nDekorationen","隠れ家装飾品","Hideout Decorations","Decorações de Refúgio","Декорации для убежища","Decoraciones de guarida","ของตกแต่งที่ซ่อน","藏身處裝飾物","","","","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/GuildSub/SubFlagGuildEffects",1,-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Guild/GuildEffects"
45,"PoE2GuildFeatures","Guild Features","Fonctions de Guilde","Gildenfunktionen","ギルド機能","Guild Features","Recursos de Guilda","Свойства гильдии","Funciones de hermandad","ฟีเจอร์กิลด์","公會功能","","","","Art/2DArt/UIImages/InGame/ConsoleNew/Shop/GuildSub/SubFlagGuildBundles",1,-16843010,-16843010,"Art/2DArt/UIImages/InGame/ConsoleNew/Shop/Guild/GuildBundles"
46,"TencentHotAndNew","Hot and New","Nouveau & populaire","Brandneu","ホット＆ニュー","화제 및 신규","Novos","Новинки","Novedades","ของใหม่มาแรง","騰訊",1,"","","","",-16843010,-16843010,""
47,"TencentAccountFunctions","Account Functions","Fonctions de compte","Kontofunktionen","アカウント機能","계정 기능","Funções da Conta","Аккаунт","Funciones de la cuenta","ฟังก์ชันบัญชี","騰訊",1,"","","","",-16843010,-16843010,""
48,"TencentGuildFunctions","Guild Functions","Fonctions de Guilde","Gilde-Funktionen","ギルド機能","길드 기능","Funções da Guilda","Гильдия","Funciones de hermandad","ฟังก์ชันกิลด์","騰訊",1,"","","","",-16843010,-16843010,""
49,"TencentCosmetics","Cosmetics","Visuels","Cosmetics","装飾品","꾸미기 항목","Cosméticos","Cosmetics","Cosméticos","สินค้าแฟชั่น","騰訊",1,"","","","",-16843010,-16843010,""
50,"TencentBackAttachments","Back Attachments","Accessoires dorsaux","Back Attachments","背面装飾品","등 부착물","Adornos Dorsais","Back Attachments","Accesorios para la espalda","แฟชั่นติดหลัง","騰訊",1,"","","","",-16843010,-16843010,""
51,"TencentWeaponEffects","Weapon Effects","Effets d'armes","Waffeneffekte","武器エフェクト","무기 이펙트","Efeitos de Armas","Оружие","Efectos para arma","เอฟเฟคอาวุธ","騰訊",1,"","","","",-16843010,-16843010,""
52,"TencentSkillEffects","Skill Effects","Effets d'aptitudes","Fertigkeitseffekte","スキルエフェクト","스킬 이펙트","Efeitos de Habilidades","Эффекты умений","Efectos para habilidades","เอฟเฟคสกิล","騰訊",1,"","","","",-16843010,-16843010,""
53,"TencentCharacterEffects","Character Effects","Effets de personnage","Character Effects","キャラクターエフェクト","캐릭터 이펙트","Efeitos de Personagem","Character Effects","Efectos para el personaje","เอฟเฟคตัวละคร","騰訊",1,"","","","",-16843010,-16843010,""
54,"TencentFootprintsEffects","Footprints Effects","Effets d'empreintes de pas","Footprints Effects","足跡エフェクト","발자국 이펙트","Efeitos de Pegadas","Footprints Effects","Efectos de huellas","เอฟเฟครอยเท้า","騰訊",1,"","","","",-16843010,-16843010,""
55,"TencentPortalEffects","Portal Effects","Effets de portail","Portal Effects","ポータルエフェクト","포탈 이펙트","Efeitos de Portal","Portal Effects","Efectos de portal","เอฟเฟควาร์ป","騰訊",1,"","","","",-16843010,-16843010,""
56,"TencentPets","Pets","Familiers","Begleiter","ペット","애완동물","Mascotes","Питомцы","Mascotas","สัตว์เลี้ยง","騰訊",1,"","","","",-16843010,-16843010,""
57,"TencentHideout","Hideout","Repaire","Hideout","隠れ家","은신처","Refúgio","Hideout","Guarida","ที่ซ่อน","騰訊",1,"","","","",-16843010,-16843010,""
58,"TencentTradeableMicrotransactions","Tradeable Microtransaction","Microtransactions échangeables","Handelbare Mikrotransaktion","交換可能有料アイテム","거래 가능 포인트 아이템","Microtransações Negociáveis","Tradeable Microtransaction","Microtransacciones comerciables","สินค้าแฟชั่นแลกเปลี่ยนได้","騰訊",1,"","","","",-16843010,-16843010,""
59,"TencentSecondary","Tencent Misc","Divers Tencent","Tencent","テンセント その他","텐센트 기타","Tencent Misc"," ","Tencent Misc","อื่นๆ ของ Tencent","騰訊","","","","","",-16843010,-16843010,""
60,"CursorMtx","Cursor Skin","Apparence de curseur","Cursor-Skin","カーソルスキン","커서 스킨","Visual de Cursor","Облик курсора","Aspecto para cursor","สกินเคอร์เซอร์","鼠標外觀","","","","","",-16843010,-16843010,""
61,"HUDMtx","HUD Skin","Apparence d'interface","HUD-Skin","HUDスキン","HUD 스킨","Visual de HUD","HUD","Aspecto para HUD","สกินหน้าจอแสดงผล","HUD 外觀","","","","","",-16843010,-16843010,""
62,"JewelMtx","Passive Jewel Skin","Apparence de Joyau de talent","Juwel-Skin","パッシブジュエルスキン","패시브 주얼 스킨","Visual de Joia Passiva","Внешний вид самоцвета","Aspecto para joya pasiva","สกินจิวเวลพาสซีฟ","天賦珠寶外觀","","","","","",-16843010,-16843010,""
63,"FlaskMtx","Flask Skin","Apparence de Flacon","Fläschchen-Skin","フラスコスキン","플라스크 스킨","Visual de Frasco","Внешний вид флакона","Aspecto para frasco","สกินขวดยา","藥劑外觀","","","","","",-16843010,-16843010,""
64,"BeltMtx","Belt Skin","Apparence de ceinture","Gürtel-Skin","ベルトスキン","허리띠 스킨","Visual de Cinto","Внешний вид пояса","Aspecto para cinturón","สกินเข็มขัด","腰帶外觀","","","","","",-16843010,-16843010,""
65,"AmuletMtx","Amulet Skin","Apparence d'amulette","Amulett-Skin","アミュレットスキン","목걸이 스킨","Visual de Amuleto","Внешний вид амулета","Aspecto para amuleto","สกินสร้อย","項鍊外觀","","","","","",-16843010,-16843010,""
66,"WeaponSkin1Mtx","Main-hand Skin","Apparence de main principale","Waffen-Skin Hauptthand","メインハンドスキン","주 무기 스킨","Visual de Arma Principal","Внешний вид оружия в правой руке","Aspecto para mano principal","สกินมือหลัก","主手外觀","","","","","",-16843010,-16843010,""
67,"WeaponSkin2Mtx","Off-hand Skin","Apparence de main secondaire","Waffen-Skin Nebenhand","オフハンドスキン","보조 장비 스킨","Visual de Arma Secundária","Внешний вид оружия в левой руке","Aspecto para mano secundaria","สกินมือรอง","副手外觀","","","","","",-16843010,-16843010,""
68,"WeaponEffect1Mtx","Main-hand Effect","Effet de main principale","Waffeneffekt Haupthand","メインハンドエフェクト","주 무기 이펙트","Efeito de Arma Principal","Эффект оружия в правой руке","Efecto para mano principal","เอฟเฟคมือหลัก","主手特效","","","","","",-16843010,-16843010,""
69,"WeaponEffect2Mtx","Off-hand Effect","Effet de main secondaire","Waffeneffekt Nebenhand","オフハンドエフェクト","보조 장비 이펙트","Efeito de Arma Secundária","Эффект оружия в левой руке","Efecto para mano secundaria","เอฟเฟคมือรอง","副手特效","","","","","",-16843010,-16843010,""
70,"WeaponAddedEffect1Mtx","Main-hand Added Effect","Rajout d'effet de main principale","Zusätzlicher Waffeneffekt Haupthand","メインハンド追加エフェクト","주 무기 추가 이펙트","Efeito de Arma Principal Adicional","Добавленный эффект оружия в правой руке","Efecto agregado para mano principal","เอฟเฟคมือหลักเพิ่มเติม","主手附加特效","","","","","",-16843010,-16843010,""
71,"WeaponAddedEffect2Mtx","Off-hand Added Effect","Rajout d'effet de main secondaire","Zusätzlicher Waffeneffekt Nebenhand","オフハンド追加エフェクト","보조 장비 추가 이펙트","Efeito de Arma Secundária Adicional","Добавленный эффект оружия в левой руке","Efecto agregado para mano secundaria","เอฟเฟคมือรองเพิ่มเติม","副手附加特效","","","","","",-16843010,-16843010,""
72,"HelmetSkinMtx","Helmet Skin","Visuel de casque","Helm-Skin","兜スキン","투구 스킨","Visual de Elmo","Внешний вид шлема","Aspecto para casco","สกินหมวก","頭部外觀","",4,"","","",-16843010,-16843010,""
73,"HelmetAttachmentMtx","Helmet Attachment","Accessoire de casque","Helmzusatz","兜装飾品","투구 부착물","Adorno de Elmo","Эффект шлема","Accesorio para casco","แฟชั่นติดหมวก","頭部特效","",4,"","","",-16843010,-16843010,""
74,"ArmourSkinMtx","Armour Skin","Visuel d'armure","Körperrüstung-Skin","鎧スキン","방어구 스킨","Visual de Armadura","Внешний вид брони","Aspecto para armadura","สกินเกราะ","身體外觀","",4,"","","",-16843010,-16843010,""
75,"ArmourAttachmentMtx","Armour Attachment","Accessoire d'armure","Körperrüstungszusatz","鎧装飾品","방어구 부착물","Adorno de Armadura","Заплечное украшение","Accesorio para armadura","แฟชั่นติดเกราะ","背飾","",4,"","","",-16843010,-16843010,""
76,"GlovesMtx","Gloves","Gants","Handschuhe","手袋","장갑","Luvas","Перчатки","Guantes","ถุงมือ","手部外觀","",4,"","","",-16843010,-16843010,""
77,"BootsMtx","Boots","Bottes","Stiefel","靴","장화","Botas","Сапоги","Botas","รองเท้า","腳部外觀","",4,"","","",-16843010,-16843010,""
78,"FootprintsMtx","Footprints","Empreintes","Fußspuren","足跡","발자국","Pegadas","Следы","Huellas","รอยเท้า","行走特效","","","","","",-16843010,-16843010,""
79,"ShieldSkin","Shield Skin","Apparence de bouclier","Schild-Skin","盾スキン","방패 스킨","Visual de Escudo","Внешний вид щита","Aspecto para escudo","สกินโล่","護盾外觀","","","","","",-16843010,-16843010,""
80,"ApparitionMtx","Apparition","Apparition","Erscheinung","幻影","유령","Aparição","Временный эффект","Aparición","ร่างเงา","項鍊特效","","","","","",-16843010,-16843010,""
81,"CharacterEffectMtx","Character Effect","Effet de personnage","Charaktereffekt","キャラクターエフェクト","캐릭터 이펙트","Efeito de Personagem","Эффект персонажа","Efecto para el personaje","เอฟเฟคตัวละคร","角色特效","","","","","",-16843010,-16843010,""
82,"PetMtx","Pet","Familier","Begleiter","ペット","애완동물","Mascotes","Питомец","Mascota","สัตว์เลี้ยง","寵物","","","","","",-16843010,-16843010,""
83,"SocialFrameMtx","Social Frame","Cadre de portrait","Rahmen","ソーシャルフレーム","소셜 액자","Moldura de Retrato","Социальная рамка","Marco social","กรอบรูปตัวละคร","肖像外框","","","","","",-16843010,-16843010,""
84,"PortraitMtx","Portrait","Portrait","Portrait","ポートレート","초상화","Retrato","Портрет","Retrato","รูปภาพตัวละคร","頭像","","","","","",-16843010,-16843010,""
85,"PortalMtx","Portal","Portail","Portal","ポータル","포탈","Portal","Портал","Portal","วาร์ป","時空之門","","","","","",-16843010,-16843010,""
86,"RingMtx","Ring Skin","Apparence de bague","Ring-Skin","指輪スキン","반지 스킨","Visual de Anel","Внешний вид кольца","Aspecto para anillo","สกินแหวน","戒指外觀","","","","","",-16843010,-16843010,""
87,"HipAttachmentMtx","Hip Attachment","Accessoire à la hanche","Hüftzusatz","腰装飾品","허리 부착물","Acessório de Cintura","Набедренное украшение","Accesorio para la cadera","แฟชั่นติดสะโพก","臀部附加","","","","","",-16843010,-16843010,""
88,"SlotlessMtx","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","[DNT]","","","","","",-16843010,-16843010,""
89,"AlternateCharges","Alternate Charge Skin","Apparence de Charges alternatives","Ladungen-Skin","オルタネートチャージスキン","대체 충전 스킨","Visual Alternativo de Cargas","Внешний вид зарядов","Aspecto alternativo para cargas","สกินชาร์จแบบพิเศษ","替代能量球外觀","",11,"","","",-16843010,-16843010,""
90,"AncestralCallMtx","Ancestral Call","Appel ancestral","Ruf der Ahnen","アンセストラルコール","선대의 부름","Chamado Ancestral","Зов предков","Llamado ancestral","Ancestral Call","先祖怒嚎","",10,"","","",-16843010,-16843010,""
91,"AncestralWarchiefMtx","Ancestral Warchief","Chef de guerre ancestral","Ahnen-Kriegshäuptling","アンセストラルウォーチーフ","선대의 대전사","Chefe Guerreiro Ancestral","Вождь предков","Cacique ancestral","Ancestral Warchief","先祖戰士長","",10,"","","",-16843010,-16843010,""
92,"AngerMtx","Anger","Colère","Wut","アンガー","분노","Cólera","Гнев","Rabia","Anger","憤怒","",10,"","","",-16843010,-16843010,""
93,"ArcMtx","Arc","Arc électrique","Lichtbogen","アーク","연쇄 번개","Arco Elétrico","Цепь молний","Arco eléctrico","Arc","電弧","",10,"","","",-16843010,-16843010,""
94,"ArcticArmourMtx","Arctic Armour","Armure arctique","Arktische Rüstung","アークティックアーマー","한기의 방어구","Armadura Ártica","Северная броня","Armadura ártica","Arctic Armour","極地裝甲","",10,"","","",-16843010,-16843010,""
95,"BallLightningMtx","Ball Lightning","Boule de foudre","Kugelblitz","ボールライトニング","구형 번개","Esfera Trovejante","Шаровая молния","Bola de rayos","Ball Lightning","天雷之珠","",10,"","","",-16843010,-16843010,""
96,"BarrageMtx","Barrage","Tir de barrage","Sperrfeuer","バラージ","연발 사격","Barragem","Очередь","Aluvión","Barrage","彈幕","",10,"","","",-16843010,-16843010,""
97,"BladefallMtx","Bladefall","Averse de lames","Klingenhagel","ブレードフォール","칼날비","Chuva de Lâminas","Мечепад","Caída de filos","Bladefall","虛空刀雨","",10,"","","",-16843010,-16843010,""
98,"BladeflurryMtx","Blade Flurry","Déluge de lames","Klingentanz","ブレードフラリィ","질풍의 칼날","Rajada de Lâminas","Порыв клинков","Aluvión de filos","Blade Flurry","刀鋒亂舞","",10,"","","",-16843010,-16843010,""
99,"BladeVortexMtx","Blade Vortex","Vortex de lames","Klingenwirbel","ブレードヴォーテックス","칼날 소용돌이","Vórtice de Lâminas","Вихрь клинков","Vórtice de filos","Blade Vortex","飛刃風暴","",10,"","","",-16843010,-16843010,""
100,"BlasphemyMtx","Blasphemy","Blasphème","Blasphemie","冒涜","신성 모독","Blasfêmia","Богохульство","Blasfemia","Blasphemy","詛咒光環","",10,"","","",-16843010,-16843010,""
101,"BlastRainMtx","Blast Rain","Pluie explosive","Explosionsregen","ブラストレイン","폭발 화살비","Chuva Explosiva","Дождь взрывов","Lluvia de estallidos","Blast Rain","爆裂箭雨","",10,"","","",-16843010,-16843010,""
102,"BlinkArrowMtx","Blink Arrow","Flèche de transfert","Teleportpfeil","ブリンクアロー","점멸 화살","Flecha Ilusória","Стрела-телепорт","Flecha parpadeante","Blink Arrow","閃電射擊","",10,"","","",-16843010,-16843010,""
103,"BloodRageMtx","Blood Rage","Rage sanguinaire","Blutrausch","ブラッドレイジ","피의 격노","Fúria Sangrenta","Кровавый угар","Furia de sangre","Blood Rage","鮮血狂怒","",10,"","","",-16843010,-16843010,""
104,"ClarityMtx","Clarity","Clarté","Klarheit","クラリティ","명상","Clareza","Ясность ума","Claridad","Clarity","清晰","",10,"","","",-16843010,-16843010,""
105,"CleaveMtx","Cleave","Taillade","Spalten","クリーヴ","회전베기","Cutilada","Рассечение","Hendidura","Cleave","劈砍","",10,"","","",-16843010,-16843010,""
106,"ChargedDashMtx","Charged Dash","Charge fulgurante","Geladener Sprint","チャージドダッシュ","충전 질주","Avanço Fantasma","Заряженный рывок","Embestida cargada","Charged Dash","雷霆衝鋒","",10,"","","",-16843010,-16843010,""
107,"ColdSnapMtx","Cold Snap","Vague de froid","Blitzeis","コールドスナップ","한파","Estalo Gélido","Укус стужи","Ruptura de hielo","Cold Snap","霜暴","",10,"","","",-16843010,-16843010,""
108,"ContagionMtx","Contagion","Contagion","Verseuchung","コンテージョン","전염","Contagiar","Инфекция","Contagio","Contagion","瘟疫","",10,"","","",-16843010,-16843010,""
109,"ConvocationMtx","Convocation","Convocation","Sammeln","コンヴォケーション","소집","Convocação","Сбор","Convocatoria","Convocation","號召","",10,"","","",-16843010,-16843010,""
110,"CremationMtx","Cremation","Crémation","Einäscherung","クリメーション","시체 소각","Cremação","Кремация","Cremación","Cremation","熔炎送葬","",10,"","","",-16843010,-16843010,""
111,"CycloneMtx","Cyclone","Cyclone","Wirbelsturm","サイクロン","회오리바람","Ciclone","Вихрь","Ciclón","Cyclone","旋風斬","",10,"","","",-16843010,-16843010,""
