"rownum","MonsterVarietiesKey","LegionFactionsKey","LegionRanksKey","i32_48","MiscAnimatedKey","i32_68","i32_72","[i32]_76","[i32]_92","[i32]_108","[i32]_124","[i32]_140","[i32]_156","i32_172","i32_176","[rid]_180","MonsterVarietiesKey2"
23,7591,3,2,1,[],0,1,[],[],[],[],[],[],15,60,[],""
24,7595,3,3,3,[],0,1,[],[],[],[],[],[],15,60,[],7594
25,7598,4,0,0,[3084],10,1,[100],[200],[0],[440],[530],[60],15,50,[1],""
26,7599,4,0,0,[3084],10,1,[100],[200],[0],[440],[520],[60],15,50,[1],""
27,7600,4,0,0,[],0,1,[],[],[],[],[],[],15,60,[],""
28,7610,4,1,2,[],0,1,[],[],[],[],[],[],15,50,[],""
29,7611,4,1,2,[],0,1,[],[],[],[],[],[],15,50,[],""
30,7618,4,2,2,[],0,1,[],[],[],[],[],[],15,60,[],""
31,7621,4,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
32,7624,4,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
33,7626,1,0,0,[3088],10,1,[100],[200],[0],[440],[600],[60],15,50,[1],""
34,7627,1,0,0,[3088],10,1,[100],[200],[0],[440],[550],[60],15,50,[1],""
35,7628,1,0,1,[],0,1,[],[],[],[],[],[],15,50,[],""
36,7638,1,1,2,[],0,3,[],[],[],[],[],[],15,50,[],""
37,7642,1,0,0,[],0,1,[],[],[],[],[],[],15,50,[],""
38,7645,1,1,0,[],0,1,[],[],[],[],[],[],15,60,[],""
39,7647,1,1,0,[],0,1,[],[],[],[],[],[],15,60,[],""
40,7650,1,2,1,[],0,1,[],[],[],[],[],[],15,40,[],""
41,7653,1,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
42,7656,1,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
43,7518,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
44,7519,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
45,7520,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
46,7521,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
47,7522,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
48,7534,0,57,0,[],0,1,[],[],[],[],[],[],150,50,[],""
49,7535,0,57,1,[],0,1,[],[],[],[],[],[],150,50,[],""
50,7536,0,57,0,[],0,1,[],[],[],[],[],[],150,120,[],""
51,7547,2,57,0,[],0,8,[],[],[],[],[],[],150,60,[],""
52,7556,2,57,1,[],0,1,[],[],[],[],[],[],150,60,[],""
53,7557,2,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
54,7575,3,57,0,[],0,5,[],[],[],[],[],[],150,50,[],""
55,7576,3,57,0,[],0,5,[],[],[],[],[],[],150,50,[],""
56,7585,3,57,0,[],0,1,[],[],[],[],[],[],150,50,[],""
57,7586,3,57,1,[],0,1,[],[],[],[],[],[],150,110,[],""
58,7587,3,57,0,[],0,1,[],[],[],[],[],[],150,110,[],""
59,7601,4,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
60,7602,4,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
61,7603,4,57,0,[],0,3,[],[],[],[],[],[],150,60,[],""
62,7612,4,57,2,[],0,1,[],[],[],[],[],[],150,50,[],""
63,7613,4,57,2,[],0,1,[],[],[],[],[],[],150,50,[],""
64,7629,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
65,7630,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
66,7631,1,57,1,[],0,1,[],[],[],[],[],[],150,50,[],""
67,7639,1,57,2,[],0,3,[],[],[],[],[],[],150,50,[],""
68,7643,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
69,7648,1,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
70,7649,1,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
