"rownum","Id","ItemClasses","string_24","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","[rid]_40"
19,"OneHandAxe",[11],"1HandAxe","One Hand Axe","Hache à une main","Einhandaxt","片手斧","한손 도끼","Machado de Uma Mão","Одноручный топор","Hacha a una mano","ขวานมือเดียว","單手斧",[1]
20,"OneHandMace","[12,32]","1HandMace","One Hand Mace and Sceptre","Sceptre et Masse à une main","Einhandstreitkolben und Zepter","片手メイスおよびセプター","한손 철퇴 및 셉터","Maça ou Cetro de Uma Mão","Одноручная булава и скипетр","Maza a una mano y cetro","กระบองและคทามือเดียว","單手錘和權杖",[1]
21,"Claw",[6],"1Claw","Claw","Griffe","Klaue","鉤爪","클로","Garra","Когти","Garra","กรงเล็บ","爪",[1]
22,"Dagger","[7,56]","1HandedMelee","Dagger and Rune Dagger","Dague et Dague runique","Dolch und Runendolch","短剣およびルーンの短剣","단검 및 룬 단검","Adaga e Adaga Rúnica","Кинжал и рунический кинжал","Daga y daga rúnica","มีดและมีดอาคม","匕首和符紋匕首",[1]
23,"Wand",[8],"1HandedRange","Wand","Baguette","Zauberstab","ワンド","마법봉","Varinha","Жезл","Varita","ไม้กายสิทธิ์","法杖",[1]
24,"TwoHandSword",[15],"2HandSword","Two Hand Sword","Épée à deux mains","Zweihandschwert","両手剣","양손 검","Espada de Duas Mãos","Двуручный меч","Espada a dos manos","ดาบสองมือ","雙手劍",[1]
25,"TwoHandAxe",[16],"2HandedMelee","Two Hand Axe","Hache à deux mains","Zweihandaxt","両手斧","양손 도끼","Machado de Duas Mãos","Двуручный топор","Hacha a dos manos","ขวานสองมือ","雙手斧",[1]
26,"TwoHandMace",[17],"2HandMace","Two Hand Mace","Masse à deux mains","Zweihandstreitkolben","両手メイス","양손 철퇴","Maça de Duas Mãos","Двуручная булава","Maza a dos manos","กระบองสองมือ","雙手錘",[1]
27,"Staff","[14,57]","1Staff","Staff and Warstaff","Bâton et Bâton de guerre","Stab und Kriegsstab","スタッフおよびウォースタッフ","지팡이 및 전쟁지팡이","Cajado ou Cajado de Guerra","Посох и боевой посох","Báculo y báculo de guerra","ไม้พลองและไม้พลองสงคราม","長杖和征戰長杖",[1]
28,"Bow",[13],"2HandedRange","Bow","Arc","Bogen","弓","활","Arco","Лук","Arco","ธนู","弓",[1]
29,"FishingRod",[37],"","Fishing Rod","Canne à pêche","Angelrute","釣り竿","낚싯대","Vara de Pesca","Удочка","Caña de pescar","เบ็ดตกปลา","釣竿",[1]
