"rownum","Id","ItemClassesKey","Width","Height","Name","InheritsFrom","DropLevel","FlavourTextKey","Implicit_ModsKeys","SizeOnGround","SoundEffect","TagsKeys","ModDomain","SiteVisibility","ItemVisualIdentity","HASH32","VendorRecipe_AchievementItems","Inflection","Equip_AchievementItemsKey","IsCorrupted","Identify_AchievementItems","IdentifyMagic_AchievementItems","FragmentBaseItemTypesKey","bool","rid","rid","bool","TradeMarketCategory","Unmodifiable","Achievement","[string]","IgnoreQuantBonus","bool","rid"
17,"Metadata/Items/Currency/CurrencyFlaskQuality",30,1,1,"Glassblower's Bauble","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[348],38,1,24,-579550017,[9889],"","","",[],[],"","","","","","","",[],[],"","",""
18,"Metadata/Items/Currency/CurrencyGemQuality",30,1,1,"Gemcutter's Prism","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[348],38,1,25,128553707,[7734],"","","",[],[],"","","","","","","",[],[],"","",""
19,"Metadata/Items/Currency/CurrencyRerollSocketColours",30,1,1,"Chromatic Orb","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[1187],38,1,34,471734571,[10114],"","","",[],[],"","","","","","","",[],[],"","",""
20,"Metadata/Items/Currency/CurrencyRerollSocketLinks",30,1,1,"Orb of Fusing","Metadata/Items/Currency/StackableCurrency",8,"",[],1,34,[],38,1,35,-954468979,"[10175,10446]","","","",[],[],"","","","","","","",[],[],"","",""
21,"Metadata/Items/Currency/CurrencyRerollSocketNumbers",30,1,1,"Jeweller's Orb","Metadata/Items/Currency/StackableCurrency",8,"",[],1,34,[1187],38,1,36,-577668719,[10115],"","","",[],[],"","","","","","","",[],[],"","",""
22,"Metadata/Items/Currency/CurrencyModValues",30,1,1,"Divine Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],38,1,37,-2147189507,[8308],"","","",[],[],"","","","","","","",[],[],"","",""
23,"Metadata/Items/Currency/CurrencyRerollImplicit",30,1,1,"Blessed Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],38,1,38,764311090,[],"","","",[],[],"","","","","","","",[],[],"","",""
24,"Metadata/Items/Currency/CurrencyRerollDefences",30,1,1,"Sacred Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],38,1,39,1784206883,[],"","","",[],[],"","","","","","","",[],[],"","",""
25,"Metadata/Items/Currency/CurrencyMapQuality",30,1,1,"Cartographer's Chisel","Metadata/Items/Currency/StackableCurrency",52,"",[],1,34,[348],38,1,5,-601787753,[7485],"","","",[],[],"","","","","","","",[],[],1,1,""
26,"Metadata/Items/Currency/CurrencyMapQualityRarity",30,1,1,"Maven's Chisel of Procurement","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[348],38,1,6,1690079790,[],"","","",[],[],"","","","","","","",[],[],"","",""
27,"Metadata/Items/Currency/CurrencyMapQualityPackSize",30,1,1,"Maven's Chisel of Proliferation","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[348],38,1,7,845782299,[],"","","",[],[],"","","","","","","",[],[],"","",""
28,"Metadata/Items/Currency/CurrencyMapQualityDivinationCards",30,1,1,"Maven's Chisel of Divination","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[348],38,1,8,1208659103,[],"","","",[],[],"","","","","","","",[],[],"","",""
29,"Metadata/Items/Currency/CurrencyMapQualityScarabs",30,1,1,"Maven's Chisel of Scarabs","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[348],38,1,9,-1321220821,[],"","","",[],[],"","","","","","","",[],[],"","",""
30,"Metadata/Items/Currency/CurrencyMapQualityCurrency",30,1,1,"Maven's Chisel of Avarice","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[348],38,1,10,-1030970480,[],"","","",[],[],"","","","","","","",[],[],"","",""
31,"Metadata/Items/Currency/CurrencyIdentificationShard",30,1,1,"Scroll Fragment","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],38,0,30,1594034883,[],"","","",[],[],"","","","","","","",[],[],"","",""
32,"Metadata/Items/Currency/CurrencyUpgradeToMagicShard",30,1,1,"Transmutation Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],38,0,31,1280989466,[],"","","",[],[],"","","","","","","",[],[],"","",""
33,"Metadata/Items/Currency/CurrencyRerollMagicShard",30,1,1,"Alteration Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],38,0,32,216495198,[],"","","",[],[],"","","","","","","",[],[],"","",""
34,"Metadata/Items/Currency/CurrencyUpgradeToRareShard",30,1,1,"Alchemy Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],38,0,33,-1225932478,[],"","","",[],[],"","","","","","","",[],[],"","",""
35,"Metadata/Items/Currency/CurrencyRhoaFeather",30,1,1,"Albino Rhoa Feather","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],38,0,40,2003183108,[],"","","",[],[],"","","","","","","",[],[],"","",""
36,"Metadata/Items/Currency/CurrencyImprintOrb",30,1,1,"Eternal Orb","Metadata/Items/Currency/StackableCurrency",40,"",[],1,34,[],38,0,41,1639118317,[],"","","",[],[],"","","","","","","",[],[],"","",""
37,"Metadata/Items/Currency/CurrencyImprint",30,1,1,"Imprint","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],38,0,42,-1778209926,[],"","","",[],[],"","","","","","","",[],[],"","",""
38,"Metadata/Items/Currency/CurrencyCorrupt",30,1,1,"Vaal Orb","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],38,1,43,118945160,[],"","","",[],[],"","","","","","","",[],[],"","",""
39,"Metadata/Items/Currency/CurrencyLabyrinthEnchant",30,1,1,"Enchant","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],38,0,45,1105850261,[],"","","",[],[],"","","","","","","",[],[],"","",""
40,"Metadata/Items/Currency/CurrencyLabyrinthEnchantCorrupt",30,1,1,"Tainted Blessing","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],38,0,46,-414791514,[],"","","",[],[],"","","","","","","",[],[],"","",""
41,"Metadata/Items/Currency/CurrencyIncursionCorrupt1",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],38,0,47,-373756366,[],"","","",[],[],"","","","","","","",[],[],"","",""
42,"Metadata/Items/Currency/CurrencyIncursionCorrupt2",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],38,0,48,770737543,[],"","","",[],[],"","","","","","","",[],[],"","",""
43,"Metadata/Items/Currency/CurrencyIncursionCorruptGem",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],38,0,49,-350425493,[],"","","",[],[],"","","","","","","",[],[],"","",""
44,"Metadata/Items/Currency/CurrencyPerandusCoin",30,1,1,"Perandus Coin","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],38,0,50,869188640,[],"","","",[],[],"","","","",1,"","",[],[],"","",""
45,"Metadata/Items/Currency/CurrencySilverCoin",30,1,1,"Silver Coin","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],38,0,51,-1627937231,[],"","","",[],[],"","","","","","","",[],[],"","",""
46,"Metadata/Items/Currency/CurrencyItemisedProphecy",30,1,1,"Prophecy","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],38,0,85,1684876054,[],"","","",[],[],"","","","","","","",[],[],"","",""
47,"Metadata/Items/Currency/CurrencyItemiseCapturedMonster",30,1,1,"Bestiary Orb","Metadata/Items/Currency/StackableCurrency",15,"",[],1,34,[],38,1,86,-642231840,[],"","","",[],[],"","","","","","","",[],[],"","",""
48,"Metadata/Items/Currency/CurrencyItemisedCapturedMonster",30,1,1,"Imprinted Bestiary Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],38,1,87,1322399661,[],"","","",[],[],"","","","","","","",[],[],"","",""
49,"Metadata/Items/Currency/CurrencyItemiseNecropolisCorpse",30,2,1,"Empty Coffin","Metadata/Items/Currency/StackableCurrency",1,"",[],1,580,[],38,0,88,-801205418,[],"","","",[],[],"","","","","","","",[],[],"","",""
50,"Metadata/Items/Currency/CurrencyItemisedNecropolisCorpse",30,2,1,"Filled Coffin","Metadata/Items/Currency/StackableCurrency",1,"",[],1,582,[],38,0,89,-1617388099,[],"","","",[],[],"","","","","","","",[],[],"","",""
51,"Metadata/Items/Currency/CurrencyItemiseSextantModifier",30,1,1,"Surveyor's Compass","Metadata/Items/Currency/StackableCurrency",81,"",[],1,34,[],38,0,90,-35579070,[],"","","",[],[],"","","","","","","",[],[],"","",""
52,"Metadata/Items/Currency/CurrencyItemisedSextantModifier",30,1,1,"Charged Compass","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],38,0,91,1338342621,[],"","","",[],[],190,"","","","","","",[],[],"","",""
53,"Metadata/Items/Currency/CurrencyRerollSkillQualityType",30,1,1,"Prime Regrading Lens","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],38,0,92,952467265,[],"","","",[],[],"","","","","","","",[],[],"","",""
54,"Metadata/Items/Currency/CurrencyRerollSupportQualityType",30,1,1,"Secondary Regrading Lens","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],38,0,93,-758415450,[],"","","",[],[],"","","","","","","",[],[],"","",""
55,"Metadata/Items/Currency/CurrencyHeistWeaponEnchant",30,1,1,"Tempering Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],38,1,94,1432765449,[],"","","",[],[],"","","","","","","",[],[],"","",""
56,"Metadata/Items/Currency/CurrencyHeistArmourEnchant",30,1,1,"Tailoring Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],38,1,95,1575994632,[],"","","",[],[],"","","","","","","",[],[],"","",""
57,"Metadata/Items/Currency/CurrencyAfflictionOrbCurrency",30,1,1,"Fine Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],38,1,96,-1948343582,[],"","","",[],[],"","","","","",54,"",[],[],"","",""
58,"Metadata/Items/Currency/CurrencyAfflictionOrbUniques",30,1,1,"Singular Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],38,1,97,-1964846163,[],"","","",[],[],"","","","","",54,"",[],[],"","",""
59,"Metadata/Items/Currency/CurrencyAfflictionOrbGems",30,1,1,"Thaumaturge's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],38,1,98,-1933705530,[],"","","",[],[],"","","","","",54,"",[],[],"","",""
60,"Metadata/Items/Currency/CurrencyAfflictionOrbWeapons",30,1,1,"Blacksmith's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],38,1,99,-109051957,[],"","","",[],[],"","","","","",54,"",[],[],"","",""
61,"Metadata/Items/Currency/CurrencyAfflictionOrbArmour",30,1,1,"Armoursmith's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],38,1,100,-1263630474,[],"","","",[],[],"","","","","",54,"",[],[],"","",""
62,"Metadata/Items/Currency/CurrencyAfflictionOrbMaps",30,1,1,"Cartographer's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],38,1,101,1368969315,[],"","","",[],[],"","","","","",54,"",[],[],"","",""
63,"Metadata/Items/Currency/CurrencyAfflictionOrbTrinkets",30,1,1,"Jeweller's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],38,1,102,-913101815,[],"","","",[],[],"","","","","",54,"",[],[],"","",""
64,"Metadata/Items/Currency/CurrencyAfflictionOrbAbyss",30,1,1,"Abyssal Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],38,1,103,-1371001890,[],"","","",[],[],"","","","","",54,"",[],[],"","",""
65,"Metadata/Items/Currency/CurrencyAfflictionOrbPerandus",30,1,1,"Kalguuran Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],38,1,104,358205216,[],"","","",[],[],"","","","","",54,"",[],[],"","",""
66,"Metadata/Items/Currency/CurrencyAfflictionOrbHarbinger",30,1,1,"Foreboding Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],38,1,105,2026013751,[],"","","",[],[],"","","","","",54,"",[],[],"","",""
67,"Metadata/Items/Currency/CurrencyAfflictionOrbBreach",30,1,1,"Obscured Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],38,1,106,1664903587,[],"","","",[],[],"","","","","",54,"",[],[],"","",""
68,"Metadata/Items/Currency/CurrencyAfflictionOrbEssences",30,1,1,"Whispering Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],38,1,107,-306946215,[],"","","",[],[],"","","","","",54,"",[],[],"","",""
69,"Metadata/Items/Currency/CurrencyAfflictionOrbFragments",30,1,1,"Fragmented Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],38,1,108,-768400989,[],"","","",[],[],"","","","","",54,"",[],[],"","",""
70,"Metadata/Items/Currency/CurrencyAfflictionOrbScarabs",30,1,1,"Skittering Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],38,1,109,243322328,[],"","","",[],[],"","","","","",54,"",[],[],"","",""
71,"Metadata/Items/Currency/CurrencyAfflictionOrbFossils",30,1,1,"Fossilised Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],38,1,110,2076808891,[],"","","",[],[],"","","","","",54,"",[],[],"","",""
72,"Metadata/Items/Currency/CurrencyAfflictionOrbProphecies",30,1,1,"Fine Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],38,0,111,1150272452,[],"","","",[],[],57,"","","","",54,"",[],[],"","",""
73,"Metadata/Items/Currency/CurrencyAfflictionOrbDivinationCards",30,1,1,"Diviner's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],38,1,112,1404182465,[],"","","",[],[],"","","","","",54,"",[],[],"","",""
74,"Metadata/Items/Currency/CurrencyAfflictionOrbGeneric",30,1,1,"Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],38,0,113,-117882756,[],"","","",[],[],"","","","","",54,"",[],[],"","",""
75,"Metadata/Items/Currency/CurrencyAfflictionOrbTalismans",30,1,1,"Primal Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],38,1,114,-1736338822,[],"","","",[],[],"","","","","",54,"",[],[],"","",""
76,"Metadata/Items/Currency/CurrencyAfflictionOrbLabyrinth",30,1,1,"Imperial Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],38,1,115,-404905148,[],"","","",[],[],"","","","","",54,"",[],[],"","",""
77,"Metadata/Items/Currency/CurrencyAfflictionOrbIncubators",30,1,1,"Timeless Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],38,1,116,1738859609,[],"","","",[],[],"","","","","",54,"",[],[],"","",""
78,"Metadata/Items/Currency/CurrencyAfflictionOrbBlight",30,1,1,"Blighted Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],38,1,117,-1728487329,[],"","","",[],[],"","","","","",54,"",[],[],"","",""
79,"Metadata/Items/Currency/CurrencyAfflictionOrbMetamorphosis",30,1,1,"Challenging Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],38,1,118,2005344760,[],"","","",[],[],"","","","","",54,"",[],[],"","",""
80,"Metadata/Items/Currency/CurrencyAfflictionOrbHardMode",30,1,1,"Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],38,0,113,1167031744,[],"","","",[],[],"","","","","",54,"",[],[],"","",""
81,"Metadata/Items/Currency/CurrencyEssenceHatred1",30,1,1,"Whispering Essence of Hatred","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],38,1,12422,-1010710615,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
82,"Metadata/Items/Currency/CurrencyEssenceHatred2",30,1,1,"Muttering Essence of Hatred","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],38,1,12423,1794042691,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
83,"Metadata/Items/Currency/CurrencyEssenceHatred3",30,1,1,"Weeping Essence of Hatred","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],38,1,12424,-1926556014,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
84,"Metadata/Items/Currency/CurrencyEssenceHatred4",30,1,1,"Wailing Essence of Hatred","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],38,1,12425,1130285480,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
85,"Metadata/Items/Currency/CurrencyEssenceHatred5",30,1,1,"Screaming Essence of Hatred","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],38,1,12426,2062300730,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
86,"Metadata/Items/Currency/CurrencyEssenceHatred6",30,1,1,"Shrieking Essence of Hatred","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],38,1,12427,-2071586625,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
87,"Metadata/Items/Currency/CurrencyEssenceHatred7",30,1,1,"Deafening Essence of Hatred","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],38,1,12428,1769493148,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
88,"Metadata/Items/Currency/CurrencyEssenceWoe1",30,1,1,"Whispering Essence of Woe","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],38,1,12429,-777397213,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
89,"Metadata/Items/Currency/CurrencyEssenceWoe2",30,1,1,"Muttering Essence of Woe","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],38,1,12430,1672586153,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
90,"Metadata/Items/Currency/CurrencyEssenceWoe3",30,1,1,"Weeping Essence of Woe","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],38,1,12431,1828846209,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
91,"Metadata/Items/Currency/CurrencyEssenceWoe4",30,1,1,"Wailing Essence of Woe","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],38,1,12432,-1245983058,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
92,"Metadata/Items/Currency/CurrencyEssenceWoe5",30,1,1,"Screaming Essence of Woe","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],38,1,12433,-182539987,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
93,"Metadata/Items/Currency/CurrencyEssenceWoe6",30,1,1,"Shrieking Essence of Woe","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],38,1,12434,910335598,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
94,"Metadata/Items/Currency/CurrencyEssenceWoe7",30,1,1,"Deafening Essence of Woe","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],38,1,12435,1591416724,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
95,"Metadata/Items/Currency/CurrencyEssenceGreed1",30,1,1,"Whispering Essence of Greed","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],38,1,12436,1724552963,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
96,"Metadata/Items/Currency/CurrencyEssenceGreed2",30,1,1,"Muttering Essence of Greed","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],38,1,12437,-1337235593,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
97,"Metadata/Items/Currency/CurrencyEssenceGreed3",30,1,1,"Weeping Essence of Greed","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],38,1,12438,1334812465,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
98,"Metadata/Items/Currency/CurrencyEssenceGreed4",30,1,1,"Wailing Essence of Greed","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],38,1,12439,-669856137,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
99,"Metadata/Items/Currency/CurrencyEssenceGreed5",30,1,1,"Screaming Essence of Greed","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],38,1,12440,181619222,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
100,"Metadata/Items/Currency/CurrencyEssenceGreed6",30,1,1,"Shrieking Essence of Greed","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],38,1,12441,2059925248,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
101,"Metadata/Items/Currency/CurrencyEssenceGreed7",30,1,1,"Deafening Essence of Greed","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],38,1,12442,-1356244188,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
102,"Metadata/Items/Currency/CurrencyEssenceContempt1",30,1,1,"Whispering Essence of Contempt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],38,1,12443,1018082169,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
103,"Metadata/Items/Currency/CurrencyEssenceContempt2",30,1,1,"Muttering Essence of Contempt","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],38,1,12444,829889309,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
104,"Metadata/Items/Currency/CurrencyEssenceContempt3",30,1,1,"Weeping Essence of Contempt","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],38,1,12445,2051179612,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
105,"Metadata/Items/Currency/CurrencyEssenceContempt4",30,1,1,"Wailing Essence of Contempt","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],38,1,12446,-743698363,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
106,"Metadata/Items/Currency/CurrencyEssenceContempt5",30,1,1,"Screaming Essence of Contempt","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],38,1,12447,-205989316,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
107,"Metadata/Items/Currency/CurrencyEssenceContempt6",30,1,1,"Shrieking Essence of Contempt","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],38,1,12448,-1738015661,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
108,"Metadata/Items/Currency/CurrencyEssenceContempt7",30,1,1,"Deafening Essence of Contempt","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],38,1,12449,1330507188,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
109,"Metadata/Items/Currency/CurrencyEssenceSorrow1",30,1,1,"Muttering Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],38,1,12450,535092733,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
110,"Metadata/Items/Currency/CurrencyEssenceSorrow2",30,1,1,"Weeping Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],38,1,12451,-267836319,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
111,"Metadata/Items/Currency/CurrencyEssenceSorrow3",30,1,1,"Wailing Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],38,1,12452,-880120152,[],"","","",[],[],"","","","","",41,"",[],[],"","",""
