"rownum","Item","Pack","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","i32_40","i32_44"
10,4893,493,"Pack Monsters can drop Karui Tattoos","Les Monstres du groupe peuvent céder des Tatouages Karuis","Gruppenmonster können Tätowierungen der Karui fallen lassen","パックモンスターはカルイのタトゥーをドロップする可能性がある","무리 몬스터가 일정 확률로 카루이 문신을 떨어뜨림","Monstros do grupo podem derrubar Tatuagens Karui","Из монстров группы могут выпасть татуировки каруи","Los monstruos del grupo pueden arrojar tatuajes karui","มอนสเตอร์ในกอง สามารถดรอป ลายสักคารุย ได้","怪物群可能掉落卡魯紋身",0,0
11,4894,494,"Pack Monsters can drop Karui Tattoos","Les Monstres du groupe peuvent céder des Tatouages Karuis","Gruppenmonster können Tätowierungen der Karui fallen lassen","パックモンスターはカルイのタトゥーをドロップする可能性がある","무리 몬스터가 일정 확률로 카루이 문신을 떨어뜨림","Monstros do grupo podem derrubar Tatuagens Karui","Из монстров группы могут выпасть татуировки каруи","Los monstruos del grupo pueden arrojar tatuajes karui","มอนสเตอร์ในกอง สามารถดรอป ลายสักคารุย ได้","怪物群可能掉落卡魯紋身",0,0
12,4895,495,"Pack Monsters can drop Karui Tattoos","Les Monstres du groupe peuvent céder des Tatouages Karuis","Gruppenmonster können Tätowierungen der Karui fallen lassen","パックモンスターはカルイのタトゥーをドロップする可能性がある","무리 몬스터가 일정 확률로 카루이 문신을 떨어뜨림","Monstros do grupo podem derrubar Tatuagens Karui","Из монстров группы могут выпасть татуировки каруи","Los monstruos del grupo pueden arrojar tatuajes karui","มอนสเตอร์ในกอง สามารถดรอป ลายสักคารุย ได้","怪物群可能掉落卡魯紋身",0,0
13,4896,496,"Pack Monsters can drop Karui Tattoos","Les Monstres du groupe peuvent céder des Tatouages Karuis","Gruppenmonster können Tätowierungen der Karui fallen lassen","パックモンスターはカルイのタトゥーをドロップする可能性がある","무리 몬스터가 일정 확률로 카루이 문신을 떨어뜨림","Monstros do grupo podem derrubar Tatuagens Karui","Из монстров группы могут выпасть татуировки каруи","Los monstruos del grupo pueden arrojar tatuajes karui","มอนสเตอร์ในกอง สามารถดรอป ลายสักคารุย ได้","怪物群可能掉落卡魯紋身",0,0
14,4897,497,"Pack Monsters can drop Karui Tattoos","Les Monstres du groupe peuvent céder des Tatouages Karuis","Gruppenmonster können Tätowierungen der Karui fallen lassen","パックモンスターはカルイのタトゥーをドロップする可能性がある","무리 몬스터가 일정 확률로 카루이 문신을 떨어뜨림","Monstros do grupo podem derrubar Tatuagens Karui","Из монстров группы могут выпасть татуировки каруи","Los monstruos del grupo pueden arrojar tatuajes karui","มอนสเตอร์ในกอง สามารถดรอป ลายสักคารุย ได้","怪物群可能掉落卡魯紋身",0,0
15,4898,498,"Pack Monsters can drop Karui Tattoos","Les Monstres du groupe peuvent céder des Tatouages Karuis","Gruppenmonster können Tätowierungen der Karui fallen lassen","パックモンスターはカルイのタトゥーをドロップする可能性がある","무리 몬스터가 일정 확률로 카루이 문신을 떨어뜨림","Monstros do grupo podem derrubar Tatuagens Karui","Из монстров группы могут выпасть татуировки каруи","Los monstruos del grupo pueden arrojar tatuajes karui","มอนสเตอร์ในกอง สามารถดรอป ลายสักคารุย ได้","怪物群可能掉落卡魯紋身",0,0
16,4899,499,"Pack Monsters can drop Karui Tattoos","Les Monstres du groupe peuvent céder des Tatouages Karuis","Gruppenmonster können Tätowierungen der Karui fallen lassen","パックモンスターはカルイのタトゥーをドロップする可能性がある","무리 몬스터가 일정 확률로 카루이 문신을 떨어뜨림","Monstros do grupo podem derrubar Tatuagens Karui","Из монстров группы могут выпасть татуировки каруи","Los monstruos del grupo pueden arrojar tatuajes karui","มอนสเตอร์ในกอง สามารถดรอป ลายสักคารุย ได้","怪物群可能掉落卡魯紋身",0,0
17,4900,500,"Pack Monsters can drop Karui Tattoos","Les Monstres du groupe peuvent céder des Tatouages Karuis","Gruppenmonster können Tätowierungen der Karui fallen lassen","パックモンスターはカルイのタトゥーをドロップする可能性がある","무리 몬스터가 일정 확률로 카루이 문신을 떨어뜨림","Monstros do grupo podem derrubar Tatuagens Karui","Из монстров группы могут выпасть татуировки каруи","Los monstruos del grupo pueden arrojar tatuajes karui","มอนสเตอร์ในกอง สามารถดรอป ลายสักคารุย ได้","怪物群可能掉落卡魯紋身",0,0
18,4901,501,"Pack monsters can drop Abyssal Jewels","Les Monstres du groupe peuvent céder des Joyaux abyssaux","Gruppenmonster können Abgrund-Juwelen fallen lassen","パックモンスターはアビスジュエルをドロップする可能性がある","무리 몬스터가 일정 확률로 심연 주얼을 떨어뜨림","Monstros do grupo podem derrubar Joias Abissais","Из монстров группы могут выпасть самоцветы Бездны","Los monstruos del grupo pueden arrojar joyas abisales","มอนสเตอร์ในกอง สามารถดรอป จิวเวลอะบิส ได้","怪物群可能掉落深淵珠寶",0,0
19,4902,502,"Pack monsters can drop Tainted Currency","Les Monstres du groupe peuvent céder des Objets monétaires impurs","Gruppenmonster können korrosive Währung fallen lassen","パックモンスターは汚染されたカレンシーをドロップする可能性がある","무리 몬스터가 일정 확률로 더럽혀진 화폐를 떨어뜨림","Monstros do grupo podem derrubar Moedas Corroídas","Из монстров группы может выпасть порочная валюта","Los monstruos del grupo pueden arrojar objetos monetarios contaminados","มอนสเตอร์ในกอง สามารถดรอป เงินตราแปดเปื้อน ได้","怪物群可能掉落玷汙的通貨",0,0
20,4903,503,"Pack monsters can drop Tainted Currency","Les Monstres du groupe peuvent céder des Objets monétaires impurs","Gruppenmonster können korrosive Währung fallen lassen","パックモンスターは汚染されたカレンシーをドロップする可能性がある","무리 몬스터가 일정 확률로 더럽혀진 화폐를 떨어뜨림","Monstros do grupo podem derrubar Moedas Corroídas","Из монстров группы может выпасть порочная валюта","Los monstruos del grupo pueden arrojar objetos monetarios contaminados","มอนสเตอร์ในกอง สามารถดรอป เงินตราแปดเปื้อน ได้","怪物群可能掉落玷汙的通貨",0,0
21,4904,504,"Pack monsters can drop Tainted Currency","Les Monstres du groupe peuvent céder des Objets monétaires impurs","Gruppenmonster können korrosive Währung fallen lassen","パックモンスターは汚染されたカレンシーをドロップする可能性がある","무리 몬스터가 일정 확률로 더럽혀진 화폐를 떨어뜨림","Monstros do grupo podem derrubar Moedas Corroídas","Из монстров группы может выпасть порочная валюта","Los monstruos del grupo pueden arrojar objetos monetarios contaminados","มอนสเตอร์ในกอง สามารถดรอป เงินตราแปดเปื้อน ได้","怪物群可能掉落玷汙的通貨",0,0
22,4905,505,"Gemling Pack Leader drops an additional Quality Gem","Le Serti chef de groupe cède une Gemme de qualité supplémentaire","Gemmling-Gruppenanführer lässt eine zusätzliche Gemme mit Qualität fallen","ジェムリングパックリーダーは追加の高品質ジェムをドロップする","마석병 무리 우두머리가 퀄리티 젬 1개를 추가로 떨어뜨림","Líder do Grupo de Gemantes derruba uma Gema com Qualidade adicional","Из лидера группы каменитов выпадет дополнительный камень с качеством","El líder de grupo gemita arroja una gema de calidad adicional","หัวหน้ากองมณีชน ดรอป หินที่มีค่าคุณภาพ เพิ่มเติม 1 เม็ด","古靈群聚之首掉落了一個額外的品質寶石",0,0
23,4906,506,"Gemling Pack Leader drops an additional Quality Gem","Le Serti chef de groupe cède une Gemme de qualité supplémentaire","Gemmling-Gruppenanführer lässt eine zusätzliche Gemme mit Qualität fallen","ジェムリングパックリーダーは追加の高品質ジェムをドロップする","마석병 무리 우두머리가 퀄리티 젬 1개를 추가로 떨어뜨림","Líder do Grupo de Gemantes derruba uma Gema com Qualidade adicional","Из лидера группы каменитов выпадет дополнительный камень с качеством","El líder de grupo gemita arroja una gema de calidad adicional","หัวหน้ากองมณีชน ดรอป หินที่มีค่าคุณภาพ เพิ่มเติม 1 เม็ด","古靈群聚之首掉落了一個額外的品質寶石",0,0
24,4907,507,"Gemling Pack Leader drops an additional Quality Gem","Le Serti chef de groupe cède une Gemme de qualité supplémentaire","Gemmling-Gruppenanführer lässt eine zusätzliche Gemme mit Qualität fallen","ジェムリングパックリーダーは追加の高品質ジェムをドロップする","마석병 무리 우두머리가 퀄리티 젬 1개를 추가로 떨어뜨림","Líder do Grupo de Gemantes derruba uma Gema com Qualidade adicional","Из лидера группы каменитов выпадет дополнительный камень с качеством","El líder de grupo gemita arroja una gema de calidad adicional","หัวหน้ากองมณีชน ดรอป หินที่มีค่าคุณภาพ เพิ่มเติม 1 เม็ด","古靈群聚之首掉落了一個額外的品質寶石",0,0
25,4908,508,"Gemling Pack Leader drops an additional Quality Gem","Le Serti chef de groupe cède une Gemme de qualité supplémentaire","Gemmling-Gruppenanführer lässt eine zusätzliche Gemme mit Qualität fallen","ジェムリングパックリーダーは追加の高品質ジェムをドロップする","마석병 무리 우두머리가 퀄리티 젬 1개를 추가로 떨어뜨림","Líder do Grupo de Gemantes derruba uma Gema com Qualidade adicional","Из лидера группы каменитов выпадет дополнительный камень с качеством","El líder de grupo gemita arroja una gema de calidad adicional","หัวหน้ากองมณีชน ดรอป หินที่มีค่าคุณภาพ เพิ่มเติม 1 เม็ด","古靈群聚之首掉落了一個額外的品質寶石",0,0
26,4909,509,"Gemling Pack Leader drops an additional Quality Gem","Le Serti chef de groupe cède une Gemme de qualité supplémentaire","Gemmling-Gruppenanführer lässt eine zusätzliche Gemme mit Qualität fallen","ジェムリングパックリーダーは追加の高品質ジェムをドロップする","마석병 무리 우두머리가 퀄리티 젬 1개를 추가로 떨어뜨림","Líder do Grupo de Gemantes derruba uma Gema com Qualidade adicional","Из лидера группы каменитов выпадет дополнительный камень с качеством","El líder de grupo gemita arroja una gema de calidad adicional","หัวหน้ากองมณีชน ดรอป หินที่มีค่าคุณภาพ เพิ่มเติม 1 เม็ด","古靈群聚之首掉落了一個額外的品質寶石",0,0
27,4910,510,"Pack monsters can drop Broken Circle Artifacts","Les Monstres du groupe peuvent céder des Artéfacts du Cercle brisé","Gruppenmonster können Artefakte des Gebrochenen Zirkels fallen lassen","パックモンスターは断たれた円環のアーティファクトをドロップする可能性がある","무리 몬스터가 일정 확률로 끊어진 원 유물을 떨어뜨림","Monstros do grupo pode derrubar Artefatos do Círculo Quebrado","Из монстров группы могут выпасть артефакты Разомкнутого круга","Los monstruos del grupo pueden arrojar artefactos del Círculo roto","มอนสเตอร์ในกอง สามารถดรอป โบราณวัตถุสิ้นวัฏจักร ได้","怪物群可能掉落破碎之環文物",0,0
28,4911,511,"Pack monsters can drop Order of the Chalice Artifacts","Les Monstres du groupe peuvent céder des Artéfacts de l'Ordre du Calice","Gruppenmonster können Artefakte des Ordens des Kelches fallen lassen","パックモンスターは杯の教団のアーティファクトをドロップする可能性がある","무리 몬스터가 일정 확률로 성배단 유물을 떨어뜨림","Monstros do grupo pode derrubar Artefatos da Ordem do Cálice","Из монстров группы могут выпасть артефакты Ордена Чаши","Los monstruos del grupo pueden arrojar artefactos de la Orden del cáliz","มอนสเตอร์ในกอง สามารถดรอป โบราณวัตถุภาคีถ้วยจอก ได้","怪物群可能掉落聖杯之序文物",0,0
29,4912,512,"Pack monsters can drop Black Scythe Artifacts","Les Monstres du groupe peuvent céder des Artéfacts de la Faux noire","Gruppenmonster können Artefakte der Ritter der Sonne fallen lassen","パックモンスターは黒い鎌のアーティファクトをドロップする可能性がある","무리 몬스터가 일정 확률로 검은 낫 유물을 떨어뜨림","Monstros do grupo pode derrubar Artefatos da Foice Negra","Из монстров группы могут выпасть артефакты Черной косы","Los monstruos del grupo pueden arrojar artefactos de la Guadaña negra","มอนสเตอร์ในกอง สามารถดรอป โบราณวัตถุเคียวดำ ได้","怪物群可能掉落太極血鐮文物",0,0
30,4913,513,"Pack monsters can drop Knights of the Sun Artifacts","Les Monstres du groupe peuvent céder des Artéfacts des Chevaliers du Soleil","Gruppenmonster können Artefakte der Schwarzen Sense fallen lassen","パックモンスターは太陽の騎士のアーティファクトをドロップする可能性がある","무리 몬스터가 일정 확률로 태양의 기사단 유물을 떨어뜨림","Monstros do grupo pode derrubar Artefatos dos Cavaleiros do Sol","Из монстров группы могут выпасть артефакты Рыцарей Солнца","Los monstruos del grupo pueden arrojar artefactos de los Caballeros del sol","มอนสเตอร์ในกอง สามารถดรอป โบราณวัตถุกองอัศวินดวงตะวัน ได้","怪物群可能掉落忠貞爵士文物",0,0
31,4914,514,"Monster has greatly increased Life","La vie du monstres est grandement augmentée","Monster hat stark erhöhtes Leben","モンスターは大幅に増加したライフを持つ","몬스터의 생명력 크게 증가","Monstros têm um grande aumento de Vida","Здоровье монстров значительно увеличено","El monstruo tiene vida muy aumentada","มอนสเตอร์ มีพลังชีวิต เพิ่มขึ้นเป็นอย่างมาก","怪物的生命大幅增加",0,0
32,4915,515,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items","Les Monstres du groupe octroient bien plus d'Expérience\r\nLes Monstres du groupe ne cèdent pas d'Objets","Gruppenmonster gewähren stark erhöhte Erfahrung\r\nGruppenmonster lassen keine Gegenstände fallen","パックモンスターは大幅に増加した経験値を報酬として与える\r\nパックモンスターはアイテムをドロップしない","무리 몬스터가 보상으로 주는 경험치 크게 증가\r\n무리 몬스터가 아이템을 떨어뜨리지 않음","Monstros do grupo têm um grande aumento na Experiência concedida\r\nMonstros do grupo não derrubam Itens","Монстры группы даруют значительно больше опыта\r\nИз монстров группы не выпадают предметы","Los monstruos del grupo otorgan experiencia muy aumentada\r\nLos monstruos del grupo no arrojan objetos","มอนสเตอร์ในกอง ให้ค่าประสบการณ์ เพิ่มขึ้นเป็นอย่างมาก\r\nมอนสเตอร์ในกอง ไม่ดรอปไอเทม","怪物群大幅增加經驗\n怪物群不會掉落物品",0,0
33,4916,516,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items","Les Monstres du groupe octroient bien plus d'Expérience\r\nLes Monstres du groupe ne cèdent pas d'Objets","Gruppenmonster gewähren stark erhöhte Erfahrung\r\nGruppenmonster lassen keine Gegenstände fallen","パックモンスターは大幅に増加した経験値を報酬として与える\r\nパックモンスターはアイテムをドロップしない","무리 몬스터가 보상으로 주는 경험치 크게 증가\r\n무리 몬스터가 아이템을 떨어뜨리지 않음","Monstros do grupo têm um grande aumento na Experiência concedida\r\nMonstros do grupo não derrubam Itens","Монстры группы даруют значительно больше опыта\r\nИз монстров группы не выпадают предметы","Los monstruos del grupo otorgan experiencia muy aumentada\r\nLos monstruos del grupo no arrojan objetos","มอนสเตอร์ในกอง ให้ค่าประสบการณ์ เพิ่มขึ้นเป็นอย่างมาก\r\nมอนสเตอร์ในกอง ไม่ดรอปไอเทม","怪物群大幅增加經驗\n怪物群不會掉落物品",0,0
34,4917,517,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items","Les Monstres du groupe octroient bien plus d'Expérience\r\nLes Monstres du groupe ne cèdent pas d'Objets","Gruppenmonster gewähren stark erhöhte Erfahrung\r\nGruppenmonster lassen keine Gegenstände fallen","パックモンスターは大幅に増加した経験値を報酬として与える\r\nパックモンスターはアイテムをドロップしない","무리 몬스터가 보상으로 주는 경험치 크게 증가\r\n무리 몬스터가 아이템을 떨어뜨리지 않음","Monstros do grupo têm um grande aumento na Experiência concedida\r\nMonstros do grupo não derrubam Itens","Монстры группы даруют значительно больше опыта\r\nИз монстров группы не выпадают предметы","Los monstruos del grupo otorgan experiencia muy aumentada\r\nLos monstruos del grupo no arrojan objetos","มอนสเตอร์ในกอง ให้ค่าประสบการณ์ เพิ่มขึ้นเป็นอย่างมาก\r\nมอนสเตอร์ในกอง ไม่ดรอปไอเทม","怪物群大幅增加經驗\n怪物群不會掉落物品",0,0
35,4918,518,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items","Les Monstres du groupe octroient bien plus d'Expérience\r\nLes Monstres du groupe ne cèdent pas d'Objets","Gruppenmonster gewähren stark erhöhte Erfahrung\r\nGruppenmonster lassen keine Gegenstände fallen","パックモンスターは大幅に増加した経験値を報酬として与える\r\nパックモンスターはアイテムをドロップしない","무리 몬스터가 보상으로 주는 경험치 크게 증가\r\n무리 몬스터가 아이템을 떨어뜨리지 않음","Monstros do grupo têm um grande aumento na Experiência concedida\r\nMonstros do grupo não derrubam Itens","Монстры группы даруют значительно больше опыта\r\nИз монстров группы не выпадают предметы","Los monstruos del grupo otorgan experiencia muy aumentada\r\nLos monstruos del grupo no arrojan objetos","มอนสเตอร์ในกอง ให้ค่าประสบการณ์ เพิ่มขึ้นเป็นอย่างมาก\r\nมอนสเตอร์ในกอง ไม่ดรอปไอเทม","怪物群大幅增加經驗\n怪物群不會掉落物品",0,0
36,4919,519,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items","Les Monstres du groupe octroient bien plus d'Expérience\r\nLes Monstres du groupe ne cèdent pas d'Objets","Gruppenmonster gewähren stark erhöhte Erfahrung\r\nGruppenmonster lassen keine Gegenstände fallen","パックモンスターは大幅に増加した経験値を報酬として与える\r\nパックモンスターはアイテムをドロップしない","무리 몬스터가 보상으로 주는 경험치 크게 증가\r\n무리 몬스터가 아이템을 떨어뜨리지 않음","Monstros do grupo têm um grande aumento na Experiência concedida\r\nMonstros do grupo não derrubam Itens","Монстры группы даруют значительно больше опыта\r\nИз монстров группы не выпадают предметы","Los monstruos del grupo otorgan experiencia muy aumentada\r\nLos monstruos del grupo no arrojan objetos","มอนสเตอร์ในกอง ให้ค่าประสบการณ์ เพิ่มขึ้นเป็นอย่างมาก\r\nมอนสเตอร์ในกอง ไม่ดรอปไอเทม","怪物群大幅增加經驗\n怪物群不會掉落物品",0,0
37,4920,520,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items","Les Monstres du groupe octroient bien plus d'Expérience\r\nLes Monstres du groupe ne cèdent pas d'Objets","Gruppenmonster gewähren stark erhöhte Erfahrung\r\nGruppenmonster lassen keine Gegenstände fallen","パックモンスターは大幅に増加した経験値を報酬として与える\r\nパックモンスターはアイテムをドロップしない","무리 몬스터가 보상으로 주는 경험치 크게 증가\r\n무리 몬스터가 아이템을 떨어뜨리지 않음","Monstros do grupo têm um grande aumento na Experiência concedida\r\nMonstros do grupo não derrubam Itens","Монстры группы даруют значительно больше опыта\r\nИз монстров группы не выпадают предметы","Los monstruos del grupo otorgan experiencia muy aumentada\r\nLos monstruos del grupo no arrojan objetos","มอนสเตอร์ในกอง ให้ค่าประสบการณ์ เพิ่มขึ้นเป็นอย่างมาก\r\nมอนสเตอร์ในกอง ไม่ดรอปไอเทม","怪物群大幅增加經驗\n怪物群不會掉落物品",0,0
38,4921,521,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items","Les Monstres du groupe octroient bien plus d'Expérience\r\nLes Monstres du groupe ne cèdent pas d'Objets","Gruppenmonster gewähren stark erhöhte Erfahrung\r\nGruppenmonster lassen keine Gegenstände fallen","パックモンスターは大幅に増加した経験値を報酬として与える\r\nパックモンスターはアイテムをドロップしない","무리 몬스터가 보상으로 주는 경험치 크게 증가\r\n무리 몬스터가 아이템을 떨어뜨리지 않음","Monstros do grupo têm um grande aumento na Experiência concedida\r\nMonstros do grupo não derrubam Itens","Монстры группы даруют значительно больше опыта\r\nИз монстров группы не выпадают предметы","Los monstruos del grupo otorgan experiencia muy aumentada\r\nLos monstruos del grupo no arrojan objetos","มอนสเตอร์ในกอง ให้ค่าประสบการณ์ เพิ่มขึ้นเป็นอย่างมาก\r\nมอนสเตอร์ในกอง ไม่ดรอปไอเทม","怪物群大幅增加經驗\n怪物群不會掉落物品",0,0
39,4922,522,"Pack monsters can drop Omens","Les Monstres du groupe peuvent céder des Présages","Gruppenmonster können Omen fallen lassen","パックモンスターはお告げをドロップする可能性がある","무리 몬스터가 일정 확률로 징조를 떨어뜨림","Monstros do Grupo podem derrubar Presságios","Из монстров группы могут выпасть предсказания","Los monstruos del grupo pueden arrojar augurios","มอนสเตอร์ในกอง สามารถดรอป ลางบอกเหตุ ได้","怪物群可能掉落預兆",0,0
40,4923,523,"Pack monsters can drop Omens","Les Monstres du groupe peuvent céder des Présages","Gruppenmonster können Omen fallen lassen","パックモンスターはお告げをドロップする可能性がある","무리 몬스터가 일정 확률로 징조를 떨어뜨림","Monstros do Grupo podem derrubar Presságios","Из монстров группы могут выпасть предсказания","Los monstruos del grupo pueden arrojar augurios","มอนสเตอร์ในกอง สามารถดรอป ลางบอกเหตุ ได้","怪物群可能掉落預兆",0,0
41,4924,524,"Pack monsters can drop Omens","Les Monstres du groupe peuvent céder des Présages","Gruppenmonster können Omen fallen lassen","パックモンスターはお告げをドロップする可能性がある","무리 몬스터가 일정 확률로 징조를 떨어뜨림","Monstros do Grupo podem derrubar Presságios","Из монстров группы могут выпасть предсказания","Los monstruos del grupo pueden arrojar augurios","มอนสเตอร์ในกอง สามารถดรอป ลางบอกเหตุ ได้","怪物群可能掉落預兆",0,0
42,4925,525,"Pack monsters can drop Timeless Karui Splinters ","Les Monstres du groupe peuvent céder des Esquilles intemporelles des Karuis","Gruppenmonster können Immerwährender Splitter der Karui fallen lassen","パックモンスターはカルイの時知らずの破片をドロップする可能性がある","무리 몬스터가 일정 확률로 무궁한 카루이 파편을 떨어뜨림","Monstros do grupo podem derrubar Fragmentos Atemporais Karui","Из монстров группы могут выпасть вневременные осколки каруи","Los monstruos del grupo pueden arrojar fragmentos atemporales karui","มอนสเตอร์ในกอง สามารถดรอป สะเก็ดคารุยเหนือกาลเวลา ได้","怪物群可能掉落永恆卡魯裂片 ",0,0
43,4926,526,"Pack monsters can drop Timeless Eternal Empire Splinters ","Les Monstres du groupe peuvent céder des Esquilles intemporelles de l'Empire éternel","Gruppenmonster können Immerwährender Splitter des Ewigen Kaiserreichs fallen lassen","パックモンスターは永遠なる時知らずの破片をドロップする可能性がある","무리 몬스터가 일정 확률로 무궁한 영원한 제국 파편을 떨어뜨림","Monstros do grupo podem derrubar Fragmentos Atemporais dos Karui","Из монстров группы могут выпасть вневременные осколки Вечной империи","Los monstruos del grupo pueden arrojar fragmentos atemporales del imperio eterno","มอนสเตอร์ในกอง สามารถดรอป สะเก็ดอาณาจักรนิรันดร์เหนือกาลเวลา ได้","怪物群可能掉落永恆不朽帝國裂片 ",0,0
