"rownum","Id","Description","Invisible","Removable","Name","StatsKeys","bool","i32","bool","Maximum_StatsKey","Current_StatsKey","bool","i32","BuffVisualsKey","bool","bool","i32","bool","bool","bool","bool","BuffLimit","bool","Id2","IsRecovery","bool","rid","bool","i32","bool","bool","i32","[i32]","bool","bool","[rid]","bool","[rid]","BinaryStats","[rid]","[rid]","bool","bool","bool","bool","bool","rid","[i32]","string","[rid]","bool"
10,"poison","You take chaos damage","","","Poisoned",[8067],1,1,1,"","",1,30,11,"",1,2,"",1,1,"",0,"","","","","","",2,"","",0,[],"","",[],"",[],[],[8067],[14543],"",1,"","","","",[],"",[],""
11,"blood_rage","Taking Physical Damage over time based on Life and Energy Shield, while increasing Attack Speed and Life Leech. Killing an enemy refreshes the buff duration and can grant a Frenzy Charge.","","","Blood Rage","[70,3088,2561,3054,1350,12782,3108]",1,2,"","","",1,30,13,1,"",1,"",1,1,"",0,"","BloodRageBuff","","","","",4,"","",0,[],"","",[],"",[453],[],"[70,3088,2561,3054,1350,12782,3108,453]",[],"","","","","","",[],"",[],""
12,"righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","","","Righteous Fire","[878,25,877,1900,19613]",1,2,"","","",1,29,15,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[878,25,877,1900,19613]",[],"","","","","","",[],"",[],""
13,"righteous_fire_aura","You are taking burning damage from being near an enemy using Righteous Fire","","","Righteous Fire",[1974],"",3,"","","","",30,19,"","",2,"",1,1,"",0,"","RighteousFireBuff","","","","",4,1,"",0,[],"","",[],"",[],[],[1974],[],"","","","","","",[],"",[],""
14,"demon_righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","","","Unrighteous Fire","[878,25,877,1900,19613]",1,2,"","","",1,30,26,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[878,25,877,1900,19613]",[],"","","","","","",[],"",[],""
15,"demon_righteous_fire_aura","You are taking burning damage from being near an enemy using Unrighteous Fire","","","Unrighteous Fire",[1974],"",3,"","","","",30,27,"","",2,"",1,1,"",0,"","RighteousFireBuff","","","","",4,"","",0,[],"","",[],"",[],[],[1974],[],"","","","","","",[],"",[],""
16,"avatar_righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","","","Righteous Fire","[878,25,2528]",1,2,"","","",1,30,16,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[878,25,2528]",[],"","","","","","",[],"",[],""
17,"avatar_righteous_fire_aura","You are taking burning damage from being near an enemy using Righteous Fire","","","Righteous Fire",[1974],"",3,"","","","",30,21,"","",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[1974],[],"","","","","","",[],"",[],""
18,"invisible_fire_aura","",1,"","","[4930,4930,4930]",1,3,"","","","",30,0,1,"",2,"",1,1,"",0,"","InvisibleFireAura","","","","",4,"","",0,[],"","",[],"",[],[],"[4930,4930,4930]",[],"","","","","","",[],"",[],""
19,"invisible_fire_debuff","You are taking Burning Damage from a Creeping Agony","","","Creeping Agony",[1974],"",3,"","","","",30,32,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",4,"","",0,[],"","",[],"",[],[],[1974],[],"","","","","","",[],"",[],""
20,"invisible_holy_fire_debuff","You are taking Burning Damage from a Divine Flare","","","Divine Flare",[1974],"",3,"","","","",30,35,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",4,"","",0,[],"","",[],"",[],[],[1974],[],"","","","","","",[],"",[],""
21,"invisible_holy_fire_elder_debuff","You are taking Burning Damage from a Divine Flare","","","Divine Flare",[1974],"",3,"","","","",30,35,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",4,"","",0,[],"","",[],"",[],[],[1974],[],"","","","","","",[],"",[],""
22,"invisible_kitava_fire_debuff","You are taking Physical Damage over time from a Heretical Flare","","","Heretical Flare",[353],"",3,"","","","",30,37,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",4,"","",0,[],"","",[],"",[],[],[353],[],"","","","","","",[],"",[],""
23,"ion_beam_debuff","You are taking Lightning Damage from a Galvanic Flare","","","Galvanic Flare",[1978],"",3,"","","","",30,29,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",4,"","",0,[],"","",[],"",[],[],[1978],[],"","","","","","",[],"",[],""
24,"frost_ion_beam_debuff","You are taking Cold Damage from Creeping Ice","","","Creeping Ice",[1976],"",3,"","","","",30,31,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",4,"","",0,[],"","",[],"",[],[],[1976],[],"","","","","","",[],"",[],""
25,"doedre_invisible_chaos_debuff","You are taking Chaos Damage over time","","","Sewage Toxins",[452],"",3,"","","","",30,706,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",4,"","",0,[],"","",[],"",[],[],[452],[],"","","","","","",[],"",[],""
26,"fire_weapon","Your weapon does additional fire damage","",1,"Fire Weapon","[481,446]",1,3,"","","",1,30,38,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[481,446]",[],"","","","","","",[],"",[],""
27,"frenzy_charge","Players gain more Damage and increased Attack and Cast Speed for each Frenzy Charge they have","","","Frenzy Charges",[],1,4,1,2648,19603,1,30,40,1,"",3,"",1,1,"",0,"","","","",8448,"",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[],""
28,"endurance_charge","Players gain additional Physical Damage Reduction and Elemental Resistances for each Endurance Charge they have","","","Endurance Charges",[],1,4,1,2647,19602,1,30,41,1,"",3,"",1,1,"",0,"","","","",8446,"",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[],""
29,"power_charge","Players gain increased Critical Strike Chance for each Power Charge they have","","","Power Charges",[],1,4,1,2649,19604,1,30,42,1,"",3,"",1,1,"",0,"","","","",8450,"",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[],""
30,"spirit_charge","Required to use certain skills.","","","Spirit Charges",[],1,4,1,7257,6527,"",30,43,1,"",3,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[],""
31,"siphoning_charge","Players have altered effects for each Siphoning Charge they have","","","Siphoning Charges",[],1,4,1,7319,7318,1,30,44,1,"",3,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[],""
32,"void_arrow","Can trigger the Void Shot skill while you have Void Arrows","","","Void Arrows",[],1,4,1,7339,7338,1,30,45,1,"",3,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[],""
33,"divine_charge","You are charged with divine energy","","","Divine Charge",[],1,4,1,9118,9119,1,30,46,1,"",3,"",1,1,"",0,"","DivineCharge","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[],""
34,"blitz_charge","You gain bonuses from your Ascendancy for having Blitz Charges","","","Blitz Charge",[],1,4,1,9677,9678,1,30,1081,1,"",3,"",1,1,"",0,"","BlitzCharge","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[],""
35,"challenger_charge","You gain bonuses from your Ascendancy for having Challenger Charges","","","Challenger Charges",[],1,4,1,9773,9774,1,30,1089,1,"",3,"",1,1,"",0,"","ChallengerCharge","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[],""
36,"hillock_buff","Attacks with fervor","","","Brutal Attack","[70,26]",1,2,"","","","",30,48,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[70,26]",[],"","","","","","",[],"",[],""
37,"mana_leech","You are leeching Mana",1,"","Mana Leech","[1411,2863]",1,1,"","","","",30,0,1,"",17,"",1,"","",0,"","",1,"","","",4,"","",0,[],"","",[],"",[],[],"[1411,2863]",[],"",1,"","","","",[],"",[],""
38,"life_leech","You are leeching Life",1,"","Life Leech","[1410,2862]",1,1,"","","","",30,0,1,"",17,"",1,"","",0,"","",1,"","","",4,"","",0,[],"","",[],"",[],[],"[1410,2862]",[],"",1,"","","","",[],"",[],""
39,"energy_shield_leech","You are leeching Energy Shield",1,"","Energy Shield Leech","[1412,2864]",1,1,"","","","",30,0,1,"",17,"",1,"","",0,"","",1,"","","",4,"","",0,[],"","",[],"",[],[],"[1412,2864]",[],"",1,"","","","",[],"",[],""
40,"players_increased","More players are in the game.",1,"","Players Increased","[1936,369,3276]","",2,"","","",1,30,0,1,"",17,"","","","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[1936,369,3276]",[],"","","","","","",[],"",[],""
41,"flask_bonus_armour","You have increased armour while this flask is in effect",1,"","Increased Armour",[117],1,3,"","","","",30,0,1,"",4,"",1,"",1,0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[117],[],"","","","","","",[],"",[],""
42,"flask_bonus_evasion","You have increased evasion while this flask is in effect","","","Increased Evasion",[120],1,3,"","","","",30,51,1,"",4,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[120],[],"","","","","","",[],"",[],""
43,"flask_bonus_energy_shield","You have increased energy shield while this flask is in effect",1,"","Increased Energy Shield",[134],1,3,"","","","",30,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[134],[],"","","","","","",[],"",[],""
44,"flask_bonus_movement_speed","You move faster while this flask is in effect","","","Increased Movement Speed",[177],1,3,"","","","",30,49,1,"",4,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[177],[],"","","","","","",[],"",[],""
45,"flask_bonus_stun_recovery","You recover faster from being stunned while this flask is in effect",1,"","Increased Stun Recovery",[221],1,3,"","","","",30,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[221],[],"","","","","","",[],"",[],""
46,"flask_bonus_resistances","You have increased resistances while this flask is in effect",1,"","Increased Resistances",[141],1,3,"","","","",30,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[141],[],"","","","","","",[],"",[],""
47,"flask_bonus_life_leech","You have life leech while this flask is in effect",1,"","Increased Life Leech",[3088],1,3,"","","","",30,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[3088],[],"","","","","","",[],"",[],""
48,"flask_bonus_mana_leech","You have mana leech while this flask is in effect",1,"","Increased Mana Leech",[3089],1,3,"","","","",30,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[3089],[],"","","","","","",[],"",[],""
49,"flask_bonus_knockback","Your Melee attacks knock back enemies while this flask is in effect",1,"","Added Knockback",[720],1,3,"","","","",30,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[720],[],"","","","","","",[],"",[],""
50,"flask_bonus_global_knockback","You knock back enemies while this flask is in effect",1,"","Added Knockback",[110],1,3,"","","","",30,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[110],[],"","","","","","",[],"",[],""
51,"flask_bonus_prevents_death","You can't die while this flask is in effect",1,"","Death Prevention",[397],1,3,"","","","",30,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[397],[],"","","","","","",[],"",[],""
52,"flask_bonus_ignite_immunity","",1,"","",[],"",3,"","","","",30,388,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[4917],[],[],"","","","","","",[],"",[],""
53,"chill_immunity","All Chill has been removed from you, and you cannot be Chilled.","","","Chill Immunity",[],1,3,"","","","",30,390,1,"",17,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[4916],[],[],"","","","","","",[],"",[],""
54,"freeze_immunity","All Freeze has been removed from you, and you cannot be Frozen","","","Freeze Immunity",[],1,3,"","","","",30,386,1,"",17,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[4915],[],[],"","","","","","",[],"",[],""
55,"ignite_immunity","All Ignite has been removed from you, and you cannot be Ignited.","","","Ignite Immunity",[],1,3,"","","","",30,388,1,"",17,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[4917],[],[],"","","","","","",[],"",[],""
56,"shock_immunity","All Shock has been removed from you, and you cannot be Shocked.","","","Shock Immunity",[],1,3,"","","","",30,389,1,"",17,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[4918],[],[],"","","","","","",[],"",[],""
57,"bleeding_immunity","All Bleeding has been removed from you, and Bleeding cannot be inflicted on you.","","","Bleeding Immunity",[],1,3,"","","","",30,387,1,"",17,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[2636],[],[],"","","","","","",[],"",[],""
58,"corrupted_blood_immunity","All Corrupted Blood has been removed from you, and Corrupted Blood cannot be inflicted on you.","","","Corrupted Blood Immunity",[],1,3,"","","","",30,391,1,"",17,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[14080],[],[],"","","","","","",[],"",[],""
59,"flask_bonus_curse_immunity","",1,"","Curse Immunity",[],1,3,"","","","",30,50,1,"",4,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[744],[],[],"","","","","","",[],"",[],""
60,"spectre_buff","",1,"","Spectral",[],"",3,"","","","",30,52,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[],""
61,"infernal_blow_hit","",1,"","Hit by Infernal Blow",[1996],"",3,"","","",1,30,0,1,"",17,"","","","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[1996],[],"","","","","","",[],"",[],""
62,"viper_strike_orb","You are taking Chaos Damage from Viper Strike","","","Hit by Viper Strike",[452],1,1,"","","",1,30,53,1,"",2,"",1,1,"",0,"","","","","","",2,"","",0,[],"","",[],"",[],[],[452],[],"","","","","","",[],"",[],""
63,"phase_run","You are fast and hard to see. If you end this buff by making a weapon attack, that attack will do more damage","",1,"Phase Running","[177,313,634,5815]",1,2,"","","","",30,54,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[177,313,634,5815]",[],"","","","","","",[],"",[],""
64,"monster_magic_effect_buff","",1,"","",[],1,2,"","","",1,30,56,1,"",17,1,1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[],""
65,"monster_rare_effect_buff","",1,"","",[],1,2,"","","",1,30,57,1,"",17,1,1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[],""
66,"fuse_arrow_orb","You're going to go boom","","","Hit by Explosive Arrow",[],1,4,1,528,527,1,30,61,1,"",3,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[],""
67,"curse_temporal_chains","You are cursed. Time passes more slowly for you.","","","Temporal Chains","[3239,9126,531]","",6,"","","",1,30,62,"","",5,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[],[],"[3239,9126,531]","[718,12434]","","","","","","",[],"",[],""
68,"curse_elemental_weakness","You are cursed. You take more Elemental damage.","","","Elemental Weakness","[17756,620]","",6,"","","",1,30,64,"","",5,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[],[],"[17756,620]",[718],"","","","","","",[],"",[],""
69,"curse_fire_weakness","You are cursed. You take more Fire damage and are more prone to being Ignited.","","","Flammability","[17754,535,207]","",6,"","","",1,30,66,"","",5,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[],[],"[17754,535,207]",[718],"","","","","","",[],"",[],""
70,"curse_cold_weakness","You are cursed. You take more Cold damage and are more prone to being Frozen.","","","Frostbite","[17753,534,206]","",6,"","","",1,30,67,"","",5,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[],[],"[17753,534,206]",[718],"","","","","","",[],"",[],""
71,"curse_lightning_weakness","You are cursed. You take more Lightning damage and are more prone to being Shocked.","","","Conductivity","[17755,532,205]","",6,"","","",1,30,69,"","",5,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[],[],"[17755,532,205]",[718],"","","","","","",[],"",[],""
72,"curse_warlords_mark","You are cursed. You will be Stunned for longer, grant Rage, Mana and Life Leech to enemies, and grant an Endurance charge when killed.","","","Warlord's Mark","[12369,12371,9729,9730,543,12572,476]","",6,"","","",1,30,71,"","",14,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[],[],"[12369,12371,9729,9730,543,12572,476]",[718],"","","","","","",[],"",[],""
73,"curse_punishment","","","","",[539],"",6,"","","",1,30,72,"","",5,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[],[],[539],[718],"","","","","","",[],"",[],""
74,"curse_enfeeble","You are cursed. You deal less damage and have reduced accuracy.","","","Enfeeble","[84,647,9127]","",6,"","","",1,30,74,"","",5,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[],[],"[84,647,9127]",[718],"","","","","","",[],"",[],""
75,"curse_assassins_mark","You are cursed. You are more likely to be critically hit, take more damage from critical hits, and will grant life, mana, and a power charge when killed.","","","Assassin's Mark","[12376,9039,2434,2435,538,12571,476]","",6,"","","",1,30,76,"","",14,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[],[],"[12376,9039,2434,2435,538,12571,476]",[718],"","","","","","",[],"",[],""
76,"curse_snipers_mark","You are cursed. You take increased damage from projectiles, and projectiles that hit you will split. You grant flask charges to the enemy who cursed you when hit.","","","Sniper's Mark","[12942,729,12960,12961,540]","",6,"","","",1,30,77,"","",14,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[],[],"[12942,729,12960,12961,540]",[718],"","","","","","",[],"",[],""
77,"curse_vulnerability","You are cursed. You take increased physical damage, and attacks against you have a chance to inflict Bleeding.","","","Vulnerability","[544,5221,14761,7247]","",6,"","",7828,1,30,78,"","",5,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[],[],"[544,5221,14761,7247]","[718,7828]","","","","","","",[],"",[],""
78,"curse_poachers_mark","You are cursed. Hits against you deal added physical damage and your physical damage reduction is lowered. You grant life and mana to enemies that attack you, and grant a frenzy charge when killed","","","Poacher's Mark","[12372,12373,1033,2432,2433,2431,12573,476]","",6,"","","",1,30,80,"","",14,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[],[],"[12372,12373,1033,2432,2433,2431,12573,476]",[718],"","","","","","",[],"",[],""
79,"curse_newpunishment","You are cursed. You will take increased damage while on low life and be debilitated when you hit enemies.","","","Punishment","[12379,12380,12381]","",6,"","","",1,30,72,"","",5,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[12548],[],"[12379,12380,12381,12548]",[718],"","","","","","",[],"",[],""
80,"CarlsTestCheat","You are testing the game with raw stats and blanket mods. You should never see this outside of Grinding Gear Games.","",1,"Balance","[123,133,116,119,30,31,83,567]",1,2,"","","","",30,85,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[123,133,116,119,30,31,83,567]",[],"","","","","","",[],"",[],""
81,"monster_aura_physical_thorns","Allies Reflect Physical Damage","","","Physical Reflection Aura",[563],1,3,"","","","",30,86,"","",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[563],[],"","","","","","",[],"",[],""
82,"monster_aura_elemental_thorns","Allies Reflect Elemental Damage","","","Elemental Reflection Aura",[564],1,3,"","","","",30,87,"","",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[564],[],"","","","","","",[],"",[],""
83,"monster_physical_thorns","Reflects Physical Damage","","","Physical Reflection",[563],1,3,"","","","",30,86,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[563],[],"","","","","","",[],"",[],""
84,"monster_elemental_thorns","Reflects Elemental Damage","","","Elemental Reflection",[564],1,3,"","","","",30,87,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[564],[],"","","","","","",[],"",[],""
85,"monster_aura_medium_physical_damage","Allies Deal Extra Physical Damage","","","Medium Physical Damage Aura",[26],1,3,"","","","",30,88,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[26],[],"","","","","","",[],"",[],""
86,"monster_aura_large_physical_damage","Allies Deal Extra Physical Damage","","","Large Physical Damage Aura",[26],1,3,"","","","",30,89,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[26],[],"","","","","","",[],"",[],""
87,"monster_aura_speed","Allies Move and Attack Faster","","","Speed Aura","[70,216,177]",1,3,"","","","",30,90,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[70,216,177]",[],"","","","","","",[],"",[],""
88,"monster_aura_life_regen","Allies Regenerate Life","","","Life Regen Aura",[450],1,3,"","","","",30,91,"","",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[450],[],"","","","","","",[],"",[],""
89,"monster_aura_resists","Allies Resist Elemental Damage","","","Resists Aura",[141],1,3,"","","","",30,92,"","",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[141],[],"","","","","","",[],"",[],""
90,"monster_aura_energy_shield","Allies have Energy Shield","","","Energy Shield Aura",[4603],1,3,"","","","",30,93,"","",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[4603],[],"","","","","","",[],"",[],""
91,"monster_aura_energy_shield_bubble","Allies have Energy Shield","","","Energy Shield Aura",[4603],1,3,"","","","",30,94,"","",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[4603],[],"","","","","","",[],"",[],""
92,"monster_aura_accuracy_and_crits","Allies have increased Accuracy and Critical Strike Chance","","","Accuracy and Crits Aura","[84,553]",1,3,"","","","",30,95,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[84,553]",[],"","","","","","",[],"",[],""
93,"monster_aura_pus_puke_degen","Enemies take Chaos Damage over time","","","Degeneration Aura",[451],1,3,"","","","",30,96,"","",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[451],[],"","","","","","",[],"",[],""
94,"monster_aura_chaos_degen","Enemies take Chaos Damage over time","","","Degeneration Aura",[452],1,3,"","","","",30,96,"","",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[452],[],"","","","","","",[],"",[],""
95,"monster_aura_physical_degen","Enemies take Physical Damage over time","","","Degeneration Aura",[2561],1,3,"","","","",30,362,"","",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[2561],[],"","","","","","",[],"",[],""
96,"monster_aura_lightning_degen","Enemies take Lightning Damage over time","","","Degeneration Aura",[1978],1,3,"","","","",30,277,"","",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[1978],[],"","","","","","",[],"",[],""
97,"monster_aura_elemental_damage","Allies deal increased Elemental Damage","","","Elemental Damage Aura",[485],1,3,"","","","",30,98,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[485],[],"","","","","","",[],"",[],""
98,"monster_aura_essence_daemon_degen","Enemies take Chaos Damage over time","","","Degeneration Aura",[451],1,3,"","","","",30,99,"","",2,1,1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[451],[],"","","","","","",[],"",[],""
99,"monster_thorns_physical","Reflects Physical Damage",1,"","Reflection",[563],1,3,"","","","",30,100,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[563],[],"","","","","","",[],"",[],""
100,"monster_thorns_elemental","Reflects Elemental Damage",1,"","Reflection",[564],1,3,"","","","",30,101,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[564],[],"","","","","","",[],"",[],""
101,"monster_thorns_physical_large","Reflects Physical Damage",1,"","Reflection",[563],1,3,"","","","",30,102,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[563],[],"","","","","","",[],"",[],""
102,"monster_thorns_elemental_large","Reflects Elemental Damage",1,"","Reflection",[564],1,3,"","","","",30,103,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[564],[],"","","","","","",[],"",[],""
103,"monster_thorns_bloodline","",1,"","Reflection","[563,564]",1,3,"","","","",30,104,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[563,564]",[],"","","","","","",[],"",[],""
104,"monster_thorns_bloodline_large_model","",1,"","Reflection","[563,564]",1,3,"","","","",30,105,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[563,564]",[],"","","","","","",[],"",[],""
