"rownum","Id","i32","WorldAreasKeys","i32","i32","BossMonsterSpawnChance","BossMonsterCount","BossMonster_MonsterVarietiesKeys","bool","[i32]","[string]","TagsKeys","MinLevel","MaxLevel","WorldAreas2","i32","PackFormation","i32","bool","[rid]","bool","bool","bool","bool","[string]","NecropolisPack"
119,"Act2-SpiderThorn",0,[34],2,5,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],126
120,"Act2-SnakeMeleeInca",0,"[35,39]",2,5,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],142
121,"Act2-Fragment",0,[35],2,7,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],130
122,"Act2-GuardBowFire",0,[35],2,5,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],133
123,"Act2-GuardDaggers",0,[35],2,6,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],132
124,"Act2-VaalOverseer",0,[35],2,4,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],128
125,"Act2-GuardSpear",0,[35],3,7,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],131
126,"Act2-SkeletonMeleeKnightElemental",0,[35],3,7,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],137
127,"Act2-GolemFire",0,[35],3,7,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],81
128,"Act2-BanditMeleeWarlordsMarkMaul",0,[36],2,6,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],103
129,"Act2-Rhoas",0,[36],2,5,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],10
130,"Act2-CrabParasites",0,[36],2,6,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],105
131,"Act2-BanditBowBlastRain",0,[36],2,5,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],104
132,"Act2-PlagueInsect",0,[36],3,8,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],143
133,"Act2-MonkeyBloodEnrage3",0,[37],5,9,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],94
134,"Act2-BeastGroundSlam",0,[37],2,5,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],74
135,"Act2-SnakeSpit",0,[37],2,5,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],79
136,"Act2-BeastCaveDegenAura",0,[38],2,4,0,0,[],"",[100],"[""ForestCaveFloor""]",[],0,100,[],0,"",0,"",[],1,"","",1,[],72
137,"Act2-GhostPirateGreenWand",0,[38],2,5,0,0,[],"",[100],"[""ForestCaveFloor""]",[],0,100,[],0,"",0,"",[],1,"","",1,[],64
138,"Act2-SpawnPhaseRun",0,[38],4,10,0,0,[],"",[100],"[""ForestCaveFloor""]",[],0,100,[],0,"",0,"",[],1,"","",1,[],42
139,"Act2-SkeletonCasterLightning2Vaal_",0,[38],2,5,20,1,[422],"",[100],"[""DungeonFloor""]",[],0,100,[],100,"",0,"",[],1,"","",1,[],134
140,"Act2-SkeletonCasterCold2Vaal",0,[38],2,5,20,1,[1621],"",[100],"[""DungeonFloor""]",[],0,100,[],100,"",0,"",[],1,"","",1,[],134
141,"Act2-SkeletonCasterFire2Vaal_",0,[38],2,5,20,1,[1615],"",[100],"[""DungeonFloor""]",[],0,100,[],100,"",0,"",[],1,"","",1,[],134
142,"Act2-SkeletonMeleeLightningVaal_",0,[38],2,5,20,1,[422],"",[100],"[""DungeonFloor""]",[],0,100,[],100,"",0,"",[],1,"","",1,[],138
143,"Act2-SkeletonMeleeColdVaal",0,[38],2,5,20,1,[1621],"",[100],"[""DungeonFloor""]",[],0,100,[],100,"",0,"",[],1,"","",1,[],138
144,"Act2-SkeletonMeleeFireVaal",0,[38],2,5,20,1,[1615],"",[100],"[""DungeonFloor""]",[],0,100,[],100,"",0,"",[],1,"","",1,[],138
145,"Act2-FragmentMultipleProjectile",0,"[38,39]",2,6,0,0,[],"","[100,20]","[""DungeonFloor""]",[],0,100,[],0,"",0,"",[],1,"","",1,[],130
146,"Act2-BeastVulnerabilityCurse",0,[38],2,4,0,0,[],"",[20],"[""ForestCaveFloor""]",[],0,100,[],0,"",0,"",[],1,"","",1,[],75
147,"Act2-MineBat2",0,[38],3,5,0,0,[],"",[20],"[""ForestCaveFloor""]",[],0,100,[],0,"",0,"",[],1,"","",1,[],89
148,"Act2-SkeletonMeleeLightningShieldVaal",0,[39],2,5,33,1,"[422,1045,1031,1030,1032,1029]","",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],138
149,"Act2-SkeletonMeleeColdShieldVaal",0,[39],2,5,33,1,"[1621,1045,1031,1030,1032,1029]","",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],138
150,"Act2-SkeletonMeleeFireShieldVaal",0,[39],2,5,33,1,"[1615,1045,1031,1030,1032,1029]","",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],138
151,"Act2-GolemFireVaalPyramid",0,[39],2,5,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],81
152,"Act2-SkeletonCasterLightning2Vaal_2",0,[39],2,5,33,1,"[422,1045,1031,1030,1032,1029]","",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],134
153,"Act2-SkeletonCasterCold2Vaal2",0,[39],2,5,33,1,"[1621,1045,1031,1030,1032,1029]","",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],134
154,"Act2-SkeletonCasterFire2Vaal_2",0,[39],2,5,33,1,"[1615,1045,1031,1030,1032,1029]","",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],134
155,"Act2-SkeletonMelee",0,[40],3,5,33,1,[2549],"",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],30
156,"Act2-SkeletonBow2",0,[40],3,5,33,1,[2549],"",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],39
157,"Act2-ZombieMoldyEmerge",0,[40],3,5,33,1,[2549],"",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],92
158,"Act2-PlagueInsect1",0,[40],4,7,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],143
159,"Act3-UndyingOutcastWhirlingBlades",0,"[42,43,45]",2,7,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],219
160,"Act3-InsectWild",0,"[42,45]",3,9,0,0,[],"","[100,20]",[],[],0,100,[],0,"",0,"",[],1,"","",1,[],83
161,"Act3-SkeletonMeleeSword",0,[42],2,7,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],30
162,"Act3-SkeletonBowLightning2",0,[42],2,6,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],478
163,"Act3-InsectSpawner",0,[43],3,7,50,1,[1558],"",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],197
164,"Act3-SnakeScorpion",0,"[43,45]",3,5,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],215
165,"Act3-Firemonster1",0,[44],3,4,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],182
166,"Act3-SkeletonMeleeFire",0,[44],3,5,100,1,[1613],"",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],466
167,"Act3-SkeletonCasterFireMultipleProjectiles2",0,[44],3,5,100,1,[1613],"",[20],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],464
168,"Act3-PyromaniacFire",0,[44],3,6,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],208
169,"Act3-CityStalkerMaleFire",0,[44],3,6,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],171
170,"Act3-CityStalkerMaleWorkerCold",0,"[45,50]",3,5,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],169
171,"Act3-CityStalkerFemaleCold",0,[45],3,5,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],169
172,"Act3-UndyingOutcastPuncture",0,[45],3,5,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],219
173,"Act3-SkeletonMeleeCold2",0,[46],3,4,100,1,[1619],"",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],459
174,"Act3-SkeletonCasterCold7",0,[46],3,4,100,1,[1619],"",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],457
175,"Act3-CityStalkerFreezingPulse",0,[46],3,6,0,0,[],"",[20],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],170
176,"Act3-AxisFootSoldier2_Battlefront",0,[47],3,6,50,1,[1283],"",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],151
177,"Act3-GuardianHead_Battlefront",0,[47],4,7,100,1,"[1545,1544]","",[100],"[""BattlefieldTop"",""IvoryTempleTrim""]",[],0,100,[],100,"",0,"",[],1,"","",1,[],211
178,"Act3-AxisEliteSoldier2_Battlefront",0,[47],3,5,50,1,[1283],"",[20],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],146
179,"Act3-AxisEliteSoldierShield_Battlefront",0,[47],3,5,50,1,[1283],"",[20],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],146
180,"Act3-GuardianHead",0,"[48,49]",4,7,100,1,"[1532,1534]","",[100],[],[],0,100,[],100,"",0,"",[],1,"","",1,[],211
181,"Act3-WaterElementalPure",0,[49],3,5,0,0,[],"",[100],"[""TempleWaterBottom""]",[],0,100,[],0,"",0,"",[],1,"","",1,[],220
182,"Act3-Dockworkers",0,[50],3,5,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],175
183,"Act3-FlameBearer",0,[50],3,5,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],183
184,"Act3-DockworkerBow",0,[50],3,5,0,0,[],"",[100],[],[],0,100,[],0,"",0,"",[],1,"","",1,[],177
