"rownum","BaseItemTypesKey","ModsKeys","AchievementItemsKey","MapFragmentFamilies","bool","bool","bool","bool","bool","bool","i32","i32","i32","bool"
58,9897,[18479],[],125,1,"","","","","",1,100,1,""
59,9899,[18480],[],122,1,"","","","","",1,100,1,""
60,9898,[18481],[],123,1,"","","","","",1,100,2,""
61,9900,[18482],[],124,1,"","","","","",1,100,1,""
62,9901,[18483],[7006],4,1,1,"","","","",1,100,1,""
63,9902,[18484],[7006],4,1,1,"","","","",1,100,1,""
64,9903,[18485],[7006],4,1,1,"","","","",1,100,1,""
65,9904,[18486],"[7006,7148]",4,1,1,"","","","",1,100,1,""
66,9905,[18487],[7006],5,1,"",1,"","","",1,100,1,""
67,9906,[18488],[7006],5,1,"",1,"","","",1,100,1,""
68,9907,[18489],[7006],5,1,"",1,"","","",1,100,1,""
69,9908,[18490],"[7006,7149]",5,1,"",1,"","","",1,100,1,""
70,9909,[18491],[],20,1,1,"","","","",1,100,1,""
71,9910,[18492],[],21,1,"",1,"","","",1,100,1,""
72,9912,"[18493,18494,18495,18496]",[],22,1,"","","","",1,1,100,1,""
73,9911,[18497],[],23,1,"","","","","",1,100,1,""
74,9913,[18498],[7006],0,1,"","","","","",1,100,1,""
75,9914,[18499],[7006],0,1,"","","","","",1,100,1,""
76,9915,[18500],[7006],0,1,"","","","","",1,100,1,""
77,9916,[18501],"[7006,7150]",0,1,"","","","","",1,100,1,""
78,9917,[18502],[],121,1,"","","","","",1,100,1,""
79,9918,[18503],[],119,1,"","","","","",1,100,1,""
80,9919,[18504],[],120,1,"","","","","",1,100,1,""
81,9920,[18505],[7006],6,1,"","","","","",1,100,1,""
82,9921,[18506],[7006],6,1,"","","","","",1,100,1,""
83,9922,[18507],[7006],6,1,"","","","","",1,100,1,""
84,9923,[18508],"[7006,7151]",6,1,"","","","","",1,100,1,""
85,9924,[18509],[],70,1,"","","","","",1,100,2,""
86,9926,[18510],[],71,1,"","","","","",1,100,1,""
87,9925,[18511],[],72,1,"","","","","",1,100,1,""
88,9927,[18512],[7006],7,1,"","","","","",1,100,1,""
89,9928,[18513],[7006],7,1,"","","","","",1,100,1,""
90,9929,[18514],[7006],7,1,"","","","","",1,100,1,""
91,9930,[18515],"[7006,7152]",7,1,"","","","","",1,100,1,""
92,9931,[18516],[],73,1,"","","","","",1,100,4,""
93,9932,[18517],[],74,1,"","","","","",1,100,1,""
94,9933,[18518],[],75,1,"","","","","",1,100,1,""
95,9934,[18519],[],126,1,"","","","","",1,100,2,""
96,9935,[18520],[7006],8,1,"","","","","",1,100,1,""
97,9936,[18521],[7006],8,1,"","","","","",1,100,1,""
98,9937,[18522],[7006],8,1,"","","","","",1,100,1,""
99,9938,[18523],"[7006,7153]",8,1,"","","","","",1,100,1,""
100,9939,[18524],[],37,1,"","","","","",1,100,4,""
101,9940,[18525],[],38,1,"","","","","",1,100,1,""
102,9941,[18526],[],39,1,"","","","","",1,100,1,""
103,9942,[18527],[],40,1,"","","","","",1,100,1,""
104,9943,[18528],[],41,1,"","","","","",1,100,1,""
105,9944,[18529],[7006],9,1,"","","","","",1,100,1,""
106,9945,[18530],[7006],9,1,"","","","","",1,100,1,""
107,9946,[18531],[7006],9,1,"","","","","",1,100,1,""
108,9947,[18532],"[7006,7154]",9,1,"","","","","",1,100,1,""
109,9948,[18533],[],66,1,"","","","","",1,100,4,""
110,9949,[18534],[],67,1,"","","","","",1,100,1,""
111,9951,[18535],[],68,1,"","","","","",1,100,1,""
112,9950,[18536],[],69,1,"","","","","",1,100,1,""
113,9952,[18537],[7006],10,1,"","","","","",1,100,1,""
114,9953,[18538],[7006],10,1,"","","","","",1,100,1,""
115,9954,[18539],[7006],10,1,"","","","","",1,100,1,""
116,9955,[18540],"[7006,7155]",10,1,"","","","","",1,100,1,""
117,9956,[18541],[],10,1,"","","","","",1,100,1,""
118,9957,[18542],[],103,1,"","","","","",1,100,2,""
119,9958,[18543],[],104,1,"","","","","",1,100,1,""
120,9960,[18544],[],105,1,"","","","","",1,100,1,""
121,9959,[18545],[],106,1,"","","","","",1,100,1,""
122,9961,[18546],[7006],11,1,"","","","","",1,100,1,""
123,9962,[18547],[7006],11,1,"","","","","",1,100,1,""
124,9963,[18548],[7006],11,1,"","","","","",1,100,1,""
125,9964,[18549],"[7006,7156]",11,1,"","","","","",1,100,1,""
126,9965,[18550],[],96,1,"","","","","",1,100,4,""
127,9966,[18551],[],97,1,"","","","","",1,100,1,""
128,9967,[18552],[],98,1,"","","","","",1,100,1,""
129,9968,[18553],[],99,1,"","","","","",1,100,1,""
130,9969,[18554],[],100,1,"","","","","",1,100,1,""
131,9970,[18571],[7006],12,1,"","","","","",1,100,1,""
132,9971,[18572],[7006],12,1,"","","","","",1,100,1,""
133,9972,[18573],[7006],12,1,"","","","","",1,100,1,""
134,9973,[18574],"[7006,7157]",12,1,"","","","","",1,100,1,""
135,9974,[18559],[],13,1,"","","","","",1,100,1,""
136,9975,[18560],[],13,1,"","","","","",1,100,1,""
137,9976,[18561],[],13,1,"","","","","",1,100,1,""
138,9977,[18562],[],13,1,"","","","","",1,100,1,""
139,9978,[18563],[],14,1,"","","","","",1,100,1,""
140,9979,[18564],[],14,1,"","","","","",1,100,1,""
141,9980,[18565],[],14,1,"","","","","",1,100,1,""
142,9981,[18566],[],14,1,"","","","","",1,100,1,""
143,9982,[18567],[],14,1,"","","","","",1,100,2,""
144,9983,[18568],[],93,1,"","","","","",1,100,2,""
145,9984,[18569],[],94,1,"","","","","",1,100,1,""
146,9985,[18570],[],95,1,"","","","","",1,100,1,""
147,9986,[18575],[],34,1,"","","","","",1,100,4,""
148,9987,[18576],[],35,1,"","","","","",1,100,2,""
149,9988,[18577],[],36,1,"","","","","",1,100,1,""
150,9989,[18578],[],42,1,"","","","","",1,100,4,""
151,9990,[18579],[],43,1,"","","","","",1,100,1,""
152,9992,[18580],[],44,1,"","","","","",1,100,1,""
153,9991,[18581],[],45,1,"","","","","",1,100,1,""
154,9994,"[18582,18586]",[],46,1,"","","","",1,1,100,2,""
155,9995,[18583],[],47,1,"","","","","",1,100,1,""
156,9993,[18584],[],48,1,"","","","","",1,100,4,""
157,9996,[18585],[],49,1,"","","","","",1,100,1,""
158,9997,[18587],[],50,1,"","","","","",1,100,2,""
159,9998,[18588],[],51,1,"","","","","",1,100,1,""
160,9999,[18589],[],52,1,"","","","","",1,100,2,""
161,10000,[18590],[],53,1,"","","","","",1,100,1,""
162,10002,[18591],[],54,1,"","","","","",1,100,1,""
163,10001,[18592],[],55,1,"","","","","",1,100,1,""
164,10003,[18593],[],60,1,"","","","","",1,100,1,""
165,10004,[18594],[],57,1,"","","","","",1,100,2,""
166,10006,[18595],[],58,1,"","","","","",1,100,1,""
167,10005,[18596],[],59,1,"","","","","",1,100,2,""
168,10007,[18597],[],65,1,"","","","","",1,100,1,""
169,10008,[18598],[],62,1,"","","","","",1,100,1,""
170,10010,[18599],[],63,1,"","","","","",1,100,2,""
171,10009,[18600],[],64,1,"","","","","",1,100,1,""
172,10011,[18601],[],76,1,"","","","","",1,100,1,""
173,10012,[18602],[],77,1,"","","","","",1,100,1,""
174,10013,[18603],[],78,1,"","","","","",1,100,2,""
175,10015,[18604],[],79,1,"","","","","",1,100,1,""
176,10014,[18605],[],80,1,"","","","","",1,100,1,""
177,10016,[18606],[],12,1,"","","","","",1,100,1,""
178,10017,[18607],[],81,1,"","","","","",1,100,2,""
179,10018,[18608],[],82,1,"","","","","",1,100,1,""
180,10019,[18609],[],83,1,"","","","","",1,100,1,""
181,10020,[18610],[],84,1,"","","","","",1,100,1,""
182,10021,[18611],[],85,1,"","","","","",1,100,1,""
183,10022,[18612],[],86,1,"","","","","",1,100,2,""
184,10023,[18613],[],87,1,"","","","","",1,100,2,""
185,10024,[18614],[],88,1,"","","","","",78,100,1,""
186,10025,[18615],[],89,1,"","","","","",1,100,1,""
187,10026,[18616],[],13,1,"","","","","",1,100,1,""
188,10027,[18617],[],90,1,"","","","","",1,100,2,""
189,10028,[18618],[],91,1,"","","","","",1,100,1,""
190,10029,[18619],[],92,1,"","","","","",1,100,1,""
191,10030,[18620],[],107,1,"","","","","",1,100,1,""
192,10031,[18621],[],108,1,"","","","","",1,100,2,""
193,10032,"[18622,18625,18626,18627,18628,18629]",[],109,1,"","","","",1,1,100,3,""
194,10033,[18623],[],110,1,"","","","","",1,100,1,""
195,10034,[18624],[],111,1,"","","","","",1,100,1,""
196,10035,[18630],[],127,1,"","","","","",1,100,1,""
197,10036,[18631],[],128,1,"","","","","",1,100,1,""
198,10037,[18632],[],129,1,"","","","","",1,100,1,""
199,10038,[18633],[],130,1,"","","","","",1,100,1,""
200,10039,[18634],[],131,1,"","","","","",1,100,1,""
201,10040,[18635],[],132,1,"","","","","",81,100,1,""
202,10041,[18636],[],112,1,"","","","","",1,100,1,""
203,10042,[18637],[],113,1,"","","","","",1,100,1,""
204,10043,[18638],[],114,1,"","","","","",1,100,1,""
205,10044,[18639],[],115,1,"","","","","",1,100,1,""
206,10045,[18640],[],116,1,"","","","","",1,100,1,""
207,10046,[18641],[],117,1,"","","","","",1,100,1,""
208,10047,[18642],[],118,1,"","","","","",1,100,1,""
209,10048,[18643],[],133,1,"","","","","",1,100,1,""
210,7737,"[20480,20485]",[],15,"","","",1,"","",1,100,1,""
211,7738,"[20481,20486]",[],16,"","","",1,"","",1,100,1,""
212,7739,"[20482,20487]",[],17,"","","",1,"","",1,100,1,""
213,7740,"[20483,20488]",[],18,"","","",1,"","",1,100,1,""
214,7741,"[20484,20489]",[],19,"","","",1,"","",1,100,1,""
215,7742,"[20490,20495]",[],15,"","","",1,"","",1,100,1,""
216,7743,"[20491,20496]",[],16,"","","",1,"","",1,100,1,""
217,7744,"[20492,20497]",[],17,"","","",1,"","",1,100,1,""
218,7745,"[20493,20498]",[],18,"","","",1,"","",1,100,1,""
219,7746,"[20494,20499]",[],19,"","","",1,"","",1,100,1,""
220,10051,[20845],[],134,"","","","","","",1,100,1,""
221,10052,[20846],[],134,"","","","","","",1,100,1,""
222,10053,[20847],[],134,"","","","","","",1,100,1,""
223,10054,[20848],[],134,"","","","","","",1,100,1,""
224,10055,[20849],[],134,"","","","","","",1,100,1,""
225,10056,[20850],[],134,"","","","","","",1,100,1,""
226,10057,[20852],[],134,"","","","","","",1,100,1,""
227,10058,[20853],[],134,"","","","","","",1,100,1,""
228,10059,[20854],[],134,"","","","","","",1,100,1,""
229,10060,[20856],[],134,"","","","","","",1,100,1,""
230,10061,[20857],[],134,"","","","","","",1,100,1,""
231,10062,[20859],[],134,"","","","","","",1,100,1,""
232,10063,[20860],[],134,"","","","","","",1,100,1,""
233,7747,[8298],[],134,"","","",1,"","",1,100,1,""
234,7764,[24254],[9592],134,1,"","","","","",1,100,4,""
