"rownum","SkillGem","Supports"
131,327,"[167,304,326,409,364,267,470,466,270]"
132,305,"[167,368,109,349,364,500,564,15,99]"
133,357,"[8,27,103,559,555,520,566,473,270]"
134,360,"[110,535,369,111,26,500,496,564,615]"
135,85,"[110,535,369,111,96,26,500,496,564]"
136,88,"[304,375,11,109,470,466,50,584,585]"
137,91,"[11,7,209,109,46,475,463,210,584]"
138,77,"[167,480,481,484,482,483,598,617,595]"
139,290,"[167,334,56,265,266,267,577,521,578]"
140,356,"[167,334,56,520,519,267,475,577,578]"
141,299,"[350,334,94,55,498,224,566,495,699]"
142,79,"[167,480,368,481,484,482,483,473,617]"
143,298,"[334,368,99,162,498,15,564,495,554]"
144,3,"[338,11,209,560,55,364,83,463,210]"
145,13,"[303,110,361,364,109,111,500,97,475]"
146,355,"[11,376,27,364,484,481,482,528,595]"
147,31,"[363,118,365,366,367,169,528,267,270]"
148,102,"[167,118,365,366,367,267,169,503,352]"
149,64,"[11,110,27,519,520,267,577,475,578]"
150,119,"[11,368,162,571,267,15,269,566,598]"
151,86,"[361,99,109,500,475,123,615,610,212]"
152,89,"[11,110,487,465,471,50,584,585,109]"
153,90,"[11,72,80,332,109,83,464,301,585]"
154,87,"[168,99,111,564,123,6,615,644,643]"
155,92,"[110,27,369,505,267,475,269,270,615]"
156,23,"[610,268,644,369,56,110,109,475,643]"
157,548,"[167,489,473,665,663,667]"
158,68,"[11,490,265,266,269,270]"
159,539,"[489,263,269,475,663,665]"
160,41,"[490,489,491,266,492,269]"
161,385,"[490,491,266,492,269,167]"
162,58,"[490,489,491,266,492,667]"
163,59,"[490,489,491,266,492,666]"
164,60,"[490,489,491,266,492,668]"
165,276,"[167,376,265,266,268,269]"
166,431,"[12,95,353,17,534,43,496,500,19]"
167,393,"[532,351,7,162,554,499,467,564,699]"
168,394,"[99,569,530,531,96,225,496,500,50]"
169,395,"[572,532,5,224,504,565,97,574,270]"
170,396,"[99,49,163,17,460,409,352,50,268]"
171,397,"[11,7,209,162,93,504,329,97,533]"
172,398,"[5,530,211,46,339,93,210,329,533]"
173,399,"[5,7,6,534,339,554,50,97,701]"
174,400,"[9,328,70,563,504,499,83,533,590]"
175,401,"[22,187,9,47,43,106,83,533,50]"
176,402,"[569,6,9,504,106,47,83,465,533]"
177,403,"[206,7,487,534,106,504,83,50,496]"
178,404,"[12,532,7,504,531,533,83,619,352]"
179,405,"[12,530,6,106,504,332,83,301,464]"
180,406,"[11,532,7,504,565,106,83,464,301]"
181,407,"[12,532,6,504,534,96,83,533,301]"
182,285,"[35,7,504,505,224,557,97,463,587]"
183,286,"[35,351,113,96,505,268,557,500,626]"
184,287,"[11,487,113,558,505,496,500,556,620]"
185,288,"[326,304,11,460,409,224,83,466,556]"
186,289,"[12,113,504,505,267,557,301,556,587]"
187,523,"[5,504,505,565,557,83,587,270,703]"
188,518,"[377,167,505,265,269,270]"
189,181,"[99,487,350,555,106,559,564,521,671]"
190,112,"[331,5,338,555,504,46,496,97,521]"
191,529,"[488,490,491,265,471,470]"
192,516,"[488,490,664,491,667,668]"
193,508,"[11,167,490,265,266,491,492,269,670]"
194,510,"[11,167,490,265,266,491,492,269,670]"
195,509,"[11,167,490,265,266,491,492,269,670]"
196,427,"[107,106,495,500,496,682,99,634,26]"
197,428,"[107,106,495,500,496,682,99,634,26]"
198,729,"[166,107,335,43,647,600,352,685,651]"
199,429,"[633,554,590,352,638,645,94,637,499]"
200,133,"[628,36,656,624,564,505,96,588,705]"
201,134,"[683,36,26,678,100,646,677,570,572]"
202,136,"[487,99,11,26,685,693,694,699,635]"
203,138,"[373,12,499,205,645,611,98,592,464]"
204,342,"[5,504,331,46,463,209,701,635,210]"
205,343,"[11,6,107,498,641,500,635,270,638]"
206,344,"[637,167,113,504,499,565,83,619]"
207,345,"[165,669,11,100,656,619,83,128,588]"
208,139,"[9,164,486,565,638,504,574,701,83]"
209,135,"[99,6,487,26,641,677,659,675,591]"
210,132,"[637,634,669,654,106,648,123,618,707]"
211,340,"[8,7,591,611,590,499,167,685,16]"
212,718,"[486,633,124,592,565,83,358,684,270]"
213,719,"[331,11,10,564,660,519,521,633,554]"
214,720,"[462,12,619,332,504,652,83,123,166]"
215,722,"[71,70,9,47,629,574,570,106,652]"
216,723,"[99,338,683,659,499,635,699,588,675]"
217,724,"[124,26,618,467,99,669,650,564,702]"
218,721,"[376,6,669,638,650,626,123,676,677]"
219,725,"[99,353,17,646,495,474,683,106,706]"
220,728,"[12,572,332,619,83,592,464,338,128]"
221,730,"[11,634,631,504,567,83,338,638,570]"
222,727,"[633,5,635,504,499,210,463,410,11]"
223,726,"[487,167,266,267,269,270]"
224,547,"[99,490,96,491,646,347]"
225,733,"[488,490,664,491,666,668]"
226,734,"[7,488,693,662,694,474]"
227,731,"[56,369,110,109,643,688,475,500,685]"
228,435,"[490,489,581,622,649,621]"
229,436,"[5,35,7,504,106,558,83,210,97]"
230,437,"[12,35,7,504,106,558,83,128,330]"
231,438,"[9,35,7,504,106,558,83,336,358]"
232,439,"[95,375,7,106,224,466,19,358,636]"
233,440,"[94,99,7,106,224,498,467,495,500]"
234,441,"[334,166,505,266,267,268,269,270,335]"
235,442,"[80,11,167,505,224,43,83,337,359]"
236,443,"[263,264,265,266,471,470,472,167,687]"
237,444,"[110,56,361,93,109,500,475,644,688]"
238,445,"[490,489,505,491,492,269]"
239,446,"[113,11,167,505,266,267,268,269,270]"
240,447,"[113,166,335,505,266,267,268,269,270]"
241,448,"[167,164,264,265,266,267,268,269,270]"
242,449,"[490,489,262,505,491,267,492,269,270]"
243,450,"[262,263,262,265,266,267,470,471,472]"
244,451,"[490,489,491,492,262,581,622,621,649]"
245,506,"[80,351,124,505,224,43,83,337,336]"
246,452,"[56,110,99,109,111,26,496,500,495]"
247,453,"[167,335,364,505,166,267,268,269,270]"
248,454,"[99,11,617,664,474,666]"
249,456,"[36,6,94,631,109,96,699,496,644]"
250,735,"[11,35,637,605,10,504,574,83,270]"
251,457,"[5,377,378,504,600,505,83,470,97]"
252,459,"[377,167,378,505,266,267,268,269,270]"
253,458,"[35,637,353,584,585,505,644,475,564]"
254,737,"[262,580,582,472,263,265]"
255,215,"[262,263,580,266,575,582]"
256,217,"[262,263,580,266,575,582]"
257,218,"[262,263,580,266,575,582]"
258,219,"[262,263,580,266,575,582]"
259,220,"[262,263,580,266,575,582]"
260,221,"[262,263,580,266,575,582]"
261,272,"[262,263,580,266,575,582]"
262,274,"[262,263,580,266,575,582]"
263,374,"[262,263,580,266,575,582]"
264,550,"[262,263,580,266,575,582]"
265,732,"[489,490,580,663,582,666]"
266,216,"[262,263,580,266,579,575]"
267,271,"[262,263,580,266,579,575]"
268,515,"[262,263,580,266,579,575]"
269,538,"[262,263,580,266,579,575]"
270,738,"[167,489,663,505,668,666]"
