"rownum","Item","TriggeredQuestFlag","rid","i32","[rid]","bool","bool","HelpText","Description","Script","rid","rid","i32","[rid]","rid"
53,367,2726,"",677,[],"","",7882,7888,"skill_book","","",4205,[],""
54,368,2727,"",678,[],"","",7882,7888,"skill_book","","",4205,[],""
55,369,2728,"",679,[],"","",7882,7888,"skill_book","","",4205,[],""
56,370,2729,"",680,[],"","",7882,7888,"skill_book","","",4205,[],""
57,371,2804,"",681,[],"","",7882,7888,"skill_book","","",4205,[],""
58,372,2872,"",682,[],"","",8326,8327,"skill_book","","",4205,[],""
59,373,2873,"",683,[],"","",8326,8327,"skill_book","","",4205,[],""
60,374,2874,"",684,[],"","",8326,8327,"skill_book","","",4205,[],""
61,375,2875,"",685,[],"","",8326,8327,"skill_book","","",4205,[],""
62,380,1519,1517,4205,[],"","",923,"","sentinel_controller","","",4205,[],""
63,1729,2161,2725,4205,[],"","",925,"","grant_quest_flag_trigger_npc_audio","","",4205,[],""
64,3111,2163,4924,4205,[],"","",926,"","","","",4205,[],""
65,503,130,131,4205,[],"","",8573,"","","","",4205,[],""
66,2694,2939,2940,4205,[],"","","","","","","",4205,[],""
67,2695,2949,2957,4205,[],"","","","","","","",4205,[],""
68,2700,3007,2948,4205,[],"","","","","","","",4205,[],""
69,2701,3008,2948,4205,[],"","","","","","","",4205,[],""
70,2702,3009,2948,4205,[],"","","","","","","",4205,[],""
71,2696,3734,3733,4205,[],"","",927,928,"skill_book","","",4205,[],""
72,2697,3736,3735,4205,[],"","",924,929,"skill_book","","",4205,[],""
73,2698,4850,4851,4205,[],"","",924,930,"skill_book","","",4205,[],""
74,2703,4703,4705,4205,[],"","","","","","","",4205,[],""
75,2704,4704,4705,4205,[],"","","","","","","",4205,[],""
76,2705,4706,4707,4205,[],"","","","","","",2980,4205,[],""
77,2699,3737,2992,4205,[],"","",931,932,"skill_book","","",4205,[],""
78,2707,3739,3738,4205,[],"","",933,934,"skill_book","","",4205,[],""
79,2708,3740,3741,4205,[],"","",935,936,"skill_book","","",4205,[],""
80,2709,3743,3742,4205,[],"","",937,938,"skill_book","","",4205,[],""
81,2710,4752,4753,4205,[],"","",939,940,"consume_quest_item_create_item","","",4205,[],""
82,2711,4942,"",4026,[],"","","","","","","",4205,[],""
83,2712,3745,3744,4205,[],"","",945,946,"skill_book","","",4205,[],""
84,2713,3747,3746,4205,[],"","",947,948,"skill_book","","",4205,[],""
85,2726,4329,4330,4205,[],"","",981,982,"skill_book","","",4205,[],""
86,2730,4332,4333,4205,[],"","",983,984,"skill_book","","",4205,[],""
87,2718,3189,4335,4205,[],"","",985,"","","","",4205,[],""
88,2719,4336,4337,4205,[],"","",986,"","","","",4205,[],""
89,2717,3187,3188,4205,[],"","",986,"","","","",4205,[],""
90,2720,4338,4339,4205,[],"","",987,"","","","",4205,[],""
91,2721,4340,4341,4205,[],"","",988,"","","","",4205,[],""
92,2722,4342,4343,4205,[],"","",989,"","","","",4205,[],""
93,2714,4344,4565,4205,[],"","",990,"","","","",4205,[],""
94,2715,4346,4347,4205,[],"","",991,992,"skill_book","","",4205,[],""
95,2716,4348,4349,4205,[],"","",993,994,"skill_book","","",4205,[],""
96,2731,4754,4755,4205,[],"","",941,942,"consume_quest_item_create_item","","",4205,[],""
97,2729,3242,3243,4205,[],"","","","","","","",4205,[],""
98,2723,3351,3282,4205,[],"","","","","","","",4205,[],""
99,2727,3207,3222,4205,[],"","","","","","","",4205,[],""
100,2728,3210,3223,4205,[],"","","","","","","",4205,[],""
101,2732,4350,4351,4205,[],"","",995,996,"skill_book","","",4205,[],""
102,2733,4352,4353,4205,[],"","",997,998,"skill_book","","",4205,[],""
103,2734,4681,4682,4205,[],"","",999,1000,"skill_book","","",4205,[],""
104,2737,3782,2814,4205,[],"","",949,950,"skill_book","","",4205,[],3783
105,2738,4685,2814,4205,[],"","",951,952,"skill_book","","",4205,[],4686
106,2739,4687,2814,4205,[],"","",953,954,"skill_book","","",4205,[],4688
107,2740,2805,2814,4205,[],"","",955,956,"skill_book","","",4205,[],2808
108,2741,2806,2814,4205,[],"","",957,958,"skill_book","","",4205,[],2809
109,2742,2807,2814,4205,[],"","",959,960,"skill_book","","",4205,[],2810
110,2743,3901,3904,4205,[],"","","","","","","",4205,[],""
111,2753,3784,3785,4205,[],"","",962,961,"skill_book","","",4205,[],""
112,2752,3764,3854,4205,[],"","","","","","","",4205,[],""
113,2755,3786,3787,4205,[],"","","","","","","",4205,[],""
114,2754,3896,3853,4205,[],"","","","","","","",4205,[],""
115,2756,3788,3789,4205,[],"","",963,964,"skill_book","","",4205,[],""
116,2757,4676,4677,4205,[],"","","","","","","",4205,[],""
117,2760,4874,4875,4205,[],1,"",965,"","","","",4205,"[357,358,359]",""
118,2761,4876,4877,4205,[],1,"",965,"","","","",4205,"[357,358,359]",""
119,2762,4878,4879,4205,[],1,"",965,"","","","",4205,"[357,358,359]",""
120,2763,4971,4972,4205,[],1,"",965,"","","","",4205,"[357,358,359]",""
121,2764,4973,4974,4205,[],1,"",965,"","","","",4205,"[357,358,359]",""
122,2765,4975,4976,4205,[],1,"",965,"","","","",4205,"[357,358,359]",""
123,2766,4832,4833,4205,[],"","",966,967,"","","",4205,[],""
124,2767,3790,3791,4205,[],"","",968,969,"skill_book","","",4205,[],""
125,2736,3792,3793,4205,[],"","",970,971,"skill_book","","",4205,[],""
126,3104,4931,4932,4205,[],"","","","","","","",4205,[],""
127,3105,4933,4934,4205,[],"","","","","","","",4205,[],""
128,3106,4935,4936,4205,[],"","","","","","","",4205,[],""
129,2769,4821,4823,4205,[],"","",972,"","","","",4205,[],""
130,2768,3794,3795,4205,[],"","",973,974,"skill_book","","",4205,[],""
131,2770,4756,4757,4205,[],"","",943,944,"consume_quest_item_create_item","","",4205,[],""
132,2771,5081,5082,4205,[],"","","","","","","",4205,[],""
133,2772,5083,4187,4205,[],"","","","","","","",4205,[],""
