"rownum","Quest","Order","FlagsPresent","FlagsMissing","Text","bool","Message","MapPinsKeys1","i32","string","rid","[rid]","bool","[i32]","[i32]","i32","rid","row","[rid]"
32,2,19,"[2945,3008]",[],"Collect the 2 remaining Runes of Power from the Obelisks of Rust in the Red Vale.","","Collect Runes of Power",[27],0,"Collect the 2 remaining Runes of Power",27,[],"",[],[],10,"",228,"[2700,2701,2702]"
33,2,20,"[2945,3007]",[],"Collect the 2 remaining Runes of Power from the Obelisks of Rust in the Red Vale.","","Collect Runes of Power",[27],0,"Collect the 2 remaining Runes of Power",27,[],"",[],[],10,"",228,"[2700,2701,2702]"
34,2,21,[2945],[],"Collect all the Runes of Power in the Red Vale.","","Collect Runes of Power",[27],0,"Collect all 3 Runes of Power",27,[],"",[],[],10,"",228,"[2700,2701,2702]"
35,2,22,"[2950,2943]",[],"Activate the Obelisks of Rust in the Red Vale to collect the Runes of Power for the Hooded One.","","Activate the Obelisk of Rust",[27],0,"Activate the Obelisks of Rust\nCollect the Runes of Power",27,[],"",[],[],10,"",228,"[2700,2701,2702]"
36,2,23,[2945],[2943],"The Runes of Power are clearly powerful. Collect all that the Red Vale has to offer.","","Loot the Runes of Power",[27],0,"Search for the 3 Runes of Power",27,[],"",[],[],10,"",228,"[2700,2701,2702]"
37,2,24,[2950],[2943],"Residual magic clearly still resides in the Red Vale. Investigate the Obelisks of Rust for the Runes of Power.","","Investigate the Obelisks of Rust",[27],0,"Investigate the Obelisks of Rust\nCollect the Rune of Power",27,[],"",[],[],10,"",228,"[2700,2701,2702]"
38,2,25,[2894],[2943],"This vale is littered with the debris of countless battles. Search it for anything that may still be useful.","","Search the Red Vale",[27],0,"Search the Red Vale for Obelisks of Rust containing Runes of Power",27,[],"",[],[],10,"",228,"[2700,2701,2702]"
39,2,26,"[2943,2894]",[],"The runes you need to release the Hooded One are somewhere in the Red Vale. Look for them.","","Search for Runes of Power",[27],0,"Search the Red Vale for the 3 Runes of Power",27,[],"",[],[],10,"",228,"[2700,2701,2702]"
40,2,27,[2943],[],"To release the Hooded One, you must find the 3 runes in the Red Vale. Look for the Vale in the Grelwood.","","Find the Red Vale",[27],0,"Find the entrance to the Red Vale\nSearch the Red Vale for 3 Runes of Power","","[73,150]","",[],[],10,"",228,"[2700,2701,2702]"
41,2,28,[3456],[],"To release the Hooded One, you must find the 3 runes in the Red Vale. Look for the Red Vale in the Grelwood.","","Find the Red Vale",[27],0,"Find the entrance to the Red Vale in the Grelwood\nSearch the Red Vale for Obelisks of Rust which contain Runes of Power","",[],"",[],[],10,"",228,"[2700,2701,2702]"
42,2,29,[2942],[],"You have found the Tree of Souls. An ancient entity hangs upon it. Summon Una and ask her for advice.","","Ask Una for help",[18],0,"Summon Una and ask her about the entity in the Tree",18,[],"",[],[],10,"",228,[]
43,2,30,"[2941,2893]",[],"Search the Grelwood for any hint of what might have happened to the Count and his men that fateful night.","","Search the Grelwood",[18],0,"Search the Grelwood for evidence of the Count's activities","",[],"",[],[],10,"",228,[]
44,2,31,[2941],[],"Travel through Clearfell to the Grelwood and search for any clues about the night the Count took his men out there.","","Travel to the Grelwood",[18],0,"Travel through Clearfell to the Grelwood","",[],"",[],[],10,"",228,[]
45,4,0,[4710],[],"Quest Complete - You have found Count Lachlann's ring and helped revive the Hooded One.",1,"Quest Complete",[],0,"","",[],"",[],[],10,"",228,[]
46,4,1,[4707],[],"You have given Count Lachlann's ring to Una and she is reviving the Hooded One. Witness this.","","Witness the revival of the Hooded One",[8],0,"Witness the revival of the Hooded One","",[],"",[],[],10,"",228,[]
47,4,2,[4706],[],"To heal the Hooded One's runic wound, Una needs a ring from an ancient Count. Bring Count Lachlann's ring to her in Clearfell Encampment.","","Bring Count Lachlann's Ring to Una",[8],0,"Bring Count Lachlann's Ring to Una","",[],"",[],[],10,"",228,[2705]
48,4,3,[2896],[],"To heal the Hooded One's runic wound, Una needs a ring from an ancient Count. Find his grave past the Memorial Gate.","","Search for the Count's grave past the Memorial Gate",[34],0,"Search for the Count's grave past the Memorial Gate",34,[],"",[],[],10,"",228,[2705]
49,4,4,[4714],[],"Una has helped clear the roots. Continue through the Grim Tangle.","","Continue through the Grim Tangle",[30],0,"Continue through the Grim Tangle","",[],"",[],[],10,"",228,[]
50,4,5,[4709],[],"Speak to Una about the roots.","","Speak to Una about the roots",[30],0,"Speak to Una about the roots",30,[],"",[],[],10,"",228,[]
51,4,6,"[4701,4719]",[],"Summon Una to ask for help clearing the roots.","","Summon Una to ask for help clearing the roots",[30],0,"Summon Una to ask for help clearing the roots",30,[],"",[],[],10,"",228,[]
52,4,7,"[4701,2895]",[],"Una has told you about the Count's Signet. She has instructed you to travel through the Grim Tangle in the Grelwood.","","Travel through the Grim Tangle",[30],0,"Travel through the Grim Tangle","",[],"",[],[],10,"",228,[]
53,4,8,"[4701,4702]",[],"Una has told you about the Count's Signet. She has instructed you to travel through the Grim Tangle in the Grelwood.","","Travel to the Grim Tangle",[18],0,"Return to the entrance to the Grim Tangle in the Grelwood","",[],"",[],[],10,"",228,[]
54,4,9,[4701],[],"Una has told you about the Count's Signet. She has instructed you to travel through the Grim Tangle in the Grelwood.","","Find the Grim Tangle",[18],0,"Find the entrance to the Grim Tangle in the Grelwood","",[],"",[],[],10,"",228,[]
55,4,10,[4719],[4701],"You have found roots blocking the path forward through the Grim Tangle. They are impassable for now.","","The roots are impassable for now",[30],0,"The roots are impassable for now","",[],"",[],[],10,"",228,[]
56,5,0,[],[],"Quest Complete - You have returned the Smithing Tools to Renly and he has restored his salvage bench to its former glory.",1,"Quest Complete",[],0,"","",[],"",[4026],[],10,"",228,[]
57,5,1,[4942],[],"Bring the tools back to Renly.","","Bring the tools back to Renly",[8],0,"Bring the tools back to Renly","",[],"",[],[4026],10,"",228,[2711]
58,5,2,[2903],[],"Find Renly's tools.","","Find Renly's tools",[70],0,"Find Renly's tools",70,[],"",[],[4026],10,"",228,[2711]
59,5,3,[4943],[],"Travel to Ogham Village and find Renly's tools.","","Travel to Ogham Village",[70],0,"Travel to Ogham Village","",[],"",[],[4026],10,"",228,[2711]
60,5,4,[2957],[],"Speak to Renly in Clearfell Encampment.","","Speak to Renly",[8],0,"Speak to Renly","",[],"",[],[4026],10,"",228,[]
61,6,0,[3741],[],"Quest Complete - You have returned Una's lute to her and gained two [WeaponSetPassiveSkillPoints|Weapon Set Passive Skill Points] from her reward.",1,"Quest Complete",[],0,"","",[],"",[],[],10,"",228,[]
62,6,1,[3740],[],"You have returned Una's lute to her, and she has given you a reward.","","Use the Book of Specialisation",[8],0,"Use the Book of Specialisation","",[],"",[],[],10,"",228,[]
63,6,2,[2940],[],"You have returned Una's lute to her. Speak to her for your reward.","","Speak to Una",[8],0,"Speak to Una for a reward","",[],"",[],[],10,"",228,[]
64,6,3,[2939],[],"You have found Una's lute. Return it to her at Clearfell Encampment.","","Return the Lute to Una",[8],0,"Return Una's Lute to her","",[],"",[],[],10,"",228,[2694]
65,6,4,[2963],[],"You have spotted Una's lute in her home in Ogham Farmlands. Retrieve it for her.","","Retrieve Una's Lute",[65],0,"Retrieve Una's Lute",65,[],"",[],[],10,"",228,[2694]
66,6,5,"[2961,2895]",[],"Una's lute was left behind at her home in Ogham Farmlands. Look for it.","","Search for Una's Lute",[65],0,"Search Ogham Farmlands for Una's Lute",65,[],"",[],[],10,"",228,[2694]
67,6,6,[2961],[],"Una has asked you to find her lute, left behind at her home in Ogham Farmlands. Go there to look for it.","","Travel to Ogham Farmlands",[65],0,"Go to Ogham Farmlands\nFind Una's Lute","",[],"",[],[],10,"",228,[2694]
68,7,0,[2980],[],"Quest Complete - You have reunited Lachlann with his family.",1,"Quest Complete",[],0,"","",[],"",[],[],10,"",228,[]
69,7,1,[3110],[],"You have reunited Lachlann with his family... but it isn't going well. Give him the rest he deserves.","","End Lachlann's Suffering",[34],0,"Put Lachlann to rest",34,[],"",[],[],10,"",228,[]
70,7,2,[4705],[],"You have opened the Memorial Gate. Follow Lachlann.","","Follow Lachlann",[34],0,"Follow Lachlann","",[],"",[],[],10,"",228,[]
71,7,3,"[4703,4704]",[],"You have retrieved both pieces of the Memorial Gate key. Return to the Cemetery of the Eternals and open the gate.","","Return to the Cemetery of the Eternals",[34],0,"Return to the Cemetery of the Eternals and open the Memorial Gate","",[],"",[],[],10,"",228,"[2703,2704]"
72,7,4,"[2972,4704]",[4703],"Pick up Asinia's Memorial Key Piece.","","Pick up Asinia's Memorial Key Piece",[45],0,"Pick up Asinia's Memorial Key Piece",45,[],"",[],[],10,"",228,"[2703,2704]"
73,7,5,"[2971,4704]",[4703],"You have found Asinia, Praetor Draven's Consort. Destroy her and retrieve her piece of the Memorial Gate key.","","Destroy Asinia",[45],0,"Destroy Asinia, the Praetor's Consort",45,[],"",[],[],10,"",228,"[2703,2704]"
74,7,6,"[2898,4704]",[4703],"Search the Tomb of the Consort for Asinia.","","Explore the Tomb of the Consort",[45],0,"Search for Asinia in the Tomb of the Consort",45,[],"",[],[],10,"",228,"[2703,2704]"
75,7,7,"[3155,4704]",[4703],"Search the Tomb of the Consort for Asinia.","","Enter the Tomb of the Consort",[34],0,"Enter the Tomb of the Consort in search of Asinia",34,[],"",[],[],10,"",228,"[2703,2704]"
76,7,8,[4704],[4703],"You have destroyed Praetor Draven, but Asinia remains yet to be found. Search for the Tomb of the Consort.","","Return to the Cemetery of the Eternals",[34],0,"Return to the Cemetery of the Eternals and search for the Tomb of the Consort","",[],"",[],[],10,"",228,"[2703,2704]"
77,7,9,[2977],[4703],"Pick up Draven's Memorial Key Piece.","","Pick up Draven's Memorial Key Piece",[39],0,"Pick up Draven's Memorial Key Piece",39,[],"",[],[],10,"",228,"[2703,2704]"
78,7,10,[2976],[4703],"You have found Praetor Draven. Destroy him and retrieve his piece of the Memorial Gate key.","","Destroy Praetor Draven",[39],0,"Destroy Praetor Draven",39,[],"",[],[],10,"",228,"[2703,2704]"
79,7,11,[2897],[4703],"Search the Mausoleum for Draven and his Consort.","","Search the Mausoleum",[39],0,"Search the Mausoleum for Draven and his Consort",39,[],"",[],[],10,"",228,"[2703,2704]"
80,7,12,[3154],[4703],"Search the Mausoleum for Draven and his Consort.","","Enter the Mausoleum",[34],0,"Enter the Mausoleum",34,[],"",[],[],10,"",228,"[2703,2704]"
81,7,13,[4704],[4703],"You have destroyed Praetor Draven and taken his Memorial Key piece, but his consort, Asinia, has yet to be found. Return to the Cemetery of the Eternals and search for the Tomb of the Consort.","","Return to the Cemetery of the Eternals",[34],0,"Return to the Cemetery of the Eternals and search for the Tomb of the Consort",34,[],"",[],[],10,"",228,"[2703,2704]"
82,7,14,"[2977,4703]",[4704],"Pick up Draven's Memorial Key Piece.","","Pick up Draven's Memorial Key Piece",[39],0,"Pick up Draven's Memorial Key Piece",39,[],"",[],[],10,"",228,"[2703,2704]"
83,7,15,"[2976,4703]",[4704],"You have found Praetor Draven. Destroy him and retrieve his piece of the Memorial Gate key.","","Destroy Praetor Draven",[39],0,"Destroy Praetor Draven",39,[],"",[],[],10,"",228,"[2703,2704]"
84,7,16,"[2897,4703]",[4704],"Search the Mausoleum for Praetor Draven.","","Search the Mausoleum",[39],0,"Search the Mausoleum for Praetor Draven",39,[],"",[],[],10,"",228,"[2703,2704]"
85,7,17,"[3154,4703]",[4704],"Search the Mausoleum for Praetor Draven.","","Enter the Mausoleum",[34],0,"Investigate the Mausoleum in search of Praetor Draven",34,[],"",[],[],10,"",228,"[2703,2704]"
86,7,18,[4703],[4704],"You have destroyed Asinia, but Draven remains yet to be found. Return to the Cemetery of the Eternals and search for the Mausoleum.","","Return to the Cemetery of the Eternals",[34],0,"Return to the Cemetery of the Eternals and search for Draven","",[],"",[],[],10,"",228,"[2703,2704]"
87,7,19,[2972],[],"Pick up Asinia's Memorial Key Piece.","","Pick up Asinia's Memorial Key Piece",[45],0,"Pick up Asinia's Memorial Key Piece",45,[],"",[],[],10,"",228,"[2703,2704]"
88,7,20,[2971],[],"You have found Asinia, Praetor Draven's Consort. Destroy her and retrieve her piece of the Memorial Gate key.","","Destroy Asinia",[45],0,"Destroy Asinia",45,[],"",[],[],10,"",228,"[2703,2704]"
89,7,21,[2898],[],"Search the Tomb of the Consort for Draven and his Consort.","","Explore the Tomb of the Consort",[45],0,"Explore the Tomb of the Consort in search of Draven and his Consort",45,[],"",[],[],10,"",228,"[2703,2704]"
90,7,22,[3155],[],"Search the Tomb of the Consort for Draven and his Consort.","","Enter the Tomb of the Consort",[34],0,"Explore the Tomb of the Consort in search of Draven and his Consort",34,[],"",[],[],10,"",228,"[2703,2704]"
91,7,23,[2964],[],"Lachlann has asked you to help him find the keys to the Memorial gate to save his family. Find Draven and his Consort in the Tomb of the Consort and the Mausoleum.","","Find Draven and his Consort",[34],0,"Search the Cemetery of the Eternals for the Tomb of the Consort and the Mausoleum",34,[],"",[],[],10,"",228,"[2703,2704]"
92,8,0,[4791],[],"Quest Complete - You have cleansed the Ritual Altars for Finn and he has rewarded you with an Uncut Support Gem.",1,"Quest Complete",[],0,"","",[],"",[],[],10,"",228,[]
93,8,1,[2991],[],"You have defeated the King in the Mists and cleansed the Ritual Altars in Freythorn. Speak to Finn for a reward.","","Talk to Finn for your reward",[8],0,"Talk to Finn for your reward","",[],"",[],[],10,"",228,[]
94,8,2,[2990],[],"You have found the King in the Mists guarding the final Ritual Altar in Freythorn. Defeat him to cleanse the altar.","","Defeat the King in the Mists",[62],0,"Defeat the King in the Mists",62,[],"",[],[],10,"",228,[]
95,8,3,[2901],[],"Search for Ritual Altars in Freythorn, and cleanse them.","","Cleanse the Ritual Altars",[62],0,"Search for Ritual Altars and cleanse them",62,[],"",[],[],10,"",228,[]
96,8,4,[2987],[],"Search for Freythorn above the Hunting Grounds, beyond the Graveyard.","","Find Freythorn",[55],0,"Search for Freythorn above the Hunting Grounds","",[],"",[],[],10,"",228,[]
97,9,0,[3152],[],"Quest Complete - You have killed the Executioner and freed Leitis. You have been rewarded with an Uncut Skill Gem.",1,"Quest Complete",[],0,"","",[],"",[],[],10,"",228,[]
98,9,1,[3151],[],"You have freed Leitis and she has returned to Clearfell. Return to Clearfell and speak to her.","","Talk to Leitis in Clearfell",[8],0,"Talk to Leitis in Clearfell","",[],"",[],[],10,"",228,[]
99,9,2,[3149],[],"You have freed the Executioner's prisoner. Talk to her.","","Talk to Leitis",[70],0,"Talk to Leitis",70,[],"",[],[],10,"",228,[]
100,9,3,[3148],[],"The Executioner had an imprisoned woman nearby. Free her.","","Free the Prisoner",[70],0,"Free the Prisoner",70,[],"",[],[],10,"",228,[]
101,9,4,[3077],[],"You have spotted the Executioner that tried to hang you before your escape. Kill him.","","Kill the Executioner",[70],0,"Kill the Executioner",70,[],"",[],[],10,"",228,[]
102,9,5,[2903],[],"You have found Ogham Village. Look for the Seed of Corruption.","","Search for the Seed of Corruption",[70],0,"Search for the Seed of Corruption",70,[],"",[],[],10,"",228,[]
103,9,6,[2902],[],"Continue through Ogham Farmlands to look for the entrance to Ogham Village.","","Find the entrance to the Village",[65],0,"Find the entrance to the Village",65,[],"",[],[],10,"",228,[]
104,9,7,[2900],[],"Cut through the Hunting Grounds and find the entrance to Ogham Village.","","Find the entrance to the Village",[55],0,"Find the entrance to the Village",55,[],"",[],[],10,"",228,[]
105,9,8,[4710],[],"Una has told you to get to the village by cutting through the Hunting Grounds. Return to the Graveyard and enter the Hunting Grounds.","","Enter the Hunting Grounds",[55],0,"Enter the Hunting Grounds",55,[],"",[],[],10,"",228,[]
106,10,0,[3002],[],"Quest Complete - You have slain the Mad Wolf, freeing the Ezomytes from Count Geonor's reign.",1,"Quest Complete",[],0,"","",[],"",[],[],10,"",228,[]
107,10,1,[3083],[],"Speak to the Hooded One to travel to the Vastiri Outskirts in pursuit of Oriana and the Beast.","","Travel East",[8],0,"Travel East","",[],"",[],[],10,"",228,[]
108,10,2,[3000],[],"You have slain the Mad Wolf and freed Ogham, but Oriana has escaped with the Beast. Return to town and speak to the Hooded one.","","Return to Town",[8],0,"Return to Clearfell Encampment and speak to the Hooded One","",[],"",[],[],10,"",228,[]
109,10,3,[2998],[],"You have finally come face to face with Count Geonor. Slay him and free Ogham.","","Kill the Mad Wolf",[80],0,"Slay the Count of Ogham",80,[],"",[],[],10,"",228,[]
110,10,4,[2999],[],"You have found the diseased heart of the Manor. Face Count Geonor.","","Face the Mad Wolf",[80],0,"Approach the throne",80,[],"",[],[],10,"",228,[]
111,10,5,[1972],[],"You have spotted the Mad Wolf. Find your way into the pit below the Manor.","","Find your way down",[80],0,"Find your way down beneath the Manor",80,[],"",[],[],10,"",228,[]
112,10,6,[2905],[],"Something horrible has happened in the Manor. Fight through the madness and find Count Geonor.","","Search the Manor",[80],0,"Search the manor for Count Geonor",80,[],"",[],[],10,"",228,[]
113,10,7,[2680],[],"Leitis has asked you to find a way into the Manor and to depose Count Geonor.","","Infiltrate the Manor",[80],0,"Infiltrate the Manor beyond the Village\nFind Count Geonor","",[],"",[],[],10,"",228,[]
114,16,0,[2907],[],"Quest Complete - You have rescued the Ardura Caravan and earned passage upon it.",1,"Quest Complete",[],0,"","",[],"",[],[],10,"",228,[]
115,16,1,[4324],[],"You have rescued the Ardura Caravan and earned passage upon it. Enter the Ardura Caravan.","","Enter the Ardura Caravan",[109],0,"Enter the Ardura Caravan",106,[],"",[],[],10,"",228,[]
116,16,2,[4322],[],"You have defeated the Sun Clan hyenas and their leader, Rathbreaker. Return to Zarka and give her the news.","","Speak to Zarka",[106],0,"Speak to Zarka",106,[],"",[],[],10,"",228,[]
117,16,3,[4321],[],"You have found the Sun Clan leader, Rathbreaker. Defeat him.","","Defeat Rathbreaker",[106],0,"Defeat Rathbreaker",106,[],"",[],[],10,"",228,[]
118,16,4,[4320],[],"The Maraketh Caravan cannot travel while hyenic raiders are harassing the trade route. Find them and destroy them.","","Defeat the Hyenic Raiders",[106],0,"Find the Hyenic Raiders and destroy them",106,"[87,164]","",[],[],10,"",228,[]
119,16,5,[3169],[],"The Hooded One believes the Maraketh will lend aid in pursuit of the Seed of Corruption. Find a caravan on the nearby trade route.","","Earn passage on the caravan",[106],0,"Speak to someone in charge at the caravan",106,[],"",[],[],10,"",228,[]
120,16,6,[2906],[],"Speak to the Hooded One concerning what to do next.","","Speak to the Hooded One",[106],0,"Speak to the Hooded One",106,[],"",[],[],10,"",228,[]
121,17,0,[4586],[],"Quest Complete - You have pursued the Beast across the Vastiri Outskirts and defeated Jamanra, the Abomination in combat.",1,"Quest Complete",[],0,"","",[],"",[],[],10,"",228,[]
122,17,1,[1523],[],"The lost empire of the Vaal may hold ancient knowledge that will aid in containing the Beast. Talk to Asala to travel south. The Maraketh will bring you to the Sandswept Marsh.","","Talk to Asala to travel south to the Sandswept Marsh",[105],0,"Talk to Asala to travel south to the Sandswept Marsh","",[],"",[],[],10,"",228,[]
123,17,2,[2816],[],"The Countess escaped with the Beast once again. Speak to the Hooded One for further clarity on what to do next. He can be found in a shrine to the northwest of the caravan, that you must travel to on foot.","","Head down a ramp northwest of the Caravan's midpoint",[105],0,"Use a ramp to the northwest of the Caravan's midpoint to find the Hooded One","",[],"",[],[],10,"",228,[]
124,17,3,[3725],[],"The Countess escaped with the Beast once again. Speak to the Hooded One for further clarity on what to do next. He can be found in a shrine to the northwest of the caravan, that you must travel to on foot.","","Speak to the Hooded One in the Shrine to the Northwest",[109],0,"Speak to the Hooded One in the Shrine to the Northwest of the Caravan","",[],"",[],[],10,"",228,[]
125,17,4,[4584],[],"Defeat Jamanra, the Abomination in combat.","","Defeat Jamanra, the Abomination",[185],0,"Defeat Jamanra, the Abomination","",[],"",[],[],10,"",228,[]
126,17,5,[2923],[],"According to Risu, the Beast is kept in a cage behind Jamanra, the Abomination's throne. Fight your way there.","","Fight your way to the the Throne",[185],0,"Fight your way to Jamanra, the Abomination's throne","",[],"",[],[],10,"",228,[]
127,17,6,[2920],[],"According to Risu, the Beast is kept in a cage behind Jamanra, the Abomination's throne. Fight your way there.","","Fight your way forward",[184],0,"Fight your way through the Faridun","",[],"",[],[],10,"",228,[]
128,17,7,[4583],[],"Use the Desert Map to travel to the Dreadnought.","","Use the Desert Map to travel to the Dreadnought",[103],0,"Use the Desert Map to travel to the Dreadnought","",[],"",[],[],10,"",228,[]
129,17,8,[4582],[],"The Ardura have finally caught up to the Faridun. Speak to Asala to learn about the final battle.","","Speak to Asala",[109],0,"Speak to Asala","",[],"",[],[],10,"",228,[]
130,17,9,[4581],[],"The Faridun have escaped with the Beast. Defeat Tor Gul, the Defiler, so that you may continue pursuing them.","","Defeat Tor Gul, the Defiler",[170],0,"Defeat Tor Gul, the Defiler",170,[],"",[],[],10,"",228,[]
131,17,10,[4580],[],"Defeat Jamanra, the Abomination atop Deshar.","","Defeat Jamanra, the Abomination",[170],0,"Defeat Jamanra, the Abomination",170,[],"",[],[],10,"",228,[]
