"rownum","rid","[rid]","[i32]"
269,3557,[20172],[1]
270,2937,[99],[15]
271,2939,[99],[30]
272,3195,[18768],[40]
273,3432,[19674],[1]
274,3433,[19623],[1]
275,3553,[20760],[1]
276,3556,[18899],[100]
277,3562,[4011],[10000]
278,3183,[18228],[100]
279,3272,[2322],[1]
280,3555,[20017],[100]
281,2938,[99],[12]
282,2951,[101],[12]
283,2990,[210],[7]
284,3268,[20743],[1]
285,3458,[19034],[25]
286,3604,[18979],[25]
287,2940,[99],[7]
288,2993,[210],[15]
289,2994,[210],[15]
290,2999,[210],[15]
291,3182,[18228],[100]
292,3185,[18417],[100]
293,2936,[99],[25]
294,2948,[101],[15]
295,2969,[70],[50]
296,3156,[168],[3]
297,3207,[169],[25]
298,3269,[170],[50]
299,3270,[1080],[-50]
300,3462,[1128],[2]
301,2949,[101],[5]
302,3187,[18417],[40]
303,3559,[19195],[-30]
304,3560,[20734],[100]
305,3563,[4381],[2]
306,3894,[193],[30]
307,3434,[19681],[50]
308,3524,[958],[1]
309,3796,[22209],[1]
310,3694,[21059],[10]
311,2351,[135],[12]
312,2352,[135],[12]
313,2353,[135],[35]
314,2354,[135],[10]
315,2356,[135],[15]
316,2359,[135],[15]
317,3732,[696],[1]
318,3781,"[21142,21144,21145]","[1,60,5000]"
319,3155,[18902],[20]
320,3730,[8015],[1]
321,3729,[12480],[1]
322,3742,[21700],[1]
323,3293,[9038],[50]
324,3375,[3266],[15]
325,3764,[21061],[100]
326,3346,[1082],[20]
327,3295,[21158],[20]
328,3757,[21586],[1]
329,3798,[21867],[1]
330,3705,[21529],[1]
331,3741,[3118],[1]
332,3469,[7390],[25]
333,3731,[1617],[1]
334,3790,[21691],[6000]
335,3788,[22377],[2]
336,2385,[144],[20]
337,2387,[144],[20]
338,3895,[193],[25]
339,3482,[9487],[1]
340,3483,[9488],[1]
341,3809,[15815],[1]
342,2299,[140],[25]
343,2300,[140],[30]
344,2301,[140],[25]
345,2302,[140],[30]
346,2305,[140],[25]
347,3693,[21523],[1]
348,3789,[21690],[1]
349,3784,[21941],[1]
350,3770,[21542],[10]
351,3727,[21157],[4]
352,3714,[471],[25]
353,3749,[21716],[15]
354,3210,[9019],[7]
355,3702,[21230],[1]
356,3690,[1326],[1]
357,3684,[21166],[1]
358,3468,[2229],[20]
359,3818,[585],[10]
360,3817,[21841],[1]
361,3695,[21060],[5]
362,3697,[21164],[1]
363,3698,[21162],[100]
364,3696,[21064],[10]
365,3682,[21168],[1]
366,3819,[2609],[1]
367,3811,[22036],[100]
368,3390,[133],[40]
369,3760,[21063],[10000]
370,3151,[132],[40]
371,3152,[132],[75]
372,3153,[132],[1000]
373,3765,[21860],[100]
374,3748,[1233],[150]
375,3870,[18017],[100]
376,2267,[138],[30]
377,2270,[138],[25]
378,3794,[21742],[1]
379,3457,[19034],[15]
380,3780,[451],[1]
381,3842,[451],[1]
382,3783,[21940],[1]
383,2992,[210],[20]
384,2517,[113],[125]
385,3523,[160],[-25]
386,3758,[5686],[1]
387,2955,[335],[5]
388,3787,[21702],[1]
389,2928,[3013],[650]
390,2929,[3013],[1000]
391,2930,[3013],[800]
392,3728,[14764],[5000]
393,3711,[21624],[1]
394,2887,[119],[2700]
395,2888,[119],[900]
396,2889,[119],[750]
397,2890,[119],[600]
398,2892,[119],[450]
399,2893,[119],[1800]
400,2894,[119],[1350]
401,2895,[119],[300]
402,3873,[1478],[100]
403,2328,[142],[40]
404,2331,[142],[30]
405,2333,[142],[30]
406,2817,[1105],[15]
407,2827,[1107],[50]
408,3321,[4822],[1]
409,3793,[21543],[1]
410,3816,[22158],[1]
411,3801,[21965],[40]
412,3797,[21870],[32]
413,3739,[2764],[15]
414,3740,[2764],[20]
415,2982,[70],[25]
416,2970,[70],[10]
417,3805,[18544],[25]
418,3826,[22238],[1]
419,3734,[104],[1]
420,3429,[4629],[5]
421,3273,[5153],[100]
422,3196,[18768],[175]
423,3713,[12653],[1]
424,3683,[21169],[1]
425,3685,[21167],[1]
426,3737,[19871],[-20]
427,3733,[1245],[1]
428,3226,[153],[-50]
429,3756,[15942],[1]
430,3810,[21942],[1]
431,3484,[9485],[1]
432,3485,[9486],[1]
433,3766,[21876],[1]
434,3802,[21873],[50]
435,3803,[21873],[100]
436,3769,[21874],[50]
437,3215,[18627],[-50]
438,3216,[18627],[45]
439,3804,[21967],[1]
440,3208,[169],[25]
441,3768,[15737],[1]
442,3686,[21139],[1]
443,3525,[1276],[1]
444,3138,[14121],[-40]
445,3139,[14121],[-50]
446,3131,[201],[40]
447,3135,[14120],[-50]
448,3189,[18229],[75]
449,3704,[19393],[25]
450,3744,[20747],[4]
451,3521,[2398],[1]
452,3735,[21556],[25]
453,3712,[21493],[1]
454,3691,[21496],[1]
455,3738,[20192],[1]
456,10015,[3239],[22]
