"rownum","rid","[rid]","[rid]","[rid]","bool","bool"
79,6529,[6528],[],[],"",""
80,6988,[5619],[],[],"",""
81,3940,[7075],[],[],"",""
82,7360,[7360],[],[],"",""
83,9209,[83],[],[],"",""
84,7737,[84],[],[],"",""
85,7881,[2803],[],[],"",""
86,7882,[39],[],[],"",""
87,7887,[2809],[],[],"",""
88,7883,[2914],[],[],"",""
89,7884,[2931],[],[],"",""
90,7885,[7888],[],[],"",""
91,7886,[7889],[],[],"",""
92,7862,[7752],[],[],"",""
93,237,[9315],[],[],"",""
94,9438,[423],[],[],"",""
95,9434,[3533],[],[],"",""
96,9435,[3281],[],[],"",""
97,9436,[4456],[],[],"",""
98,9437,[7249],[],[],"",""
99,9425,[9424],[],[],"",""
100,9477,[9478],[],[],"",""
101,9479,[3304],[],[],"",""
102,9480,[9481],[],[],"",""
103,9494,[1865],[],[],"",""
104,9495,[471],[],[],"",""
105,9496,[472],[],[],"",""
106,9497,[473],[],[],"",""
107,9498,[474],[],[],"",""
108,9567,[9568],[],[],"",""
109,9571,[9569],[],[],"",""
110,9572,[9573],[],[],"",""
111,9593,[14105],[],[],"",""
112,9594,[466],[],[],"",""
113,9635,[952],[],[],"",""
114,9674,[9674],[],[],"",""
115,9714,[2028],[],[],"",""
116,10323,[2260],[],[],"",""
117,10324,[1667],[],[],"",""
118,10325,[1666],[],[],"",""
119,10329,[4654],[],[],"",""
120,15198,[4654],[],[],"",""
121,10407,[10406],[],[],"",""
122,10405,[435],[],[],"",""
123,10408,[598],[],[],"",""
124,10409,[17656],[],[],"",""
125,10410,[7988],[],[],"",""
126,10848,[468],[],[],"",""
127,10849,[3780],[],[],"",""
128,10923,[8025],[],[],"",""
129,10980,[10981],[],[],"",""
130,11013,[5882],[],[],"",""
131,11320,[543],[],[],"",""
132,11323,[95],[],[],"",""
133,11358,[11357],[],[],"",""
134,11362,[11361],[],[],"",""
135,11359,[1199],[],[],"",""
136,11473,[133],[],[],"",""
137,11523,[11524],[],[],"",""
138,11802,[169],[],[],"",""
139,11843,[11846],[],[],"",""
140,11944,[5233],[],[],"",""
141,11878,[439],[],[],"",""
142,11879,[124],[],[],"",""
143,11972,[1357],[],[],"",""
144,11973,[102],[],[],"",""
145,12196,[573],[],[],"",""
146,12197,[3239],[],[],"",""
147,12191,[203],[],[],"",""
148,12813,[12814],[],[],"",""
149,13220,[9607],[],[],"",""
150,13888,[13889],[],[],"",""
151,13924,[13929],[],[],"",""
152,14296,[10173],[],[],"",""
153,14297,[14298],[],[],"",""
154,14463,[2748],[],[],"",""
155,14465,[14464],[],[],"",""
156,15812,[15811],[],[],"",""
157,15943,[11399],[],[],"",""
158,16024,[3502],[],[],"",""
159,16915,[16915],[],[],"",""
160,16312,[16312],[],[],"",""
161,17035,[17033],[],[],"",""
162,17036,[17034],[],[],"",""
163,17363,[444],[],[],"",""
164,17364,[648],[],[],"",""
165,17388,[557],[],[],"",""
166,17389,[705],[],[],"",""
167,17390,[1606],[],[],"",""
168,17391,[696],[],[],"",""
169,17392,[114],[],[],"",""
170,17778,[9244],[],[],"",""
171,17779,[17805],[],[],"",""
172,17772,[17798],[],[],"",""
173,18469,[19539],[],[],"",""
174,18472,[18471],[],[],"",""
175,9740,[28],[],[23],"",""
176,9741,[29],[],[23],"",""
177,7687,[728],[23],[],"",""
178,7683,[7685],[23],[],"",""
179,7684,[7686],[23],[],"",""
180,13640,[13638],[],[50],"",""
181,13641,[13639],[],[50],"",""
182,14402,[14404],[17],[],"",""
183,10850,[95],"[0,7,8,9]",[],"",""
184,18512,[140],[5],[],1,""
185,18511,[138],[5],[],1,""
186,18513,[142],[5],[],1,""
187,3861,[24],[19],[],"",""
188,7252,[189],[19],[],"",""
189,9050,[441],[19],[],"",""
190,9062,[118],[19],[],"",""
191,11251,[11250],[19],[],"",""
192,3869,[24],"[8,9]",[],"",""
193,18520,[171],"[8,9]",[],"",""
194,6014,[70],"[8,9]",[],"",""
195,6015,[210],"[8,9]",[],"",""
196,7239,[696],"[8,9]",[],"",""
197,7436,[5067],"[8,9]",[],"",""
198,7435,[7437],"[8,9]",[],"",""
199,7434,[2490],"[8,9]",[],"",""
200,10411,[474],"[8,9]",[],"",""
201,10412,[9244],"[8,9]",[],"",""
202,17290,[12564],"[8,9,39]",[],"",""
203,17291,[5977],"[8,9,39]",[],"",""
204,6208,[117],[0],[],"",""
205,3433,[24],[0],[],"",""
206,4067,[1895],[0],[],"",""
207,4132,[135],[0],[],"",""
208,4731,[4732],[0],[],"",""
209,6490,[543],[0],[],"",""
210,13620,[13629],[56],[],"",""
211,13246,[18523],[56],[],"",""
212,18528,[18529],[],[],"",""
213,1366,[117],[7],[],"",""
214,1375,[1374],[7],[],"",""
215,1608,[728],[7],[],"",""
216,1368,[7231],[7],[],"",""
217,1609,[26],[7],[],"",""
218,3853,[24],[7],[],"",""
219,4059,[70],[7],[],"",""
220,4133,[135],[7],[],"",""
221,12154,[2490],[7],[],"",""
222,10413,[3304],[7],[],"",""
223,7108,[3566],[7],[],"",""
224,5267,[5266],[7],[],"",""
225,12155,[5067],[7],[],"",""
226,5270,[5269],[7],[],"",""
227,7240,[7241],[7],[],"",""
228,5377,[5376],[7],[],"",""
229,12153,[7437],[7],[],"",""
230,8874,[8873],[7],[],"",""
231,18419,[18419],[7],[],"",""
232,18833,[1100],[],[],"",""
233,18987,[18989],[],[],"",""
234,7739,[2073],[],[],"",""
235,19108,[9573],[],[],"",""
236,19390,[4824],[],[],"",""
237,19431,[9019],[],[],"",""
238,19435,[568],[],[],"",""
239,19616,[52],[],[],"",""
240,19617,[53],[],[],"",""
241,19834,[19835],[],[],"",""
242,19833,[19833],[],[],"",""
243,19832,[118],"[67,68,69,70,71,72]",[],"",""
244,19837,[19837],[],[],"",""
245,19838,[19838],[],[],"",""
246,19839,[19839],[],[],"",""
247,19840,[19840],[],[],"",""
248,19841,[19841],[],[],"",""
249,19842,[19842],[],[],"",""
250,20214,[20212],[],[],"",""
251,20215,[20213],[],[],"",""
252,20323,[8873],"[8,0]",[],"",""
253,20346,[171],[57],[],"",""
254,20567,[20568],[],[],"",""
255,20650,[20650],[],[],1,""
256,20957,"[20953,20954,20955]",[],[],"",""
257,20944,[20956],[],[],"",""
258,20945,[20949],[],[],"",""
259,20946,[20950],[],[],"",""
260,20947,[20951],[],[],"",""
261,20948,[20952],[],[],"",""
262,21311,[21346],[],[],"",""
263,21308,[21390],[],[],"",""
264,21391,[21391],[],[],"",""
265,21099,[21100],[],[],"",""
266,21117,[21118],[],[],"",""
267,21115,[21116],[],[],"",""
268,21217,[21218],[],[],"",""
269,21662,[21734],[],[],"",""
270,22130,[22129],[],[],"",""
271,22132,[437],[],[],"",""
272,22168,[127],[],[],"",1
273,22169,[113],[],[],"",1
274,22170,[110],[],[],"",1
275,22181,[24],[],[],"",1
276,22187,[118],[],[],"",1
277,22190,[562],[],[],"",1
278,22192,[568],[],[],"",1
279,22193,[22194],[],[],"",1
280,22327,[24],[],[],"",""
281,22328,[84],[],[],"",""
282,22356,[84],[],[],"",1
283,22357,[423],[],[],"",1
284,22358,[70],[],[],"",1
285,22359,[135],[],[],"",1
286,22360,[144],[],[],"",1
287,22481,[22482],[],[],"",""
288,1407,[22485],[],[],1,""
289,8410,[22584],[],[],"",""
