"rownum","string_0","string_8","string_8 (French)","string_8 (German)","string_8 (Japanese)","string_8 (Korean)","string_8 (Portuguese)","string_8 (Russian)","string_8 (Spanish)","string_8 (Thai)","string_8 (Traditional Chinese)","string_16","string_24","string_24 (French)","string_24 (German)","string_24 (Japanese)","string_24 (Korean)","string_24 (Portuguese)","string_24 (Russian)","string_24 (Spanish)","string_24 (Thai)","string_24 (Traditional Chinese)","string_32","[rid]_40"
10,"BaseDefenceHillock2","Modify an Armour Piece's quality to 26%","Fait passer la Qualité d'une armure à 26%","Verändert die Qualität eines Rüstungsstücks auf 26%","防具の品質を26%にする","방어구의 퀄리티를 26%로 수정","Modifica a qualidade de uma Armadura para 26%","Улучшить качество доспеха до 26%","Modifica la calidad de una pieza de armadura al 26%","เปลี่ยนแปลง แผนที่ ให้มีค่าคุณภาพ 26%","調整護甲品質至 26%","set_quality armour 26","","","","","","","","","","","",[]
11,"BaseDefenceHillock3","Modify an Armour Piece's quality to 28%","Fait passer la Qualité d'une armure à 28%","Verändert die Qualität eines Rüstungsstücks auf 28%","防具の品質を28%にする","방어구의 퀄리티를 28%로 수정","Modifica a qualidade de uma Armadura para 28%","Улучшить качество доспеха до 28%","Modifica la calidad de una pieza de armadura al 28%","เปลี่ยนแปลง แผนที่ ให้มีค่าคุณภาพ 28%","調整護甲品質至 28%","set_quality armour 28","","","","","","","","","","","",[]
12,"CartEscortHillock1","Modify a Weapon's quality to 24%","Fait passer la Qualité d'une arme à 24%","Verändert die Qualität einer Waffe auf 24%","武器の品質を24%にする","무기의 퀄리티를 24%로 수정","Modifica a qualidade de uma Arma para 24%","Улучшить качество оружия до 24%","Modifica la calidad de un arma al 24%","เปลี่ยนแปลง แผนที่ ให้มีค่าคุณภาพ 24%","調整武器品質至 24%","set_quality weapon 24","","","","","","","","","","","",[]
13,"CartEscortHillock2","Modify a Weapon's quality to 26%","Fait passer la Qualité d'une arme à 26%","Verändert die Qualität einer Waffe auf 26%","武器の品質を26%にする","무기의 퀄리티를 26%로 수정","Modifica a qualidade de uma Arma para 26%","Улучшить качество оружия до 26%","Modifica la calidad de un arma al 26%","เปลี่ยนแปลง แผนที่ ให้มีค่าคุณภาพ 26%","調整武器品質至 26%","set_quality weapon 26","","","","","","","","","","","",[]
14,"CartEscortHillock3","Modify a Weapon's quality to 28%","Fait passer la Qualité d'une arme à 28%","Verändert die Qualität einer Waffe auf 28%","武器の品質を28%にする","무기의 퀄리티를 28%로 수정","Modifica a qualidade de uma Arma para 28%","Улучшить качество оружия до 28%","Modifica la calidad de un arma al 28%","เปลี่ยนแปลง แผนที่ ให้มีค่าคุณภาพ 28%","調整武器品質至 28%","set_quality weapon 28","","","","","","","","","","","",[]
15,"LabDefenceHillock1","Modify a Flask's quality to 22%","Fait passer la Qualité d'un Flacon à 22%","Verändert die Qualität eines Fläschchens auf 22%","フラスコの品質を22%にする","플라스크의 퀄리티를 22%로 수정","Modifica a qualidade de um Frasco para 22%","Улучшить качество флакона до 22%","Modifica la calidad de un frasco al 22%","เปลี่ยนแปลง แผนที่ ให้มีค่าคุณภาพ 22%","調整藥劑品質至 22%","set_quality flask 22","","","","","","","","","","","",[]
16,"LabDefenceHillock2","Modify a Flask's quality to 24%","Fait passer la Qualité d'un Flacon à 24%","Verändert die Qualität eines Fläschchens auf 24%","フラスコの品質を24%にする","플라스크의 퀄리티를 24%로 수정","Modifica a qualidade de um Frasco para 24%","Улучшить качество флакона до 24%","Modifica la calidad de un frasco al 24%","เปลี่ยนแปลง แผนที่ ให้มีค่าคุณภาพ 24%","調整藥劑品質至 24%","set_quality flask 24","","","","","","","","","","","",[]
17,"LabDefenceHillock3","Modify a Flask's quality to 26%","Fait passer la Qualité d'un Flacon à 26%","Verändert die Qualität eines Fläschchens auf 26%","フラスコの品質を26%にする","플라스크의 퀄리티를 26%로 수정","Modifica a qualidade de um Frasco para 26%","Улучшить качество флакона до 26%","Modifica la calidad de un frasco al 26%","เปลี่ยนแปลง แผนที่ ให้มีค่าคุณภาพ 26%","調整藥劑品質至 26%","set_quality flask 26","","","","","","","","","","","",[]
18,"LabDefenceLeo1","","","","","","","","","","","","Modify a Flask's quality to 22%","Fait passer la qualité d'un Flacon à 22%","Verändert die Qualität eines Fläschchens auf 22%","フラスコの品質を22%に改変する","플라스크의 퀄리티를 22%로 수정","Modifica a qualidade de um Frasco para 22%","Улучшить качество флакона до 22%","Modifica la calidad de un frasco al 22%","เปลี่ยนแปลง ขวดยา ให้มีค่าคุณภาพ 22%","調整藥劑品質至 22%","set_quality flask 22",[]
19,"LabDefenceLeo2","","","","","","","","","","","","Modify a Flask's quality to 24%","Fait passer la qualité d'un Flacon à 24%","Verändert die Qualität eines Fläschchens auf 24%","フラスコの品質を24%に改変する","플라스크의 퀄리티를 24%로 수정","Modifica a qualidade de um Frasco para 24%","Улучшить качество флакона до 24%","Modifica la calidad de un frasco al 24%","เปลี่ยนแปลง ขวดยา ให้มีค่าคุณภาพ 24%","調整藥劑品質至 24%","set_quality flask 24",[]
20,"LabDefenceLeo3","","","","","","","","","","","","Modify a Flask's quality to 26%","Fait passer la qualité d'un Flacon à 26%","Verändert die Qualität eines Fläschchens auf 26%","フラスコの品質を26%に改変する","플라스크의 퀄리티를 26%로 수정","Modifica a qualidade de um Frasco para 26%","Улучшить качество флакона до 26%","Modifica la calidad de un frasco al 26%","เปลี่ยนแปลง ขวดยา ให้มีค่าคุณภาพ 26%","調整藥劑品質至 26%","set_quality flask 26",[]
21,"LabDefenceJorgin1","Transform a non-unique Amulet into a Tier 1 Talisman","Transforme une Amulette (non unique) en un Talisman de Palier 1","Verwandelt ein Amulett (einzigartiges ausgenommen) in einen Talisman des Levels 1","非ユニークアミュレットをティア1タリスマンに変化させる","비-고유 목걸이를 1등급 부적으로 변경","Transforma um Amuleto não único em um Talismã de Tier 1","Превратить неуникальный амулет в талисман 1 уровня","Transforma un amuleto que no es único en un talismán de grado 1","แปรสภาพ สร้อยที่ไม่ใช่ ยูนิค ให้เป็น สร้อยเครื่องราง ระดับ 1","轉化 1 個非傳奇項鍊至階級 1 個魔符","transform_into_talisman 1","Transform a non-unique Amulet into a Tier 1 Talisman","Transforme une Amulette (non unique) en un Talisman de Palier 1","Verwandelt ein Amulett (einzigartiges ausgenommen) in einen Talisman des Levels 1","非ユニークアミュレットをティア1タリスマンに変化させる","비-고유 목걸이를 1등급 부적으로 변경","Transforma um Amuleto não único em um Talismã de Tier 1","Превратить неуникальный амулет в талисман 1 уровня","Transforma un amuleto que no es único en un talismán de grado 1","แปรสภาพ สร้อยที่ไม่ใช่ ยูนิค ให้เป็น สร้อยเครื่องราง ระดับ 1","轉化 1 個非傳奇項鍊至階級 1 個魔符","transform_into_talisman 1",[8521]
22,"LabDefenceJorgin2","Transform a non-unique Amulet into a Tier 2 Talisman","Transforme une Amulette (non unique) en un Talisman de Palier 2","Verwandelt ein Amulett (einzigartiges ausgenommen) in einen Talisman des Levels 2","非ユニークアミュレットをティア2タリスマンに変化させる","비-고유 목걸이를 2등급 부적으로 변경","Transforma um Amuleto não único em um Talismã de Tier 2","Превратить неуникальный амулет в талисман 2 уровня","Transforma un amuleto que no es único en un talismán de grado 2","แปรสภาพ สร้อยที่ไม่ใช่ ยูนิค ให้เป็น สร้อยเครื่องราง ระดับ 2","轉化 1 個非傳奇項鍊至階級 2 個魔符","transform_into_talisman 2","Transform a non-unique Amulet into a Tier 2 Talisman","Transforme une Amulette (non unique) en un Talisman de Palier 2","Verwandelt ein Amulett (einzigartiges ausgenommen) in einen Talisman des Levels 2","非ユニークアミュレットをティア2タリスマンに変化させる","비-고유 목걸이를 2등급 부적으로 변경","Transforma um Amuleto não único em um Talismã de Tier 2","Превратить неуникальный амулет в талисман 2 уровня","Transforma un amuleto que no es único en un talismán de grado 2","แปรสภาพ สร้อยที่ไม่ใช่ ยูนิค ให้เป็น สร้อยเครื่องราง ระดับ 2","轉化 1 個非傳奇項鍊至階級 2 個魔符","transform_into_talisman 2",[8521]
23,"LabDefenceJorgin3","Transform a non-unique Amulet into a Tier 3 Talisman","Transforme une Amulette (non unique) en un Talisman de Palier 3","Verwandelt ein Amulett (einzigartiges ausgenommen) in einen Talisman des Levels 3","非ユニークアミュレットをティア3タリスマンに変化させる","비-고유 목걸이를 3등급 부적으로 변경","Transforma um Amuleto não único em um Talismã de Tier 3","Превратить неуникальный амулет в талисман 3 уровня","Transforma un amuleto que no es único en un talismán de grado 3","แปรสภาพ สร้อยที่ไม่ใช่ ยูนิค ให้เป็น สร้อยเครื่องราง ระดับ 3","轉化 1 個非傳奇項鍊至階級 3 個魔符","transform_into_talisman 3","Transform a non-unique Amulet into a Tier 3 Talisman","Transforme une Amulette (non unique) en un Talisman de Palier 3","Verwandelt ein Amulett (einzigartiges ausgenommen) in einen Talisman des Levels 3","非ユニークアミュレットをティア3タリスマンに変化させる","비-고유 목걸이를 3등급 부적으로 변경","Transforma um Amuleto não único em um Talismã de Tier 3","Превратить неуникальный амулет в талисман 3 уровня","Transforma un amuleto que no es único en un talismán de grado 3","แปรสภาพ สร้อยที่ไม่ใช่ ยูนิค ให้เป็น สร้อยเครื่องราง ระดับ 3","轉化 1 個非傳奇項鍊至階級 3 個魔符","transform_into_talisman 3",[8521]
24,"LabDefenceTora1","Add 20m experience to a Gem","Ajoute 20 millions d'expérience à une Gemme","Fügt einer Gemme 20m Erfahrungspunkte hinzu","ジェムに20m経験値追加する","젬에 경험치 20,000,000 추가","Adiciona 20m de experiência à uma Gema","Добавить 20 миллионов опыта камню","Agrega 20 m de experiencia a una gema","เพิ่ม ค่าประสบการณ์ 20 ล้าน ให้กับ หิน","增加 2000 萬經驗至寶石","add_gem_experience 20000000","Add 10m experience to a Gem","Ajoute 10 millions d'expérience à une Gemme","Fügt einer Gemme 10m Erfahrungspunkte hinzu","ジェムに10m経験値追加する","젬에 경험치 10,000,000 추가","Adiciona 10m de experiência em uma Gema","Добавить 10 миллионов опыта камню","Agrega 10 m de experiencia a una gema","เพิ่ม ค่าประสบการณ์ 10 ล้าน ให้กับ หิน","增加 1000 萬經驗至寶石","add_gem_experience 10000000",[]
25,"LabDefenceTora2","Add 70m experience to a Gem","Ajoute 70 millions d'expérience à une Gemme","Fügt einer Gemme 70m Erfahrungspunkte hinzu","ジェムに70m経験値追加する","젬에 경험치 70,000,000 추가","Adiciona 70m de experiência à uma Gema","Добавить 70 миллионов опыта камню","Agrega 70 m de experiencia a una gema","เพิ่ม ค่าประสบการณ์ 70 ล้าน ให้กับ หิน","增加 7000 萬經驗至寶石","add_gem_experience 70000000","Add 35m experience to a Gem","Ajoute 35 millions d'expérience à une Gemme","Fügt einer Gemme 35m Erfahrungspunkte hinzu","ジェムに35m経験値追加する","젬에 경험치 35,000,000 추가","Adiciona 35m de experiência em uma Gema","Добавить 35 миллионов опыта камню","Agrega 35 m de experiencia a una gema","เพิ่ม ค่าประสบการณ์ 35 ล้าน ให้กับ หิน","增加 3500 萬經驗至寶石","add_gem_experience 35000000",[]
26,"LabDefenceTora3","Add 200m experience to a Gem","Ajoute 200 millions d'expérience à une Gemme","Fügt einer Gemme 200m Erfahrungspunkte hinzu","ジェムに200m経験値追加する","젬에 경험치 200,000,000 추가","Adiciona 200m de experiência à uma Gema","Добавить 200 миллионов опыта камню","Agrega 200 m de experiencia a una gema","เพิ่ม ค่าประสบการณ์ 200 ล้าน ให้กับ หิน","增加 2 億經驗至寶石","add_gem_experience 200000000","Add 70m experience to a Gem","Ajoute 70 millions d'expérience à une Gemme","Fügt einer Gemme 70m Erfahrungspunkte hinzu","ジェムに70m経験値追加する","젬에 경험치 70,000,000 추가","Adiciona 70m de experiência em uma Gema","Добавить 70 миллионов опыта камню","Agrega 70 m de experiencia a una gema","เพิ่ม ค่าประสบการณ์ 70 ล้าน ให้กับ หิน","增加 7000 萬經驗至寶石","add_gem_experience 70000000",[]
27,"LabDefenceVorici1","Modify an item to have 1 White Socket","Modifie un objet afin qu'il ait 1 Châsse blanche","Verändert einen Gegenstand, um 1 weiße Fassung anzunehmen","アイテムのソケット1個を白にする","아이템이 하얀 홈을 1개 보유하도록 수정","Modifica um item para ter 1 Encaixe Branco","Изменить предмет, перекрасив 1 гнездо в белый цвет","Modifica un objeto para que tenga 1 engarce blanco","เปลี่ยนแปลงไอเทมให้มี รูสีขาว 1 รู","調整物品至有 1 個白色插槽","roll_white_sockets 0","Reforge the links between sockets on an item 10 times, using the outcome with the greatest number of linked sockets","Remodèle à 10 reprises les liaisons entre les châsses d'un objet et sélectionne le résultat ayant le plus grand nombre de châsses reliées entre elles","Verändert die Anzahl der verbundenen Fassungen eines Gegenstands 10 Mal und wählt das Ergebnis mit der höchsten Anzahl an verbundenen Fassungen","アイテムのソケット間のリンクを10回リフォージし、リンクされたソケットが最高数の結果を採用する","아이템의 홈 연결부 10회 재련. 연결된 홈 개수가 가장 많은 결과 적용","Reforja as conexões entre encaixes em um item 10 vezes, usando o resultado com maior número de encaixes conectados","Перековать количество связей между гнёздами на предмете 10 раз. Итоговым становится результат с наибольшим количеством связей между гнёздами","Reforja los vínculos entre engarces de un objeto 10 veces y se queda con el resultado que tenga el mayor número de engarces vinculados","สุ่มเชื่อมรู บนไอเทมขึ้นมาใหม่ 10 ครั้ง และใช้ผลลัพธ์ที่ให้ จำนวนเชื่อม มากที่สุด","重鑄物品上的插槽連結 10 次，使用最多相連插槽數量的結果","modify_sockets_N_times 15 links",[]
28,"LabDefenceVorici2","Modify an item to have 1-2 White Sockets","Modifie un objet afin qu'il ait 1 ou 2 Châsses blanches","Verändert einen Gegenstand, um 1-2 weiße Fassungen anzunehmen","アイテムのソケット1-2個を白にする","아이템이 하얀 홈을 1-2개 보유하도록 수정","Modifica um item para ter de 1-2 Encaixes Brancos","Изменить предмет, перекрасив 1-2 гнезда в белый цвет","Modifica un objeto para que tenga 1-2 engarces blancos","เปลี่ยนแปลงไอเทมให้มี รูสีขาว 1-2 รู","調整物品至有 1-2 個白色插槽","roll_white_sockets 1","Reforge the links between sockets on an item 15 times, using the outcome with the greatest number of linked sockets","Remodèle à 15 reprises les liaisons entre les châsses d'un objet et sélectionne le résultat ayant le plus grand nombre de châsses reliées entre elles","Verändert die Anzahl der verbundenen Fassungen eines Gegenstands 15 Mal und wählt das Ergebnis mit der höchsten Anzahl an verbundenen Fassungen","アイテムのソケット間のリンクを15回リフォージし、リンクされたソケットが最高数の結果を採用する","아이템의 홈 연결부 15회 재련. 연결된 홈 개수가 가장 많은 결과 적용","Reforja as conexões entre encaixes em um item 15 vezes, usando o resultado com maior número de encaixes conectados","Перековать количество связей между гнёздами на предмете 15 раз. Итоговым становится результат с наибольшим количеством связей между гнёздами","Reforja los vínculos entre engarces de un objeto 15 veces y se queda con el resultado que tenga el mayor número de engarces vinculados","สุ่มเชื่อมรู บนไอเทมขึ้นมาใหม่ 15 ครั้ง และใช้ผลลัพธ์ที่ให้ จำนวนเชื่อม มากที่สุด","重鑄物品上的插槽連結 15 次，使用最多相連插槽數量的結果","modify_sockets_N_times 20 links",[]
29,"LabDefenceVorici3","Modify an item to have 1-3 White Sockets","Modifie un objet afin qu'il ait de 1 à 3 Châsses blanches","Verändert einen Gegenstand, um 1-3 weiße Fassungen anzunehmen","アイテムのソケット1-3個を白にする","아이템이 하얀 홈을 1-3개 보유하도록 수정","Modifica um item para ter de 1-3 Encaixes Brancos","Изменить предмет, перекрасив 1-3 гнезда в белый цвет","Modifica un objeto para que tenga 1-3 engarces blancos","เปลี่ยนแปลงไอเทมให้มี รูสีขาว 1-3 รู","調整物品至有 1-3 個白色插槽","roll_white_sockets 2","Reforge the links between sockets on an item 20 times, using the outcome with the greatest number of linked sockets","Remodèle à 20 reprises les liaisons entre les châsses d'un objet et sélectionne le résultat ayant le plus grand nombre de châsses reliées entre elles","Verändert die Anzahl der verbundenen Fassungen eines Gegenstands 20 Mal und wählt das Ergebnis mit der höchsten Anzahl an verbundenen Fassungen","アイテムのソケット間のリンクを20回リフォージし、リンクされたソケットが最高数の結果を採用する","아이템의 홈 연결부 20회 재련. 연결된 홈 개수가 가장 많은 결과 적용","Reforja as conexões entre encaixes em um item 20 vezes, usando o resultado com maior número de encaixes conectados","Перековать количество связей между гнёздами на предмете 20 раз. Итоговым становится результат с наибольшим количеством связей между гнёздами","Reforja los vínculos entre engarces de un objeto 20 veces y se queda con el resultado que tenga el mayor número de engarces vinculados","สุ่มเชื่อมรู บนไอเทมขึ้นมาใหม่ 20 ครั้ง และใช้ผลลัพธ์ที่ให้ จำนวนเชื่อม มากที่สุด","重鑄物品上的插槽連結 20 次，使用最多相連插槽數量的結果","modify_sockets_N_times 30 links",[]
30,"CartEscortVorici1","Reforge the colours of sockets on an item 50 times, using the outcome with the greatest number of less-common socket colours","Remodèle à 50 reprises les couleurs des châsses d'un objet et sélectionne le résultat ayant le plus grand nombre de châsses moins communes","Verändert die Farben der Fassungen eines Gegenstands 50 Mal und wählt das Ergebnis mit der höchsten Anzahl an weniger geläufigen Fassungsfarben ","アイテムのソケットの色を50回リフォージし、出にくいソケットの色が最大の結果を採用する","아이템의 홈 색상 50회 재련. 덜 흔한 홈 색상 개수가 가장 많은 결과 적용","Reforja as cores dos encaixes em um item 50 vezes, mantendo o resultado com a maior quantidade de cores de encaixes menos comuns","Перековать цвета гнёзд на предмете 50 раз. Итоговым становится результат с наибольшим количеством менее свойственных цветов гнёзд","Reforja los colores de los engarces de un objeto 50 veces y se queda con el resultado que tenga el mayor número de engarces con colores menos comunes ","สุ่มเปลี่ยนสีรู บนไอเทมขึ้นมาใหม่ 50 ครั้ง และใช้ผลลัพธ์ที่ให้ จำนวนสีรูที่ออกยาก มากที่สุด","重鑄物品上的插槽顏色 50 次，使用最多稀有插槽顏色數量的結果","modify_sockets_N_times 50 colours","Reforge the colours of sockets on an item 10 times, using the outcome with the greatest number of less-common socket colours","Remodèle à 10 reprises les couleurs des châsses d'un objet et sélectionne le résultat ayant le plus grand nombre de châsses moins communes","Verändert die Farben der Fassungen eines Gegenstands 10 Mal und wählt das Ergebnis mit der höchsten Anzahl an weniger geläufigen Fassungsfarben ","アイテムのソケットの色を10回リフォージし、出にくいソケットの色が最大の結果を採用する","아이템의 홈 색상 10회 재련. 덜 흔한 홈 색상 개수가 가장 많은 결과 적용","Reforja as conexões entre encaixes em um item 10 vezes, usando o resultado com maior número de encaixes com cores menos comuns","Перековать цвета гнёзд на предмете 10 раз. Итоговым становится результат с наибольшим количеством менее свойственных цветов гнёзд","Reforja los colores de los engarces de un objeto 10 veces y se queda con el resultado que tenga el mayor número de engarces con colores menos comunes ","สุ่มเปลี่ยนสีรู บนไอเทมขึ้นมาใหม่ 10 ครั้ง และใช้ผลลัพธ์ที่ให้ จำนวนสีรูที่ออกยาก มากที่สุด","重鑄物品上的插槽顏色 10 次，使用最多稀有插槽顏色數量的結果","modify_sockets_N_times 20 colours",[]
31,"CartEscortVorici2","Reforge the number of sockets on an item 50 times, using the outcome with the greatest number of sockets","Remodèle à 50 reprises le nombre de châsses d'un objet et sélectionne le résultat ayant le plus grand nombre de châsses.","Verändert die Anzahl der Fassungen eines Gegenstands 50-mal und behält das Ergebnis mit der höchsten Anzahl an Fassungen bei.","アイテムのソケットの数を50回リフォージし、ソケットの数が最大の結果を採用する","아이템의 홈 개수 50회 재련. 홈 개수가 가장 많은 결과 적용","Reforja a quantidade de encaixes em um item 50 vezes, mantendo o resultado com a maior quantidade de enxaixes","Перековать количество гнёзд на предмете 50 раз. Итоговым становится результат с наибольшим количеством гнёзд","Reforja el número de engarces de un objeto 50 veces y se queda con el resultado que tenga el mayor número de engarces","สุ่มเจาะรู บนไอเทมขึ้นมาใหม่ 50 ครั้ง และใช้ผลลัพธ์ที่ให้ จำนวนรู มากที่สุด","重鑄物品上的插槽數量 50 次，使用最多插槽數量的結果","modify_sockets_N_times 50 sockets","Reforge the colours of sockets on an item 20 times, using the outcome with the greatest number of less-common socket colours","Remodèle à 20 reprises les couleurs des châsses d'un objet et sélectionne le résultat ayant le plus grand nombre de châsses moins communes","Verändert die Farben der Fassungen eines Gegenstands 20 Mal und wählt das Ergebnis mit der höchsten Anzahl an weniger geläufigen Fassungsfarben ","アイテムのソケットの色を20回リフォージし、出にくいソケットの色が最大の結果を採用する","아이템의 홈 색상 20회 재련. 덜 흔한 홈 색상 개수가 가장 많은 결과 적용","Reforja as conexões entre encaixes em um item 15 vezes, usando o resultado com maior número de encaixes com cores menos comuns","Перековать цвета гнёзд на предмете 20 раз. Итоговым становится результат с наибольшим количеством менее свойственных цветов гнёзд","Reforja los colores de los engarces de un objeto 20 veces y se queda con el resultado que tenga el mayor número de engarces con colores menos comunes ","สุ่มเปลี่ยนสีรู บนไอเทมขึ้นมาใหม่ 20 ครั้ง และใช้ผลลัพธ์ที่ให้ จำนวนสีรูที่ออกยาก มากที่สุด","重鑄物品上的插槽顏色 20 次，使用最多稀有插槽顏色數量的結果","modify_sockets_N_times 30 colours",[]
