"rownum","Id","MonsterTypesKey","i32_24","ObjectSize","MinimumAttackDistance","MaximumAttackDistance","ACTFiles","AOFiles","BaseMonsterTypeIndex","ModsKeys","i32_96","string_100","string_108","ModelSizeMultiplier","i32_120","i32_124","i32_128","i32_132","i32_136","TagsKeys","ExperienceMultiplier","[i32]_160","i32_176","i32_180","i32_184","CriticalStrikeChance","i32_192","GrantedEffectsKeys","AISFile","ModsKeys2","Stance","rid_244","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","DamageMultiplier","LifeMultiplier","AttackSpeed","Weapon1_ItemVisualIdentityKeys","Weapon2_ItemVisualIdentityKeys","Back_ItemVisualIdentityKey","MainHand_ItemClassesKey","OffHand_ItemClassesKey","Helmet_ItemVisualIdentityKey","i32_376","KillSpecificMonsterCount_AchievementItemsKeys","Special_ModsKeys","KillRare_AchievementItemsKeys","bool_428","i32_429","i32_433","i32_437","i32_441","i32_445","i32_449","HASH16","bool_455","string_456"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","KillWhileOnslaughtIsActive_AchievementItemsKey","MonsterSegmentsKey","MonsterArmoursKey","KillWhileTalismanIsActive_AchievementItemsKey","Part1_ModsKeys","Part2_ModsKeys","Endgame_ModsKeys","rid_576","i32_592","i32_596","[rid]_600","[rid]_616","i32_632","SinkAnimation_AOFile","bool_644","[rid]_645","bool_661","bool_662","bool_663","i32_664","i32_668","f32_672","i32_676","EPKFile","i32_688","MonsterConditionalEffectPacksKey","bool_708","bool_709","i32_710","bool_714","i32_715","i32_719","i32_723","i32_727","i32_731","i32_735","AddonMonsterTypeIndex","i32_755","i32_759","i32_763","i32_767","i32_771","bool_775","BossHealthBar","bool_777"
10,"Metadata/Monsters/Bandits/BanditBowPoisonArrow",286,19,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/BanditCorrupted.ao""]","Metadata/Monsters/Bandits/BanditBow",[],1,"","",100,3,6,4,1,0,"[750,769,806,786,71,48,796,31,765,822,32,118,801]",120,[3],105,105,700,500,0,"[397,660,11487]","Metadata/Monsters/Bandits/BanditBow.ais","[6262,6268]","",1,"Alira's Deadeye","Archer d'élite d'Alira","Scharfschütze Aliras","アリーラのデッドアイ","알리라의 데드아이","Atirador de Alira","Снайпер Алиры","Tirador de Alira","Alira's Deadeye","阿莉亞的穿心之弓",144,108,1995,[8587],[7505],7901,13,"","",0,[],[],[646],1,1,6,100,0,0,100,-4949,"","","M","M","","","M","MS","M","","","",0,"","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
11,"Metadata/Monsters/Bandits/BanditCaster",286,19,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/BanditCorrupted.ao""]","Metadata/Monsters/Bandits/BanditBow",[],1,"","",100,3,6,4,1,100,"[750,769,806,786,71,48,796,31,765,822,32,118,801]",120,[3],105,105,700,500,0,"[397,11487,660]","Metadata/Monsters/Bandits/BanditBow.ais","[6262,6268]","",1,"Shadow Archer","Archer de l'ombre","Schattenbogenschütze","影の射手","그림자 궁수","Arqueiro Sombrio","Тёмный лучник","Arquero sombrío","Shadow Archer","夜影之弓",144,108,1995,[8587],[7505],7901,13,"","",0,[],[],[643],1,1,6,100,0,0,100,30870,"","","M","M","","","M","MS","M","","","",0,1,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
12,"Metadata/Monsters/Bandits/BanditCasterSpawnerMap",658,19,3,6,36,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/BanditCorrupted.ao""]","Metadata/Monsters/Bandits/GuardBanditBowMap",[],1,"","",100,3,6,4,1,100,"[750,769,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[397,11487,660]","Metadata/Monsters/Bandits/BanditBow.ais","[6262,6268]","",1,"Shadow Archer","Archer de l'ombre","Schattenbogenschütze","影の射手","그림자 궁수","Arqueiro Sombrio","Тёмный лучник","Arquero sombrío","Shadow Archer","夜影之弓",60,96,1995,[8587],[7505],7901,13,"","",0,[],[],[],"",1,6,100,0,0,100,-28830,"","","M","M","","","M","MS","M","","","",0,1,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",0,0,0,96,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
13,"Metadata/Monsters/Bandits/BanditBowBossBlackwood",292,25,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandit_Invasion_Ranged.ao""]","Metadata/Monsters/Bandits/BanditBowUnique","[4069,7912,13815]",1,"","",130,3,6,4,1,0,"[750,806,786,71,48,768,796,31,29,765,822,32,118,802]",200,[],105,105,700,500,0,"[4513,2057,3114,1903,407]","Metadata/Monsters/Bandits/BanditBowBossBlackwood.ais","[6262,6268]","",1,"Targa, Beast Poacher","Targa, Braconnier de prédateurs","Targa, Wilddieb","獣の密猟者、ターガ","야수 밀렵꾼 타르가","Targa, Caçador de Bestas","Тардий, Браконьер","Targa, Cazador de bestias","ทาร์ก้า นักล่าสัตว์เถื่อน","偷獵者塔格",120,200,1995,[8587],[7505],7901,13,"","",0,[],[8526],[],"",1,6,100,0,0,100,-11991,"","","M","M","","","M","MS","M","","","",3,"","",[],[],[],"",200,0,[],[],10,"","",[],"",1,1,0,0,0,200,"",0,"",1,1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
14,"Metadata/Monsters/Bandits/BanditBowBossBlackwoodClone",292,25,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandit_Invasion_Ranged.ao""]","Metadata/Monsters/Bandits/BanditBowBossBlackwoodClone",[4069],1,"","",130,3,6,4,1,0,"[750,806,786,71,48,829,796,31,29,765,822,32,118,802]",200,[],105,105,700,500,0,[407],"Metadata/Monsters/Bandits/BanditBowBossBlackwoodClone.ais","[6262,6268]","",1,"Targa, Beast Poacher","Targa, Braconnier de prédateurs","Targa, Wilddieb","獣の密猟者、ターガ","야수 밀렵꾼 타르가","Targa, Caçador de Bestas","Тардий, Браконьер","Targa, Cazador de bestias","ทาร์ก้า นักล่าสัตว์เถื่อน","偷獵者塔格",120,200,1995,[8587],[7505],7901,13,"","",0,[],[8526],[],"",1,6,100,0,0,100,15964,"","","M","M","","","M","MS","M","","","",3,"","",[],[],[],"",200,0,[],[],10,"","",[],"",1,1,0,0,0,200,"",0,"",1,1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
15,"Metadata/Monsters/Bandits/BanditGuardMeleeChaos",655,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/BanditCorrupted.ao""]","Metadata/Monsters/Bandits/GuardBanditRun","[6364,20727]",1,"","",100,3,6,1,1,0,"[750,819,806,777,774,71,48,796,764,31,29,765,118,801]",100,[3],105,105,700,500,0,"[397,11486]","Metadata/Monsters/Bandits/BanditMelee.ais","[6262,6268]","",1,"Alira's Blood Hand","Bras droit sanguinaire d'Alira","Bluthand Aliras","アリーラのブラッドハンド","알리라의 피의 수하","Mão Sangrenta de Alira","Кровавая длань Алиры","Mano de sangre de Alira","Alira's Blood Hand","阿莉亞的赤血殺手",90,115,1350,"[7489,7469]","[9599,9600]","",9,26,"",0,[],[],[],"",1,6,100,0,0,100,14395,"","","M","F","","","M","MS","M","","","",0,"","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,115,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
16,"Metadata/Monsters/Bandits/BanditGuardMeleePuncture",655,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditRun",[20727],1,"","",100,3,6,1,1,100,"[750,819,806,777,774,71,48,796,764,31,29,765,118,801]",100,[3],105,105,700,500,0,"[397,1881,11486]","Metadata/Monsters/Bandits/BanditMeleePuncture.ais","[6262,6268]","",1,"Kraityn's Stalwart","Partisan de Kraityn","Getreuer Kraityns","クレイティンの支持者","크레이틴의 강병","Brutamontes de Kraityn","Здоровяк Крайтина","Incondicional de Kraityn","Kraityn's Stalwart","克雷頓的刺殺者",90,115,1350,"[7489,7469]","[7616,7617]","",9,26,"",0,[],[],[],"",1,6,100,0,0,100,-22872,"","","M","M","","","M","MS","M","","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,115,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
17,"Metadata/Monsters/Bandits/BanditGuardMeleePunctureSpawner",655,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditRun","[6702,20727]",1,"","",100,3,6,1,1,100,"[750,819,806,777,774,71,48,796,764,31,29,765,118,801]",100,[3],105,105,700,500,0,"[397,1881,11486]","Metadata/Monsters/Bandits/BanditMeleePuncture.ais","[6262,6268]","",1,"Kraityn's Stalwart","Partisan de Kraityn","Getreuer Kraityns","クレイティンの支持者","크레이틴의 강병","Brutamontes de Kraityn","Здоровяк Крайтина","Incondicional de Kraityn","Kraityn's Stalwart","克雷頓的刺殺者",90,115,1350,"[7489,7469]","[7616,7617]","",9,26,"",0,[],[36907],[],"",1,6,100,0,0,100,-28630,"","","M","M","","","M","MS","M","","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,115,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
18,"Metadata/Monsters/Bandits/BanditGuardMeleePunctureSpawnerMap",656,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditRunMap",[20727],1,"","",100,3,6,1,1,100,"[750,819,806,777,774,71,48,796,764,31,765,118,801]",100,[3],105,105,700,500,0,"[397,1881,11486]","Metadata/Monsters/Bandits/BanditMeleePuncture.ais","[6262,6268]","",1,"Guard Stalwart","Partisan gardien","Standhafte Wache","ガードストールワート","수호병 강병","Guarda Bruto","Крепкий страж","Guardia incondicional","Guard Stalwart","忠誠衛哨",80,100,1350,"[7489,7469]","[7616,7617]","",9,26,"",0,[],[],[],"",1,6,100,0,0,100,-27904,"","","M","F","","","M","MS","M","","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,100,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
19,"Metadata/Monsters/Bandits/BanditGuardMeleeWarlordsMark",655,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditRun",[20727],1,"","",100,3,6,1,1,100,"[750,819,771,806,777,774,71,48,796,764,31,29,765,118,801]",100,[3],105,105,700,500,0,"[397,1139,11486]","Metadata/Monsters/Bandits/BanditMelee.ais","[6262,6268]","",1,"Oak's Fist","Poing d'Orme","Faust Oaks","オークの拳","오크의 공격병","Punho de Oak","Кулак Дуба","Puño de Oak","Oak's Fist","歐克之拳",90,115,1350,"[7489,7469]","[7616,7617]","",9,26,"",0,[],[],[],"",1,6,100,0,0,100,-14607,"","","M","F","","","M","MS","M","","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,115,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
20,"Metadata/Monsters/Bandits/BanditGuardMeleeWarlordsMarkSpawner",655,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditRun","[6702,20727]",1,"","",100,3,6,1,1,100,"[750,819,771,806,777,774,71,48,796,764,31,29,765,118,801]",100,[3],105,105,700,500,0,"[397,1139,11486]","Metadata/Monsters/Bandits/BanditMelee.ais","[6262,6268]","",1,"Oak's Fist","Poing d'Orme","Faust Oaks","オークの拳","오크의 공격병","Punho de Oak","Кулак Дуба","Puño de Oak","Oak's Fist","歐克之拳",90,115,1350,"[7489,7469]","[7616,7617]","",9,26,"",0,[],[36907],[],"",1,6,100,0,0,100,2988,"","","M","F","","","M","MS","M","","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,115,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
21,"Metadata/Monsters/Bandits/BanditGuardMeleeWarlordsMarkSpawnerMap",656,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditRunMap",[20727],1,"","",100,3,6,1,1,100,"[750,819,771,806,777,774,71,48,796,764,31,765,118,801]",100,[3],105,105,700,500,0,"[397,1139,11486]","Metadata/Monsters/Bandits/BanditMelee.ais","[6262,6268]","",1,"Guard Stalwart","Partisan gardien","Standhafte Wache","ガードストールワート","수호병 강병","Guarda Bruto","Крепкий страж","Guardia incondicional","Guard Stalwart","忠誠衛哨",80,100,1350,"[7489,7469]","[7616,7617]","",9,26,"",0,[],[],[],"",1,6,100,0,0,100,31991,"","","M","F","","","M","MS","M","","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,100,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
22,"Metadata/Monsters/Bandits/BanditGuardBow",657,19,3,6,36,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditBow",[],1,"","",100,3,6,4,1,100,"[750,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[397,11487,5143]","Metadata/Monsters/Bandits/BanditBow.ais","[6262,6268]","",1,"Oak's Guardian","Gardien d'Orme","Wächter Oaks","オークの守護者","오크의 수호병","Guardião de Oak","Караульный Дуба","Guardián de Oak","Oak's Guardian","歐克的衛哨",72,108,1995,[8587],[7505],7901,13,"","",0,[],[],[],"",1,6,100,0,0,100,-10253,"","","M","M","","","M","MS","M","","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
23,"Metadata/Monsters/Bandits/BanditGuardBow2",286,19,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/BanditBow",[],1,"","",100,3,6,4,1,100,"[750,806,786,71,48,796,31,765,822,32,118,801]",120,[3],105,105,700,500,0,"[397,11487]","Metadata/Monsters/Bandits/BanditBow.ais","[6262,6268]","",1,"Treacherous Deserter","Déserteur déloyal","Heimtückischer Deserteur","トレチャラスデザーター","위험한 탈영병","Desertor Traiçoeiro","Вероломный дезертир","Desertor traicionero","Treacherous Deserter","奸詐的叛兵",144,108,1995,[8587],[7505],7901,13,"","",0,[],[],[],"",1,6,100,0,0,100,3170,"","","M","M","","","M","MS","M","","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
