"rownum","string_0","string_8","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_16","i32_20","u16_24","string_26","[i32]_34"
10,"NonEleBowRanger11","With gems came power - and with power came fewer survivors of the militia's 'justice'.","Avec les gemmes vint le pouvoir, et avec le pouvoir vinrent de moins en moins de survivants de la « justice » de la milice.","Mit den Gemmen wuchs die Macht - und mit der Macht gab es immer weniger Überlebende der 'Rechtsprechung' der Miliz.","With gems came power - and with power came fewer survivors of the militia's 'justice'.","마석은 힘을 가져다주었고, 그 힘은 민병대의 '정의'로부터 살아남는 이들의 수를 줄였다.","Com as gemas veio o poder, e com o poder, menos sobreviventes da \""justiça\"" da milícia.","С камнями пришла власть – а с властью стало меньше выживших в результате «правосудия».","Con las gemas llegó el poder; y con el poder, llegaron menos supervivientes de la \""justicia\"" de la milicia.","มณีก่อให้เกิดพลัง พลังก่อให้เกิด 'ความยุติธรรม' ของทหารอาสา\r\nที่ก่อให้เกิดผู้รอดชีวิตน้อยลง","古靈寶石帶來力量，也讓民兵們更肆無忌憚地取人性命。",191495,0,0,"ү","[0,1000]"
11,"NonEleBowRanger12","\""They called it peace when the killing slowed. Not justice - just fewer people left to fight back... and even fewer who would dare.\"" ","Ils ont appelé cela « paix » quand les massacres avaient ralenti. Ce n'était pas de la justice, il y avait juste moins de gens pour se défendre… et encore moins de gens qui oseraient se défendre. ","\""Sie nannten es Frieden, als das Töten nachließ. Keine Gerechtigkeit - es waren nur weniger Leute übrig, die sich noch wehren konnten ... und noch weniger, die es wagten.\""","\""They called it peace when the killing slowed. Not justice - just fewer people left to fight back... and even fewer who would dare.\"" ","살육이 잦아들자 사람들은 이를 평화라고 불렀지만, 정의는 아니었다. 그저 맞서 싸울 수 있는 사람이 줄었고, 그럴 용기가 있는 사람은 더더욱 줄어든 것일 뿐.","\""Chamaram de paz quando a matança deu uma trégua. Mas não era justiça, só restavam menos pessoas para lutar... e ainda menos para se atrever a isso.\"" ","«‎Миром назвали замедление убийств. Не правосудие – просто меньше осталось людей, способных отбиваться... и ещё меньше тех, кто рискнёт».","\""Lo llamaron paz cuando se ralentizaron las muertes. No justicia, solo es que quedaba menos gente que pudiera resistir... e incluso menos que se atrevieran\"". ","\""เมื่อการเข่นฆ่าซาลง พวกเขาเรียกว่าเป็นความสงบ ไม่ใช่ความ\r\nยุติธรรม เพียงแต่มีคนน้อยลง... และมีคนกล้าขัดขืนน้อยกว่านั้น\""","當這樣的殺戮不再屍橫遍野，代表活口已所剩無幾，其中膽敢造次的人更是屈指可數。 ",139777,0,0,"ү","[0,1000]"
12,"NonEleBowRangerNoble1","{0} Cyaxan once kept order in Korathin's worst quarter. Now she keeps trophies instead.","Elle maintenait autrefois l'ordre dans le pire quartier de Korathin. Elle collectionne désormais des trophées.","Einst hielt {0} Cyaxan in den schlimmsten Vierteln von Korathin die Ordnung aufrecht. Stattdessen sammelt sie jetzt Trophäen.","{0} Cyaxan once kept order in Korathin's worst quarter. Now she keeps trophies instead.","한때 코라틴 최악의 구역에서 질서를 유지하던 그녀는 이제 전리품을 수집한다.","{0} Cyaxan já botou ordem no pior bairro de Korathin. Hoje, coleciona troféus dos que cruzam seu caminho.","Когда-то держала в руках порядок в худшем квартале Корафина. Теперь держит трофеи.","{0} Cyaxan antes mantenía el orden en el peor barrio de Korathin. Ahora colecciona trofeos en su lugar.","{0} ไซยาซันเคยคุมระเบียบในตรอกที่แย่ที่สุดในโคราธิน\r\nบัดนี้เธอเก็บทรัพย์สมบัติแทน","她當初維持科拉廷的秩序，現在則是毫無忌憚地搜刮民脂民膏。",169847,0,0,"Ӭ","[1000,1000]"
13,"NonEleBowRangerNoble2","{0} was born of Cyaxan stock, raised on slum smoke and discipline.","Née de la lignée de Cyaxan, élevée dans la discipline et la fumée des bas-quartiers.","{0} wurde in das Haus Cyaxan geboren, aufgewachsen mit dem Rauch der Slums und Disziplin.","{0} was born of Cyaxan stock, raised on slum smoke and discipline.","사이악산 가문의 노예로 태어나, 빈민가의 매연과 규율 속에서 자라났다.","{0}, cyaxana de sangue, criada entre fumaça de favela e disciplina.","Родилась от девиц Шиазана, выросла на дыму трущоб и наказаниях.","{0} nació en el linaje de Cyaxan, y se crió con el humo y la disciplina de las barriadas.","{0} เกิด​ใน​สกุล​ขุนนาง​ไซยาซัน โต​มา​กับ​ควัน​สลัม​และ​ระเบียบ​วินัย","出身塞亞珊家族，自幼便目睹貧民窟的紛亂，但謹遵紀律的教誨。",156014,0,0,"Ӭ","[1000,1000]"
14,"NonEleBowRangerNoble3","{0} Cyaxan: a name once feared across the Trarthan militia ranks - feared even more now she's off the leash.","Un nom autrefois craint parmi les rangs de la milice trarthienne, désormais encore plus craint depuis qu'elle est libre.","{0} Cyaxan: Ein Name, der einst von allen Mitgliedern der trarthanischen Miliz gefürchtet wurde - jetzt umso mehr, da sie allein arbeitet.","{0} Cyaxan: a name once feared across the Trarthan militia ranks - feared even more now she's off the leash.","한때 트라투스의 민병대라면 누구나 두려워하던 자. 그리고 고삐가 풀린 지금, 그 두려움은 더욱 커지기만 했다.","{0} Cyaxan. A milícia já temeu seu nome. Agora que ela está solta, sentem pavor.","Имя, когда-то наводившее страх в рядах ополчения Тератны – теперь страха ещё больше, раз она сорвалась с поводка.","{0} Cyaxan: un nombre que temían en todos los rangos de la milicia trarthana y ahora, al ir por libre, aún la temen más.","{0} ไซยาซัน: ชื่อนี้​เป็น​ที่​กลัวเกรง​ใน​หมู่​ทหาร​อาสา​ทาร์ทาน ใน​เมื่อ​หลุด​จาก​การ​ควบคุม​แล้ว เธอ​ก็​เป็น​ที่​กลัวเกรง​ยิ่ง​ไป​กว่า​นั้น","她曾是備受特拉特斯民兵們敬畏的角色……在她離開之後，民兵們對她畏懼更甚。",169786,0,0,"Ӭ","[1000,1000]"
15,"NonEleBowRangerNoble4","Trarthus was barren after the Vaal Cataclysm... until the Empire began exiling their unwanted to its bleak shores.","« Trarthus était une terre stérile après le cataclysme vaal… jusqu'à ce que l'Empire commence à exiler ses indésirables sur ses rivages mornes. »","Nach der Katastrophe der Vaal war Trarthus öde und unwirtlich … bis das Kaiserreich begann, seine Ausgestoßenen an seine trostlose Küsten zu verbannen.","Trarthus was barren after the Vaal Cataclysm... until the Empire began exiling their unwanted to its bleak shores.","\""바알의 대재앙이 일어난 후, 트라투스는 황폐한 땅이었지... 제국이 그곳의 황량한 해안으로 원치 않는 자들을 유배하기 전까지는 말이야.\""","Trarthus se tornou um deserto depois do Cataclisma Vaal... até o Império começar a exilar seus indesejados para aquelas praias sombrias.","После Катаклизма ваал Тератна опустела... пока Империя не начала изгонять нежеланных людей на её мрачные берега.","Trarthus era árido tras el Cataclismo vaal... hasta que el Imperio empezó a exiliar a sus indeseados a sus lúgubres costas.","\""ทาร์ทัสรกร้างหลังจากวันมหาภัยพิบัติ... จนกระทั่งจักรวรรดิเริ่ม\r\nขับไล่ผู้ที่ไม่ถึงประสงค์ไปยังชายฝั่งหนาวเหน็บเช่นนี้","Trarthus was barren after the Vaal Cataclysm... until the Empire began exiling their unwanted to its bleak shores.",140880,0,0,"Ӭ","[1000,1000]"
16,"NonEleBowRangerNoble5","\""Our ancestors were exiled so that the Eternal Empire could have its thousand-year peace. I don't give a damn about Wraeclast.\""","« Nos ancêtres ont été exilés pour assurer une paix millénaire à l'Empire éternel. Je me contrefiche de Wraeclast. »","\""Unsere Vorfahren wurden verbannt, damit das Ewige Kaiserreich seinen Tausendjährigen Frieden haben konnte. Wraeclast ist mir scheißegal.\""","\""Our ancestors were exiled so that the Eternal Empire could have its thousand-year peace. I don't give a damn about Wraeclast.\""","\""우리의 선조들은 영원한 제국이 천년성대를 누릴 수 있도록 유배되었지. 레이클라스트 같은 건 어찌 되든 내 알 바 아니다.\""","\""Nossos ancestrais foram exilados para que o Império Eterno tivesse mil anos de paz. E quer saber? Que se dane Wraeclast.\""","«Наших предков изгнали, чтобы Вечная Империя могла тысячу лет прожить в мире. Плевать я хотела на Рэкласт».","\""Nuestros ancestros fueron exiliados para que el Imperio eterno pudiera tener sus mil años de paz. Me importa un pimiento Wraeclast\"".","\""บรรพชนของเราถูกเนรเทศเพื่อให้จักรวรรดินิรันดร์ได้มีสันติมาพันปี\r\nข้าไม่สนใจไยดีอะไรกับเวร์แคลส์ทดอก\""","\""Our ancestors were exiled so that the Eternal Empire could have its thousand-year peace. I don't give a damn about Wraeclast.\""",134791,0,0,"Ӭ","[1000,1000]"
17,"EleBowRanger1","Gems from Trarthus have their own trademarks. Like the populace, they are more brutal.","Les gemmes de Trarthus ont leurs propres signes caractéristiques. Comme la populace, elles sont plus brutales.","Gemmen aus Trarthus haben ihre eigenen Merkmale. Sie sind brutaler, so wie die Bevölkerung.","Gems from Trarthus have their own trademarks. Like the populace, they are more brutal.","트라투스의 마석은 여느 마석과는 다르며, 그곳의 주민들을 닮아 더욱 잔혹하다.","As gemas de Trarthus têm um estilo próprio: são brutais, como o povo de lá.","Камни из Тератны имеют собственные отличия. Как и население, они более жестоки.","Las gemas de Trarthus tienen sus propias características. Como su gente, son más brutales.","มณีจากทาร์ทัสมีแบบฉบับเป็นของตัวเอง มันเหี้ยมโหดกว่ามณีทั่วไป\r\nไม่ต่างจากประชาชน","特拉特斯的寶石與眾不同，和當地人民一樣，暴戾之氣更甚。",184862,0,0,"ү","[0,1000]"
18,"EleBowRanger2","Keitan slaves built the walls of Korathin. Kylian Cyaxan filled them with vice before the mortar had dried.","Les esclaves keitiens ont bâti les murs de Korathin. Kylian Cyaxan les a emplis de vice avant que le mortier ne sèche.","Keitische Sklaven erbauten die Mauern von Korathin. Kylian Cyaxan füllte sie mit Lasterhaftigkeit, noch bevor der Mörtel getrocknet war.","Keitan slaves built the walls of Korathin. Kylian Cyaxan filled them with vice before the mortar had dried.","케이타의 노예들이 코라틴의 벽을 세웠고, 그 벽돌이 채 마르기도 전에 킬리안 사이악산이 그 안을 타락으로 채웠다.","Escravos de Keitan levantaram as muralhas de Korathin. Kylian Cyaxan encheu tudo de pecado antes mesmo de o cimento secar.","Киитские рабы возвели стены Корафина. Килиан Шиазан наполнил их пороком ещё до того, как высох раствор.","Los esclavos de Keita construyeron los muros de Korathin. Kylian Cyaxan los llenó de vicio antes de que se hubiera secado el mortero.","ทาสบ้านเคย์ทาสร้างกำแพงโคราธินขึ้นมา ไคเลียน ไซยาซันทำให้\r\nพวกเขาดื่มด่ำไปกับอบายมุขก่อนที่ปูนจะแห้ง","凱塔家族的奴隸們樹立起科拉廷的高牆，奇里安．塞亞珊在泥漿乾透前，在其中埋下罪惡。",150236,0,0,"ү","[0,1000]"
19,"EleBowRanger3","Cyaxan brothels bore no name. But those who entered often forget their own. ","Les bordels de Cyaxan n'avaient pas de nom. Mais les gens qui y allaient oubliaient souvent le leur. ","Cyaxanische Bordelle hatten keine Namen. Aber die, die sie betraten, vergaßen oft die Ihren. ","Cyaxan brothels bore no name. But those who entered often forget their own. ","사이악산의 사창가에는 이름이 없었다. 그러나 그 안에 들어서는 이들은 자신의 이름을 잊곤 했다.","Os bordéis cyaxanos não tinham nome. Mas quem entrava neles se esquecia de si mesmo. ","Шиазанские бордели имени не носили. Но те, кто туда заходил, часто забывали собственное.","Los burdeles de Cyaxan no tenían nombre. Pero aquellos que entraban a menudo olvidaban el suyo. ","ซ่องสกุลไซยาซันไม่มีชื่อ แต่ผู้ที่เข้าไปมักลืมชื่อของตนเอง","塞亞珊家族的風俗場所以無名著稱，而光顧的雅客們往往會忘卻自己的一切。 ",154084,0,0,"ү","[0,1000]"
20,"EleBowRanger4","First came desire. Then came dependency. Cyaxan offered both - by design.","D'abord vint le désir. Puis vint la dépendance. Cyaxan proposait les deux, volontairement.","Erst kam die Begierde. Dann die Abhängigkeit. Cyaxan bot beides – so war es geplant.","First came desire. Then came dependency. Cyaxan offered both - by design.","먼저 갈망이 찾아왔고, 의존성이 그 뒤를 따랐다. 사이악산은 그 둘을 모두 제공했으니, 이는 전부 그들의 계획대로였다.","Primeiro vinha o desejo. Depois, o vício. Cyaxan oferecia os dois de caso pensado.","Сначала рождалось желание. Потом приходила зависимость. Шиазан предлагал то и другое – так было задумано.","Primero llegó el deseo. Luego la dependencia. Cyaxan ofrecía ambos, intencionadamente.","เริ่มจากความปรารถนา ตามมาด้วยการเสพติด ไซยาซันให้ทั้งสอง\r\nอย่างโดยเป็นแผนแต่แรกเริ่ม","人們會因慾望而產生依賴，塞亞珊家族則是操縱這門藝術的佼佼者。",182698,0,0,"ү","[0,1000]"
21,"EleBowRanger5","The courtesans were Cyaxan's first pushers. Pleasure and powder ensured each customer returned - shaking a little more each time.  ","Les courtisanes étaient les premières vendeuses de Cyaxan. Le plaisir et la poudre assuraient que chaque client reviendrait, tremblant un peu plus à chaque fois.  ","Die Kurtisanen waren Haus Cyaxans erste Drogenhändlerinnen. Die Befriedigung und das Pulver stellten sicher, dass jeder Kunde zurückkehrte – jedes Mal ein wenig zittriger.","The courtesans were Cyaxan's first pushers. Pleasure and powder ensured each customer returned - shaking a little more each time.  ","처음 사이악산의 마약을 퍼뜨린 것은 매춘부들이었다. 그 쾌락과 약물을 찾아 돌아오지 않는 고객은 없었으며, 그때마다 그들의 몸은 조금씩 더 떨리고 있었다.","As cortesãs foram as primeiras traficantes de Cyaxan. Com prazer e pó, faziam os clientes voltarem tremendo cada vez mais.  ","Первым рычагом Шиазана были куртизанки. Удовольствие и порошок гарантировали, что каждый гость вернётся – каждый раз чуть более трясущимся.","Los cortesanos fueron los primeros incitadores de Cyaxan. El placer y las sustancias garantizaban que cada cliente regresara, temblando un poco más cada vez.","โสเภณีเป็นคนขายคนแรกๆ ของไซยาซัน ความเริงรมย์และผง\r\nการันตีว่าลูกค้าแต่ละคนจะกลับมาใหม่... อย่างตัวสั่นขึ้นไปทุกที","塞亞珊家族的眾花魁是灌迷湯的箇中好手。在歡愉時分灑下的迷藥讓來客們難抵再次造訪的渴望，陷入其中而無法自拔。 ",136251,0,0,"ү","[0,1000]"
22,"EleBowRanger6","Most were addicted before they even knew it - such was the potency of Cyaxan's blend. ","La dépendance s'emparait d'eux sans qu'ils s'en rendent compte, telle était la puissance du mélange de Cyaxan. ","Die meisten waren abhängig, bevor sie es bemerkten - so stark war die cyaxanische Mischung.","Most were addicted before they even knew it - such was the potency of Cyaxan's blend. ","사이악산의 마약은 어찌나 강력했는지, 대부분은 자신도 모르는 새에 중독되곤 했다.","A maioria já estava viciada antes de perceber, tamanha era a força da mistura de Cyaxan. ","Большинство успевало пристраститься быстрее, чем это понять – такова была крепость шиазанской смеси.","La mayoría se volvían adictos antes de darse cuenta. Tal era la potencia de la mezcla de Cyaxan ","คนส่วนใหญ่เสพติดก่อนที่จะรู้ตัวเสียอีก สูตรผสมของไซยาซันมี\r\nสมรรถภาพถึงเพียงนั้น","塞亞珊家族將這門吸血的生意經營得淋漓盡致。 ",168181,0,0,"ү","[0,1000]"
