"rownum","Projectile","Variant","[rid]_12","i32_28","rid_32"
102,"eye_of_winter_ball",2,[1244],3,""
103,"eye_of_winter_shard",0,[1117],3,""
104,"eye_of_winter_shard",1,[1144],3,""
105,"eye_of_winter_shard",2,[1245],3,""
106,"spectral_helix",0,[1106],3,""
107,"spectral_helix",1,[1145],3,""
108,"mortar_barrage_mine",0,[746],3,""
109,"mortar_barrage_mine",1,[761],3,""
110,"mortar_barrage_mine",2,[1148],3,""
111,"cold_projectile_mine",0,[750],3,""
112,"cold_projectile_mine",1,[760],3,""
113,"cold_projectile_mine",2,[1147],3,""
114,"poisonous_concoction",0,[1151],3,""
115,"poisonous_concoction",1,[1151],3,""
116,"poisonous_concoction",2,[1151],3,""
117,"barrage_bow",0,[60],3,""
118,"barrage_bow",1,[332],3,""
119,"barrage_bow",2,[501],3,""
120,"barrage_bow",3,[559],3,""
121,"barrage_bow",4,[61],3,""
122,"barrage_wand",0,[801],3,""
123,"barrage_wand",1,[332],3,""
124,"barrage_wand",2,[851],3,""
125,"barrage_wand",3,[559],3,""
126,"virulent_arrow_main",0,[511],3,""
127,"virulent_arrow_main",1,[514],3,""
128,"virulent_arrow_main",2,[1164],3,""
129,"virulent_arrow_main",3,[1174],3,""
130,"virulent_arrow_lesser",0,[513],3,""
131,"virulent_arrow_lesser",1,[516],3,""
132,"virulent_arrow_lesser",2,[1166],3,""
133,"virulent_arrow_lesser",3,[1176],3,""
134,"virulent_arrow_neither",0,[512],3,""
135,"virulent_arrow_neither",1,[515],3,""
136,"virulent_arrow_neither",2,[1165],3,""
137,"virulent_arrow_neither",3,[1175],3,""
138,"lightning_arrow",0,[68],3,""
139,"lightning_arrow",1,[67],3,""
140,"lightning_arrow",2,[69],3,""
141,"lightning_arrow",3,[1201],3,""
142,"lightning_arrow",4,[1283],3,""
143,"lightning_arrow",5,[1284],3,""
144,"lightning_arrow",6,[1287],3,""
145,"lightning_arrow",7,[1304],3,""
146,"tornado_shot_bow_primary",0,[108],3,""
147,"tornado_shot_bow_primary",1,[235],3,""
148,"tornado_shot_bow_primary",2,[359],3,""
149,"tornado_shot_bow_primary",3,[1168],3,""
150,"tornado_shot_bow_primary",4,[1189],3,""
151,"tornado_shot_bow_secondary",0,[114],3,""
152,"tornado_shot_bow_secondary",1,[234],3,""
153,"tornado_shot_bow_secondary",2,[358],3,""
154,"tornado_shot_bow_secondary",3,[1167],3,""
155,"tornado_shot_bow_secondary",4,[1188],3,""
156,"tornado_shot_wand_primary",0,[109],3,""
157,"tornado_shot_wand_primary",1,[109],3,""
158,"tornado_shot_wand_primary",2,[109],3,""
159,"tornado_shot_wand_primary",3,[109],3,""
160,"tornado_shot_wand_primary",4,[109],3,""
161,"tornado_shot_wand_secondary",0,[115],3,""
162,"tornado_shot_wand_secondary",1,[115],3,""
163,"tornado_shot_wand_secondary",2,[115],3,""
164,"tornado_shot_wand_secondary",3,[115],3,""
165,"fireball",0,[0],3,""
166,"fireball",1,[2],3,""
167,"fireball",2,[1],3,""
168,"fireball",3,[3],3,""
169,"fireball",4,[4],3,""
170,"fireball",5,[5],3,""
171,"fireball",6,[230],3,""
172,"fireball",7,[287],3,""
173,"fireball",8,[297],3,""
174,"fireball",9,[310],3,""
175,"fireball",10,[344],3,""
176,"fireball",11,[345],3,""
177,"fireball",12,[360],3,""
178,"fireball",13,[451],3,""
179,"fireball",14,[454],3,""
180,"fireball",15,[455],3,""
181,"fireball",16,[459],3,""
182,"fireball",17,[505],3,""
183,"fireball",18,[506],3,""
184,"fireball",19,[747],3,""
185,"fireball",20,[765],3,""
186,"fireball",21,[767],3,""
187,"fireball",22,[6],3,""
188,"fireball",23,[1137],3,""
189,"fireball",24,[1169],3,""
190,"fireball",25,[1172],3,""
191,"fireball",26,[1173],3,""
192,"fireball",27,[1199],3,""
193,"ice_shot",0,[70],3,""
194,"ice_shot",1,[71],3,""
195,"ice_shot",2,[72],3,""
196,"ice_shot",3,[73],3,""
197,"ice_shot",4,[1170],3,""
198,"explosive_arrow",0,[66],3,""
199,"explosive_arrow",1,[833],3,""
200,"explosive_arrow",2,[976],3,""
201,"explosive_arrow",3,[1194],3,""
202,"explosive_arrow",4,[1200],3,""
203,"explosive_arrow",5,[1308],3,""
204,"ice_spear",0,[22],3,""
205,"ice_spear",1,[111],3,""
206,"ice_spear",2,[23],3,""
207,"ice_spear",3,[611],3,""
208,"ice_spear",4,[665],3,""
209,"ice_spear",5,[674],3,""
210,"ice_spear",6,[766],3,""
211,"ice_spear",7,[831],3,""
212,"ice_spear",8,[1203],3,""
213,"ice_spear",9,[1303],3,""
214,"ball_lightning",0,[104],3,""
215,"ball_lightning",1,[78],3,""
216,"ball_lightning",2,[156],3,""
217,"ball_lightning",3,[286],3,""
218,"ball_lightning",4,[374],3,""
219,"ball_lightning",5,[661],3,""
220,"ball_lightning",6,[788],3,""
221,"ball_lightning",7,[661],3,""
222,"ball_lightning",8,[923],3,""
223,"ball_lightning",9,[947],3,""
224,"ball_lightning",10,[985],3,""
225,"ball_lightning",11,[1324],3,""
226,"monster_soulrend",0,[664],3,""
227,"monster_soulrend",1,[718],3,""
228,"monster_soulrend",2,[1265],3,""
229,"monster_soulrend",3,[1293],3,""
230,"cobra_lash_projectile_default",0,[744],3,""
231,"cobra_lash_projectile_default",1,[1204],3,""
232,"cobra_lash_projectile_claw",0,[755],3,""
233,"cobra_lash_projectile_claw",1,[1205],3,""
234,"venom_gyre_projectile_default",0,[756],3,""
235,"venom_gyre_projectile_default",1,[1206],3,""
236,"venom_gyre_projectile_released",0,[763],3,""
237,"volcanic_slam",0,[1232],3,""
238,"volcanic_slam_lite",0,[1237],3,""
239,"venom_gyre_projectile_released",1,[1207],3,""
240,"caustic_arrow",0,[63],3,""
241,"caustic_arrow",1,[205],3,""
242,"caustic_arrow",2,"[207,208]",3,""
243,"caustic_arrow",3,[960],3,""
244,"caustic_arrow",4,[1208],3,""
245,"caustic_arrow",5,[206],3,""
246,"kinetic_blast",0,[62],3,""
247,"kinetic_blast",1,[453],3,""
248,"kinetic_blast",2,[1209],3,""
249,"caustic_arrow_vaal",0,[1233],3,""
250,"caustic_arrow_vaal",1,[1234],3,""
251,"caustic_arrow_vaal",2,[1235],3,""
252,"caustic_arrow_vaal",3,[1233],3,""
253,"caustic_arrow_vaal",4,[1236],3,""
254,"caustic_arrow_vaal",5,[1234],3,""
255,"vaal_lightning_arrow",0,[1238],3,""
256,"vaal_lightning_arrow",1,[1239],3,""
257,"vaal_lightning_arrow",3,[1240],3,""
258,"vaal_lightning_arrow",4,[1242],3,""
259,"vaal_lightning_arrow",5,[1241],3,""
260,"vaal_lightning_arrow",6,[1243],3,""
261,"vaal_lightning_arrow",7,[1305],3,""
262,"split_arrow",0,[202],3,""
263,"split_arrow",1,[199],3,""
264,"split_arrow",2,[200],3,""
265,"split_arrow",3,[201],3,""
266,"vaal_split_arrow",0,[1246],3,""
267,"arctic_breath",0,[50],3,""
268,"arctic_breath",1,[191],3,""
269,"arctic_breath",2,[329],3,""
270,"arctic_breath_skull",0,[51],3,""
271,"arctic_breath_skull",1,[192],3,""
272,"arctic_breath_skull",2,[330],3,""
273,"arctic_breath_skull",3,[1249],3,""
274,"arctic_breath_skull",4,[1267],3,""
275,"arctic_breath_lesser",0,[52],3,""
276,"arctic_breath_grenade",0,[870],3,""
277,"fire_wake_arrow",0,[711],3,""
278,"fire_wake_arrow",1,[1309],3,""
279,"fire_wake_secondary_arrow",0,[712],3,""
280,"fire_wake_secondary_arrow",1,[1310],3,""
281,"shaper_projectile",0,[219],3,""
282,"shaper_projectile",1,[220],3,""
283,"shaper_projectile",2,[222],3,""
284,"piety_corrupted_ball_lightning_orb",0,[132],3,""
285,"piety_corrupted_ball_lightning_orb",1,[1327],3,""
286,"frostbolt",0,[195],3,""
287,"frostbolt",1,[194],3,""
288,"frostbolt",2,[227],3,""
289,"frostbolt",3,[722],3,""
290,"frostbolt",4,[220],3,""
291,"avarius_super_projectile",0,[238],3,""
292,"avarius_super_projectile_nova",0,[273],3,""
293,"avarius_super_projectile",1,[239],3,""
294,"avarius_super_projectile_nova",1,[274],3,""
