"rownum","BaseItemType","StackSize","CurrencyUseType","Action","Directions","FullStack_BaseItemType","Description","Usage_AchievementItems","Scroll","Possession_AchievementItem","[rid]","[i32]","CurrencyTab_StackSize","XBoxDirections","i32","ModifyMapsAchievements","ModifyContractsAchievements","CombineAchievements","ChangedForHardmode","DescriptionHardmode","IsGold","UsageHint","bool"
17,17,40,1,"town_portal","Right click on this item to use it.","","Creates a portal to town",[],1,1081,[],[],5000,"<<xbox_button_x>> to use.",100,[],[],[],"","","","Press the portal button to activate a scroll.",1
18,18,20,2,"add_flask_quality","Right click this item then left click a flask to apply it. The maximum quality is 20%.","","Improves the [Quality|quality] of a [Flask|flask]",[8090],"",1082,[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a flask to apply it. The maximum quality is 20%.",100,[],[],[],"","","","Drag this item onto a flask to apply it. The maximum quality is 20%.",""
19,19,20,2,"add_gem_quality","Right click this item then left click a skill gem to apply it. The maximum quality is 20%.","","Improves the [Quality|quality] of a skill gem",[],"",1083,[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a skill gem to apply it. The maximum quality is 20%.",100,[],[],[],"","","","Drag this item onto a skill gem to apply it. The maximum quality is 20%.",""
20,29,20,2,"add_map_quality","Right click this item then left click a map to apply it. The maximum quality is 20%.","","Improves the [Quality|quality] of a map",[7797],"",1084,[3],[12],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a map to apply it. The maximum quality is 20%.",100,[6837],[],[],"","","","Drag this item onto a map to apply it. The maximum quality is 20%.",""
21,20,20,2,"reroll_socket_colours","Right click this item then left click a socketed item to apply it.","","Change the colour of a socket on a skill gem",[8080],"",1085,[22],[48],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a socketed item to apply it.",100,[],[],[],"","","","Drag this item onto a socketed item to apply it.",""
22,21,20,2,"reroll_socket_links","Right click this item then left click a socketed item to apply it. The item's quality increases the chances of obtaining more links.","","Reforges the links between sockets on an item","[7796,8088]","",1086,[22],[64],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a socketed item to apply it. The item's quality increases the chances of obtaining more links.",100,[],[],[],"","","","Drag this item onto a socketed item to apply it. The item's quality increases the chances of obtaining more links.",""
23,22,20,2,"add_skill_gem_socket_3","Right click this item then left click a Skill Gem to apply it.","","Adds a Support Gem Socket to a Skill Gem with 2 Support Gem Sockets","[7795,8087]","",1087,[12],[32],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a skill gem to apply it.",100,[],[],[],"","","","Drag this item onto a Skillgem to apply it.",""
24,23,20,2,"add_skill_gem_socket_4","Right click this item then left click a Skill Gem to apply it.","","Adds a Support Gem Socket to a Skill Gem with 3 Support Gem Sockets",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a skill gem to apply it.",100,[],[],[],"","","","Drag this item onto a Skillgem to apply it.",""
25,24,20,2,"add_skill_gem_socket_5","Right click this item then left click a Skill Gem to apply it.","","Adds a Support Gem Socket to a Skill Gem with 4 Support Gem Sockets",[9474],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a skill gem to apply it.",100,[],[],[],"","","","Drag this item onto a Skillgem to apply it.",""
26,25,20,2,"add_equipment_socket","Right click this item then left click a Martial Weapon or Armour to apply it.","","Adds a [Rune] Socket to a [MartialWeapon|Martial Weapon] or Armour",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an armour or martial weapon to apply it.",100,[],[],[],"","","","Drag this item onto any armour or martial weapon to apply it.",""
27,26,10,2,"reroll_mod_values","Right click this item then left click an item to apply it.","","Randomises the numeric values of modifiers on an item",[8173],"",1088,[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it.",100,[],[],[],"","","","Drag this item onto an item to apply it.",""
28,27,20,2,"reroll_implicit_mod","Right click this item then left click another item to apply it.","","Randomises the numeric values of the implicit modifiers of an item",[],"",1089,[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on another item to apply it.",100,[],[],[],"","","","Drag this item onto another item to apply it.",""
29,28,10,2,"reroll_variable_defences","Right click this item then left click an armour to apply it.","","Randomises the numeric values of base defences on an armour",[8247],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an armour to apply it.",100,[],[],[],"","","","Drag this item onto an armour to apply it.",""
30,30,5,3,"","A stack of 5 fragments becomes a Scroll of Wisdom.",2,"",[],"",1090,[],[],0,"A stack of 5 fragments becomes a Scroll of Wisdom.",0,[],[],[],"","","","Drag this item onto an unidentified item to apply it.",""
31,31,10,3,"","A stack of 10 shards becomes an [OrbOfTransmutation|Orb of Transmutation]",11,"",[],"",1091,[],[],0,"A stack of 10 shards becomes an [OrbOfTransmutation|Orb of Transmutation]",0,[],[],[],"","","","A stack of 20 shards becomes an Orb of Transmutation.",""
32,32,20,3,"","A stack of 20 shards becomes an [OrbOfAlteration|Orb of Alteration]",12,"",[],"",1092,[],[],0,"A stack of 20 shards becomes an [OrbOfAlteration|Orb of Alteration]",0,[],[],[],"","","","A stack of 20 shards becomes an Orb of Alteration.",""
33,33,10,3,"","A stack of 10 shards becomes an [OrbOfAlchemy|Orb of Alchemy]",7,"",[],"",1093,[],[],0,"A stack of 10 shards becomes an [OrbOfAlchemy|Orb of Alchemy]",0,[],[],[],"","","","A stack of 20 shards becomes an Orb of Alchemy.",""
34,34,10,3,"","A stack of 10 shards becomes an [OrbOfChance|Orb of Chance].",8,"",[],"","",[],[],0,"A stack of 10 shards becomes an [OrbOfChance|Orb of Chance]",0,[],[],[],"","","","A stack of 20 shards becomes an Orb of Chance.",""
35,35,10,3,"","","","",[],"","",[],[],5000,"",100,[],[],[],"","","","",""
36,36,10,2,"inital_imprint","Right click this item then left click on an item to create an imprint. This imprint can later be used to restore this specific item to that imprinted state.","","Creates an imprint of an item for later restoration. The imprint can't be applied to Fractured Items",[],"",1094,[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to create an imprint. This imprint can later be used to restore this specific item to that imprinted state.",100,[],[],[],"","","","Drag this item onto an item to create an imprint. This imprint can later be used to restore this specific item to that imprinted state.",""
37,37,1,2,"restore_imprint","Right click this item then left click on the imprinted original item to restore its modifiers. An imprint cannot be dropped or traded to other players.","","Restores an imprinted item onto the original. Can't be applied to Fractured Items",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on the imprinted original item to restore its modifiers. An imprint cannot be dropped or traded to other players.",0,[],[],[],"","","","Drag this item onto the imprinted original item to restore its modifiers. An imprint cannot be dropped or traded to other players.",""
38,38,20,2,"corrupt_item","Right click this item then left click an item to corrupt it. Corrupted items cannot be modified again.","","Modifies an item unpredictably and [Corrupted|Corrupts] it",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to corrupt it. Corrupted items cannot be modified again.",100,[],[],[],"","","","Drag this item onto an item to corrupt it. Corrupted items cannot be modified again.",""
39,39,1,2,"corrupt_item","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
40,40,1,2,"incursion_corrupt","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
41,41,1,2,"incursion_corrupt_gem","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
42,42,5000,3,"","Trade coins to Cadiro Perandus.","","",[],"","",[],[],50000,"Trade coins to Cadiro Perandus.",0,[],[],[],"","","","Trade coins to Cadiro Perandus.",""
43,43,30,3,"","Cross Navali's palm with silver to receive a prophecy.","","",[],"","",[],[],5000,"Cross Navali's palm with silver to receive a prophecy.",100,[],[],[],"","","","Cross Navali's palm with silver to receive a prophecy.",""
44,44,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
45,45,10,2,"itemise_captured_monster","Right click on this item then left click on a Beast in your Menagerie to itemise the Beast.","","Stores a Beast in an item",[],"","",[],[],5000,"You can use these to itemise beasts by interacting with the signs outside the beasts' cages in the menagerie.",0,[],[],[],"","","","Drag this item onto a Beast in your Menagerie to turn it into a tradable item.",""
46,46,1,1,"add_captured_monster","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
47,47,10,2,"itemise_sextant_mods","Right click on this item then left click on a Voidstone to itemise an applied Sextant Modifier.","","Stores a Sextant Modifier in an item",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a Voidstone to itemise an applied Sextant Modifier.",0,[],[],[],"","","","Drag on this item onto on a Voidstone to itemise an applied Sextant Modifier.",""
48,48,1,2,"restore_sextant_mods","Right click on this item then left click on a Voidstone to apply the itemised Sextant Modifier to the Voidstone.","","",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a Voidstone to apply the itemised Sextant Modifier to the Voidstone.",0,[],[],[],"","","","Drag on this item onto on a Voidstone to apply the itemised Sextant Modifier to the Voidstone.",""
49,49,20,2,"reroll_skill_quality_type","Right click this item then left click a skill gem to apply it.","","Change the type of quality of a skill gem with quality to another random quality",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a gem to apply it. The maximum quality is 20%.",0,[],[],[],"","","","Drag this item onto a skill gem to apply it.",""
50,50,20,2,"reroll_support_quality_type","Right click this item then left click a support gem to apply it.","","Change the type of quality of a support gem with quality to another random quality",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a gem to apply it. The maximum quality is 20%.",0,[],[],[],"","","","Drag this item onto a support gem to apply it.",""
51,51,20,2,"heist_weapon_enchant","Right click this item then left click on the item you wish to modify.","","Adds or replaces an enchantment on a weapon. This may reforge the weapon's sockets.",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on the item you wish to modify.",0,[],[],[],"","","","Drag this item onto on the item you wish to modify.",""
52,52,20,2,"heist_armour_enchant","Right click this item then left click on the item you wish to modify.","","Adds or replaces an enchantment on a body armour. This may reforge the body armour's sockets.",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on the item you wish to modify.",0,[],[],[],"","","","Drag this item onto on the item you wish to modify.",""
53,84,10,6,"downgrade_atlas_map","Right click this item then left click a shaped map on the atlas to downgrade it. You can then earn the Shaper's Orb again to reshape another map afterwards.","","Downgrades a map on the Atlas",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a shaped map on the atlas to downgrade it. You can then earn the Shaper's Orb again to reshape another map afterwards.",0,[],[],[],"","","","Drag this item onto a shaped map on the atlas to downgrade it. You can then earn the Shaper's Orb again to reshape another map afterwards.",""
54,53,10,2,"use_essence","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to [ItemRarity|Magic] with one Life modifier",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","","Drag this item onto a normal item to apply it.",""
55,54,10,2,"use_essence","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to [ItemRarity|Magic] with one Mana modifier",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","","Drag this item onto a normal item to apply it.",""
56,55,10,2,"use_essence","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to [ItemRarity|Magic] with one [Defences|Defence] modifier",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","","Drag this item onto a normal item to apply it.",""
57,56,10,2,"use_essence","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to [ItemRarity|Magic] with one [Physical] modifier",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","","Drag this item onto a normal item to apply it.",""
58,57,10,2,"use_essence","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to [ItemRarity|Magic] with one [Fire] modifier",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","","Drag this item onto a normal item to apply it.",""
59,58,10,2,"use_essence","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to [ItemRarity|Magic] with one [Cold] modifier",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","","Drag this item onto a normal item to apply it.",""
60,59,10,2,"use_essence","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to [ItemRarity|Magic] with one [Lightning] modifier",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","","Drag this item onto a normal item to apply it.",""
61,60,10,2,"use_essence","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to [ItemRarity|Magic] with one [Chaos] modifier",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","","Drag this item onto a normal item to apply it.",""
62,61,10,2,"use_essence","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to [ItemRarity|Magic] with one [Attack] modifier",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","","Drag this item onto a normal item to apply it.",""
63,62,10,2,"use_essence","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to [ItemRarity|Magic] with one [Spell|Caster] modifier",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","","Drag this item onto a normal item to apply it.",""
64,63,10,2,"use_essence","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to [ItemRarity|Magic] with one Speed modifier",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","","Drag this item onto a normal item to apply it.",""
65,64,10,2,"use_essence","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to [ItemRarity|Magic] with one [Attributes|Attribute] modifier",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","","Drag this item onto a normal item to apply it.",""
66,65,10,2,"use_high_essence","Right click this item then left click a magic item to apply it.","","Upgrades a [ItemRarity|Magic] item to a [ItemRarity|Rare] item with one Life modifier",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a magic item to apply it.",0,[],[],[],"","","","Drag this item onto a magic item to apply it.",""
67,66,10,2,"use_high_essence","Right click this item then left click a magic item to apply it.","","Upgrades a [ItemRarity|Magic] item to a [ItemRarity|Rare] item with one Mana modifier",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a magic item to apply it.",0,[],[],[],"","","","Drag this item onto a magic item to apply it.",""
68,67,10,2,"use_high_essence","Right click this item then left click a magic item to apply it.","","Upgrades a [ItemRarity|Magic] item to a [ItemRarity|Rare] item with one [Defences|Defence] modifier",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a magic item to apply it.",0,[],[],[],"","","","Drag this item onto a magic item to apply it.",""
69,68,10,2,"use_high_essence","Right click this item then left click a magic item to apply it.","","Upgrades a [ItemRarity|Magic] item to a [ItemRarity|Rare] item with one [Physical] modifier",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a magic item to apply it.",0,[],[],[],"","","","Drag this item onto a magic item to apply it.",""
70,69,10,2,"use_high_essence","Right click this item then left click a magic item to apply it.","","Upgrades a [ItemRarity|Magic] item to a [ItemRarity|Rare] item with one [Fire] modifier",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a magic item to apply it.",0,[],[],[],"","","","Drag this item onto a magic item to apply it.",""
71,70,10,2,"use_high_essence","Right click this item then left click a magic item to apply it.","","Upgrades a [ItemRarity|Magic] item to a [ItemRarity|Rare] item with one [Cold] modifier",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a magic item to apply it.",0,[],[],[],"","","","Drag this item onto a magic item to apply it.",""
72,71,10,2,"use_high_essence","Right click this item then left click a magic item to apply it.","","Upgrades a [ItemRarity|Magic] item to a [ItemRarity|Rare] item with one [Lightning] modifier",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a magic item to apply it.",0,[],[],[],"","","","Drag this item onto a magic item to apply it.",""
73,72,10,2,"use_high_essence","Right click this item then left click a magic item to apply it.","","Upgrades a [ItemRarity|Magic] item to a [ItemRarity|Rare] item with one [Chaos] modifier",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a magic item to apply it.",0,[],[],[],"","","","Drag this item onto a magic item to apply it.",""
74,73,10,2,"use_high_essence","Right click this item then left click a magic item to apply it.","","Upgrades a [ItemRarity|Magic] item to a [ItemRarity|Rare] item with one [Attack] modifier",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a magic item to apply it.",0,[],[],[],"","","","Drag this item onto a magic item to apply it.",""
75,74,10,2,"use_high_essence","Right click this item then left click a magic item to apply it.","","Upgrades a [ItemRarity|Magic] item to a [ItemRarity|Rare] item with one [Spell|Caster] modifier",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a magic item to apply it.",0,[],[],[],"","","","Drag this item onto a magic item to apply it.",""
76,75,10,2,"use_high_essence","Right click this item then left click a magic item to apply it.","","Upgrades a [ItemRarity|Magic] item to a [ItemRarity|Rare] item with one speed modifier",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a magic item to apply it.",0,[],[],[],"","","","Drag this item onto a magic item to apply it.",""
77,76,10,2,"use_high_essence","Right click this item then left click a magic item to apply it.","","Upgrades a [ItemRarity|Magic] item to a [ItemRarity|Rare] item with one [Attributes|Attribute] modifier",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a magic item to apply it.",0,[],[],[],"","","","Drag this item onto a magic item to apply it.",""
78,77,10,2,"add_atlas_mod_low","Right click this item then left click a Voidstone to apply it.","","Adds or rerolls a modifier on a Voidstone.",[],"","","[3,7]","[10,10]",5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a Voidstone to apply it.",0,[],[],[],"","","","Drag this item onto a white map on the Atlas to apply it.",""
79,78,10,2,"add_atlas_mod_mid","Right click this item then left click a Voidstone to apply it.","","Adds or rerolls a modifier on a Voidstone.",[],"","","[3,7]","[20,10]",5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a Voidstone to apply it.",0,[],[],[],"","","","Drag this item onto a yellow or white map on the Atlas to apply it.",""
80,79,10,2,"add_atlas_mod_high","Right click this item then left click a Voidstone to apply it.","","Adds or rerolls a modifier on a Voidstone.",[],"","","[3,7]","[30,10]",5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a Voidstone to apply it.",0,[],[],[],"","","","Drag this item onto any map on the Atlas to apply it.",""
81,80,10,2,"add_atlas_mod_maven","Right click this item then left click a Voidstone to apply it.","","Adds or rerolls a modifier on a Voidstone.",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a Voidstone to apply it.",0,[],[],[],"","","","",""
82,81,10,6,"seal_map_low","Right click this item then left click a white map on the Atlas to apply it.","","Uncompletes a white map on the Atlas",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a white map on the Atlas to apply it.",0,[],[],[],"","","","Drag this item onto a white map on the Atlas to apply it.",""
83,82,10,6,"seal_map_mid","Right click this item then left click a yellow or white map on the Atlas to apply it.","","Uncompletes a yellow or white map on the Atlas",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a yellow or white map on the Atlas to apply it.",0,[],[],[],"","","","Drag this item onto a yellow or white map on the Atlas to apply it.",""
84,83,10,6,"seal_map_high","Right click this item then left click any map on the Atlas to apply it.","","Uncompletes any map on the Atlas",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on any map on the Atlas to apply it.",0,[],[],[],"","","","Drag this item onto any map on the Atlas to apply it.",""
85,85,300,3,"","Combine 300 Splinters to create a Breachstone.",585,"",[],"","",[],[],0,"Combine 300 Splinters to create a Breachstone.",0,[],[],[],"","","","Combine 300 Splinters to create a Breachstone.",""
86,86,100,3,"","Combine 100 Splinters to create Xoph's Breachstone.",586,"",[],"","",[],[],5000,"Combine 100 Splinters to create Xoph's Breachstone.",0,[],[],[],"","","","Combine 100 Splinters to create Xoph's Breachstone.",""
87,87,100,3,"","Combine 100 Splinters to create Tul's Breachstone.",587,"",[],"","",[],[],5000,"Combine 100 Splinters to create Tul's Breachstone.",0,[],[],[],"","","","Combine 100 Splinters to create Tul's Breachstone.",""
88,88,100,3,"","Combine 100 Splinters to create Esh's Breachstone.",588,"",[],"","",[],[],5000,"Combine 100 Splinters to create Esh's Breachstone.",0,[],[],[],"","","","Combine 100 Splinters to create Esh's Breachstone.",""
89,89,100,3,"","Combine 100 Splinters to create Uul-Netol's Breachstone.",589,"",[],"","",[],[],5000,"Combine 100 Splinters to create Uul-Netol's Breachstone.",0,[],[],[],"","","","Combine 100 Splinters to create Uul-Netol's Breachstone.",""
90,90,100,3,"","Combine 100 splinters to create Chayula's Breachstone.",590,"",[],"","",[],[],5000,"Combine 100 splinters to create Chayula's Breachstone.",0,[],[],[],"","","","Combine 100 splinters to create Chayula's Breachstone.",""
91,91,10,2,"upgrade_breach_item","Right click this item then left click an applicable breach unique item to upgrade it.","","Upgrades a breach unique item or breachstone to a more powerful version",[8982],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an applicable breach unique item to upgrade it.",0,[],[],[],"","","","Drag this item onto an applicable breach unique item to upgrade it.",""
